EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,ShortMidRangeFGM,Arc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PtsPutbacks,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,LostBallSteals,Clear Path Fouls,Defensive 3 Seconds Violations,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FTOffRebounds,DefensiveGoaltends,3SecondViolations,OffFTReboundPct,HeaveAttempts,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,BlockedCorner3,3pt And 1 Free Throw Trips,Corner3PctBlocked
101120,1610612742,Antoine Wright,Antoine Wright,101120,DAL,2700.0,45,-6.0,81,84,23,20,9.0,165,2.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,10.0,89,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,1.0,2.0,6.0,1.0,1.0,4.0,5,1.0,6,3.0,3.0,3.0,7.0,8.0,3.0,1.0,4.0,2.0,1.0,23,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.2727272727272727,0.375,0.35714285714285715,0.25,0.08333333333333333,0.09090909090909091,0.25,17.894736842105264,1.0,0.125,0.029411764705882353,0.16666666666666666,0.13157894736842105,0.02564102564102564,0.058823529411764705,0.2,0.07692307692307693,0.14285714285714285,0.5,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.4166666666666667,0.2,0.2,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,0.4166666666666667,0.43848333333333334,0.3478,0.5233,0.14285714285714285,0.15384615384615385,0.1,11.763636363636364,23.3,0.2839506172839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101138,1610612742,Brandon Bass,Brandon Bass,101138,DAL,16164.0,269,-65.0,497,515,134,177,57.0,1012,14.0,29.0,6.0,35.0,18.0,35.0,,,47.0,99.0,,1.0,29.0,123.0,558,17.0,15.0,10.0,18.0,52.0,42.0,,9.0,13.0,16.0,4.0,8.0,35.0,15.0,6.0,22.0,35,18.0,53,5.0,4.0,13.0,17.0,32.0,32.0,1.0,37.0,17.0,18.0,134,0.5531914893617021,0.6046511627906976,,,,0.47474747474747475,0.47,0.5258620689655172,0.4090909090909091,0.01,0.09090909090909091,0.27586206896551724,22.6713532513181,0.38461538461538464,0.1111111111111111,0.07936507936507936,0.13333333333333333,0.11522633744855967,0.07659574468085106,0.0625,0.09259259259259259,0.15625,0.0875,,0.29,0.4827586206896552,0.6666666666666666,0.35,0.35,0.5142857142857142,0.5142857142857142,0.8333333333333334,,,,,0.375,0.3,0.4387209999999998,0.4708571428571429,0.4593375,0.1504424778761062,0.15178571428571427,0.14634146341463414,9.573737373737373,25.1,0.26961770623742454,6.0,11.0,2.0,15.0,1.0,1.0,10.0,5.0,25.0,4.0,1.0,8.0,1.0,3.0,1.0,2.0,1.0,3.0,7.0,3.0,4.0,4.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,9.0,4.0,1.0,4.0,9.0,5.0,1.0,7.0,3.0,0.5882352941176471,0.26666666666666666,0.5882352941176471,0.25,0.5952380952380952,0.02857142857142857,0.28,0.06521739130434782,0.08771929824561403,0.09615384615384616,0.030303030303030304,0.15384615384615385,0.1875,0.06976744186046512,0.5555555555555556,0.42857142857142855,0.42857142857142855,0.4411764705882353,0.3333333333333333,0.01,0.6470588235294118,0.5454545454545454,0.16666666666666666,0.3333333333333333,0.0625,0.2032520325203252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,65409.0,1090,66.0,2002,1995,403,431,250.0,3997,51.0,75.0,14.0,60.0,68.0,139.0,22.0,58.0,151.0,274.0,51.0,137.0,46.0,501.0,2163,20.0,61.0,16.0,108.0,150.0,152.0,129.0,18.0,79.0,102.0,19.0,47.0,227.0,13.0,13.0,59.0,73,15.0,88,26.0,21.0,46.0,32.0,63.0,48.0,4.0,55.0,25.0,108.0,403,0.4966887417218543,0.4966887417218543,0.8431372549019608,0.3722627737226277,0.3722627737226277,0.551094890510949,0.5535279805352799,0.5750577367205543,0.5297029702970297,0.3333333333333333,0.06569343065693431,0.12,20.762895535327264,0.5652173913043478,0.07151515151515152,0.01813110181311018,0.0755813953488372,0.07221664994984955,0.015690376569037656,0.024024024024024024,0.043478260869565216,0.042735042735042736,0.10803324099722991,0.14035087719298245,0.18248175182481752,0.68,0.7727272727272727,0.145985401459854,0.3381995133819951,0.4892086330935252,0.5037037037037037,0.5735294117647058,0.1411192214111922,0.3793103448275862,0.3793103448275862,1.0,0.15053763440860216,0.5158150851581509,0.4979474452554745,0.47343714285714283,0.4692908602150537,0.05841121495327103,0.0859106529209622,0.2155688622754491,11.030656934306569,24.25255474452555,0.2012987012987013,,2.0,11.0,32.0,79.0,21.0,9.0,2.0,41.0,34.0,32.0,,79.0,23.0,20.0,3.0,13.0,2.0,1.0,4.0,29.0,19.0,9.0,20.0,1.0,5.0,2.0,1.0,4.0,8.0,1.0,4.0,3.0,8.0,3.0,5.0,4.0,3.0,,1.0,4.0,,,5.0,5.0,0.45,0.5573770491803278,0.4642857142857143,0.4946236559139785,0.47674418604651164,0.08333333333333333,0.013513513513513514,0.008368200836820083,0.01092896174863388,0.014925373134328358,0.011428571428571429,,0.043478260869565216,0.021052631578947368,,0.47058823529411764,0.5333333333333333,0.5818181818181818,0.375,0.1922141119221411,0.047619047619047616,,,0.7857142857142857,0.22580645161290322,0.08183632734530938,4.0,10.0,3.0,11.0,29.0,3.0,12.0,5.0,7.0,22.0,8.0,24.0,29.0,1.0,10.0,1.0,1.0,0.3181818181818182,0.25,0.0072992700729927005,0.02877697841726619,0.012658227848101266,0.3670886075949367,0.3717948717948718,0.7241379310344828,0.23809523809523808,0.4,1.0,0.2857142857142857,0.25,1.0,0.11827956989247312,0.2727272727272727,0.23809523809523808,0.3670886075949367,,,,,,,,,,True,,,
1904,1610612742,Devean George,Devean George,1904,DAL,17634.0,294,14.0,520,525,111,106,70.0,1045,9.0,14.0,7.0,20.0,7.0,24.0,3.0,8.0,19.0,58.0,9.0,22.0,12.0,77.0,556,10.0,17.0,3.0,15.0,20.0,18.0,24.0,7.0,14.0,15.0,4.0,6.0,31.0,8.0,11.0,20.0,34,9.0,43,4.0,3.0,6.0,11.0,22.0,17.0,2.0,15.0,7.0,15.0,111,0.5263157894736842,0.5555555555555556,0.8888888888888888,0.4090909090909091,0.4090909090909091,0.3275862068965517,0.40625,0.4425287356321839,0.35714285714285715,0.275,0.1206896551724138,0.14285714285714285,15.371900826446282,0.6666666666666666,0.09900990099009901,0.04040404040404041,0.19642857142857142,0.12015503875968993,0.03474903474903475,0.04081632653061224,0.02564102564102564,0.12280701754385964,0.11320754716981132,0.1111111111111111,0.175,0.6428571428571429,0.75,0.25,0.3,0.2916666666666667,0.30434782608695654,0.5714285714285714,0.1,0.375,0.375,1.0,0.3684210526315789,0.45,0.471504375,0.4421045454545455,0.4563552631578948,0.08139534883720931,0.109375,0.19480519480519481,11.05689655172414,24.45,0.21346153846153845,3.0,4.0,5.0,3.0,14.0,1.0,3.0,2.0,8.0,6.0,2.0,2.0,14.0,1.0,1.0,,4.0,1.0,3.0,2.0,7.0,3.0,,2.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,1.0,,1.0,3.0,1.0,2.0,,3.0,2.0,,4.0,1.0,0.3,0.35294117647058826,0.25,0.3157894736842105,0.3076923076923077,0.2,0.25,0.01639344262295082,0.02702702702702703,0.047619047619047616,0.02,,0.23684210526315788,0.045454545454545456,0.6666666666666666,0.6666666666666666,0.15,0.1875,,0.175,0.3333333333333333,0.75,0.3333333333333333,0.7142857142857143,0.05263157894736842,0.1038961038961039,,,,1.0,6.0,,2.0,,,2.0,,3.0,6.0,,4.0,,,,,,0.041666666666666664,,0.42857142857142855,0.42857142857142855,0.8333333333333334,,,,0.16666666666666666,,,0.05263157894736842,,,0.42857142857142855,,,,,,,,,,True,,,
956,1610612742,Erick Dampier,Erick Dampier,956,DAL,105313.0,1755,169.0,3260,3266,609,647,392.0,6526,162.0,236.0,41.0,39.0,,2.0,,,178.0,277.0,,,84.0,440.0,3479,103.0,47.0,24.0,92.0,232.0,124.0,,29.0,49.0,63.0,20.0,23.0,140.0,166.0,53.0,247.0,332,207.0,539,20.0,10.0,80.0,138.0,226.0,116.0,2.0,146.0,70.0,92.0,609,0.651685393258427,0.90625,,,,0.6425992779783394,0.6425992779783394,0.641399416909621,0.6666666666666666,,0.10469314079422383,0.09745762711864407,11.31318534367478,0.25,0.18840579710144928,0.14359861591695502,0.1737704918032787,0.18564356435643564,0.13558201058201058,0.10266159695817491,0.1797752808988764,0.20984455958549222,0.17926186291739896,0.14772727272727273,0.851985559566787,0.6864406779661016,0.7605633802816901,0.1407942238267148,0.007220216606498195,,,,,,,,0.8723404255319149,0.851985559566787,0.5536808664259928,0.563129347826087,0.5512531914893616,0.21021021021021022,0.21021021021021022,0.20909090909090908,1.1985559566787005,,0.18680981595092025,61.0,98.0,33.0,16.0,,,63.0,25.0,151.0,34.0,,100.0,,14.0,10.0,4.0,6.0,39.0,32.0,16.0,24.0,14.0,2.0,60.0,7.0,10.0,1.0,5.0,8.0,13.0,22.0,25.0,18.0,14.0,,10.0,106.0,70.0,3.0,33.0,106.0,66.0,2.0,12.0,9.0,0.6116504854368932,0.723404255319149,0.6116504854368932,0.723404255319149,0.6188524590163934,0.1282051282051282,0.3076923076923077,0.10955056179775281,0.17049180327868851,0.18461538461538463,0.10810810810810811,0.1134020618556701,0.18433179723502305,0.22857142857142856,0.6226415094339622,0.654320987654321,0.41025641025641024,0.47058823529411764,0.625,,0.9514563106796117,0.6224489795918368,0.13114754098360656,0.8048780487804879,,0.3431818181818182,,,,,,,,,,,,,,,10.0,,4.0,,,,0.5,,,,,,,,,,,,,,,2.0,12.0,15.0,0.023809523809523808,,,,,,True,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,7030.0,117,54.0,217,218,46,81,29.0,435,17.0,26.0,9.0,1.0,2.0,2.0,,2.0,19.0,29.0,2.0,13.0,8.0,52.0,200,2.0,9.0,2.0,14.0,12.0,26.0,,3.0,10.0,17.0,3.0,6.0,41.0,1.0,5.0,5.0,11,1.0,12,2.0,1.0,9.0,9.0,16.0,17.0,5.0,9.0,6.0,14.0,46,0.3157894736842105,0.3157894736842105,,0.15384615384615385,0.15384615384615385,0.6551724137931034,0.5238095238095238,0.5777777777777777,0.6363636363636364,0.30952380952380953,0.10344827586206896,0.11538461538461539,21.09375,0.2222222222222222,0.05813953488372093,0.012987012987012988,0.19230769230769232,0.08928571428571429,0.009433962264150943,0.038461538461538464,,,0.1282051282051282,0.25,0.6190476190476191,0.6538461538461539,0.7391304347826086,0.023809523809523808,0.047619047619047616,1.0,1.0,0.5,0.047619047619047616,,,,0.9,0.9285714285714286,0.5636797619047619,0.548,0.602705,0.13333333333333333,0.1875,0.2692307692307692,1.6379310344827587,25.16923076923077,0.2119815668202765,1.0,1.0,6.0,,11.0,1.0,2.0,,4.0,6.0,1.0,,11.0,7.0,3.0,4.0,1.0,,1.0,,3.0,,1.0,7.0,2.0,1.0,,2.0,,4.0,,1.0,,3.0,,,,,,,,,,4.0,,1.0,0.6666666666666666,0.5,0.6,0.5,,0.09090909090909091,,,,,,0.16666666666666666,,,0.29411764705882354,,,,0.2619047619047619,0.25,1.0,,0.6666666666666666,0.1,0.07692307692307693,,,,,2.0,,2.0,,,2.0,,6.0,2.0,,3.0,,,,,,,,0.18181818181818182,0.18181818181818182,,,,,0.5,,,,,,0.18181818181818182,,,,,,,,,,True,,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,84087.0,1401,210.0,2615,2606,440,420,318.0,5221,84.0,131.0,27.0,165.0,110.0,265.0,8.0,23.0,259.0,561.0,38.0,104.0,147.0,779.0,2727,68.0,81.0,33.0,123.0,236.0,282.0,108.0,29.0,64.0,87.0,29.0,28.0,197.0,50.0,47.0,151.0,210,65.0,275,31.0,18.0,62.0,36.0,85.0,143.0,13.0,179.0,85.0,123.0,440,0.4555984555984556,0.4816326530612245,0.9473684210526315,0.36538461538461536,0.37254901960784315,0.46167557932263814,0.47518796992481205,0.5214477211796247,0.5398230088495575,0.15639097744360902,0.05169340463458111,0.11450381679389313,26.89747003994674,0.5,0.1407269338303821,0.053304904051172705,0.1865079365079365,0.14943396226415095,0.0512396694214876,0.030373831775700934,0.08196721311475409,0.1382636655948553,0.18161925601750548,0.17567567567567569,0.19699248120300752,0.6412213740458015,0.7241379310344828,0.24812030075187969,0.39849624060150374,0.41509433962264153,0.421455938697318,0.4818181818181818,0.03458646616541353,0.34782608695652173,0.34782608695652173,0.875,0.2903225806451613,0.3533834586466165,0.4636558912386705,0.48032578125,0.4778684782608696,0.11580381471389646,0.1349206349206349,0.15789473684210525,11.362032085561497,25.273076923076925,0.1682600382409178,19.0,28.0,16.0,65.0,81.0,10.0,36.0,14.0,107.0,39.0,12.0,28.0,79.0,23.0,15.0,8.0,7.0,12.0,12.0,26.0,21.0,14.0,7.0,31.0,4.0,13.0,1.0,6.0,5.0,9.0,5.0,9.0,7.0,16.0,1.0,12.0,17.0,8.0,3.0,6.0,19.0,14.0,,9.0,11.0,0.5294117647058824,0.48148148148148145,0.5740740740740741,0.4838709677419355,0.6079545454545454,0.06060606060606061,0.15584415584415584,0.04411764705882353,0.07723577235772358,0.06818181818181818,0.04522613065326633,0.0410958904109589,0.19101123595505617,0.0783132530120482,0.7368421052631579,0.4880952380952381,0.3939393939393939,0.41935483870967744,0.36923076923076925,0.12180451127819548,0.345679012345679,0.6785714285714286,0.15789473684210525,0.5925925925925926,0.10752688172043011,0.13735558408215662,1.0,2.0,,2.0,30.0,6.0,11.0,4.0,7.0,13.0,4.0,6.0,30.0,,7.0,,,0.5384615384615384,0.3333333333333333,,0.01509433962264151,,0.37037037037037035,0.37037037037037035,0.9666666666666667,0.024691358024691357,0.5,1.0,0.13580246913580246,0.5454545454545454,1.0,0.021505376344086023,,0.4,0.379746835443038,3.0,1.0,,0.047619047619047616,2.0,2.0,2.0,,,True,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,40303.0,672,92.0,1289,1281,225,202,153.0,2570,25.0,45.0,11.0,17.0,19.0,46.0,3.0,5.0,49.0,108.0,22.0,45.0,19.0,183.0,1338,10.0,20.0,6.0,34.0,34.0,64.0,66.0,5.0,134.0,176.0,72.0,48.0,394.0,13.0,19.0,77.0,99,22.0,121,38.0,31.0,56.0,27.0,49.0,30.0,3.0,25.0,10.0,34.0,225,0.3469387755102041,0.3541666666666667,1.0,0.4888888888888889,0.4888888888888889,0.4537037037037037,0.5359477124183006,0.5579268292682927,0.5666666666666667,0.29411764705882354,0.046296296296296294,0.08888888888888889,14.945652173913043,0.6785714285714286,0.14528301886792452,0.028017241379310345,0.14728682170542637,0.1456752655538695,0.035058430717863104,0.022935779816513763,0.12121212121212122,0.09259259259259259,0.19491525423728814,0.23333333333333334,0.29411764705882354,0.5555555555555556,0.6097560975609756,0.1111111111111111,0.3006535947712418,0.41304347826086957,0.41304347826086957,0.631578947368421,0.032679738562091505,0.6,0.6,1.0,0.4074074074074074,0.5882352941176471,0.5093424836601307,0.5066590909090909,0.5287592592592593,0.06790123456790123,0.08620689655172414,0.18579234972677597,10.004629629629632,24.84222222222222,0.17455391776570986,2.0,5.0,7.0,5.0,40.0,7.0,3.0,,12.0,8.0,7.0,2.0,40.0,42.0,26.0,16.0,14.0,8.0,3.0,2.0,37.0,19.0,12.0,18.0,2.0,7.0,1.0,,2.0,8.0,,,1.0,2.0,,2.0,5.0,2.0,,3.0,5.0,3.0,,3.0,2.0,0.3,0.4,0.42857142857142855,0.5185185185185185,0.42857142857142855,0.058823529411764705,0.08823529411764706,0.05925925925925926,0.01680672268907563,0.047244094488188976,0.05434782608695652,0.06976744186046512,0.12121212121212122,0.02666666666666667,0.6,0.2,0.29411764705882354,0.3125,,0.26143790849673204,0.35714285714285715,0.4,,0.6363636363636364,0.25925925925925924,0.06557377049180328,2.0,2.0,,,19.0,,2.0,4.0,2.0,4.0,4.0,,19.0,,18.0,,,0.5,0.5714285714285714,,,,0.475,0.475,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,,,,,0.5714285714285714,0.475,1.0,,,0.02702702702702703,,,,1.0,0.021739130434782608,True,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,80676.0,1345,222.0,2503,2486,441,423,289.0,4989,60.0,102.0,20.0,159.0,142.0,295.0,2.0,7.0,282.0,556.0,34.0,97.0,192.0,858.0,2636,69.0,92.0,63.0,180.0,296.0,268.0,102.0,27.0,88.0,123.0,50.0,30.0,281.0,30.0,34.0,204.0,264,47.0,311,54.0,31.0,82.0,59.0,91.0,183.0,5.0,210.0,85.0,180.0,441,0.524822695035461,0.5401459854014599,1.0,0.35051546391752575,0.35051546391752575,0.5071942446043165,0.5099540581929556,0.5716216216216217,0.6312056737588653,0.14854517611026033,0.048561151079136694,0.1568627450980392,28.79159369527145,0.6585365853658537,0.20218037661050545,0.034482758620689655,0.1511111111111111,0.19286871961102106,0.04013961605584642,0.03482587064676617,0.2109090909090909,0.22333333333333333,0.18202764976958524,0.13636363636363635,0.1562021439509954,0.5882352941176471,0.6976744186046512,0.2434915773353752,0.45176110260336905,0.48135593220338985,0.4863013698630137,0.6901408450704225,0.010719754977029096,0.2857142857142857,0.2857142857142857,1.0,0.1834862385321101,0.30474732006125577,0.4471660030627871,0.44638214285714284,0.43321880733944945,0.1199442119944212,0.13731825525040386,0.2097902097902098,12.191726618705035,24.834020618556703,0.17618857371154614,13.0,23.0,10.0,80.0,90.0,17.0,38.0,19.0,104.0,45.0,17.0,16.0,90.0,35.0,24.0,11.0,8.0,16.0,26.0,,27.0,19.0,8.0,28.0,4.0,23.0,,6.0,6.0,11.0,5.0,8.0,11.0,22.0,13.0,23.0,26.0,19.0,3.0,4.0,26.0,14.0,,5.0,23.0,0.5507246376811594,0.4891304347826087,0.5379746835443038,0.536697247706422,0.5852272727272727,0.050314465408805034,0.3466666666666667,0.057971014492753624,0.05405405405405406,0.016260162601626018,0.054187192118226604,0.0684931506849315,0.15723270440251572,,0.5384615384615384,0.4,0.5031446540880503,0.5298013245033113,0.325,0.13782542113323124,0.2911392405063291,0.5652173913043478,0.15384615384615385,0.5,0.1559633027522936,0.12121212121212122,,,,,32.0,3.0,10.0,9.0,3.0,10.0,9.0,,32.0,1.0,8.0,,8.0,0.3,0.5294117647058824,0.010309278350515464,0.010169491525423728,0.011111111111111112,0.35555555555555557,0.3595505617977528,1.0,,,,0.12658227848101267,0.3,1.0,,,0.5294117647058824,0.35555555555555557,1.0,1.0,1.0,0.016129032258064516,,,,1.0,0.01020408163265306,True,,,
1731,1610612742,Tyronn Lue,Tyronn Lue,1731,DAL,2387.0,40,-14.0,70,75,18,19,10.0,145,1.0,3.0,,5.0,2.0,8.0,1.0,1.0,5.0,16.0,3.0,4.0,1.0,20.0,80,1.0,4.0,1.0,8.0,2.0,8.0,9.0,1.0,,1.0,,,3.0,,,3.0,3,,3,1.0,1.0,1.0,4.0,9.0,3.0,1.0,2.0,1.0,8.0,18,0.2,0.2,1.0,0.75,0.75,0.3125,0.475,0.47619047619047616,0.6666666666666666,0.2,0.0625,,26.19047619047619,1.0,0.10714285714285714,,,0.08823529411764706,,,,0.16666666666666666,0.14285714285714285,,0.15,0.3333333333333333,0.3333333333333333,0.25,0.4,0.25,0.25,0.5,0.05,1.0,1.0,1.0,,0.35,0.44035250000000004,0.5015,0.42224000000000006,0.047619047619047616,0.058823529411764705,0.4,12.78125,24.375,0.2571428571428571,,1.0,,2.0,3.0,1.0,,1.0,1.0,2.0,1.0,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.5,,0.7,0.25,0.2,,,,,,,,,,,0.4,0.5,,0.15,1.0,,,,0.2,0.05,,,,,2.0,,,1.0,,,1.0,,2.0,,,,,,1.0,,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,1.0,0.6666666666666666,,,,,,,,,,True,,,
