EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefensiveGoaltends,OffensiveGoaltends,Fg3aBlocked,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,on
101128,1610612758,Francisco Garcia,Francisco Garcia,101128,SAC,87512.0,1459,-143,2848,2847,985,904,305,5695,97.0,152.0,11.0,22.0,28.0,45.0,16.0,47.0,62.0,137.0,23.0,49.0,4.0,5.0,9.0,20.0,53.0,139.0,2.0,9.0,17.0,55.0,175,336,76.0,188.0,118.0,696,3189,15.0,36.0,6.0,14.0,2.0,50.0,51.0,99,26.0,75.0,60.0,240.0,162.0,188.0,201.0,27.0,14.0,1.0,138.0,53.0,33.0,68.0,17.0,85.0,14.0,3.0,31.0,10.0,27.0,187.0,9.0,25.0,1.0,44.0,102.0,3.0,149.0,35.0,184,7.0,67.0,42.0,25.0,46.0,10.0,36.0,48.0,6.0,10.0,2.0,7.0,94.0,10.0,35.0,82.0,159,1.0,7.0,15.0,156.0,9.0,15.0,151.0,15.0,2.0,1.0,59.0,3.0,21.0,29.0,2.0,2.0,23.0,3.0,3.0,31.0,17.0,1.0,3.0,240.0,985,20.0,22.0,0.46285714285714286,0.48214285714285715,0.881578947368421,0.40425531914893614,0.42857142857142855,0.3466666666666667,0.40641711229946526,0.5208333333333334,0.4166666666666667,0.5151515151515151,0.5515267175572519,0.48,0.5172413793103449,0.5889830508474576,0.49019607843137253,0.5714285714285714,0.35877862595419846,0.09821428571428571,0.14473684210526316,0.10638297872340426,0.043795620437956206,21.321695760598505,0.48936170212765956,0.03260869565217391,0.010309278350515464,0.10991379310344827,0.027292576419213975,0.12979351032448377,0.029801324503311258,0.11523283346487766,0.027914614121510674,0.026143790849673203,0.027777777777777776,0.027932960893854747,0.023148148148148147,0.046511627906976744,0.10101010101010101,0.11913357400722022,0.11016949152542373,0.11688311688311688,0.1574074074074074,0.029661016949152543,0.5483870967741935,0.2900763358778626,0.6381578947368421,0.7461538461538462,0.5360824742268041,0.08969465648854962,0.3404255319148936,0.38095238095238093,0.25,0.26145038167938933,0.45255474452554745,0.4732824427480916,0.4032258064516129,0.09351145038167939,0.46938775510204084,0.46938775510204084,0.9565217391304348,0.2652671755725191,0.381294964028777,0.381294964028777,0.8490566037735849,0.44,0.5,0.18181818181818182,0.1,0.8,1.0,0.18,0.2222222222222222,1.0,0.25862068965517243,0.6222222222222222,0.11494252873563218,0.45,0.3160919540229885,0.3090909090909091,0.648854961832061,0.38405797101449274,0.5100543021032506,0.527496511627907,0.5005089595375727,0.10896309314586995,0.15526315789473685,0.015873015873015872,0.07183908045977011,0.3448275862068966,8.936904761904758,24.968085106382983,0.3458567415730337,,,,,,,,True
101158,1610612758,Orien Greene,Orien Greene,101158,SAC,1972.0,33,-5,65,69,21,28,4,134,2.0,4.0,,,2.0,3.0,,,,1.0,,,,,,,,1.0,,,,1.0,2,5,,1.0,,4,65,,,,,,,2.0,4,,1.0,,4.0,2.0,2.0,,,,1.0,,,,1.0,1.0,2.0,1.0,,,,1.0,5.0,,,,1.0,2.0,,3.0,,3,,3.0,,3.0,4.0,1.0,1.0,1.0,,3.0,,,5.0,1.0,1.0,,5,,1.0,,2.0,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,4.0,21,1.0,,0.5,0.5,,,,,,0.4,,0.5,0.3333333333333333,,0.4,0.3333333333333333,,0.4,0.16666666666666666,,,,,15.714285714285715,0.8,,,0.09523809523809523,,0.1,,0.0967741935483871,,,,,,,0.09090909090909091,,0.16666666666666666,0.16666666666666666,,,,0.6666666666666666,0.5,0.5,0.5,,,,,0.16666666666666666,,,,,,,,0.16666666666666666,,,,,,,,,,,,,0.6,0.6666666666666666,,,0.2,,0.8333333333333334,,0.61054,,0.609675,,,,,1.0,3.7399999999999998,57.5,0.3230769230769231,,,,,,,,True
1630,1610612758,Mikki Moore,Mikki Moore,1630,SAC,81187.0,1353,-176,2640,2637,644,607,272,5277,90.0,128.0,18.0,36.0,16.0,20.0,25.0,62.0,31.0,68.0,,,,,,,,1.0,,,,1.0,146,258,,1.0,81.0,373,2938,29.0,55.0,,,18.0,76.0,26.0,44,,1.0,32.0,84.0,212.0,80.0,,,40.0,1.0,,,14.0,36.0,14.0,50.0,12.0,2.0,12.0,2.0,22.0,114.0,12.0,67.0,1.0,36.0,126.0,19.0,181.0,80.0,261,7.0,23.0,17.0,6.0,27.0,6.0,13.0,40.0,2.0,14.0,,3.0,67.0,7.0,13.0,98.0,167,,15.0,13.0,121.0,16.0,28.0,106.0,16.0,,,47.0,,14.0,29.0,,,11.0,1.0,17.0,29.0,17.0,8.0,10.0,84.0,644,7.0,11.0,0.726027397260274,0.8412698412698413,,,,,,0.5658914728682171,0.5272727272727272,0.5909090909090909,0.5637065637065637,0.5272727272727272,0.5777777777777777,0.6134868421052632,0.5671641791044776,0.6461538461538462,0.003861003861003861,0.05426356589147287,0.0703125,0.06451612903225806,0.014705882352941176,12.51264755480607,0.40298507462686567,0.25333333333333335,0.016129032258064516,0.14173228346456693,0.07657142857142857,0.1232876712328767,0.04669260700389105,0.1371718882303133,0.06978798586572438,0.1388888888888889,0.07373271889400922,0.02972972972972973,0.03977272727272727,0.06172839506172839,0.16666666666666666,0.15234375,0.11733333333333333,0.12371134020618557,0.12244897959183673,0.07291666666666667,0.5862068965517241,0.4942084942084942,0.703125,0.7563025210084033,0.7555555555555555,0.23938223938223938,0.4032258064516129,0.43103448275862066,0.52,0.2625482625482625,0.45588235294117646,0.4626865671641791,0.8064516129032258,,,,,0.003861003861003861,,,,0.6545454545454545,0.5,0.05555555555555555,,,,,,,0.4444444444444444,0.8,,,0.022222222222222223,,0.4980694980694981,,0.48962015503875983,0.5255020408163266,0.46653636363636364,0.16206896551724137,0.16262975778546712,,0.2037533512064343,0.225201072386059,6.714728682170543,42.8,0.24393939393939393,1.0,1.0,,,,,,True
2422,1610612758,John Salmons,John Salmons,2422,SAC,151021.0,2517,-275,4932,4938,1634,1501,531,9870,210.0,339.0,17.0,29.0,74.0,112.0,74.0,191.0,58.0,149.0,17.0,43.0,1.0,3.0,4.0,14.0,22.0,77.0,1.0,5.0,5.0,28.0,342,679,39.0,120.0,214.0,1015,5477,28.0,57.0,2.0,8.0,9.0,71.0,101.0,210,9.0,42.0,80.0,309.0,210.0,474.0,105.0,12.0,32.0,1.0,76.0,22.0,83.0,138.0,70.0,208.0,45.0,25.0,64.0,15.0,59.0,486.0,11.0,60.0,5.0,83.0,160.0,30.0,273.0,76.0,349,20.0,93.0,58.0,35.0,92.0,12.0,57.0,78.0,10.0,35.0,5.0,23.0,170.0,15.0,48.0,103.0,171,1.0,2.0,19.0,208.0,9.0,5.0,260.0,42.0,,2.0,128.0,,22.0,29.0,2.0,1.0,15.0,1.0,13.0,31.0,20.0,1.0,3.0,309.0,1634,14.0,17.0,0.30701754385964913,0.3220858895705521,0.8974358974358975,0.325,0.25,0.21428571428571427,0.3277310924369748,0.5036818851251841,0.49122807017543857,0.48095238095238096,0.5012515644555695,0.47692307692307695,0.45436507936507936,0.5584343991179713,0.5144927536231884,0.5219594594594594,0.15018773466833543,0.12223858615611193,0.16224188790560473,0.12041884816753927,0.03355704697986577,19.362965628936475,0.5411764705882353,0.1875,0.032467532467532464,0.09846153846153846,0.03694581280788178,0.141156462585034,0.021696252465483234,0.10980569362855852,0.0333176912247771,0.05169340463458111,0.038636363636363635,0.02247191011235955,0.027700831024930747,0.00684931506849315,0.08249496981891348,0.11850311850311851,0.09582689335394126,0.14074074074074075,0.14207650273224043,0.06191950464396285,0.6451612903225806,0.42428035043804757,0.6194690265486725,0.7394366197183099,0.3476190476190476,0.2390488110137672,0.387434554973822,0.44047619047619047,0.20270270270270271,0.18648310387984982,0.38926174496644295,0.4027777777777778,0.29310344827586204,0.05381727158948686,0.3953488372093023,0.3953488372093023,1.0,0.09637046307884856,0.2857142857142857,0.3013698630136986,0.8181818181818182,0.4461538461538462,0.5862068965517241,0.11764705882352941,0.046153846153846156,0.3333333333333333,1.0,0.07692307692307693,0.2,1.0,0.4444444444444444,0.6607142857142857,0.05555555555555555,0.2857142857142857,0.1111111111111111,0.17857142857142858,0.574468085106383,0.2894736842105263,0.5009446741854641,0.4817620689655172,0.5037854581673306,0.14463276836158193,0.16732026143790849,,0.06995073891625615,0.3044334975369458,6.3556701030927805,24.805833333333336,0.3313057583130576,,1.0,4.0,1.0,0.03333333333333333,0.05194805194805195,,True
949,1610612758,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,SAC,1790.0,30,-1,57,55,18,20,7,112,,5.0,,3.0,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,1,9,,,2.0,4,62,,3.0,,,2.0,2.0,,2,,,,,,2.0,,,,,,,2.0,3.0,1.0,4.0,,1.0,3.0,,,9.0,1.0,3.0,,1.0,1.0,,2.0,4.0,6,1.0,1.0,,1.0,,,,,,,,,,,,2.0,5,,1.0,,3.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,18,1.0,,,,,,,,,0.1111111111111111,,,0.1111111111111111,,,0.2,0.25,,,0.2222222222222222,0.4,,,15.384615384615383,,,,0.09090909090909091,0.15789473684210525,0.14285714285714285,0.2,0.1111111111111111,0.16666666666666666,0.14285714285714285,,0.18181818181818182,0.25,,,0.3333333333333333,,0.25,,0.16666666666666666,,0.5555555555555556,,,,0.1111111111111111,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,1.0,,,,,,,,,0.5,,,,,,0.5555555555555556,,0.4882666666666667,0.55355,0.50005,0.1,0.1,,0.5,,8.044444444444444,,0.3157894736842105,,,,,,,,True
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,86452.0,1441,-63,2807,2804,880,739,295,5611,81.0,138.0,18.0,44.0,29.0,51.0,20.0,59.0,78.0,159.0,6.0,20.0,1.0,2.0,1.0,4.0,8.0,34.0,1.0,4.0,4.0,20.0,179,356,14.0,54.0,143.0,543,3085,20.0,55.0,2.0,6.0,27.0,73.0,48.0,104,5.0,24.0,71.0,182.0,250.0,108.0,42.0,,22.0,1.0,33.0,8.0,33.0,115.0,22.0,137.0,11.0,11.0,80.0,13.0,22.0,296.0,26.0,58.0,4.0,54.0,210.0,32.0,296.0,88.0,384,14.0,32.0,26.0,6.0,63.0,22.0,47.0,44.0,3.0,16.0,,3.0,107.0,6.0,21.0,82.0,143,,8.0,11.0,132.0,11.0,13.0,175.0,17.0,,10.0,72.0,,19.0,38.0,1.0,,26.0,1.0,11.0,39.0,22.0,1.0,,182.0,880,18.0,17.0,0.6983240223463687,0.7440476190476191,1.0,0.25925925925925924,0.3333333333333333,0.20833333333333334,0.2641509433962264,0.5028089887640449,0.36363636363636365,0.46153846153846156,0.4878048780487805,0.3770491803278688,0.43359375,0.5526859504132231,0.474025974025974,0.5294117647058824,0.13170731707317074,0.09269662921348315,0.13768115942028986,0.22033898305084745,0.006289308176100629,18.738110336081167,0.5887850467289719,0.4050632911392405,0.04938271604938271,0.22411953041622198,0.06430155210643015,0.1592920353982301,0.0896551724137931,0.20689655172413793,0.07046979865771812,0.06865671641791045,0.06787330316742081,0.057803468208092484,0.0891089108910891,0.09090909090909091,0.22972972972972974,0.25461254612546125,0.1972972972972973,0.16033755274261605,0.1568627450980392,0.07734806629834254,0.5641025641025641,0.33658536585365856,0.5869565217391305,0.680672268907563,0.5679012345679012,0.14390243902439023,0.3389830508474576,0.43478260869565216,0.45,0.3878048780487805,0.49056603773584906,0.4936708860759494,0.8974358974358975,0.04878048780487805,0.3,0.3,1.0,0.08292682926829269,0.23529411764705882,0.23529411764705882,1.0,0.7213114754098361,0.4090909090909091,0.1111111111111111,0.03278688524590164,0.5,1.0,0.06557377049180328,0.25,1.0,0.3984375,0.5686274509803921,0.03125,0.25,0.15625,0.2,0.4682926829268293,0.24242424242424243,0.47587738386308054,0.53191,0.48320433070866137,0.15483870967741936,0.17518248175182483,,0.13443830570902393,0.3351749539594843,9.725842696629213,24.959259259259262,0.3135019593872462,2.0,,,1.0,,,,True
201208,1610612758,Darryl Watkins,Darryl Watkins,201208,SAC,3106.0,52,-3,101,104,50,35,13,205,3.0,3.0,1.0,1.0,2.0,2.0,,6.0,,,,,,,,,,,,,,,3,9,,,1.0,7,109,1.0,2.0,,,,2.0,2.0,4,,,1.0,5.0,4.0,2.0,,,2.0,,,,1.0,,,,,,,,,,1.0,3.0,,,4.0,1.0,5.0,4.0,9,,1.0,1.0,,1.0,,1.0,4.0,,,,3.0,5.0,1.0,3.0,4.0,6,,1.0,1.0,4.0,,1.0,3.0,1.0,,,2.0,,,1.0,,,1.0,,,1.0,1.0,,,5.0,50,1.0,,0.6666666666666666,1.0,,,,,,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.35,0.5,0.5,,0.1111111111111111,,0.16666666666666666,,12.711864406779661,0.2,0.3333333333333333,,0.14814814814814814,0.08823529411764706,,0.1111111111111111,0.1,0.09302325581395349,0.1,0.0625,0.125,0.25,,0.07692307692307693,,0.3,,,,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,0.5,1.0,,,,,0.3333333333333333,,0.44317777777777784,0.48265,0.480375,0.2,0.2,,0.2857142857142857,0.7142857142857143,6.111111111111111,,0.49504950495049505,,,,,,,,True
2755,1610612758,Kevin Martin,Kevin Martin,2755,SAC,63861.0,1064,-94,2122,2123,787,704,222,4245,63.0,112.0,6.0,12.0,23.0,42.0,24.0,59.0,45.0,116.0,13.0,37.0,1.0,4.0,3.0,13.0,36.0,90.0,3.0,9.0,15.0,34.0,132,287,49.0,127.0,259.0,670,2448,14.0,30.0,4.0,13.0,10.0,50.0,46.0,96,18.0,47.0,112.0,258.0,114.0,150.0,123.0,24.0,8.0,,90.0,36.0,22.0,42.0,13.0,55.0,9.0,4.0,21.0,4.0,17.0,123.0,7.0,13.0,1.0,31.0,62.0,3.0,96.0,21.0,117,4.0,31.0,23.0,8.0,26.0,7.0,10.0,32.0,1.0,16.0,3.0,4.0,58.0,2.0,17.0,26.0,67,,3.0,12.0,198.0,4.0,12.0,299.0,19.0,,24.0,115.0,,32.0,2.0,,,1.0,1.0,,2.0,,,1.0,258.0,787,13.0,32.0,0.4318181818181818,0.4453125,0.8367346938775511,0.3858267716535433,0.3076923076923077,0.3829787234042553,0.3858267716535433,0.45993031358885017,0.4666666666666667,0.4791666666666667,0.4963768115942029,0.46511627906976744,0.5104895104895105,0.6014760147601476,0.5319148936170213,0.625615763546798,0.30676328502415456,0.07665505226480836,0.13392857142857142,0.11864406779661017,,25.263157894736842,0.4482758620689655,0.04,0.015384615384615385,0.0915805022156573,0.01903367496339678,0.12704918032786885,0.03414634146341464,0.10097719869706841,0.02252252252252252,0.017391304347826087,0.01092896174863388,0.025925925925925925,0.041379310344827586,0.016666666666666666,0.06829268292682927,0.0625,0.13257575757575757,0.14035087719298245,0.0958904109589041,0.01951219512195122,,0.27053140096618356,0.5625,0.6494845360824743,0.5079365079365079,0.14251207729468598,0.4067796610169492,0.46153846153846156,0.08333333333333333,0.28019323671497587,0.3879310344827586,0.3879310344827586,0.5111111111111111,0.0893719806763285,0.35135135135135137,0.35135135135135137,0.9230769230769231,0.21739130434782608,0.4,0.4090909090909091,0.8055555555555556,0.27906976744186046,0.5,0.3333333333333333,0.09302325581395349,0.25,1.0,0.20930232558139536,0.3333333333333333,1.0,0.2937062937062937,0.5476190476190477,0.09090909090909091,0.23076923076923078,0.23776223776223776,0.4411764705882353,0.5772946859903382,0.4,0.5068510869565218,0.48861875,0.5074062937062936,0.22549019607843138,0.3002610966057441,,0.07462686567164178,0.3850746268656716,9.47526132404181,24.720472440944885,0.3708765315739868,,,2.0,,0.015748031496062992,0.022222222222222223,,True
200763,1610612758,Quincy Douby,Quincy Douby,200763,SAC,36109.0,602,-102,1195,1200,460,448,140,2395,23.0,49.0,2.0,5.0,5.0,14.0,16.0,42.0,21.0,57.0,4.0,26.0,,2.0,1.0,8.0,20.0,59.0,2.0,6.0,9.0,25.0,60,148,24.0,85.0,32.0,224,1293,2.0,9.0,2.0,8.0,2.0,12.0,18.0,52,10.0,33.0,25.0,91.0,26.0,94.0,42.0,30.0,,,59.0,20.0,10.0,33.0,4.0,37.0,3.0,1.0,16.0,1.0,16.0,78.0,3.0,7.0,,14.0,29.0,1.0,44.0,10.0,54,1.0,23.0,12.0,11.0,21.0,5.0,17.0,13.0,1.0,4.0,1.0,4.0,34.0,3.0,13.0,21.0,57,,2.0,1.0,29.0,1.0,8.0,34.0,2.0,,2.0,12.0,,5.0,5.0,4.0,3.0,2.0,1.0,2.0,9.0,5.0,,,91.0,460,15.0,5.0,0.21666666666666667,0.21666666666666667,0.5833333333333334,0.2823529411764706,0.25,0.30303030303030304,0.2823529411764706,0.40540540540540543,0.2222222222222222,0.34615384615384615,0.41201716738197425,0.29411764705882354,0.38823529411764707,0.4495967741935484,0.3333333333333333,0.4639175257731959,0.3648068669527897,0.06756756756756757,0.20408163265306123,,,20.720058780308598,0.6176470588235294,0.021739130434782608,,0.07988980716253444,0.016666666666666666,0.0875,0.023255813953488372,0.08221797323135756,0.018214936247723135,0.007042253521126761,0.008333333333333333,0.03164556962025317,0.020202020202020204,0.03333333333333333,0.07079646017699115,0.0660377358490566,0.09722222222222222,0.07920792079207921,0.1016949152542373,0.007352941176470588,0.5555555555555556,0.21030042918454936,0.46938775510204084,0.5897435897435898,0.30434782608695654,0.18025751072961374,0.38095238095238093,0.38095238095238093,0.125,0.2446351931330472,0.3684210526315789,0.3684210526315789,0.19047619047619047,0.11158798283261803,0.15384615384615385,0.16,0.75,0.2532188841201717,0.3389830508474576,0.3389830508474576,0.55,0.29411764705882354,0.4,,0.11764705882352941,,,0.35294117647058826,0.3333333333333333,0.5,0.16470588235294117,0.35714285714285715,0.09411764705882353,0.125,0.29411764705882354,0.36,0.575107296137339,0.3389830508474576,0.4895469957081545,0.5019142857142856,0.4660111764705882,0.04938271604938271,0.0759493670886076,,0.05357142857142857,0.40625,9.997297297297296,24.811764705882364,0.38493723849372385,1.0,,1.0,1.0,0.011764705882352941,,0.038461538461538464,True
1533,1610612758,Anthony Johnson,Anthony Johnson,1533,SAC,12223.0,204,-91,409,409,124,157,45,818,3.0,9.0,,2.0,2.0,4.0,4.0,9.0,3.0,9.0,,2.0,,,,,3.0,8.0,1.0,1.0,,1.0,10,27,3.0,10.0,5.0,34,495,,2.0,1.0,1.0,,3.0,4.0,9,,1.0,2.0,10.0,8.0,12.0,6.0,3.0,,,8.0,3.0,4.0,18.0,5.0,23.0,4.0,1.0,8.0,2.0,8.0,51.0,1.0,,,7.0,9.0,1.0,17.0,1.0,18,,6.0,4.0,2.0,12.0,2.0,9.0,8.0,,3.0,,1.0,20.0,1.0,8.0,7.0,20,1.0,,4.0,6.0,,,6.0,,,,2.0,,1.0,1.0,,,,1.0,,1.0,,,,10.0,124,4.0,1.0,0.4,0.4,0.6666666666666666,0.3,1.0,,0.3,0.37037037037037035,,0.4444444444444444,0.3918918918918919,0.5,0.4,0.425,0.5,0.45454545454545453,0.2702702702702703,0.14814814814814814,0.2222222222222222,0.1111111111111111,0.1111111111111111,13.186813186813188,0.6,0.0625,,0.07086614173228346,,0.16279069767441862,0.034482758620689655,0.09411764705882353,0.005813953488372093,,,,,0.14285714285714285,0.10344827586206896,0.04878048780487805,0.07017543859649122,0.21875,,,,0.24324324324324326,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.24324324324324326,0.4444444444444444,0.5,0.25,0.24324324324324326,0.3333333333333333,0.375,0.3333333333333333,0.05405405405405406,,,,0.21621621621621623,0.375,0.375,0.6666666666666666,0.6666666666666666,,,,,,0.3333333333333333,1.0,1.0,0.4,0.5,,,0.1,,0.5135135135135135,0.375,0.4827135135135135,0.551125,0.46979000000000004,0.05128205128205128,0.06896551724137931,,0.08823529411764706,0.29411764705882354,8.71111111111111,24.65,0.30317848410757947,,,,,,,,True
