EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,HeaveAttempts,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGM,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Travels,OffArc3ReboundPct,3pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,OffensiveGoaltends,on,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,BlockedCorner3,Corner3PctBlocked
101120,1610612742,Antoine Wright,Antoine Wright,101120,DAL,3335.0,56,-3,111,115,44,68,8.0,226,6.0,8.0,3.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,10.0,14.0,2.0,3.0,2.0,28.0,119,5.0,6.0,2.0,12.0,12.0,8.0,6.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,10.0,1.0,1.0,4.0,2.0,1.0,7.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,5.0,4.0,1.0,3.0,1.0,2.0,12.0,44,1.0,0.6,0.6,1.0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7647058823529411,0.8333333333333334,0.7777777777777778,0.8571428571428571,0.17647058823529413,0.07142857142857142,0.125,17.647058823529413,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.046511627906976744,0.03571428571428571,0.4444444444444444,0.11538461538461539,0.02702702702702703,0.125,0.09523809523809523,0.5,0.25,0.47058823529411764,0.75,0.8571428571428571,0.6666666666666666,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.17647058823529413,1.0,1.0,0.6666666666666666,0.11764705882352941,1.0,1.0,1.0,0.058823529411764705,0.6666666666666666,0.75,0.6470588235294118,0.49766764705882355,0.5176333333333333,0.1111111111111111,0.13333333333333333,0.42857142857142855,6.114285714285715,23.46666666666667,0.3963963963963964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
101138,1610612742,Brandon Bass,Brandon Bass,101138,DAL,12744.0,212,-29,400,401,118,159,40.0,801,7.0,18.0,4.0,5.0,14.0,30.0,11.0,21.0,,,1.0,32.0,69.0,,1.0,30.0,94.0,439,10.0,17.0,7.0,27.0,32.0,32.0,,,6.0,5.0,7.0,2.0,2.0,1.0,16.0,7.0,1.0,9.0,27.0,2.0,38.0,9.0,47.0,1.0,2.0,2.0,,7.0,,3.0,3.0,10.0,2.0,8.0,15.0,26.0,,38.0,6.0,21.0,27.0,118,,0.5,0.5161290322580645,,,,0.463768115942029,0.5882352941176471,0.45714285714285713,0.5882352941176471,0.5465116279069767,0.6428571428571429,0.014285714285714285,0.08695652173913043,0.3333333333333333,21.380846325167038,0.7,0.13333333333333333,0.05,0.17419354838709677,0.04861111111111111,0.32142857142857145,0.19672131147540983,0.0446927374301676,,0.2,0.34782608695652173,0.03225806451612903,0.2571428571428571,0.3888888888888889,0.5833333333333334,0.42857142857142855,0.42857142857142855,0.4666666666666667,0.4666666666666667,0.3,0.5238095238095238,0.5238095238095238,0.7272727272727273,,,,,0.014285714285714285,0.29411764705882354,0.8,0.2714285714285714,0.41822173913043476,0.39359411764705887,0.24705882352941178,0.25,0.2872340425531915,8.859420289855072,43.2,0.295,1.0,3.0,3.0,5.0,6.0,12.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,9.0,4.0,1.0,4.0,9.0,3.0,3.0,1.0,2.0,1.0,0.6,0.6,0.75,0.02857142857142857,0.0975609756097561,0.05084745762711865,0.07692307692307693,0.1590909090909091,0.14634146341463414,0.2,0.3333333333333333,0.35714285714285715,0.6,0.3333333333333333,0.5958666666666667,0.1276595744680851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1731,1610612742,Tyronn Lue,Tyronn Lue,1731,DAL,2400.0,40,-9,75,73,31,53,3.0,148,1.0,2.0,1.0,1.0,,2.0,1.0,2.0,,1.0,4.0,2.0,6.0,2.0,5.0,,10.0,82,2.0,2.0,,7.0,2.0,2.0,3.0,3.0,1.0,5.0,5.0,,,5.0,10.0,,,,4.0,,4.0,,4.0,,,,,2.0,,,,2.0,1.0,2.0,5.0,2.0,,,,,7.0,31,1.0,0.5,0.5,0.5,0.4,0.5,0.3333333333333333,1.0,0.45454545454545453,0.7,0.45454545454545453,0.7,0.45454545454545453,0.16666666666666666,0.5,16.666666666666668,1.0,,,0.15384615384615385,,,0.12903225806451613,,,0.23076923076923078,,,0.18181818181818182,0.5,1.0,1.0,0.18181818181818182,,,0.18181818181818182,0.5,0.5,,0.09090909090909091,,,,0.36363636363636365,0.2,1.0,0.6363636363636364,0.480155,0.50385,,,0.7,7.633333333333333,32.32,0.41333333333333333,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,,2.0,1.0,3.0,1.0,3.0,3.0,2.0,0.3333333333333333,0.5,0.5,0.5,0.6,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,12815.0,214,-8,402,403,103,151,37.0,805,10.0,14.0,1.0,2.0,4.0,12.0,20.0,32.0,2.0,13.0,21.0,34.0,58.0,12.0,34.0,19.0,123.0,447,10.0,13.0,11.0,46.0,40.0,28.0,33.0,21.0,5.0,20.0,27.0,8.0,5.0,7.0,61.0,1.0,,7.0,10.0,1.0,18.0,1.0,19.0,1.0,5.0,4.0,1.0,3.0,2.0,2.0,3.0,6.0,1.0,6.0,11.0,14.0,,23.0,1.0,9.0,46.0,103,2.0,0.5882352941176471,0.5882352941176471,0.9166666666666666,0.35294117647058826,0.35294117647058826,0.5862068965517241,0.7692307692307693,0.5652173913043478,0.7608695652173914,0.5980392156862745,0.7931034482758621,0.3695652173913043,0.08620689655172414,0.21428571428571427,24.0,0.5,0.05263157894736842,,0.06535947712418301,0.0070921985815602835,0.20588235294117646,0.09090909090909091,0.00546448087431694,0.02040816326530612,0.08196721311475409,0.2,0.024390243902439025,0.15217391304347827,0.7142857142857143,0.9090909090909091,0.5,0.13043478260869565,0.3333333333333333,0.36363636363636365,0.34782608695652173,0.625,0.6451612903225806,0.65,0.14130434782608695,0.15384615384615385,0.15384615384615385,1.0,0.22826086956521738,0.08695652173913043,0.5,0.5217391304347826,0.49134021739130423,0.4745,0.09900990099009901,0.13636363636363635,0.37398373983739835,12.094827586206899,24.332352941176474,0.2562189054726368,,,3.0,4.0,,12.0,,,7.0,3.0,4.0,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,0.75,0.6666666666666666,0.6666666666666666,,,,,0.043478260869565216,0.06521739130434782,0.2222222222222222,,0.5,,,0.4860875,0.0975609756097561,10.0,4.0,7.0,5.0,10.0,3.0,10.0,0.5,0.47619047619047616,0.47619047619047616,0.9,0.30434782608695654,0.5714285714285714,0.47619047619047616,1.0,1.0,3.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,0.4,0.08333333333333333,0.03125,0.1111111111111111,0.4444444444444444,0.5,1.0,0.13043478260869565,0.3333333333333333,0.02857142857142857,,,,,,True,,,,,,,,,,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,21147.0,352,-50,671,674,232,310,60.0,1345,11.0,25.0,3.0,7.0,5.0,21.0,7.0,18.0,,,,23.0,64.0,,,11.0,57.0,737,9.0,25.0,4.0,22.0,44.0,2.0,,,8.0,13.0,17.0,5.0,2.0,6.0,38.0,18.0,2.0,6.0,43.0,11.0,60.0,21.0,81.0,3.0,5.0,2.0,3.0,8.0,1.0,4.0,9.0,17.0,6.0,43.0,62.0,18.0,6.0,14.0,2.0,7.0,22.0,232,3.0,0.9565217391304348,0.9565217391304348,,,,0.359375,0.36,0.359375,0.36,0.40714285714285714,0.4074074074074074,,0.125,0.2,11.725067385444744,0.47058823529411764,0.3333333333333333,0.08,0.17551020408163265,0.07929515418502203,0.10714285714285714,0.16279069767441862,0.06506849315068493,0.09859154929577464,0.18518518518518517,0.09090909090909091,0.09090909090909091,0.390625,0.44,0.55,1.0,0.328125,0.23809523809523808,0.2631578947368421,0.28125,0.3888888888888889,0.4117647058823529,1.0,,,,,,0.28,0.42857142857142855,0.390625,0.45910781250000005,0.43416399999999994,0.10144927536231885,0.10144927536231885,0.38596491228070173,8.010937499999999,,0.34575260804769004,,6.0,2.0,11.0,5.0,9.0,,,4.0,4.0,,1.0,4.0,1.0,5.0,6.0,2.0,1.0,2.0,1.0,,1.0,2.0,2.0,,2.0,1.0,,0.18181818181818182,0.18181818181818182,0.32142857142857145,0.015384615384615385,0.09836065573770492,0.05263157894736842,0.043478260869565216,0.15942028985507245,0.17647058823529413,0.16666666666666666,1.0,0.8,0.5454545454545454,,0.48646363636363643,0.15789473684210525,,,,,,,,,,,,,,,,,,,,,,,,,,0.09523809523809523,0.05555555555555555,,,,,,,,,,,,,True,,,,,,,,,,,,
1904,1610612742,Devean George,Devean George,1904,DAL,6862.0,114,-42,215,219,74,107,18.0,434,5.0,6.0,2.0,3.0,,2.0,5.0,14.0,1.0,5.0,3.0,10.0,22.0,2.0,8.0,2.0,28.0,247,2.0,7.0,,4.0,10.0,10.0,6.0,3.0,1.0,3.0,8.0,2.0,,1.0,21.0,3.0,,3.0,10.0,4.0,17.0,4.0,21.0,,1.0,1.0,,4.0,,,2.0,6.0,2.0,9.0,15.0,5.0,2.0,4.0,,2.0,4.0,74,2.0,0.5,0.7142857142857143,1.0,0.25,0.25,0.45454545454545453,0.2857142857142857,0.43333333333333335,0.25,0.4375,0.25,0.26666666666666666,0.045454545454545456,0.16666666666666666,15.966386554621849,0.6666666666666666,0.36363636363636365,,0.1282051282051282,0.03896103896103896,0.16666666666666666,0.13541666666666666,0.041666666666666664,,0.11538461538461539,0.13333333333333333,,0.2,0.8333333333333334,1.0,0.2,0.06666666666666667,,,0.4666666666666667,0.35714285714285715,0.35714285714285715,0.8,0.16666666666666666,0.2,0.2,1.0,0.1,0.375,0.6666666666666666,0.4666666666666667,0.4710616666666666,0.487275,0.0625,0.08333333333333333,0.14285714285714285,12.390909090909089,23.6375,0.34418604651162793,4.0,5.0,4.0,5.0,,8.0,6.0,,5.0,4.0,1.0,1.0,4.0,,,1.0,1.0,,4.0,2.0,,2.0,4.0,3.0,,,,,0.8,0.8,0.8,0.05263157894736842,,0.09090909090909091,,0.1111111111111111,0.16,0.3333333333333333,0.75,,1.0,0.8,0.5773666666666667,0.2857142857142857,1.0,,1.0,,1.0,,1.0,,0.3333333333333333,0.3333333333333333,1.0,0.125,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,1.0,0.09090909090909091,,,,True,,,,,,,,,,,,
2048,1610612742,Jamaal Magloire,Jamaal Magloire,2048,DAL,885.0,15,2,33,34,23,23,1.0,67,2.0,2.0,1.0,1.0,,1.0,,,,,,2.0,3.0,,,6.0,10.0,29,1.0,1.0,3.0,5.0,2.0,2.0,,,,,,,,,,1.0,,1.0,5.0,1.0,7.0,1.0,8.0,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,4.0,6.0,,11.0,1.0,4.0,5.0,23,1.0,0.5,0.5,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.625,0.5,,,,26.470588235294116,,0.5,,0.38461538461538464,0.16666666666666666,0.3333333333333333,0.375,0.125,,0.2857142857142857,0.3333333333333333,,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,1.0,1.0,0.6666666666666666,0.5620333333333334,0.5832,0.6666666666666666,0.6666666666666666,0.5,1.6666666666666667,,0.696969696969697,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,2.0,1.0,1.0,1.0,,,0.5,,0.5,0.5,,,,1.0,1.0,0.5832,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
224,1610612742,Eddie Jones,Eddie Jones,224,DAL,4226.0,70,-15,127,133,42,61,13.0,260,2.0,3.0,1.0,1.0,1.0,1.0,,2.0,5.0,6.0,2.0,3.0,6.0,5.0,8.0,2.0,23.0,153,1.0,3.0,2.0,7.0,4.0,2.0,15.0,2.0,,7.0,8.0,3.0,1.0,3.0,17.0,,,,3.0,1.0,4.0,1.0,5.0,,1.0,1.0,,2.0,,2.0,,2.0,,1.0,4.0,4.0,,2.0,,,7.0,42,,0.6666666666666666,0.6666666666666666,1.0,0.625,0.625,0.5,0.3333333333333333,0.75,0.5,0.7666666666666667,0.5833333333333334,0.5714285714285714,,,12.056737588652483,1.0,0.2,,0.05454545454545454,,,0.045454545454545456,0.01818181818181818,,0.041666666666666664,,,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,0.07142857142857142,1.0,1.0,0.14285714285714285,,,,0.42857142857142855,0.8333333333333334,0.8333333333333334,1.0,0.14285714285714285,0.2,1.0,0.7857142857142857,0.522367857142857,0.47309999999999997,,,0.30434782608695654,8.233333333333333,23.537499999999998,0.33070866141732286,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,0.1111111111111111,,,,,0.125,,,1.0,,,0.3752,,,,1.0,1.0,2.0,,,0.5,,,,0.2,,,,1.0,1.0,,,,,,,,,,,,,,,0.2,1.0,,,0.2,,,,True,,,,,,,,,,,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,8337.0,139,14,257,260,75,98,27.0,517,7.0,11.0,1.0,1.0,11.0,18.0,11.0,28.0,1.0,2.0,11.0,29.0,57.0,3.0,13.0,19.0,86.0,274,8.0,15.0,3.0,22.0,26.0,32.0,6.0,11.0,2.0,6.0,8.0,1.0,3.0,2.0,18.0,7.0,,4.0,17.0,3.0,24.0,10.0,34.0,3.0,,,,2.0,4.0,2.0,10.0,12.0,3.0,9.0,16.0,22.0,,23.0,6.0,11.0,22.0,75,1.0,0.4482758620689655,0.4642857142857143,0.6666666666666666,0.23076923076923078,0.23076923076923078,0.5087719298245614,0.5333333333333333,0.4785714285714286,0.475,0.5584415584415584,0.5238095238095238,0.18571428571428572,0.03508771929824561,,30.272108843537417,0.16666666666666666,0.25,,0.17708333333333334,0.07777777777777778,0.17391304347826086,0.17647058823529413,0.08333333333333333,0.13793103448275862,0.14285714285714285,0.2,0.08333333333333333,0.15714285714285714,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.2571428571428571,0.6111111111111112,0.6111111111111112,0.4,0.39285714285714285,0.4230769230769231,0.36363636363636365,0.02857142857142857,0.5,0.5,1.0,0.15714285714285714,0.05,1.0,0.34285714285714286,0.45408928571428575,0.44936999999999994,0.18421052631578946,0.1774193548387097,0.2558139534883721,11.691228070175436,24.66923076923077,0.2918287937743191,1.0,5.0,5.0,10.0,1.0,17.0,2.0,,2.0,2.0,,3.0,,1.0,,2.0,2.0,1.0,3.0,2.0,,1.0,3.0,1.0,,1.0,,1.0,0.5,0.6666666666666666,0.7083333333333334,0.1,0.043478260869565216,0.05263157894736842,0.14285714285714285,0.07692307692307693,0.32142857142857145,,0.3333333333333333,0.36363636363636365,0.4166666666666667,0.2,0.5252399999999999,0.19767441860465115,2.0,,4.0,1.0,5.0,3.0,2.0,0.2,0.18181818181818182,0.18181818181818182,0.5,0.2,,0.18181818181818182,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,3.0,1.0,,0.07142857142857142,,0.16666666666666666,1.0,0.5,0.05,1.0,0.21428571428571427,1.0,0.08695652173913043,2.0,1.0,,True,,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,5202.0,87,-16,170,167,65,90,16.0,337,10.0,14.0,2.0,4.0,1.0,3.0,3.0,5.0,,,12.0,14.0,22.0,8.0,12.0,7.0,59.0,181,3.0,6.0,,15.0,4.0,24.0,15.0,12.0,,4.0,6.0,1.0,2.0,1.0,14.0,,,2.0,5.0,,7.0,,7.0,,2.0,,2.0,5.0,,2.0,1.0,6.0,4.0,5.0,8.0,7.0,1.0,10.0,,5.0,15.0,65,1.0,0.14285714285714285,0.14285714285714285,0.625,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.5,0.7647058823529411,0.6818181818181818,0.7564102564102564,0.6818181818181818,0.35294117647058826,,,24.193548387096772,0.8333333333333334,,,0.09259259259259259,,0.2,0.109375,,,0.1111111111111111,0.2,,0.4117647058823529,0.7142857142857143,0.7142857142857143,0.1,0.08823529411764706,0.3333333333333333,0.3333333333333333,0.14705882352941177,0.6,0.6,0.3333333333333333,,,,,0.35294117647058826,0.36363636363636365,0.5,0.7647058823529411,0.4899838235294118,0.4997499999999999,0.1282051282051282,0.18518518518518517,0.2542372881355932,5.240909090909091,25.333333333333332,0.38235294117647056,,,,,,,,,2.0,1.0,1.0,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,0.07692307692307693,0.07142857142857142,,,,,,,,8.0,3.0,5.0,3.0,5.0,9.0,8.0,0.6,0.6666666666666666,0.6666666666666666,0.625,0.45454545454545453,0.6,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
