EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PlusMinus,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Fg2aBlocked,Fg3aBlocked,Corner3Assists,AtRimAssists,LongMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,ShortMidRangeFGM,LostBallTurnovers,OffShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3FGM,SelfOReb,Travels,Offensive Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,Loose Ball Fouls Drawn,OffFTReboundPct,Technical Free Throw Trips,LongMidRangePctBlocked,PenaltyArc3FGM,PtsUnassisted3s,PenaltyArc3Accuracy,on,3SecondViolations,Defensive 3 Seconds Violations,HeaveAttempts,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,BlockedCorner3,OffensiveGoaltends
136,1610612738,P.J. Brown,P.J. Brown,136,BOS,693.0,12,24,23,14.0,4,5.0,47,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,33,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,14.0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,6.8965517241379315,0.2,0.3,0.18181818181818182,0.2727272727272727,0.6666666666666666,0.25,1.0,0.2,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.57135,0.57135,0.57135,0.5,0.5,1.0,1.0,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1899,1610612738,James Posey,James Posey,1899,BOS,2662.0,44,88,79,24.0,27,11.0,167,3.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,14.0,87,1.0,1.0,1.0,6.0,1.0,2.0,1.0,3.0,2.0,2.0,,1.0,,3.0,,4.0,7.0,1.0,8.0,2.0,5.0,2.0,4.0,,1.0,,,,3.0,24.0,0.75,1.0,0.5,0.6,1.25,0.5,0.5833333333333334,1.0,0.5,14.705882352941176,0.15384615384615385,,0.14705882352941177,0.025,,,0.2857142857142857,0.07692307692307693,0.4,0.75,0.75,0.5,1.0,1.0,0.5,1.0,0.59262,,0.6518999999999999,0.09090909090909091,0.2,0.42857142857142855,0.21428571428571427,0.2727272727272727,-21.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,6.0,1.0,1.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6,0.3333333333333333,0.6666666666666666,0.125,0.07142857142857142,0.1,0.16666666666666666,0.25,0.6666666666666666,0.3,0.3333333333333333,0.3333333333333333,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,0.3333333333333333,0.95,24.11666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
201172,1610612738,Gabe Pruitt,Gabe Pruitt,201172,BOS,5669.0,94,188,179,78.0,97,28.0,367,4.0,9.0,1.0,1.0,3.0,6.0,11.0,27.0,1.0,32.0,197,1.0,2.0,,2.0,7.0,13.0,,20.0,14.0,,10.0,13.0,1.0,29.0,,6.0,7.0,1.0,8.0,5.0,10.0,3.0,2.0,,1.0,,,,20.0,78.0,0.4074074074074074,0.5,0.5384615384615384,0.3974358974358974,0.25,0.5882352941176471,0.4,0.25,0.5882352941176471,20.361990950226243,0.09523809523809523,,0.09090909090909091,0.012195121951219513,,,,0.15151515151515152,0.23076923076923078,0.4444444444444444,0.8,0.25,1.0,0.35294117647058826,0.5,0.5384615384615384,0.46995256410256414,0.49477499999999996,0.47006176470588235,0.025,0.03571428571428571,0.0625,0.625,0.4148936170212766,-13.0,2.0,4.0,1.0,8.0,,1.0,3.0,12.0,,2.0,8.0,9.0,8.0,1.0,3.0,,1.0,1.0,,5.0,4.0,2.0,2.0,2.0,3.0,5.0,,1.0,,,,,0.36363636363636365,0.36363636363636365,1.0,0.25,,0.25,0.3076923076923077,0.4,,0.07142857142857142,0.05,,0.05263157894736842,,0.5,0.10256410256410256,0.5,0.5,1.0,0.20512820512820512,0.125,0.14285714285714285,1.0,0.25,,,0.125,13.10740740740741,24.766666666666666,2.0,7.0,16.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,0.5,0.08333333333333333,0.18518518518518517,0.4444444444444444,0.5,0.125,0.25,0.2,0.05128205128205128,0.41025641025641024,0.4375,0.4375,0.2857142857142857,1.0,0.25,0.11764705882352941,1.0,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
201175,1610612738,Glen Davis,Glen Davis,201175,BOS,4380.0,73,140,139,54.0,76,23.0,279,5.0,9.0,2.0,2.0,,3.0,8.0,18.0,9.0,25.0,151,2.0,3.0,2.0,6.0,,5.0,5.0,5.0,6.0,2.0,3.0,3.0,,6.0,4.0,5.0,9.0,7.0,16.0,4.0,12.0,9.0,15.0,1.0,8.0,2.0,2.0,2.0,5.0,54.0,0.4444444444444444,0.6666666666666666,,0.4444444444444444,0.6666666666666666,,0.5,0.6,0.2777777777777778,17.857142857142858,0.10869565217391304,0.08,0.11864406779661017,0.109375,0.1,0.047619047619047616,,0.08333333333333333,0.5,0.5555555555555556,0.5555555555555556,0.6666666666666666,1.0,0.6,,0.5,0.46472777777777785,0.5176,0.43346,0.32,0.32,0.24,0.2,0.38571428571428573,-4.0,,,,,,,,,,,10.0,,,,,,3.0,2.0,2.0,3.0,,2.0,,,3.0,5.0,1.0,1.0,,3.0,,,0.625,0.7142857142857143,,,,,,0.4,0.3333333333333333,0.15384615384615385,0.21428571428571427,0.16666666666666666,0.2,0.25,0.8,,,,,,,,,,,,,8.322222222222221,,3.0,2.0,6.0,,,,,,,,,,3.0,,3.0,,1.0,,,,,,,0.5,,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,,,,,1.0,2.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2754,1610612738,Tony Allen,Tony Allen,2754,BOS,3433.0,57,113,106,57.0,57,16.0,219,4.0,6.0,,1.0,3.0,3.0,8.0,16.0,6.0,25.0,112,,1.0,2.0,5.0,3.0,6.0,4.0,10.0,10.0,,6.0,9.0,,21.0,3.0,3.0,4.0,3.0,7.0,3.0,5.0,5.0,6.0,,1.0,2.0,1.0,2.0,10.0,57.0,0.5,,0.5,0.475,0.75,0.42857142857142855,0.5434782608695652,0.8333333333333334,0.5555555555555556,20.454545454545453,0.08108108108108109,0.07692307692307693,0.09090909090909091,0.06,0.07692307692307693,,,0.125,0.3,0.6666666666666666,0.6666666666666666,0.5,,0.42857142857142855,1.0,0.5,0.4732225,0.6023499999999999,0.44077142857142854,0.047619047619047616,0.058823529411764705,0.2,0.4,0.504424778761062,-1.0,1.0,1.0,,3.0,,,1.0,4.0,1.0,1.0,6.0,3.0,3.0,,3.0,1.0,,1.0,,4.0,2.0,1.0,,,3.0,4.0,,,,1.0,2.0,2.0,0.375,0.375,1.0,0.25,1.0,0.25,0.2,0.25,,0.14285714285714285,,,0.09090909090909091,0.16666666666666666,0.25,0.05,1.0,1.0,1.0,0.15,,,,,,,,10.66875,25.15,3.0,2.0,7.0,1.0,,,1.0,,1.0,,,2.0,6.0,,2.0,,,,,,,,,,,0.15,0.35,0.2857142857142857,0.2857142857142857,0.5,,0.5,,,0.14285714285714285,2.0,1.0,0.2,0.6666666666666666,0.6666666666666666,1.0,2.0,2.0,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,
200796,1610612738,Leon Powe,Leon Powe,200796,BOS,3236.0,54,109,107,57.0,67,15.0,216,7.0,15.0,3.0,6.0,5.0,11.0,13.0,27.0,11.0,37.0,113,3.0,6.0,2.0,8.0,7.0,15.0,4.0,18.0,14.0,6.0,,1.0,,3.0,6.0,6.0,10.0,8.0,18.0,5.0,14.0,10.0,16.0,2.0,7.0,1.0,1.0,1.0,18.0,57.0,0.48148148148148145,0.5,0.4666666666666667,0.48148148148148145,0.5,0.4666666666666667,0.5441176470588235,0.5714285714285714,0.5,33.333333333333336,0.14285714285714285,0.17647058823529413,0.14285714285714285,0.19047619047619047,0.18181818181818182,0.2857142857142857,,0.13636363636363635,0.5555555555555556,0.4666666666666667,0.5384615384615384,1.0,0.5,0.7333333333333333,0.45454545454545453,0.5555555555555556,0.42578518518518527,0.53262,0.5025866666666666,0.21875,0.21875,0.21621621621621623,0.4864864864864865,0.5229357798165137,-6.0,,,,,,,,,,,12.0,,,,1.0,1.0,2.0,1.0,3.0,1.0,,4.0,,1.0,4.0,8.0,,2.0,2.0,3.0,2.0,2.0,0.46153846153846156,0.6,,,,,,0.5,0.42857142857142855,0.14285714285714285,0.25,0.25,0.2,0.2,0.42857142857142855,,,,,,,,,,,,,6.877777777777777,,7.0,4.0,5.0,,,,,,,2.0,,,,,1.0,,5.0,,,0.07407407407407407,0.13333333333333333,,,,,0.25925925925925924,0.18518518518518517,0.8,0.8,0.5,,,,,,2.0,3.0,,0.2857142857142857,0.2857142857142857,,2.0,1.0,1.0,,1.0,0.16666666666666666,1.0,0.5,,,,,,,,,,,True,,,,,,,,,,,,,,,
2243,1610612738,Brian Scalabrine,Brian Scalabrine,2243,BOS,3285.0,55,112,105,48.0,62,20.0,217,,1.0,,1.0,,,,3.0,3.0,6.0,128,,1.0,1.0,1.0,,1.0,1.0,4.0,,,3.0,4.0,,9.0,1.0,3.0,4.0,3.0,7.0,1.0,5.0,2.0,4.0,,1.0,,,,4.0,48.0,,,,0.3,,0.5,0.42857142857142855,0.25,0.5,6.666666666666666,0.06976744186046512,0.022727272727272728,0.0784313725490196,0.037037037037037035,,,0.16666666666666666,0.043478260869565216,0.2,,,1.0,,,,0.6,0.49618,,0.47340000000000004,0.16666666666666666,0.25,0.16666666666666666,0.6666666666666666,0.42857142857142855,-17.0,1.0,1.0,,1.0,,,1.0,2.0,,,,3.0,1.0,,1.0,,1.0,1.0,,,,,,,2.0,2.0,,,,2.0,1.0,1.0,,,1.0,0.5,,0.5,0.4,,,0.125,0.1,0.14285714285714285,0.07142857142857142,0.16666666666666666,,0.2,1.0,1.0,1.0,0.2,,,,,,,,9.066666666666665,23.75,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,3.0,,,,1.0,0.5,,,,,,,,0.2,0.2,,,,,,0.3333333333333333,1.0,0.3333333333333333,,,0.1111111111111111,,,,,,,,,,,,,,1.0,1.0,0.125,,,,,,True,,,,,,,,,,,,,,,
208,1610612738,Sam Cassell,Sam Cassell,208,BOS,399.0,7,14,13,6.0,5,4.0,27,,1.0,,,,1.0,2.0,4.0,3.0,7.0,21,,,,,2.0,3.0,,4.0,4.0,,,,,,,1.0,1.0,,1.0,,,1.0,3.0,,1.0,,,,4.0,6.0,0.5,,0.6666666666666666,0.5,,0.6666666666666666,0.6,,0.6666666666666666,27.77777777777778,0.3333333333333333,,0.25,,,,,0.5,0.25,,,,,0.3333333333333333,,0.25,0.460675,,0.4852,0.2,0.2,,0.5714285714285714,0.42857142857142855,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.725,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.25,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,613.0,10,18,17,5.0,12,4.0,35,,,,,,,,2.0,1.0,4.0,13,,1.0,1.0,1.0,,,,,,,1.0,2.0,,5.0,,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,5.0,,,,0.5,,,0.5,,,13.043478260869565,0.16666666666666666,,0.14285714285714285,0.1111111111111111,,,,0.2,,,,,,,,0.3333333333333333,0.44255,0.4288,,,,0.25,,0.2777777777777778,9.0,,,1.0,1.0,,,1.0,1.0,,,,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,0.3333333333333333,,,,0.25,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,1.0,16.3,25.0,,,2.0,,,,,,,1.0,,,,1.0,,,,,,0.5,,,,0.5,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,True,,,,,,,,,,,,,,,
200765,1610612738,Rajon Rondo,Rajon Rondo,200765,BOS,359.0,6,14,13,10.0,13,2.0,27,1.0,1.0,,,1.0,1.0,1.0,2.0,,2.0,11,,1.0,,,1.0,2.0,,2.0,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,2.0,10.0,0.5,,0.5,0.5,,0.5,0.5,,0.5,17.64705882352941,,,,,,,,,0.5,1.0,1.0,,,0.5,1.0,0.5,0.51645,0.2939,0.51645,,,,1.0,0.7142857142857143,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,10.799999999999999,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
