EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,HeaveAttempts,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,Corner3PctBlocked,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,on
101120,1610612742,Antoine Wright,Antoine Wright,101120,DAL,960.0,16,-8.0,31,31,5,5,4.0,62,1.0,3.0,1.0,1.0,3.0,2.0,42,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.157894736842104,1.0,0.2857142857142857,0.07692307692307693,0.18181818181818182,0.0625,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5790000000000001,0.5375,0.16129032258064516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
101138,1610612742,Brandon Bass,Brandon Bass,101138,DAL,37214.0,620,-18.0,1183,1187,434,459,147.0,2370,30.0,62.0,21.0,89.0,183.0,238.0,1294,32.0,82.0,23.0,26.0,3.0,13.0,55.0,37.0,54.0,82.0,50.0,132.0,21.0,9.0,28.0,42.0,63.0,53.0,2.0,434,0.48633879781420764,0.4810810810810811,0.5534883720930233,18.0,0.75,0.1232876712328767,0.0889423076923077,0.13138686131386862,0.08839779005524862,0.10833333333333334,0.10218978102189781,0.14450867052023122,0.33513513513513515,0.4838709677419355,0.6382978723404256,0.65625,0.34594594594594597,0.45166756756756754,0.48994583333333336,0.3668639053254438,11.0,10.0,18.0,29.0,61.0,30.0,60.0,2.0,2.0,2.0,60.0,17.0,8.0,42.0,28.0,57.0,2.0,32.0,88.0,96.0,18.0,2.0,18.0,1.0,3.0,2.0,1.0,7.0,11.0,2.0,18.0,10.0,3.0,8.0,6.0,2.0,7.0,1.0,12.0,1.0,7.0,9.0,6.0,3.0,4.0,69.0,9.0,31.0,8.0,19.0,10.0,3.0,6.0,19.0,13.0,3.0,1.0,1.0,2.0,88.0,5.0,9.0,0.5393258426966292,0.6,0.53125,0.49122807017543857,0.53125,0.4745762711864407,0.5833333333333334,0.5789473684210527,0.010810810810810811,0.5,0.09836065573770492,0.24193548387096775,0.04918032786885246,0.5,0.18181818181818182,0.07407407407407407,0.16363636363636364,0.08661417322834646,0.1079136690647482,0.05732484076433121,0.10975609756097561,0.044444444444444446,0.1171875,0.2,0.06666666666666667,0.04,0.6842105263157895,0.5666666666666667,0.32972972972972975,0.47540983606557374,0.5,0.3793103448275862,0.32432432432432434,0.5,0.5,0.6666666666666666,0.010810810810810811,0.5238095238095238,0.18181818181818182,0.3050847457627119,0.5555555555555556,0.03389830508474576,0.45306271186440683,0.1497584541062802,0.15121951219512195,0.17647058823529413,0.3697478991596639,8.67431693989071,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,57030.0,950,113.0,1848,1831,635,638,195.0,3679,57.0,101.0,16.0,175.0,352.0,630.0,1948,35.0,166.0,62.0,95.0,5.0,23.0,223.0,14.0,161.0,213.0,26.0,239.0,39.0,23.0,61.0,50.0,69.0,144.0,4.0,635,0.4971590909090909,0.5192743764172335,0.5922053231939164,28.357487922705314,0.639344262295082,0.23435225618631733,0.02348993288590604,0.21283783783783783,0.02891566265060241,0.011976047904191617,0.2545454545454545,0.21299638989169675,0.2290249433106576,0.5643564356435643,0.6551724137931034,0.37209302325581395,0.4308390022675737,0.4597642857142857,0.45435000000000003,0.3436147186147186,9.0,15.0,34.0,43.0,94.0,75.0,157.0,82.0,31.0,89.0,172.0,20.0,13.0,59.0,53.0,112.0,34.0,87.0,238.0,184.0,8.0,82.0,20.0,1.0,33.0,24.0,9.0,34.0,10.0,2.0,28.0,24.0,1.0,22.0,15.0,7.0,22.0,6.0,16.0,6.0,5.0,22.0,2.0,3.0,9.0,197.0,16.0,70.0,30.0,30.0,20.0,,10.0,30.0,16.0,,,,5.0,238.0,4.0,30.0,0.5257142857142857,0.5380116959064327,0.5714285714285714,0.4732142857142857,0.5348837209302325,0.5171232876712328,0.6020408163265306,0.6062176165803109,0.2018140589569161,0.011235955056179775,0.056818181818181816,0.13861386138613863,0.031914893617021274,0.012195121951219513,0.3333333333333333,0.041666666666666664,0.13930348258706468,0.042735042735042736,0.04040404040404041,0.017316017316017316,0.032467532467532464,0.0625,0.24210526315789474,0.1388888888888889,0.14035087719298245,0.004878048780487805,0.5333333333333333,0.40350877192982454,0.21315192743764172,0.4574468085106383,0.4725274725274725,0.2558139534883721,0.35600907029478457,0.47770700636942676,0.487012987012987,0.7733333333333333,0.18594104308390022,0.5625,0.2222222222222222,0.2328767123287671,0.4411764705882353,0.21232876712328766,0.4451705479452054,0.1431451612903226,0.1724137931034483,0.09365079365079365,0.37777777777777777,10.549715909090914,25.10674157303371,2.0,7.0,1.0,3.0,34.0,2.0,7.0,15.0,36.0,2.0,8.0,15.0,105.0,3.0,34.0,7.0,10.0,1.0,0.9722222222222222,0.4044943820224719,0.25,0.4411764705882353,0.4044943820224719,0.01910828025477707,0.015873015873015872,0.2857142857142857,0.2857142857142857,1.0,0.4146341463414634,0.41975308641975306,0.9705882352941176,0.023255813953488372,0.16279069767441862,0.2857142857142857,1.0,0.02054794520547945,0.4838709677419355,0.4146341463414634,0.011111111111111112,,,,,,,,,,,,,,True
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,22462.0,374,69.0,744,743,193,192,77.0,1487,15.0,31.0,3.0,21.0,56.0,97.0,785,4.0,32.0,72.0,101.0,9.0,20.0,231.0,6.0,45.0,63.0,10.0,73.0,25.0,21.0,36.0,12.0,29.0,23.0,2.0,193,0.375,0.4883720930232558,0.5159574468085106,15.587529976019185,0.6944444444444444,0.1541095890410959,0.024390243902439025,0.16129032258064516,0.027439024390243903,0.06666666666666667,0.16049382716049382,0.1557377049180328,0.36046511627906974,0.4838709677419355,0.5357142857142857,0.42857142857142855,0.7093023255813954,0.5261870588235293,0.55085,0.2594086021505376,,5.0,11.0,1.0,7.0,5.0,18.0,22.0,6.0,30.0,13.0,,,6.0,6.0,15.0,8.0,4.0,25.0,10.0,,21.0,3.0,,29.0,16.0,13.0,43.0,3.0,1.0,15.0,3.0,1.0,23.0,16.0,7.0,11.0,1.0,4.0,,1.0,6.0,,1.0,1.0,19.0,3.0,9.0,2.0,3.0,2.0,,1.0,3.0,3.0,,,,1.0,25.0,4.0,2.0,0.23809523809523808,0.23809523809523808,,0.4,0.42857142857142855,0.45652173913043476,0.42857142857142855,0.4807692307692308,0.3488372093023256,,0.05357142857142857,0.0967741935483871,,,0.13043478260869565,0.041666666666666664,0.1875,0.036585365853658534,0.0125,0.009433962264150943,0.018518518518518517,0.07142857142857142,0.14606741573033707,0.19672131147540983,0.15789473684210525,0.02127659574468085,1.0,0.13333333333333333,0.08139534883720931,0.14285714285714285,0.14285714285714285,,0.20930232558139536,0.2777777777777778,0.2777777777777778,0.6,0.2558139534883721,,,0.4782608695652174,0.45454545454545453,0.2608695652173913,0.521809090909091,0.09782608695652174,0.14516129032258066,0.061855670103092786,0.25773195876288657,7.576785714285713,25.26,3.0,8.0,2.0,2.0,11.0,,1.0,3.0,14.0,2.0,3.0,3.0,39.0,3.0,11.0,7.0,,,0.9285714285714286,0.4666666666666667,0.6666666666666666,0.375,0.4827586206896552,,0.09302325581395349,0.375,0.375,1.0,0.5,0.5,0.9090909090909091,0.2857142857142857,0.14285714285714285,,,0.08695652173913043,0.5,0.5238095238095238,,2.0,1.0,1.0,1.0,,,,,,,,,,True
711,1610612742,Jerry Stackhouse,Jerry Stackhouse,711,DAL,84739.0,1412,63.0,2722,2719,883,948,313.0,5441,73.0,121.0,12.0,153.0,342.0,618.0,2921,30.0,138.0,106.0,145.0,14.0,60.0,329.0,24.0,66.0,100.0,33.0,133.0,60.0,39.0,86.0,37.0,82.0,117.0,6.0,883,0.4473684210526316,0.4619771863117871,0.5160744500846024,22.009102730819244,0.6976744186046512,0.06489675516224189,0.02654867256637168,0.0730207532667179,0.025974025974025976,0.020080321285140562,0.04,0.07598039215686274,0.2300380228136882,0.6033057851239669,0.7227722772277227,0.2608695652173913,0.5798479087452472,0.506290978886756,0.5117141025641025,0.32439382806759737,7.0,20.0,34.0,24.0,70.0,56.0,151.0,94.0,28.0,184.0,132.0,13.0,9.0,50.0,42.0,93.0,59.0,64.0,220.0,168.0,10.0,91.0,23.0,2.0,39.0,27.0,12.0,32.0,8.0,1.0,29.0,5.0,3.0,28.0,23.0,5.0,26.0,4.0,21.0,4.0,8.0,28.0,9.0,8.0,6.0,148.0,6.0,47.0,22.0,10.0,7.0,1.0,2.0,10.0,6.0,1.0,,,1.0,220.0,15.0,20.0,0.5490196078431373,0.5675675675675675,0.43333333333333335,0.45161290322580644,0.44565217391304346,0.5131578947368421,0.5,0.595108695652174,0.34980988593155893,0.010869565217391304,0.06725146198830409,0.1652892561983471,0.014285714285714285,0.010638297872340425,0.046296296296296294,0.014084507042253521,0.10211267605633803,0.024390243902439025,0.05054151624548736,0.013227513227513227,0.0319634703196347,0.009174311926605505,0.07746478873239436,0.1,0.10714285714285714,0.010752688172043012,0.6,0.6575342465753424,0.13307984790874525,0.34285714285714286,0.34782608695652173,0.25,0.2870722433460076,0.3708609271523179,0.37583892617449666,0.5357142857142857,0.17870722433460076,0.5833333333333334,0.2857142857142857,0.2236842105263158,0.5882352941176471,0.18421052631578946,0.4992799319727891,0.08787346221441125,0.1227154046997389,0.08090614886731391,0.3559870550161812,10.17017543859649,24.520652173913035,31.0,90.0,10.0,31.0,29.0,2.0,6.0,9.0,60.0,5.0,16.0,24.0,153.0,27.0,29.0,8.0,9.0,3.0,0.85,0.32608695652173914,0.3125,0.4067796610169492,0.3314917127071823,0.013245033112582781,0.17110266159695817,0.34444444444444444,0.34831460674157305,0.9354838709677419,0.30851063829787234,0.3118279569892473,0.7586206896551724,0.21739130434782608,0.13043478260869565,0.3333333333333333,0.5,0.20394736842105263,0.32142857142857145,0.31868131868131866,0.016129032258064516,3.0,3.0,0.3,1.0,15.0,1.0,0.011111111111111112,0.4838709677419355,,,,,,True
1731,1610612742,Tyronn Lue,Tyronn Lue,1731,DAL,1315.0,22,-8.0,40,39,4,11,6.0,79,2.0,2.0,,3.0,6.0,12.0,48,,4.0,,,,,,,1.0,1.0,,1.0,,,,,2.0,,,4,0.5,0.6666666666666666,0.6666666666666666,18.367346938775512,,0.07142857142857142,,0.05,,,,,0.2222222222222222,1.0,1.0,,0.5555555555555556,0.47512222222222217,,0.1,,,,,1.0,1.0,3.0,2.0,,3.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,,,,,,,,,,,,,,0.3333333333333333,,,,,0.5,0.1111111111111111,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.2222222222222222,,,,,,,,,,,12.35,25.666666666666668,1.0,1.0,,,1.0,,,,2.0,,,,6.0,,1.0,,,,1.0,0.6666666666666666,,,0.6666666666666666,,0.1111111111111111,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,0.5,,,,,,,,,,,,,,,True
2124,1610612742,Malik Allen,Malik Allen,2124,DAL,6481.0,108,5.0,203,199,35,46,32.0,402,2.0,3.0,3.0,12.0,25.0,27.0,219,5.0,8.0,3.0,4.0,1.0,,9.0,10.0,8.0,11.0,13.0,24.0,,,5.0,12.0,20.0,4.0,,35,0.48,0.48,0.5,13.278008298755186,,0.11594202898550725,0.12345679012345678,0.10526315789473684,0.11764705882352941,,0.05263157894736842,0.0625,0.12,0.6666666666666666,1.0,0.6,0.12,0.41853999999999997,0.45525,0.1724137931034483,2.0,,,3.0,6.0,7.0,16.0,,,,3.0,3.0,3.0,9.0,1.0,1.0,,2.0,4.0,16.0,4.0,,3.0,,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,5.0,,,,,1.0,,2.0,2.0,4.0,,1.0,1.0,3.0,2.0,,1.0,3.0,,,,1.0,1.0,4.0,1.0,1.0,0.6666666666666666,0.8,0.6,1.0,0.6,1.0,0.6428571428571429,1.0,,,0.12,0.3333333333333333,0.3333333333333333,,0.25,0.5,0.07692307692307693,0.09523809523809523,0.07142857142857142,0.1956521739130435,0.13333333333333333,,0.2777777777777778,0.05555555555555555,0.125,,,,0.24,0.5,0.75,0.3333333333333333,0.64,0.4375,0.4375,1.0,,0.6666666666666666,,,,,0.3848,0.038461538461538464,0.038461538461538464,0.3333333333333333,0.14814814814814814,14.628,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
956,1610612742,Erick Dampier,Erick Dampier,956,DAL,33355.0,556,,1062,1075,262,339,121.0,2137,54.0,72.0,28.0,55.0,80.0,133.0,1174,29.0,36.0,9.0,14.0,2.0,6.0,33.0,46.0,81.0,119.0,63.0,182.0,7.0,3.0,29.0,52.0,84.0,36.0,1.0,262,0.6875,0.6875,0.6519607843137255,10.907577019150708,0.2413793103448276,0.19852941176470587,0.13609467455621302,0.2046783625730994,0.1300639658848614,0.15476190476190477,0.2032520325203252,0.19879518072289157,0.9,0.75,0.8059701492537313,0.9655172413793104,0.9,0.5624837500000001,0.5585791666666667,0.24670433145009416,21.0,16.0,18.0,1.0,8.0,,,,,,23.0,21.0,6.0,48.0,16.0,19.0,,11.0,43.0,74.0,36.0,,6.0,,5.0,3.0,2.0,1.0,15.0,2.0,24.0,14.0,5.0,7.0,4.0,3.0,22.0,5.0,4.0,1.0,2.0,9.0,7.0,11.0,6.0,49.0,5.0,24.0,3.0,44.0,31.0,,13.0,44.0,29.0,8.0,1.0,2.0,2.0,43.0,3.0,3.0,0.6727272727272727,1.0,0.7241379310344828,0.8421052631578947,0.7241379310344828,0.8421052631578947,0.6666666666666666,0.6935483870967742,,,0.075,0.06944444444444445,0.125,,0.3783783783783784,0.06060606060606061,0.22857142857142856,0.11450381679389313,0.15841584158415842,0.1111111111111111,0.10752688172043011,0.13157894736842105,0.19327731092436976,0.23076923076923078,0.2222222222222222,0.2631578947368421,0.6590909090909091,0.6666666666666666,0.1,0.125,0.14285714285714285,1.0,,,,,,0.75,0.14285714285714285,0.9473684210526315,0.8888888888888888,,0.5773631578947369,0.24242424242424243,0.24242424242424243,0.3609022556390977,0.3233082706766917,0.8787500000000001,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,5999.0,100,12.0,197,197,64,82,19.0,394,2.0,5.0,1.0,3.0,14.0,9.0,205,1.0,,1.0,4.0,,1.0,11.0,5.0,12.0,17.0,5.0,22.0,2.0,1.0,5.0,10.0,16.0,3.0,1.0,64,0.21428571428571427,0.21428571428571427,0.28125,9.589041095890412,0.4,0.18461538461538463,0.07352941176470588,0.15853658536585366,0.060240963855421686,0.045454545454545456,0.16666666666666666,0.2,0.35714285714285715,0.4,0.4,1.0,0.35714285714285715,0.4885285714285715,0.5641,0.3248730964467005,,1.0,2.0,,5.0,1.0,4.0,,,,3.0,,2.0,2.0,1.0,7.0,,2.0,4.0,6.0,,,1.0,,3.0,3.0,,,,,1.0,4.0,,4.0,2.0,2.0,3.0,,1.0,,,2.0,2.0,2.0,,4.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,,0.14285714285714285,,0.14285714285714285,0.5,0.25,,,0.07142857142857142,,0.2,,0.4444444444444444,,0.058823529411764705,,0.1875,0.03333333333333333,,,0.17647058823529413,,0.125,,1.0,1.0,0.35714285714285715,,,,0.2857142857142857,0.25,0.25,1.0,,,,0.2857142857142857,0.5,,0.4890571428571428,0.06666666666666667,0.06666666666666667,0.2222222222222222,0.4444444444444444,8.435714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,50350.0,839,23.0,1618,1604,610,638,179.0,3222,28.0,49.0,2.0,103.0,195.0,426.0,1746,8.0,106.0,57.0,82.0,4.0,27.0,189.0,4.0,41.0,66.0,6.0,72.0,21.0,15.0,35.0,22.0,67.0,60.0,7.0,610,0.5282051282051282,0.558641975308642,0.5966386554621849,21.550302363936225,0.6,0.06765676567656766,0.007692307692307693,0.08311688311688312,0.00816326530612245,,0.045454545454545456,0.1037344398340249,0.15123456790123457,0.5714285714285714,0.6363636363636364,0.08695652173913043,0.5493827160493827,0.4827471962616824,0.5228735294117647,0.377008652657602,1.0,7.0,14.0,16.0,40.0,59.0,106.0,86.0,36.0,129.0,64.0,5.0,2.0,21.0,37.0,76.0,52.0,34.0,156.0,100.0,2.0,85.0,9.0,,25.0,22.0,3.0,26.0,2.0,,23.0,2.0,,29.0,20.0,9.0,14.0,3.0,6.0,1.0,1.0,12.0,4.0,4.0,2.0,72.0,5.0,28.0,9.0,7.0,5.0,,2.0,9.0,6.0,,,,1.0,156.0,19.0,9.0,0.4854368932038835,0.49019607843137253,0.625,0.4868421052631579,0.41304347826086957,0.4765625,0.4375,0.5306122448979592,0.39814814814814814,,0.046153846153846156,0.10204081632653061,0.1,,0.02666666666666667,,0.1402439024390244,0.009302325581395349,0.013986013986013986,0.00909090909090909,0.013986013986013986,,0.041916167664670656,0.12844036697247707,0.16363636363636364,,0.6666666666666666,0.32142857142857145,0.12345679012345678,0.4,0.4444444444444444,0.4375,0.3271604938271605,0.5566037735849056,0.5566037735849056,0.576271186440678,0.2654320987654321,0.5,,0.109375,0.5,0.28125,0.45562639999999993,0.08333333333333333,0.12844036697247707,0.04929577464788732,0.36619718309859156,11.93025641025641,24.668217054263575,19.0,43.0,5.0,16.0,33.0,2.0,10.0,9.0,52.0,3.0,15.0,16.0,141.0,15.0,33.0,5.0,,1.0,0.9038461538461539,0.40310077519379844,0.2,0.3076923076923077,0.40625,,0.13271604938271606,0.4418604651162791,0.4418604651162791,1.0,0.38372093023255816,0.38372093023255816,0.8484848484848485,0.21739130434782608,0.43478260869565216,0.2,1.0,0.125,0.25,0.38823529411764707,0.007692307692307693,1.0,1.0,0.2,1.0,7.0,,,0.4375,1.0,1.0,2.0,1.0,1.0,True
