EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PlusMinus,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,FtPoints,PenaltyFtPoints,PtsUnassisted3s,Fg2aBlocked,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FTOffRebounds,Loose Ball Fouls,2pt And 1 Free Throw Trips,AtRimPctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,HeaveAttempts,SelfOReb,Clear Path Fouls,BlockedLongMidRange,BlockedShortMidRange,SecondChanceFg3Pct,LongMidRangePctBlocked,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,DefensiveGoaltends,Blocked3s,BlockedArc3,BlockedCorner3,on
101162,1610612753,Marcin Gortat,Marcin Gortat,101162,ORL,178.0,3,7,7,7.0,6,14,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,14.285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5774,0.5774,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,6600.0,110,204,207,53.0,56,411,1.0,2.0,,,8.0,16.0,22.0,212,1.0,4.0,8.0,4.0,,12.0,16.0,7.0,13.0,8.0,53.0,0.5,0.25,0.3793103448275862,0.4444444444444444,0.3793103448275862,0.4444444444444444,16.379310344827587,,0.06896551724137931,0.5,0.5,,,0.5172413793103449,0.4715465517241379,0.4473944444444445,0.36363636363636365,0.25980392156862747,-1.0,24.0,2.0,3.0,5.0,11.0,1.0,3.0,1.0,2.0,1.0,10.0,1.0,3.0,2.0,13.0,2.0,3.0,4.0,2.0,5.0,12.0,6.0,2.0,10.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,13.0,1.0,3.0,5.0,7.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,9.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.75,0.8571428571428571,1.0,0.15384615384615385,0.4,0.15384615384615385,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4482758620689655,0.1111111111111111,0.07291666666666667,0.04838709677419355,0.21739130434782608,0.030303030303030304,0.10084033613445378,0.042105263157894736,0.04,0.09523809523809523,0.037037037037037035,0.0975609756097561,0.047619047619047616,0.058823529411764705,0.1111111111111111,0.6,1.0,1.0,0.10344827586206896,0.6666666666666666,0.6666666666666666,0.5,0.3793103448275862,0.45454545454545453,0.45454545454545453,0.8,0.10344827586206896,0.3333333333333333,0.3333333333333333,1.0,0.3448275862068966,0.1,0.1,1.0,0.2222222222222222,0.5,0.3333333333333333,0.3333333333333333,0.1,0.39423333333333327,0.18181818181818182,14.39375,24.48461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,7329.0,122,244,236,94.0,94,480,1.0,4.0,,1.0,12.0,22.0,53.0,269,7.0,11.0,27.0,8.0,,7.0,7.0,10.0,18.0,27.0,94.0,0.5454545454545454,0.6363636363636364,0.5384615384615384,0.5,0.5777777777777777,0.5625,18.315018315018314,,0.10256410256410256,0.25,0.25,0.05,,0.5384615384615384,0.46214358974358977,0.4519349999999999,0.5094339622641509,0.38524590163934425,19.0,27.0,2.0,5.0,9.0,13.0,2.0,7.0,,4.0,4.0,10.0,2.0,5.0,6.0,17.0,1.0,1.0,2.0,2.0,9.0,16.0,12.0,,10.0,4.0,3.0,3.0,6.0,2.0,,,15.0,,,2.0,5.0,,3.0,,1.0,3.0,,,2.0,6.0,,1.0,1.0,8.0,,,,,,,,,,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.35294117647058826,0.2222222222222222,0.35294117647058826,1.0,1.0,1.0,0.4358974358974359,0.5,0.06172839506172839,,0.07692307692307693,,0.06542056074766354,,,,,,0.1111111111111111,0.06896551724137931,0.1111111111111111,,,,0.1282051282051282,0.4,0.5,,0.3333333333333333,0.6923076923076923,0.6923076923076923,0.8888888888888888,0.1794871794871795,0.2857142857142857,0.3333333333333333,1.0,0.2564102564102564,0.4,0.4444444444444444,0.5,0.2,,0.25,0.4,0.4,0.4053,0.03773584905660377,12.799999999999999,23.72941176470588,11.0,7.0,6.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,13.0,1.0,3.0,1.0,2.0,1.0,0.11764705882352941,0.045454545454545456,0.2,0.14285714285714285,0.1,0.09302325581395349,0.12,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
200788,1610612753,James Augustine,James Augustine,200788,ORL,3957.0,66,135,136,75.0,78,271,6.0,8.0,5.0,5.0,6.0,11.0,13.0,153,5.0,5.0,11.0,4.0,1.0,7.0,12.0,4.0,9.0,11.0,75.0,0.5454545454545454,1.0,0.5454545454545454,1.0,0.5416666666666666,0.9166666666666666,8.974358974358974,0.1111111111111111,0.7272727272727273,0.75,0.8571428571428571,1.0,1.0,0.7272727272727273,0.5753818181818182,0.5997999999999999,0.8461538461538461,0.5555555555555556,-3.0,18.0,,2.0,,1.0,,,,,,,,,,,2.0,2.0,4.0,,,8.0,,4.0,,,,1.0,1.0,1.0,,,3.0,2.0,2.0,1.0,5.0,5.0,1.0,,1.0,1.0,,,1.0,2.0,,,,2.0,1.0,,,,,,,,,4.0,0.6666666666666666,1.0,,,,,1.0,1.0,1.0,,0.5,0.1388888888888889,0.05128205128205128,0.14285714285714285,0.15384615384615385,0.13953488372093023,0.07692307692307693,0.06666666666666667,,0.18181818181818182,0.3333333333333333,0.15384615384615385,,,0.3333333333333333,,0.6666666666666666,0.18181818181818182,,,,0.09090909090909091,,,,,,,,,,,,,,,,,0.5631,0.3076923076923077,3.4909090909090907,,1.0,1.0,,1.0,,,,1.0,1.0,,,3.0,,1.0,,1.0,1.0,,0.09090909090909091,,,,0.09090909090909091,0.09090909090909091,,2.0,2.0,1.0,1.0,1.0,0.125,0.2,0.1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,181578.0,3026,5877,5861,1711.0,1288,11738,228.0,391.0,65.0,112.0,390.0,804.0,1602.0,6233,110.0,219.0,518.0,588.0,37.0,388.0,471.0,120.0,244.0,518.0,1711.0,0.48507462686567165,0.502283105022831,0.5242001640689089,0.5249307479224377,0.5739411342426418,0.5863636363636363,25.022900763358777,0.21511627906976744,0.32075471698113206,0.5831202046035806,0.6298342541436464,0.31024930747922436,0.5803571428571429,0.6611977030352748,0.5023495053586147,0.48995800561797737,0.3233458177278402,0.29113493278883784,452.0,596.0,77.0,194.0,85.0,219.0,35.0,76.0,10.0,25.0,131.0,339.0,43.0,117.0,166.0,415.0,34.0,72.0,132.0,53.0,142.0,192.0,387.0,32.0,335.0,131.0,251.0,158.0,409.0,66.0,186.0,30.0,976.0,31.0,46.0,81.0,270.0,83.0,136.0,38.0,88.0,110.0,14.0,1.0,27.0,246.0,19.0,76.0,18.0,304.0,10.0,12.0,25.0,13.0,25.0,10.0,,,4.0,34.0,0.24615384615384617,0.25668449197860965,0.7771084337349398,0.4,0.3732394366197183,0.40389294403892945,0.4722222222222222,0.52,0.5689655172413793,0.34044298605414275,0.5528455284552846,0.12102196324518154,0.029831387808041506,0.1232876712328767,0.03351351351351351,0.12153739612188366,0.031211998378597488,0.03904923599320883,0.020737327188940093,0.032948929159802305,0.08931419457735247,0.12125984251968504,0.14138286893704852,0.11847389558232932,0.13836477987421383,0.4,0.2850877192982456,0.15914684167350288,0.39690721649484534,0.4207650273224044,0.11688311688311688,0.17965545529122232,0.3881278538812785,0.38990825688073394,0.25882352941176473,0.062346185397867106,0.4605263157894737,0.4605263157894737,0.9714285714285714,0.2780968006562756,0.3864306784660767,0.3887240356083086,0.7251908396946565,0.06925207756232687,0.4,0.32409972299168976,0.36752136752136755,0.39104477611940297,0.5035317567567568,0.08239700374531835,7.446641791044779,25.54674698795182,324.0,139.0,111.0,41.0,2.0,92.0,35.0,74.0,38.0,36.0,48.0,391.0,3.0,176.0,1.0,36.0,34.0,0.004819277108433735,0.05099502487562189,0.05670103092783505,,0.0058997050147492625,0.13043478260869565,0.18703506907545164,0.002403846153846154,24.0,41.0,6.0,14.0,39.0,0.0741687979539642,0.02459016393442623,0.02697495183044316,0.41,0.5853658536585366,2.0,6.0,10.0,22.0,12.0,28.0,28.0,4.0,21.0,1.0,3.0,9.0,0.42857142857142855,0.0045662100456621,0.03459119496855346,0.03488372093023256,0.125,0.06,0.3333333333333333,0.5,0.22,0.45454545454545453,1.0,,,,,,True
2230,1610612753,Maurice Evans,Maurice Evans,2230,ORL,68304.0,1138,2177,2166,505.0,386,4343,96.0,147.0,12.0,23.0,114.0,203.0,435.0,2392,14.0,34.0,75.0,72.0,1.0,78.0,127.0,40.0,83.0,75.0,505.0,0.5615763546798029,0.4117647058823529,0.5973837209302325,0.546875,0.6024930747922438,0.5434782608695652,15.873666940114848,0.01694915254237288,0.4273255813953488,0.6530612244897959,0.7804878048780488,0.359375,0.5217391304347826,0.8372093023255814,0.5705207848837208,0.539446875,0.1724137931034483,0.23197060174552137,134.0,234.0,13.0,27.0,5.0,29.0,55.0,123.0,11.0,23.0,6.0,18.0,3.0,7.0,61.0,141.0,26.0,46.0,58.0,14.0,30.0,156.0,165.0,30.0,18.0,6.0,40.0,7.0,47.0,4.0,25.0,12.0,101.0,17.0,31.0,21.0,56.0,49.0,14.0,1.0,7.0,12.0,,4.0,1.0,26.0,1.0,7.0,2.0,37.0,3.0,5.0,4.0,2.0,4.0,3.0,,,2.0,9.0,0.6842105263157895,0.7878787878787878,0.9016393442622951,0.4326241134751773,0.4666666666666667,0.4326241134751773,0.5652173913043478,0.5392156862745098,0.5471698113207547,0.40988372093023256,0.5384615384615384,0.06965174129353234,0.05410122164048865,0.09545454545454546,0.054140127388535034,0.0751953125,0.05411499436302142,0.05116279069767442,0.04697986577181208,0.07368421052631578,0.028708133971291867,0.055793991416309016,0.10220994475138122,0.07947019867549669,0.13043478260869565,0.75,0.6875,0.07848837209302326,0.48148148148148145,0.5416666666666666,0.6153846153846154,0.08430232558139535,0.1724137931034483,0.17857142857142858,0.8,0.35755813953488375,0.44715447154471544,0.44715447154471544,0.8909090909090909,0.05232558139534884,0.3333333333333333,0.3333333333333333,1.0,0.359375,0.4782608695652174,0.109375,0.42857142857142855,0.3333333333333333,0.5531352941176471,0.13333333333333333,3.840394088669951,23.721276595744683,24.0,5.0,18.0,28.0,,3.0,3.0,25.0,12.0,13.0,7.0,39.0,,17.0,1.0,4.0,4.0,,0.13793103448275862,0.1111111111111111,,,0.05042016806722689,0.0787037037037037,0.0070921985815602835,23.0,39.0,1.0,4.0,4.0,0.16326530612244897,0.010638297872340425,0.06220095693779904,0.7647058823529411,0.5897435897435898,1.0,5.0,,,1.0,5.0,3.0,,4.0,,1.0,1.0,0.2,0.034482758620689655,0.024193548387096774,0.029197080291970802,0.2608695652173913,0.09803921568627451,0.2,,,,,1.0,,,,,True
2306,1610612753,Carlos Arroyo,Carlos Arroyo,2306,ORL,55175.0,920,1751,1731,563.0,348,3482,32.0,55.0,13.0,22.0,86.0,173.0,296.0,1872,31.0,61.0,127.0,146.0,1.0,69.0,77.0,28.0,62.0,127.0,563.0,0.49710982658959535,0.5081967213114754,0.5021367521367521,0.5411764705882353,0.5584905660377358,0.6105769230769231,16.274309109518935,0.023255813953488372,0.23504273504273504,0.5818181818181818,0.6274509803921569,0.25882352941176473,0.5909090909090909,0.49572649572649574,0.4839228632478633,0.48309529411764707,0.42905405405405406,0.32153055396916047,173.0,183.0,9.0,19.0,45.0,99.0,5.0,19.0,4.0,8.0,16.0,42.0,6.0,16.0,21.0,61.0,8.0,11.0,19.0,10.0,24.0,26.0,39.0,,42.0,16.0,72.0,81.0,153.0,59.0,53.0,10.0,387.0,2.0,5.0,25.0,43.0,8.0,28.0,6.0,17.0,25.0,1.0,1.0,5.0,53.0,5.0,20.0,7.0,72.0,2.0,12.0,2.0,1.0,2.0,,,,,9.0,0.1511627906976744,0.1511627906976744,0.6190476190476191,0.3442622950819672,0.4166666666666667,0.3442622950819672,0.7272727272727273,0.6785714285714286,0.6785714285714286,0.2606837606837607,0.5283018867924528,0.06323529411764706,0.010845986984815618,0.1358695652173913,0.007462686567164179,0.0787037037037037,0.009602194787379973,0.013071895424836602,0.006535947712418301,0.010638297872340425,0.021052631578947368,0.05825242718446602,0.09507042253521127,0.1366906474820144,0.13333333333333333,,,0.0811965811965812,0.47368421052631576,0.5,,0.4230769230769231,0.45454545454545453,0.45918367346938777,0.28888888888888886,0.0811965811965812,0.2631578947368421,0.2631578947368421,1.0,0.1794871794871795,0.38095238095238093,0.38095238095238093,0.5,0.09411764705882353,0.5,0.18823529411764706,0.375,0.38095238095238093,0.49115000000000003,0.06418918918918919,12.03063583815029,24.924590163934425,61.0,35.0,24.0,6.0,,22.0,9.0,19.0,11.0,8.0,11.0,71.0,1.0,28.0,,11.0,11.0,,0.03468208092485549,0.05263157894736842,,,0.11023622047244094,0.14507772020725387,,3.0,4.0,1.0,2.0,8.0,0.07272727272727272,0.01282051282051282,0.012903225806451613,0.2857142857142857,0.75,1.0,1.0,,2.0,1.0,3.0,,,1.0,,,1.0,0.3333333333333333,0.010101010101010102,,0.008333333333333333,,0.07142857142857142,1.0,1.0,0.14285714285714285,,,,,,,,True
2567,1610612753,Brian Cook,Brian Cook,2567,ORL,16112.0,269,499,503,152.0,154,1002,8.0,15.0,2.0,4.0,19.0,49.0,112.0,539,6.0,11.0,31.0,24.0,5.0,40.0,51.0,28.0,47.0,31.0,152.0,0.3877551020408163,0.5454545454545454,0.5260416666666666,0.5217391304347826,0.5544554455445545,0.5961538461538461,20.462633451957295,0.3333333333333333,0.15625,0.5333333333333333,0.6666666666666666,0.17391304347826086,0.5,0.6458333333333334,0.48089531249999995,0.47198913043478263,0.2767857142857143,0.3046092184368738,50.0,50.0,3.0,12.0,8.0,22.0,,,,,21.0,47.0,4.0,12.0,21.0,47.0,4.0,9.0,14.0,4.0,12.0,14.0,63.0,8.0,47.0,21.0,8.0,6.0,14.0,4.0,6.0,1.0,34.0,2.0,8.0,5.0,30.0,11.0,7.0,3.0,7.0,7.0,,,2.0,14.0,,3.0,,13.0,5.0,2.0,8.0,5.0,8.0,6.0,1.0,,,5.0,0.3684210526315789,0.4666666666666667,1.0,0.44680851063829785,0.3333333333333333,0.44680851063829785,0.4444444444444444,0.36363636363636365,0.5,0.4895833333333333,0.5,0.15625,0.053691275167785234,0.11363636363636363,0.030303030303030304,0.1483050847457627,0.046511627906976744,0.06,0.02,0.0425531914893617,0.13725490196078433,0.12121212121212122,0.2,0.06060606060606061,0.2727272727272727,0.75,0.375,0.125,0.25,0.25,,0.22916666666666666,0.36363636363636365,0.36363636363636365,0.5,,,,,0.4895833333333333,0.44680851063829785,0.44680851063829785,1.0,,,0.5217391304347826,0.3333333333333333,0.44680851063829785,0.5005181818181819,0.125,11.06938775510204,25.87872340425532,11.0,7.0,,3.0,,2.0,1.0,10.0,6.0,4.0,,11.0,,4.0,,2.0,2.0,,0.061224489795918366,,,,0.04040404040404041,0.07692307692307693,,4.0,7.0,1.0,4.0,1.0,0.2,0.05,0.08163265306122448,0.6363636363636364,0.5714285714285714,,,,2.0,,2.0,6.0,,1.0,,,3.0,,,,0.019230769230769232,,,,,0.18181818181818182,,,,1.0,,,,True
1502,1610612753,Adonal Foyle,Adonal Foyle,1502,ORL,33046.0,551,1002,1019,186.0,164,2021,35.0,72.0,7.0,15.0,54.0,112.0,118.0,1030,12.0,25.0,26.0,44.0,8.0,92.0,146.0,41.0,68.0,26.0,186.0,0.48214285714285715,0.48,0.48214285714285715,0.48,0.4796747967479675,0.48148148148148145,12.401055408970977,0.3333333333333333,0.6428571428571429,0.4861111111111111,0.625,0.6,0.4666666666666667,0.6428571428571429,0.5082160714285714,0.500308,0.22033898305084745,0.18562874251497005,58.0,119.0,19.0,40.0,,,,,,,,,,,,,15.0,37.0,34.0,,,64.0,,22.0,,,12.0,3.0,15.0,2.0,8.0,1.0,33.0,13.0,41.0,19.0,65.0,54.0,5.0,2.0,2.0,13.0,1.0,1.0,3.0,18.0,2.0,1.0,4.0,29.0,5.0,7.0,32.0,26.0,32.0,17.0,,2.0,7.0,3.0,0.5925925925925926,0.7441860465116279,,,,,0.40540540540540543,0.40540540540540543,0.4146341463414634,,0.2777777777777778,0.15046296296296297,0.12202380952380952,0.19,0.08176100628930817,0.15789473684210525,0.10909090909090909,0.1323529411764706,0.14285714285714285,0.06422018348623854,0.14814814814814814,0.13076923076923078,0.16766467065868262,0.20512820512820512,0.13636363636363635,0.53125,0.6857142857142857,0.35714285714285715,0.475,0.48717948717948717,0.42105263157894735,,,,,,,,,,,,,,,,,,0.5389571428571428,0.288135593220339,2.761607142857142,,10.0,2.0,,17.0,,1.0,3.0,12.0,8.0,4.0,3.0,23.0,,10.0,,2.0,2.0,,0.15178571428571427,0.025,,,0.08264462809917356,0.08264462809917356,,12.0,28.0,,9.0,1.0,0.2222222222222222,,0.08421052631578947,0.7567567567567568,0.42857142857142855,,,,,,,4.0,,4.0,,,6.0,,,0.12,0.0975609756097561,0.25,,,,,,,,,,,,True
2039,1610612753,Keyon Dooling,Keyon Dooling,2039,ORL,52880.0,881,1689,1701,595.0,498,3390,41.0,72.0,8.0,16.0,109.0,214.0,384.0,1756,23.0,60.0,108.0,172.0,2.0,69.0,73.0,32.0,90.0,108.0,595.0,0.5093457943925234,0.38333333333333336,0.5197628458498024,0.35135135135135137,0.6019417475728155,0.5097087378640777,17.99894123875066,0.037037037037037035,0.2845849802371542,0.5694444444444444,0.6833333333333333,0.21621621621621623,0.5,0.43873517786561267,0.46415694444444444,0.44008630136986304,0.28125,0.35227945529899346,113.0,172.0,25.0,53.0,43.0,89.0,7.0,10.0,1.0,2.0,8.0,29.0,1.0,12.0,15.0,39.0,5.0,11.0,11.0,2.0,14.0,46.0,36.0,,29.0,8.0,35.0,46.0,81.0,32.0,23.0,9.0,208.0,1.0,3.0,15.0,52.0,4.0,16.0,3.0,10.0,16.0,4.0,1.0,,32.0,1.0,12.0,7.0,108.0,2.0,14.0,4.0,3.0,4.0,2.0,,,2.0,14.0,0.21100917431192662,0.21100917431192662,0.8,0.38461538461538464,0.14285714285714285,0.38461538461538464,0.45454545454545453,0.38461538461538464,0.38461538461538464,0.1541501976284585,0.5,0.08074534161490683,0.006263048016701462,0.07317073170731707,0.004329004329004329,0.07891637220259129,0.005633802816901409,0.0111731843575419,,0.005988023952095809,0.06,0.055248618784530384,0.11406844106463879,0.08387096774193549,0.04,0.5,0.34146341463414637,0.20948616600790515,0.4716981132075472,0.5208333333333334,0.12,0.35177865612648224,0.48314606741573035,0.4942528735632184,0.13953488372093023,0.039525691699604744,0.7,0.7777777777777778,1.0,0.11462450592885376,0.27586206896551724,0.27586206896551724,0.625,0.02702702702702703,0.5,0.16216216216216217,0.08333333333333333,0.27586206896551724,0.49476499999999995,0.028645833333333332,9.916822429906544,25.541025641025644,121.0,56.0,9.0,19.0,1.0,14.0,3.0,19.0,10.0,9.0,6.0,141.0,14.0,50.0,1.0,19.0,18.0,0.02564102564102564,0.08878504672897196,0.09433962264150944,0.1,,0.17586206896551723,0.2,0.025,1.0,5.0,,1.0,14.0,0.16666666666666666,,0.006622516556291391,0.38461538461538464,0.2,,,,2.0,,2.0,1.0,,1.0,,1.0,,,0.02247191011235955,,0.00980392156862745,,,,,0.15384615384615385,,,,,,,,True
