EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,Usage,LiveBallTurnoverPct,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,PtsAssisted2s,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,AtRimAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangePctBlocked,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,3SecondViolations,Corner3FGM,PenaltyArc3FGM,PenaltyFG3M,Arc3Assists,PenaltyFg3Pct,DefAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Accuracy,Loose Ball Fouls Drawn,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceTurnovers,ShortMidRangePctBlocked,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Clear Path Fouls,Loose Ball Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,FTOffRebounds,OffensiveGoaltends,OffFTReboundPct
101114,1610612762,Deron Williams,Deron Williams,101114,UTA,162.0,3,4.0,6,5,2.0,11,3,1.0,1.0,1.0,16.666666666666668,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,1610612762,Matt Harpring,Matt Harpring,1723,UTA,150.0,2,3.0,5,5,2.0,10,6,,,,33.333333333333336,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6259,0.5983,0.5983,0.5,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200794,1610612762,Paul Millsap,Paul Millsap,200794,UTA,2115.0,35,-13.0,72,70,51.0,142,79,5.0,5.0,6.0,25.0,0.8333333333333334,51.0,12.0,1.0,5.0,1.0,2.0,1.0,2.0,7.0,13.0,19.0,2.0,4.0,6.0,5.0,8.0,12.0,8.0,2.0,1.0,1.0,,2.0,3.0,5.0,9.0,4.0,13.0,2.0,5.0,3.0,12.0,51.0,0.5384615384615384,0.5,0.625,0.5384615384615384,0.5,0.625,0.6333333333333333,0.6,0.6666666666666666,0.35714285714285715,0.12,0.28,0.13793103448275862,0.07692307692307693,0.25,0.38461538461538464,0.2,0.5,0.5,0.5,0.25,0.5,0.38461538461538464,0.4474153846153846,0.5005333333333333,0.40535,0.3157894736842105,0.631578947368421,0.7083333333333334,2.0,3.0,4.0,5.0,5.0,2.0,2.0,6.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,0.42857142857142855,0.5,0.23076923076923078,0.6,0.6666666666666666,0.18181818181818182,0.25,0.2222222222222222,0.5,0.6666666666666666,0.25,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.38461538461538464,0.8,0.8,0.5,0.2,0.2,8.938461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201165,1610612762,Morris Almond,Morris Almond,201165,UTA,2351.0,39,-13.0,81,79,55.0,160,87,1.0,,2.0,21.50537634408602,0.5,60.0,12.0,1.0,3.0,,,1.0,2.0,3.0,11.0,13.0,,,,3.0,10.0,9.0,2.0,,2.0,3.0,,7.0,,1.0,2.0,,2.0,1.0,5.0,5.0,9.0,60.0,0.2727272727272727,,0.3,0.3,,0.23076923076923078,0.3611111111111111,,0.3,0.058823529411764705,,0.07142857142857142,,,,0.2,0.3333333333333333,0.5,,,0.15384615384615385,0.5,0.4666666666666667,0.46418,,0.4427692307692308,,0.6923076923076923,0.7407407407407407,1.0,2.0,1.0,6.0,4.0,,3.0,4.0,2.0,1.0,,1.0,,1.0,,1.0,2.0,,6.0,,2.0,,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.3333333333333333,,0.09090909090909091,,,,0.125,0.125,0.13333333333333333,0.5,0.5,,0.4,0.16666666666666666,0.2,1.0,0.11764705882352941,0.15384615384615385,11.663636363636364,2.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.26666666666666666,0.16666666666666666,1.0,0.13333333333333333,0.13333333333333333,0.5,0.5,1.0,0.15384615384615385,0.07692307692307693,0.5,24.325000000000003,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246,1610612762,Mehmet Okur,Mehmet Okur,2246,UTA,212.0,4,4.0,7,7,4.0,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,0.5,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,1610612762,Kyle Korver,Kyle Korver,2594,UTA,812.0,14,-14.0,27,25,20.0,52,31,1.0,,3.0,24.13793103448276,0.3333333333333333,13.0,2.0,,,,,,,2.0,3.0,4.0,,,,,,,,,1.0,1.0,,2.0,,,1.0,,1.0,,,,,13.0,0.6666666666666666,,,0.5,,,0.5,,,,,0.14285714285714285,,,,,,,,,,,0.25,0.4324125,,0.57435,,,0.48148148148148145,2.0,2.0,,1.0,,,,4.0,,1.0,,1.0,,,,2.0,1.0,,,,,,1.0,1.0,,,,0.2,,,,,0.3333333333333333,0.5,1.0,1.0,1.0,0.25,,,,,,13.666666666666666,1.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,0.25,,,0.25,,,,,1.0,,,24.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101139,1610612762,CJ Miles,CJ Miles,101139,UTA,1389.0,23,-2.0,49,49,33.0,98,50,,,,20.689655172413794,,45.0,9.0,2.0,4.0,1.0,1.0,2.0,4.0,4.0,8.0,15.0,1.0,1.0,3.0,4.0,8.0,11.0,4.0,,,1.0,,3.0,,2.0,2.0,,2.0,1.0,2.0,1.0,11.0,45.0,0.5,1.0,0.5,0.6363636363636364,1.0,0.55,0.625,0.75,0.55,0.14285714285714285,,0.1,,,,0.36363636363636365,0.5,0.5,1.0,1.0,0.4,0.5,0.6363636363636364,0.5230181818181818,0.5573,0.528895,0.2,0.7333333333333333,0.9183673469387755,,,2.0,4.0,1.0,1.0,,4.0,,,,,,3.0,1.0,,,,2.0,,1.0,1.0,0.5,0.5,,,,,,,,0.14285714285714285,,,,,,0.36363636363636365,0.5,0.5,0.5,0.08333333333333333,0.1111111111111111,9.9625,1.0,,1.0,2.0,2.0,2.0,3.0,2.0,6.0,2.0,1.0,1.0,,,2.0,,,,,,1.0,0.6666666666666666,0.6666666666666666,0.2727272727272727,,0.5,0.09090909090909091,0.18181818181818182,0.5,0.5,1.0,,0.2,0.5,24.8,,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101179,1610612762,Ronnie Price,Ronnie Price,101179,UTA,558.0,9,,22,23,19.0,45,21,1.0,1.0,2.0,23.076923076923077,0.5,22.0,4.0,,1.0,,,,1.0,,2.0,5.0,,,,,2.0,5.0,,,2.0,2.0,,4.0,1.0,,,1.0,1.0,1.0,2.0,1.0,5.0,22.0,,,,0.5,,0.5,0.625,,0.625,,0.125,,0.1111111111111111,,,0.3333333333333333,,,,,0.3333333333333333,,0.6666666666666666,0.4042333333333333,,0.4042333333333333,,1.0,1.0,,,,1.0,2.0,,2.0,,1.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,,,,0.5,1.0,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,0.25,0.3333333333333333,10.4,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,1.0,25.3,,,1.0,1.0,,1.0,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,1610612762,Gordan Giricek,Gordan Giricek,1921,UTA,116.0,2,-2.0,6,6,4.0,12,6,,,,16.666666666666668,,6.0,,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,2.0,6.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,0.332,,0.332,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201178,1610612762,Kyrylo Fesenko,Kyrylo Fesenko,201178,UTA,474.0,8,-3.0,16,17,10.0,33,17,,,,20.0,,16.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,,2.0,2.0,,,2.0,2.0,,1.0,3.0,4.0,16.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,,0.2857142857142857,,0.2222222222222222,1.0,,0.6666666666666666,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.3440666666666667,0.36785,0.3440666666666667,1.0,1.0,1.0,,1.0,,,2.0,2.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,2.7000000000000006,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
