EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,Offensive Fouls Drawn,ShortMidRangePctBlocked,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFGA,SecondChanceFG2A,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,ShootingFouls,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,Arc3FGA,FG3A,FtPoints,PenaltyFtPoints,NonHeaveArc3FGA,FTDefRebounds,SelfOReb,Steals,BadPassSteals,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APct,DefFTReboundPct,SelfORebPct,Arc3Frequency,Avg3ptShotDistance,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,Corner3Assists,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,ShortMidRangeFGM,PtsUnassisted2s,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,LiveBallTurnovers,LostBallTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffLongMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BadPassTurnovers,SecondChanceTurnovers,on,SecondChanceFtPoints,LongMidRangeAssists,OffThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,BlockedAtRim,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,ShortMidRangeAssists,FTOffRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Clear Path Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked
101113,1610612754,Ike Diogu,Ike Diogu,101113,IND,117.0,2,4.0,5,6,4,6,1.0,11,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2,1.0,2.0,2.0,2.0,1.0,2.0,4,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,33.333333333333336,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.49065,0.49065,1.0,1.95,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101261,1610612754,Andre Owens,Andre Owens,101261,IND,252.0,4,,9,9,4,8,2.0,18,,,,,,1.0,,8,,,,,1.0,,4,,,,,,,,,1.0,,9.090909090909092,,,,,,,,0.3552,,,4.2,0.4444444444444444,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201235,1610612754,Courtney Sims,Courtney Sims,201235,IND,668.0,11,-1.0,25,27,16,26,5.0,52,,1.0,,,,1.0,,24,,,,,,,16,,,,,,,,,,,3.3333333333333335,1.0,,,,,,1.0,0.5441,,,2.4,0.64,,,1.0,,2.0,,1.0,2.0,2.0,,,,,0.1111111111111111,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.14285714285714285,0.125,0.07142857142857142,0.5,0.25,1.0,0.5441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,1610612754,Jamaal Tinsley,Jamaal Tinsley,2224,IND,303.0,5,1.0,12,13,8,13,3.0,25,,1.0,,,,2.0,2.0,11,,,2.0,,,2.0,8,,,,,,,0.25,1.0,,,26.666666666666668,0.3333333333333333,,,,,,0.6666666666666666,0.45798333333333335,,1.0,6.95,0.6666666666666666,1.0,,,,,,1.0,2.0,1.0,1.0,,,,,,0.3333333333333333,1.0,1.0,,,1.0,,1.0,1.0,,0.16666666666666666,0.125,1.0,,1.0,0.4486,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,1610612754,Mike Dunleavy,Mike Dunleavy,2399,IND,379.0,6,4.0,14,17,9,17,2.0,31,,1.0,,,,2.0,6.0,9,,,4.0,,1.0,4.0,9,,,,,0.5,1.5,0.6,1.0,0.5,1.0,31.25,0.3333333333333333,,,,,,0.6666666666666666,0.5357666666666666,0.57,0.6666666666666666,10.95,0.6428571428571429,,1.0,2.0,,5.0,,2.0,2.0,,2.0,,,,0.2222222222222222,,,,1.0,1.0,1.0,,2.0,,,0.2857142857142857,,,,,,0.3719,1.0,1.0,3.0,1.0,1.0,,,,,4.0,,,0.3333333333333333,,,0.3333333333333333,24.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101122,1610612754,Danny Granger,Danny Granger,101122,IND,186.0,3,-3.0,7,7,4,7,2.0,14,,,,,,1.0,,9,,1.0,,,,,4,,,,,,,,,,,22.22222222222222,,,,,,,0.5,0.504725,0.4123,,20.7,0.5714285714285714,,,,,,1.0,3.0,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,0.5,1.0,,0.5,25.8,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,1610612754,Marquis Daniels,Marquis Daniels,2605,IND,387.0,6,,14,14,9,13,2.0,28,,,,,1.0,1.0,2.0,15,1.0,1.0,2.0,,,2.0,9,,,1.0,1.0,0.5,0.5,0.5,0.5,,,18.75,,,,,,,0.5,0.5125,0.5125,1.0,10.6,0.6428571428571429,1.0,,,,,,1.0,1.0,,,,,,0.2,,0.5,,,,,,1.0,,,0.2,,,,,,,1.0,1.0,,,1.0,,,,,,,,0.5,,,0.5,24.7,,,,1.0,,,1.0,,,,,,,,,0.5,,,,,,0.5,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,1610612754,David Harrison,David Harrison,2758,IND,176.0,3,-2.0,7,6,4,6,2.0,13,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8,1.0,1.0,4.0,,,4.0,4,,,1.0,1.0,1.0,1.0,1.0,1.0,,,33.333333333333336,1.0,1.0,1.0,,1.0,1.0,1.0,0.4763,0.4763,1.0,2.6,0.5714285714285714,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,0.3333333333333333,0.2,,,1.0,0.4763,,,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,0.5,,,2.0,,,1.0,1.0,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101143,1610612754,Travis Diener,Travis Diener,101143,IND,365.0,6,-2.0,13,14,8,13,2.0,27,,,,,1.0,1.0,5.0,13,,,3.0,,,3.0,8,,,1.0,,0.625,0.75,0.625,0.75,,,26.666666666666668,,,,,,,0.75,0.4801875,0.6072,0.6,18.1,0.6153846153846154,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,3.0,,,2.0,,,,,,,,0.75,,,0.5,24.633333333333336,1.0,,,1.0,1.0,1.0,2.0,3.0,,,,1.0,0.3333333333333333,0.5,0.3333333333333333,,,0.25,,,,0.5,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416,1610612754,Kareem Rush,Kareem Rush,2416,IND,206.0,3,-6.0,7,7,3,6,2.0,14,,,,,,,,10,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
