EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffAtRimReboundPct,DefArc3ReboundPct,LongMidRangePctAssisted,Corner3FGA,PenaltyCorner3FGA,ThreePtAssists,Corner3Assists,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Technical Free Throw Trips,Defensive 3 Seconds Violations,LiveBallTurnoverPct,Corner3Frequency,PenaltyCorner3Frequency,LostBallSteals,LostBallTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,BlockedLongMidRange,DefAtRimReboundPct,SecondChanceAtRimPctAssisted,PtsUnassisted3s,Arc3Assists,Offensive Fouls Drawn,ShortMidRangeAssists,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,Corner3FGM,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Loose Ball Fouls,DefensiveGoaltends,OffCorner3ReboundPct,Offensive Fouls,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Fg3aBlocked,FTOffRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,OffensiveGoaltends,3SecondViolations,HeaveMakes,Clear Path Fouls,BlockedCorner3
101110,1610612757,Martell Webster,Martell Webster,101110,POR,1689.0,28,14.0,57,59,35,42.0,12.0,116,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,10.0,1.0,1.0,7.0,18.0,53.0,2.0,5.0,4.0,8.0,4.0,7.0,1.0,1.0,5.0,16.0,2.0,6.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,6.0,1.0,4.0,1.0,3.0,4.0,5.0,9.0,2.0,1.0,1.0,1.0,3.0,6.0,1.0,10.0,5.0,2.0,1.0,1.0,2.0,1.0,16.0,35,1.0,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,0.4,0.4,0.5714285714285714,0.5,0.4,0.6875,0.5625,0.5,0.6666666666666666,0.0909090909090909,22.857142857142858,0.1578947368421052,0.2105263157894736,0.1666666666666666,0.125,0.16,0.1851851851851851,0.5,0.2307692307692307,0.2,0.5,0.0909090909090909,0.3333333333333333,0.3333333333333333,0.5,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.1818181818181818,0.5,0.5,0.4545454545454545,0.2,0.2,0.0909090909090909,1.0,1.0,1.0,0.4,0.5,0.375,0.6666666666666666,0.125,1.0,0.3636363636363636,1.0,0.4961045454545454,0.4381,0.52720625,0.3125,0.3333333333333333,0.4444444444444444,0.8888888888888888,11.51,25.4,0.6140350877192983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101112,1610612757,Channing Frye,Channing Frye,101112,POR,868.0,14,26.0,28,27,15,16.0,7.0,55,,,,,,,,,3.0,5.0,,,,,3.0,5.0,,,2.0,8.0,17.0,,,2.0,2.0,,1.0,,,,,4.0,2.0,,,,,1.0,1.0,1.0,,2.0,,1.0,1.0,2.0,3.0,1.0,4.0,,1.0,1.0,3.0,4.0,1.0,,2.0,1.0,,,,,,,15,1.0,0.6666666666666666,0.6666666666666666,,,,,0.6,,,0.6,,,0.6666666666666666,1.0,,,17.142857142857142,0.2857142857142857,0.1111111111111111,0.3333333333333333,,0.3,0.0909090909090909,,,,,0.4,,,,,,,,,,,1.0,0.6,0.6,,,,,,,,,,,,,0.3856,,0.3847,0.1666666666666666,0.1666666666666666,0.25,,18.48,,0.5357142857142857,0.5,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101127,1610612757,Jarrett Jack,Jarrett Jack,101127,POR,807.0,13,-8.0,25,28,2,14.0,4.0,53,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,38.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,2.0,3.0,,2.0,7.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,2,,,,,,,,,,,,,,,,,0.5,13.793103448275865,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1.0,,,,,,1.0,,0.537925,0.5156,0.56025,,,1.0,,,23.3,0.08,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,1610612757,Raef LaFrentz,Raef LaFrentz,1711,POR,1621.0,27,28.0,58,57,38,42.0,10.0,115,6.0,6.0,2.0,2.0,3.0,3.0,,,2.0,5.0,,,,,8.0,11.0,,1.0,3.0,19.0,48.0,3.0,3.0,1.0,7.0,4.0,7.0,,1.0,,8.0,14.0,2.0,,2.0,,,1.0,1.0,1.0,,2.0,,2.0,1.0,3.0,4.0,2.0,6.0,,1.0,,3.0,3.0,3.0,,3.0,3.0,1.0,,,1.0,1.0,8.0,38,,0.875,1.0,,,,,0.7272727272727273,1.0,0.5714285714285714,0.6666666666666666,1.0,0.5,0.7916666666666666,1.1666666666666667,0.5,0.0833333333333333,19.11764705882353,0.1666666666666666,0.1176470588235294,0.1666666666666666,,0.1666666666666666,0.0909090909090909,,0.0769230769230769,,0.25,0.1,,,1.0,0.5,1.0,1.0,0.8333333333333334,,,,0.4166666666666667,0.4,0.4,,,,,0.6666666666666666,1.0,0.375,1.0,,,0.5833333333333334,,0.4770833333333332,0.5013666666666666,0.461425,0.25,0.2727272727272727,0.3684210526315789,0.4210526315789473,8.645454545454546,24.1,0.6551724137931034,0.5,0.25,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,0.0833333333333333,0.125,1.0,1.0,1.0,3.0,1.0,0.25,0.5,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201192,1610612757,Taurean Green,Taurean Green,201192,POR,2629.0,44,-1.0,88,90,46,54.0,15.0,178,1.0,2.0,,,1.0,1.0,,,2.0,6.0,1.0,8.0,1.0,4.0,3.0,8.0,1.0,8.0,8.0,17.0,97.0,,,,,2.0,3.0,1.0,4.0,4.0,11.0,,6.0,,,8.0,1.0,7.0,8.0,4.0,3.0,17.0,,,2.0,2.0,4.0,,4.0,,1.0,1.0,2.0,3.0,5.0,,8.0,4.0,,,,,,11.0,46,,,,,0.125,0.25,0.125,0.375,,0.6666666666666666,0.28125,,0.5,0.425,,0.6111111111111112,0.5,25.96153846153846,0.074074074074074,,0.2222222222222222,,0.1111111111111111,,,,,,0.0666666666666666,0.3333333333333333,,,0.125,0.5,0.5,,,,,0.375,0.3333333333333333,0.3333333333333333,0.5,0.125,0.125,,,,0.1428571428571428,1.0,0.5714285714285714,0.25,0.625,0.125,0.461809375,,0.4764071428571429,0.2,0.3333333333333333,,0.6470588235294118,16.2625,25.3125,0.5227272727272727,,0.1666666666666666,,,,1.0,,5.0,1.0,3.0,2.0,7.0,,,0.7142857142857143,,,,2.0,3.0,,,0.2,,3.0,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200771,1610612757,Sergio Rodriguez,Sergio Rodriguez,200771,POR,649.0,11,5.0,26,24,25,21.0,5.0,50,,,,,,,,,,,,,,,,,,,2.0,2.0,24.0,,,,,,,,,2.0,2.0,,,,,,,1.0,1.0,,,2.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,2.0,1.0,,,,,,2.0,25,,,,,,,,,,,,,,1.0,,1.0,,6.0606060606060606,0.125,,,,0.0833333333333333,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,0.9615384615384616,,,,,,,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201177,1610612757,Josh McRoberts,Josh McRoberts,201177,POR,559.0,9,9.0,18,18,5,14.0,4.0,36,1.0,2.0,,,,,,,,,,,,,1.0,2.0,,,,2.0,10.0,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,5,,1.0,1.0,,,,,0.5,,,0.5,,,0.5,,,,9.090909090909092,,,,,,,,,,,,,,,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,0.573,,,,,,,,,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,1610612757,Steve Blake,Steve Blake,2581,POR,614.0,10,-7.0,19,20,14,5.0,2.0,39,,,,,,,,,,,,,,,,,,1.0,,,25.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,1.0,10.0,0.2,,,,0.1666666666666666,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.55575,,0.55575,,,,,,22.5,0.7368421052631579,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,1610612757,Travis Outlaw,Travis Outlaw,2566,POR,1739.0,29,-19.0,60,61,27,38.0,9.0,121,1.0,2.0,,1.0,,,1.0,3.0,4.0,10.0,,,,,6.0,15.0,1.0,3.0,2.0,17.0,76.0,,1.0,,,4.0,8.0,,,2.0,10.0,8.0,4.0,3.0,,,,,,,,,1.0,1.0,3.0,3.0,6.0,2.0,8.0,,3.0,3.0,1.0,1.0,1.0,,2.0,1.0,,,,,,10.0,27,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,,0.3333333333333333,0.4,,0.5,0.4166666666666667,,0.5,0.4473684210526316,,0.5555555555555556,0.1666666666666666,27.142857142857142,0.1578947368421052,0.0476190476190476,0.5,0.1,0.24,0.064516129032258,,0.0714285714285714,0.2,0.2,0.1,0.5,,,0.1111111111111111,0.5,0.5,,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.4,0.4,,,,,1.0,,,,,,0.2777777777777778,,0.4551527777777777,,0.3863625,0.0526315789473684,0.0625,,0.5882352941176471,14.766666666666664,23.4,0.45,,0.5,0.75,3.0,,,,,,,,,,,,0.1666666666666666,,,,,,,0.25,,,,,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,1610612757,Joel Przybilla,Joel Przybilla,2038,POR,463.0,8,-18.0,12,14,5,,1.0,26,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,,,5,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
