EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,Blocked2s,BlockedAtRim,Blocks,FG3APct,Usage,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,DefTwoPtRebounds,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,3SecondViolations,StepOutOfBoundsTurnovers,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,on,3pt And 1 Free Throw Trips
136,1610612738,P.J. Brown,P.J. Brown,136,BOS,485.0,8,-1,15,15,15.0,1.0,30,1.0,1.0,15,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.2631578947368425,0.5,0.2,1.0,0.4,0.14285714285714285,0.5,1.0,1.0,1.0,0.44175,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,102717.0,1712,516,3218,3219,715.0,363.0,6437,208.0,236.0,3116,207.0,29.0,49.0,11.0,206.0,35.0,241.0,65.0,30.0,22.0,13.0,24.0,0.36990595611285265,23.456449834619626,0.1134020618556701,0.028237585199610515,0.1240506329113924,0.12119328775637042,0.024963289280469897,0.012315270935960592,0.12371134020618557,0.32601880877742945,0.6959247648902821,0.5315842229199372,25.088983050847457,723.0,127.0,208.0,13.0,20.0,31.0,51.0,21.0,52.0,65.0,142.0,11.0,28.0,1.0,5.0,1.0,3.0,81.0,12.0,19.0,19.0,50.0,213.0,402.0,92.0,186.0,888.0,19.0,31.0,13.0,24.0,19.0,96.0,55.0,99.0,20.0,53.0,75.0,245.0,144.0,282.0,243.0,33.0,12.0,1.0,81.0,33.0,2.0,169.0,35.0,204.0,22.0,13.0,95.0,19.0,55.0,443.0,5.0,1.0,146.0,7.0,35.0,58.0,19.0,32.0,54.0,8.0,26.0,12.0,112.0,7.0,25.0,53.0,108.0,7.0,13.0,211.0,10.0,18.0,231.0,20.0,7.0,97.0,1.0,24.0,2.0,2.0,5.0,4.0,12.0,1.0,3.0,245.0,723.0,9.0,21.0,0.3380281690140845,0.34782608695652173,0.8804347826086957,0.3898305084745763,0.5416666666666666,0.37735849056603776,0.39148936170212767,0.5298507462686567,0.6129032258064516,0.5555555555555556,0.5501567398119123,0.7,0.5592105263157895,0.5966216216216216,0.7421875,0.6321243523316062,0.00847457627118644,0.08208955223880597,0.13942307692307693,0.057692307692307696,0.007042253521126761,0.03571428571428571,0.004807692307692308,0.5178571428571429,0.010309278350515464,0.12026359143327842,0.014925373134328358,0.05449591280653951,0.015748031496062992,0.015037593984962405,0.014492753623188406,0.08579881656804733,0.11864406779661017,0.14367816091954022,0.125,0.023728813559322035,0.5,0.32601880877742945,0.6105769230769231,0.7094972067039106,0.36220472440944884,0.08150470219435736,0.40384615384615385,0.42857142857142855,0.2857142857142857,0.2225705329153605,0.45774647887323944,0.46099290780141844,0.3076923076923077,0.0438871473354232,0.39285714285714285,0.4074074074074074,1.0,0.3894230769230769,0.391304347826087,0.8641975308641975,0.36363636363636365,0.65,0.23076923076923078,0.09090909090909091,0.2,1.0,0.34545454545454546,0.631578947368421,0.8333333333333334,0.3355263157894737,0.6078431372549019,0.019736842105263157,0.3333333333333333,0.32894736842105265,0.38,0.391304347826087,0.5263707317073172,0.5234880794701987,0.13687150837988826,0.20250521920668058,0.004219409282700422,0.10810810810810811,0.2759009009009009,7.978606965174127,0.22467371037911746,,,,,,True,
200765,1610612738,Rajon Rondo,Rajon Rondo,200765,BOS,94133.0,1569,506,2956,2956,627.0,328.0,5912,5.0,7.0,2859,5.0,26.0,49.0,3.0,163.0,41.0,204.0,97.0,56.0,6.0,3.0,7.0,0.01440329218106996,18.736842105263158,0.03571428571428571,0.027571580063626724,0.13101604278074866,0.1078894133513149,0.031578947368421054,0.018867924528301886,0.12546125461254612,0.0102880658436214,0.4567901234567901,0.5017184536082474,27.85714285714286,616.0,122.0,215.0,6.0,14.0,28.0,44.0,44.0,109.0,75.0,155.0,1.0,2.0,,,,,,,,,1.0,241.0,479.0,1.0,52.0,537.0,15.0,36.0,,,7.0,37.0,46.0,91.0,,1.0,22.0,114.0,220.0,262.0,3.0,,8.0,,,33.0,,193.0,84.0,277.0,58.0,26.0,91.0,18.0,84.0,638.0,13.0,2.0,111.0,9.0,41.0,54.0,16.0,35.0,48.0,5.0,19.0,5.0,102.0,11.0,23.0,43.0,117.0,4.0,15.0,105.0,5.0,9.0,86.0,16.0,,41.0,,10.0,1.0,1.0,1.0,2.0,4.0,,,114.0,616.0,5.0,9.0,0.45643153526970953,0.4641350210970464,1.0,0.14285714285714285,,,0.14285714285714285,0.5031315240083507,0.4166666666666667,0.5054945054945055,0.49897119341563784,0.4166666666666667,0.5,0.5153550863723608,0.45121951219512196,0.5229357798165137,,0.06889352818371608,0.10697674418604651,0.07339449541284404,0.012903225806451613,,,0.5294117647058824,0.022727272727272728,0.10009017132551848,0.04452054794520548,0.03254437869822485,0.03418803418803419,0.05084745762711865,0.017857142857142856,0.06070287539936102,0.0914826498422713,0.1315240083507307,0.14563106796116504,0.0430622009569378,0.5714285714285714,0.44238683127572015,0.5674418604651162,0.6354166666666666,0.4180327868852459,0.2242798353909465,0.4036697247706422,0.43564356435643564,0.3409090909090909,0.31893004115226337,0.4838709677419355,0.49019607843137253,0.5866666666666667,0.00411522633744856,0.5,0.5,1.0,,,,0.3888888888888889,0.42857142857142855,0.16666666666666666,,,,,,,0.4782608695652174,0.6363636363636364,,,0.010869565217391304,,,0.4716851851851852,0.4999277173913044,0.08023483365949119,0.08134920634920635,,0.06890130353817504,0.2122905027932961,8.228810020876827,0.2083897158322057,1.0,,,,,True,
2570,1610612738,Kendrick Perkins,Kendrick Perkins,2570,BOS,114741.0,1912,499,3603,3617,884.0,404.0,7220,1.0,1.0,3553,,118.0,76.0,42.0,329.0,145.0,474.0,31.0,14.0,114.0,66.0,114.0,0.0028735632183908046,13.641960108347698,0.37168141592920356,0.10350877192982456,0.17233560090702948,0.1608744394618834,0.09251968503937008,0.07692307692307693,0.18944099378881987,0.0028735632183908046,0.764367816091954,0.5597288184438038,47.6,834.0,180.0,265.0,50.0,79.0,42.0,62.0,32.0,71.0,2.0,11.0,,,,,,,,,,,,214.0,347.0,,114.0,542.0,55.0,91.0,,,33.0,143.0,45.0,74.0,,,39.0,129.0,292.0,136.0,,,70.0,1.0,,44.0,,66.0,18.0,84.0,14.0,4.0,42.0,8.0,16.0,186.0,23.0,4.0,211.0,10.0,17.0,49.0,8.0,28.0,76.0,5.0,21.0,14.0,125.0,18.0,25.0,120.0,242.0,22.0,33.0,136.0,11.0,5.0,183.0,21.0,,94.0,,8.0,,,8.0,40.0,72.0,5.0,19.0,129.0,834.0,25.0,7.0,0.6822429906542056,0.8156424581005587,,,,,,0.6167146974063401,0.6043956043956044,0.6081081081081081,0.6149425287356322,0.6043956043956044,0.6081081081081081,0.6317016317016317,0.6383928571428571,0.6201923076923077,,0.12680115273775217,0.13584905660377358,0.11267605633802817,,,,0.392,0.034482758620689655,0.15711094564408043,0.059895833333333336,0.12439024390243902,0.11458333333333333,0.056105610561056105,0.07407407407407407,0.14736842105263157,0.15324675324675324,0.16608996539792387,0.12605042016806722,0.11363636363636363,0.631578947368421,0.7614942528735632,0.6792452830188679,0.7860262008733624,0.7277777777777777,0.20402298850574713,0.4507042253521127,0.5079365079365079,0.40625,0.031609195402298854,0.18181818181818182,0.18181818181818182,1.0,,,,,,,,0.8681318681318682,0.6329113924050633,0.2,,,,,,,0.8378378378378378,0.6774193548387096,,,,,,0.561188157894737,0.5624229729729731,0.22327790973871733,0.22380952380952382,,0.26383763837638374,0.23800738007380073,2.5674351585014397,0.231473771856786,6.0,3.0,2.0,,,True,
951,1610612738,Ray Allen,Ray Allen,951,BOS,92277.0,1538,412,2905,2914,645.0,314.0,5819,203.0,270.0,2866,200.0,23.0,25.0,3.0,120.0,39.0,159.0,42.0,20.0,5.0,3.0,5.0,0.45531197301854975,21.44607843137255,0.038461538461538464,0.025302530253025302,0.07142857142857142,0.08136300417246176,0.03165584415584415,0.019830028328611898,0.07335907335907337,0.342327150084317,0.6661045531197302,0.5299504237288135,24.963333333333335,635.0,74.0,125.0,15.0,22.0,18.0,29.0,26.0,70.0,59.0,128.0,32.0,67.0,6.0,8.0,6.0,16.0,77.0,5.0,13.0,17.0,51.0,159.0,323.0,109.0,109.0,754.0,20.0,35.0,11.0,21.0,6.0,79.0,39.0,70.0,23.0,67.0,34.0,181.0,172.0,146.0,273.0,54.0,14.0,3.0,77.0,23.0,,125.0,20.0,145.0,14.0,6.0,53.0,22.0,50.0,310.0,16.0,,92.0,11.0,22.0,38.0,6.0,19.0,23.0,4.0,19.0,3.0,61.0,4.0,18.0,53.0,89.0,,8.0,87.0,,10.0,119.0,3.0,23.0,37.0,1.0,11.0,,,1.0,1.0,3.0,,,181.0,635.0,1.0,9.0,0.5408805031446541,0.5657894736842105,0.8348623853211009,0.40370370370370373,0.5238095238095238,0.34328358208955223,0.40823970037453183,0.49226006191950467,0.5714285714285714,0.5571428571428572,0.5438448566610455,0.6517857142857143,0.5364963503649635,0.5727699530516432,0.6583333333333333,0.5751633986928104,,0.07120743034055728,0.136,0.08571428571428572,,,,0.6229508196721312,,0.08455882352941177,0.04953560371517028,0.033846153846153845,0.021645021645021644,0.058365758754863814,0.015151515151515152,0.07119741100323625,0.0627062706270627,0.10714285714285714,0.06593406593406594,0.037162162162162164,0.6,0.21079258010118043,0.592,0.6851851851851852,0.5135135135135135,0.11804384485666104,0.37142857142857144,0.40625,0.38461538461538464,0.21585160202360876,0.4609375,0.4609375,0.6440677966101694,0.11298482293423272,0.47761194029850745,0.47761194029850745,0.96875,0.3793103448275862,0.3793103448275862,0.7792207792207793,0.39285714285714285,0.6818181818181818,0.3333333333333333,0.14285714285714285,0.75,1.0,0.23214285714285715,0.38461538461538464,1.0,0.2116788321167883,0.6206896551724138,0.11678832116788321,0.375,0.3722627737226277,0.3333333333333333,0.385,0.5547136363636365,0.5243533582089552,0.06050955414012739,0.10364145658263306,0.0036900369003690036,0.10477453580901856,0.24005305039787797,9.68513931888545,0.21858864027538727,,2.0,,2.0,,True,
208,1610612738,Sam Cassell,Sam Cassell,208,BOS,3609.0,60,5,106,111,44.0,11.0,217,2.0,3.0,115,2.0,,1.0,,2.0,,2.0,2.0,2.0,,,,0.15789473684210525,17.647058823529413,,,0.14285714285714285,0.0392156862745098,,,,0.10526315789473684,0.15789473684210525,0.42613421052631584,24.233333333333334,34.0,,,,,,,1.0,3.0,6.0,13.0,1.0,1.0,,,,,,,,,2.0,7.0,16.0,1.0,3.0,20.0,,1.0,,,,,,4.0,,2.0,2.0,2.0,10.0,4.0,3.0,,,,,1.0,,6.0,3.0,9.0,2.0,1.0,3.0,1.0,2.0,21.0,,,1.0,,,,,,,,,,,,,1.0,5.0,1.0,,2.0,,,4.0,,,2.0,,,,,,,,,,2.0,34.0,2.0,,0.7142857142857143,0.7142857142857143,1.0,0.3333333333333333,,,0.3333333333333333,0.4375,,,0.4473684210526316,,,0.47619047619047616,,0.14285714285714285,,0.0625,,,0.07692307692307693,,,,,0.022727272727272728,,,,,,,0.07692307692307693,,0.25,,,,,,,0.15789473684210525,0.3333333333333333,0.3333333333333333,1.0,0.6842105263157895,0.46153846153846156,0.5,0.6666666666666666,0.05263157894736842,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,,,0.4514,0.451,0.09523809523809523,0.1111111111111111,,,0.1,16.25,0.32075471698113206,,,,,,True,
1899,1610612738,James Posey,James Posey,1899,BOS,18733.0,312,-42,603,613,249.0,69.0,1216,34.0,51.0,653,33.0,2.0,9.0,6.0,38.0,3.0,41.0,9.0,3.0,4.0,2.0,5.0,0.6710526315789473,14.516129032258064,0.24,0.011049723756906077,0.10843373493975904,0.11552346570397112,0.011363636363636364,0.017241379310344827,0.11864406779661017,0.4473684210526316,0.9078947368421053,0.5421047297297296,25.537254901960782,217.0,10.0,18.0,1.0,2.0,1.0,4.0,1.0,2.0,,5.0,4.0,17.0,2.0,3.0,,5.0,14.0,1.0,2.0,4.0,14.0,11.0,25.0,18.0,15.0,91.0,1.0,2.0,3.0,5.0,4.0,15.0,1.0,5.0,4.0,19.0,12.0,26.0,12.0,10.0,48.0,6.0,2.0,1.0,14.0,4.0,,13.0,5.0,18.0,4.0,1.0,5.0,3.0,5.0,41.0,1.0,,23.0,2.0,6.0,8.0,4.0,6.0,8.0,,2.0,,16.0,,4.0,14.0,32.0,1.0,3.0,14.0,1.0,3.0,16.0,,,3.0,,5.0,1.0,1.0,1.0,1.0,4.0,,,26.0,217.0,9.0,4.0,0.5454545454545454,0.6,0.8888888888888888,0.35294117647058826,0.6,0.21052631578947367,0.36,0.44,0.5,0.2,0.5,0.7857142857142857,0.2916666666666667,0.5416666666666666,0.8333333333333334,0.43333333333333335,,0.16,0.2222222222222222,,,,,0.5,,0.11855670103092783,0.012048192771084338,0.013513513513513514,,,0.05,0.13846153846153847,0.09615384615384616,0.11688311688311688,0.08333333333333333,0.04878048780487805,0.8,0.23684210526315788,0.5555555555555556,0.7142857142857143,0.6,0.02631578947368421,0.5,0.5,,0.06578947368421052,,,,0.2236842105263158,0.23529411764705882,0.23529411764705882,1.0,0.4117647058823529,0.4117647058823529,0.8571428571428571,0.2857142857142857,0.5,,0.42857142857142855,0.6666666666666666,1.0,0.2857142857142857,0.5,1.0,0.16666666666666666,0.25,0.20833333333333334,,0.5833333333333334,0.2857142857142857,0.42424242424242425,0.5662499999999999,0.5176772727272728,0.0379746835443038,0.10714285714285714,,0.16483516483516483,0.2857142857142857,5.436000000000002,0.3598673300165838,,,,,,True,
2754,1610612738,Tony Allen,Tony Allen,2754,BOS,21915.0,365,59,670,682,216.0,81.0,1352,8.0,15.0,682,8.0,6.0,10.0,,31.0,10.0,41.0,16.0,6.0,1.0,1.0,1.0,0.16304347826086957,18.324607329842934,,0.02643171806167401,0.13157894736842105,0.0950920245398773,0.031578947368421054,0.023529411764705882,0.1509433962264151,0.08695652173913043,0.6847826086956522,0.5343945652173911,24.426666666666666,177.0,24.0,48.0,2.0,4.0,4.0,11.0,3.0,14.0,3.0,15.0,1.0,7.0,1.0,1.0,,2.0,2.0,,1.0,2.0,3.0,30.0,77.0,3.0,38.0,107.0,3.0,7.0,1.0,2.0,1.0,10.0,7.0,24.0,2.0,5.0,8.0,28.0,34.0,26.0,9.0,,,,2.0,11.0,,21.0,2.0,23.0,2.0,,17.0,1.0,3.0,48.0,3.0,1.0,21.0,4.0,10.0,13.0,3.0,7.0,14.0,2.0,6.0,3.0,27.0,3.0,6.0,21.0,48.0,1.0,2.0,35.0,,3.0,45.0,3.0,,20.0,,4.0,,,,,,,1.0,28.0,177.0,5.0,3.0,0.5666666666666667,0.5666666666666667,1.0,0.2,0.5,0.4,0.2,0.38961038961038963,0.42857142857142855,0.2916666666666667,0.375,0.5,0.3448275862068966,0.47345132743362833,0.5555555555555556,0.42424242424242425,,0.14285714285714285,0.125,0.35714285714285715,,,,0.48148148148148145,0.041666666666666664,0.084,0.05172413793103448,0.03529411764705882,0.017543859649122806,0.023809523809523808,0.125,0.046153846153846156,0.12195121951219512,0.07766990291262135,0.08695652173913043,0.08333333333333333,,0.5217391304347826,0.5,0.5714285714285714,0.5833333333333334,0.15217391304347827,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.16304347826086957,0.2,0.2,0.6666666666666666,0.07608695652173914,0.14285714285714285,0.14285714285714285,1.0,0.25,0.25,1.0,0.4444444444444444,0.5,0.5,0.1111111111111111,1.0,1.0,0.1111111111111111,,,0.3793103448275862,0.36363636363636365,0.06896551724137931,,0.10344827586206896,0.6666666666666666,0.25,0.5508357142857143,0.5065793103448275,0.1834862385321101,0.2127659574468085,,0.09345794392523364,0.2616822429906542,5.474025974025976,0.26417910447761195,,2.0,1.0,,,True,
1513,1610612738,Scot Pollard,Scot Pollard,1513,BOS,168.0,3,2,4,6,,,10,,,4,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,True,
2067,1610612738,Eddie House,Eddie House,2067,BOS,15988.0,266,-11,520,522,234.0,63.0,1042,33.0,51.0,575,33.0,3.0,4.0,,28.0,4.0,32.0,12.0,5.0,1.0,1.0,3.0,0.5666666666666667,17.826825127334466,,0.02027027027027027,0.07142857142857142,0.12121212121212122,0.018018018018018018,,0.09302325581395349,0.36666666666666664,0.6333333333333333,0.5127466292134831,24.682352941176475,188.0,3.0,6.0,,,,1.0,,4.0,12.0,29.0,11.0,18.0,2.0,2.0,8.0,11.0,10.0,1.0,3.0,2.0,9.0,15.0,39.0,21.0,5.0,98.0,,1.0,3.0,5.0,,9.0,3.0,10.0,10.0,20.0,4.0,40.0,14.0,16.0,57.0,6.0,,,10.0,2.0,,20.0,8.0,28.0,6.0,2.0,11.0,5.0,4.0,64.0,1.0,,24.0,1.0,7.0,8.0,2.0,4.0,5.0,2.0,4.0,,13.0,1.0,2.0,12.0,21.0,1.0,1.0,9.0,1.0,4.0,6.0,,2.0,1.0,,1.0,2.0,1.0,,,,,,40.0,188.0,1.0,1.0,0.4666666666666667,0.4666666666666667,0.9047619047619048,0.4117647058823529,0.6,0.5,0.4117647058823529,0.38461538461538464,,0.3,0.5166666666666667,0.75,0.6,0.5271739130434783,0.75,0.625,,0.05128205128205128,0.16666666666666666,,0.034482758620689655,,,0.6153846153846154,,0.13714285714285715,0.013513513513513514,0.016666666666666666,0.05555555555555555,0.01818181818181818,,0.1111111111111111,0.1346153846153846,0.15942028985507245,,0.02,,0.06666666666666667,0.5,0.6,0.3333333333333333,0.044444444444444446,,,,0.32222222222222224,0.41379310344827586,0.42857142857142855,0.5,0.2,0.6111111111111112,0.6111111111111112,0.9090909090909091,0.30303030303030304,0.30303030303030304,0.9,,,,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,1.0,0.03333333333333333,,0.36666666666666664,0.7272727272727273,0.3,0.2222222222222222,0.30303030303030304,0.5583899999999999,0.5213844827586208,0.01098901098901099,0.025,,0.09183673469387756,0.40816326530612246,15.6,0.36153846153846153,,,,,1.0,True,
