EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,Blocked3s,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,OffensiveGoaltends,SecondChanceAtRimPctAssisted,3SecondViolations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,LongMidRangePctBlocked,Corner3PctBlocked,on
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,60440.0,1007,253,2069,2061,562,478,251,4130,81.0,118.0,13.0,24.0,17.0,25.0,20.0,43.0,14.0,36.0,29.0,68.0,2.0,8.0,19.0,25.0,86.0,4.0,6.0,8.0,29.0,115.0,197.0,54.0,154.0,83.0,475.0,2132.0,16.0,33.0,4.0,8.0,10.0,54.0,25.0,46.0,16.0,48.0,27.0,125.0,168.0,62.0,156.0,6.0,22.0,3.0,83.0,25.0,12.0,3.0,26.0,16.0,42.0,9.0,7.0,18.0,2.0,6.0,100.0,12.0,35.0,6.0,37.0,76.0,17.0,130,53.0,183,7.0,23.0,16.0,7.0,18.0,5.0,14.0,23.0,4.0,4.0,1.0,1.0,41.0,3.0,4.0,41.0,92.0,11.0,8.0,72.0,5.0,3.0,103.0,5.0,47.0,7.0,7.0,5.0,1.0,1.0,7.0,3.0,2.0,1.0,125.0,562,8.0,7.0,0.7304347826086957,0.8076923076923077,0.9629629629629629,0.35064935064935066,0.5,0.3333333333333333,0.3576158940397351,0.583756345177665,0.48484848484848486,0.5434782608695652,0.5584045584045584,0.5365853658536586,0.5212765957446809,0.59375,0.5869565217391305,0.5681818181818182,0.43874643874643876,0.01948051948051948,0.06091370558375635,0.09322033898305085,0.023255813953488372,0.03488372093023256,18.71816638370119,0.43902439024390244,0.21518987341772153,0.07692307692307693,0.1093525179856115,0.0626118067978533,0.12714776632302405,0.033707865168539325,0.11460446247464504,0.05136612021857923,0.07456140350877193,0.06493506493506493,0.04519774011299435,0.02962962962962963,0.046511627906976744,0.1308411214953271,0.1,0.09965635738831616,0.14136125654450263,0.1,0.04294478527607362,0.42857142857142855,0.33618233618233617,0.6864406779661016,0.7570093457943925,0.6790123456790124,0.1225071225071225,0.46511627906976744,0.47619047619047616,0.75,0.10256410256410256,0.3888888888888889,0.3888888888888889,1.0,0.19373219373219372,0.4264705882352941,0.4264705882352941,0.9655172413793104,0.245014245014245,0.29069767441860467,0.30120481927710846,0.96,0.5853658536585366,0.5416666666666666,0.04878048780487805,0.14634146341463414,0.6666666666666666,1.0,0.26595744680851063,0.68,0.20212765957446807,0.42105263157894735,0.30851063829787234,0.27586206896551724,0.7749287749287749,0.30120481927710846,0.5460558908045978,0.5317426470588236,0.5384401098901099,0.11959287531806616,0.19665271966527198,0.11368421052631579,0.2631578947368421,5.543147208121828,24.93701298701298,0.27162880618656354,,,,,,,,,,,,,,,,True
101144,1610612743,Von Wafer,Von Wafer,101144,DEN,1628.0,27,-6,59,60,42,34,7,119,2.0,2.0,,,2.0,2.0,,,1.0,2.0,,3.0,,,3.0,,3.0,,,,3.0,3.0,4.0,,6.0,1.0,7.0,64.0,,,,,,,3.0,3.0,,6.0,1.0,7.0,4.0,2.0,,,,,3.0,,,,1.0,1.0,2.0,1.0,,1.0,,,5.0,,,,,1.0,,1,,1,,1.0,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,7.0,42,,,0.6666666666666666,0.6666666666666666,,,,,,0.75,,1.0,0.3,,0.3333333333333333,0.35,,0.3888888888888889,0.6,,,,,,16.666666666666664,,,,0.1,,,,0.058823529411764705,,,,,,,,,0.125,,,,,0.2,1.0,1.0,0.5,,,,,0.2,0.5,0.5,1.0,0.3,,,,0.3,,,,,,,,,,0.2222222222222222,1.0,0.3333333333333333,,0.3333333333333333,,0.8,,0.56572,,0.5847777777777777,0.1,0.25,,1.0,10.549999999999999,24.533333333333335,0.711864406779661,,,,,,,,,,,,,,,,True
1853,1610612743,Anthony Carter,Anthony Carter,1853,DEN,29704.0,495,-9,1016,1031,357,287,123,2047,23.0,35.0,2.0,2.0,7.0,10.0,3.0,6.0,17.0,45.0,3.0,7.0,2.0,2.0,3.0,4.0,23.0,,3.0,1.0,11.0,43.0,86.0,7.0,30.0,16.0,123.0,1111.0,7.0,8.0,1.0,5.0,1.0,18.0,16.0,26.0,3.0,14.0,13.0,54.0,52.0,34.0,21.0,,2.0,2.0,21.0,4.0,4.0,,76.0,24.0,100.0,16.0,8.0,49.0,7.0,20.0,224.0,2.0,3.0,,20.0,33.0,,53,5.0,58,,22.0,9.0,13.0,18.0,9.0,13.0,18.0,1.0,5.0,1.0,1.0,36.0,1.0,14.0,22.0,40.0,,3.0,18.0,3.0,1.0,23.0,1.0,5.0,7.0,2.0,,2.0,,3.0,3.0,,2.0,54.0,357,4.0,7.0,0.6046511627906976,0.6190476190476191,1.0,0.23333333333333334,0.2,0.21428571428571427,0.25,0.5,0.875,0.6153846153846154,0.46120689655172414,0.6538461538461539,0.5125,0.484251968503937,0.6428571428571429,0.5625,0.25862068965517243,,0.046511627906976744,0.05714285714285714,0.3333333333333333,,14.075993091537132,0.5,,,0.09166666666666666,0.009523809523809525,0.1388888888888889,0.0136986301369863,0.10515873015873016,0.010845986984815618,0.016666666666666666,0.015384615384615385,,0.01818181818181818,,0.064,0.11842105263157894,0.10062893081761007,0.14285714285714285,0.1282051282051282,,1.0,0.3017241379310345,0.6571428571428571,0.696969696969697,0.5217391304347826,0.05172413793103448,0.5,0.75,,0.3879310344827586,0.37777777777777777,0.37777777777777777,0.8235294117647058,0.0603448275862069,0.42857142857142855,0.42857142857142855,1.0,0.19827586206896552,0.17391304347826086,0.17391304347826086,1.0,0.15384615384615385,1.0,0.15384615384615385,0.23076923076923078,,,0.25,0.7,0.075,0.6666666666666666,0.275,0.09090909090909091,0.5603448275862069,0.19047619047619047,0.5136438596491228,0.49773888888888884,0.5054526315789474,0.041666666666666664,0.05555555555555555,0.14634146341463414,0.43902439024390244,10.529069767441861,26.643333333333334,0.3513779527559055,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,True
2030,1610612743,Kenyon Martin,Kenyon Martin,2030,DEN,24534.0,409,32,820,822,214,158,93,1642,31.0,55.0,8.0,16.0,9.0,13.0,8.0,25.0,6.0,20.0,,,,,,1.0,4.0,,,,1.0,45.0,100.0,1.0,4.0,30.0,123.0,880.0,9.0,19.0,,,7.0,25.0,10.0,25.0,,1.0,7.0,27.0,66.0,24.0,3.0,,12.0,,4.0,1.0,10.0,,14.0,5.0,19.0,3.0,2.0,11.0,2.0,1.0,43.0,9.0,18.0,2.0,16.0,61.0,6.0,83,29.0,112,6.0,13.0,8.0,5.0,12.0,1.0,3.0,7.0,1.0,9.0,,,19.0,4.0,6.0,34.0,50.0,,3.0,39.0,3.0,,57.0,4.0,29.0,2.0,17.0,13.0,2.0,2.0,18.0,5.0,1.0,,27.0,214,2.0,2.0,0.7333333333333333,0.8461538461538461,1.0,0.25,,,0.25,0.45,0.47368421052631576,0.4,0.44711538461538464,0.47368421052631576,0.38461538461538464,0.46946564885496184,0.5434782608695652,0.4090909090909091,0.038461538461538464,,0.1,0.10909090909090909,0.16,,16.094420600858367,0.631578947368421,0.2727272727272727,0.06451612903225806,0.21254355400696864,0.0703125,0.14678899082568808,0.07086614173228346,0.19444444444444445,0.07049608355091384,0.14,0.014492753623188406,0.034482758620689655,0.06930693069306931,0.07692307692307693,0.19540229885057472,0.1780821917808219,0.2440944881889764,0.10843373493975904,0.2692307692307692,0.125,0.2777777777777778,0.5288461538461539,0.5636363636363636,0.6326530612244898,0.6774193548387096,0.2403846153846154,0.32,0.38095238095238093,0.75,0.19230769230769232,0.3,0.3,1.0,,,,,0.038461538461538464,0.25,0.25,1.0,0.8421052631578947,0.5,,,,,0.5,0.6923076923076923,,,0.038461538461538464,,0.5673076923076923,0.25,0.5072480769230769,0.5444428571428571,0.5103692307692307,0.2248062015503876,0.232,0.2032520325203252,0.21951219512195122,5.3649999999999975,25.299999999999997,0.26097560975609757,,1.0,,,,1.0,1.0,0.25,,,,,,,,True
2059,1610612743,Eduardo Najera,Eduardo Najera,2059,DEN,99820.0,1664,315,3422,3428,1133,924,417,6850,108.0,167.0,29.0,48.0,34.0,52.0,6.0,23.0,7.0,31.0,23.0,46.0,4.0,9.0,19.0,30.0,101.0,1.0,6.0,11.0,31.0,121.0,221.0,53.0,147.0,63.0,464.0,3544.0,31.0,55.0,4.0,10.0,15.0,89.0,39.0,71.0,20.0,50.0,29.0,167.0,182.0,60.0,159.0,,42.0,1.0,100.0,30.0,18.0,,62.0,33.0,95.0,24.0,9.0,29.0,5.0,28.0,223.0,27.0,82.0,4.0,62.0,145.0,17.0,224,113.0,337,8.0,69.0,45.0,24.0,32.0,8.0,24.0,27.0,5.0,8.0,,2.0,59.0,11.0,14.0,97.0,199.0,20.0,8.0,90.0,13.0,18.0,89.0,9.0,41.0,8.0,37.0,21.0,5.0,11.0,40.0,15.0,,4.0,167.0,1133,25.0,7.0,0.7520661157024794,0.91,1.0,0.36054421768707484,0.4,0.4,0.363013698630137,0.5475113122171946,0.5636363636363636,0.5492957746478874,0.5448369565217391,0.5692307692307692,0.5702479338842975,0.5686274509803921,0.6095890410958904,0.5964285714285714,0.39945652173913043,,0.08144796380090498,0.10179640718562874,0.043478260869565216,,11.962090163934427,0.5423728813559322,0.13934426229508196,0.028985507246376812,0.12446351931330472,0.08167330677290836,0.13449023861171366,0.05009276437847866,0.12730627306273062,0.07064160725858717,0.08418367346938775,0.06746031746031746,0.08888888888888889,0.051470588235294115,0.04580152671755725,0.12266666666666666,0.1482758620689655,0.112,0.1523809523809524,0.0958904109589041,0.046511627906976744,0.375,0.453804347826087,0.6467065868263473,0.72,0.75,0.0625,0.2608695652173913,0.2727272727272727,0.5,0.08423913043478261,0.22580645161290322,0.22580645161290322,1.0,0.125,0.5,0.5,1.0,0.27445652173913043,0.297029702970297,0.297029702970297,1.0,0.7384615384615385,0.6041666666666666,0.06153846153846154,0.09230769230769231,0.16666666666666666,1.0,0.4297520661157025,0.6538461538461539,0.15702479338842976,0.47368421052631576,0.256198347107438,0.3548387096774194,0.8532608695652174,0.3,0.553690871934605,0.5506396226415095,0.5522045833333333,0.1025,0.16205533596837945,0.19181034482758622,0.3599137931034483,3.7095022624434386,24.766666666666662,0.3310929281122151,3.0,3.0,1.0,0.75,1.0,2.0,2.0,0.27586206896551724,1.0,,,,,,,True
2212,1610612743,Steven Hunter,Steven Hunter,2212,DEN,491.0,8,1,18,20,16,9,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1,,1,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,0.14285714285714285,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8888888888888888,,,,,,,,,,,,,,,,True
200784,1610612743,Bobby Jones,Bobby Jones,200784,DEN,8183.0,136,-19,282,278,58,62,20,560,7.0,16.0,2.0,4.0,3.0,5.0,1.0,5.0,2.0,3.0,3.0,9.0,1.0,1.0,2.0,2.0,7.0,,,1.0,2.0,10.0,24.0,5.0,16.0,16.0,51.0,289.0,2.0,4.0,,1.0,,4.0,3.0,6.0,2.0,4.0,3.0,15.0,14.0,6.0,15.0,,2.0,1.0,6.0,2.0,4.0,,5.0,4.0,9.0,2.0,2.0,4.0,1.0,,22.0,2.0,2.0,,3.0,9.0,2.0,14,4.0,18,1.0,3.0,,3.0,2.0,,,8.0,,2.0,1.0,3.0,10.0,,2.0,11.0,28.0,2.0,4.0,12.0,1.0,1.0,18.0,1.0,7.0,2.0,1.0,,,1.0,1.0,1.0,,,15.0,58,2.0,1.0,0.7,0.7777777777777778,1.0,0.3125,,0.5,0.3333333333333333,0.4166666666666667,0.5,0.5,0.4375,0.4,0.6,0.53125,0.4,0.6818181818181818,0.4,,0.16666666666666666,0.25,,,19.016393442622952,0.2,0.2222222222222222,,0.12,0.02857142857142857,0.08571428571428572,0.043478260869565216,0.10909090909090909,0.034482758620689655,0.03225806451612903,0.0625,,0.027777777777777776,0.1,0.14285714285714285,0.15,0.08823529411764706,0.1111111111111111,,0.05263157894736842,1.0,0.4,0.4375,0.5833333333333334,0.5714285714285714,0.125,0.2,0.2,1.0,0.075,0.6666666666666666,0.6666666666666666,1.0,0.225,0.3333333333333333,0.3333333333333333,1.0,0.175,0.2857142857142857,0.2857142857142857,1.0,0.8,0.5,0.2,,,,0.5,0.6,0.2,0.5,0.2,0.5,0.8,0.3333333333333333,0.5643769230769231,0.5870124999999999,0.558095,0.17391304347826086,0.23333333333333334,0.0784313725490196,0.29411764705882354,3.8375,25.881250000000005,0.20567375886524822,,,,,,,,0.5,,1.0,1.0,0.0625,,,,True
2747,1610612743,JR Smith,JR Smith,2747,DEN,56717.0,945,242,1968,1966,615,435,231,3934,98.0,156.0,18.0,29.0,25.0,38.0,9.0,27.0,17.0,37.0,25.0,55.0,7.0,5.0,15.0,82.0,220.0,6.0,12.0,23.0,76.0,124.0,220.0,107.0,275.0,95.0,664.0,2011.0,21.0,34.0,9.0,19.0,7.0,76.0,32.0,52.0,28.0,91.0,39.0,187.0,114.0,134.0,276.0,45.0,16.0,5.0,215.0,82.0,13.0,3.0,60.0,33.0,93.0,20.0,13.0,39.0,8.0,13.0,219.0,6.0,25.0,,28.0,43.0,4.0,75,31.0,106,7.0,52.0,40.0,12.0,40.0,5.0,22.0,37.0,4.0,18.0,3.0,5.0,77.0,5.0,22.0,48.0,98.0,,13.0,103.0,5.0,5.0,127.0,18.0,61.0,10.0,9.0,7.0,1.0,1.0,10.0,2.0,,,187.0,615,11.0,9.0,0.4596774193548387,0.49137931034482757,0.8598130841121495,0.3890909090909091,0.47368421052631576,0.3076923076923077,0.3962962962962963,0.5636363636363636,0.6176470588235294,0.6153846153846154,0.5747474747474748,0.6509433962264151,0.5174825174825175,0.6049270072992701,0.6785714285714286,0.5632530120481928,0.5555555555555556,0.01090909090909091,0.05909090909090909,0.0641025641025641,0.07407407407407407,0.00909090909090909,27.926720285969616,0.5194805194805194,0.06666666666666667,,0.06761006289308176,0.046992481203007516,0.10606060606060606,0.017699115044247787,0.07888888888888888,0.03559127439724455,0.06880733944954129,0.037037037037037035,0.027932960893854747,0.011494252873563218,0.038461538461538464,0.028037383177570093,0.02666666666666667,0.1213235294117647,0.10326086956521739,0.1125,0.030042918454935622,0.2,0.3151515151515151,0.6282051282051282,0.6712328767123288,0.45918367346938777,0.05454545454545454,0.3333333333333333,0.36,0.4444444444444444,0.07474747474747474,0.4594594594594595,0.4722222222222222,0.47058823529411764,0.1111111111111111,0.45454545454545453,0.46296296296296297,0.96,0.4444444444444444,0.37272727272727274,0.3761467889908257,0.8292682926829268,0.5471698113207547,0.6206896551724138,0.1320754716981132,0.22641509433962265,0.5,0.6666666666666666,0.26573426573426573,0.6578947368421053,0.1048951048951049,0.3333333333333333,0.5314685314685315,0.3026315789473684,0.8707070707070707,0.3813953488372093,0.5511884221311477,0.5303186046511627,0.5298654411764706,0.11524163568773234,0.23193916349809887,0.1144578313253012,0.2816265060240964,4.351818181818181,25.860727272727274,0.3125,3.0,1.0,,0.42857142857142855,1.0,1.0,1.0,0.3333333333333333,,1.0,1.0,0.0036363636363636364,2.0,0.02702702702702703,0.01818181818181818,True
200821,1610612743,Yakhouba Diawara,Yakhouba Diawara,200821,DEN,9493.0,158,23,323,319,93,90,32,642,10.0,16.0,1.0,1.0,4.0,8.0,1.0,1.0,2.0,3.0,,3.0,,,,3.0,17.0,,2.0,,5.0,13.0,20.0,3.0,20.0,3.0,38.0,332.0,2.0,2.0,,2.0,1.0,5.0,4.0,8.0,,5.0,2.0,10.0,22.0,4.0,9.0,,,1.0,16.0,3.0,1.0,,3.0,5.0,8.0,4.0,1.0,2.0,,1.0,21.0,1.0,1.0,,2.0,11.0,,13,2.0,15,,2.0,2.0,,3.0,,1.0,,,2.0,,,3.0,,,4.0,13.0,1.0,,7.0,,1.0,9.0,1.0,5.0,,3.0,1.0,2.0,,3.0,3.0,,,10.0,93,2.0,,0.8461538461538461,0.8461538461538461,1.0,0.15,,,0.15789473684210525,0.65,1.0,0.5,0.4375,0.5,0.3076923076923077,0.4318181818181818,0.625,0.3333333333333333,0.5,,0.05,0.0625,,,13.091922005571032,1.0,,,0.1,0.010752688172043012,0.05128205128205128,0.018518518518518517,0.087248322147651,0.013605442176870748,,0.043478260869565216,,0.02631578947368421,,0.10526315789473684,0.08695652173913043,0.10204081632653061,0.03125,0.14285714285714285,,1.0,0.4,0.625,0.6666666666666666,0.9,0.025,1.0,1.0,,0.075,0.6666666666666666,0.6666666666666666,1.0,0.075,,,,0.425,0.17647058823529413,0.17647058823529413,1.0,0.25,1.0,,0.5,,,0.6153846153846154,0.5,,,0.38461538461538464,,0.9,0.1875,0.5880833333333333,0.48923333333333335,0.5945208333333333,0.11363636363636363,0.20833333333333334,0.13157894736842105,0.2631578947368421,3.2700000000000005,26.025000000000006,0.28792569659442724,,,,,,,,,,,,,,,,True
1088,1610612743,Chucky Atkins,Chucky Atkins,1088,DEN,13229.0,220,25,452,446,91,77,47,898,6.0,11.0,1.0,1.0,,,1.0,3.0,4.0,10.0,6.0,11.0,1.0,,3.0,11.0,38.0,,2.0,2.0,9.0,11.0,24.0,17.0,49.0,1.0,74.0,469.0,1.0,1.0,1.0,3.0,,5.0,2.0,3.0,2.0,12.0,,10.0,12.0,10.0,48.0,3.0,,1.0,37.0,11.0,2.0,,25.0,9.0,34.0,6.0,3.0,21.0,1.0,3.0,77.0,,2.0,,4.0,16.0,,20,2.0,22,,4.0,2.0,2.0,2.0,,2.0,1.0,,,,,3.0,,,7.0,16.0,1.0,1.0,7.0,,1.0,2.0,,1.0,,,,,,,,,,10.0,91,2.0,,0.5454545454545454,0.5454545454545454,0.9411764705882353,0.3469387755102041,0.3333333333333333,0.16666666666666666,0.3541666666666667,0.4583333333333333,1.0,0.6666666666666666,0.5,0.625,0.3333333333333333,0.5,0.625,0.3333333333333333,0.6712328767123288,,0.08333333333333333,0.09090909090909091,0.3333333333333333,,15.217391304347828,0.6666666666666666,,,0.10666666666666667,0.01652892561983471,0.05714285714285714,,0.09090909090909091,0.009433962264150943,,,0.044444444444444446,,,0.16,0.07142857142857142,0.08620689655172414,0.06818181818181818,0.038461538461538464,,,0.1506849315068493,0.5454545454545454,0.6,0.5,0.0410958904109589,0.3333333333333333,0.5,,0.136986301369863,0.4,0.4,0.75,0.1506849315068493,0.5454545454545454,0.5454545454545454,1.0,0.5205479452054794,0.2894736842105263,0.2894736842105263,0.9090909090909091,0.25,1.0,0.25,0.5,,,,,0.2,,0.6,0.2222222222222222,0.821917808219178,0.2972972972972973,0.5358958333333333,0.46395,0.48616785714285715,0.013513513513513514,0.04,0.06756756756756757,0.13513513513513514,9.816666666666668,25.5204081632653,0.2013274336283186,1.0,,,1.0,1.0,,,,,,,,,,,True
