EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,PenaltyFg3Pct,FG3APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ShortMidRangeAssists,Loose Ball Fouls,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,OffensiveGoaltends,on,3pt And 1 Free Throw Trips,Arc3PctBlocked,Blocked3s,BlockedCorner3,BlockedArc3,3SecondViolations,Clear Path Fouls
101204,1610612739,Dwayne Jones,Dwayne Jones,101204,CLE,4726.0,79,-12,140,145,39.0,66.0,29.0,285,7.0,10.0,6.0,8.0,3.0,3.0,7.0,10.0,7.0,21.0,158,6.0,8.0,3.0,15.0,3.0,3.0,1.0,7.0,2.0,12.0,10.0,2.0,2.0,4.0,2.0,2.0,10.0,4.0,13.0,2.0,5.0,4.0,3.0,12.0,19.0,31.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,9.0,2.0,9.0,2.0,12.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,7.0,39.0,2.0,3.0,0.1428571428571428,0.5,0.7,0.75,1.0,0.7,0.75,1.0,0.65625,0.6818181818181818,0.5833333333333334,11.428571428571429,0.5,0.375,0.2222222222222222,0.0930232558139534,0.2203389830508474,0.2941176470588235,0.2,0.15,0.2151898734177215,0.2727272727272727,0.0769230769230769,0.25,0.25,0.125,0.1176470588235294,0.2,0.3076923076923077,0.25,0.3333333333333333,0.6666666666666666,1.0,0.7,0.7,0.1428571428571428,1.0,0.75,1.0,1.0,1.0,0.58095,0.5895125,0.6766666666666666,0.2307692307692307,0.2307692307692307,0.7142857142857143,0.3333333333333333,0.43,0.2785714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1716,1610612739,Larry Hughes,Larry Hughes,1716,CLE,2369.0,39,-6,81,79,23.0,39.0,16.0,160,1.0,1.0,,,,,5.0,15.0,9.0,22.0,82,1.0,1.0,,5.0,1.0,1.0,2.0,4.0,4.0,6.0,,3.0,1.0,4.0,1.0,3.0,9.0,,1.0,,,3.0,,3.0,1.0,4.0,,3.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,,9.0,,11.0,5.0,1.0,1.0,1.0,,1.0,,,4.0,23.0,1.0,1.0,0.4,0.4,0.3333333333333333,1.0,1.0,0.3421052631578947,1.25,0.5,0.4583333333333333,1.25,0.6666666666666666,28.571428571428573,0.75,,,0.1153846153846153,0.0303030303030303,,,0.09375,0.024390243902439,,,0.05,,,0.125,0.1666666666666666,,,,,0.0526315789473684,1.0,1.0,,,,,,0.2631578947368421,0.4276722222222222,,0.2958,0.217391304347826,0.2631578947368421,0.2272727272727272,0.1818181818181818,15.753333333333332,0.2839506172839506,1.0,2.0,3.0,12.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.2105263157894736,0.2,0.25,0.0833333333333333,0.1052631578947368,0.5,0.5,0.631578947368421,0.25,0.3333333333333333,0.6666666666666666,0.2105263157894736,0.25,0.25,1.0,0.5,1.0,1.0,0.5,0.3333333333333333,28.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1956,1610612739,Ira Newble,Ira Newble,1956,CLE,4258.0,71,-33,127,134,50.0,71.0,26.0,261,5.0,10.0,1.0,6.0,2.0,2.0,6.0,14.0,2.0,29.0,153,1.0,7.0,,5.0,2.0,3.0,2.0,15.0,6.0,6.0,2.0,1.0,1.0,2.0,,,5.0,,7.0,,,5.0,1.0,6.0,7.0,13.0,1.0,1.0,1.0,2.0,,3.0,,2.0,4.0,,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,15.0,50.0,1.0,,0.5,0.6,0.4285714285714285,0.1428571428571428,0.6666666666666666,0.5625,0.3125,0.8125,0.58,0.3125,0.8333333333333334,17.5,0.3333333333333333,0.125,,0.15625,0.1166666666666666,,,0.1063829787234042,0.0921052631578947,0.1363636363636363,,0.1538461538461538,,,0.1,,,,0.1428571428571428,1.0,0.4166666666666667,0.5,0.625,0.4,0.75,0.1666666666666666,0.25,1.0,0.8333333333333334,0.5303854166666667,0.6344,0.496875,0.04,0.0666666666666666,0.1724137931034483,0.5172413793103449,3.642857142857143,0.3937007874015748,,2.0,1.0,2.0,3.0,6.0,1.0,1.0,3.0,5.0,10.0,1.0,1.0,5.0,12.0,,6.0,3.0,5.0,2.0,,2.0,,,,,0.8,0.5,1.0,0.5,0.4166666666666667,0.3571428571428571,0.5,0.2666666666666666,0.0833333333333333,,,0.0833333333333333,0.5,1.0,1.0,0.25,0.5,0.5,0.6666666666666666,0.125,1.0,1.0,0.375,0.5,25.3,2.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.6,0.1,0.2,1.0,0.25,0.1666666666666666,0.5,0.6666666666666666,1.0,0.25,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,True,,,,,,,
200769,1610612739,Shannon Brown,Shannon Brown,200769,CLE,13082.0,218,-63,402,410,96.0,150.0,61.0,812,18.0,41.0,1.0,5.0,6.0,13.0,32.0,82.0,14.0,105.0,453,3.0,11.0,,9.0,9.0,25.0,5.0,29.0,22.0,42.0,,10.0,7.0,17.0,4.0,5.0,41.0,1.0,3.0,1.0,2.0,10.0,1.0,13.0,5.0,18.0,3.0,5.0,2.0,14.0,3.0,19.0,2.0,14.0,27.0,3.0,17.0,,23.0,10.0,3.0,1.0,,1.0,1.0,1.0,,29.0,96.0,6.0,3.0,0.34375,0.34375,0.3902439024390244,0.2727272727272727,0.36,0.4099099099099099,0.2647058823529412,0.3870967741935484,0.4375,0.2647058823529412,0.4142857142857143,29.26315789473684,0.2631578947368421,0.0555555555555555,0.0666666666666666,0.0775193798449612,0.0181818181818181,0.0555555555555555,0.0222222222222222,0.0727272727272727,0.019047619047619,0.0545454545454545,,,0.0384615384615384,,0.0217391304347826,0.0384615384615384,0.0714285714285714,,0.0526315789473684,1.0,0.3693693693693693,0.4390243902439024,0.5806451612903226,0.3888888888888889,0.2941176470588235,0.2,0.4193548387096774,0.4615384615384615,0.6306306306306306,0.5233851351351351,0.519940625,0.5043870967741936,0.0854700854700854,0.1136363636363636,0.0857142857142857,0.2761904761904762,8.495121951219511,0.2388059701492537,6.0,13.0,8.0,28.0,3.0,11.0,,1.0,5.0,9.0,29.0,1.0,6.0,6.0,24.0,,11.0,3.0,11.0,10.0,3.0,7.0,3.0,1.0,,4.0,0.8888888888888888,0.3103448275862069,0.1666666666666666,0.3103448275862069,0.2612612612612612,0.1341463414634146,0.0357142857142857,0.1403508771929824,0.1171171171171171,0.4615384615384615,0.4615384615384615,0.2522522522522522,0.2857142857142857,0.2962962962962963,0.25,0.0990990990990991,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.0588235294117647,,,0.1612903225806451,0.2727272727272727,24.241379310344826,6.0,18.0,1.0,1.0,1.0,2.0,3.0,,3.0,5.0,0.3333333333333333,,0.2439024390243902,,,0.1621621621621621,0.3333333333333333,0.3333333333333333,1.0,0.032258064516129,1.0,0.2,1.0,5.0,2.0,1.0,4.0,1.0,0.3333333333333333,1.0,0.2941176470588235,0.2,1.0,,,,,,,,True,,,,,,,
200789,1610612739,Daniel Gibson,Daniel Gibson,200789,CLE,6380.0,106,-30,195,194,23.0,50.0,21.0,389,1.0,5.0,,,,,3.0,15.0,5.0,44.0,223,,3.0,2.0,5.0,,1.0,2.0,5.0,2.0,4.0,,11.0,6.0,17.0,4.0,5.0,40.0,1.0,1.0,,1.0,8.0,,9.0,2.0,11.0,,5.0,3.0,6.0,2.0,11.0,3.0,3.0,10.0,2.0,5.0,,6.0,1.0,,2.0,1.0,,2.0,1.0,,5.0,23.0,4.0,,0.3333333333333333,0.3333333333333333,0.2,,,0.6290322580645161,0.375,0.75,0.6515151515151515,0.5,0.8333333333333334,20.27649769585253,0.4545454545454545,,,0.1290322580645161,0.0142857142857142,0.1,0.0526315789473684,0.125,0.0224719101123595,,,0.0303030303030303,,0.1666666666666666,0.0476190476190476,0.2727272727272727,,0.3333333333333333,,0.5,0.1612903225806451,0.2,0.3333333333333333,1.0,,,,,0.6774193548387096,0.4884435483870967,0.40895,0.345875,0.0606060606060606,0.0625,0.1136363636363636,0.1136363636363636,12.046666666666669,0.1179487179487179,,1.0,2.0,9.0,7.0,12.0,,,1.0,11.0,16.0,1.0,1.0,1.0,30.0,,12.0,7.0,3.0,2.0,1.0,1.0,1.0,,1.0,,0.9090909090909092,0.6875,1.0,0.6875,0.5161290322580645,0.2,0.1111111111111111,0.1333333333333333,0.032258064516129,,,0.2903225806451613,0.2222222222222222,0.25,,0.3870967741935484,0.5833333333333334,0.5833333333333334,0.8571428571428571,,,,0.5,0.5833333333333334,24.85625,4.0,4.0,,,1.0,1.0,3.0,,2.0,2.0,1.0,,0.4,,,0.1290322580645161,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,1.0,,,0.25,1.0,1.0,4.0,1.0,1.0,1.0,0.0588235294117647,,,True,,,,,,,
727,1610612739,Eric Snow,Eric Snow,727,CLE,4476.0,75,-8,137,140,36.0,55.0,24.0,277,,1.0,,,,,,5.0,2.0,2.0,136,,,,,,1.0,1.0,1.0,,,,5.0,2.0,7.0,2.0,1.0,16.0,,,,,4.0,,4.0,,4.0,,2.0,1.0,,1.0,2.0,,3.0,7.0,,6.0,1.0,4.0,2.0,,1.0,1.0,,1.0,1.0,,1.0,36.0,1.0,,,,,,,,,,0.1428571428571428,,0.25,5.325443786982249,1.0,,,0.0851063829787234,,,,0.0615384615384615,,,,,,,0.1578947368421052,0.1111111111111111,,,,1.0,0.2,,,,,,,,0.2,0.38402,,0.3268,0.2857142857142857,0.2857142857142857,,0.5,12.52,0.2627737226277372,,1.0,,3.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,2.0,,,,,,,0.2,,,0.2,,,0.6,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,True,,,,,,,
980,1610612739,Zydrunas Ilgauskas,Zydrunas Ilgauskas,980,CLE,5891.0,98,-28,187,188,36.0,44.0,20.0,375,6.0,9.0,4.0,5.0,,2.0,13.0,28.0,5.0,31.0,205,4.0,5.0,1.0,9.0,2.0,6.0,,4.0,10.0,16.0,4.0,,,,,,,,8.0,,2.0,14.0,3.0,19.0,8.0,27.0,,3.0,2.0,2.0,1.0,5.0,3.0,5.0,9.0,2.0,4.0,,6.0,2.0,,7.0,4.0,1.0,7.0,4.0,,4.0,36.0,,,0.3846153846153846,0.4545454545454545,0.4642857142857143,0.8,0.3333333333333333,0.4642857142857143,0.8,0.3333333333333333,0.4833333333333333,0.8,0.3333333333333333,16.50943396226415,0.6,0.375,,0.2258064516129032,0.1066666666666666,0.1666666666666666,,0.2162162162162162,0.0941176470588235,0.0476190476190476,0.1538461538461538,0.1219512195121951,,,0.2608695652173913,0.25,,0.5,,0.5714285714285714,0.3214285714285714,0.6666666666666666,0.75,0.3333333333333333,1.0,0.8,0.3333333333333333,,0.3214285714285714,0.4607499999999999,0.6343400000000001,0.45225,0.0666666666666666,0.0666666666666666,0.2903225806451613,0.1290322580645161,10.792857142857144,0.1925133689839572,2.0,3.0,5.0,16.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0357142857142857,,0.1851851851851851,0.1071428571428571,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.3125,0.3125,0.6,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,True,,,,,,,
1800,1610612739,Damon Jones,Damon Jones,1800,CLE,3099.0,52,-40,92,95,42.0,38.0,14.0,187,,2.0,,,,2.0,,3.0,1.0,16.0,132,,,,3.0,,2.0,1.0,7.0,,,,1.0,2.0,3.0,1.0,,8.0,,,,1.0,1.0,,2.0,,2.0,,2.0,2.0,,,2.0,1.0,,3.0,,1.0,,2.0,,1.0,,,,,,,7.0,42.0,,1.0,,,,,,0.75,1.5,0.5,0.7272727272727273,1.5,0.5,11.711711711711713,1.0,,,0.0434782608695652,,0.1111111111111111,,0.0625,,,,,,,,0.1111111111111111,0.1111111111111111,,,,0.2,,,,,,0.3333333333333333,,0.9,0.478145,,0.461575,,,0.1875,0.4375,7.933333333333334,0.4565217391304347,,,,1.0,4.0,6.0,,,3.0,5.0,7.0,1.0,1.0,4.0,12.0,,6.0,4.0,,,,,,1.0,,,0.8,0.7142857142857143,1.0,0.7142857142857143,0.7,,,,,,,0.1,,,,0.6,0.6666666666666666,0.6666666666666666,0.75,,,,0.5,0.6666666666666666,25.45714285714286,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,1.0,0.5,,,,,0.1,1.0,1.0,1.0,0.1666666666666666,1.0,0.3333333333333333,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,True,,,,,,,
200759,1610612739,Cedric Simmons,Cedric Simmons,200759,CLE,998.0,17,-7,30,32,16.0,26.0,9.0,62,1.0,1.0,,,,,1.0,2.0,,2.0,36,,,,,,1.0,,,2.0,,,,,,,,,1.0,1.0,,,2.0,1.0,3.0,2.0,5.0,,,,,,,,2.0,4.0,,2.0,,4.0,2.0,,1.0,1.0,,1.0,1.0,,,16.0,2.0,,1.0,1.0,0.5,,,0.5,,,0.25,,,9.523809523809524,,0.5,,0.2222222222222222,0.0588235294117647,,0.1666666666666666,0.1176470588235294,0.0869565217391304,,,0.1428571428571428,0.3333333333333333,,0.1666666666666666,0.5,,,,1.0,0.5,1.0,1.0,1.0,,,,,0.5,0.6095,,0.3867,0.5,0.5,,,8.1,0.5333333333333333,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2400,1610612739,Drew Gooden,Drew Gooden,2400,CLE,6882.0,115,-47,216,216,26.0,63.0,23.0,432,7.0,12.0,3.0,4.0,1.0,2.0,18.0,43.0,11.0,47.0,251,4.0,5.0,2.0,10.0,2.0,4.0,,4.0,20.0,16.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,,3.0,1.0,5.0,15.0,4.0,24.0,4.0,28.0,,,,4.0,,4.0,,3.0,6.0,2.0,9.0,1.0,14.0,6.0,1.0,3.0,3.0,,3.0,2.0,,4.0,26.0,,,0.5555555555555556,0.5882352941176471,0.4186046511627907,0.8,0.5,0.4186046511627907,0.8,0.5,0.47,0.8333333333333334,0.5,22.5,,0.4444444444444444,0.2,0.2083333333333333,0.0352941176470588,0.3846153846153846,,0.2352941176470588,0.029126213592233,0.0416666666666666,0.05,0.024390243902439,,,0.1538461538461538,0.3333333333333333,0.4545454545454545,,,0.6666666666666666,0.2790697674418604,0.5833333333333334,0.875,0.4285714285714285,0.8,0.75,0.5,0.5,0.2790697674418604,0.4693953488372093,0.5666,0.4706,0.1224489795918367,0.1224489795918367,0.2127659574468085,0.0851063829787234,10.109302325581394,0.1203703703703703,5.0,15.0,6.0,16.0,,,,,,,,,,,,,,,5.0,3.0,2.0,1.0,,,,,,,,,,0.1162790697674418,,0.1935483870967742,0.3488372093023256,0.3333333333333333,0.3571428571428571,0.3720930232558139,0.375,0.375,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.0666666666666666,,,,,,,,,,,,,1.0,,0.6,0.3333333333333333,,,,,1.0,,,,1.0,1.0,True,,,,,,,
