EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,StepOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,BlockedArc3,OffensiveGoaltends,on,Clear Path Fouls,Corner3PctBlocked
101131,1610612765,Jason Maxiell,Jason Maxiell,101131,DET,51013.0,850,204,1559,1545,615,574,231,3104,65.0,108.0,20.0,32.0,14.0,34.0,22.0,52.0,18.0,45.0,105.0,205.0,67.0,277.0,1610,24.0,45.0,20.0,68.0,27.0,61.0,24.0,78.0,144.0,66.0,36.0,17.0,12.0,9.0,21.0,7.0,2.0,2.0,4.0,6.0,51.0,18.0,70.0,2.0,10.0,87.0,7.0,104.0,90.0,194.0,4.0,6.0,4.0,2.0,13.0,1.0,6.0,15.0,2.0,7.0,4.0,28.0,6.0,10.0,50.0,87.0,11.0,5.0,101.0,14.0,11.0,119.0,17.0,59.0,9.0,49.0,41.0,2.0,6.0,49.0,21.0,4.0,1.0,78.0,615,14.0,9.0,0.6857142857142857,0.8275862068965517,0.5121951219512195,0.5333333333333333,0.4426229508196721,0.5121951219512195,0.5333333333333333,0.4426229508196721,0.541015625,0.5573770491803278,0.4875,0.08292682926829269,0.1111111111111111,0.09615384615384616,15.493726132024007,0.4642857142857143,0.1044776119402985,0.034482758620689655,0.1556350626118068,0.12455516014234876,0.06993006993006994,0.10285714285714286,0.13817663817663817,0.11940298507462686,0.17532467532467533,0.1417910447761194,0.08759124087591241,0.11570247933884298,0.07407407407407407,0.11855670103092783,0.1732283464566929,0.17647058823529413,0.05405405405405406,0.125,0.05,0.42857142857142855,0.526829268292683,0.6018518518518519,0.6770833333333334,0.6923076923076923,0.25365853658536586,0.4230769230769231,0.46808510638297873,0.6818181818181818,0.21951219512195122,0.4,0.4,0.6666666666666666,0.7111111111111111,0.625,0.1,0.5573770491803278,0.4117647058823529,0.526829268292683,0.48351902439024397,0.5050911764705883,0.47516885245901636,0.2388663967611336,0.2388663967611336,0.24548736462093862,0.2815884476534296,6.0268292682926825,0.39448364336112896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
101161,1610612765,Amir Johnson,Amir Johnson,101161,DET,10596.0,177,118,342,344,136,156,42,686,20.0,25.0,11.0,14.0,9.0,12.0,4.0,8.0,,1.0,24.0,34.0,10.0,58.0,325,11.0,14.0,2.0,24.0,13.0,17.0,6.0,32.0,20.0,28.0,18.0,2.0,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,2.0,12.0,2.0,6.0,22.0,3.0,31.0,16.0,47.0,,6.0,5.0,1.0,3.0,,3.0,2.0,,,,5.0,1.0,,14.0,25.0,2.0,,14.0,1.0,2.0,16.0,2.0,6.0,3.0,19.0,11.0,1.0,7.0,20.0,16.0,1.0,2.0,32.0,136,7.0,2.0,0.4166666666666667,0.6666666666666666,0.7058823529411765,0.7857142857142857,0.7647058823529411,0.7058823529411765,0.7857142857142857,0.7647058823529411,0.7073170731707317,0.8,0.8,0.058823529411764705,0.04,0.125,11.886304909560723,0.6,0.2727272727272727,0.2,0.1981981981981982,0.12631578947368421,0.17647058823529413,0.047619047619047616,0.19310344827586207,0.10218978102189781,0.13333333333333333,,0.18181818181818182,0.06666666666666667,,0.275,0.16129032258064516,0.15,0.2,0.1111111111111111,,0.8,0.7352941176470589,0.8,0.8333333333333334,0.45,0.23529411764705882,0.5,0.5714285714285714,0.25,0.029411764705882353,,,,1.0,0.7857142857142857,0.18181818181818182,0.7058823529411765,0.75,0.7352941176470589,0.5101588235294118,0.5234090909090909,0.47669999999999996,0.15789473684210525,0.15789473684210525,0.41379310344827586,0.5517241379310345,2.7911764705882356,0.39766081871345027,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,151335.0,2522,520,4583,4570,1216,1195,592,9153,95.0,167.0,12.0,21.0,21.0,42.0,30.0,67.0,131.0,301.0,256.0,535.0,401.0,1324.0,4719,23.0,47.0,41.0,174.0,58.0,130.0,191.0,397.0,92.0,420.0,2.0,23.0,408.0,121.0,529.0,85.0,36.0,151.0,44.0,213.0,1179.0,11.0,28.0,3.0,28.0,137.0,5.0,170.0,42.0,212.0,12.0,101.0,58.0,43.0,87.0,30.0,57.0,73.0,12.0,30.0,1.0,160.0,14.0,50.0,48.0,130.0,8.0,25.0,330.0,4.0,9.0,437.0,28.0,153.0,56.0,17.0,5.0,8.0,4.0,17.0,12.0,,,397.0,1216,21.0,53.0,0.1796875,0.1803921568627451,0.4785046728971963,0.48936170212765956,0.4461538461538462,0.5262257696693272,0.6584158415841584,0.4517543859649123,0.6074458058435438,0.717948717948718,0.5944272445820433,0.04299065420560748,0.10179640718562874,0.04477611940298507,23.091494601250236,0.54375,0.03676470588235294,0.022900763358778626,0.08044627128596595,0.016898008449004225,0.06588235294117648,0.020036429872495445,0.0775375939849624,0.017679057116953764,0.0171990171990172,0.020100502512562814,0.015258215962441314,0.019753086419753086,0.020833333333333332,0.07948243992606285,0.07788944723618091,0.0824607329842932,0.07076923076923076,0.05,0.02745995423340961,0.7058823529411765,0.1904218928164196,0.5688622754491018,0.6333333333333333,0.25263157894736843,0.07639680729760548,0.44776119402985076,0.46875,0.16666666666666666,0.34321550741163054,0.43521594684385384,0.4395973154362416,0.1297709923664122,0.2079207920792079,0.5714285714285714,0.25,0.18421052631578946,0.5,0.580387685290764,0.48455888119953866,0.496375294117647,0.4628524774774776,0.15522388059701492,0.2318181818181818,0.13141993957703926,0.2998489425981873,11.688785046728972,0.2653283875190923,,,3.0,17.0,48.0,4.0,9.0,3.0,13.0,120.0,294.0,25.0,45.0,27.0,85.0,137.0,342.0,29.0,54.0,30.0,98.0,252.0,159.0,7.0,287.0,120.0,2.0,1.0,39.0,3.0,0.6131386861313869,0.40058479532163743,0.5370370370370371,0.30612244897959184,0.408955223880597,0.3899657924743444,0.005847953216374269,0.009966777408637873,0.006802721088435374,0.05473204104903079,0.3541666666666667,0.3541666666666667,0.9411764705882353,0.3352337514253136,0.40816326530612246,0.410958904109589,0.5666666666666667,0.0891089108910891,0.4444444444444444,0.75,0.44554455445544555,0.5555555555555556,0.84,0.05701754385964912,0.23076923076923078,0.37280701754385964,0.3176470588235294,0.4181184668989547,0.008695652173913044,26.23830409356726,,,True,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,110379.0,1840,389,3327,3316,769,833,418,6643,84.0,144.0,3.0,11.0,12.0,26.0,72.0,147.0,169.0,354.0,325.0,645.0,122.0,928.0,3433,34.0,77.0,11.0,100.0,62.0,131.0,72.0,247.0,434.0,216.0,10.0,43.0,155.0,59.0,214.0,39.0,20.0,83.0,13.0,59.0,487.0,14.0,43.0,,28.0,83.0,2.0,113.0,57.0,170.0,12.0,58.0,29.0,29.0,50.0,7.0,41.0,30.0,7.0,9.0,5.0,80.0,11.0,19.0,37.0,121.0,4.0,6.0,143.0,2.0,7.0,143.0,12.0,40.0,32.0,6.0,2.0,2.0,2.0,9.0,6.0,,,247.0,769,24.0,29.0,0.6676923076923077,0.678125,0.5038759689922481,0.44155844155844154,0.4732824427480916,0.530961791831357,0.5056818181818182,0.5434782608695652,0.5616605616605617,0.526595744680851,0.615,0.06666666666666667,0.1597222222222222,0.09523809523809523,23.489406225477374,0.625,0.020202020202020204,,0.06525157232704402,0.03550784475639967,0.08832807570977919,0.034912718204488775,0.06985525487728131,0.03535980148883375,0.05016722408026756,0.033783783783783786,0.02922077922077922,0.04377104377104377,0.009615384615384616,0.04611650485436893,0.06462585034013606,0.07950530035335689,0.07905138339920949,0.125,0.03592814371257485,0.6666666666666666,0.18972332015810275,0.5833333333333334,0.6942148760330579,0.6190476190476191,0.19367588932806323,0.4897959183673469,0.5413533834586466,0.5277777777777778,0.466403162055336,0.4774011299435028,0.48563218390804597,0.7514792899408284,0.125,0.2727272727272727,0.3333333333333333,0.16149068322981366,0.46153846153846156,0.33992094861660077,0.4666296174142481,0.44589153846153856,0.4547021875,0.05082592121982211,0.05943536404160475,0.10775862068965517,0.2661637931034483,12.32341085271318,0.23113916441238352,3.0,1.0,,27.0,59.0,2.0,5.0,10.0,19.0,25.0,55.0,5.0,6.0,7.0,11.0,52.0,114.0,7.0,11.0,17.0,30.0,153.0,3.0,1.0,54.0,25.0,,2.0,11.0,,0.9807692307692307,0.45614035087719296,0.6363636363636364,0.5666666666666667,0.46017699115044247,0.15019762845849802,,0.01694915254237288,,0.077733860342556,0.4576271186440678,0.4576271186440678,0.9629629629629629,0.07246376811594203,0.45454545454545453,0.45454545454545453,1.0,0.056818181818181816,0.4,1.0,0.06818181818181818,0.8333333333333334,1.0,0.11801242236024845,0.5263157894736842,0.06832298136645963,0.6363636363636364,0.46296296296296297,,24.699122807017545,2.0,,True,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,131787.0,2196,440,3975,3954,1000,948,502,7929,140.0,233.0,20.0,41.0,28.0,51.0,52.0,148.0,103.0,258.0,295.0,639.0,146.0,871.0,4085,36.0,72.0,15.0,114.0,65.0,143.0,64.0,233.0,324.0,266.0,26.0,26.0,150.0,55.0,205.0,39.0,16.0,53.0,22.0,75.0,465.0,28.0,63.0,3.0,45.0,177.0,17.0,239.0,94.0,333.0,19.0,39.0,24.0,15.0,49.0,9.0,31.0,23.0,4.0,18.0,5.0,72.0,6.0,16.0,44.0,77.0,3.0,4.0,139.0,7.0,4.0,185.0,16.0,75.0,24.0,24.0,17.0,4.0,3.0,29.0,21.0,2.0,,233.0,1000,10.0,22.0,0.5491525423728814,0.574468085106383,0.4616588419405321,0.5,0.45454545454545453,0.4776021080368906,0.5561797752808989,0.449468085106383,0.5166073546856464,0.5757575757575758,0.513215859030837,0.0406885758998435,0.06866952789699571,0.05405405405405406,20.04381161007667,0.6805555555555556,0.1717171717171717,0.02830188679245283,0.11792138574283811,0.043091655266757865,0.12096774193548387,0.059574468085106386,0.11852642819006941,0.04710144927536232,0.06983240223463687,0.02824858757062147,0.037333333333333336,0.06571428571428571,0.041666666666666664,0.08050847457627118,0.1048158640226629,0.15088757396449703,0.11578947368421053,0.13793103448275862,0.049738219895287955,0.7241379310344828,0.3069828722002635,0.6008583690987125,0.6451612903225806,0.6142857142857143,0.19499341238471674,0.35135135135135137,0.37142857142857144,0.25,0.33992094861660077,0.3992248062015504,0.40234375,0.6116504854368932,0.4606741573033708,0.4878048780487805,0.15,0.2712765957446808,0.5490196078431373,0.4650856389986825,0.4758305151915457,0.5061154929577464,0.46420935828877025,0.0927960927960928,0.10744985673352435,0.13088404133180254,0.2675086107921929,9.636776212832551,0.25157232704402516,5.0,,,26.0,57.0,2.0,5.0,7.0,17.0,19.0,63.0,7.0,12.0,6.0,28.0,45.0,120.0,9.0,17.0,13.0,45.0,132.0,3.0,1.0,62.0,19.0,2.0,,,1.0,0.9777777777777777,0.375,0.5294117647058824,0.28888888888888886,0.37815126050420167,0.15810276679841898,0.016666666666666666,0.007751937984496124,0.031746031746031744,0.07509881422924901,0.45614035087719296,0.45614035087719296,1.0,0.08300395256916997,0.30158730158730157,0.3114754098360656,0.9473684210526315,0.056179775280898875,0.4,1.0,0.1348314606741573,0.5833333333333334,1.0,0.09042553191489362,0.4117647058823529,0.14893617021276595,0.21428571428571427,0.3064516129032258,0.008264462809917356,24.983333333333334,5.0,,True,,
2553,1610612765,Jarvis Hayes,Jarvis Hayes,2553,DET,22977.0,383,101,731,733,292,317,100,1464,12.0,22.0,3.0,8.0,5.0,9.0,6.0,14.0,18.0,42.0,36.0,78.0,16.0,160.0,748,5.0,14.0,2.0,18.0,17.0,30.0,8.0,66.0,48.0,24.0,6.0,6.0,13.0,4.0,17.0,3.0,1.0,4.0,2.0,7.0,38.0,6.0,8.0,1.0,4.0,22.0,13.0,39.0,15.0,54.0,4.0,15.0,10.0,5.0,4.0,2.0,4.0,11.0,,,,15.0,2.0,5.0,24.0,37.0,1.0,3.0,13.0,3.0,1.0,20.0,1.0,7.0,4.0,2.0,2.0,,,2.0,2.0,,2.0,66.0,292,5.0,3.0,0.6666666666666666,0.7272727272727273,0.46153846153846156,0.35714285714285715,0.5666666666666667,0.4931506849315068,0.38095238095238093,0.5370370370370371,0.5128205128205128,0.391304347826087,0.5689655172413793,0.07692307692307693,0.13636363636363635,0.14285714285714285,20.047169811320753,0.26666666666666666,0.3170731707317073,0.03225806451612903,0.09053497942386832,0.03524229074889868,0.06557377049180328,0.06,0.08552631578947369,0.04281345565749235,0.017543859649122806,0.018867924528301886,0.05128205128205128,,0.20689655172413793,0.075,0.05454545454545454,0.12037037037037036,0.08888888888888889,,0.05263157894736842,1.0,0.1506849315068493,0.5454545454545454,0.631578947368421,0.6666666666666666,0.0958904109589041,0.42857142857142855,0.5,0.6666666666666666,0.2876712328767123,0.42857142857142855,0.43902439024390244,0.6666666666666666,0.38095238095238093,0.375,0.3333333333333333,0.16666666666666666,0.5555555555555556,0.6164383561643836,0.4866804794520546,0.5033764705882353,0.48006388888888896,0.046052631578947366,0.08333333333333333,0.1125,0.4125,11.687179487179488,0.399452804377565,,,,10.0,30.0,1.0,2.0,3.0,9.0,14.0,38.0,1.0,5.0,5.0,15.0,24.0,68.0,2.0,7.0,8.0,24.0,69.0,3.0,,38.0,14.0,,2.0,,,0.9583333333333334,0.35294117647058826,0.2857142857142857,0.3333333333333333,0.35294117647058826,0.4657534246575342,,0.023809523809523808,,0.2054794520547945,0.3333333333333333,0.3333333333333333,1.0,0.2602739726027397,0.3684210526315789,0.3684210526315789,0.9285714285714286,0.09523809523809523,0.5,1.0,0.23809523809523808,0.2,,0.16666666666666666,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.3684210526315789,,25.08088235294117,,,True,,
201155,1610612765,Rodney Stuckey,Rodney Stuckey,201155,DET,8692.0,145,-19,265,272,68,68,45,537,5.0,18.0,1.0,4.0,2.0,5.0,2.0,7.0,8.0,15.0,15.0,40.0,16.0,49.0,304,3.0,7.0,4.0,10.0,2.0,8.0,4.0,8.0,14.0,16.0,2.0,4.0,9.0,4.0,13.0,4.0,,4.0,,5.0,30.0,,7.0,,3.0,7.0,,10.0,7.0,17.0,3.0,7.0,3.0,4.0,7.0,2.0,4.0,4.0,,3.0,2.0,11.0,1.0,4.0,7.0,10.0,,,17.0,,1.0,19.0,1.0,8.0,2.0,1.0,1.0,,,1.0,1.0,,,8.0,68,1.0,1.0,0.4666666666666667,0.5,0.375,0.42857142857142855,0.25,0.38372093023255816,0.42857142857142855,0.2222222222222222,0.47115384615384615,0.5555555555555556,0.36363636363636365,0.1,0.2222222222222222,,19.935691318327976,0.6363636363636364,,,0.08333333333333333,0.07,0.13636363636363635,,0.09433962264150944,0.05223880597014925,0.03225806451612903,0.1,0.08163265306122448,,,0.03125,0.0625,0.1388888888888889,0.15,,0.14285714285714285,1.0,0.4186046511627907,0.2777777777777778,0.35714285714285715,0.4,0.16279069767441862,0.2857142857142857,0.2857142857142857,,0.3488372093023256,0.5333333333333333,0.5333333333333333,0.625,0.5714285714285714,0.25,,0.5555555555555556,0.4,0.4883720930232558,0.47266279069767453,0.5038666666666666,0.5153944444444445,0.16,0.1702127659574468,0.20408163265306123,0.16326530612244897,8.625,0.25660377358490566,,,,,,,,,,1.0,3.0,,,,1.0,1.0,3.0,,,,1.0,,3.0,,3.0,1.0,,,,,,0.3333333333333333,,,0.3333333333333333,0.06976744186046512,,,,,,,,0.06976744186046512,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.1111111111111111,,0.3333333333333333,,27.333333333333332,,,True,,
201167,1610612765,Arron Afflalo,Arron Afflalo,201167,DET,24851.0,414,90,771,768,294,247,102,1539,19.0,35.0,6.0,9.0,7.0,11.0,6.0,11.0,14.0,28.0,39.0,74.0,28.0,121.0,779,8.0,14.0,4.0,23.0,11.0,20.0,14.0,39.0,44.0,34.0,10.0,13.0,15.0,3.0,18.0,3.0,,8.0,1.0,6.0,39.0,1.0,15.0,2.0,11.0,24.0,1.0,36.0,18.0,54.0,,17.0,7.0,10.0,4.0,1.0,3.0,7.0,,1.0,,11.0,2.0,3.0,16.0,46.0,,3.0,28.0,1.0,1.0,35.0,3.0,13.0,6.0,5.0,3.0,1.0,1.0,5.0,2.0,,,39.0,294,5.0,5.0,0.5641025641025641,0.6470588235294118,0.527027027027027,0.5714285714285714,0.55,0.4744897959183674,0.59375,0.4166666666666667,0.5307017543859649,0.6388888888888888,0.5,0.17567567567567569,0.3142857142857143,0.18181818181818182,14.044943820224718,0.36363636363636365,0.047619047619047616,0.07692307692307693,0.08921933085501858,0.05434782608695652,0.171875,0.012048192771084338,0.10510510510510511,0.04456824512534819,0.08333333333333333,0.031746031746031744,0.05228758169934641,0.016666666666666666,,0.05063291139240506,0.09230769230769231,0.112,0.13157894736842105,0.23076923076923078,,0.4,0.35714285714285715,0.5428571428571428,0.7916666666666666,0.3157894736842105,0.11224489795918367,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.5,0.5,0.8571428571428571,0.5625,0.6666666666666666,,0.36666666666666664,0.6363636363636364,0.6020408163265306,0.524892268041237,0.5046033333333334,0.5363896551724138,0.12037037037037036,0.15476190476190477,0.19008264462809918,0.32231404958677684,8.655405405405405,0.38132295719844356,,,,1.0,14.0,,1.0,,5.0,4.0,10.0,1.0,1.0,1.0,5.0,5.0,24.0,1.0,2.0,1.0,10.0,15.0,,,10.0,4.0,,3.0,,,1.0,0.20833333333333334,0.5,0.1,0.20833333333333334,0.24489795918367346,,,,0.14285714285714285,0.07142857142857142,0.07142857142857142,1.0,0.10204081632653061,0.4,0.4,1.0,0.0625,,,0.0625,1.0,1.0,0.16666666666666666,,0.16666666666666666,0.2,0.4,,25.129166666666666,,,True,,
2413,1610612765,Juan Dixon,Juan Dixon,2413,DET,3273.0,55,12,103,103,53,42,12,206,1.0,1.0,,,1.0,1.0,,2.0,1.0,5.0,2.0,8.0,,13.0,111,,,,,1.0,2.0,,2.0,4.0,,,1.0,4.0,,4.0,,,4.0,,,8.0,1.0,,,1.0,6.0,,7.0,1.0,8.0,,,,,2.0,,1.0,1.0,,1.0,1.0,3.0,,,2.0,3.0,,,2.0,1.0,1.0,,,,,,,,,,,,,2.0,53,,,1.0,1.0,0.25,,0.5,0.43333333333333335,,0.2,0.43333333333333335,,0.2,0.125,,0.5,15.254237288135593,0.6666666666666666,,,0.1935483870967742,,0.08333333333333333,0.1,0.16279069767441862,0.023255813953488372,,,,0.2,,0.25,0.18181818181818182,0.125,0.1111111111111111,,,,0.06666666666666667,1.0,1.0,1.0,0.13333333333333333,,,,0.3333333333333333,0.2,0.2,1.0,,,,0.2,1.0,0.5333333333333333,0.4928392857142857,,0.593025,,,,0.15384615384615385,14.275,0.5145631067961165,,,,1.0,3.0,,,,1.0,2.0,4.0,,,,2.0,3.0,7.0,,,,3.0,6.0,3.0,1.0,3.0,2.0,,,,,0.6666666666666666,0.42857142857142855,,,0.5,0.4666666666666667,,,,0.2,0.3333333333333333,0.3333333333333333,1.0,0.26666666666666666,0.5,0.5,0.5,,,,,,,0.2,,0.4,,0.6666666666666666,,26.87142857142857,,,True,,
1737,1610612765,Nazr Mohammed,Nazr Mohammed,1737,DET,5898.0,98,38,178,182,74,66,28,360,8.0,14.0,5.0,9.0,5.0,9.0,1.0,2.0,2.0,6.0,11.0,22.0,3.0,25.0,166,5.0,9.0,,10.0,7.0,13.0,1.0,15.0,12.0,10.0,8.0,2.0,2.0,,2.0,,,2.0,,,4.0,3.0,12.0,,5.0,8.0,3.0,16.0,15.0,31.0,,3.0,3.0,,2.0,,1.0,3.0,1.0,1.0,1.0,5.0,,3.0,8.0,13.0,2.0,1.0,11.0,,3.0,12.0,,5.0,1.0,5.0,3.0,1.0,1.0,5.0,2.0,1.0,,15.0,74,1.0,1.0,0.5454545454545454,0.8571428571428571,0.5,0.5555555555555556,0.5384615384615384,0.4782608695652174,0.5555555555555556,0.5,0.43103448275862066,0.5,0.5,0.09090909090909091,0.14285714285714285,,15.887850467289718,0.4,0.375,,0.11428571428571428,0.1935483870967742,0.3125,0.1111111111111111,0.1511627906976744,0.16853932584269662,0.14285714285714285,0.3076923076923077,0.17857142857142858,0.17647058823529413,,0.06666666666666667,0.13333333333333333,0.125,0.3333333333333333,0.25,,0.4,0.6086956521739131,0.5714285714285714,0.6666666666666666,0.5,0.08695652173913043,0.5,0.5,,0.2608695652173913,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5555555555555556,0.2,0.6428571428571429,0.5555555555555556,0.6521739130434783,0.49589090909090916,0.5425428571428571,0.49490769230769227,0.17857142857142858,0.18518518518518517,0.4,0.6,6.031818181818181,0.4157303370786517,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,0.043478260869565216,,,,,,,,0.043478260869565216,,,,,,,,,,,,0.07142857142857142,,,,77.7,,,True,,
