EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,FG2A,OpponentPoints,Usage,AtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGA,ShortMidRangeFGA,FtPoints,Points,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,PenaltyAtRimFrequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,LongMidRangeFGM,LongMidRangeFGA,FG2M,PtsAssisted2s,PtsUnassisted2s,LongMidRangeAssists,DefThreePtRebounds,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,DefThreePtReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Steals,BadPassSteals,Loose Ball Fouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,DefLongMidRangeReboundPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,ShortMidRangeFGM,FTDefRebounds,2pt And 1 Free Throw Trips,DefFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,DefArc3ReboundPct,PtsPutbacks,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SecondChanceFtPoints,ThreePtAssists,Corner3Assists,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGA,LostBallSteals,ThreePtShootingFoulsDrawn,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawnPct,Arc3Assists,LiveBallTurnovers,BadPassTurnovers,Turnovers,LiveBallTurnoverPct,on,PenaltyAtRimFGM,DeadBallTurnovers,PenaltyTurnovers,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,ShortMidRangePctBlocked,PenaltyAtRimAccuracy,HeaveAttempts,ShortMidRangeAssists,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceArc3FGM,PtsUnassisted3s,Fg3aBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
101177,1610612759,Fabricio Oberto,Fabricio Oberto,101177,SAS,193.0,3,-9.0,5,6,1.0,11,1.0,1.0,11,16.666666666666668,1.0,1.0,0.5428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,663.0,11,-4.0,18,17,4.0,35,1.0,2.0,21,19.047619047619047,0.5,0.5,0.43825000000000003,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,0.125,0.25,0.5,1.0,0.2,0.14285714285714285,0.14285714285714285,0.08333333333333333,0.5,0.5,1.0,0.5,1.0,0.4753,0.3333333333333333,0.3333333333333333,1.0,4.35,0.7222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,1610612759,Jacque Vaughn,Jacque Vaughn,1521,SAS,875.0,15,-13.0,26,28,2.0,54,1.0,4.0,37,14.285714285714285,0.25,0.25,0.49575,4.0,3.0,,,,6.0,,,,,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,4.0,,0.75,,,,,,0.1,,,,,,,,,,,14.549999999999999,0.15384615384615385,1.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,0.75,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1610612759,DerMarr Johnson,DerMarr Johnson,2035,SAS,1651.0,28,-2.0,52,50,5.0,102,2.0,5.0,52,26.785714285714285,0.14285714285714285,0.7857142857142857,0.5051357142857144,14.0,9.0,,,,17.0,1.0,,11.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,3.0,4.0,1.0,2.0,1.0,,,,,,11.0,14.0,,0.5666666666666667,0.7857142857142857,,,0.058823529411764705,,0.045454545454545456,,,,,,,0.5249357142857143,0.06666666666666667,0.16666666666666666,0.6470588235294118,11.219999999999999,0.2692307692307692,2.0,2.0,3.0,4.0,8.0,,,,,,1.0,1.0,0.8,0.6071428571428571,,,1.0,1.0,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,3.0,3.0,9.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,6.0,9.0,5.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,1.0,1.25,0.7857142857142857,1.25,0.6428571428571429,0.1111111111111111,1.0,0.2857142857142857,0.25,0.25,1.0,0.35714285714285715,0.4,0.4,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.4,0.5448,0.29411764705882354,24.27777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1610612759,Michael Finley,Michael Finley,714,SAS,207.0,3,-8.0,6,6,1.0,12,,1.0,11,14.285714285714285,,,0.3514,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,20.0,0.16666666666666666,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101247,1610612759,Keith Langford,Keith Langford,101247,SAS,235.0,4,3.0,9,8,,17,2.0,3.0,7,33.333333333333336,0.6666666666666666,0.6666666666666666,0.5849000000000001,,8.0,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,0.3333333333333333,,,,,,,,,,,7.666666666666667,,,1.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,1610612759,Francisco Elson,Francisco Elson,1922,SAS,235.0,4,3.0,9,8,,17,,3.0,7,33.333333333333336,,,0.35473333333333334,,8.0,,1.0,,6.0,,,,,,,,,,1.0,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,,0.3333333333333333,,,,,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,13.333333333333334,,,2.0,2.0,3.0,,6.0,,,,,,,1.0,1.0,,,,,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,1610612759,Ime Udoka,Ime Udoka,2137,SAS,673.0,11,,23,20,,43,1.0,1.0,18,4.3478260869565215,1.0,1.0,0.6336,4.0,8.0,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,4.0,,1.0,,,,,,0.1,,,,,,,,,,,1.5,0.17391304347826086,1.0,,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,0.3333333333333333,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,1610612759,Matt Bonner,Matt Bonner,2588,SAS,859.0,14,5.0,29,27,1.0,56,2.0,2.0,24,13.333333333333334,0.6666666666666666,1.0,0.5428166666666666,2.0,6.0,,,1.0,5.0,,,,,2.0,2.0,,4.0,1.0,3.0,4.0,1.0,5.0,,,1.0,2.0,,1.0,,,,,,2.0,,0.625,,,,0.25,0.16666666666666666,0.26666666666666666,0.08333333333333333,,0.5,,,,,,,,0.6,0.06896551724137931,2.0,,,2.0,2.0,2.0,2.0,1.0,,,0.5,1.0,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,0.3333333333333333,,0.5,,,,,0.3333333333333333,,,,1.0,1.0,,,,,,,,,,0.6295,0.4,25.6,,,,,,,,2.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1610612759,Robert Horry,Robert Horry,109,SAS,259.0,4,11.0,8,7,3.0,15,,,2,20.0,,1.0,0.60405,8.0,,,,2.0,2.0,,2.0,2.0,,1.0,2.0,,5.0,,,,2.0,2.0,,,1.0,2.0,,1.0,,,,,2.0,8.0,1.0,0.5,0.5,,,,,,0.4,,,,,,0.60405,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,24.1,,,,,,,,,,,2.0,1.0,1.0,2.0,0.5,0.5,0.5,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
