EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffAtRimReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceFtPoints,BlockedLongMidRange,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,DefensiveGoaltends,3SecondViolations,on,OffensiveGoaltends,Arc3PctBlocked,BlockedCorner3,Clear Path Fouls
101204,1610612739,Dwayne Jones,Dwayne Jones,101204,CLE,6793.0,113,-24.0,215,219,87,98,37.0,434,2.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,3.0,7.0,267,2.0,3.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,5.0,6.0,6.0,2.0,2.0,6.0,3.0,11.0,14.0,25.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,14.0,25.0,2.0,1.0,7.0,4.0,10.0,1.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0,87,5.0,4.0,0.4,0.6666666666666666,0.5,0.4,0.6666666666666666,0.5,0.35,0.5,0.3333333333333333,5.078125,0.3333333333333333,0.25,0.1428571428571428,0.0967741935483871,0.0869565217391304,0.0869565217391304,0.1818181818181818,0.0941176470588235,0.1176470588235294,0.125,0.1111111111111111,0.2,0.1666666666666666,0.0454545454545454,0.1363636363636363,0.1111111111111111,0.0666666666666666,0.125,0.8,0.8,0.5,0.5,0.2,1.0,0.6666666666666666,0.5,1.0,0.8,0.52098,0.5628,0.41505,0.1666666666666666,0.1666666666666666,0.5714285714285714,0.5714285714285714,2.3,0.4046511627906977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1716,1610612739,Larry Hughes,Larry Hughes,1716,CLE,72595.0,1210,-108.0,2304,2307,536,631,332.0,4611,48.0,106.0,6.0,14.0,8.0,19.0,54.0,137.0,352.0,88.0,491.0,2528,15.0,35.0,48.0,28.0,75.0,36.0,134.0,140.0,10.0,78.0,16.0,94.0,8.0,48.0,204.0,4.0,23.0,,30.0,84.0,2.0,116.0,27.0,143.0,60.0,36.0,39.0,9.0,33.0,12.0,72.0,4.0,11.0,54.0,91.0,,10.0,83.0,,108.0,41.0,12.0,11.0,8.0,3.0,11.0,7.0,134.0,536,9.0,12.0,0.3892045454545454,0.4285714285714285,0.3733333333333333,0.4215481171548117,0.4705882352941176,0.4622641509433962,0.4648956356736243,0.4615384615384615,0.5317460317460317,22.144177449168208,0.5416666666666666,0.0206185567010309,,0.1117021276595744,0.0256696428571428,0.1149425287356321,0.0153846153846153,0.1125370187561698,0.023356401384083,0.009009009009009,0.0247524752475247,0.0180722891566265,0.0106382978723404,0.0905511811023622,0.1017699115044247,0.1397058823529411,0.106951871657754,0.1351351351351351,0.6363636363636364,0.2217573221757322,0.4528301886792453,0.5853658536585366,0.1129707112970711,0.2745098039215686,0.4285714285714285,0.1792452830188679,0.4210526315789473,0.4853556485355648,0.4977246848739496,0.5219275000000001,0.4776798076923078,0.0834951456310679,0.1059431524547803,0.0977596741344195,0.2729124236252546,12.0625,0.2326388888888889,15.0,74.0,192.0,13.0,35.0,2.0,3.0,5.0,8.0,30.0,91.0,4.0,13.0,9.0,23.0,43.0,126.0,6.0,16.0,14.0,31.0,134.0,120.0,9.0,2.0,89.0,30.0,36.0,8.0,10.0,20.0,6.0,24.0,27.0,7.0,2.0,4.0,7.0,6.0,2.0,2.0,1.0,0.4890510948905109,0.5075757575757576,0.9302325581395348,0.3412698412698413,0.375,0.4516129032258064,0.3467741935483871,0.2635983263598326,0.1022727272727272,0.2264150943396226,0.0925925925925925,0.0364583333333333,0.0407407407407407,0.0232558139534883,0.5416666666666666,0.2777777777777778,0.3061224489795918,0.4,0.401673640167364,0.3854166666666667,0.4,0.4729729729729729,0.0732217573221757,0.3714285714285714,0.3714285714285714,0.9230769230769232,0.1903765690376569,0.3296703296703296,0.3296703296703296,0.9333333333333332,0.3333333333333333,0.0588235294117647,0.6666666666666666,1.0,0.2549019607843137,0.3076923076923077,1.0,0.0754716981132075,0.625,0.2169811320754717,0.391304347826087,0.3370786516853932,0.015625,25.189682539682533,,,,,,,,,,,True,,,,
1800,1610612739,Damon Jones,Damon Jones,1800,CLE,11340.0,189,-23.0,362,355,112,106,59.0,717,,,,,,,1.0,2.0,4.0,,46.0,421,1.0,1.0,8.0,1.0,1.0,,23.0,,,9.0,7.0,16.0,4.0,3.0,39.0,1.0,,,5.0,6.0,1.0,12.0,1.0,13.0,2.0,1.0,4.0,1.0,1.0,,5.0,,,6.0,12.0,,,2.0,,,,,,,,,,23.0,112,1.0,,0.5,1.0,1.0,0.4893617021276595,0.6666666666666666,0.575,0.4893617021276595,0.6666666666666666,0.575,12.009237875288685,0.8,0.0625,,0.0606060606060606,,0.108695652173913,0.0142857142857142,0.0758620689655172,0.0051546391752577,,,,0.04,0.0769230769230769,0.0277777777777777,0.0833333333333333,0.0857142857142857,0.1818181818181818,,,,,0.0212765957446808,,,,,0.9148936170212766,0.5084829787234041,0.52271,0.49592,,,0.1739130434782608,0.5,16.95,0.3093922651933701,1.0,1.0,3.0,6.0,19.0,,2.0,2.0,8.0,8.0,24.0,2.0,3.0,5.0,11.0,14.0,43.0,2.0,5.0,7.0,19.0,4.0,42.0,,,24.0,8.0,,3.0,2.0,4.0,1.0,1.0,4.0,,,,,,,,,1.0,1.0,1.0,0.3255813953488372,0.4,0.3684210526315789,0.3255813953488372,0.9148936170212766,,,,,,0.0344827586206896,,1.0,1.0,1.0,0.0638297872340425,0.3333333333333333,0.3333333333333333,1.0,0.4042553191489361,0.3157894736842105,0.3333333333333333,1.0,0.5106382978723404,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,,,0.5,0.6666666666666666,1.0,0.4,0.25,0.55,0.4545454545454545,0.3333333333333333,,24.667441860465107,1.0,0.0232558139534883,0.0526315789473684,,,,,,,,True,,,,
1956,1610612739,Ira Newble,Ira Newble,1956,CLE,20997.0,350,-78.0,673,677,175,172,96.0,1350,26.0,37.0,10.0,14.0,6.0,7.0,2.0,32.0,58.0,9.0,85.0,754,10.0,16.0,26.0,6.0,7.0,5.0,17.0,32.0,20.0,7.0,,7.0,,1.0,14.0,3.0,16.0,1.0,6.0,25.0,4.0,35.0,20.0,55.0,14.0,11.0,6.0,,7.0,1.0,13.0,2.0,1.0,22.0,36.0,2.0,,12.0,3.0,15.0,7.0,1.0,3.0,2.0,,3.0,2.0,17.0,175,4.0,1.0,0.5517241379310345,0.625,0.8571428571428571,0.4810126582278481,0.6388888888888888,0.5,0.4941860465116279,0.65,0.5666666666666667,12.611464968152866,0.4615384615384615,0.1481481481481481,0.037037037037037,0.1121076233183856,0.0620155038759689,0.0895522388059701,0.0357142857142857,0.1068965517241379,0.0555555555555555,0.0357142857142857,0.0330578512396694,0.0350877192982456,0.037037037037037,0.1095890410958904,0.1232876712328767,0.1038961038961039,0.1020408163265306,0.0555555555555555,0.6666666666666666,0.4683544303797468,0.7027027027027027,0.7222222222222222,0.0253164556962025,0.7777777777777778,0.7142857142857143,0.5833333333333334,0.8571428571428571,0.7341772151898734,0.5377803797468355,0.5806199999999999,0.5818916666666666,0.0823529411764705,0.109375,0.3058823529411765,0.2,6.66896551724138,0.2600297176820208,,6.0,19.0,4.0,16.0,1.0,1.0,,4.0,,5.0,,1.0,,1.0,4.0,21.0,1.0,2.0,,5.0,32.0,12.0,,,5.0,,1.0,,1.0,5.0,1.0,3.0,5.0,2.0,1.0,3.0,,1.0,,,,0.5,0.7272727272727273,1.0,0.1904761904761904,0.5,,0.1904761904761904,0.2658227848101265,0.0172413793103448,0.027027027027027,,,0.1234567901234567,0.0238095238095238,0.5384615384615384,,,,0.240506329113924,0.3157894736842105,0.3157894736842105,0.3333333333333333,0.2025316455696202,0.25,0.25,1.0,0.0632911392405063,,,,,0.0555555555555555,1.0,1.0,0.0555555555555555,,,0.3333333333333333,,0.0833333333333333,,,,24.1952380952381,,,,3.0,1.0,,,,,,True,,,,
200789,1610612739,Daniel Gibson,Daniel Gibson,200789,CLE,29682.0,495,-28.0,933,937,287,340,131.0,1870,5.0,12.0,1.0,2.0,2.0,4.0,3.0,19.0,38.0,13.0,168.0,1024,2.0,3.0,14.0,5.0,10.0,2.0,48.0,18.0,,24.0,6.0,30.0,3.0,11.0,66.0,3.0,7.0,,10.0,7.0,1.0,18.0,10.0,28.0,11.0,6.0,16.0,2.0,10.0,4.0,26.0,3.0,5.0,24.0,50.0,2.0,5.0,16.0,1.0,16.0,5.0,,5.0,4.0,1.0,5.0,3.0,48.0,287,8.0,,0.5,0.6666666666666666,0.5,0.6919642857142857,0.9285714285714286,0.7666666666666667,0.7076271186440678,0.9285714285714286,0.7741935483870968,13.174748398902103,0.6153846153846154,0.0232558139534883,,0.0252707581227436,0.019774011299435,0.0862068965517241,0.027027027027027,0.0432569974554707,0.021505376344086,0.0208333333333333,0.0258064516129032,0.0416666666666666,,0.0208333333333333,0.0117647058823529,0.0416666666666666,0.057471264367816,0.1724137931034483,0.6,0.1071428571428571,0.4166666666666667,0.5555555555555556,0.0267857142857142,0.2857142857142857,0.5,0.1333333333333333,0.5,0.7678571428571429,0.5283734234234235,0.57351,0.5201051724137931,0.059322033898305,0.1162790697674418,0.0833333333333333,0.2857142857142857,12.510526315789471,0.307609860664523,1.0,13.0,23.0,22.0,40.0,3.0,3.0,6.0,12.0,17.0,34.0,,1.0,6.0,8.0,39.0,74.0,3.0,4.0,12.0,20.0,20.0,108.0,9.0,1.0,33.0,17.0,5.0,3.0,5.0,8.0,2.0,5.0,12.0,,,2.0,1.0,,2.0,2.0,,0.5263157894736842,0.5263157894736842,0.9230769230769232,0.527027027027027,0.75,0.6,0.5342465753424658,0.6607142857142857,0.131578947368421,0.25,0.3333333333333333,0.0434782608695652,0.0097087378640776,0.0416666666666666,0.6,0.3333333333333333,0.5,,0.2053571428571428,0.5652173913043478,0.5909090909090909,0.5384615384615384,0.3571428571428571,0.55,0.55,0.9545454545454546,0.3035714285714285,0.5,0.5,0.8823529411764706,1.0,0.4285714285714285,1.0,0.6666666666666666,0.1428571428571428,,,0.4,0.5,0.2666666666666666,0.75,0.5151515151515151,0.0266666666666666,24.582432432432437,,,,1.0,,1.0,,,,,True,,,,
2484,1610612739,Devin Brown,Devin Brown,2484,CLE,12992.0,217,-74.0,411,422,116,162,61.0,833,8.0,18.0,1.0,4.0,2.0,3.0,11.0,18.0,36.0,12.0,57.0,489,2.0,6.0,6.0,4.0,6.0,2.0,10.0,26.0,,18.0,3.0,21.0,2.0,11.0,45.0,3.0,7.0,,6.0,9.0,2.0,17.0,10.0,27.0,10.0,3.0,7.0,,2.0,4.0,9.0,2.0,2.0,9.0,18.0,2.0,1.0,12.0,,17.0,9.0,,2.0,2.0,,2.0,1.0,10.0,116,5.0,,0.5,0.3333333333333333,0.6666666666666666,0.5487804878048781,0.3333333333333333,0.6666666666666666,0.5816326530612245,0.4285714285714285,0.7142857142857143,11.90965092402464,0.7777777777777778,0.1111111111111111,,0.0803571428571428,0.0421686746987951,0.109090909090909,0.073170731707317,0.0898203592814371,0.0483091787439613,0.0384615384615384,0.046875,0.074074074074074,0.0714285714285714,0.0212765957446808,0.0857142857142857,0.1666666666666666,0.1428571428571428,0.05,0.5,0.4390243902439024,0.4444444444444444,0.5333333333333333,0.2682926829268293,0.6666666666666666,0.25,0.5,0.6666666666666666,0.5609756097560976,0.5072231707317072,0.6003,0.4725666666666666,0.1836734693877551,0.2045454545454545,0.1052631578947368,0.175438596491228,7.005555555555556,0.2822384428223844,6.0,4.0,7.0,,1.0,,,,,3.0,4.0,,,,,3.0,5.0,,,,,10.0,9.0,,,4.0,3.0,5.0,1.0,3.0,4.0,,7.0,3.0,,,1.0,1.0,1.0,,,,0.2777777777777778,0.2777777777777778,1.0,0.6,,,0.6,0.1219512195121951,0.1388888888888889,0.1666666666666666,0.1818181818181818,,0.04,,0.25,0.5454545454545454,0.6666666666666666,0.1666666666666666,0.1707317073170731,0.5714285714285714,0.5714285714285714,0.5,0.024390243902439,,,,0.0975609756097561,0.75,0.75,1.0,,,,,,,,,,,,0.75,,24.98,,,,2.0,,,,,,,True,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,62086.0,1035,-38.0,1977,1979,466,551,277.0,3956,132.0,187.0,18.0,27.0,29.0,36.0,73.0,217.0,418.0,164.0,679.0,2127,26.0,47.0,75.0,51.0,95.0,76.0,187.0,280.0,20.0,128.0,57.0,185.0,28.0,66.0,427.0,5.0,36.0,4.0,41.0,102.0,11.0,154.0,45.0,199.0,49.0,30.0,42.0,18.0,38.0,16.0,80.0,9.0,24.0,26.0,62.0,3.0,11.0,170.0,2.0,234.0,97.0,26.0,22.0,14.0,6.0,23.0,14.0,187.0,466,6.0,24.0,0.5191387559808612,0.5531914893617021,0.5368421052631579,0.4961464354527938,0.4754098360655737,0.4549180327868852,0.542741935483871,0.5214285714285715,0.5535714285714286,30.29908972691808,0.525,0.1264367816091954,0.048780487804878,0.1538461538461538,0.047808764940239,0.1774891774891775,0.0226244343891402,0.1599552572706935,0.042094455852156,0.0494505494505494,0.0288184438040345,0.0139860139860139,0.0384615384615384,0.0941704035874439,0.182741116751269,0.1851851851851851,0.18562874251497,0.15625,0.6086956521739131,0.3603082851637765,0.7058823529411765,0.7333333333333333,0.140655105973025,0.4426229508196721,0.6666666666666666,0.2950819672131147,0.8055555555555556,0.5549132947976878,0.5107737451737451,0.518957,0.4847685950413224,0.1632996632996633,0.1967545638945233,0.1104565537555228,0.2754050073637702,9.0633971291866,0.2357106727364694,32.0,53.0,158.0,5.0,14.0,1.0,3.0,,3.0,22.0,87.0,1.0,11.0,3.0,24.0,27.0,101.0,2.0,14.0,3.0,27.0,154.0,39.0,42.0,,87.0,22.0,12.0,29.0,6.0,56.0,9.0,19.0,26.0,4.0,1.0,3.0,3.0,22.0,11.0,,,0.3548387096774194,0.3719806763285024,0.4814814814814814,0.2673267326732673,0.1428571428571428,0.1111111111111111,0.2673267326732673,0.1946050096339113,0.0287081339712918,0.0374331550802139,0.0684931506849315,,0.0758928571428571,0.0348837209302325,0.4242424242424242,0.4383561643835616,0.4705882352941176,0.28125,0.3044315992292871,0.3354430379746835,0.3354430379746835,0.2264150943396226,0.0269749518304431,0.3571428571428571,0.3571428571428571,0.8,0.1676300578034682,0.2528735632183908,0.2528735632183908,0.4090909090909091,0.3333333333333333,0.0491803278688524,0.3333333333333333,1.0,0.180327868852459,0.0909090909090909,,0.0245901639344262,,0.1967213114754098,0.125,0.2528735632183908,,25.506930693069304,,,,17.0,2.0,,1.0,1.0,5.0,,True,,,,
727,1610612739,Eric Snow,Eric Snow,727,CLE,4608.0,77,-2.0,146,148,19,18,19.0,294,1.0,6.0,,,,2.0,,3.0,12.0,3.0,9.0,163,,,,1.0,3.0,,2.0,,,10.0,3.0,13.0,1.0,6.0,29.0,,,,,3.0,,3.0,,3.0,5.0,4.0,1.0,,,,1.0,,,4.0,8.0,,,7.0,,6.0,3.0,,,,,,,2.0,19,,,0.25,,0.3333333333333333,0.25,,0.3333333333333333,0.3,,0.3333333333333333,9.523809523809524,1.0,,,0.0588235294117647,,,,0.0454545454545454,,,,,,,0.0833333333333333,0.0714285714285714,,,,0.5,0.1666666666666666,0.2,,,,0.6666666666666666,,0.5,0.50945,,0.582,0.2,0.2,,0.2222222222222222,8.583333333333334,0.1301369863013698,,2.0,6.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,1.0,2.0,1.0,3.0,,1.0,1.0,,,,4.0,,,,,1.0,1.0,,,,,,,0.0833333333333333,0.1666666666666666,,,,,1.0,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
980,1610612739,Zydrunas Ilgauskas,Zydrunas Ilgauskas,980,CLE,49463.0,824,-73.0,1575,1554,251,280,225.0,3129,73.0,115.0,38.0,59.0,11.0,19.0,74.0,153.0,319.0,81.0,387.0,1713,42.0,69.0,108.0,23.0,48.0,25.0,71.0,142.0,76.0,36.0,14.0,50.0,13.0,23.0,114.0,16.0,83.0,1.0,27.0,96.0,26.0,149.0,100.0,249.0,14.0,12.0,21.0,1.0,28.0,13.0,49.0,4.0,9.0,50.0,93.0,9.0,10.0,60.0,8.0,100.0,40.0,8.0,40.0,27.0,11.0,40.0,21.0,71.0,251,5.0,8.0,0.4796238244514106,0.6086956521739131,0.4791666666666667,0.4796238244514106,0.6086956521739131,0.4791666666666667,0.5235457063711911,0.6524390243902439,0.5564516129032258,22.114347357065803,0.4285714285714285,0.490566037735849,0.0192307692307692,0.1807909604519774,0.1298904538341158,0.1534090909090909,0.10062893081761,0.173974540311174,0.1240601503759398,0.1288343558282208,0.0869565217391304,0.099009900990099,0.1034482758620689,0.1775147928994082,0.1595092024539877,0.2010050251256281,0.1692307692307692,0.108695652173913,0.525,0.3605015673981191,0.6347826086956522,0.6759259259259259,0.231974921630094,0.855072463768116,0.6440677966101694,0.3958333333333333,0.5789473684210527,0.3605015673981191,0.4724536050156739,0.5667809523809525,0.4766812499999999,0.1133144475920679,0.1133144475920679,0.2790697674418604,0.1834625322997416,9.567084639498434,0.1593650793650793,23.0,57.0,130.0,,,,,,,,,,,,,,,,,,,164.0,,,,,,9.0,1.0,4.0,9.0,17.0,2.0,8.0,4.0,1.0,9.0,,6.0,10.0,,1.0,0.5359477124183006,0.7130434782608696,,,,,,,0.0282131661442006,0.0608695652173913,0.027027027027027,,0.2033898305084746,0.1089743589743589,0.4246575342465753,0.3108108108108108,0.3194444444444444,0.217391304347826,0.4075235109717868,0.4384615384615384,0.4384615384615384,0.8070175438596491,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2.0,,,,1.0,2.0,True,,,,
2400,1610612739,Drew Gooden,Drew Gooden,2400,CLE,48155.0,803,-25.0,1524,1527,313,365,212.0,3051,60.0,98.0,17.0,34.0,12.0,21.0,83.0,118.0,259.0,54.0,290.0,1646,23.0,47.0,59.0,19.0,50.0,10.0,48.0,90.0,26.0,21.0,7.0,28.0,6.0,13.0,63.0,12.0,45.0,7.0,31.0,103.0,25.0,159.0,64.0,223.0,15.0,5.0,16.0,3.0,31.0,8.0,47.0,7.0,13.0,50.0,79.0,2.0,11.0,55.0,3.0,72.0,36.0,5.0,15.0,9.0,4.0,15.0,9.0,48.0,313,7.0,3.0,0.4555984555984556,0.4893617021276595,0.38,0.4538461538461538,0.4893617021276595,0.38,0.4965753424657534,0.5363636363636364,0.4285714285714285,18.999437886453062,0.3404255319148936,0.4098360655737705,0.1346153846153846,0.2019607843137255,0.0734094616639478,0.1901840490797546,0.0863309352517985,0.1991084695393759,0.0757978723404255,0.0696202531645569,0.0586080586080586,0.1208791208791208,0.0208333333333333,0.1592356687898089,0.2407407407407407,0.2041884816753926,0.175438596491228,0.2244897959183673,0.6,0.3769230769230769,0.6122448979591837,0.6976744186046512,0.3192307692307692,0.723404255319149,0.5,0.42,0.5714285714285714,0.3807692307692307,0.4828009615384615,0.5555894736842106,0.481954,0.1254355400696864,0.1258741258741259,0.2034482758620689,0.1655172413793103,8.41891891891892,0.2053805774278215,29.0,29.0,78.0,,1.0,,,,,,,,,,,,1.0,,,,,146.0,,,,,,22.0,1.0,2.0,6.0,5.0,10.0,8.0,4.0,1.0,6.0,,9.0,,,1.0,0.6186440677966102,0.6952380952380952,,,,,,0.0038461538461538,0.0849420849420849,0.1224489795918367,0.1204819277108433,,0.0989010989010989,0.042016806722689,0.7,0.3493975903614458,0.3972602739726027,0.4482758620689655,0.3,0.3717948717948718,0.3717948717948718,0.6206896551724138,0.0038461538461538,,,,,,,,0.2352941176470588,,,,,,,,,,,,,24.1,,,,13.0,2.0,,,,1.0,3.0,True,,,,
