EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,PenaltyTurnovers,ShootingFouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,FTDefRebounds,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,Corner3Assists,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,Fg3aBlocked,OffThreePtRebounds,Loose Ball Fouls,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceAtRimPctAssisted,Offensive Fouls Drawn,BlockedLongMidRange,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,OffCorner3ReboundPct,HeaveMakes,HeaveAttempts,DefensiveGoaltends,on,BlockedShortMidRange,OffensiveGoaltends,PenaltyCorner3FGM,SecondChanceArc3FGM,FTOffRebounds,Clear Path Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,Blocked3s,BlockedArc3,BlockedCorner3
1425,1610612746,Aaron Williams,Aaron Williams,1425,LAC,170.0,3,-5,7,6,13,6,1.0,1.0,1,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,28.57142857142857,0.5,0.3333333333333333,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1749,1610612746,Cuttino Mobley,Cuttino Mobley,1749,LAC,4951.0,83,8,151,152,303,138,5.0,8.0,11,3.0,3.0,,6.0,5.0,,1.0,1.0,1.0,22.598870056497177,0.5,0.08333333333333333,0.10126582278481013,0.05,31.0,24.0,17.0,5.0,9.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,12.0,4.0,1.0,3.0,1.0,11.0,24.0,1.0,7.0,6.0,31.0,2.0,5.0,4.0,2.0,2.0,1.0,3.0,7.0,18.0,4.0,3.0,4.0,3.0,1.0,1.0,7.0,2.0,9.0,2.0,3.0,1.0,3.0,20.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,6.0,8.0,2.0,4.0,1.0,1.0,1.0,7.0,31.0,1.0,0.8181818181818182,1.0,1.0,0.14285714285714285,0.14285714285714285,0.4583333333333333,0.4,1.0,0.4032258064516129,0.4,0.6666666666666666,0.45588235294117646,0.4,0.7,0.22580645161290322,0.041666666666666664,0.08333333333333333,0.047619047619047616,0.15789473684210525,0.03614457831325301,0.09523809523809523,0.07692307692307693,0.041666666666666664,0.1875,0.16666666666666666,0.14285714285714285,0.1111111111111111,1.0,0.2903225806451613,0.5555555555555556,0.5555555555555556,0.6,0.0967741935483871,0.6666666666666666,0.6666666666666666,1.0,0.3870967741935484,0.3333333333333333,0.36363636363636365,1.0,0.12903225806451613,0.0967741935483871,0.3333333333333333,0.3333333333333333,1.0,0.8,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5161290322580645,0.3333333333333333,0.49186612903225807,0.49559999999999993,0.6530666666666667,0.12121212121212122,0.15384615384615385,0.12903225806451613,0.22580645161290322,11.116666666666667,23.742857142857144,0.2052980132450331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201154,1610612746,Al Thornton,Al Thornton,201154,LAC,4812.0,80,-6,151,151,302,153,7.0,9.0,10,4.0,4.0,1.0,8.0,11.0,,,,,25.74850299401198,0.5,0.1320754716981132,0.10526315789473684,0.1111111111111111,37.0,33.0,15.0,4.0,7.0,,,1.0,3.0,1.0,3.0,6.0,14.0,,2.0,8.0,4.0,11.0,24.0,2.0,8.0,5.0,33.0,,2.0,,2.0,6.0,4.0,3.0,7.0,14.0,8.0,3.0,,8.0,2.0,,1.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,4.0,4.0,,,3.0,2.0,5.0,6.0,7.0,1.0,4.0,,,,7.0,37.0,,0.6363636363636364,0.6363636363636364,0.5,0.25,0.25,0.4583333333333333,,0.3333333333333333,0.4375,,0.2,0.4714285714285714,,0.2916666666666667,0.25,,,0.0196078431372549,0.043478260869565216,0.014285714285714285,,,0.15789473684210525,0.125,0.08333333333333333,,,,0.21875,0.5714285714285714,0.5714285714285714,0.75,0.09375,0.3333333333333333,0.3333333333333333,,0.4375,0.42857142857142855,0.42857142857142855,0.6666666666666666,,0.25,0.25,0.25,0.5,,,0.3,0.3333333333333333,0.4,0.46875,0.25,0.48215625000000006,0.5481,0.53366,0.11428571428571428,0.14814814814814814,,0.21212121212121213,12.608333333333334,25.450000000000003,0.24503311258278146,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.037037037037037035,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2424,1610612746,Dan Dickau,Dan Dickau,2424,LAC,3859.0,64,-14,123,125,248,132,5.0,6.0,6,2.0,,2.0,2.0,6.0,,,,,17.482517482517483,1.0,0.14285714285714285,0.11538461538461539,,34.0,19.0,16.0,,2.0,,,,2.0,2.0,3.0,3.0,11.0,,1.0,5.0,2.0,5.0,16.0,1.0,5.0,5.0,18.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,,10.0,3.0,,5.0,1.0,,7.0,2.0,9.0,1.0,3.0,1.0,3.0,20.0,,1.0,,,1.0,1.0,,,,,3.0,5.0,5.0,1.0,3.0,,,,4.0,34.0,,,,1.0,0.2,0.2,0.3125,0.5,0.25,0.30952380952380953,0.3333333333333333,0.16666666666666666,0.391304347826087,0.3333333333333333,0.2857142857142857,0.23809523809523808,,,,0.058823529411764705,,,,0.15384615384615385,0.23076923076923078,,0.125,,,0.09523809523809523,,,,0.14285714285714285,0.6666666666666666,0.6666666666666666,,0.5238095238095238,0.2727272727272727,0.2727272727272727,,,0.23809523809523808,0.2,0.2,1.0,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.2,0.45897380952380945,0.4722,0.46715833333333334,0.13043478260869565,0.16666666666666666,0.1111111111111111,0.2222222222222222,14.84375,26.72,0.2764227642276423,1.0,1.0,,,,,,1.0,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2499,1610612746,Richie Frahm,Richie Frahm,2499,LAC,9788.0,163,3,306,304,610,295,4.0,10.0,14,4.0,2.0,,6.0,7.0,,,,,17.183098591549296,0.6666666666666666,0.03636363636363636,0.05405405405405406,0.05405405405405406,73.0,53.0,38.0,5.0,8.0,2.0,3.0,2.0,3.0,1.0,6.0,7.0,15.0,10.0,3.0,15.0,3.0,13.0,29.0,7.0,25.0,,47.0,2.0,3.0,7.0,4.0,8.0,5.0,,11.0,18.0,8.0,21.0,4.0,15.0,3.0,2.0,8.0,,8.0,,3.0,2.0,3.0,16.0,3.0,4.0,4.0,,2.0,2.0,,,4.0,3.0,2.0,6.0,2.0,,1.0,,,,11.0,73.0,,0.6923076923076923,0.8181818181818182,1.0,0.28,0.28,0.4482758620689655,0.6666666666666666,0.5,0.4351851851851852,0.7,0.4230769230769231,0.42727272727272725,0.7,0.4230769230769231,0.46296296296296297,0.06896551724137931,,0.024193548387096774,0.10526315789473684,0.025,0.046511627906976744,0.041666666666666664,0.02564102564102564,0.029411764705882353,0.09523809523809523,0.11764705882352941,,,0.14814814814814814,0.625,0.7142857142857143,0.4,0.1111111111111111,0.16666666666666666,0.2,,0.2777777777777778,0.4666666666666667,0.4666666666666667,1.0,0.18518518518518517,0.2777777777777778,0.2,0.2,1.0,0.6,0.6666666666666666,0.23076923076923078,0.6666666666666666,0.23076923076923078,0.6111111111111112,0.2,0.4969203703703704,0.5730625,0.4329269230769231,0.01818181818181818,0.03333333333333333,0.14893617021276595,0.23404255319148937,12.13103448275862,24.996,0.238562091503268,1.0,2.0,,2.0,1.0,,1.0,1.0,0.18181818181818182,,0.2,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.04,0.125,0.16666666666666666,0.1,0.027777777777777776,0.038461538461538464,0.4,0.4444444444444444,1.0,0.2,1.0,1.0,0.15384615384615385,0.3333333333333333,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1501,1610612746,Tim Thomas,Tim Thomas,1501,LAC,2326.0,39,-1,71,71,142,67,3.0,4.0,7,2.0,1.0,1.0,3.0,6.0,,,,,20.0,0.6666666666666666,0.10714285714285714,0.11428571428571428,0.08333333333333333,11.0,7.0,8.0,2.0,3.0,1.0,1.0,,,1.0,3.0,2.0,5.0,,,1.0,,5.0,11.0,,1.0,1.0,11.0,1.0,3.0,2.0,,,,,,8.0,2.0,,,1.0,,1.0,5.0,1.0,6.0,,2.0,2.0,1.0,13.0,3.0,1.0,3.0,,2.0,2.0,,1.0,1.0,,5.0,1.0,2.0,,1.0,,,,,11.0,,0.8,0.8,,,,0.45454545454545453,0.3333333333333333,,0.4166666666666667,0.3333333333333333,,0.4230769230769231,0.3333333333333333,,0.08333333333333333,0.09090909090909091,,0.0967741935483871,0.14285714285714285,0.08108108108108109,0.1,0.3333333333333333,0.14285714285714285,0.1111111111111111,,0.25,,,0.25,0.6666666666666666,0.6666666666666666,0.5,0.25,0.3333333333333333,0.5,1.0,0.4166666666666667,0.4,0.4,1.0,,0.08333333333333333,,,,0.3333333333333333,1.0,,,,0.3333333333333333,,0.44593333333333335,0.4795666666666667,,0.07692307692307693,0.08333333333333333,0.18181818181818182,,10.245454545454544,25.0,0.15492957746478872,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1510,1610612746,Brevin Knight,Brevin Knight,1510,LAC,5598.0,93,18,172,167,339,150,7.0,8.0,10,,1.0,,1.0,8.0,,2.0,1.0,2.0,13.636363636363637,,0.1,0.08888888888888889,0.11538461538461539,35.0,29.0,19.0,1.0,6.0,,,,2.0,1.0,3.0,8.0,16.0,,,,,10.0,25.0,,,2.0,22.0,1.0,1.0,2.0,2.0,6.0,,,4.0,16.0,4.0,,,,,4.0,17.0,3.0,20.0,2.0,7.0,3.0,7.0,43.0,2.0,1.0,2.0,,10.0,3.0,7.0,1.0,,,4.0,6.0,2.0,,1.0,,2.0,,4.0,35.0,,0.8,0.8,,,,0.4,1.0,0.3333333333333333,0.4,1.0,0.3333333333333333,0.4230769230769231,1.0,0.3333333333333333,,0.16,,0.02857142857142857,0.05,0.023255813953488372,0.08,,0.08333333333333333,0.1,,0.125,,1.0,0.24,0.16666666666666666,0.3333333333333333,,0.12,0.3333333333333333,0.5,1.0,0.64,0.5,0.5,0.875,,,,,,,,0.3333333333333333,,,0.24,,0.42100399999999993,0.3707,0.3506833333333333,0.038461538461538464,0.038461538461538464,0.09090909090909091,0.18181818181818182,13.344000000000001,,0.20348837209302326,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,0.5,0.3333333333333333,,,,,,,,,,,,,2.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2549,1610612746,Chris Kaman,Chris Kaman,2549,LAC,8039.0,134,13,252,244,496,231,32.0,41.0,50,5.0,5.0,4.0,10.0,11.0,3.0,9.0,9.0,9.0,22.648083623693378,0.5,0.3404255319148936,0.319672131147541,0.3548387096774194,50.0,46.0,29.0,11.0,23.0,5.0,8.0,3.0,3.0,10.0,18.0,4.0,7.0,,,,,25.0,48.0,,,14.0,64.0,5.0,8.0,11.0,5.0,5.0,,4.0,14.0,28.0,22.0,,8.0,,,4.0,5.0,1.0,6.0,1.0,2.0,,3.0,13.0,6.0,7.0,9.0,,2.0,2.0,,,1.0,2.0,8.0,13.0,17.0,3.0,7.0,3.0,4.0,,14.0,50.0,3.0,0.56,0.6666666666666666,,,,0.5208333333333334,0.625,1.0,0.5208333333333334,0.625,1.0,0.5818181818181818,0.6111111111111112,0.875,,0.08333333333333333,,0.058823529411764705,0.25,0.06976744186046512,0.05714285714285714,0.05263157894736842,0.30303030303030304,0.36666666666666664,0.26666666666666666,0.23076923076923078,,0.4444444444444444,0.4791666666666667,0.4782608695652174,0.55,0.45454545454545453,0.375,0.5555555555555556,0.5882352941176471,0.5,0.14583333333333334,0.5714285714285714,0.5714285714285714,1.0,,,,,,1.0,0.625,0.6,1.0,,0.4791666666666667,,0.45977291666666664,0.54314,0.48613999999999996,0.1346153846153846,0.1346153846153846,0.171875,0.21875,5.33125,,0.1984126984126984,,,,2.0,,,2.0,,0.2,0.0625,,,,,,,,,,,3.0,,,,,0.13043478260869565,0.05555555555555555,,0.1111111111111111,0.10526315789473684,,,,,,,,,0.2,,,1.0,2.0,2.0,0.125,,,,True,,,,,,,,,,,,,,,,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,4488.0,75,17,147,141,288,135,3.0,7.0,13,4.0,2.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,28.402366863905325,0.6666666666666666,0.057692307692307696,0.06153846153846154,0.058823529411764705,37.0,21.0,20.0,7.0,12.0,2.0,3.0,2.0,3.0,5.0,7.0,1.0,10.0,,1.0,3.0,1.0,13.0,29.0,1.0,3.0,20.0,49.0,3.0,4.0,8.0,3.0,8.0,1.0,11.0,20.0,14.0,12.0,,6.0,1.0,,3.0,6.0,,6.0,,,1.0,5.0,12.0,5.0,1.0,6.0,1.0,4.0,2.0,2.0,,3.0,4.0,2.0,18.0,24.0,3.0,9.0,5.0,1.0,,20.0,37.0,4.0,0.5384615384615384,0.7,,0.3333333333333333,,0.4482758620689655,0.75,0.375,0.453125,0.75,0.5,0.5697674418604651,0.8,0.625,0.09375,0.10344827586206896,,0.09259259259259259,0.07692307692307693,0.08695652173913043,0.15789473684210525,0.08333333333333333,,0.10526315789473684,,0.16666666666666666,0.06666666666666667,1.0,0.375,0.5833333333333334,0.7,0.5714285714285714,0.21875,0.7142857142857143,0.8333333333333334,0.6,0.3125,0.1,0.1,,,0.09375,0.3333333333333333,0.3333333333333333,,0.75,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.46875,,0.49391129032258063,0.5297,0.4605125,0.23684210526315788,0.2571428571428571,0.16326530612244897,0.40816326530612246,8.455172413793104,32.766666666666666,0.25170068027210885,,,3.0,3.0,,,1.0,1.0,0.375,0.043478260869565216,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,0.16666666666666666,0.14285714285714285,,0.06666666666666667,0.1,,,,,,,,1.0,,1.0,,2.0,,2.0,,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,
2624,1610612746,Quinton Ross,Quinton Ross,2624,LAC,1284.0,21,-8,39,43,82,49,2.0,3.0,4,,,,,3.0,,,,,15.217391304347826,,0.16666666666666666,0.17647058823529413,,15.0,11.0,5.0,1.0,3.0,1.0,1.0,,,,,3.0,4.0,,,,,4.0,7.0,,,,8.0,1.0,1.0,2.0,2.0,2.0,,,4.0,4.0,4.0,,,,,,3.0,,3.0,,,,3.0,6.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,4.0,15.0,,0.5,0.5,,,,0.5714285714285714,1.0,1.0,0.5714285714285714,1.0,1.0,0.5714285714285714,1.0,1.0,,,,0.07142857142857142,0.2,0.045454545454545456,0.16666666666666666,,,0.6666666666666666,0.3333333333333333,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,,,0.5714285714285714,0.75,0.75,0.6666666666666666,,,,,,1.0,1.0,,,,0.42857142857142855,,0.41727142857142857,0.2745,0.38375,,,0.25,0.5,10.414285714285715,,0.38461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
