EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceFG2A,PtsUnassisted2s,OffTwoPtRebounds,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,SecondChanceTurnovers,BlockedAtRim,RecoveredBlocks,3SecondViolations,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,SecondChanceFtPoints,Offensive Fouls,DefensiveGoaltends,OffLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimAccuracy,ShortMidRangeAssists,SelfOReb,SelfORebPct,PtsUnassisted3s,Fg2aBlocked,Technical Free Throw Trips,BlockedLongMidRange,FG2APctBlocked,AtRimPctBlocked,2pt And 1 Free Throw Trips,Offensive Fouls Drawn,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,Defensive 3 Seconds Violations,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,on,FTOffRebounds,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,OffensiveGoaltends,ShortMidRangePctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Blocked3s,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveAttempts,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawn,BlockedArc3,Arc3PctBlocked,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct
15,1610612756,Eric Piatkowski,Eric Piatkowski,15,PHX,6760.0,113,-33.0,225,228,88,101,14,453,1.0,1.0,1.0,5.0,4.0,8.0,2.0,4.0,7.0,18.0,1.0,1.0,2.0,5.0,1.0,7,11.0,26.0,4.0,39,248,1.0,1.0,3.0,1.0,4.0,4.0,9.0,2.0,16.0,2.0,33.0,18.0,7.0,7.0,3.0,10.0,2.0,1.0,4.0,3.0,23.0,1.0,4.0,6.0,1.0,11,1.0,12,3.0,1.0,3.0,3.0,2.0,6.0,3.0,8.0,11.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,16.0,88,3.0,1.0,1.0,1.0,1.0,0.4230769230769231,1.0,0.4444444444444444,0.4230769230769231,0.14285714285714285,0.25,0.5303030303030303,1.5,0.5384615384615384,0.5571428571428572,1.5,0.5714285714285714,0.7878787878787878,16.872427983539094,0.5,0.07142857142857142,0.06741573033707865,0.10810810810810811,0.03225806451612903,0.07936507936507936,0.01020408163265306,0.16666666666666666,0.1,0.07692307692307693,0.030303030303030304,0.14814814814814814,0.030303030303030304,0.030303030303030304,0.15151515151515152,0.2,0.2,1.0,0.24242424242424243,0.5,0.5,1.0,0.5454545454545454,0.3888888888888889,0.3888888888888889,1.0,1.0,1.0,1.0,0.3076923076923077,0.5,0.38461538461538464,0.4,0.8181818181818182,0.3888888888888889,0.5290681818181817,0.46095,0.5149653846153845,0.029411764705882353,0.125,0.07692307692307693,0.41025641025641024,16.12857142857143,24.688461538461542,0.39111111111111113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1730,1610612756,Brian Skinner,Brian Skinner,1730,PHX,3298.0,55,-22.0,116,118,63,62,7,234,3.0,,4.0,10.0,,,,,,,,,,,4.0,13,,,2.0,10,125,,,,1.0,5.0,,,2.0,4.0,6.0,,,,,,,,,,,,1.0,5.0,6.0,3.0,14,3.0,17,2.0,1.0,1.0,2.0,,4.0,1.0,6.0,9.0,,2.0,4.0,2.0,,4.0,1.0,4.0,4.0,63,1.0,,0.75,0.75,,,,,,0.3076923076923077,0.2,0.3076923076923077,,0.2,0.3333333333333333,,0.3333333333333333,,15.32258064516129,0.5,0.5,0.11538461538461539,0.5555555555555556,0.06666666666666667,0.18032786885245902,0.061224489795918366,,0.09523809523809523,0.14285714285714285,0.11764705882352941,0.6666666666666666,0.23076923076923078,,0.7692307692307693,0.4,0.4,0.75,,,,,,,,,,,,,,,,0.23076923076923078,,0.43702307692307685,0.5754999999999999,0.45964,0.13333333333333333,0.13333333333333333,,0.4,14.446153846153845,,0.5431034482758621,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,0.058823529411764705,0.07692307692307693,0.16666666666666666,0.09090909090909091,0.3333333333333333,0.75,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1752,1610612756,Sean Marks,Sean Marks,1752,PHX,3542.0,59,-25.0,121,119,60,61,7,240,6.0,1.0,8.0,11.0,,1.0,,1.0,1.0,2.0,,,,,13.0,18,1.0,3.0,5.0,34,137,,,2.0,7.0,10.0,,1.0,4.0,18.0,26.0,3.0,2.0,1.0,,1.0,1.0,1.0,,,,3.0,1.0,5.0,8.0,,13,3.0,16,1.0,,1.0,2.0,,3.0,2.0,5.0,9.0,1.0,5.0,8.0,2.0,2.0,9.0,,9.0,18.0,60,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,0.7222222222222222,0.7,0.6904761904761905,,0.6363636363636364,0.68,0.5,0.6428571428571429,0.14285714285714285,21.538461538461537,0.3333333333333333,,0.17777777777777778,0.22727272727272727,0.058823529411764705,0.19402985074626866,0.058823529411764705,,0.2222222222222222,0.09090909090909091,0.1875,0.25,0.2857142857142857,0.047619047619047616,0.5238095238095238,0.7272727272727273,0.7272727272727273,1.0,0.047619047619047616,,,,0.09523809523809523,0.5,0.5,1.0,,,,0.09090909090909091,,,,0.42857142857142855,0.5,0.47017142857142863,0.6558,0.46073636363636367,0.08695652173913043,0.1,0.058823529411764705,0.5294117647058824,12.611111111111112,25.400000000000002,0.49586776859504134,1.0,3.0,1.0,,2.0,1.0,,1.0,,,9.0,2.0,,0.058823529411764705,0.07692307692307693,,0.07142857142857142,0.16666666666666666,0.2222222222222222,1.0,0.2727272727272727,4.0,2.0,1.0,2.0,2.0,1.0,0.058823529411764705,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1921,1610612756,Gordan Giricek,Gordan Giricek,1921,PHX,1399.0,23,-8.0,46,44,28,14,5,90,2.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5,1.0,1.0,,7,47,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,5.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,8.0,,,3.0,,3,,3,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,5.0,28,,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.5833333333333334,0.75,0.8333333333333334,0.5833333333333334,0.75,0.8333333333333334,0.16666666666666666,13.20754716981132,,,0.16666666666666666,,,0.12,,,,0.16666666666666666,0.25,,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,,,,,0.16666666666666666,1.0,1.0,1.0,0.5,1.0,1.0,,,0.3333333333333333,1.0,0.5,1.0,0.4890583333333334,0.503475,0.5079833333333333,,,0.42857142857142855,0.7142857142857143,11.52,24.5,0.6086956521739131,,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,0.3333333333333333,1.0,,,,1.0,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
201199,1610612756,DJ Strawberry,DJ Strawberry,201199,PHX,2919.0,49,-20.0,98,98,54,44,7,196,2.0,2.0,6.0,8.0,,,,,,3.0,,,,2.0,6.0,12,,3.0,2.0,14,107,,,,5.0,9.0,,2.0,1.0,11.0,4.0,,3.0,,11.0,4.0,15.0,4.0,,2.0,8.0,34.0,,,2.0,,2,1.0,3,2.0,,2.0,1.0,1.0,3.0,1.0,4.0,5.0,,4.0,6.0,3.0,,1.0,1.0,1.0,11.0,54,,,0.3333333333333333,0.3333333333333333,,,,,,0.5,0.5555555555555556,0.4,,0.45454545454545453,0.3888888888888889,,0.4230769230769231,0.2,19.626168224299064,0.6666666666666666,,0.05,,,0.03571428571428571,0.022727272727272728,,,0.1,0.07142857142857142,,0.13333333333333333,0.13333333333333333,0.5333333333333333,0.75,0.75,0.3333333333333333,,,,,0.2,,,,,,,,,0.18181818181818182,,0.3333333333333333,,0.45540666666666674,,0.4038227272727273,0.16666666666666666,0.2,,0.7857142857142857,14.366666666666667,25.26666666666667,0.5510204081632653,,,1.0,8.0,1.0,3.0,2.0,1.0,,1.0,,1.0,,0.034482758620689655,,0.25,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2556,1610612756,Marcus Banks,Marcus Banks,2556,PHX,2222.0,37,-21.0,77,79,32,51,3,156,4.0,,,3.0,1.0,1.0,1.0,1.0,4.0,9.0,,,1.0,3.0,2.0,7,5.0,10.0,4.0,23,97,,,,,2.0,2.0,4.0,1.0,7.0,,12.0,9.0,4.0,3.0,1.0,4.0,1.0,,,3.0,9.0,,,2.0,,2,,2,3.0,,3.0,1.0,,4.0,,1.0,6.0,,3.0,5.0,1.0,1.0,1.0,,1.0,7.0,32,3.0,1.0,,,0.8,0.5,,0.5,0.5,0.2857142857142857,,0.5588235294117647,,0.5,0.5789473684210527,,0.5,0.5882352941176471,28.75,0.75,,0.06896551724137931,,,0.043478260869565216,,,,,0.2,,0.23529411764705882,,0.17647058823529413,,,,0.058823529411764705,1.0,1.0,1.0,0.5294117647058824,0.4444444444444444,0.4444444444444444,0.75,,,,0.16666666666666666,1.0,0.5,0.3333333333333333,0.8235294117647058,0.4444444444444444,0.5173470588235293,,0.5255,0.05555555555555555,0.125,,0.30434782608695654,8.371428571428572,25.499999999999996,0.4155844155844156,,1.0,,4.0,,2.0,2.0,,,,,,,,,,,,,,0.16666666666666666,2.0,,,,,,,0.5,0.6666666666666666,,,,,,,,,3.0,1.0,1.0,1.0,0.14285714285714285,0.25,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2571,1610612756,Leandro Barbosa,Leandro Barbosa,2571,PHX,3255.0,54,-19.0,107,112,32,51,5,219,5.0,3.0,5.0,7.0,,,,,1.0,5.0,,,1.0,1.0,11.0,15,1.0,5.0,3.0,28,122,,,,3.0,5.0,1.0,1.0,2.0,11.0,6.0,3.0,5.0,1.0,5.0,3.0,8.0,1.0,2.0,2.0,3.0,19.0,,4.0,6.0,,10,,10,2.0,1.0,,3.0,,5.0,2.0,1.0,3.0,,5.0,3.0,1.0,1.0,,,,11.0,32,,1.0,0.2727272727272727,0.2727272727272727,1.0,0.2,,1.0,0.2,0.7333333333333333,0.6,0.625,,0.75,0.6666666666666666,,0.7857142857142857,0.25,22.80701754385965,0.4,,0.15789473684210525,0.2222222222222222,,0.17857142857142858,,,,,0.375,0.25,0.25,0.15,0.35,0.7142857142857143,0.7142857142857143,,,,,,0.25,0.2,0.2,1.0,,,,,,0.16666666666666666,1.0,0.5,0.2,0.48447499999999993,,0.4631083333333334,0.05,0.06666666666666667,,0.39285714285714285,10.653333333333334,25.34,0.29906542056074764,,1.0,,16.0,,3.0,2.0,1.0,2.0,,,,,,,,,0.16666666666666666,,,0.16666666666666666,4.0,1.0,2.0,,1.0,,,0.8,0.8,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1890,1610612756,Shawn Marion,Shawn Marion,1890,PHX,988.0,16,-12.0,31,32,7,24,2,63,3.0,2.0,1.0,1.0,,,,,,,,,,,3.0,6,,,,6,36,,,,,,,,,,4.0,,,,,1.0,1.0,,1.0,,,3.0,,1.0,2.0,1.0,4,1.0,5,,,,,,,,,1.0,,,,,,1.0,,1.0,,7,1.0,,0.6666666666666666,0.6666666666666666,,,,,,0.5,,0.5,,,0.5,,,,17.64705882352941,,1.0,0.2222222222222222,0.25,,0.23076923076923078,0.05,,,0.5,0.3333333333333333,,0.5,0.3333333333333333,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.5,,0.49396666666666667,0.5705,,,,,,6.866666666666667,,0.22580645161290322,1.0,,1.0,2.0,1.0,,,,,,,,,0.0625,0.14285714285714285,,,0.3333333333333333,,1.0,,1.0,,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2564,1610612756,Boris Diaw,Boris Diaw,2564,PHX,3515.0,59,-16.0,116,120,27,52,6,236,5.0,3.0,3.0,9.0,,,,,,,,,,,7.0,17,,,1.0,15,128,,,,2.0,4.0,,,,4.0,8.0,,,,4.0,1.0,5.0,,1.0,2.0,1.0,11.0,,1.0,7.0,1.0,9,,9,2.0,3.0,2.0,4.0,1.0,6.0,2.0,3.0,4.0,,2.0,1.0,1.0,,,,,4.0,27,,,0.5714285714285714,0.5714285714285714,,,,,,0.4117647058823529,0.5,0.4117647058823529,,0.5,0.4411764705882353,,0.5,,18.548387096774192,0.3333333333333333,0.16666666666666666,0.17073170731707318,0.047619047619047616,,0.12903225806451613,,,0.3076923076923077,0.23076923076923078,,,0.29411764705882354,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,0.29411764705882354,,0.46118235294117643,,0.461625,0.058823529411764705,0.058823529411764705,,0.26666666666666666,11.81764705882353,,0.23275862068965517,,1.0,1.0,6.0,,,,,,,,,,,,,,0.2,,,0.25,3.0,,1.0,,,,,0.6,0.6,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,1.0,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
959,1610612756,Steve Nash,Steve Nash,959,PHX,728.0,12,8.0,22,22,8,6,1,44,,,1.0,1.0,,,,,,1.0,,,,,1.0,1,,1.0,,2,24,,,,1.0,1.0,,,,2.0,,,1.0,,3.0,,3.0,,,1.0,2.0,6.0,,,1.0,,1,,1,1.0,,1.0,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,2.0,8,,,,,,,,,,1.0,1.0,0.5,,1.0,0.5,,1.0,0.5,13.043478260869565,1.0,,0.1,,,0.07692307692307693,,,,,0.3333333333333333,,,,0.5,1.0,1.0,,,,,,0.5,,,,,,,,,,,0.5,,0.512725,,0.4367,,,,1.0,17.4,25.0,0.36363636363636365,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
