EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,FG2M,FtPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PtsAssisted2s,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,SecondChanceTsPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ShortMidRangeFGA,PtsUnassisted2s,LongMidRangeAssists,ShortMidRangeFrequency,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,Fg2aBlocked,SelfOReb,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,BadPassOutOfBoundsTurnovers,Travels,2pt And 1 Free Throw Trips,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,DefCorner3ReboundPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyArc3FGM,Offensive Fouls Drawn,PenaltyArc3Accuracy,on,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Loose Ball Fouls,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShortMidRangeAssists,FTOffRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,ShortMidRangePctBlocked,OffFTReboundPct,ShortMidRangePctAssisted,StepOutOfBoundsTurnovers,PtsUnassisted3s,Fg3aBlocked,Clear Path Fouls,Technical Free Throw Trips,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Blocked3s,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveAttempts,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawn,BlockedArc3,Arc3PctBlocked,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct
15,1610612756,Eric Piatkowski,Eric Piatkowski,15,PHX,1248.0,21,-6,41,39,15,14,3.0,80,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,6.0,9.0,44,1.0,1.0,2.0,3.0,9.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,15,1.0,1.0,0.5,0.5,0.5,0.6428571428571429,0.5,0.6428571428571429,0.5,0.8571428571428571,17.391304347826086,1.0,0.2,0.16666666666666666,0.09090909090909091,0.05555555555555555,0.5,0.25,0.14285714285714285,0.2857142857142857,0.5,0.5,1.0,0.5714285714285714,0.5,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.8571428571428571,0.5,0.5074428571428572,0.4895833333333333,0.3333333333333333,21.0,24.599999999999998,0.36585365853658536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,1610612756,Sean Marks,Sean Marks,1752,PHX,2511.0,42,-5,85,81,18,32,8.0,166,7.0,,,,,1.0,2.0,,11.0,1.0,2.0,20.0,84,3.0,,,8.0,3.0,2.0,1.0,1.0,,1.0,,,1.0,2.0,,4.0,11.0,4.0,15.0,,,1.0,6.0,8.0,8.0,18,,1.0,0.5,,0.5,0.6538461538461539,1.0,0.6666666666666666,1.0,0.15384615384615385,16.842105263157894,,0.25,,0.20408163265306123,0.09523809523809523,,0.2857142857142857,0.5384615384615384,,,,,0.15384615384615385,0.5,0.5,1.0,,,,0.46153846153846156,0.5,0.48655384615384606,0.5681666666666666,0.4,12.081818181818182,26.15,0.21176470588235294,3.0,4.0,1.0,2.0,2.0,4.0,7.0,3.0,1.0,2.0,2.0,3.0,2.0,14.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6363636363636364,1.0,0.5,0.14285714285714285,0.18181818181818182,0.13333333333333333,0.09090909090909091,0.2,0.1111111111111111,0.2222222222222222,0.2,0.5,0.3076923076923077,0.75,0.75,1.0,0.5714285714285714,0.5714285714285714,1.0,1.0,0.6666666666666666,1.0,0.6558,0.07142857142857142,0.08333333333333333,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,1610612756,Gordan Giricek,Gordan Giricek,1921,PHX,1526.0,25,-2,45,46,12,5,4.0,91,3.0,,,,,,1.0,,5.0,,1.0,6.0,46,1.0,,,2.0,,1.0,,2.0,1.0,3.0,1.0,,,7.0,,,5.0,,5.0,1.0,1.0,2.0,1.0,2.0,2.0,12,,,,,,0.3333333333333333,1.0,0.42857142857142855,1.0,0.16666666666666666,17.647058823529413,0.5,,,0.18518518518518517,,,,0.5,,,,,0.16666666666666666,,,,,,,0.3333333333333333,,0.47303333333333336,0.4354,0.3333333333333333,14.419999999999998,25.3,0.26666666666666666,1.0,1.0,,,,1.0,2.0,2.0,1.0,,,1.0,,2.0,,5.0,,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,0.5,0.5,0.4,1.0,,,0.2777777777777778,,,,,0.2,0.4,,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.3333333333333333,1.0,,,,0.4542,0.14285714285714285,0.16666666666666666,,1.0,2.0,2.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201169,1610612756,Alando Tucker,Alando Tucker,201169,PHX,2878.0,48,-6,95,92,22,37,8.0,187,4.0,,2.0,,1.0,1.0,2.0,,18.0,1.0,4.0,22.0,93,1.0,,1.0,2.0,3.0,2.0,1.0,,,,,,,,1.0,2.0,4.0,4.0,8.0,,,,2.0,2.0,2.0,22,,1.0,0.25,,0.25,0.38636363636363635,,0.44,0.3333333333333333,0.18181818181818182,23.80952380952381,,0.1111111111111111,0.07692307692307693,0.07142857142857142,0.0851063829787234,0.25,0.13333333333333333,0.18181818181818182,0.09090909090909091,,,,0.09090909090909091,0.5,0.5,1.0,0.5,,,0.7727272727272727,0.5,0.5476863636363636,0.541975,0.09090909090909091,4.588888888888889,24.925,0.23157894736842105,5.0,13.0,3.0,,1.0,2.0,7.0,5.0,4.0,,2.0,,2.0,8.0,3.0,2.0,,,,,,,,5.0,6.0,2.0,1.0,1.0,,1.0,,1.0,0.5714285714285714,0.6666666666666666,0.3888888888888889,,0.25,,0.05263157894736842,0.08823529411764706,0.16666666666666666,,0.1111111111111111,0.07692307692307693,,,0.5909090909090909,0.38461538461538464,0.5,0.6,0.5,0.5,0.5,0.75,0.5,,0.5181333333333333,0.08333333333333333,0.1,0.09090909090909091,1.0,6.0,,0.045454545454545456,1.0,1.0,2.0,3.0,1.0,1.0,0.25,0.25,0.16666666666666666,0.23076923076923078,0.2,0.09090909090909091,0.3333333333333333,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201199,1610612756,DJ Strawberry,DJ Strawberry,201199,PHX,2495.0,42,-8,79,78,15,23,8.0,157,5.0,,1.0,,,,1.0,1.0,13.0,,2.0,7.0,80,1.0,,1.0,,,1.0,,6.0,1.0,7.0,1.0,,2.0,15.0,1.0,1.0,6.0,1.0,7.0,2.0,2.0,4.0,2.0,4.0,,15,1.0,,,,,0.2,,0.23333333333333334,,0.13333333333333333,21.34831460674157,0.5,0.07142857142857142,0.08333333333333333,0.10638297872340426,0.023255813953488372,,0.08333333333333333,0.3333333333333333,0.06666666666666667,,,,0.06666666666666667,,,,,,0.5,0.4666666666666667,,0.5071633333333333,0.37305,,9.46923076923077,24.450000000000003,0.189873417721519,3.0,5.0,2.0,,,,3.0,1.0,3.0,1.0,3.0,,,4.0,,4.0,1.0,3.0,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,,1.0,,1.0,1.0,,0.6666666666666666,0.6666666666666666,0.23076923076923078,,0.5,0.14285714285714285,0.12121212121212122,,,,0.14285714285714285,0.08333333333333333,0.14285714285714285,1.0,0.3333333333333333,0.6,0.75,0.6666666666666666,,,,0.6666666666666666,,,0.7187,0.06666666666666667,0.07692307692307693,0.42857142857142855,3.0,2.0,4.0,0.2,1.0,1.0,,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.07692307692307693,0.2,,,0.5,1.0,1.0,1.0,0.125,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,1610612756,Marcus Banks,Marcus Banks,2556,PHX,1352.0,23,-4,50,46,10,32,4.0,96,2.0,1.0,1.0,1.0,1.0,,3.0,,7.0,1.0,4.0,13.0,47,,1.0,1.0,3.0,3.0,3.0,,5.0,3.0,8.0,3.0,,4.0,19.0,,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,3.0,3.0,10,2.0,1.0,0.25,1.0,0.25,0.5,1.5,0.5416666666666666,1.5,0.36363636363636365,25.925925925925924,1.0,0.1111111111111111,,0.06896551724137931,,,,0.18181818181818182,0.09090909090909091,1.0,1.0,1.0,0.2727272727272727,,,,1.0,1.0,,0.8181818181818182,,0.5830681818181819,0.59415,0.23076923076923078,5.242857142857143,25.475,0.2,4.0,5.0,,,,,4.0,2.0,,,,,,2.0,,1.0,,1.0,1.0,,,,,1.0,2.0,1.0,,1.0,,1.0,,,0.25,0.25,0.5714285714285714,,,,0.05,,,,,,0.16666666666666666,,0.45454545454545453,0.8,0.8,0.25,,,,,,,,0.08333333333333333,0.125,,,6.0,1.0,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,1610612756,Boris Diaw,Boris Diaw,2564,PHX,1547.0,26,-10,53,52,7,22,4.0,105,2.0,,,,,,,,3.0,,,4.0,52,1.0,,,2.0,,,,1.0,,1.0,,,1.0,2.0,,,4.0,,4.0,1.0,1.0,1.0,,1.0,2.0,7,,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,,7.017543859649123,1.0,,,0.06666666666666667,,,,0.6666666666666666,,,,,,,,,,,,,,0.36166666666666664,0.3618,0.5,14.9,,0.1320754716981132,,,,,,1.0,2.0,,,,,1.0,,2.0,,2.0,2.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,0.5,0.5,0.6666666666666666,1.0,,0.5,0.09090909090909091,,,,0.25,,0.125,,,,,,0.5,0.5,1.0,,,,,,,,1.0,2.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,1610612756,Leandro Barbosa,Leandro Barbosa,2571,PHX,466.0,8,12,17,15,7,15,1.0,32,1.0,,,,,2.0,2.0,1.0,1.0,2.0,2.0,6.0,10,1.0,1.0,1.0,3.0,6.0,2.0,2.0,,1.0,1.0,,1.0,,3.0,,1.0,2.0,,2.0,,,,,,3.0,7,,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.6666666666666666,16.666666666666668,,0.25,,0.15384615384615385,,,,0.3333333333333333,,,,,0.6666666666666666,1.0,1.0,1.0,,,0.5,0.6666666666666666,1.0,0.4799,0.417075,0.5,20.9,25.049999999999997,0.4117647058823529,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,0.1111111111111111,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,1610612756,Brian Skinner,Brian Skinner,1730,PHX,281.0,5,1,9,9,3,3,,18,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,3,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,1610612756,Amar'e Stoudemire,Amar'e Stoudemire,2405,PHX,86.0,1,-2,1,2,1,2,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
