EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,FG2A,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Usage,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,LongMidRangeFGA,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,ShortMidRangeFrequency,LongMidRangeFrequency,PenaltyPointsPct,LongMidRangeFGM,FG2M,PtsAssisted2s,DefTwoPtRebounds,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PtsUnassisted2s,PenaltyFG2M,DefThreePtRebounds,PenaltyFg2Pct,PenaltyEfgPct,DefThreePtReboundPct,DefArc3ReboundPct,OffLongMidRangeReboundPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,BadPassSteals,FG3APct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,on,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,HeaveAttempts,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChancePointsPct,ShortMidRangeFGM,Corner3Assists,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,BlockedLongMidRange,OffensiveGoaltends,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,ShortMidRangeAssists,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,LongMidRangePctBlocked,BlockedArc3,3SecondViolations,Clear Path Fouls
101204,1610612739,Dwayne Jones,Dwayne Jones,101204,CLE,590.0,10.0,-13.0,16,17.0,6.0,1.0,4.0,33,1.0,1.0,1.0,1.0,24.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,9.523809523809524,1.0,1.0,0.15384615384615385,0.14285714285714285,0.5,1.0,1.0,1.0,1.0,0.7351,0.7351,0.7351,0.8,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,1610612739,Damon Jones,Damon Jones,1800,CLE,604.0,10.0,-13.0,17,17.0,7.0,1.0,4.0,34,1.0,,,4.0,24.0,,2.0,,,,,,,,,,,,,,,7.0,22.727272727272727,,,,,,0.25,,,0.25,0.4618,,0.39095,11.95,0.4117647058823529,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,0.2,0.3333333333333333,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,1610612739,Wally Szczerbiak,Wally Szczerbiak,1887,CLE,604.0,10.0,-13.0,17,17.0,7.0,1.0,4.0,34,,,,4.0,24.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,7.0,22.727272727272727,,,,,,,,,,0.40485,0.4141,0.4206,11.775,0.4117647058823529,2.0,2.0,2.0,4.0,,,,,,,1.0,2.0,,,,0.4,,0.5,0.5,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,0.25,0.3333333333333333,0.2,0.3333333333333333,0.5,0.5,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200789,1610612739,Daniel Gibson,Daniel Gibson,200789,CLE,135.0,2.0,,3,4.0,,,1.0,7,,,,1.0,3.0,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,0.4503,,,22.8,,,1.0,,2.0,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200984,1610612739,Lance Allred,Lance Allred,200984,CLE,604.0,10.0,-13.0,17,17.0,7.0,1.0,4.0,34,,,,4.0,24.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,7.0,22.727272727272727,,,,,,,,,,0.35595,,0.384,17.85,0.4117647058823529,,4.0,1.0,3.0,,2.0,,,,,1.0,2.0,,2.0,,0.3,1.0,,1.0,0.6666666666666666,1.0,1.0,2.0,,1.0,1.0,1.0,0.25,0.25,,0.2,,0.25,0.25,1.0,0.2,0.2,,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,1610612739,Delonte West,Delonte West,2753,CLE,17.0,,,1,1.0,,1.0,1.0,2,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,50.0,,,0.5,0.5,,1.0,1.0,,1.0,0.5823,0.5823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2873,1610612739,Billy Thomas,Billy Thomas,2873,CLE,438.0,7.0,-13.0,12,12.0,6.0,,2.0,24,,,,1.0,21.0,1.0,,,,,,,,1.0,,,,,,,,6.0,14.285714285714285,,,,,,,,,0.5,0.460975,0.4199,0.50205,11.2,0.5,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,25.9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,14.0,,,1,,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,1610612739,Joe Smith,Joe Smith,693,CLE,14.0,,,1,,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101204,1610612739,Dwayne Jones,Dwayne Jones,101204,CLE,27753.0,463.0,-33.0,868,880.0,360.0,371.0,132.0,1748,41.0,28.0,19.0,45.0,954.0,29.0,21.0,42.0,5.0,15.0,70.0,66.0,136.0,9.0,2.0,6.0,,16.0,3.0,53.0,86.0,360.0,8.7890625,0.35714285714285715,0.1,0.14383561643835616,0.1466346153846154,0.13043478260869565,0.8913043478260869,0.9655172413793104,0.8636363636363636,0.9130434782608695,0.5635888888888889,0.582195652173913,0.5579142857142857,1.377777777777778,0.4147465437788018,4.0,,28.0,78.0,11.0,35.0,6.0,10.0,,24.0,39.0,58.0,12.0,35.0,12.0,0.527027027027027,0.4605263157894737,0.08695652173913043,,0.44871794871794873,,25.0,12.0,41.0,18.0,0.24,0.8571428571428571,0.5555555555555556,0.5434782608695652,0.13945578231292516,0.13924050632911392,0.10891089108910891,,,,0.2903225806451613,0.29508196721311475,38.0,12.0,14.0,0.5714285714285714,0.5454545454545454,0.13861386138613863,0.16176470588235295,0.11940298507462686,1.0,1.0,1.0,1.0,,7.0,0.021739130434782608,0.021739130434782608,0.045454545454545456,43.6,False,25.0,20.0,12.0,20.0,11.0,51.0,36.0,1.0,9.0,4.0,4.0,6.0,19.0,2.0,10.0,1.0,4.0,6.0,9.0,4.0,5.0,7.0,2.0,25.0,20.0,5.0,25.0,19.0,1.0,2.0,11.0,0.6896551724137931,0.6896551724137931,0.6375,0.2,0.17073170731707318,0.5,0.625,0.1532258064516129,0.19101123595505617,0.12857142857142856,0.18518518518518517,0.16831683168316833,0.14130434782608695,0.09090909090909091,0.2,0.76,0.6097560975609756,0.7352941176470589,0.24,0.7142857142857143,0.05,0.631578947368421,0.6538461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
