EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg3aBlocked,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,FTOffRebounds,StepOutOfBoundsTurnovers,DefensiveGoaltends,LongMidRangePctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,Corner3PctBlocked,3SecondViolations,Blocked3s,BlockedCorner3,on,BlockedArc3,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,3pt And 1 Free Throw Trips
1548,1610612748,Mark Blount,Mark Blount,1548,MIA,18163.0,303,-111,545,549,79,99,56,1094,12.0,18,3.0,3.0,3.0,3.0,4.0,17.0,23.0,47.0,2.0,2.0,1.0,1.0,39,82,4.0,13,91,606,4.0,8.0,1.0,4.0,12.0,6.0,7.0,1.0,2.0,14.0,54.0,24.0,4.0,2.0,3.0,9.0,3.0,12.0,2.0,1.0,4.0,2.0,3.0,27.0,3.0,9.0,12.0,18,2.0,32,12.0,44,1.0,9.0,6.0,3.0,6.0,1.0,3.0,11.0,2.0,3.0,5.0,17.0,3.0,4.0,19,29,1.0,3.0,23,2.0,2.0,17,3.0,9,1.0,10.0,6.0,1.0,3.0,10.0,5.0,1.0,14.0,79,0.6923076923076923,0.7297297297297297,0.47560975609756095,0.5,0.8571428571428571,0.45348837209302323,0.4444444444444444,0.75,0.489247311827957,0.5454545454545454,0.875,0.046511627906976744,0.036585365853658534,0.05555555555555555,0.11764705882352941,18.24212271973466,0.35294117647058826,0.1111111111111111,0.09782608695652174,0.04433497536945813,0.2,0.04477611940298507,0.12295081967213115,0.044444444444444446,0.10869565217391304,0.05555555555555555,0.01652892561983471,0.038461538461538464,0.06666666666666667,0.11363636363636363,0.12727272727272726,0.07058823529411765,0.16279069767441862,0.29411764705882354,0.023255813953488372,0.5,0.20930232558139536,0.6666666666666666,0.7058823529411765,0.5833333333333334,0.19767441860465115,0.23529411764705882,0.26666666666666666,0.75,0.5465116279069767,0.48936170212765956,0.48936170212765956,0.7391304347826086,0.023255813953488372,0.023255813953488372,0.3333333333333333,1.0,0.3333333333333333,0.1111111111111111,0.375,1.0,0.125,0.2558139534883721,0.43099244186046515,0.46188124999999997,0.41740625,0.09782608695652174,0.10227272727272728,0.13186813186813187,0.15384615384615385,12.386585365853657,24.375,0.14495412844036698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1715,1610612748,Jason Williams,Jason Williams,1715,MIA,17119.0,285,-105,539,537,140,184,71,1076,9.0,15,1.0,1.0,2.0,4.0,1.0,6.0,5.0,19.0,7.0,35.0,4.0,8.0,15,40,42.0,7,76,629,1.0,2.0,6.0,,11.0,4.0,11.0,9.0,5.0,16.0,6.0,24.0,,34.0,2.0,35.0,7.0,42.0,5.0,2.0,12.0,1.0,22.0,91.0,1.0,2.0,5.0,10,,15,3.0,18,,10.0,8.0,2.0,14.0,3.0,11.0,5.0,1.0,3.0,,19.0,1.0,7.0,10,16,,,8,1.0,,8,1.0,1,3.0,2.0,2.0,,,2.0,,,16.0,140,0.2,0.2,0.375,0.5,0.36363636363636365,0.42073170731707316,0.6875,0.275,0.4411764705882353,0.6875,0.34782608695652173,0.5121951219512195,0.05,0.06666666666666667,0.16666666666666666,16.720257234726688,0.7368421052631579,,0.06060606060606061,0.010256410256410256,0.08064516129032258,0.015151515151515152,0.06607929515418502,0.011494252873563218,0.022222222222222223,0.023255813953488372,,0.019230769230769232,,0.04081632653061224,0.08108108108108109,0.06329113924050633,0.0851063829787234,0.06666666666666667,,,0.18292682926829268,0.6,0.6428571428571429,0.1111111111111111,0.07317073170731707,0.16666666666666666,0.2,,0.23170731707317074,0.2631578947368421,0.2631578947368421,0.4,0.08536585365853659,0.4268292682926829,0.125,1.0,1.0,0.5,0.2,0.5,0.4,0.6951219512195121,0.5109881250000001,0.6087833333333333,0.4856342105263158,0.012195121951219513,0.025,0.14473684210526316,0.21052631578947367,10.5975,25.535714285714285,0.2597402597402597,3.0,1.0,2.0,1.0,10.0,2.0,1.0,13.0,3.0,1.0,27.0,12.0,1.0,10.0,1.0,1.0,2.0,3.0,0.6923076923076923,0.30952380952380953,0.5,0.1111111111111111,0.3170731707317073,0.023809523809523808,0.02857142857142857,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.29411764705882354,0.7,0.25,0.5,1.0,0.5,0.5,0.05,0.125,0.29411764705882354,,,,,,,,,,,,True,,,,,,
1729,1610612748,Ricky Davis,Ricky Davis,1729,MIA,42048.0,701,-174,1288,1289,312,328,134,2577,22.0,40,4.0,6.0,6.0,10.0,10.0,24.0,26.0,75.0,18.0,49.0,5.0,14.0,58,139,67.0,38,250,1420,4.0,9.0,7.0,2.0,22.0,13.0,38.0,16.0,17.0,58.0,60.0,56.0,4.0,48.0,9.0,50.0,17.0,67.0,12.0,5.0,19.0,5.0,26.0,151.0,1.0,5.0,17.0,37,20.0,74,7.0,81,1.0,17.0,12.0,5.0,25.0,1.0,14.0,8.0,1.0,11.0,3.0,33.0,2.0,7.0,16,34,,1.0,53,1.0,3.0,55,5.0,21,8.0,8.0,7.0,,1.0,8.0,4.0,2.0,58.0,312,0.5172413793103449,0.5357142857142857,0.4172661870503597,0.4444444444444444,0.34210526315789475,0.5145631067961165,0.625,0.37962962962962965,0.5413043478260869,0.6111111111111112,0.4453125,0.32524271844660196,0.06474820143884892,0.1,0.08333333333333333,18.225918225918225,0.7575757575757576,0.37735849056603776,0.09135802469135802,0.01026694045174538,0.1223021582733813,0.006802721088435374,0.09926470588235294,0.00946372239747634,0.00847457627118644,0.009009009009009009,0.011627906976744186,0.009174311926605505,,0.07142857142857142,0.09433962264150944,0.10160427807486631,0.13861386138613863,0.07894736842105263,0.00980392156862745,0.5,0.1941747572815534,0.55,0.6111111111111112,0.45454545454545453,0.11650485436893204,0.4166666666666667,0.45454545454545453,0.4,0.3640776699029126,0.3466666666666667,0.3611111111111111,0.6153846153846154,0.08737864077669903,0.23786407766990292,0.375,0.6666666666666666,0.25,0.3125,0.18518518518518517,0.6,0.25925925925925924,0.5194174757281553,0.4806287804878051,0.4932666666666666,0.45365188679245283,0.0945945945945946,0.13548387096774195,0.088,0.232,11.974820143884891,25.677611940298508,0.2422360248447205,11.0,1.0,2.0,2.0,21.0,3.0,4.0,32.0,4.0,5.0,87.0,9.0,1.0,21.0,,2.0,6.0,8.0,0.90625,0.47761194029850745,0.5714285714285714,0.3125,0.48484848484848486,,,0.6111111111111112,0.6111111111111112,1.0,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.125,0.5,1.0,0.6,1.0,0.037037037037037035,0.2857142857142857,0.4375,1.0,1.0,1.0,1.0,0.04,0.022727272727272728,0.5,,,,,True,,,,,,
1890,1610612748,Shawn Marion,Shawn Marion,1890,MIA,6139.0,102,1,195,193,22,81,22,388,13.0,18,4.0,8.0,2.0,3.0,4.0,10.0,1.0,3.0,3.0,3.0,,,18,31,6.0,9,51,223,5.0,10.0,,1.0,11.0,2.0,3.0,1.0,3.0,10.0,22.0,14.0,8.0,3.0,3.0,10.0,2.0,12.0,1.0,1.0,5.0,2.0,3.0,26.0,,13.0,5.0,7,4.0,16,13.0,29,2.0,5.0,3.0,2.0,2.0,,1.0,3.0,1.0,1.0,2.0,5.0,1.0,,7,7,,,9,,,15,1.0,6,2.0,3.0,2.0,,1.0,3.0,3.0,,10.0,22,0.6111111111111112,0.7857142857142857,0.5806451612903226,0.5,0.6666666666666666,0.5675675675675675,0.5,0.875,0.5795454545454546,0.4583333333333333,0.7142857142857143,0.16216216216216217,0.0967741935483871,0.16666666666666666,,21.973094170403588,0.4,0.6666666666666666,0.1206896551724138,0.18055555555555555,0.22727272727272727,,0.15,0.14942528735632185,0.2727272727272727,0.17647058823529413,0.12121212121212122,,,0.09523809523809523,0.09090909090909091,0.15384615384615385,0.25,0.16666666666666666,0.14285714285714285,1.0,0.4864864864864865,0.7222222222222222,0.8666666666666667,0.6923076923076923,0.2702702702702703,0.4,0.4,0.25,0.08108108108108109,0.3333333333333333,0.3333333333333333,1.0,0.08108108108108109,0.08108108108108109,0.8,0.5,,,0.75,0.6666666666666666,,0.6486486486486487,0.5118243243243243,0.52505,0.5914999999999999,0.14285714285714285,0.16666666666666666,0.21568627450980393,0.19607843137254902,4.619354838709677,23.983333333333334,0.11282051282051282,1.0,,,1.0,1.0,,,2.0,,1.0,6.0,,,1.0,,,,2.0,1.0,0.3333333333333333,,1.0,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.25,,0.3333333333333333,1.0,,,1.0,,,1.0,,,,,True,,,,,,
2853,1610612748,Earl Barron,Earl Barron,2853,MIA,53345.0,889,-210,1640,1650,402,428,178,3290,46.0,93,16.0,36.0,8.0,22.0,17.0,45.0,68.0,176.0,2.0,11.0,,7.0,131,314,13.0,61,326,1793,19.0,44.0,,11.0,49.0,25.0,62.0,7.0,17.0,67.0,188.0,74.0,30.0,9.0,22.0,21.0,8.0,29.0,3.0,5.0,12.0,1.0,8.0,66.0,14.0,52.0,24.0,94,13.0,131,67.0,198,9.0,19.0,13.0,6.0,22.0,6.0,10.0,26.0,5.0,12.0,6.0,48.0,7.0,7.0,58,114,13.0,8.0,76,1.0,15.0,87,9.0,46,2.0,8.0,4.0,1.0,3.0,8.0,,1.0,67.0,402,0.7175572519083969,0.8103448275862069,0.4171974522292994,0.4318181818181818,0.4032258064516129,0.40519877675840976,0.4318181818181818,0.36231884057971014,0.4453551912568306,0.46226415094339623,0.41875,0.039755351681957186,0.07006369426751592,0.11827956989247312,0.1111111111111111,22.439024390243905,0.4583333333333333,0.20634920634920634,0.18076923076923077,0.08538587848932677,0.12972972972972974,0.07526881720430108,0.1673758865248227,0.0830188679245283,0.1390728476821192,0.088,0.06006006006006006,0.07142857142857142,0.08695652173913043,0.22602739726027396,0.19548872180451127,0.14522821576763487,0.13768115942028986,0.10638297872340426,0.05325443786982249,,0.28440366972477066,0.4946236559139785,0.5609756097560976,0.5434782608695652,0.13761467889908258,0.37777777777777777,0.425,0.35294117647058826,0.5382262996941896,0.38636363636363635,0.4,0.9264705882352942,0.0061162079510703364,0.03363914373088685,0.8181818181818182,0.4444444444444444,0.0625,,0.3188405797101449,0.36363636363636365,0.10144927536231885,0.3241590214067278,0.4438979999999999,0.5292564102564103,0.4321544776119404,0.12637362637362637,0.13105413105413105,0.15030674846625766,0.20552147239263804,11.821337579617836,29.300000000000004,0.2451219512195122,,,,,1.0,,,1.0,,,3.0,,2.0,1.0,,,11.0,2.0,1.0,0.07692307692307693,,,0.09090909090909091,,,,,,0.09090909090909091,0.09090909090909091,1.0,,,,,,,,0.1111111111111111,,1.0,,1.0,0.03409090909090909,0.017857142857142856,,,,,,True,,,,,,
200809,1610612748,Chris Quinn,Chris Quinn,200809,MIA,23791.0,397,-68,715,712,192,143,73,1427,12.0,20,2.0,3.0,5.0,8.0,6.0,12.0,19.0,35.0,8.0,38.0,3.0,11.0,37,67,46.0,40,165,774,3.0,5.0,4.0,2.0,17.0,11.0,19.0,13.0,26.0,57.0,14.0,60.0,,37.0,3.0,40.0,17.0,57.0,8.0,9.0,5.0,4.0,31.0,131.0,1.0,,7.0,32,2.0,41,2.0,43,1.0,15.0,11.0,4.0,16.0,3.0,9.0,9.0,,7.0,,25.0,1.0,5.0,16,28,1.0,2.0,38,1.0,3.0,44,2.0,10,13.0,,,,,,,,57.0,192,0.1891891891891892,0.1891891891891892,0.5522388059701493,0.6,0.5789473684210527,0.5530973451327433,0.8333333333333334,0.484375,0.6156716417910447,0.7727272727272727,0.6195652173913043,0.40707964601769914,0.04477611940298507,0.1,,19.974874371859297,0.64,0.06896551724137931,0.1350210970464135,,0.09210526315789473,0.011764705882352941,0.12460063897763578,0.0028169014084507044,,,,0.016129032258064516,,0.046153846153846156,0.1935483870967742,0.15454545454545454,0.06779661016949153,0.17647058823529413,0.018518518518518517,,0.17699115044247787,0.6,0.6666666666666666,0.08333333333333333,0.10619469026548672,0.5,0.5,0.16666666666666666,0.30973451327433627,0.5428571428571428,0.5588235294117647,0.2631578947368421,0.07079646017699115,0.336283185840708,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.25,0.625,0.34375,0.584070796460177,0.49093873873873883,0.51955,0.4990066666666667,0.08264462809917356,0.13333333333333333,0.10303030303030303,0.34545454545454546,11.556716417910447,25.30434782608695,0.26853146853146853,5.0,1.0,1.0,2.0,12.0,2.0,2.0,17.0,3.0,3.0,39.0,12.0,1.0,12.0,,,2.0,12.0,0.7647058823529411,0.3695652173913043,0.75,0.23076923076923078,0.37777777777777777,,,0.625,0.625,1.0,0.3157894736842105,0.3157894736842105,0.6666666666666666,0.1111111111111111,1.0,1.0,0.6666666666666666,0.5,0.0625,0.18181818181818182,0.32432432432432434,1.0,1.0,1.0,,0.02857142857142857,0.058823529411764705,0.5,,,,,True,,,,,,
201161,1610612748,Daequan Cook,Daequan Cook,201161,MIA,24207.0,403,-121,744,751,175,155,82,1495,8.0,16,1.0,1.0,,1.0,4.0,10.0,16.0,54.0,19.0,40.0,2.0,10.0,28,80,59.0,4,111,787,1.0,3.0,3.0,,2.0,2.0,13.0,17.0,,16.0,38.0,18.0,,40.0,5.0,17.0,8.0,25.0,8.0,,6.0,1.0,10.0,58.0,2.0,3.0,9.0,36,2.0,47,5.0,52,3.0,7.0,4.0,3.0,12.0,3.0,9.0,8.0,2.0,3.0,1.0,20.0,1.0,3.0,25,47,,,8,1.0,1.0,6,,3,,,,,,,,,16.0,175,0.6785714285714286,0.6785714285714286,0.35,0.3333333333333333,0.15384615384615385,0.38489208633093525,0.16666666666666666,0.26666666666666666,0.3908450704225352,0.14285714285714285,0.25806451612903225,0.4244604316546763,0.0625,0.125,0.1,19.37799043062201,0.6,0.058823529411764705,0.15126050420168066,0.01056338028169014,0.10465116279069768,0.019801980198019802,0.1388888888888889,0.012987012987012988,0.013888888888888888,0.01818181818181818,0.006369426751592357,0.0125,0.047619047619047616,0.06493506493506493,0.078125,0.26804123711340205,0.1111111111111111,0.08695652173913043,0.03488372093023256,,0.11510791366906475,0.5,0.5714285714285714,0.625,0.07194244604316546,0.4,0.4444444444444444,0.25,0.38848920863309355,0.2962962962962963,0.3076923076923077,0.8125,0.1366906474820144,0.28776978417266186,0.16666666666666666,1.0,1.0,0.3333333333333333,0.03333333333333333,,0.3333333333333333,0.539568345323741,0.4767399280575539,0.5150599999999999,0.46072499999999994,0.02112676056338028,0.03614457831325301,0.018018018018018018,0.14414414414414414,13.977499999999997,24.747457627118642,0.23521505376344087,7.0,,1.0,7.0,10.0,,1.0,17.0,,4.0,51.0,,,10.0,3.0,,7.0,,1.0,0.288135593220339,,0.23529411764705882,0.288135593220339,0.05084745762711865,0.025,0.3684210526315789,0.4117647058823529,1.0,0.25,0.2564102564102564,1.0,0.16666666666666666,,,,,0.23333333333333334,0.1,0.25,3.0,,,,0.037037037037037035,,0.42857142857142855,0.10526315789473684,,,,True,,,,,,
201336,1610612748,Blake Ahearn,Blake Ahearn,201336,MIA,2635.0,44,-31,79,87,29,30,8,166,2.0,4,,,1.0,2.0,2.0,2.0,,3.0,,4.0,,2.0,4,9,4.0,7,18,90,,1.0,,,,2.0,4.0,2.0,5.0,12.0,2.0,6.0,,4.0,2.0,4.0,1.0,5.0,1.0,,2.0,,2.0,11.0,,,1.0,7,,8,,8,,3.0,1.0,2.0,3.0,,3.0,,,,,3.0,,,1,3,,,11,,,8,2.0,2,3.0,,,,,,,,12.0,29,0.25,0.25,0.4444444444444444,,0.5,0.4230769230769231,,0.5833333333333334,0.5625,,0.6666666666666666,0.3076923076923077,0.2222222222222222,0.5,,21.839080459770116,1.0,,0.23333333333333334,,0.125,,0.21052631578947367,,,,,,,0.125,0.14285714285714285,0.3333333333333333,,0.25,,,0.3076923076923077,0.5,1.0,0.5,0.15384615384615385,1.0,1.0,,0.23076923076923078,,,,,0.3076923076923077,,,,,0.3333333333333333,0.5,0.3333333333333333,0.6153846153846154,0.48718461538461544,0.3706,0.4546083333333333,0.15384615384615385,0.2222222222222222,,0.6666666666666666,7.833333333333333,25.025000000000002,0.3670886075949367,,,,,1.0,,1.0,1.0,,1.0,3.0,,,1.0,,,,3.0,1.0,0.25,,0.5,0.25,,,,,,0.25,0.25,1.0,,,,,,,0.5,0.25,,,,,,,,,,,,True,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,18005.0,300,-71,563,570,124,169,62,1133,36.0,52,3.0,5.0,10.0,17.0,11.0,28.0,24.0,62.0,,11.0,1.0,1.0,71,142,11.0,57,208,642,4.0,8.0,1.0,4.0,12.0,14.0,35.0,1.0,17.0,45.0,32.0,110.0,2.0,10.0,7.0,42.0,13.0,55.0,8.0,5.0,18.0,3.0,21.0,123.0,2.0,4.0,7.0,19,,26,6.0,32,,13.0,8.0,5.0,23.0,8.0,14.0,18.0,,9.0,4.0,41.0,2.0,12.0,8,23,,3.0,51,,,76,7.0,37,4.0,4.0,3.0,1.0,,4.0,2.0,,45.0,124,0.22535211267605634,0.22857142857142856,0.5,0.5,0.4,0.4934640522875817,0.4444444444444444,0.3888888888888889,0.553475935828877,0.5454545454545454,0.4489795918367347,0.0718954248366013,0.04929577464788732,0.09615384615384616,0.03571428571428571,35.569422776911075,0.5609756097560976,,0.11728395061728394,0.019230769230769232,0.11666666666666667,0.04081632653061224,0.11711711711711711,0.023346303501945526,0.05555555555555555,,0.009174311926605505,0.05405405405405406,,0.046511627906976744,0.06976744186046512,0.18421052631578946,0.12244897959183673,0.09090909090909091,,0.5,0.33986928104575165,0.6923076923076923,0.7659574468085106,0.2777777777777778,0.1830065359477124,0.39285714285714285,0.4074074074074074,0.09090909090909091,0.40522875816993464,0.3870967741935484,0.39344262295081966,0.20833333333333334,,0.0718954248366013,0.5555555555555556,0.6,0.3333333333333333,0.1111111111111111,0.4722222222222222,0.5882352941176471,0.027777777777777776,0.4117647058823529,0.4811404605263158,0.5101625,0.49175277777777776,0.20218579234972678,0.21511627906976744,0.057692307692307696,0.21634615384615385,9.877464788732393,26.65454545454546,0.2202486678507993,,,,,3.0,,,3.0,,,,9.0,1.0,3.0,,1.0,2.0,4.0,,0.2727272727272727,,,0.3,,,,,,0.2727272727272727,0.2727272727272727,,,,,,,,,0.3,,,1.0,,0.016129032258064516,,,,1.0,,,True,,,,,,
2556,1610612748,Marcus Banks,Marcus Banks,2556,MIA,6246.0,104,15,199,201,45,68,17,400,5.0,10,,,2.0,3.0,1.0,1.0,2.0,4.0,4.0,12.0,3.0,5.0,8,15,16.0,7,44,204,,1.0,3.0,,3.0,3.0,4.0,6.0,2.0,17.0,,16.0,,12.0,3.0,14.0,2.0,16.0,2.0,,3.0,3.0,8.0,34.0,,,3.0,10,,13,,13,,2.0,1.0,1.0,3.0,4.0,2.0,6.0,,1.0,,9.0,,2.0,2,10,,,8,,2.0,7,1.0,2,2.0,1.0,,,1.0,1.0,,,17.0,45,,,0.5333333333333333,,0.75,0.5967741935483871,0.375,0.75,0.6470588235294118,0.375,0.7727272727272727,0.5161290322580645,0.2,0.3,,19.282511210762333,0.3333333333333333,,0.1724137931034483,,0.13636363636363635,,0.1625,,,,,,,0.14285714285714285,0.13333333333333333,0.20689655172413793,0.13333333333333333,0.14285714285714285,,,0.3225806451612903,0.5,0.7142857142857143,,0.03225806451612903,1.0,1.0,,0.12903225806451613,0.5,0.5,,0.12903225806451613,0.3870967741935484,,,,0.75,0.3,0.6666666666666666,0.5,0.8387096774193549,0.540333870967742,0.6016,0.51133,0.0625,0.125,0.06818181818181818,0.38636363636363635,5.646666666666666,24.4625,0.22613065326633167,2.0,,,1.0,5.0,1.0,2.0,7.0,1.0,3.0,18.0,3.0,,5.0,,,1.0,1.0,0.8571428571428571,0.4375,0.3333333333333333,0.5,0.4375,,,0.5,0.5,1.0,0.4166666666666667,0.4166666666666667,0.8,,,,0.3333333333333333,1.0,0.1,0.4,0.4166666666666667,1.0,,,,,,1.0,,,,,True,,,,,,
