EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,DeadBallTurnovers,Turnovers,Offensive Fouls,ShortMidRangeFGM,ShortMidRangeFGA,FTDefRebounds,ShootingFouls,DefFTReboundPct,DefAtRimReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,FoulsDrawn,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,Arc3FGA,FG3A,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Arc3Frequency,Avg3ptShotDistance,SecondChanceAtRimFGA,PenaltyAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,OffTwoPtRebounds,SelfOReb,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,FtPoints,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PtsUnassisted2s,ThreePtAssists,Arc3Assists,2pt And 1 Free Throw Trips,OffAtRimReboundPct,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,SecondChanceTsPct,SecondChancePointsPct,on,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,PenaltyFG2M,Fg2aBlocked,AtRimAssists,PenaltyTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,BlockedAtRim,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PtsPutbacks,HeaveAttempts,Corner3Assists,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls Drawn,Defensive 3 Seconds Violations,LongMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct
101247,1610612759,Keith Langford,Keith Langford,101247,SAS,576.0,10,7.0,20,18,3.0,12.0,4.0,38,2.0,1.0,2.0,1.0,4.0,2.0,12,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.25,0.25,0.25,16.666666666666668,0.14285714285714285,0.5,0.2222222222222222,0.16666666666666666,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.539,9.799999999999999,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,97.0,2,1.0,3,3,,2.0,1.0,6,,,,,,,1,,,,,,1.0,,,,,,,33.333333333333336,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,265.0,4,-1.0,8,7,,2.0,2.0,15,,,,1.0,2.0,2.0,5,2.0,,1.0,2.0,2.0,1.0,,1.0,1.0,0.5,0.5,0.5,22.22222222222222,0.2,,0.2,,,,,,,,,0.38185,8.45,,,,,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,1610612759,Jacque Vaughn,Jacque Vaughn,1521,SAS,258.0,4,7.0,9,9,3.0,7.0,3.0,18,,,,,,,4,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1610612759,Michael Finley,Michael Finley,714,SAS,265.0,4,-1.0,8,7,,2.0,2.0,15,,,,,,,5,,,1.0,1.0,2.0,1.0,,,,,,,11.11111111111111,0.2,,0.2,0.25,,,,,,,1.0,0.3846,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.5,1.0,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,1610612759,Ime Udoka,Ime Udoka,2137,SAS,479.0,8,6.0,17,15,3.0,10.0,3.0,32,1.0,,,,1.0,3.0,11,,1.0,1.0,2.0,4.0,,3.0,,,,0.3,0.3,23.80952380952381,0.25,0.5,0.3333333333333333,0.25,,0.2,,,,,1.0,0.54486,,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,2.0,1.0,2.0,0.8,0.2,0.16666666666666666,,0.4,24.025,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.25,0.5,0.25,0.5,0.5,0.14285714285714285,0.5,0.3333333333333333,1.0,0.25,1.0,0.4,0.5,0.5,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5757,0.54735,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,168.0,3,-2.0,5,4,,,1.0,9,,,,,,2.0,4,,,,,,,,,,,,1.0,16.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,1610612759,Francisco Elson,Francisco Elson,1922,SAS,311.0,5,8.0,12,11,3.0,10.0,2.0,23,1.0,2.0,2.0,3.0,4.0,6.0,7,,,2.0,4.0,5.0,1.0,3.0,,,0.75,0.75,0.75,26.666666666666668,1.0,,0.5,1.0,,0.25,0.5,1.0,1.0,,0.25,0.35860000000000003,10.4,0.25,,,,1.0,1.0,2.0,1.0,1.0,,0.25,1.0,1.0,,,1.0,,,3.0,1.0,,,,,,,1.0,,,0.14285714285714285,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,0.2,,,,,,,,,,1.0,,1.0,,,,,0.3702,0.3702,,,1.0,1.0,0.25,0.25,6.0,1.0,1.0,1.0,0.25,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1610612759,DerMarr Johnson,DerMarr Johnson,2035,SAS,235.0,4,3.0,9,8,,8.0,,17,,1.0,1.0,1.0,1.0,2.0,7,2.0,,,,,1.0,,1.0,1.0,1.0,0.5,0.5,22.22222222222222,,,,,,,0.5,1.0,1.0,1.0,0.5,0.39859999999999995,19.5,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,0.5,,,,,22.7,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,1610612759,Matt Bonner,Matt Bonner,2588,SAS,226.0,4,7.0,9,8,3.0,7.0,2.0,17,,,1.0,,1.0,2.0,4,,,,,,,3.0,,,,,0.5,16.666666666666668,,,,,,,1.0,,,,,0.3742,19.8,0.3333333333333333,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,2.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.3742,1.0,2.0,2.0,1.0,0.5,0.5,,,,,,2.0,2.0,2.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101133,1610612759,Ian Mahinmi,Ian Mahinmi,101133,SAS,1352.0,23,-14.0,45,46,25.0,18.0,5.0,91,9.0,,,6.0,12.0,21.0,57,6.0,,4.0,5.0,5.0,4.0,25.0,0.5,0.5,0.5,0.5,0.65625,36.734693877551024,0.23529411764705882,,0.17391304347826086,,,0.75,,,,,0.75,0.5091333333333333,2.9916666666666667,0.5555555555555556,2.0,2.0,,,3.0,1.0,2.0,0.5,,0.25,,,,1.0,1.0,,,2.0,6.0,1.0,1.0,,,,,,,,,,,,1.0,7.0,,,,,,,,1.0,,9.0,,,12.0,,,,,4.0,,4.0,3.0,12.0,,,,,0.4444444444444444,0.5454545454545454,,,,,,0.75,,,,,1.0,,0.7777777777777778,,,,,,0.5255888888888889,0.5714285714285714,9.0,9.0,3.0,0.21428571428571427,0.21428571428571427,6.0,,,1.0,,,2.0,4.0,1.0,0.09523809523809523,False,6.0,1.0,4.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.4444444444444444,1.0,0.25,0.1111111111111111,0.6666666666666666,0.5,0.6666666666666666,0.75,0.5,1.0,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101177,1610612759,Fabricio Oberto,Fabricio Oberto,101177,SAS,98619.0,1644,54.0,3040,3021,537.0,492.0,341.0,6061,154.0,22.0,45.0,180.0,295.0,397.0,3133,300.0,39.0,215.0,277.0,430.0,203.0,537.0,0.8333333333333334,0.9259259259259259,0.6101694915254238,0.6081081081081081,0.6145510835913313,10.90061206645293,0.18760907504363003,0.1392857142857143,0.17812061711079943,0.1626984126984127,0.10975609756097561,0.5202702702702703,0.15202702702702703,0.4888888888888889,0.5,1.0,0.5236486486486487,0.4873840677966101,5.9013559322033915,0.17664473684210527,29.0,51.0,7.0,41.0,96.0,23.0,112.0,0.323943661971831,0.20064724919093851,0.32432432432432434,0.4270833333333333,0.45054945054945056,0.8048780487804879,60.0,95.0,6.0,18.0,225.0,113.0,33.0,18.0,1.0,1.0,,39.0,153.0,0.0033783783783783786,0.104,0.10040983606557377,0.07547169811320754,0.0033783783783783786,47.8,42.0,20.0,,,,,,,,63.0,,38.0,,,58.0,,,108.0,8.0,20.0,,20.0,10.0,58.0,,,,,0.6052631578947368,0.6170212765957447,0.09917355371900827,0.08384458077709611,0.1411042944785276,0.15151515151515152,0.08163265306122448,0.5,,,,,0.6666666666666666,,0.5263157894736842,,,,,0.5248529411764706,0.4677552631578948,0.14609571788413098,37.0,61.0,29.0,0.0914826498422713,0.09177215189873418,60.0,35.0,20.0,8.0,0.12867647058823528,5.0,87.0,12.0,0.6397058823529411,0.21914357682619648,False,117.0,30.0,15.0,41.0,23.0,17.0,36.0,4.0,14.0,6.0,13.0,7.0,,,5.0,5.0,0.6507936507936508,0.6052631578947368,0.6507936507936508,0.0576271186440678,0.07142857142857142,0.052083333333333336,0.2132132132132132,0.7597402597402597,0.8181818181818182,0.811965811965812,0.7142857142857143,0.75,36.0,1.0,15.0,6.0,37.0,29.0,8.0,22.0,4.0,11.0,4.0,11.0,1.0,4.0,5.0,9.0,2.0,0.022222222222222223,0.43137254901960786,0.08450704225352113,0.0975609756097561,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
