EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,3SecondViolations,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls,on,HeaveMakes
101110,1610612757,Martell Webster,Martell Webster,101110,POR,127944.0,2132,-87.0,3914,3911,785,897,493,7825,61.0,108,21.0,35.0,17.0,26.0,24.0,48.0,69.0,183.0,50.0,142.0,2.0,15.0,7.0,29.0,73.0,175.0,8.0,15.0,9.0,32.0,154,339,123.0,317.0,122.0,799,4258,30.0,58.0,10.0,30.0,21.0,111.0,30.0,60.0,16.0,61.0,40.0,148.0,202.0,106.0,354.0,15.0,26.0,7.0,168.0,73.0,17.0,2.0,71.0,19.0,90.0,9.0,10.0,27.0,12.0,32.0,199.0,8.0,45.0,1.0,56.0,164.0,22.0,242.0,54.0,296.0,9.0,42.0,26.0,16.0,40.0,6.0,21.0,43.0,6.0,19.0,4.0,10.0,83.0,6.0,13.0,64.0,159.0,3.0,9.0,125.0,11.0,13.0,166.0,5.0,2.0,13.0,54.0,10.0,12.0,28.0,21.0,2.0,5.0,28.0,16.0,1.0,1.0,148.0,785,22.0,11.0,0.6558441558441559,0.7163120567375887,0.959349593495935,0.38801261829652994,0.3333333333333333,0.26229508196721313,0.3967741935483871,0.45427728613569324,0.5172413793103449,0.5,0.5160060975609756,0.5113636363636364,0.4462809917355372,0.5448275862068965,0.55,0.5,0.48323170731707316,0.006309148264984227,0.05014749262536873,0.12037037037037036,0.041666666666666664,0.01092896174863388,0.007042253521126761,0.005714285714285714,17.9915386328212,0.4819277108433735,0.19469026548672566,0.011111111111111112,0.11476557032890133,0.030716723549488054,0.1308411214953271,0.018604651162790697,0.11847065158858373,0.027968337730870714,0.036923076923076927,0.027989821882951654,0.029451137884872823,0.023255813953488372,0.011627906976744186,0.0784313725490196,0.11917098445595854,0.1404109589041096,0.11705685618729098,0.16279069767441862,0.02601156069364162,0.5714285714285714,0.16463414634146342,0.5648148148148148,0.6421052631578947,0.5901639344262295,0.07317073170731707,0.5,0.5217391304347826,0.5,0.27896341463414637,0.3770491803278688,0.3812154696132597,0.7681159420289855,0.21646341463414634,0.352112676056338,0.3546099290780142,0.96,0.26676829268292684,0.41714285714285715,0.41954022988505746,0.958904109589041,0.3977272727272727,0.6,0.2857142857142857,0.17045454545454544,0.13333333333333333,1.0,0.17045454545454544,0.5333333333333333,1.0,0.21487603305785125,0.6538461538461539,0.2396694214876033,0.2413793103448276,0.2644628099173554,0.28125,0.6478658536585366,0.43452380952380953,0.5188598613251154,0.5270486301369862,0.5194375,0.08976157082748948,0.13917525773195877,0.03076923076923077,0.13892365456821026,0.18523153942428036,11.894985250737466,24.855520504731864,0.20056208482370977,,,,,,,True,
101112,1610612757,Channing Frye,Channing Frye,101112,POR,40862.0,681,,1255,1254,299,361,167,2509,33.0,51,16.0,26.0,8.0,11.0,13.0,40.0,64.0,138.0,,1.0,,1.0,,,,2.0,,,,2.0,110,229,,3.0,45.0,265,1347,20.0,36.0,,1.0,14.0,54.0,22.0,40.0,,2.0,12.0,56.0,172.0,48.0,,,22.0,,2.0,,6.0,,17.0,10.0,27.0,6.0,4.0,6.0,4.0,7.0,64.0,15.0,42.0,1.0,25.0,77.0,9.0,111.0,58.0,169.0,5.0,16.0,12.0,4.0,12.0,1.0,8.0,22.0,2.0,4.0,1.0,3.0,34.0,5.0,9.0,67.0,119.0,9.0,10.0,38.0,5.0,4.0,52.0,4.0,,,23.0,,5.0,18.0,14.0,,4.0,18.0,11.0,1.0,3.0,56.0,299,13.0,4.0,0.7818181818181819,0.8686868686868687,,,,,,0.48034934497816595,0.5555555555555556,0.55,0.47413793103448276,0.5405405405405406,0.5238095238095238,0.517578125,0.6,0.5833333333333334,0.01293103448275862,,0.026200873362445413,0.09803921568627451,0.025,,,,20.055325034578146,0.35294117647058826,0.2647058823529412,0.043478260869565216,0.171875,0.08731808731808732,0.1984126984126984,0.10067114093959731,0.17770034843205576,0.09047619047619047,0.13131313131313133,0.07317073170731707,0.07722007722007722,0.07865168539325842,0.13333333333333333,0.14615384615384616,0.21311475409836064,0.16326530612244897,0.2,0.1951219512195122,0.043859649122807015,0.6111111111111112,0.21982758620689655,0.6470588235294118,0.717391304347826,0.5757575757575758,0.1724137931034483,0.325,0.3333333333333333,0.9230769230769231,0.5948275862068966,0.463768115942029,0.463768115942029,0.859375,0.004310344827586207,,,,0.008620689655172414,,,,0.7027027027027027,0.6153846153846154,0.25,0.02702702702702703,,,,,,0.2619047619047619,0.7272727272727273,,,0.047619047619047616,,0.23275862068965517,,0.43717974137931037,0.5038822580645161,0.416627380952381,0.09163346613545817,0.09274193548387097,,0.2037735849056604,0.21132075471698114,13.121834061135372,24.066666666666666,0.23824701195219122,3.0,,,,,,True,
101127,1610612757,Jarrett Jack,Jarrett Jack,101127,POR,48093.0,802,-132.0,1484,1481,418,458,180,2965,37.0,57,,1.0,7.0,12.0,18.0,48.0,24.0,53.0,4.0,21.0,,1.0,,5.0,13.0,42.0,3.0,4.0,3.0,15.0,79,158,17.0,63.0,82.0,291,1661,6.0,13.0,3.0,5.0,8.0,29.0,23.0,47.0,3.0,20.0,36.0,91.0,32.0,126.0,45.0,6.0,,3.0,39.0,13.0,13.0,,87.0,24.0,111.0,15.0,9.0,34.0,15.0,38.0,246.0,1.0,6.0,,22.0,44.0,2.0,68.0,7.0,75.0,1.0,17.0,8.0,9.0,46.0,9.0,26.0,25.0,2.0,20.0,3.0,4.0,71.0,7.0,15.0,21.0,46.0,1.0,5.0,74.0,1.0,7.0,94.0,11.0,,14.0,33.0,1.0,11.0,1.0,,1.0,,1.0,,,1.0,91.0,418,11.0,11.0,0.20253164556962025,0.20253164556962025,0.8823529411764706,0.2698412698412698,0.6,0.15,0.2833333333333333,0.5,0.46153846153846156,0.48936170212765956,0.47285067873303166,0.5833333333333334,0.41044776119402987,0.5431372549019607,0.6666666666666666,0.5056818181818182,0.2850678733031674,,0.08227848101265822,0.12280701754385964,0.125,,,,19.301361752516282,0.647887323943662,0.037037037037037035,,0.0859375,0.011194029850746268,0.11827956989247312,0.006493506493506494,0.09455587392550144,0.010144927536231883,0.015625,0.013333333333333334,0.007751937984496124,0.0125,,0.06779661016949153,0.07258064516129033,0.10900473933649289,0.11194029850746269,0.1346153846153846,0.009433962264150943,,0.2579185520361991,0.6491228070175439,0.74,0.21621621621621623,0.2171945701357466,0.375,0.42857142857142855,0.2777777777777778,0.2398190045248869,0.4528301886792453,0.4528301886792453,0.125,0.09502262443438914,0.19047619047619047,0.19047619047619047,1.0,0.19004524886877827,0.30952380952380953,0.30952380952380953,0.8461538461538461,0.05555555555555555,,,0.05555555555555555,,,0.2222222222222222,0.75,1.0,0.1791044776119403,0.5833333333333334,0.07462686567164178,,0.22388059701492538,0.2,0.5429864253393665,0.3333333333333333,0.47584036697247706,0.42449166666666666,0.4449953124999999,0.13934426229508196,0.18333333333333332,0.015625,0.09965635738831616,0.3127147766323024,9.266455696202533,25.41111111111111,0.2816711590296496,1.0,,,,,,True,
101144,1610612757,Von Wafer,Von Wafer,101144,POR,1548.0,26,9.0,48,49,13,34,7,97,,1,,,,,,,1.0,4.0,,1.0,,,,,2.0,4.0,,,,,1,5,2.0,5.0,1.0,9,44,,1.0,,,,,1.0,2.0,,,1.0,3.0,2.0,,3.0,3.0,,,4.0,2.0,,,,,,,,,,,,,,,1.0,4.0,,5.0,,5.0,,,,,,,,2.0,1.0,,,1.0,2.0,,,3.0,3.0,,,2.0,,,2.0,,,,,,1.0,,,,,,,,,3.0,13,,1.0,1.0,1.0,0.5,0.4,,,0.4,0.2,,0.5,0.4,,0.5,0.4090909090909091,,0.5,0.5,,,,,,,,23.636363636363633,,,,0.2,,0.14285714285714285,,0.18518518518518517,,,,,,,0.14285714285714285,0.16666666666666666,0.2857142857142857,0.16666666666666666,,,,0.1,,,,,,,,0.4,0.25,0.25,1.0,0.1,,,,0.4,0.5,0.5,0.5,,,,,,,,,,,,,,,,0.6,0.5,0.438005,0.3644,0.41395,,,,,0.3333333333333333,13.98,25.54,0.2708333333333333,,,,,,,True,
1711,1610612757,Raef LaFrentz,Raef LaFrentz,1711,POR,7729.0,129,5.0,251,247,124,124,33,498,12.0,24,4.0,12.0,4.0,9.0,,3.0,3.0,8.0,,1.0,,,,1.0,,1.0,,,,1.0,15,35,,2.0,8.0,38,265,4.0,12.0,,,2.0,10.0,5.0,14.0,,2.0,2.0,12.0,22.0,8.0,,,6.0,,1.0,,3.0,,2.0,,2.0,,,2.0,,,4.0,7.0,13.0,,5.0,11.0,3.0,19.0,20.0,39.0,3.0,6.0,3.0,3.0,5.0,,3.0,2.0,,2.0,,,7.0,2.0,2.0,20.0,29.0,3.0,2.0,12.0,2.0,3.0,12.0,4.0,,,6.0,,2.0,9.0,5.0,1.0,3.0,9.0,6.0,,,12.0,124,1.0,2.0,0.7333333333333333,0.9166666666666666,,,,,,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.40540540540540543,0.3333333333333333,0.3125,0.4634146341463415,0.38461538461538464,0.3333333333333333,0.05405405405405406,,0.08571428571428572,0.125,,,,,16.3265306122449,0.7142857142857143,0.2727272727272727,,0.12790697674418605,0.13829787234042554,0.21739130434782608,0.2692307692307692,0.14678899082568808,0.16666666666666666,0.2916666666666667,0.13636363636363635,0.0625,0.15384615384615385,0.38461538461538464,0.21875,0.10526315789473684,0.05714285714285714,0.29411764705882354,,0.15789473684210525,0.6666666666666666,0.6486486486486487,0.5,0.5714285714285714,0.75,0.08108108108108109,,,,0.21621621621621623,0.375,0.375,0.6666666666666666,0.02702702702702703,,,,0.02702702702702703,,,,1.0,0.3333333333333333,0.25,,,,,,,0.5625,0.4444444444444444,0.0625,,0.0625,,0.7027027027027027,,0.5124905405405404,0.56728,0.485121875,0.15384615384615385,0.16216216216216217,,0.2631578947368421,0.3157894736842105,5.291428571428572,24.05,0.4940239043824701,,,,,,,True,
200746,1610612757,LaMarcus Aldridge,LaMarcus Aldridge,200746,POR,94036.0,1567,-61.0,2854,2847,459,513,358,5701,102.0,150,27.0,56.0,16.0,25.0,150.0,313.0,94.0,258.0,,,,,,,,1.0,,,,,346,721,,1.0,116.0,808,3136,50.0,99.0,,,17.0,117.0,41.0,88.0,,,23.0,105.0,412.0,280.0,,,48.0,,1.0,,30.0,,50.0,38.0,88.0,32.0,6.0,24.0,4.0,22.0,214.0,32.0,94.0,1.0,30.0,142.0,22.0,194.0,127.0,321.0,15.0,31.0,18.0,13.0,31.0,4.0,14.0,47.0,9.0,17.0,,6.0,78.0,5.0,19.0,74.0,137.0,9.0,17.0,144.0,9.0,8.0,155.0,19.0,,,79.0,,8.0,50.0,31.0,3.0,16.0,50.0,30.0,2.0,4.0,105.0,459,8.0,8.0,0.5953757225433526,0.639751552795031,,,,,,0.4798890429958391,0.5050505050505051,0.4659090909090909,0.4792243767313019,0.5050505050505051,0.4659090909090909,0.5113924050632911,0.5318181818181819,0.5097087378640777,0.0013850415512465374,,0.04160887656033287,0.08,0.04792332268370607,0.011627906976744186,,,26.487641135184617,0.3974358974358974,0.2716049382716049,0.016666666666666666,0.13485280151946819,0.08703703703703704,0.09868421052631579,0.10158730158730159,0.12675018422991893,0.09032258064516129,0.1085972850678733,0.090625,0.07606679035250463,0.07179487179487179,0.15,0.12462006079027356,0.13013698630136986,0.14583333333333334,0.10426540284360189,0.08602150537634409,0.04335260115606936,0.6,0.2077562326869806,0.68,0.7391304347826086,0.6666666666666666,0.43351800554016623,0.4792332268370607,0.5033557046979866,0.3933333333333333,0.3573407202216066,0.3643410852713178,0.3686274509803922,0.8404255319148937,,,,,0.0013850415512465374,,,,0.5656565656565656,0.48214285714285715,0.14814814814814814,,,,,,,0.2840909090909091,0.64,,,,,0.20914127423822715,,0.4357779778393353,0.49470000000000003,0.44061249999999996,0.1010230179028133,0.10115236875800256,,0.1448019801980198,0.12995049504950495,10.590707350901525,24.8,0.16082690960056062,5.0,,,,,,True,
2038,1610612757,Joel Przybilla,Joel Przybilla,2038,POR,66756.0,1113,-2.0,2014,2026,171,240,251,4040,78.0,126,34.0,53.0,4.0,9.0,6.0,24.0,,5.0,,,,,,,,,,,,,84,155,,,60.0,228,2124,35.0,55.0,,,13.0,83.0,4.0,10.0,,,2.0,10.0,108.0,60.0,,,52.0,,,,19.0,,12.0,7.0,19.0,5.0,2.0,2.0,3.0,7.0,45.0,19.0,98.0,,51.0,217.0,16.0,284.0,117.0,401.0,7.0,7.0,5.0,2.0,22.0,1.0,7.0,45.0,2.0,15.0,3.0,4.0,67.0,12.0,5.0,72.0,155.0,21.0,23.0,104.0,16.0,31.0,78.0,10.0,,,42.0,,2.0,55.0,50.0,,5.0,55.0,36.0,19.0,10.0,10.0,171,3.0,2.0,0.6428571428571429,0.9310344827586207,,,,,,0.5419354838709678,0.6363636363636364,0.4,0.5419354838709678,0.6363636363636364,0.4,0.6031746031746031,0.680327868852459,0.4166666666666667,,,0.12258064516129032,0.14285714285714285,0.041666666666666664,,,,11.04400345125108,0.3283582089552239,0.3404255319148936,,0.2785622593068036,0.12945838837516513,0.2328767123287671,0.0867579908675799,0.2685370741482966,0.11987704918032786,0.1488095238095238,0.13425925925925927,0.11796246648793565,0.09859154929577464,0.06493506493506493,0.1940928270042194,0.33640552995391704,0.30153846153846153,0.26282051282051283,0.15873015873015872,0.13725490196078433,0.6545454545454545,0.8129032258064516,0.6190476190476191,0.7222222222222222,0.6410256410256411,0.15483870967741936,0.25,0.2608695652173913,0.6666666666666666,0.03225806451612903,,,,,,,,,,,,0.9636363636363636,0.6415094339622641,0.20588235294117646,,,,,,,0.9,0.4444444444444444,,,,,0.8129032258064516,,0.5344270967741935,0.5602854166666666,0.55013,0.22459893048128343,0.22459893048128343,,0.36403508771929827,0.043859649122807015,1.9,,0.08490566037735849,10.0,,,,,,True,
200750,1610612757,Brandon Roy,Brandon Roy,200750,POR,95238.0,1587,-51.0,2910,2906,534,619,359,5816,101.0,179,12.0,28.0,17.0,38.0,49.0,129.0,117.0,259.0,15.0,31.0,4.0,5.0,2.0,4.0,31.0,87.0,7.0,14.0,7.0,18.0,267,567,46.0,118.0,136.0,808,3163,22.0,51.0,11.0,19.0,10.0,87.0,44.0,105.0,9.0,22.0,55.0,170.0,164.0,370.0,123.0,15.0,4.0,2.0,85.0,31.0,31.0,1.0,167.0,69.0,236.0,45.0,24.0,51.0,27.0,89.0,541.0,10.0,33.0,,34.0,112.0,7.0,153.0,43.0,196.0,15.0,44.0,31.0,13.0,52.0,9.0,25.0,37.0,6.0,27.0,1.0,4.0,89.0,8.0,15.0,37.0,78.0,3.0,13.0,182.0,6.0,13.0,172.0,25.0,,,81.0,1.0,16.0,8.0,6.0,2.0,,10.0,6.0,,1.0,170.0,534,7.0,16.0,0.30711610486891383,0.30943396226415093,0.8913043478260869,0.3898305084745763,0.5789473684210527,0.4090909090909091,0.39655172413793105,0.4708994708994709,0.43137254901960786,0.41904761904761906,0.4905109489051095,0.55,0.452755905511811,0.5329815303430079,0.564935064935065,0.5345911949685535,0.17226277372262774,0.00847457627118644,0.054673721340388004,0.13966480446927373,0.046511627906976744,,,0.011494252873563218,25.427799459621735,0.5842696629213483,0.08333333333333333,,0.10408921933085502,0.030054644808743168,0.10897435897435898,0.03134796238244514,0.10518731988472622,0.030345800988002825,0.059574468085106386,0.03571428571428571,0.014414414414414415,0.025252525252525252,0.04132231404958678,0.07492795389048991,0.10702341137123746,0.12558139534883722,0.09865470852017937,0.1348314606741573,0.04491017964071856,0.6,0.2613138686131387,0.5642458100558659,0.6558441558441559,0.3564356435643564,0.18832116788321168,0.3798449612403101,0.3983739837398374,0.1836734693877551,0.3781021897810219,0.4517374517374517,0.4517374517374517,0.3162393162393162,0.04525547445255475,0.4838709677419355,0.4838709677419355,1.0,0.12700729927007298,0.3563218390804598,0.36046511627906974,0.8387096774193549,0.4,0.42857142857142855,0.5,0.07142857142857142,0.8,1.0,0.2,0.5,0.8571428571428571,0.2992125984251969,0.4473684210526316,0.031496062992125984,0.5,0.14173228346456693,0.3888888888888889,0.4335766423357664,0.36470588235294116,0.47053748169838944,0.49443518518518526,0.4555356,0.1105121293800539,0.13001605136436598,0.008403361344537815,0.10767326732673267,0.2103960396039604,10.63615520282187,24.95,0.18350515463917524,,2.0,1.0,1.0,1.0,,True,
200771,1610612757,Sergio Rodriguez,Sergio Rodriguez,200771,POR,10582.0,176,-17.0,327,326,102,90,49,653,6.0,15,1.0,2.0,2.0,7.0,5.0,13.0,3.0,18.0,2.0,3.0,,,,,2.0,10.0,,,,2.0,14,46,4.0,13.0,6.0,46,335,1.0,7.0,,,,2.0,3.0,13.0,,2.0,,6.0,4.0,24.0,12.0,,,2.0,8.0,2.0,6.0,,22.0,5.0,27.0,2.0,3.0,6.0,3.0,13.0,59.0,,5.0,,2.0,9.0,1.0,12.0,5.0,17.0,2.0,12.0,10.0,2.0,4.0,4.0,2.0,10.0,2.0,2.0,2.0,2.0,14.0,2.0,4.0,5.0,11.0,,,9.0,,1.0,9.0,1.0,,,5.0,,,,,,,,,,,6.0,102,,,0.14285714285714285,0.14285714285714285,1.0,0.3076923076923077,,,0.36363636363636365,0.30434782608695654,0.14285714285714285,0.23076923076923078,0.3389830508474576,0.14285714285714285,0.2,0.36507936507936506,0.14285714285714285,0.2,0.22033898305084745,,0.13043478260869565,0.2,0.07692307692307693,0.1111111111111111,,,20.104438642297648,0.2857142857142857,0.125,,0.08108108108108109,0.03816793893129771,0.043478260869565216,,0.07006369426751592,0.030864197530864196,0.024390243902439025,0.08333333333333333,0.030303030303030304,,,0.02564102564102564,0.15384615384615385,0.08695652173913043,0.06451612903225806,,0.0625,,0.2542372881355932,0.4,0.5,,0.22033898305084745,0.38461538461538464,0.4166666666666667,,0.3050847457627119,0.16666666666666666,0.1875,0.6666666666666666,0.05084745762711865,0.6666666666666666,0.6666666666666666,1.0,0.1694915254237288,0.2,0.2,1.0,0.2857142857142857,0.5,,,,,,,,0.4666666666666667,0.2857142857142857,,,0.13333333333333333,,0.4745762711864407,0.25,0.4628131578947368,0.4204666666666666,0.49044615384615386,0.07936507936507936,0.1,,0.043478260869565216,0.13043478260869565,10.328260869565218,30.153846153846153,0.3119266055045872,,,,,,,True,
201192,1610612757,Taurean Green,Taurean Green,201192,POR,1689.0,28,14.0,57,59,35,42,12,116,1.0,1,,,1.0,1.0,,,1.0,2.0,,,,,,,1.0,6.0,,,1.0,3.0,2,3,1.0,6.0,6.0,13,53,,,,,,,2.0,3.0,1.0,3.0,4.0,11.0,,4.0,,3.0,,,6.0,1.0,,,4.0,1.0,5.0,1.0,,3.0,,1.0,11.0,,,,2.0,2.0,,4.0,,4.0,,,,,5.0,1.0,3.0,2.0,,2.0,,,7.0,,3.0,,,,,4.0,,1.0,6.0,,,,3.0,,,,,,,,,,,11.0,35,,,,,,0.16666666666666666,,0.3333333333333333,0.16666666666666666,0.6666666666666666,,0.6666666666666666,0.3888888888888889,,0.5833333333333334,0.5416666666666666,,0.6875,0.6666666666666666,,,,,,,,27.142857142857146,0.7142857142857143,,,0.10526315789473684,,0.3333333333333333,,0.16,,,,,,,0.25,,0.09090909090909091,0.3333333333333333,0.3333333333333333,,,0.1111111111111111,1.0,1.0,,,,,,0.2222222222222222,0.5,0.5,,,,,,0.6666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,,,,,0.16666666666666666,1.0,,,0.5,0.3333333333333333,0.7777777777777778,0.16666666666666666,0.4672222222222222,,0.46670833333333334,0.25,0.5,,,0.8461538461538461,12.966666666666667,25.633333333333336,0.6140350877192983,,,,,,,True,
