EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,BlockedAtRim,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChancePointsPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,Fg3aBlocked,LongMidRangeAssists,FTOffRebounds,Charge Fouls Drawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,HeaveAttempts,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,BlockedLongMidRange,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,HeaveMakes,OffensiveGoaltends,3SecondViolations,on,Clear Path Fouls
1627215,1610612740,Walter Lemon Jr.,Walter Lemon Jr.,1627215,NOP,1987.0,33,-13.0,70,72,10.0,18,5.0,142,4.0,10.0,2.0,2.0,4.0,1.0,1.0,1.0,6.0,15.0,1.0,1.0,2.0,17.0,93,1.0,1.0,3.0,1.0,3.0,4.0,8.0,3.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,10.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.4,0.3333333333333333,0.46875,0.3333333333333333,0.5,0.375,0.0625,0.26666666666666666,0.3,0.25,25.675675675675677,0.5,0.11764705882352941,0.08,0.3333333333333333,1.0,0.625,0.4,0.5714285714285714,0.5,0.25,0.5,0.6666666666666666,0.0625,0.0625,1.0,1.0,1.0,0.6666666666666666,0.6875,1.0,0.4858656250000001,0.2827,0.40123333333333333,0.11764705882352941,0.125,0.17647058823529413,4.38,25.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1627767,1610612740,Cheick Diallo,Cheick Diallo,1627767,NOP,22945.0,382,-73.0,782,797,218.0,258,69.0,1579,49.0,66.0,15.0,16.0,35.0,21.0,,,70.0,122.0,,,38.0,178.0,911,24.0,17.0,34.0,8.0,42.0,114.0,26.0,,,,11.0,7.0,6.0,13.0,5.0,1.0,5.0,2.0,32.0,60.0,116.0,144.0,5.0,3.0,10.0,15.0,,26.0,47.0,37.0,1.0,50.0,9.0,29.0,17.0,4.0,17.0,10.0,42.0,218.0,,0.8142857142857143,0.890625,,,,0.5737704918032787,0.5,0.5737704918032787,0.5,0.6267605633802817,0.5384615384615384,,0.09016393442622951,0.09090909090909091,0.14285714285714285,18.213457076566126,0.3333333333333333,0.2553191489361702,0.272,0.18072289156626506,0.5882352941176471,0.5409836065573771,0.7424242424242424,0.8166666666666667,0.8367346938775511,0.28688524590163933,0.45714285714285713,0.5333333333333333,0.1721311475409836,,,,,0.4411764705882353,0.5409836065573771,,0.5239286885245902,0.5555125000000001,0.4903499999999999,0.20422535211267606,0.20422535211267606,0.23595505617977527,6.41639344262295,,0.27877237851662406,9.0,13.0,11.0,5.0,11.0,9.0,31.0,12.0,11.0,17.0,42.0,14.0,28.0,1.0,9.0,6.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,7.0,4.0,2.0,1.0,13.0,2.0,2.0,0.4583333333333333,0.4583333333333333,0.5535714285714286,0.4666666666666667,0.07488986784140969,0.3,0.08527131782945736,0.07865168539325842,0.06451612903225806,0.09411764705882353,0.0625,0.057692307692307696,0.2,0.2962962962962963,0.29577464788732394,0.3157894736842105,0.23076923076923078,0.024390243902439025,0.6875,0.23809523809523808,0.23809523809523808,1.0,0.5416666666666666,0.6923076923076923,0.3333333333333333,0.7333333333333333,0.17415730337078653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
202703,1610612740,Nikola Mirotic,Nikola Mirotic,202703,NOP,27657.0,461,-26.0,968,979,216.0,255,104.0,1947,35.0,51.0,5.0,12.0,27.0,30.0,29.0,86.0,58.0,108.0,34.0,104.0,22.0,240.0,1109,20.0,11.0,23.0,2.0,39.0,74.0,42.0,96.0,86.0,29.0,4.0,18.0,8.0,26.0,7.0,1.0,11.0,4.0,60.0,56.0,115.0,138.0,10.0,5.0,6.0,16.0,,19.0,32.0,39.0,,27.0,3.0,13.0,13.0,3.0,14.0,7.0,39.0,213.0,1.0,0.6379310344827587,0.6851851851851852,0.9411764705882353,0.3269230769230769,0.3269230769230769,0.5370370370370371,0.4782608695652174,0.5141509433962265,0.44047619047619047,0.5357142857142857,0.4431818181818182,0.49056603773584906,0.037037037037037035,0.0392156862745098,0.037037037037037035,22.1606648199446,0.625,0.19377162629757785,0.2149122807017544,0.15,0.5,0.24056603773584906,0.6862745098039216,0.7142857142857143,0.7428571428571429,0.12735849056603774,0.4444444444444444,0.46153846153846156,0.14150943396226415,0.4056603773584906,0.3372093023255814,0.3411764705882353,0.9310344827586207,0.11904761904761904,0.7311320754716981,0.3372093023255814,0.5299075471698113,0.5573724999999999,0.48430476190476185,0.05855855855855856,0.11016949152542373,0.1625,7.988888888888888,25.610576923076927,0.2231404958677686,9.0,16.0,4.0,11.0,11.0,4.0,38.0,8.0,7.0,15.0,42.0,17.0,23.0,2.0,17.0,13.0,4.0,3.0,5.0,2.0,2.0,1.0,,,1.0,3.0,1.0,,10.0,,,0.55,0.6538461538461539,0.6551724137931034,0.6538461538461539,0.05639097744360902,0.25149700598802394,0.03723404255319149,0.048458149779735685,0.08602150537634409,0.052083333333333336,0.025974025974025976,0.02702702702702703,0.075,0.1509433962264151,0.30120481927710846,0.2624113475177305,0.19230769230769232,0.017543859649122806,0.5,0.36666666666666664,0.3793103448275862,0.45454545454545453,0.6153846153846154,0.5625,0.3333333333333333,0.8,0.15833333333333333,5.0,18.0,1.0,1.0,1.0,3.0,3.0,5.0,4.0,16.0,4.0,6.0,5.0,19.0,6.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.6666666666666666,0.2631578947368421,0.009615384615384616,0.03333333333333333,0.011627906976744186,0.0625,0.08490566037735849,0.2777777777777778,0.2777777777777778,1.0,0.038461538461538464,1.0,1.0,0.19230769230769232,0.6,1.0,0.07142857142857142,0.3333333333333333,0.38095238095238093,0.25,,,,,,,,,,,,,True,
203121,1610612740,Darius Miller,Darius Miller,203121,NOP,116663.0,1944,-20.0,4022,4043,1218.0,1275,358.0,8065,9.0,15.0,4.0,16.0,35.0,79.0,106.0,281.0,69.0,129.0,147.0,358.0,58.0,637.0,4493,8.0,26.0,42.0,19.0,161.0,82.0,56.0,423.0,280.0,106.0,3.0,72.0,39.0,111.0,28.0,11.0,46.0,15.0,261.0,91.0,146.0,164.0,38.0,25.0,19.0,57.0,8.0,93.0,160.0,45.0,5.0,67.0,1.0,9.0,15.0,2.0,17.0,11.0,156.0,1204.0,14.0,0.5942028985507246,0.6029411764705882,0.9591836734693877,0.4106145251396648,0.4117647058823529,0.5348837209302325,0.6190476190476191,0.5944558521560575,0.5590551181102362,0.6210629921259843,0.585820895522388,0.7351129363449692,0.023255813953488372,0.2,,12.753950338600452,0.6666666666666666,0.07996485061511424,0.07555089192025184,0.06615776081424936,0.6470588235294118,0.030800821355236138,0.6,0.75,0.4444444444444444,0.07186858316221766,0.45714285714285713,0.45714285714285713,0.162217659137577,0.5770020533880903,0.37722419928825623,0.381294964028777,0.9528301886792453,0.031496062992125984,0.7659137577002053,0.37857142857142856,0.5071682098765433,0.5077117647058822,0.47988095238095235,0.051587301587301584,0.06569343065693431,0.25274725274725274,14.158139534883723,25.425418994413402,0.30283441074092493,1.0,2.0,2.0,44.0,4.0,4.0,18.0,2.0,8.0,9.0,53.0,2.0,18.0,7.0,28.0,13.0,15.0,4.0,13.0,5.0,18.0,5.0,1.0,7.0,3.0,4.0,,7.0,11.0,1.0,,0.5,0.30434782608695654,0.375,0.01694915254237288,0.008763388510223954,0.06901041666666667,0.011019283746556474,0.009697661152310326,0.010582010582010581,0.011594202898550725,0.003289473684210526,0.012367491166077738,0.00625,0.08056872037914692,0.09597523219814241,0.07108239095315025,0.06040268456375839,0.027237354085603113,0.5625,0.5569620253164557,0.5569620253164557,0.6363636363636364,0.08695652173913043,0.5,,0.5,0.0282574568288854,41.0,77.0,,3.0,8.0,18.0,2.0,12.0,22.0,67.0,2.0,15.0,30.0,85.0,18.0,4.0,11.0,1.0,,4.0,2.0,1.0,1.0,0.13333333333333333,0.35294117647058826,0.0111731843575419,,0.010676156583629894,0.010526315789473684,0.15811088295687886,0.5324675324675324,0.5394736842105263,0.975609756097561,0.13043478260869565,,,0.5217391304347826,0.16666666666666666,1.0,0.14173228346456693,0.4444444444444444,0.5275590551181102,0.3283582089552239,1.0,2.0,3.0,8.0,17.0,1.0,2.0,0.012987012987012988,0.04632152588555858,,,,True,
203546,1610612740,Ian Clark,Ian Clark,203546,NOP,56820.0,947,-73.0,1950,1956,541.0,589,168.0,3906,47.0,70.0,15.0,38.0,78.0,67.0,25.0,89.0,119.0,215.0,37.0,124.0,32.0,381.0,2188,10.0,25.0,48.0,14.0,94.0,132.0,106.0,87.0,87.0,25.0,16.0,41.0,22.0,63.0,21.0,1.0,28.0,5.0,148.0,47.0,76.0,81.0,22.0,17.0,11.0,33.0,3.0,40.0,84.0,40.0,6.0,42.0,3.0,14.0,7.0,3.0,8.0,3.0,90.0,538.0,8.0,0.5546218487394958,0.5641025641025641,0.7837837837837838,0.29838709677419356,0.30327868852459017,0.5534883720930233,0.5208333333333334,0.5147492625368731,0.47619047619047616,0.5268361581920904,0.5,0.36578171091445427,0.07441860465116279,0.12857142857142856,0.07692307692307693,18.117977528089888,0.6666666666666666,0.07925801011804384,0.08093716719914804,0.0784313725490196,0.375,0.20648967551622419,0.6714285714285714,0.7704918032786885,0.723404255319149,0.23008849557522124,0.48717948717948717,0.5277777777777778,0.1976401179941003,0.26253687315634217,0.2808988764044944,0.28735632183908044,0.68,0.17857142857142858,0.5722713864306784,0.28735632183908044,0.48917121661721064,0.50615625,0.48030304878048774,0.04,0.061946902654867256,0.24671916010498687,9.399534883720932,25.973387096774196,0.2774358974358974,3.0,5.0,10.0,34.0,5.0,2.0,21.0,4.0,3.0,2.0,29.0,,5.0,1.0,15.0,10.0,5.0,4.0,5.0,,9.0,1.0,,2.0,1.0,3.0,2.0,9.0,4.0,,,0.5,0.4318181818181818,0.45454545454545453,,0.0039447731755424065,0.0838150289017341,0.008595988538681949,0.005841121495327103,0.005747126436781609,,0.006369426751592357,0.007067137809187279,0.015151515151515152,0.06334841628959276,0.10119047619047619,0.075,0.12121212121212122,0.00625,0.47368421052631576,0.5074626865671642,0.5151515151515151,0.4117647058823529,0.22727272727272727,0.6,0.6666666666666666,0.6666666666666666,0.05511811023622047,12.0,35.0,,3.0,2.0,8.0,3.0,9.0,8.0,28.0,3.0,12.0,10.0,36.0,24.0,2.0,8.0,,1.0,4.0,1.0,1.0,2.0,0.25,0.2777777777777778,0.016129032258064516,0.014925373134328358,0.02247191011235955,,0.10324483775811209,0.34285714285714286,0.34285714285714286,1.0,0.13636363636363635,,,0.4090909090909091,0.3333333333333333,1.0,0.09523809523809523,0.25,0.3333333333333333,0.2857142857142857,2.0,3.0,3.0,,,,,,,,,,True,
202732,1610612740,DeAndre Liggins,DeAndre Liggins,202732,NOP,9644.0,161,-37.0,330,336,96.0,104,21.0,666,3.0,7.0,3.0,1.0,2.0,7.0,5.0,6.0,7.0,16.0,6.0,10.0,,32.0,389,2.0,2.0,5.0,,13.0,4.0,10.0,18.0,6.0,5.0,4.0,9.0,6.0,15.0,5.0,1.0,8.0,,36.0,8.0,15.0,15.0,3.0,,2.0,5.0,,7.0,15.0,1.0,1.0,,,,2.0,2.0,2.0,1.0,13.0,95.0,3.0,0.2857142857142857,0.2857142857142857,1.0,0.6,0.6,0.4375,0.4,0.6153846153846154,0.65,0.6153846153846154,0.65,0.38461538461538464,0.25,0.42857142857142855,0.5,8.659217877094973,0.6,0.09195402298850575,0.1048951048951049,0.047619047619047616,0.5,0.2692307692307692,0.42857142857142855,0.75,0.3333333333333333,0.07692307692307693,0.5,1.0,0.2692307692307692,0.23076923076923078,0.8333333333333334,0.8333333333333334,1.0,0.3,0.6538461538461539,0.8333333333333334,0.47365961538461543,0.3736,0.47830000000000006,,,0.40625,10.899999999999999,24.369999999999997,0.2909090909090909,,2.0,1.0,3.0,,,,,,,7.0,,,,7.0,6.0,1.0,2.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,0.125,,,,,,,,0.1111111111111111,0.09523809523809523,0.11904761904761904,0.14285714285714285,,,0.42857142857142855,0.42857142857142855,0.3333333333333333,1.0,,,0.3333333333333333,,1.0,4.0,,,,1.0,,,3.0,4.0,,,3.0,5.0,,,1.0,,,,,,,,0.6,,,,,0.15384615384615385,0.25,0.25,1.0,,,,,,,0.1,,0.4,0.75,,,,,,,,,,,,,True,
203076,1610612740,Anthony Davis,Anthony Davis,203076,NOP,60805.0,1013,59.0,2133,2139,712.0,733,193.0,4272,177.0,247.0,81.0,65.0,145.0,128.0,21.0,66.0,287.0,520.0,22.0,72.0,211.0,851.0,2333,79.0,95.0,165.0,101.0,321.0,382.0,192.0,60.0,60.0,20.0,22.0,47.0,41.0,88.0,28.0,13.0,24.0,16.0,217.0,145.0,265.0,344.0,37.0,16.0,41.0,78.0,4.0,47.0,76.0,219.0,4.0,251.0,33.0,106.0,70.0,29.0,73.0,45.0,317.0,701.0,6.0,0.6655052264808362,0.7490196078431373,0.9090909090909091,0.3055555555555556,0.31343283582089554,0.551923076923077,0.5757575757575758,0.5405405405405406,0.5759162303664922,0.6067335243553008,0.6557377049180327,0.12162162162162163,0.04230769230769231,0.06477732793522267,0.034482758620689655,33.11965811965812,0.47435897435897434,0.24126455906821964,0.23973256924546324,0.245,0.6164383561643836,0.4172297297297297,0.7165991902834008,0.7662337662337663,0.7231638418079096,0.24493243243243243,0.4482758620689655,0.4642857142857143,0.21621621621621623,0.11148648648648649,0.3181818181818182,0.3181818181818182,0.9047619047619048,0.42408376963350786,0.5388513513513513,0.3333333333333333,0.5089654173764905,0.601153125,0.5125914893617021,0.1593984962406015,0.178752107925801,0.3772032902467685,7.626153846153847,27.327777777777783,0.3338021565869667,42.0,63.0,60.0,45.0,50.0,28.0,131.0,64.0,26.0,52.0,106.0,14.0,79.0,14.0,48.0,32.0,16.0,11.0,21.0,4.0,27.0,2.0,6.0,,9.0,20.0,3.0,7.0,38.0,2.0,,0.6329113924050633,0.6204819277108434,0.6842105263157895,0.22950819672131148,0.0920353982300885,0.23766816143497757,0.07323943661971831,0.08478260869565217,0.15384615384615385,0.06372549019607843,0.05421686746987952,0.06818181818181818,0.08791208791208792,0.2672413793103448,0.20118343195266272,0.24863387978142076,0.1875,0.0546875,0.6,0.3515625,0.3543307086614173,0.5333333333333333,0.7590361445783133,0.6666666666666666,0.2619047619047619,0.7407407407407407,0.15393654524089306,1.0,6.0,1.0,2.0,1.0,2.0,,2.0,9.0,24.0,1.0,4.0,10.0,26.0,6.0,,7.0,1.0,5.0,33.0,3.0,1.0,33.0,0.25,0.38461538461538464,,0.0078125,,0.02040816326530612,0.010135135135135136,0.16666666666666666,0.16666666666666666,1.0,0.024096385542168676,0.5,1.0,0.024096385542168676,,,0.010471204188481676,0.5,0.1256544502617801,0.375,5.0,4.0,,,,2.0,3.0,,,1.0,2.0,4.0,True,
201950,1610612740,Jrue Holiday,Jrue Holiday,201950,NOP,67189.0,1120,160.0,2345,2345,789.0,826,211.0,4690,121.0,193.0,59.0,67.0,130.0,75.0,44.0,119.0,224.0,398.0,53.0,145.0,99.0,706.0,2536,24.0,73.0,132.0,55.0,258.0,114.0,334.0,120.0,117.0,44.0,23.0,132.0,75.0,207.0,50.0,25.0,90.0,26.0,489.0,57.0,120.0,153.0,62.0,44.0,29.0,91.0,4.0,43.0,90.0,115.0,6.0,123.0,11.0,39.0,22.0,6.0,23.0,14.0,254.0,775.0,17.0,0.2544642857142857,0.25675675675675674,0.7547169811320755,0.36551724137931035,0.3706293706293706,0.5628140703517588,0.553030303030303,0.5589318600368324,0.5638888888888889,0.5889261744966443,0.6061320754716981,0.26703499079189685,0.05778894472361809,0.07253886010362694,0.05384615384615385,26.58668730650155,0.6813186813186813,0.08976377952755905,0.10329474621549421,0.06796116504854369,0.6086956521739131,0.35543278084714547,0.6269430051813472,0.6759776536312849,0.3305785123966942,0.23941068139963168,0.5153846153846153,0.5447154471544715,0.13812154696132597,0.21915285451197053,0.3697478991596639,0.3697478991596639,0.7727272727272727,0.3277777777777778,0.6224677716390423,0.37606837606837606,0.5072367592592594,0.5259263157894737,0.4908980337078652,0.06993006993006994,0.09154929577464789,0.3654390934844193,6.852763819095478,25.829655172413794,0.33646055437100214,7.0,14.0,37.0,36.0,13.0,4.0,48.0,4.0,14.0,18.0,59.0,4.0,33.0,8.0,53.0,30.0,23.0,11.0,18.0,2.0,28.0,,1.0,2.0,4.0,2.0,2.0,5.0,13.0,,,0.5416666666666666,0.6470588235294118,0.6527777777777778,0.0625,0.03076923076923077,0.12090163934426229,0.034229828850855744,0.03219315895372234,0.04564315352697095,0.031578947368421054,0.006493506493506494,0.034375,0.033707865168539325,0.10300429184549356,0.09693877551020408,0.11855670103092783,0.13,0.03375527426160337,0.19402985074626866,0.48,0.4931506849315068,0.1111111111111111,0.4117647058823529,0.5,0.5714285714285714,0.6271186440677966,0.0679886685552408,9.0,26.0,2.0,4.0,4.0,4.0,4.0,6.0,15.0,44.0,6.0,10.0,19.0,48.0,39.0,,16.0,1.0,2.0,24.0,1.0,1.0,20.0,0.6,0.3958333333333333,,0.02666666666666667,,0.01818181818181818,0.04788213627992634,0.34615384615384615,0.34615384615384615,0.6666666666666666,0.11764705882352941,0.5,0.5,0.17647058823529413,0.6666666666666666,1.0,0.022222222222222223,1.0,0.24444444444444444,0.3409090909090909,2.0,8.0,,,1.0,,3.0,,0.00684931506849315,,,,True,
2731,1610612740,Emeka Okafor,Emeka Okafor,2731,NOP,6149.0,102,-11.0,214,217,67.0,89,28.0,431,11.0,15.0,3.0,2.0,8.0,6.0,,,16.0,29.0,,,14.0,46.0,241,10.0,3.0,7.0,5.0,11.0,24.0,8.0,,,,,,2.0,2.0,2.0,,,,6.0,9.0,20.0,34.0,1.0,1.0,3.0,4.0,,3.0,7.0,11.0,,16.0,2.0,9.0,8.0,3.0,8.0,3.0,11.0,67.0,1.0,0.75,0.9230769230769231,,,,0.5517241379310345,0.42857142857142855,0.5517241379310345,0.42857142857142855,0.6388888888888888,0.6111111111111112,,,,,16.129032258064516,0.25,0.11392405063291139,0.1565217391304348,0.037037037037037035,0.375,0.5172413793103449,0.7333333333333333,0.7333333333333333,0.6363636363636364,0.27586206896551724,0.25,0.25,0.20689655172413793,,,,,0.42857142857142855,0.5172413793103449,,0.5755586206896552,0.6504624999999999,0.5653428571428571,0.25,0.25,0.2391304347826087,6.300000000000001,,0.3130841121495327,5.0,7.0,2.0,3.0,5.0,,10.0,6.0,4.0,10.0,9.0,2.0,14.0,,1.0,1.0,,,,1.0,2.0,,,2.0,1.0,,,,5.0,,,0.5,0.5,0.5,0.4,0.125,0.25,0.12121212121212122,0.12389380530973451,0.16,0.13793103448275862,0.07692307692307693,0.10344827586206896,0.25,0.14285714285714285,0.16666666666666666,0.2413793103448276,0.2857142857142857,,1.0,0.5,0.5,1.0,0.7,0.7142857142857143,0.2,0.6666666666666666,0.21739130434782608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,True,
1627883,1610612740,Jalen Jones,Jalen Jones,1627883,NOP,454.0,8,2.0,16,16,12.0,16,3.0,32,,1.0,,,1.0,,,,,2.0,,,2.0,2.0,17,,,1.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,,2.0,,1.0,,,,,2.0,12.0,,,,,,,,,,,0.3333333333333333,0.5,,,,,13.636363636363637,,1.0,0.6666666666666666,1.0,,0.5,,,,0.5,,,,,,,,,0.5,,0.6055,,0.4068,0.3333333333333333,0.3333333333333333,1.0,2.9499999999999997,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
