EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,Fouls,FTA,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Assisted3sPct,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsPutbacks,HeaveAttempts,LostBallSteals,LostBallOutOfBoundsTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,DefensiveGoaltends,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,Loose Ball Fouls Drawn,Offensive Fouls,SecondChanceAtRimPctAssisted,LongMidRangeFGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,SecondChanceFg3Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTDefRebounds,Charge Fouls Drawn,DefFTReboundPct,BlockingFouls,Charge Fouls,BlockingFoulsDrawn,OffLongMidRangeReboundPct,on,FTOffRebounds,SecondChanceTurnovers,BlockedLongMidRange,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceCorner3FGM,Fg3aBlocked,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Corner3PctBlocked,3SecondViolations,OffensiveGoaltends
1626143,1610612751,Jahlil Okafor,Jahlil Okafor,1626143,BKN,2112.0,35,-22.0,66.0,69,9.0,7.0,5.0,135,4.0,4.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,12.0,1.0,1.0,17.0,75.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,10.0,3.0,1.0,2.0,3.0,5.0,5.0,4.0,5.0,9.0,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.5833333333333334,1.0,1.0,0.6538461538461539,1.0,1.25,0.6538461538461539,1.0,1.25,0.07692307692307693,0.08333333333333333,0.14285714285714285,18.055555555555557,0.16666666666666666,0.18181818181818182,0.1724137931034483,0.375,0.2222222222222222,0.3076923076923077,1.0,1.0,0.5,0.5384615384615384,0.42857142857142855,0.5,0.07692307692307693,0.07692307692307693,1.0,1.0,0.5,1.0,0.5,1.0,0.38461538461538464,0.42573076923076925,0.3635,0.54675,0.11764705882352941,0.29411764705882354,6.2749999999999995,22.2,0.13636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1627747,1610612751,Caris LeVert,Caris LeVert,1627747,BKN,3650.0,61,-18.0,124.0,128,33.0,32.0,12.0,252,7.0,15.0,2.0,4.0,,2.0,2.0,1.0,1.0,1.0,1.0,7.0,19.0,6.0,10.0,35.0,144.0,,2.0,,2.0,4.0,3.0,3.0,14.0,2.0,12.0,9.0,1.0,3.0,3.0,6.0,8.0,4.0,14.0,33.0,0.14285714285714285,0.14285714285714285,0.6,1.0,0.6,0.3684210526315789,,0.5,0.5517241379310345,,0.9285714285714286,0.5645161290322581,,1.0,0.3448275862068966,0.05263157894736842,,27.00729927007299,0.1,0.125,0.1111111111111111,0.18181818181818182,0.1111111111111111,0.5172413793103449,0.4666666666666667,0.5,0.14285714285714285,0.06896551724137931,,,0.06896551724137931,0.034482758620689655,1.0,1.0,0.5714285714285714,0.5,0.14285714285714285,1.0,0.8620689655172413,0.5818258620689655,0.6224,0.5837000000000001,,0.4,3.5105263157894733,25.05,0.2661290322580645,2.0,5.0,9.0,2.0,2.0,3.0,1.0,9.0,9.0,5.0,5.0,6.0,11.0,5.0,1.0,4.0,1.0,28.0,2.0,2.0,1.0,3.0,3.0,5.0,3.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.06666666666666667,0.7142857142857143,0.0625,0.03389830508474576,0.058823529411764705,0.1111111111111111,0.125,0.16666666666666666,0.06666666666666667,1.0,0.3103448275862069,0.5555555555555556,0.5555555555555556,0.4,1.0,0.2857142857142857,1.0,0.5555555555555556,0.06666666666666667,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1628495,1610612751,Milton Doyle,Milton Doyle,1628495,BKN,7471.0,125,-12.0,255.0,260,77.0,78.0,26.0,515,5.0,13.0,2.0,4.0,4.0,10.0,1.0,1.0,4.0,,1.0,9.0,24.0,4.0,23.0,34.0,269.0,2.0,4.0,5.0,4.0,8.0,1.0,6.0,14.0,2.0,16.0,,5.0,4.0,11.0,15.0,18.0,8.0,14.0,77.0,0.1111111111111111,0.125,0.17391304347826086,0.16666666666666666,0.18181818181818182,0.375,0.5,0.5,0.3191489361702128,0.3333333333333333,0.39285714285714285,0.34,0.4166666666666667,0.4375,0.48936170212765956,0.20833333333333334,0.2,18.118466898954704,0.15492957746478872,0.09090909090909091,0.13043478260869565,0.0967741935483871,0.09090909090909091,0.2765957446808511,0.38461538461538464,0.5,0.2,0.2127659574468085,0.4,0.5,0.02127659574468085,0.0851063829787234,0.25,0.25,0.2857142857142857,0.5,0.07142857142857142,,0.7659574468085106,0.4921902173913043,0.46635,0.45770384615384613,0.14705882352941177,0.4117647058823529,5.125000000000001,26.256521739130434,0.30196078431372547,2.0,3.0,19.0,1.0,5.0,4.0,3.0,12.0,18.0,3.0,6.0,4.0,10.0,4.0,,6.0,,24.0,3.0,3.0,1.0,6.0,4.0,1.0,1.0,1.0,,,,2.0,1.0,13.0,8.0,,3.0,,2.0,2.0,1.0,2.0,1.0,0.23076923076923078,0.5,0.043478260869565216,0.023076923076923078,0.0625,0.04,0.15789473684210525,0.09090909090909091,0.037037037037037035,1.0,0.40425531914893614,0.15789473684210525,0.15789473684210525,1.0,0.3333333333333333,0.35714285714285715,0.2,0.16666666666666666,0.0625,0.12,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,0.23809523809523808,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201967,1610612751,Dante Cunningham,Dante Cunningham,201967,BKN,2175.0,36,-3.0,72.0,71,18.0,22.0,9.0,143,4.0,8.0,1.0,3.0,1.0,2.0,,,1.0,,,5.0,10.0,,2.0,10.0,79.0,1.0,5.0,2.0,1.0,3.0,,,2.0,8.0,2.0,,1.0,4.0,4.0,8.0,13.0,,2.0,18.0,0.8,1.0,,,,0.5,0.2,0.3333333333333333,0.4166666666666667,0.2,0.3333333333333333,0.4166666666666667,0.2,0.3333333333333333,0.16666666666666666,0.1,,16.666666666666668,0.2222222222222222,0.36363636363636365,0.27586206896551724,0.2727272727272727,0.4444444444444444,0.6666666666666666,0.5,0.5714285714285714,0.75,0.16666666666666666,0.5,0.5,,0.08333333333333333,,,1.0,0.3333333333333333,,,0.8333333333333334,0.537125,0.504,0.5713333333333334,0.2,0.2,2.6700000000000004,24.049999999999997,0.25,4.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,5.0,,2.0,1.0,,,2.0,,,,2.0,,1.0,,,,,,1.0,1.0,1.0,,0.125,,0.06666666666666667,0.13157894736842105,,0.16666666666666666,0.2,,,,0.08333333333333333,,,,0.8,,,,,,,1.0,,,,2.0,,1.0,,1.0,,,,,1.0,,,,1.0,0.25,,4.0,2.0,1.0,0.17391304347826086,0.15,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
203925,1610612751,Joe Harris,Joe Harris,203925,BKN,1854.0,31,-12.0,57.0,60,13.0,19.0,4.0,117,1.0,1.0,,,,1.0,,,,,,1.0,2.0,2.0,4.0,10.0,58.0,,,,,,,2.0,2.0,,2.0,,1.0,2.0,3.0,5.0,5.0,3.0,2.0,13.0,,,0.5,,0.5,0.5,,,0.6666666666666666,,,0.7142857142857143,,0.3333333333333333,0.6666666666666666,0.5,1.0,14.285714285714286,0.16666666666666666,0.11764705882352941,0.14285714285714285,0.125,0.14285714285714285,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,,,,,,,,,0.8333333333333334,0.4893666666666667,,0.5202,,0.2,4.1,25.1,0.22807017543859648,,2.0,4.0,,2.0,2.0,2.0,6.0,4.0,2.0,1.0,1.0,2.0,1.0,,,1.0,5.0,,,,,,2.0,1.0,,1.0,,,2.0,,2.0,3.0,,2.0,,,,,,1.0,,1.0,,,,,0.25,,,,0.6666666666666666,0.5,0.5,1.0,,1.0,,0.5,0.2857142857142857,0.6666666666666666,,,,,,,,,,2.0,,,1.0,,,,,0.16666666666666666,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
202389,1610612751,Timofey Mozgov,Timofey Mozgov,202389,BKN,2045.0,34,24.0,74.0,73,12.0,19.0,10.0,147,6.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,7.0,11.0,1.0,1.0,20.0,65.0,3.0,3.0,6.0,2.0,2.0,,,4.0,10.0,4.0,,3.0,3.0,4.0,7.0,11.0,4.0,4.0,12.0,0.7142857142857143,0.8333333333333334,1.0,,1.0,0.6363636363636364,1.0,1.0,0.7083333333333334,1.0,1.0,0.7142857142857143,1.0,1.0,0.08333333333333333,0.2727272727272727,0.5,16.47058823529412,0.21052631578947367,0.17647058823529413,0.19444444444444445,0.42857142857142855,0.23076923076923078,0.6666666666666666,0.75,1.0,0.8333333333333334,0.16666666666666666,0.5,1.0,0.08333333333333333,0.08333333333333333,1.0,1.0,0.5,1.0,,,0.75,0.5421041666666667,0.6124666666666667,0.47965,0.3,0.2,4.1000000000000005,23.2,0.16216216216216217,3.0,,,,,3.0,,3.0,,,1.0,4.0,5.0,2.0,2.0,1.0,,14.0,3.0,4.0,,2.0,1.0,,,1.0,,,,1.0,,3.0,4.0,,2.0,,1.0,2.0,1.0,2.0,1.0,0.25,,0.13636363636363635,0.10810810810810811,0.18181818181818182,0.14285714285714285,,,,1.0,,,,,1.0,,,,0.15384615384615385,0.16666666666666666,,3.0,,,,2.0,,1.0,,1.0,,,1.0,1.0,2.0,,,0.16666666666666666,1.0,1.0,,1.0,,,0.06666666666666667,,0.2,,,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
203917,1610612751,Nik Stauskas,Nik Stauskas,203917,BKN,5040.0,84,-2.0,176.0,176,51.0,43.0,21.0,352,2.0,7.0,,2.0,,2.0,4.0,2.0,4.0,2.0,2.0,3.0,13.0,9.0,21.0,36.0,183.0,,,9.0,1.0,4.0,3.0,8.0,12.0,4.0,2.0,,3.0,2.0,7.0,9.0,10.0,4.0,12.0,51.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.375,0.42857142857142855,0.23076923076923078,,0.25,0.4852941176470588,1.125,0.4583333333333333,0.5,1.125,0.46153846153846156,0.6176470588235294,0.23076923076923078,0.5,19.40298507462687,0.14893617021276595,0.07407407407407407,0.12162162162162163,0.17391304347826086,0.05555555555555555,0.20588235294117646,0.2857142857142857,0.4,0.5,0.058823529411764705,,,0.11764705882352941,0.11764705882352941,0.5,0.5,0.16666666666666666,,0.16666666666666666,1.0,0.8235294117647058,0.5263955882352942,0.478125,0.5461208333333333,0.25,0.3333333333333333,8.123076923076924,25.20952380952381,0.2897727272727273,,7.0,17.0,1.0,6.0,3.0,1.0,27.0,17.0,7.0,4.0,4.0,8.0,2.0,2.0,3.0,,20.0,1.0,1.0,,1.0,1.0,3.0,2.0,,1.0,,,3.0,,1.0,5.0,,3.0,,,1.0,,1.0,1.0,0.2857142857142857,1.0,0.02040816326530612,0.010526315789473684,0.041666666666666664,,0.14285714285714285,0.1111111111111111,,1.0,0.5,0.4117647058823529,0.4117647058823529,1.0,,0.5,0.16666666666666666,0.4117647058823529,0.08333333333333333,0.2,,,3.0,4.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,0.1,1.0,,0.75,,,,,,,,,,,1.0,1.0,3.0,3.0,1.0,0.75,0.25,0.25,1.0,0.25,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
203112,1610612751,Quincy Acy,Quincy Acy,203112,BKN,5242.0,87,-16.0,180.0,185,64.0,60.0,21.0,365,4.0,6.0,1.0,1.0,,,3.0,2.0,4.0,,,6.0,9.0,3.0,12.0,24.0,201.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,10.0,10.0,2.0,,,5.0,7.0,13.0,16.0,3.0,10.0,64.0,0.8333333333333334,1.0,0.25,0.5,0.25,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,0.7,0.5217391304347826,1.0,0.7142857142857143,0.5714285714285714,,,12.682926829268293,0.14,0.16666666666666666,0.15,0.08333333333333333,0.18181818181818182,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.75,,,,0.14285714285714285,0.19047619047619047,0.5,0.5,0.2,1.0,,,0.8571428571428571,0.5381619047619047,0.5673,0.47307,0.08333333333333333,0.4166666666666667,6.5888888888888895,24.900000000000006,0.35555555555555557,1.0,1.0,8.0,1.0,2.0,3.0,3.0,9.0,8.0,1.0,1.0,1.0,2.0,1.0,,,1.0,5.0,3.0,3.0,,5.0,2.0,1.0,1.0,2.0,,1.0,,3.0,2.0,8.0,4.0,,2.0,,,2.0,,2.0,1.0,,0.3333333333333333,0.0625,0.03260869565217391,0.04,0.11764705882352941,0.3333333333333333,0.125,,1.0,0.38095238095238093,0.125,0.125,1.0,1.0,0.4,0.5,0.125,0.08695652173913043,0.18181818181818182,,1.0,,,,2.0,,3.0,,2.0,3.0,,,2.0,2.0,1.0,,0.07142857142857142,1.0,1.0,,,1.0,,,,,,,,,2.0,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,1.0,1.0,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,
203915,1610612751,Spencer Dinwiddie,Spencer Dinwiddie,203915,BKN,2511.0,42,-2.0,89.0,88,30.0,45.0,6.0,177,2.0,2.0,1.0,1.0,1.0,4.0,,,2.0,,,3.0,6.0,3.0,13.0,24.0,90.0,1.0,2.0,5.0,1.0,3.0,1.0,4.0,7.0,2.0,4.0,3.0,,1.0,1.0,2.0,2.0,7.0,7.0,30.0,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.25,0.23076923076923078,0.5,0.5,0.3333333333333333,0.39473684210526316,0.8333333333333334,0.35714285714285715,0.5,0.8333333333333334,0.4375,0.6842105263157895,,,30.927835051546392,0.04,0.1,0.05714285714285714,0.08333333333333333,0.1111111111111111,0.10526315789473684,1.0,1.0,0.5,0.21052631578947367,0.25,0.25,,0.10526315789473684,,,0.14285714285714285,1.0,,,0.7894736842105263,0.48170526315789475,0.387,0.5064785714285713,0.20833333333333334,0.2916666666666667,4.166666666666667,26.707692307692305,0.33707865168539325,,3.0,11.0,1.0,4.0,9.0,2.0,6.0,11.0,3.0,8.0,7.0,15.0,6.0,1.0,6.0,,37.0,,,,,,3.0,2.0,3.0,1.0,,,6.0,4.0,3.0,11.0,,4.0,1.0,,,,,0.6666666666666666,,0.5,,,,,,,,,0.5789473684210527,0.2727272727272727,0.2727272727272727,0.6666666666666666,,0.5714285714285714,0.25,0.2727272727272727,0.20833333333333334,0.4,0.07142857142857142,,1.0,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,
203459,1610612751,Allen Crabbe,Allen Crabbe,203459,BKN,1188.0,20,21.0,40.0,39,18.0,17.0,4.0,79,,,,,,2.0,1.0,,,,,,3.0,6.0,7.0,19.0,35.0,,,6.0,,1.0,3.0,3.0,9.0,,,,1.0,,4.0,4.0,4.0,1.0,9.0,18.0,,,0.8571428571428571,1.0,0.8571428571428571,,,,0.9,1.5,1.125,0.8636363636363636,1.5,1.125,0.7,0.3333333333333333,0.5,26.666666666666664,0.25,,0.19047619047619047,0.3333333333333333,,,,,,0.2,,,0.1,,,,,,,,0.7,0.459905,0.46575,0.47240000000000004,0.3157894736842105,0.47368421052631576,13.9,27.128571428571426,0.45,,6.0,7.0,3.0,3.0,1.0,,18.0,7.0,6.0,1.0,1.0,2.0,1.0,,1.0,,5.0,,,,,,1.0,1.0,,,,,1.0,,1.0,2.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,0.7,0.8571428571428571,0.8571428571428571,1.0,,0.75,1.0,0.8571428571428571,0.09090909090909091,0.25,,,2.0,2.0,,,,,,1.0,,,,,,,,0.25,,,1.0,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,1.0,1.0,,,,,,1.0,,True,,,,,,,,,,,,,,,,,,,,
