EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,TwoPtAssists,Assists,AtRimAssists,AssistPoints,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Usage,LiveBallTurnoverPct,BlocksRecoveredPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,BlockedShortMidRange,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,Arc3Assists,Travels,Defensive 3 Seconds Violations,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceCorner3FGM,PtsUnassisted3s,Fg3aBlocked,ShortMidRangeAssists,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockingFouls,BlockedCorner3,BlockingFoulsDrawn,OffensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,on,Clear Path Fouls,Arc3PctBlocked
1626173,1610612749,Rashad Vaughn,Rashad Vaughn,1626173,MIL,333.0,6,-7.0,12,13,11.0,8.0,1.0,25,14,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,11.0,16.666666666666668,0.5,1.0,0.9166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1627748,1610612749,Thon Maker,Thon Maker,1627748,MIL,15957.0,266,-68.0,520,532,148.0,159.0,42.0,1052,630,9.0,10.0,8.0,21.0,4.0,2.0,6.0,3.0,10.0,,10.0,,10.0,6.0,148.0,18.101933216168717,0.4,0.6,0.2846153846153846,12.0,24.0,3.0,8.0,4.0,8.0,5.0,10.0,7.0,21.0,6.0,13.0,1.0,1.0,4.0,2.0,13.0,1.0,3.0,24.0,55.0,8.0,26.0,18.0,90.0,3.0,10.0,2.0,5.0,11.0,8.0,18.0,1.0,7.0,8.0,27.0,42.0,6.0,24.0,4.0,1.0,12.0,2.0,6.0,1.0,1.0,1.0,6.0,8.0,1.0,8.0,14.0,4.0,26.0,15.0,41.0,1.0,8.0,3.0,5.0,1.0,2.0,1.0,18.0,41.0,3.0,2.0,24.0,1.0,2.0,26.0,2.0,12.0,2.0,8.0,2.0,2.0,27.0,6.0,2.0,0.875,0.9545454545454546,1.0,0.3076923076923077,0.14285714285714285,0.32,0.43636363636363634,0.3,0.4444444444444444,0.4444444444444444,0.25,0.38,0.4838709677419355,0.36666666666666664,0.43548387096774194,0.32098765432098764,0.10909090909090909,0.25,0.4,0.07692307692307693,0.1044776119402985,0.055944055944055944,0.1038961038961039,0.06315789473684211,0.10426540284360189,0.058823529411764705,0.125,0.05263157894736842,0.06557377049180328,0.058823529411764705,0.07142857142857142,0.21875,0.0625,0.10526315789473684,0.1,0.024390243902439025,0.2962962962962963,0.5,0.6666666666666666,0.75,0.12345679012345678,0.5,0.5,1.0,0.25925925925925924,0.3333333333333333,0.3333333333333333,1.0,0.16049382716049382,0.46153846153846156,0.46153846153846156,1.0,0.16049382716049382,0.15384615384615385,0.15384615384615385,1.0,0.6666666666666666,0.375,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.32,0.5,0.16,0.25,0.12,0.6172839506172839,0.16666666666666666,0.5105525,0.5631944444444444,0.5004229166666666,0.13186813186813187,0.18461538461538463,0.12222222222222222,0.3,9.379999999999997,26.0423076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1628425,1610612749,Sterling Brown,Sterling Brown,1628425,MIL,14652.0,244,-8.0,495,494,138.0,122.0,59.0,989,518,6.0,11.0,4.0,27.0,3.0,3.0,6.0,1.0,9.0,3.0,3.0,,3.0,1.0,138.0,16.42857142857143,0.3333333333333333,0.3333333333333333,0.2787878787878788,12.0,27.0,3.0,5.0,6.0,9.0,1.0,5.0,4.0,10.0,6.0,13.0,,3.0,5.0,11.0,24.0,2.0,8.0,17.0,42.0,17.0,37.0,7.0,92.0,3.0,6.0,2.0,,9.0,6.0,10.0,6.0,13.0,2.0,32.0,20.0,14.0,51.0,,1.0,23.0,11.0,4.0,5.0,4.0,2.0,4.0,5.0,,18.0,18.0,1.0,37.0,9.0,46.0,2.0,8.0,6.0,2.0,2.0,1.0,1.0,11.0,22.0,2.0,,7.0,,1.0,8.0,,4.0,,2.0,1.0,,32.0,3.0,,0.5882352941176471,0.5882352941176471,1.0,0.4594594594594595,0.46153846153846156,0.4722222222222222,0.40476190476190477,0.5,0.6,0.5379746835443038,0.5625,0.6521739130434783,0.5542168674698795,0.5625,0.6666666666666666,0.46835443037974683,0.09523809523809523,0.07407407407407407,0.1111111111111111,,0.13333333333333333,0.03067484662576687,0.18,0.05128205128205128,0.15319148936170213,0.03734439834024896,0.015873015873015872,0.041666666666666664,0.041666666666666664,0.06666666666666667,0.078125,0.19444444444444445,0.17142857142857143,0.21333333333333335,0.08,0.05128205128205128,0.34177215189873417,0.4444444444444444,0.48,0.5833333333333334,0.06329113924050633,0.2,0.3333333333333333,,0.12658227848101267,0.4,0.4,0.75,0.16455696202531644,0.46153846153846156,0.46153846153846156,1.0,0.3037974683544304,0.4583333333333333,0.4583333333333333,1.0,0.625,0.6,0.3333333333333333,,0.25,0.391304347826087,0.6666666666666666,0.21739130434782608,0.6,0.34782608695652173,0.810126582278481,0.4782608695652174,0.538848076923077,0.5911083333333333,0.5345545454545455,0.04819277108433735,0.08695652173913043,0.09782608695652174,0.34782608695652173,6.300000000000003,26.3,1.0,3.0,1.0,1.0,2.0,1.0,0.5,0.4,0.038461538461538464,0.5,1.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,True,,
1891,1610612749,Jason Terry,Jason Terry,1891,MIL,48815.0,814,18.0,1631,1629,465.0,466.0,164.0,3260,1780,41.0,59.0,26.0,136.0,15.0,5.0,10.0,2.0,25.0,6.0,12.0,3.0,13.0,8.0,459.0,9.983452840595698,0.6,0.6153846153846154,0.2851011649294911,8.0,14.0,,,1.0,3.0,2.0,7.0,9.0,18.0,22.0,56.0,4.0,3.0,15.0,18.0,59.0,5.0,15.0,19.0,39.0,40.0,115.0,8.0,166.0,1.0,2.0,9.0,,11.0,5.0,11.0,7.0,30.0,5.0,36.0,22.0,16.0,117.0,,1.0,58.0,18.0,4.0,18.0,7.0,6.0,2.0,3.0,,21.0,22.0,,43.0,5.0,48.0,2.0,42.0,35.0,7.0,13.0,,3.0,22.0,52.0,1.0,,11.0,,1.0,9.0,,1.0,2.0,9.0,,,34.0,4.0,,0.5789473684210527,0.5789473684210527,0.975,0.34782608695652173,0.23333333333333334,0.3508771929824561,0.48717948717948717,0.5,0.45454545454545453,0.512987012987013,0.5,0.3780487804878049,0.5222929936305732,0.5,0.4069767441860465,0.7467532467532467,0.10256410256410256,0.21428571428571427,,,0.05045871559633028,0.006564551422319475,0.07692307692307693,0.007352941176470588,0.06064880112834979,0.006858710562414266,0.006097560975609756,0.015503875968992248,0.010362694300518135,,0.042328042328042326,0.038461538461538464,0.07692307692307693,0.06310679611650485,0.11940298507462686,0.022727272727272728,0.09090909090909091,0.5714285714285714,0.7272727272727273,0.625,0.045454545454545456,0.2857142857142857,0.3333333333333333,0.5,0.11688311688311688,0.5,0.5,0.5555555555555556,0.36363636363636365,0.39285714285714285,0.4,1.0,0.38311688311688313,0.3050847457627119,0.3050847457627119,0.9444444444444444,,,,0.36363636363636365,0.45454545454545453,0.07317073170731707,0.3333333333333333,0.36585365853658536,0.2,0.36585365853658536,0.8376623376623377,0.3103448275862069,0.5351692810457516,0.50651875,0.5172829268292684,0.0064516129032258064,0.025,0.06626506024096386,0.21686746987951808,10.5025641025641,24.906956521739136,1.0,4.0,3.0,11.0,2.0,,0.3333333333333333,0.14285714285714285,,0.2,1.0,0.26666666666666666,2.0,3.0,1.0,9.0,2.0,1.0,3.0,1.0,1.0,0.008695652173913044,0.017857142857142856,0.5,1.0,,,,,,,,,,,True,,
203930,1610612749,Sean Kilpatrick,Sean Kilpatrick,203930,MIL,4012.0,67,-39.0,131,136,31.0,26.0,12.0,267,157,2.0,6.0,2.0,16.0,1.0,,2.0,1.0,3.0,1.0,,,,,31.0,22.758620689655174,0.3333333333333333,,0.2366412213740458,,3.0,,,,2.0,2.0,7.0,,1.0,3.0,6.0,1.0,1.0,2.0,1.0,9.0,,1.0,2.0,11.0,4.0,15.0,9.0,25.0,1.0,1.0,1.0,,5.0,,2.0,2.0,3.0,3.0,9.0,,4.0,12.0,,,9.0,1.0,,4.0,3.0,,,1.0,,3.0,3.0,2.0,8.0,1.0,9.0,1.0,3.0,3.0,,,,1.0,3.0,4.0,,,5.0,,,9.0,,3.0,,,,,9.0,,,,,1.0,0.26666666666666666,0.6666666666666666,0.26666666666666666,0.18181818181818182,1.0,,0.3076923076923077,1.25,0.6,0.4166666666666667,1.25,0.75,0.5769230769230769,,,0.4,,0.07894736842105263,0.025,0.16666666666666666,,0.10714285714285714,0.014492753623188406,0.1,,,,0.1,0.0625,0.08333333333333333,0.14285714285714285,0.25,0.05,0.11538461538461539,,,,0.2692307692307692,0.2857142857142857,0.2857142857142857,,0.038461538461538464,,,,0.23076923076923078,0.5,0.5,1.0,0.34615384615384615,0.1111111111111111,0.1111111111111111,1.0,,,,0.5,,0.4,,0.4,0.5,0.2,0.6923076923076923,0.1111111111111111,0.4950653846153847,0.38305,0.51013,0.13333333333333333,0.21428571428571427,0.2,0.36,6.972727272727272,24.866666666666664,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0625,,,,,,,,True,,
1627762,1610612749,Joel Bolomboy,Joel Bolomboy,1627762,MIL,162.0,3,,6,6,5.0,3.0,1.0,12,4,,,,,1.0,,,1.0,1.0,1.0,,,,,5.0,33.333333333333336,1.0,,0.8333333333333334,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,0.9495,,0.9495,,,,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1627780,1610612749,Gary Payton II,Gary Payton II,1627780,MIL,162.0,3,,6,6,5.0,3.0,1.0,12,4,,,,,,,,,,,,,,,5.0,16.666666666666668,,,0.8333333333333334,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,0.6666666666666666,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,0.6024,,0.6024,,,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1628391,1610612749,D.J. Wilson,D.J. Wilson,1628391,MIL,719.0,12,-7.0,24,25,9.0,14.0,1.0,49,32,1.0,1.0,1.0,2.0,,,,,,,,,,,9.0,20.833333333333336,,,0.375,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,2.0,,2.0,2.0,3.0,1.0,2.0,,7.0,,,,,,,,1.0,2.0,,3.0,4.0,,3.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,3.0,,,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,,,0.7,,0.75,0.7,,0.75,0.4,,,,,,,,,,,,,,,,,,,,,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,,,,,,,,0.4,0.5,0.5,1.0,,,,,,,,,,1.0,0.6,0.5,0.43323,,0.488325,,,,0.42857142857142855,9.466666666666667,26.1,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,
1627850,1610612749,Marshall Plumlee,Marshall Plumlee,1627850,MIL,1451.0,24,-9.0,51,51,15.0,14.0,5.0,102,52,,1.0,,3.0,1.0,,,1.0,1.0,,,,,,15.0,5.357142857142857,1.0,,0.29411764705882354,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,2.0,,3.0,1.0,,4.0,2.0,6.0,,,,,,,,2.0,3.0,1.0,,3.0,,,2.0,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,0.75,,,,,,,,0.08333333333333333,0.11764705882352941,0.375,,0.2,0.07407407407407407,0.125,0.25,,,0.25,,,0.375,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.8879,,,0.5,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
203503,1610612749,Tony Snell,Tony Snell,203503,MIL,7496.0,125,-35.0,246,247,59.0,86.0,18.0,493,299,7.0,11.0,5.0,26.0,4.0,,,2.0,4.0,,3.0,1.0,3.0,2.0,58.0,13.157894736842104,1.0,0.6666666666666666,0.23983739837398374,5.0,8.0,,,,,1.0,1.0,1.0,3.0,2.0,6.0,,,2.0,4.0,12.0,1.0,2.0,7.0,12.0,6.0,18.0,2.0,34.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,4.0,2.0,7.0,12.0,2.0,18.0,,,12.0,4.0,1.0,4.0,2.0,1.0,,,,,5.0,1.0,6.0,,6.0,,5.0,4.0,1.0,2.0,,,4.0,7.0,1.0,,1.0,,,2.0,,1.0,,2.0,,,7.0,1.0,,0.8571428571428571,0.8571428571428571,1.0,0.3333333333333333,0.25,0.3333333333333333,0.5833333333333334,1.0,1.0,0.5333333333333333,0.5,0.5,0.5483870967741935,0.5,0.5833333333333334,0.6,0.08333333333333333,0.125,0.14285714285714285,,0.08620689655172414,,,,0.053763440860215055,,,,,,0.06896551724137931,0.17647058823529413,,,,,0.26666666666666666,0.625,0.7142857142857143,0.8,0.03333333333333333,1.0,1.0,1.0,0.1,0.3333333333333333,0.3333333333333333,1.0,0.2,0.3333333333333333,0.3333333333333333,1.0,0.4,0.3333333333333333,0.3333333333333333,1.0,,,,,0.5,,,0.4,,0.4,0.8666666666666667,0.3333333333333333,0.5326616666666667,0.4209,0.53063,0.03225806451612903,0.07692307692307693,0.058823529411764705,0.20588235294117646,6.675,25.42222222222222,,1.0,,2.0,,,,,,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,
