EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Loose Ball Fouls,3SecondViolations,Defensive 3 Seconds Violations,Loose Ball Fouls Drawn,Technical Free Throw Trips,3pt And 1 Free Throw Trips,on,Clear Path Fouls
1626192,1610612757,Pat Connaughton,Pat Connaughton,1626192,POR,89259.0,1488,142,2979,2955,834.0,946,365,5934,62,104,5.0,13.0,13.0,23.0,19.0,44.0,10.0,32.0,10.0,42.0,3.0,3.0,14.0,64.0,168.0,9.0,19.0,21.0,44.0,91,180,74.0,210.0,37.0,441,3171.0,8.0,18.0,9.0,22.0,3.0,46.0,17.0,35.0,24.0,58.0,14.0,120.0,126.0,56.0,207.0,15.0,2.0,1.0,167.0,64.0,20.0,3.0,48.0,43.0,91.0,33.0,10.0,22.0,16.0,10.0,225.0,20.0,15.0,1.0,49.0,69.0,7.0,125.0,36.0,161,7.0,23.0,16.0,7.0,21.0,5.0,17.0,22.0,4.0,4.0,5.0,1.0,43.0,2.0,16.0,67.0,6.0,120.0,5.0,1.0,43.0,2.0,3.0,1.0,44.0,6.0,18.0,1.0,6.0,18.0,4.0,4.0,11.0,6.0,1.0,22.0,11.0,1.0,1.0,118.0,826.0,7.0,3.0,0.6923076923076923,0.7,0.9324324324324325,0.3523809523809524,0.4090909090909091,0.41379310344827586,0.35406698564593303,0.5055555555555555,0.4444444444444444,0.4857142857142857,0.517948717948718,0.5375,0.5698924731182796,0.539119804400978,0.5348837209302325,0.594059405940594,0.5384615384615384,0.014285714285714285,0.1111111111111111,0.11538461538461539,0.1590909090909091,0.03125,0.023809523809523808,0.011904761904761904,13.284241531664211,0.4883720930232558,0.07692307692307693,0.015151515151515152,0.07607497243660419,0.01698754246885617,0.09551656920077972,0.03710575139146568,0.08309859154929577,0.02461322081575246,0.018970189701897018,0.014234875444839857,0.017167381974248927,0.03611738148984198,0.041666666666666664,0.08,0.04697986577181208,0.10424710424710425,0.10073710073710074,0.07547169811320754,0.03535353535353535,0.5,0.26666666666666666,0.5961538461538461,0.6739130434782609,0.7419354838709677,0.11282051282051282,0.4318181818181818,0.5135135135135135,0.631578947368421,0.08205128205128205,0.3125,0.3225806451612903,0.5,0.1076923076923077,0.23809523809523808,0.24390243902439024,1.0,0.4307692307692308,0.38095238095238093,0.3855421686746988,0.921875,0.325,0.38461538461538464,0.4,0.075,0.475,0.47368421052631576,0.8888888888888888,0.24731182795698925,0.5652173913043478,0.15053763440860216,0.21428571428571427,0.4731182795698925,0.4772727272727273,0.8051282051282052,0.38323353293413176,0.5272179948586116,0.5526062500000001,0.5135217391304348,0.04714640198511166,0.09375,0.004739336492890996,0.10430839002267574,0.272108843537415,6.161666666666666,25.591428571428576,0.2799597180261833,,,,,,,,,,,True,
1627735,1610612757,Wade Baldwin IV,Wade Baldwin IV,1627735,POR,2880.0,48,-2,95,94,14.0,45,9,189,3,3,,,,,3.0,6.0,1.0,2.0,,,,,,1.0,2.0,,,,,7,11,1.0,2.0,5.0,22,100.0,,1.0,,,,,1.0,2.0,,,,2.0,,14.0,3.0,,,,2.0,1.0,1.0,,3.0,1.0,4.0,1.0,,1.0,1.0,1.0,9.0,,1.0,,,4.0,,4.0,1.0,5,,,,,,,,2.0,,,,1.0,2.0,,,,,3.0,,1.0,6.0,,1.0,,9.0,1.0,5.0,,,,,,,,,,,,,2.0,14.0,,,,,1.0,0.5,,,0.5,0.6363636363636364,,0.5,0.6538461538461539,,0.5,0.6470588235294118,,0.5,0.15384615384615385,,0.09090909090909091,,0.16666666666666666,,,,17.92452830188679,,,,0.14814814814814814,0.045454545454545456,,,0.08888888888888889,0.027777777777777776,,0.08333333333333333,,,,0.125,0.1111111111111111,0.2,,,,,0.23076923076923078,1.0,1.0,,0.46153846153846156,0.5,0.6,,0.15384615384615385,0.5,0.5,,,,,,0.15384615384615385,0.5,0.5,1.0,,,,,,,,,,,,,,0.38461538461538464,0.5,0.4681461538461538,0.3629,0.37515,0.29411764705882354,0.3333333333333333,,,0.09090909090909091,8.027272727272727,25.85,0.14736842105263157,,,,,,,,,,,True,
1627774,1610612757,Jake Layman,Jake Layman,1627774,POR,7025.0,117,-5,238,230,108.0,107,25,468,5,7,2.0,2.0,2.0,3.0,1.0,6.0,2.0,6.0,2.0,4.0,1.0,2.0,3.0,2.0,12.0,,,,4.0,8,19,4.0,16.0,2.0,30,240.0,2.0,3.0,1.0,1.0,,7.0,4.0,9.0,2.0,7.0,,14.0,8.0,8.0,12.0,,2.0,,12.0,2.0,,,5.0,5.0,10.0,4.0,1.0,1.0,1.0,3.0,25.0,1.0,1.0,2.0,3.0,3.0,1.0,7.0,4.0,11,,5.0,4.0,1.0,5.0,,3.0,,,2.0,,,5.0,,4.0,8.0,,10.0,,,2.0,,,,3.0,1.0,2.0,,,1.0,1.0,,1.0,,,2.0,1.0,,,14.0,108.0,1.0,,0.5,0.5714285714285714,1.0,0.25,1.0,0.2857142857142857,0.25,0.42105263157894735,0.6666666666666666,0.4444444444444444,0.4,0.875,0.4375,0.4166666666666667,0.875,0.4375,0.45714285714285713,,,,,,,,15.413533834586465,1.0,0.1111111111111111,0.2222222222222222,0.05357142857142857,0.015873015873015872,0.06666666666666667,0.02564102564102564,0.0594059405940594,0.0196078431372549,,,0.045454545454545456,0.03125,,,0.17647058823529413,,0.03225806451612903,0.14285714285714285,,0.5,0.2,0.7142857142857143,0.7142857142857143,0.4,0.17142857142857143,0.16666666666666666,0.16666666666666666,,0.17142857142857143,0.3333333333333333,0.3333333333333333,1.0,0.11428571428571428,0.5,0.5,1.0,0.34285714285714286,0.16666666666666666,0.16666666666666666,1.0,0.5,1.0,0.5,0.25,,,,0.1875,0.6666666666666666,0.1875,0.6666666666666666,0.25,,0.6571428571428571,0.16666666666666666,0.5193171428571428,0.5324,0.5269999999999999,0.05555555555555555,0.1,,0.23333333333333334,0.4666666666666667,9.636842105263158,24.875000000000004,0.453781512605042,1.0,1.0,1.0,1.0,,,,,,,True,
1627834,1610612757,Georgios Papagiannis,Georgios Papagiannis,1627834,POR,224.0,4,15,8,7,,4,1,15,1,1,1.0,1.0,,,,,,,,,,,,,,,,,,1,1,,,,2,,1.0,1.0,,,,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,11.11111111111111,,,,,,,0.5,,0.5,,,,0.5,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,0.782,,,,,,1.0,,0.6,,,,,,,,,,,,,True,
1628403,1610612757,Caleb Swanigan,Caleb Swanigan,1628403,POR,7631.0,127,7,253,255,84.0,104,32,508,13,22,4.0,7.0,6.0,8.0,4.0,10.0,1.0,6.0,,1.0,,,,1.0,6.0,,,,,18,38,1.0,7.0,6.0,45,256.0,5.0,8.0,,,1.0,11.0,7.0,11.0,,,2.0,16.0,26.0,10.0,3.0,,6.0,,6.0,1.0,,,6.0,6.0,12.0,5.0,1.0,6.0,,,30.0,,10.0,,10.0,13.0,4.0,27.0,10.0,37,1.0,2.0,,2.0,3.0,,1.0,7.0,1.0,2.0,1.0,1.0,10.0,,4.0,13.0,1.0,23.0,1.0,2.0,8.0,,1.0,,8.0,4.0,5.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,16.0,84.0,1.0,1.0,0.7222222222222222,0.8666666666666667,1.0,0.14285714285714285,,,0.14285714285714285,0.47368421052631576,0.625,0.6363636363636364,0.43333333333333335,0.625,0.6363636363636364,0.4787234042553192,0.6875,0.6666666666666666,0.15555555555555556,,,,,,,,19.655172413793103,0.3,0.4444444444444444,,0.20634920634920634,0.125,0.18181818181818182,,0.19491525423728814,0.08130081300813008,0.14705882352941177,0.125,0.09090909090909091,,,0.21428571428571427,0.23529411764705882,0.16666666666666666,0.1794871794871795,0.1875,0.04,1.0,0.4888888888888889,0.5909090909090909,0.5909090909090909,0.6923076923076923,0.2222222222222222,0.4,0.4,0.75,0.13333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.022222222222222223,,,,0.13333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.875,0.5714285714285714,0.25,,,,,0.7272727272727273,0.75,,,,,0.6444444444444445,0.16666666666666666,0.48153999999999997,0.54945,0.49398181818181824,0.10869565217391304,0.1282051282051282,,0.24444444444444444,0.35555555555555557,6.384210526315789,24.91428571428571,0.33201581027667987,,,,,4.0,1.0,1.0,,,,True,
1628380,1610612757,Zach Collins,Zach Collins,1628380,POR,42885.0,715,83,1409,1393,380.0,463,163,2802,35,62,8.0,16.0,4.0,8.0,18.0,44.0,5.0,25.0,11.0,24.0,1.0,4.0,5.0,16.0,55.0,1.0,4.0,2.0,14.0,58,131,27.0,79.0,15.0,212,1504.0,9.0,23.0,2.0,5.0,2.0,26.0,12.0,23.0,6.0,19.0,2.0,44.0,76.0,40.0,78.0,3.0,10.0,1.0,54.0,16.0,12.0,,27.0,14.0,41.0,10.0,4.0,12.0,10.0,5.0,96.0,8.0,21.0,1.0,38.0,79.0,12.0,129.0,30.0,159,2.0,9.0,7.0,2.0,16.0,6.0,10.0,21.0,2.0,6.0,2.0,3.0,37.0,8.0,10.0,47.0,1.0,79.0,1.0,7.0,27.0,1.0,,,23.0,1.0,11.0,,1.0,17.0,4.0,3.0,11.0,,6.0,21.0,7.0,1.0,,44.0,380.0,5.0,1.0,0.6551724137931034,0.7169811320754716,0.9629629629629629,0.34177215189873417,0.4,0.3157894736842105,0.34615384615384615,0.44274809160305345,0.391304347826087,0.5217391304347826,0.46904761904761905,0.42857142857142855,0.5,0.4796380090497738,0.43333333333333335,0.5,0.3761904761904762,,0.0916030534351145,0.11290322580645161,0.11363636363636363,,,,16.175548589341695,0.43243243243243246,0.2608695652173913,0.03125,0.17025862068965517,0.052763819095477386,0.16593886462882096,0.03292181069958848,0.16883116883116883,0.0452418096723869,0.07547169811320754,0.023255813953488372,0.05454545454545454,0.024875621890547265,0.07142857142857142,0.12574850299401197,0.13548387096774195,0.2605633802816901,0.15730337078651685,0.19607843137254902,0.018867924528301886,0.3333333333333333,0.29523809523809524,0.5645161290322581,0.6363636363636364,0.7428571428571429,0.20952380952380953,0.4090909090909091,0.46153846153846156,0.3888888888888889,0.11904761904761904,0.2,0.2,1.0,0.11428571428571428,0.4583333333333333,0.4583333333333333,0.9090909090909091,0.2619047619047619,0.2909090909090909,0.2909090909090909,1.0,0.5714285714285714,0.5,0.375,0.03571428571428571,0.14285714285714285,0.25,1.0,0.19047619047619047,0.5,0.11904761904761904,0.8,0.3333333333333333,0.14285714285714285,0.6714285714285714,0.2962962962962963,0.49957942583732057,0.5465690476190476,0.4689333333333334,0.05,0.07801418439716312,,0.12264150943396226,0.20754716981132076,7.065648854961832,25.21139240506329,0.26969481902058196,1.0,1.0,1.0,,5.0,,1.0,6.0,,,True,
203468,1610612757,CJ McCollum,CJ McCollum,203468,POR,42503.0,708,40,1433,1414,331.0,363,169,2847,56,107,3.0,10.0,19.0,30.0,45.0,88.0,47.0,103.0,2.0,14.0,2.0,1.0,1.0,54.0,121.0,5.0,11.0,17.0,30.0,148,298,56.0,135.0,49.0,513,1567.0,9.0,24.0,5.0,13.0,8.0,41.0,37.0,63.0,18.0,31.0,15.0,143.0,40.0,256.0,93.0,75.0,4.0,,121.0,54.0,27.0,,55.0,33.0,88.0,24.0,9.0,39.0,9.0,7.0,209.0,5.0,7.0,,32.0,35.0,,67.0,12.0,79,6.0,23.0,16.0,7.0,32.0,3.0,18.0,12.0,3.0,14.0,3.0,1.0,44.0,3.0,11.0,20.0,1.0,42.0,,1.0,62.0,,2.0,3.0,62.0,6.0,26.0,1.0,4.0,4.0,,,1.0,,3.0,4.0,2.0,,,141.0,323.0,4.0,2.0,0.13513513513513514,0.136986301369863,0.5535714285714286,0.4148148148148148,0.38461538461538464,0.5806451612903226,0.4148148148148148,0.4966442953020134,0.375,0.5873015873015873,0.535796766743649,0.44594594594594594,0.6808510638297872,0.5545851528384279,0.5,0.6941747572815534,0.3117782909930716,,0.09060402684563758,0.17757009345794392,0.06818181818181818,0.019417475728155338,,,30.81645181092695,0.7272727272727273,,,0.08177570093457943,0.016317016317016316,0.14349775784753363,0.01984126984126984,0.10291858678955453,0.01762114537444934,0.016666666666666666,0.015037593984962405,0.017241379310344827,0.014492753623188406,0.044444444444444446,0.07272727272727272,0.1079136690647482,0.06451612903225806,0.14210526315789473,0.15151515151515152,0.030927835051546393,0.5,0.2471131639722864,0.5233644859813084,0.6363636363636364,0.125,0.20323325635103925,0.5113636363636364,0.5487804878048781,0.15555555555555556,0.23787528868360278,0.4563106796116505,0.46534653465346537,0.1276595744680851,0.03233256351039261,0.14285714285714285,0.14285714285714285,1.0,0.279445727482679,0.4462809917355372,0.4462809917355372,0.5370370370370371,0.2702702702702703,0.3,0.3333333333333333,0.05405405405405406,0.2972972972972973,0.45454545454545453,0.8,0.3191489361702128,0.6333333333333333,0.010638297872340425,1.0,0.3191489361702128,0.5666666666666667,0.558891454965358,0.4462809917355372,0.48529203233256357,0.4907810344827586,0.4769398936170213,0.05947136563876652,0.08176100628930817,0.007352941176470588,0.07992202729044834,0.2787524366471735,9.481879194630874,25.494814814814813,0.23098394975575715,,,,,,,,,5.0,,True,
203894,1610612757,Shabazz Napier,Shabazz Napier,203894,POR,36863.0,614,113,1214,1198,352.0,335,146,2412,31,55,,1.0,7.0,12.0,7.0,37.0,34.0,64.0,5.0,12.0,1.0,1.0,2.0,32.0,83.0,3.0,9.0,7.0,21.0,72,156,37.0,95.0,54.0,309,1241.0,2.0,6.0,3.0,10.0,10.0,23.0,15.0,32.0,8.0,23.0,16.0,70.0,30.0,114.0,78.0,33.0,,,83.0,32.0,14.0,1.0,39.0,32.0,71.0,25.0,7.0,27.0,5.0,7.0,174.0,,6.0,,21.0,42.0,1.0,64.0,6.0,70,1.0,36.0,18.0,18.0,30.0,5.0,15.0,16.0,3.0,15.0,1.0,3.0,46.0,3.0,9.0,15.0,1.0,42.0,3.0,1.0,58.0,1.0,6.0,2.0,68.0,3.0,26.0,4.0,3.0,1.0,,,,,1.0,1.0,,,,70.0,348.0,3.0,3.0,0.20833333333333334,0.20833333333333334,0.7027027027027027,0.3894736842105263,0.3,0.34782608695652173,0.3894736842105263,0.46153846153846156,0.3333333333333333,0.46875,0.5079681274900398,0.40625,0.4909090909090909,0.5480427046263345,0.5476190476190477,0.5476190476190477,0.3784860557768924,0.010526315789473684,0.08974358974358974,0.18181818181818182,0.10810810810810811,,,0.012048192771084338,23.66136034732272,0.6521739130434783,0.030303030303030304,,0.10396039603960396,0.0169971671388102,0.10552763819095477,,0.1044776119402985,0.010452961672473868,0.027586206896551724,0.008849557522123894,0.010526315789473684,,,0.062111801242236024,0.12307692307692308,0.1415929203539823,0.1125,0.07692307692307693,0.008130081300813009,,0.21912350597609562,0.5636363636363636,0.6888888888888889,0.1935483870967742,0.14741035856573706,0.1891891891891892,0.21212121212121213,0.42857142857142855,0.2549800796812749,0.53125,0.53125,0.17647058823529413,0.04780876494023904,0.4166666666666667,0.4166666666666667,0.8,0.33067729083665337,0.3855421686746988,0.3902439024390244,0.6875,0.0625,,,0.0625,0.5625,0.3333333333333333,0.6666666666666666,0.21818181818181817,0.5833333333333334,0.03636363636363636,0.5,0.38181818181818183,0.3333333333333333,0.5976095617529881,0.3855421686746988,0.4893494023904383,0.4398000000000001,0.5071845454545455,0.1079136690647482,0.1452513966480447,0.04040404040404041,0.0744336569579288,0.22653721682847897,10.294230769230765,25.4,0.2899505766062603,,,,,1.0,,,2.0,2.0,,True,
202323,1610612757,Evan Turner,Evan Turner,202323,POR,33582.0,560,43,1137,1132,340.0,393,148,2269,13,20,2.0,4.0,5.0,7.0,27.0,67.0,27.0,53.0,3.0,9.0,1.0,1.0,3.0,8.0,26.0,2.0,4.0,3.0,6.0,67,140,11.0,35.0,30.0,197,1207.0,5.0,15.0,2.0,5.0,2.0,18.0,16.0,36.0,4.0,9.0,19.0,63.0,26.0,108.0,30.0,3.0,,,26.0,8.0,6.0,,38.0,23.0,61.0,20.0,3.0,30.0,3.0,5.0,145.0,2.0,3.0,,33.0,39.0,4.0,76.0,5.0,81,2.0,9.0,5.0,4.0,23.0,6.0,11.0,10.0,1.0,12.0,,1.0,33.0,1.0,11.0,21.0,1.0,45.0,1.0,,36.0,,4.0,,37.0,2.0,14.0,,5.0,6.0,1.0,1.0,1.0,3.0,2.0,7.0,5.0,,,60.0,332.0,5.0,3.0,0.19402985074626866,0.19402985074626866,0.9090909090909091,0.3142857142857143,0.4,0.4444444444444444,0.3142857142857143,0.4785714285714286,0.3333333333333333,0.4444444444444444,0.47714285714285715,0.4,0.4888888888888889,0.5104166666666666,0.42857142857142855,0.5625,0.2,,0.04285714285714286,0.1,0.04477611940298507,0.018867924528301886,,,17.294388931591083,0.696969696969697,0.11428571428571428,,0.11746987951807229,0.008595988538681949,0.16097560975609757,0.009569377990430622,0.1340782122905028,0.008960573476702509,,0.008547008547008548,0.02247191011235955,0.011363636363636364,,0.11851851851851852,0.11428571428571428,0.11956521739130435,0.13043478260869565,0.2727272727272727,0.02247191011235955,0.7142857142857143,0.11428571428571428,0.65,0.7222222222222222,0.3076923076923077,0.38285714285714284,0.40298507462686567,0.421875,0.1111111111111111,0.3028571428571429,0.5094339622641509,0.5192307692307693,0.2222222222222222,0.05142857142857143,0.3333333333333333,0.3333333333333333,1.0,0.14857142857142858,0.3076923076923077,0.3076923076923077,0.875,0.2,0.5,0.5,0.05,0.2,0.5,1.0,0.15555555555555556,0.7142857142857143,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.5,0.3142857142857143,0.3076923076923077,0.45498514285714303,0.4498150000000001,0.457831111111111,0.0748663101604278,0.09210526315789473,,0.09137055837563451,0.3197969543147208,11.16285714285714,24.582857142857144,0.2990325417766051,,,,,1.0,,,1.0,1.0,,True,
202334,1610612757,Ed Davis,Ed Davis,202334,POR,53617.0,894,134,1740,1742,454.0,547,230,3482,93,143,42.0,57.0,17.0,27.0,16.0,43.0,1.0,1.0,,,,,,,1.0,,,,1.0,110,187,,1.0,50.0,270,1849.0,43.0,62.0,,,19.0,105.0,22.0,35.0,,1.0,13.0,57.0,130.0,90.0,,,70.0,1.0,,,19.0,,9.0,13.0,22.0,8.0,5.0,5.0,1.0,3.0,57.0,34.0,74.0,1.0,73.0,148.0,18.0,239.0,109.0,348,5.0,19.0,12.0,7.0,15.0,1.0,4.0,23.0,2.0,11.0,,2.0,38.0,6.0,13.0,74.0,1.0,118.0,4.0,11.0,68.0,,3.0,1.0,72.0,8.0,38.0,,2.0,32.0,,,27.0,,5.0,32.0,19.0,1.0,1.0,57.0,454.0,7.0,2.0,0.5909090909090909,0.8666666666666667,,,,,,0.5882352941176471,0.6935483870967742,0.6285714285714286,0.5851063829787234,0.6935483870967742,0.6111111111111112,0.6136363636363636,0.7094594594594594,0.6333333333333333,0.005319148936170213,,0.10160427807486631,0.08391608391608392,0.16279069767441862,,,,12.861415752741776,0.39473684210526316,0.32727272727272727,0.02631578947368421,0.2624113475177305,0.13857677902621723,0.23548387096774193,0.11038961038961038,0.2528604118993135,0.12826603325415678,0.1935483870967742,0.12568306010928962,0.06716417910447761,0.10236220472440945,0.14814814814814814,0.26339285714285715,0.29444444444444445,0.225,0.23481781376518218,0.23809523809523808,0.08771929824561403,0.59375,0.7606382978723404,0.6503496503496503,0.7099236641221374,0.5591397849462365,0.22872340425531915,0.37209302325581395,0.4444444444444444,0.75,0.005319148936170213,1.0,1.0,1.0,,,,,0.005319148936170213,,,,0.9193548387096774,0.7368421052631579,0.09523809523809523,,,,,0.75,0.6296296296296297,,,0.027777777777777776,,0.7659574468085106,,0.5440823529411767,0.637615789473684,0.5291,0.1743119266055046,0.17511520737327188,,0.3888888888888889,0.2111111111111111,2.750802139037433,53.5,0.26091954022988506,,,,,17.0,,1.0,16.0,,,True,
