EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,NonHeaveArc3FGM,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,FTDefRebounds,BlockingFouls,Clear Path Fouls,Offensive Fouls,Charge Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,DefFTReboundPct,FTOffRebounds,3SecondViolations,OffFTReboundPct,BlockedArc3,DefensiveGoaltends,Defensive 3 Seconds Violations,OffensiveGoaltends,on
1626199,1610612759,Darrun Hilliard,Darrun Hilliard,1626199,SAS,1011.0,17,8,31,31,10,10,3,62,1.0,1.0,1.0,1.0,1.0,1.0,1,1,2.0,2.0,4,28,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1,1.0,3,1.0,1,2,2,1.0,1.0,1.0,2.0,1.0,2.0,10,1.0,0.3333333333333333,0.5,0.5,0.6666666666666666,11.428571428571429,0.125,0.1,0.1111111111111111,1.0,0.1111111111111111,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5019333333333333,0.51375,0.51375,0.25,0.5,0.5,16.9,23.950000000000003,0.3225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1627749,1610612759,Dejounte Murray,Dejounte Murray,1627749,SAS,18949.0,316,27,624,629,236,206,76,1253,10.0,21.0,6.0,2.0,,,37,84,8.0,21.0,98,677,,3.0,14.0,32.0,48.0,2.0,8.0,36,7.0,80,14.0,43,57,73,18.0,36.0,24.0,25.0,7.0,30.0,234,0.44047619047619047,0.41847826086956524,0.47115384615384615,0.43243243243243246,0.08695652173913043,17.256011315417254,0.20673076923076922,0.14893617021276595,0.18874172185430463,0.2222222222222222,0.15789473684210525,0.22826086956521738,0.47619047619047616,0.5,0.06521739130434782,0.021739130434782608,,,0.5108695652173914,0.5075233695652175,0.5888333333333333,0.48314999999999997,0.07142857142857142,0.07777777777777778,0.32653061224489793,7.608333333333333,23.700000000000003,0.3782051282051282,22.0,39.0,8.0,10.0,4.0,12.0,5.0,24.0,1.0,3.0,1.0,8.0,13.0,16.0,9.0,26.0,26.0,3.0,10.0,9.0,28.0,1.0,11.0,9.0,8.0,3.0,13.0,16.0,3.0,11.0,10.0,1.0,11.0,1.0,8.0,7.0,3.0,3.0,1.0,1.0,18.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,1.0,1.0,6.0,3.0,4.0,5.0,0.35135135135135137,0.40625,1.0,0.125,0.125,0.6153846153846154,0.34615384615384615,0.6153846153846154,0.3103448275862069,0.6153846153846154,0.10714285714285714,0.15384615384615385,0.08333333333333333,0.047619047619047616,0.6111111111111112,0.06989247311827956,0.031914893617021274,0.05714285714285714,0.109375,0.05405405405405406,0.041666666666666664,0.028985507246376812,0.04,0.16883116883116883,0.23529411764705882,0.1111111111111111,0.06818181818181818,0.5,0.42391304347826086,0.5641025641025641,0.6666666666666666,0.4090909090909091,0.2608695652173913,0.20833333333333334,0.22727272727272727,0.6,0.1,0.16666666666666666,0.16666666666666666,1.0,0.7692307692307693,0.8,0.125,0.41379310344827586,0.3333333333333333,0.10344827586206896,0.16326530612244897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1627854,1610612759,Bryn Forbes,Bryn Forbes,1627854,SAS,25244.0,421,26,837,824,306,275,98,1661,14.0,31.0,16.0,46.0,5.0,15.0,31,66,62.0,13.0,156,916,7.0,24.0,10.0,61.0,14.0,46.0,7.0,17,5.0,41,9.0,20,29,35,16.0,30.0,12.0,16.0,6.0,61.0,306,0.4696969696969697,0.55859375,0.582089552238806,0.648936170212766,0.484375,14.543524416135881,0.07692307692307693,0.06716417910447761,0.07360406091370558,0.07954545454545454,0.07207207207207207,0.2421875,0.45161290322580644,0.4827586206896552,0.125,0.359375,0.35714285714285715,0.35714285714285715,0.5546875,0.4882125,0.46464583333333337,0.4798726190476191,0.06015037593984962,0.08571428571428572,0.391025641025641,12.14848484848485,24.900000000000002,0.3655913978494624,6.0,9.0,,,1.0,2.0,11.0,26.0,10.0,9.0,27.0,2.0,7.0,10.0,9.0,18.0,48.0,81.0,,9.0,10.0,2.0,7.0,2.0,1.0,1.0,5.0,6.0,1.0,6.0,3.0,3.0,1.0,,1.0,2.0,1.0,,,1.0,3.0,,,,3.0,,2.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.7741935483870968,0.7741935483870968,1.0,0.43548387096774194,0.43548387096774194,0.2857142857142857,0.5,0.35714285714285715,0.6071428571428571,0.35714285714285715,0.13636363636363635,0.1111111111111111,0.23076923076923078,0.06451612903225806,0.3333333333333333,0.01984126984126984,0.007874015748031496,0.0158311345646438,,0.010309278350515464,0.05,0.009615384615384616,,0.0625,0.08695652173913043,0.043478260869565216,0.016666666666666666,1.0,0.0703125,0.6666666666666666,0.75,0.8333333333333334,0.203125,0.4230769230769231,0.55,0.7272727272727273,0.7857142857142857,0.625,0.625,1.0,,,,0.047619047619047616,0.5,0.21428571428571427,0.0641025641025641,1.0,2.0,7.0,17.0,1.0,4.0,2.0,11.0,17.0,1.0,2.0,0.2857142857142857,0.4583333333333333,0.3695652173913043,0.3695652173913043,1.0,0.14285714285714285,0.5,1.0,0.2,1.0,0.7777777777777778,0.26666666666666666,0.3695652173913043,0.031746031746031744,,,,,,,,,,,,,,,,,,,,,,,,True
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,77941.0,1299,72,2601,2567,961,876,307,5168,10.0,36.0,39.0,153.0,16.0,66.0,137,270,192.0,110.0,576,2811,19.0,79.0,59.0,231.0,158.0,149.0,47.0,163,33.0,373,35.0,81,124,143,39.0,126.0,140.0,131.0,43.0,227.0,956,0.5074074074074074,0.5043290043290043,0.5500963391136802,0.5404761904761904,0.4155844155844156,21.134896364254164,0.10505836575875487,0.08433734939759036,0.09780775716694773,0.16877637130801687,0.08875739644970414,0.07792207792207792,0.2777777777777778,0.29411764705882354,0.08441558441558442,0.33116883116883117,0.3902439024390244,0.375,0.7294372294372294,0.5126736842105263,0.534788888888889,0.5015692982456138,0.09090909090909091,0.14285714285714285,0.4010416666666667,6.113333333333332,25.67031249999999,0.36947327950788156,90.0,145.0,9.0,13.0,30.0,53.0,37.0,89.0,13.0,13.0,64.0,11.0,22.0,39.0,47.0,97.0,116.0,153.0,4.0,23.0,116.0,14.0,78.0,23.0,15.0,8.0,11.0,19.0,4.0,43.0,26.0,17.0,73.0,19.0,57.0,32.0,5.0,16.0,1.0,3.0,105.0,7.0,41.0,1.0,4.0,4.0,15.0,3.0,12.0,24.0,15.0,10.0,2.0,3.0,16.0,6.0,23.0,20.0,0.4233576642335766,0.42962962962962964,0.796875,0.3333333333333333,0.3404255319148936,0.5,0.4845360824742268,0.45121951219512196,0.48863636363636365,0.47560975609756095,0.08518518518518518,0.10344827586206896,0.06741573033707865,0.05555555555555555,0.6952380952380952,0.014304291287386216,0.01927710843373494,0.016047297297297296,0.011406844106463879,0.014234875444839857,0.017777777777777778,0.01935483870967742,0.01904761904761905,0.072992700729927,0.08076923076923077,0.06493506493506493,0.01809954751131222,0.375,0.31385281385281383,0.6206896551724138,0.6923076923076923,0.4444444444444444,0.19264069264069264,0.4157303370786517,0.4457831325301205,0.3783783783783784,0.4,0.3333333333333333,0.34210526315789475,0.9230769230769231,0.3170731707317073,0.6923076923076923,0.3333333333333333,0.30113636363636365,0.5660377358490566,0.07386363636363637,0.06770833333333333,1.0,3.0,5.0,51.0,4.0,21.0,5.0,26.0,51.0,,2.0,0.2631578947368421,0.3291139240506329,0.3333333333333333,0.3355263157894737,0.7647058823529411,0.07317073170731707,0.3333333333333333,1.0,0.25,0.5,0.38461538461538464,0.3181818181818182,0.3422818791946309,0.010309278350515464,2.0,39.0,4.0,2.0,8.0,8.0,2.0,2.0,12.0,5.0,1.0,1.0,0.010416666666666666,0.02564102564102564,0.006535947712418301,0.0975609756097561,,,,,,,,True
200746,1610612759,LaMarcus Aldridge,LaMarcus Aldridge,200746,SAS,43982.0,733,75,1451,1425,549,510,178,2876,35.0,91.0,4.0,15.0,1.0,3.0,200,377,19.0,129.0,553,1574,1.0,3.0,61.0,225.0,206.0,15.0,10.0,37,9.0,84,48.0,64,124,210,40.0,68.0,108.0,153.0,64.0,224.0,545,0.5305039787798409,0.5353535353535354,0.5926724137931034,0.6256983240223464,0.047979797979797977,30.181818181818183,0.14953271028037382,0.22325581395348837,0.17418351477449456,0.16666666666666666,0.2138728323699422,0.2297979797979798,0.38461538461538464,0.38461538461538464,0.010101010101010102,0.03787878787878788,0.013888888888888888,0.020689655172413793,0.44191919191919193,0.4788615189873417,0.5648178571428571,0.49199620689655155,0.14317673378076062,0.14953271028037382,0.40687160940325495,8.30026525198939,27.294736842105266,0.3783597518952447,103.0,156.0,32.0,48.0,50.0,71.0,62.0,130.0,2.0,,8.0,44.0,71.0,119.0,82.0,142.0,194.0,21.0,62.0,12.0,27.0,1.0,14.0,5.0,8.0,24.0,61.0,86.0,10.0,9.0,7.0,2.0,13.0,4.0,6.0,21.0,2.0,7.0,,4.0,34.0,3.0,10.0,2.0,4.0,4.0,1.0,2.0,13.0,17.0,39.0,23.0,1.0,15.0,39.0,23.0,7.0,16.0,0.485,0.5739644970414202,0.875,0.42105263157894735,0.42105263157894735,0.6197183098591549,0.5774647887323944,0.6319444444444444,0.5655172413793104,0.6761363636363636,0.03183023872679045,0.057692307692307696,0.023076923076923078,,0.38235294117647056,0.13895216400911162,0.10300429184549356,0.12648809523809523,0.19607843137254902,0.11875,0.09523809523809523,0.10227272727272728,0.10526315789473684,0.15436241610738255,0.1292517006802721,0.2619047619047619,0.05813953488372093,0.5897435897435898,0.3939393939393939,0.6602564102564102,0.7006802721088435,0.5825242718446602,0.3282828282828283,0.47692307692307695,0.4881889763779528,0.24193548387096775,0.6285714285714286,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.09375,0.4896551724137931,0.704225352112676,,0.21518987341772153,,,,6.0,1.0,,1.0,,6.0,,,1.0,,0.4,0.4,0.8333333333333334,,,,1.0,1.0,,,0.4,,28.0,3.0,,,12.0,1.0,,2.0,,4.0,,,,,,0.2553191489361702,1.0,4.0,0.025,,,,,True
1628401,1610612759,Derrick White,Derrick White,1628401,SAS,953.0,16,-6,32,34,4,17,4,66,,1.0,,,,,2,4,,,4,39,,,,,2.0,,,1,,2,1.0,5,6,7,1.0,1.0,,,,,4,0.5,0.5,0.5,,,10.81081081081081,0.5555555555555556,0.2,0.42857142857142855,1.0,0.25,0.25,,,,,,,0.25,0.43135,,,,,,9.549999999999999,,0.125,1.0,1.0,,,,,1.0,2.0,,,,,,,,,2.0,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,0.14285714285714285,0.05,,,,0.14285714285714285,,0.2,1.0,,,,0.25,1.0,1.0,,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
203464,1610612759,Brandon Paul,Brandon Paul,203464,SAS,6020.0,100,-16,207,208,68,47,26,415,,1.0,3.0,10.0,,1.0,3,8,13.0,,15,227,1.0,1.0,,2.0,,10.0,1.0,6,,13,5.0,2,8,10,6.0,15.0,5.0,2.0,,2.0,68,0.375,0.35714285714285715,0.3409090909090909,0.3333333333333333,0.6190476190476191,11.297071129707112,0.03571428571428571,0.15151515151515152,0.07865168539325842,0.05263157894736842,0.13793103448275862,0.047619047619047616,,,0.14285714285714285,0.47619047619047616,,0.5,0.9047619047619048,0.561165,0.52385,0.644075,,,0.13333333333333333,4.425,26.200000000000003,0.3285024154589372,3.0,6.0,,1.0,1.0,1.0,,1.0,,,3.0,,2.0,,1.0,1.0,6.0,9.0,,1.0,5.0,1.0,2.0,1.0,2.0,,2.0,2.0,,4.0,2.0,2.0,4.0,,3.0,1.0,1.0,1.0,,,5.0,,,,,1.0,,,,1.0,,,,,,,3.0,1.0,1.0,1.0,1.0,0.23076923076923078,0.23076923076923078,,1.0,,0.5,,0.125,0.16666666666666666,,,0.8,0.034482758620689655,,0.020202020202020204,,0.10526315789473684,,,,0.047619047619047616,,0.25,,,0.2857142857142857,0.5,0.6,1.0,0.047619047619047616,,,,,,,,0.3333333333333333,,,0.5,1.0,,,,1.0,,3.0,,,,,3.0,,,,,0.3,0.3,1.0,0.3333333333333333,,,,,,,0.3,,,,,,1.0,,,,2.0,,,,,,,0.2,,,,,,,,True
200752,1610612759,Rudy Gay,Rudy Gay,200752,SAS,38840.0,647,42,1293,1270,505,399,167,2563,13.0,42.0,15.0,48.0,3.0,17.0,120,224,63.0,78.0,372,1395,7.0,21.0,37.0,149.0,132.0,43.0,20.0,45,16.0,110,29.0,66,106,145,31.0,52.0,73.0,99.0,51.0,149.0,504,0.5357142857142857,0.5121951219512195,0.5638297872340425,0.5736434108527132,0.21951219512195122,25.084745762711865,0.17553191489361702,0.14009661835748793,0.16295025728987994,0.2066115702479339,0.11904761904761904,0.14634146341463414,0.30952380952380953,0.30952380952380953,0.05226480836236934,0.1672473867595819,0.06976744186046512,0.1559633027522936,0.5505226480836237,0.49696081560283695,0.5681083333333334,0.48516666666666675,0.15692307692307692,0.1946564885496183,0.40053763440860213,7.44464285714286,27.973015873015868,0.3905645784996133,62.0,95.0,16.0,24.0,21.0,40.0,45.0,87.0,5.0,4.0,18.0,22.0,36.0,64.0,44.0,88.0,108.0,48.0,22.0,15.0,25.0,4.0,17.0,5.0,3.0,7.0,30.0,39.0,7.0,24.0,19.0,5.0,24.0,7.0,16.0,17.0,1.0,8.0,,4.0,41.0,5.0,15.0,2.0,4.0,4.0,2.0,,13.0,4.0,19.0,16.0,,3.0,20.0,13.0,6.0,4.0,0.45,0.4954128440366973,0.8888888888888888,0.2857142857142857,0.3103448275862069,0.6111111111111112,0.5,0.6162790697674418,0.5137614678899083,0.64,0.06696428571428571,0.10526315789473684,0.05747126436781609,,0.5853658536585366,0.07556675062972293,0.037037037037037035,0.06313993174061433,0.1044776119402985,0.0472972972972973,0.0782608695652174,0.034722222222222224,0.044444444444444446,0.16428571428571428,0.1565217391304348,0.23076923076923078,0.056,0.65,0.3310104529616725,0.6526315789473685,0.7294117647058823,0.532258064516129,0.30313588850174217,0.5172413793103449,0.5487804878048781,0.3333333333333333,0.46153846153846156,0.3333333333333333,0.3333333333333333,1.0,0.5581395348837209,0.6666666666666666,0.1875,0.3669724770642202,0.525,0.03669724770642202,0.17204301075268819,2.0,4.0,1.0,13.0,1.0,7.0,3.0,8.0,13.0,,,0.42857142857142855,0.38095238095238093,0.2708333333333333,0.2708333333333333,0.8461538461538461,0.09302325581395349,0.5,1.0,0.3333333333333333,1.0,0.25,0.4117647058823529,0.3023255813953488,,11.0,6.0,5.0,,11.0,1.0,,2.0,1.0,2.0,1.0,,,,,0.28205128205128205,2.0,,0.05714285714285714,1.0,2.0,1.0,,True
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,47223.0,787,39,1569,1539,641,578,186,3108,13.0,35.0,21.0,115.0,5.0,47.0,32,75,136.0,44.0,264,1734,8.0,50.0,31.0,120.0,32.0,113.0,32.0,80,24.0,192,18.0,19,38,46,21.0,56.0,51.0,46.0,5.0,118.0,638,0.4266666666666667,0.5213270142180095,0.5673913043478261,0.6818181818181818,0.6445497630331753,15.224719101123595,0.04491725768321513,0.07317073170731707,0.05530642750373692,0.0390625,0.07614213197969544,0.16587677725118483,0.37142857142857144,0.38235294117647056,0.0995260663507109,0.5450236966824644,0.35714285714285715,0.6438356164383562,0.7772511848341233,0.5184021531100479,0.5744777777777778,0.5128929577464787,0.041474654377880185,0.06329113924050633,0.45454545454545453,10.864000000000003,25.595588235294116,0.40854047163798596,14.0,28.0,1.0,3.0,8.0,11.0,5.0,12.0,10.0,3.0,52.0,2.0,6.0,16.0,13.0,23.0,32.0,120.0,2.0,4.0,48.0,8.0,24.0,10.0,14.0,5.0,3.0,8.0,2.0,21.0,11.0,10.0,24.0,8.0,21.0,17.0,5.0,3.0,,1.0,41.0,,21.0,,3.0,,12.0,1.0,1.0,13.0,1.0,1.0,,,1.0,,12.0,12.0,0.5,0.5161290322580645,0.7692307692307693,0.38235294117647056,0.3880597014925373,0.3333333333333333,0.5652173913043478,0.4642857142857143,0.6095890410958904,0.5,0.05333333333333334,0.07142857142857142,0.08333333333333333,0.02857142857142857,0.5853658536585366,0.006772009029345372,0.018518518518518517,0.011220196353436185,0.00641025641025641,0.006211180124223602,0.007936507936507936,0.014634146341463415,0.03076923076923077,0.025974025974025976,0.07092198581560284,0.061224489795918366,0.017094017094017096,,0.13270142180094788,0.5,0.5384615384615384,0.5714285714285714,0.05687203791469194,0.4166666666666667,0.45454545454545453,0.6,0.38461538461538464,0.47619047619047616,0.47619047619047616,1.0,0.21428571428571427,0.3333333333333333,,0.1506849315068493,0.7272727272727273,0.0410958904109589,0.06060606060606061,1.0,3.0,2.0,42.0,2.0,19.0,3.0,21.0,42.0,2.0,4.0,0.375,0.42,0.3652173913043478,0.3684210526315789,0.7142857142857143,0.21428571428571427,0.3333333333333333,1.0,0.4,1.0,0.6666666666666666,0.40425531914893614,0.37168141592920356,0.028985507246376812,3.0,36.0,2.0,1.0,1.0,,,2.0,1.0,3.0,,,0.007352941176470588,,0.008695652173913044,0.019230769230769232,,,,,,,,True
2200,1610612759,Pau Gasol,Pau Gasol,2200,SAS,32205.0,537,86,1089,1057,393,353,124,2146,14.0,31.0,10.0,18.0,1.0,6.0,89,161,28.0,79.0,278,1115,1.0,8.0,45.0,109.0,58.0,18.0,14.0,69,11.0,152,56.0,78,148,194,29.0,41.0,72.0,97.0,35.0,109.0,392,0.5527950310559007,0.5264550264550265,0.5914893617021276,0.6488095238095238,0.14814814814814814,21.551020408163264,0.22285714285714286,0.3010752688172043,0.25,0.22321428571428573,0.271523178807947,0.164021164021164,0.45161290322580644,0.45161290322580644,0.05291005291005291,0.09523809523809523,0.029411764705882353,0.10714285714285714,0.5925925925925926,0.51865,0.6054637931034484,0.5179258928571427,0.1598173515981735,0.18324607329842932,0.3920863309352518,6.688819875776398,24.625000000000004,0.3608815426997245,57.0,84.0,13.0,26.0,15.0,24.0,18.0,46.0,1.0,2.0,7.0,15.0,33.0,43.0,26.0,48.0,120.0,21.0,20.0,11.0,55.0,3.0,33.0,12.0,10.0,13.0,33.0,46.0,8.0,11.0,7.0,4.0,19.0,2.0,13.0,10.0,,6.0,,1.0,29.0,3.0,10.0,3.0,2.0,12.0,1.0,1.0,5.0,16.0,22.0,14.0,1.0,7.0,22.0,13.0,,15.0,0.6741573033707865,0.759493670886076,1.0,0.25,0.25,0.45454545454545453,0.5416666666666666,0.4411764705882353,0.5714285714285714,0.5,0.06832298136645963,0.08333333333333333,0.08695652173913043,,0.6551724137931034,0.10749185667752444,0.07222222222222222,0.0944558521560575,0.1523809523809524,0.125,0.04081632653061224,0.06349206349206349,0.09259259259259259,0.184,0.26548672566371684,0.42857142857142855,0.10126582278481013,0.5909090909090909,0.4444444444444444,0.6785714285714286,0.7402597402597403,0.6140350877192983,0.24338624338624337,0.391304347826087,0.42857142857142855,0.6111111111111112,1.0,0.1,0.1,1.0,0.7647058823529411,0.5,0.07692307692307693,0.42857142857142855,0.625,0.03571428571428571,0.15467625899280577,,,,6.0,,4.0,,4.0,6.0,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,,,0.6666666666666666,0.3333333333333333,,13.0,,,,14.0,,,2.0,,,,,,,,0.42424242424242425,,1.0,,,,,1.0,True
