EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2A,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,HeaveAttempts,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,DefensiveGoaltends,SecondChanceCorner3FGA,Clear Path Fouls,BlockedCorner3,SecondChanceCorner3Frequency,Technical Free Throw Trips,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,on,Corner3PctBlocked
1626199,1610612759,Darrun Hilliard,Darrun Hilliard,1626199,SAS,2184.0,36,7,74,68,26,33,8,142,2,1.0,1.0,4.0,1.0,1,6,1.0,2,80,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,26,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5,0.25,9.876543209876543,0.11764705882352941,0.07692307692307693,0.25,0.25,0.2857142857142857,0.5714285714285714,0.25,0.3333333333333333,0.14285714285714285,0.5,0.42857142857142855,0.47552142857142854,0.5243,4.783333333333333,24.9,0.35135135135135137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1627749,1610612759,Dejounte Murray,Dejounte Murray,1627749,SAS,104577.0,1743,151,3420,3450,778,575,416,6870,272,56.0,72.0,197.0,12.0,261,575,34.0,654,3487,120.0,352.0,12.0,45.0,78.0,231.0,52.0,540.0,214.0,349.0,459.0,97.0,62.0,56.0,4.0,134.0,26.0,71.0,151.0,774,0.4539130434782609,0.45073891625615764,0.48372781065088755,0.05582922824302135,0.0782608695652174,0.11029411764705882,0.06598984771573604,20.742637644046095,0.1968721251149954,0.20249406175771972,0.13559322033898305,0.26421404682274247,0.4466338259441708,0.32348111658456485,0.36548223350253806,0.391304347826087,0.019704433497536946,0.448,0.5024630541871922,0.5163088669950742,0.5019691999999999,6.970782608695652,24.0264705882353,0.22748538011695907,151.0,36.0,67.0,28.0,38.0,106.0,7.0,22.0,1.0,4.0,2.0,1.0,9.0,105.0,40.0,91.0,3.0,83.0,54.0,1.0,5.0,53.0,164.0,170.0,27.0,44.0,2.0,1.0,153.0,26.0,70.0,44.0,39.0,33.0,75.0,2.0,127.0,8.0,110.0,20.0,35.0,78.0,19.0,42.0,14.0,36.0,4.0,7.0,2.0,7.0,6.0,5.0,145.0,8.0,4.0,2.0,148.0,14.0,62.0,19.0,29.0,2.0,2.0,19.0,2.0,8.0,31.0,14.0,1.0,161.0,10.0,16.0,0.32567049808429116,0.35564853556485354,1.0,0.2647058823529412,0.2,0.2647058823529412,0.43956043956043955,0.45,0.43956043956043955,0.444,0.44623655913978494,0.5157232704402516,0.029411764705882353,0.018867924528301886,0.08333333333333333,0.582089552238806,0.11764705882352941,0.020202020202020204,0.06388415672913117,0.21273031825795644,0.06547619047619048,0.06436233611442194,0.0782122905027933,0.06584362139917696,0.045454545454545456,0.06329113924050633,0.07339449541284404,0.21066666666666667,0.2214765100671141,0.18666666666666668,0.06993006993006994,0.45161290322580644,0.5551470588235294,0.6239669421487604,0.3708609271523179,0.2916666666666667,0.17405582922824303,0.3584905660377358,0.36538461538461536,0.21052631578947367,0.0361247947454844,0.3181818181818182,0.3181818181818182,1.0,0.16666666666666666,0.18181818181818182,1.0,0.7362637362637363,0.5373134328358209,0.1111111111111111,0.5,0.032,0.25,0.008,0.16666666666666666,0.5602830508474577,0.0943683409436834,0.09951845906902086,0.12691131498470948,0.25076452599388377,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1627854,1610612759,Bryn Forbes,Bryn Forbes,1627854,SAS,37150.0,619,120,1234,1239,360,248,158,2473,20,9.0,25.0,54.0,82.0,59,135,100.0,222,1205,36.0,40.0,81.0,8.0,9.0,32.0,6.0,73.0,19.0,37.0,41.0,12.0,9.0,11.0,5.0,21.0,4.0,21.0,45.0,360,0.43703703703703706,0.4553191489361702,0.45867768595041325,0.425531914893617,0.05925925925925926,0.05,0.09259259259259259,18.547249647390693,0.047979797979797977,0.06035889070146819,0.04487179487179487,0.02040816326530612,0.0851063829787234,0.2297872340425532,0.46296296296296297,0.5102040816326531,0.34893617021276596,0.15,0.5106382978723404,0.48637670940170946,0.495228813559322,11.944444444444445,25.28,0.2917341977309562,9.0,,1.0,4.0,25.0,61.0,7.0,18.0,4.0,6.0,25.0,18.0,32.0,8.0,3.0,10.0,4.0,16.0,14.0,9.0,24.0,2.0,57.0,78.0,84.0,,25.0,2.0,23.0,3.0,10.0,5.0,8.0,3.0,1.0,,18.0,,4.0,,3.0,10.0,,3.0,3.0,7.0,,4.0,1.0,,,3.0,23.0,,4.0,,19.0,2.0,5.0,1.0,,,,,,,,,,57.0,6.0,1.0,0.6610169491525424,0.6610169491525424,0.875,0.32,0.375,0.32323232323232326,0.3,0.3888888888888889,0.3157894736842105,0.4583333333333333,0.38095238095238093,0.4523809523809524,0.02,0.03278688524590164,0.024390243902439025,0.47619047619047616,,,0.002347417840375587,0.08294930875576037,0.018292682926829267,0.006779661016949152,,0.0055248618784530384,,0.02158273381294964,,0.07042253521126761,0.07784431137724551,0.1,,,0.45,0.47368421052631576,0.6666666666666666,0.64,0.25957446808510637,0.4098360655737705,0.423728813559322,0.68,0.07659574468085106,0.3888888888888889,0.3888888888888889,1.0,0.3048780487804878,0.3125,0.84,0.05263157894736842,,,0.4444444444444444,0.1,0.6666666666666666,0.3,0.30864197530864196,0.4839236842105263,0.03319502074688797,0.036231884057971016,0.07207207207207207,0.25675675675675674,2.0,9.0,5.0,2.0,9.0,12.0,1.0,3.0,0.2222222222222222,0.47368421052631576,0.2222222222222222,1.0,0.2777777777777778,0.02912621359223301,,,,,,,,,,,,,,True,
1627856,1610612759,Matt Costello,Matt Costello,1627856,SAS,768.0,13,8,26,27,1,13,3,53,2,1.0,,,,1,2,,2,29,1.0,,,,,,,,3.0,4.0,5.0,,,,,1.0,,2.0,2.0,1,0.5,0.5,0.5,,,,,10.344827586206897,0.375,0.2727272727272727,0.3333333333333333,0.5,1.0,,,,,1.0,1.0,0.7173,0.7592,0.75,,0.038461538461538464,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,0.5,,0.14285714285714285,,,0.1111111111111111,0.3333333333333333,,,,,0.3333333333333333,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,1.0,,,,,,,,0.7592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
202722,1610612759,Davis Bertans,Davis Bertans,202722,SAS,29119.0,485,110,984,983,263,231,100,1967,28,7.0,8.0,16.0,93.0,33,50,108.0,222,932,12.0,6.0,92.0,3.0,13.0,37.0,10.0,87.0,37.0,55.0,61.0,11.0,10.0,5.0,,15.0,6.0,15.0,34.0,263,0.66,0.6170886075949367,0.6491228070175439,0.6835443037974683,0.06,0.07142857142857142,0.0625,17.0018281535649,0.11044776119402985,0.10756972111553785,0.1,0.125,0.17721518987341772,0.10126582278481013,0.5,0.5333333333333333,0.5886075949367089,0.14583333333333334,0.8607594936708861,0.5372178343949046,0.5256914893617021,5.824,26.112962962962964,0.26727642276422764,23.0,3.0,4.0,7.0,2.0,6.0,9.0,15.0,4.0,8.0,34.0,28.0,43.0,27.0,3.0,5.0,5.0,20.0,11.0,15.0,36.0,6.0,73.0,60.0,129.0,4.0,34.0,,24.0,3.0,14.0,6.0,4.0,2.0,4.0,,17.0,1.0,6.0,1.0,1.0,10.0,3.0,9.0,,1.0,1.0,1.0,2.0,,,1.0,22.0,,2.0,1.0,35.0,2.0,6.0,2.0,14.0,,,12.0,,2.0,14.0,6.0,,73.0,2.0,2.0,0.9090909090909091,0.967741935483871,1.0,0.39814814814814814,0.4166666666666667,0.40186915887850466,0.6,0.9166666666666666,0.5769230769230769,0.6979166666666666,0.6666666666666666,0.7156862745098039,,,,0.6666666666666666,0.05263157894736842,,0.013605442176870748,0.10179640718562874,0.012422360248447204,0.013186813186813187,0.019801980198019802,,0.025974025974025976,0.007518796992481203,0.03571428571428571,0.11009174311926606,0.1015625,0.10256410256410256,0.01282051282051282,0.42857142857142855,0.8214285714285714,0.8846153846153846,0.9130434782608695,1.0,0.0379746835443038,0.3333333333333333,0.3333333333333333,0.5,0.0949367088607595,0.6,0.6,1.0,0.3655913978494624,0.3655913978494624,1.0,0.3076923076923077,0.75,0.3333333333333333,1.0,0.16666666666666666,0.5,0.5833333333333334,0.3695652173913043,0.5565599999999999,0.07692307692307693,0.1111111111111111,0.09009009009009009,0.32882882882882886,3.0,8.0,11.0,3.0,8.0,,1.0,7.0,0.375,0.6153846153846154,0.375,1.0,0.39285714285714285,0.06086956521739131,1.0,1.0,,,,,,,,,,,,True,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,18949.0,316,27,624,629,236,206,76,1253,34,14.0,11.0,24.0,36.0,36,67,49.0,141,677,27.0,38.0,35.0,6.0,17.0,38.0,13.0,93.0,24.0,34.0,40.0,8.0,5.0,9.0,1.0,23.0,7.0,7.0,26.0,234,0.5373134328358209,0.5301724137931034,0.5595238095238095,0.4224137931034483,0.08955223880597014,0.14705882352941177,,21.074964639321074,0.11538461538461539,0.10596026490066225,0.07792207792207792,0.2222222222222222,0.29310344827586204,0.20689655172413793,0.4583333333333333,0.4583333333333333,0.3103448275862069,0.3111111111111111,0.7155172413793104,0.5034000000000001,0.49749318181818175,6.753731343283584,25.493877551020407,0.3782051282051282,22.0,1.0,1.0,9.0,3.0,9.0,3.0,13.0,,4.0,14.0,14.0,17.0,18.0,2.0,4.0,,4.0,14.0,6.0,18.0,11.0,57.0,34.0,36.0,,14.0,1.0,21.0,4.0,15.0,3.0,3.0,2.0,4.0,,8.0,2.0,6.0,2.0,3.0,14.0,5.0,10.0,1.0,4.0,,2.0,2.0,1.0,,1.0,31.0,1.0,1.0,1.0,24.0,4.0,9.0,5.0,2.0,1.0,,1.0,,1.0,3.0,1.0,,55.0,3.0,3.0,0.4722222222222222,0.4722222222222222,0.7058823529411765,0.3469387755102041,0.3333333333333333,0.3541666666666667,0.5,0.5185185185185185,0.25,0.5111111111111111,0.25,0.5480769230769231,0.02040816326530612,0.1111111111111111,0.027777777777777776,0.6086956521739131,0.125,,0.021505376344086023,0.0851063829787234,0.02127659574468085,0.02142857142857143,0.015625,0.02702702702702703,0.020833333333333332,,0.08,0.058823529411764705,0.09210526315789473,0.05555555555555555,0.03773584905660377,0.3333333333333333,0.6470588235294118,0.7586206896551724,0.5,0.45454545454545453,0.07758620689655173,0.3333333333333333,0.375,0.3333333333333333,0.11206896551724138,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.3888888888888889,0.4,0.7142857142857143,0.125,1.0,,0.6428571428571429,0.08888888888888889,,0.3111111111111111,0.4,0.48685999999999996,0.0743801652892562,0.125,0.028368794326241134,0.40425531914893614,,3.0,6.0,,4.0,15.0,1.0,,,0.375,,,0.42857142857142855,,2.0,,1.0,1.0,1.0,0.125,,,,,,,,True,
200746,1610612759,LaMarcus Aldridge,LaMarcus Aldridge,200746,SAS,67589.0,1126,117,2165,2186,428,234,263,4351,187,54.0,104.0,233.0,37.0,298,573,42.0,751,2221,109.0,290.0,37.0,23.0,31.0,75.0,24.0,181.0,81.0,150.0,250.0,20.0,12.0,22.0,4.0,49.0,6.0,29.0,52.0,425,0.5200698080279232,0.5016260162601626,0.5501474926253688,0.06829268292682927,0.04013961605584642,0.053475935828877004,0.05150214592274678,29.361873990306943,0.11604584527220631,0.13394495412844037,0.09561752988047809,0.15625,0.3040650406504065,0.37886178861788616,0.44635193133047213,0.47058823529411764,0.06016260162601626,0.4778761061946903,0.3723577235772358,0.4716027642276423,0.488866371681416,9.1130890052356,25.54285714285714,0.1976905311778291,127.0,40.0,60.0,38.0,67.0,153.0,2.0,5.0,,,5.0,4.0,7.0,134.0,57.0,91.0,25.0,139.0,57.0,,4.0,46.0,160.0,306.0,21.0,60.0,5.0,,44.0,7.0,18.0,13.0,13.0,22.0,77.0,1.0,65.0,4.0,100.0,11.0,8.0,27.0,5.0,13.0,2.0,14.0,,6.0,,2.0,6.0,5.0,150.0,5.0,2.0,3.0,157.0,23.0,70.0,16.0,51.0,,,30.0,,21.0,51.0,35.0,,160.0,1.0,15.0,0.5134228187919463,0.5708955223880597,1.0,0.16666666666666666,,0.16666666666666666,0.6263736263736264,0.5229357798165137,0.6129032258064516,0.504424778761062,0.6619047619047619,0.5802919708029197,,0.006535947712418301,,0.5510204081632653,0.125,0.017857142857142856,0.10026041666666667,0.16581632653061223,0.07166123778501629,0.09209302325581395,0.16113744075829384,0.09567901234567901,0.05150214592274678,0.04918032786885246,0.15873015873015872,0.10588235294117647,0.1701388888888889,0.15384615384615385,0.03832752613240418,0.6862745098039216,0.679144385026738,0.7175141242937854,0.5511811023622047,0.38461538461538464,0.24878048780487805,0.43790849673202614,0.4407894736842105,0.6417910447761194,0.008130081300813009,0.4,0.4,1.0,0.13513513513513514,0.13513513513513514,1.0,0.6451612903225806,0.6666666666666666,0.1,0.7037037037037037,,,0.035398230088495575,0.13513513513513514,0.5642571428571429,0.10574018126888217,0.11290322580645161,0.18508655126498003,0.21304926764314247,,2.0,,,2.0,,,,,0.021505376344086023,,,,,,,,,,,8.0,1.0,1.0,,,,,True,
2200,1610612759,Pau Gasol,Pau Gasol,2200,SAS,44899.0,748,24,1472,1478,267,173,169,2950,77,12.0,20.0,69.0,38.0,82,197,47.0,270,1514,31.0,52.0,38.0,17.0,30.0,120.0,25.0,270.0,103.0,191.0,243.0,5.0,4.0,20.0,3.0,45.0,9.0,38.0,51.0,266,0.41624365482233505,0.4344262295081967,0.4804270462633452,0.19262295081967212,0.08629441624365482,0.15584415584415584,0.07246376811594203,19.46268656716418,0.21593291404612158,0.23448275862068965,0.21739130434782608,0.2054794520547945,0.3155737704918033,0.2827868852459016,0.2898550724637681,0.3125,0.1557377049180328,0.2926829268292683,0.5081967213114754,0.49691516393442625,0.4917048780487805,8.292893401015228,24.968085106382983,0.18138586956521738,43.0,14.0,25.0,8.0,19.0,51.0,3.0,9.0,1.0,2.0,13.0,8.0,16.0,58.0,19.0,34.0,18.0,56.0,12.0,5.0,10.0,26.0,65.0,112.0,48.0,20.0,13.0,,90.0,5.0,57.0,14.0,19.0,13.0,38.0,1.0,67.0,21.0,52.0,6.0,1.0,25.0,9.0,17.0,1.0,8.0,,1.0,,3.0,4.0,2.0,87.0,18.0,2.0,,82.0,8.0,34.0,11.0,35.0,1.0,1.0,29.0,,6.0,36.0,25.0,,65.0,,10.0,0.6829268292682927,0.7777777777777778,1.0,0.3404255319148936,0.5,0.3404255319148936,0.5588235294117647,0.3870967741935484,0.5428571428571428,0.47560975609756095,0.5833333333333334,0.5603448275862069,,,,0.5555555555555556,0.5384615384615384,0.021739130434782608,0.07156308851224105,0.2701612903225806,0.06103286384976526,0.06854838709677419,0.11494252873563218,0.05314009661835749,0.04666666666666667,0.06748466257668712,0.04,0.22448979591836735,0.27319587628865977,0.25925925925925924,0.047244094488188976,0.6944444444444444,0.5584415584415584,0.6615384615384615,0.6976744186046512,0.4,0.20901639344262296,0.37254901960784315,0.37254901960784315,0.9473684210526315,0.036885245901639344,0.3333333333333333,0.3333333333333333,1.0,0.34210526315789475,0.34210526315789475,1.0,0.7142857142857143,0.56,0.2857142857142857,0.6666666666666666,0.04878048780487805,0.5,0.1951219512195122,0.34210526315789475,0.5721616666666667,0.1259259259259259,0.15246636771300448,0.2074074074074074,0.24074074074074073,,1.0,4.0,,1.0,,,,,0.02857142857142857,,,0.5,,,,,,,,,1.0,,,,,,True,
201980,1610612759,Danny Green,Danny Green,201980,SAS,47804.0,797,20,1530,1554,183,114,197,3084,52,3.0,7.0,31.0,109.0,45,116,150.0,281,1586,8.0,34.0,109.0,7.0,12.0,47.0,4.0,106.0,54.0,88.0,105.0,23.0,16.0,12.0,3.0,33.0,1.0,34.0,60.0,179,0.3879310344827586,0.4793233082706767,0.5,0.5639097744360902,0.0603448275862069,0.038461538461538464,0.16129032258064516,17.7437641723356,0.11065573770491803,0.11428571428571428,0.09424083769633508,0.15126050420168066,0.19548872180451127,0.11654135338345864,0.22580645161290322,0.2692307692307692,0.40977443609022557,0.125,0.7593984962406015,0.5241249056603773,0.5336895833333334,8.058620689655172,25.089333333333332,0.11960784313725491,30.0,5.0,8.0,2.0,8.0,33.0,20.0,41.0,2.0,4.0,35.0,12.0,55.0,26.0,7.0,14.0,2.0,34.0,3.0,8.0,16.0,8.0,38.0,56.0,162.0,8.0,35.0,,35.0,8.0,17.0,9.0,9.0,9.0,8.0,,34.0,,17.0,5.0,7.0,21.0,4.0,20.0,3.0,1.0,1.0,3.0,,1.0,6.0,,40.0,3.0,5.0,2.0,33.0,2.0,11.0,3.0,38.0,4.0,2.0,26.0,2.0,10.0,42.0,28.0,,38.0,2.0,3.0,0.6222222222222222,0.6829268292682927,0.9818181818181818,0.36666666666666664,0.5,0.36666666666666664,0.5,0.375,0.5714285714285714,0.625,0.5862068965517241,0.6551724137931034,,,,0.6363636363636364,,,0.014953271028037384,0.12056737588652482,0.03543307086614173,0.021546261089987327,0.0196078431372549,0.01809954751131222,0.006211180124223602,0.041025641025641026,0.01694915254237288,0.10112359550561797,0.11650485436893204,0.13157894736842105,0.031446540880503145,0.6666666666666666,0.5769230769230769,0.6,0.6333333333333333,0.42857142857142855,0.12406015037593984,0.24242424242424243,0.24242424242424243,0.75,0.15413533834586465,0.4878048780487805,0.4878048780487805,1.0,0.3211009174311927,0.3211009174311927,0.9714285714285714,0.2857142857142857,0.625,,0.6666666666666666,0.16666666666666666,0.5,0.5,0.3211009174311927,0.5344842105263158,0.04693140794223827,0.088,0.12099644128113879,0.13523131672597866,2.0,8.0,6.0,6.0,14.0,3.0,,2.0,0.42857142857142855,0.2857142857142857,0.25,1.0,0.5,0.013157894736842105,2.0,3.0,6.0,,2.0,0.21428571428571427,1.0,,,4.0,0.6666666666666666,1.0,,True,
203530,1610612759,Joffrey Lauvergne,Joffrey Lauvergne,203530,SAS,12737.0,212,-20,430,431,123,127,61,861,47,7.0,13.0,32.0,1.0,51,83,2.0,108,465,12.0,40.0,,7.0,3.0,20.0,1.0,43.0,14.0,36.0,63.0,4.0,2.0,5.0,,9.0,2.0,10.0,19.0,122,0.6144578313253012,0.6,0.6067415730337079,0.023529411764705882,0.08433734939759036,0.0851063829787234,0.09375,19.639278557114228,0.112,0.16580310880829016,0.0425531914893617,0.20588235294117646,0.5529411764705883,0.3764705882352941,0.40625,0.4482758620689655,0.011764705882352941,0.5,0.5764705882352941,0.517647023809524,0.573773076923077,4.612048192771084,40.1,0.28604651162790695,35.0,12.0,17.0,7.0,3.0,4.0,,1.0,,1.0,,1.0,,6.0,13.0,20.0,2.0,28.0,9.0,,2.0,3.0,21.0,62.0,,22.0,,,17.0,2.0,9.0,6.0,2.0,6.0,21.0,,18.0,4.0,27.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,,2.0,1.0,,2.0,2.0,11.0,2.0,,,9.0,1.0,5.0,,,,,,,,,,,21.0,3.0,,0.6078431372549019,0.775,,,,,0.65,0.75,0.65,0.6428571428571429,0.6666666666666666,0.65625,,,,0.4444444444444444,0.6666666666666666,,0.1590909090909091,0.2647058823529412,0.09523809523809523,0.13846153846153847,0.125,0.18333333333333332,0.15625,0.08163265306122448,0.14285714285714285,0.11363636363636363,0.25,0.3125,0.038461538461538464,,0.7446808510638298,0.813953488372093,0.5142857142857142,0.7692307692307693,0.047058823529411764,0.75,0.75,1.0,0.011764705882352941,,,,,,,0.85,0.7058823529411765,0.08333333333333333,1.0,0.07142857142857142,,0.07142857142857142,,0.6101352941176472,0.056179775280898875,0.05747126436781609,0.25925925925925924,0.19444444444444445,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,
