EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PtsUnassisted2s,PtsPutbacks,BlockedLongMidRange,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,Steals,BadPassSteals,ShortMidRangeFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,Arc3Assists,BadPassTurnovers,Charge Fouls,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,ShortMidRangeFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeFGM,SecondChanceArc3FGA,AtRimAssists,SelfOReb,LostBallSteals,DefShortMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,BlockingFoulsDrawn,LongMidRangePctAssisted,PtsUnassisted3s,Fg3aBlocked,ShortMidRangeAssists,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,ShortMidRangeFGM,Technical Free Throw Trips,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,OffArc3ReboundPct,LostBallOutOfBoundsTurnovers,on,BlockedShortMidRange,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,SecondChanceArc3FGM,HeaveAttempts,FTOffRebounds,BlockingFouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,DefensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Clear Path Fouls,BlockedCorner3,Arc3PctBlocked,OffensiveGoaltends
1626173,1610612749,Rashad Vaughn,Rashad Vaughn,1626173,MIL,469.0,8,-3.0,16,16,16.0,13.0,5.0,32,1.0,2.0,1.0,2.0,1.0,2.0,3.0,17,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,16.0,1.0,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1.0,14.285714285714286,0.14285714285714285,0.125,0.14285714285714285,0.1,0.2,0.2,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.561675,0.561675,1.0,24.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1627850,1610612749,Marshall Plumlee,Marshall Plumlee,1627850,MIL,3104.0,52,,108,112,43.0,37.0,13.0,220,,,,,,,14.0,103,,,4.0,,,,2.0,5.0,13.0,4.0,17.0,,1.0,3.0,1.0,4.0,43.0,,,,,0.3333333333333333,,0.6363636363636364,0.4,,11.666666666666668,0.1388888888888889,0.0625,0.24,0.08333333333333333,0.07142857142857142,0.2,,,,,,,1.0,,0.6304,0.50165,0.2857142857142857,,0.39814814814814814,1.0,3.0,2.0,1.0,3.0,12.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,7.0,1.0,2.0,2.0,1.0,1.0,4.0,10.0,3.0,10.0,1.0,16.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.125,0.1,0.4,0.23076923076923078,0.4166666666666667,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.14285714285714285,1.5333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1628391,1610612749,D.J. Wilson,D.J. Wilson,1628391,MIL,479.0,8,-1.0,16,16,16.0,13.0,5.0,32,,,,,1.0,1.0,5.0,15,1.0,1.0,5.0,3.0,,,1.0,,,1.0,1.0,,,,,5.0,16.0,1.0,1.0,1.0,1.0,1.25,1.25,1.25,1.25,0.5,9.523809523809524,,0.125,,0.1,0.2,,,,,,,,1.0,,0.696425,0.696425,1.0,22.8,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,0.5,1.0,1.0,,0.5,,,0.4,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.7378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1628425,1610612749,Sterling Brown,Sterling Brown,1628425,MIL,1621.0,27,1.0,55,56,20.0,19.0,6.0,111,,1.0,,,,2.0,,50,,,,,1.0,,,1.0,2.0,,2.0,,,,,,20.0,,,,,,,,,0.6666666666666666,5.0,0.05555555555555555,,0.07692307692307693,,,0.5,0.3333333333333333,,,,,,1.0,,0.6686333333333333,,,23.9,0.36363636363636365,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,0.125,,,,,0.14285714285714285,,,0.3333333333333333,,,,,,,,0.9,,,,,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
203930,1610612749,Sean Kilpatrick,Sean Kilpatrick,203930,MIL,1082.0,18,-8.0,37,39,25.0,14.0,6.0,76,,1.0,,,2.0,6.0,14.0,40,1.0,3.0,9.0,6.0,1.0,,,1.0,3.0,,3.0,1.0,2.0,4.0,2.0,9.0,25.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.5,0.45,0.5,41.86046511627907,0.08333333333333333,,0.14285714285714285,,,,0.08333333333333333,,,,,,0.9166666666666666,,0.5531041666666666,0.5433222222222223,0.6428571428571429,23.55,0.6756756756756757,1.0,5.0,5.0,1.0,6.0,6.0,1.0,6.0,6.0,4.0,,1.0,,2.0,2.0,1.0,,6.0,,1.0,1.0,2.0,1.0,,,,1.0,,3.0,,6.0,2.0,,1.0,1.0,1.0,1.0,,,,,0.16666666666666666,1.0,0.16666666666666666,0.2,0.5,1.0,0.5,,,,0.3333333333333333,0.5,,1.0,0.4166666666666667,0.2,0.25,,0.5555555555555556,0.21428571428571427,0.2857142857142857,0.42857142857142855,2.9333333333333336,1.0,2.0,1.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,2.0,,,0.5,0.16666666666666666,0.8333333333333334,0.4166666666666667,0.4,0.4,1.0,0.6666666666666666,0.5,0.2,0.3333333333333333,0.3333333333333333,0.562,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.3333333333333333,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
204098,1610612749,Xavier Munford,Xavier Munford,204098,MIL,377.0,6,-2.0,13,13,13.0,10.0,4.0,26,,,,,,,1.0,13,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,13.0,,,,,,,0.125,0.125,,29.41176470588235,,0.14285714285714285,,0.125,,,,,,,,,0.3333333333333333,,0.3800666666666667,0.3800666666666667,1.0,,1.0,,1.0,1.0,,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,0.5,,,,,,0.3333333333333333,,,,0.3333333333333333,0.25,0.25,,9.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.2445,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612749,Jason Terry,Jason Terry,1891,MIL,1451.0,24,-9.0,51,51,15.0,14.0,5.0,102,,4.0,,1.0,,4.0,2.0,52,,1.0,2.0,,4.0,,1.0,3.0,3.0,1.0,4.0,,1.0,2.0,,2.0,15.0,,,,,0.16666666666666666,0.5,0.16666666666666666,0.5,0.6666666666666666,14.285714285714285,0.25,0.058823529411764705,0.15,0.037037037037037035,,,0.6666666666666666,,,,0.5,,0.6666666666666666,,0.4574583333333333,0.44830000000000003,1.0,26.675000000000004,0.29411764705882354,,,,1.0,2.0,,,,1.0,,,,2.0,,2.0,,1.0,4.0,,,,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,,0.5,,,,0.5,,,,0.25,,,,,,,,,,,,,,14.8,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,0.5337,3.0,2.0,1.0,,,,1.0,,1.0,,,,,0.16666666666666666,,,,,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1627748,1610612749,Thon Maker,Thon Maker,1627748,MIL,57.0,1,-4.0,2,3,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
203507,1610612749,Giannis Antetokounmpo,Giannis Antetokounmpo,203507,MIL,901.0,15,-5.0,33,34,6.0,4.0,2.0,67,,,,,,,11.0,30,,,,,,,,4.0,5.0,,5.0,1.0,1.0,2.0,,,6.0,,,,,0.45454545454545453,,0.4583333333333333,,,40.0,0.4,,0.35714285714285715,,,0.25,,,,,,,0.45454545454545453,,0.4583272727272727,0.54795,,,0.18181818181818182,2.0,5.0,1.0,5.0,11.0,1.0,,,2.0,,2.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,,1.0,1.0,,,,1.0,,3.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,,0.2,0.2,0.45454545454545453,,0.09090909090909091,0.2,0.5,,0.25,,,,0.5,0.3333333333333333,,1.0,0.45454545454545453,0.4,0.5,,0.5,0.08333333333333333,0.08333333333333333,,11.70909090909091,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.5454545454545454,3.0,,,,,0.5,,0.5,0.5,,1.0,0.3333333333333333,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1627763,1610612749,Malcolm Brogdon,Malcolm Brogdon,1627763,MIL,382.0,6,12.0,14,13,6.0,,1.0,27,1.0,2.0,1.0,1.0,2.0,3.0,10.0,7,2.0,2.0,6.0,3.0,2.0,1.0,,2.0,2.0,,2.0,,,1.0,,6.0,6.0,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,1.5,1.0,1.5,0.6,40.0,0.3333333333333333,,0.25,,,,0.4,0.5,0.5,,0.5,1.0,1.0,0.5,0.55637,0.5523750000000001,0.6,25.2,0.42857142857142855,2.0,2.0,,2.0,2.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,0.5,0.5,1.0,,,,1.0,,,,,,0.5,,,,0.4,1.0,1.0,0.5,,,,,1.5,,,,1.0,1.0,1.0,1.0,,,,2.0,,,,,,0.2,1.0,1.0,1.0,,,,0.5,1.0,0.5304,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
