EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,Usage,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,BlockingFouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceFtPoints,HeaveAttempts,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,3SecondViolations,LongMidRangePctBlocked,Corner3PctBlocked,DefensiveGoaltends,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,on,BlockedLongMidRange,OffensiveGoaltends
101112,1610612739,Channing Frye,Channing Frye,101112,CLE,6378.0,106.0,2.0,210.0,206.0,86.0,73.0,18.0,416.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,12.0,1.0,2.0,1.0,1.0,8.0,17.0,7.0,9.0,10.0,19.0,9.0,19.0,2.0,49.0,221.0,1.0,3.0,2.0,6.0,8.0,8.0,10.0,2.0,38.0,10.0,10.0,27.0,2.0,17.0,8.0,1.0,6.0,1.0,7.0,1.0,5.0,1.0,15.0,1.0,1.0,1.0,5.0,7.0,1.0,13.0,3.0,16.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,4.0,6.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,38.0,86.0,0.5,0.5555555555555556,1.0,0.47368421052631576,0.8,0.47368421052631576,0.5263157894736842,0.3333333333333333,0.75,0.618421052631579,0.3333333333333333,1.0,0.6282051282051282,0.3333333333333333,1.0,0.5,0.05263157894736842,0.058823529411764705,18.34061135371179,0.125,0.25,0.12280701754385964,0.020833333333333332,0.13513513513513514,0.023255813953488372,0.1276595744680851,0.02197802197802198,0.06666666666666667,0.027777777777777776,0.11764705882352941,0.15789473684210525,0.09523809523809523,0.14285714285714285,0.1111111111111111,0.05555555555555555,0.5,0.10526315789473684,0.75,0.75,0.6666666666666666,0.07894736842105263,1.0,1.0,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.75,0.05263157894736842,0.5,0.5,1.0,0.4473684210526316,0.47058823529411764,0.5,1.0,0.6666666666666666,0.5,0.05555555555555555,1.0,0.5,0.7777777777777778,0.6052631578947368,0.47058823529411764,0.48659342105263165,0.7129,0.4551694444444445,0.02564102564102564,0.05,0.04081632653061224,0.7755102040816326,14.278947368421052,25.884210526315787,0.4095238095238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
101181,1610612739,Jose Calderon,Jose Calderon,101181,CLE,54861.0,914.0,65.0,1825.0,1809.0,379.0,299.0,139.0,3634.0,25.0,36.0,,3.0,4.0,13.0,19.0,39.0,10.0,16.0,2.0,2.0,35.0,81.0,4.0,12.0,48.0,88.0,45.0,97.0,24.0,255.0,1998.0,1.0,5.0,8.0,9.0,15.0,6.0,14.0,12.0,48.0,22.0,74.0,111.0,,81.0,35.0,,73.0,44.0,117.0,31.0,55.0,12.0,278.0,8.0,6.0,,27.0,43.0,,70.0,14.0,84.0,2.0,27.0,17.0,10.0,4.0,13.0,1.0,40.0,3.0,36.0,81.0,48.0,,30.0,8.0,2.0,,2.0,2.0,1.0,48.0,377.0,0.22916666666666666,0.22916666666666666,0.8222222222222222,0.4639175257731959,0.42857142857142855,0.4639175257731959,0.5454545454545454,0.2,0.6,0.6243243243243243,0.4444444444444444,0.6206896551724138,0.6414141414141414,0.4444444444444444,0.6666666666666666,0.5243243243243243,,,11.995967741935484,,,0.08921161825726141,0.014184397163120567,0.07692307692307693,0.021333333333333333,0.08403361344537816,0.017543859649122806,0.012987012987012988,0.024054982817869417,0.12941176470588237,0.0449438202247191,0.09701492537313433,0.07220216606498195,0.0945945945945946,0.024096385542168676,0.5,0.1945945945945946,0.6944444444444444,0.8333333333333334,0.24,0.07027027027027027,0.3076923076923077,0.36363636363636365,0.21081081081081082,0.48717948717948717,0.48717948717948717,0.2631578947368421,0.08648648648648649,0.625,0.625,1.0,0.43783783783783786,0.43209876543209874,0.43209876543209874,0.7714285714285715,0.3333333333333333,,0.06896551724137931,1.0,0.41379310344827586,0.3333333333333333,0.7189189189189189,0.43209876543209874,0.5134335135135135,0.5364142857142857,0.49330689655172416,0.046632124352331605,0.08421052631578947,0.03137254901960784,0.18823529411764706,10.459090909090905,25.42680412371133,0.20767123287671233,4.0,6.0,2.0,4.0,2.0,4.0,24.0,8.0,13.0,6.0,27.0,23.0,3.0,4.0,8.0,4.0,2.0,3.0,6.0,7.0,1.0,2.0,1.0,5.0,4.0,5.0,0.5,0.09090909090909091,0.16666666666666666,0.15384615384615385,0.675,0.03418803418803419,0.011904761904761904,0.4444444444444444,0.5,1.0,0.20689655172413793,0.6666666666666666,0.01020408163265306,,,,,,,,,,,,,,,,,,,,,,,True,,
1626224,1610612739,Cedi Osman,Cedi Osman,1626224,CLE,8443.0,141.0,-3.0,286.0,279.0,94.0,116.0,18.0,565.0,7.0,7.0,1.0,1.0,3.0,4.0,4.0,9.0,7.0,12.0,1.0,2.0,1.0,7.0,,1.0,14.0,20.0,8.0,19.0,4.0,56.0,290.0,2.0,2.0,7.0,5.0,7.0,1.0,3.0,3.0,16.0,16.0,12.0,24.0,,7.0,1.0,,3.0,8.0,11.0,3.0,3.0,,30.0,1.0,1.0,,15.0,9.0,5.0,29.0,2.0,31.0,,1.0,,1.0,3.0,5.0,1.0,10.0,,4.0,10.0,9.0,2.0,7.0,2.0,,,,,,16.0,94.0,0.5714285714285714,0.5714285714285714,1.0,0.42105263157894735,0.3333333333333333,0.42105263157894735,0.7,1.0,0.7142857142857143,0.6666666666666666,0.875,0.65,0.6666666666666666,0.875,0.6666666666666666,0.48717948717948717,,,17.049180327868854,0.45454545454545453,,0.11842105263157894,0.015384615384615385,0.25,0.01818181818181818,0.17647058823529413,0.016666666666666666,,0.023809523809523808,0.06666666666666667,0.07407407407407407,0.2631578947368421,0.2916666666666667,0.08333333333333333,,,0.1794871794871795,1.0,1.0,0.5714285714285714,0.10256410256410256,0.75,1.0,0.23076923076923078,0.4444444444444444,0.4444444444444444,0.5,0.3076923076923077,0.5833333333333334,0.5833333333333334,1.0,0.1794871794871795,0.14285714285714285,0.14285714285714285,1.0,0.25,1.0,0.2,0.5,0.1,,0.6666666666666666,0.14285714285714285,0.5191948717948717,0.424075,0.522035,0.05,0.09523809523809523,0.125,0.2857142857142857,10.140000000000002,23.910526315789472,0.32867132867132864,2.0,2.0,,1.0,1.0,2.0,,1.0,5.0,,5.0,2.0,,3.0,,,,,,2.0,1.0,,,2.0,2.0,2.0,0.5,0.05,,0.25,0.5,,,0.25,,,0.2,1.0,,1.0,1.0,1.0,0.029411764705882353,0.6666666666666666,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,True,,
1627790,1610612739,Ante Zizic,Ante Zizic,1627790,CLE,7304.0,122.0,-27.0,252.0,247.0,70.0,104.0,24.0,499.0,22.0,27.0,6.0,8.0,7.0,13.0,,1.0,,,,,,,,,29.0,41.0,,,11.0,69.0,280.0,7.0,9.0,18.0,8.0,12.0,,,3.0,19.0,40.0,18.0,,12.0,,,,2.0,2.0,4.0,1.0,1.0,,10.0,5.0,8.0,,10.0,13.0,2.0,25.0,13.0,38.0,2.0,1.0,,1.0,1.0,5.0,3.0,10.0,,11.0,14.0,11.0,2.0,14.0,6.0,10.0,4.0,6.0,10.0,5.0,19.0,70.0,0.6896551724137931,0.8695652173913043,,,,,0.7073170731707317,0.7777777777777778,0.6666666666666666,0.7073170731707317,0.7777777777777778,0.6666666666666666,0.71875,0.8181818181818182,0.6785714285714286,,,,20.357142857142858,0.3333333333333333,,0.19402985074626866,0.13793103448275862,0.19607843137254902,0.10416666666666667,0.19491525423728814,0.12264150943396226,0.25,0.05555555555555555,0.16666666666666666,0.35,0.08695652173913043,0.21951219512195122,0.1,0.2,0.5,0.6585365853658537,0.8148148148148148,0.88,0.7272727272727273,0.3170731707317073,0.5384615384615384,0.5384615384615384,0.024390243902439025,,,,,,,,,,,,0.8888888888888888,0.75,,,,,0.6585365853658537,,0.5511463414634146,0.6860333333333334,0.5367583333333334,0.13043478260869565,0.13043478260869565,0.2608695652173913,0.2753623188405797,4.012195121951219,,0.2777777777777778,6.0,8.0,,,,,,2.0,1.0,1.0,5.0,2.0,,3.0,2.0,,1.0,1.0,,,1.0,,,2.0,,,,0.04878048780487805,0.07407407407407407,,0.5,0.0625,0.25,,,,0.6666666666666666,0.75,,,,,0.09090909090909091,0.5714285714285714,,,,,4.0,,,,,,,,,,,,,True,,
201145,1610612739,Jeff Green,Jeff Green,201145,CLE,15936.0,266.0,-21.0,532.0,531.0,126.0,100.0,34.0,1063.0,21.0,31.0,3.0,3.0,6.0,17.0,4.0,13.0,4.0,13.0,,2.0,6.0,22.0,1.0,6.0,31.0,61.0,10.0,35.0,18.0,110.0,609.0,4.0,5.0,8.0,9.0,15.0,1.0,8.0,13.0,34.0,32.0,30.0,27.0,6.0,21.0,6.0,,10.0,10.0,20.0,10.0,7.0,1.0,50.0,1.0,3.0,,12.0,11.0,1.0,24.0,4.0,28.0,3.0,6.0,5.0,1.0,1.0,7.0,1.0,11.0,,9.0,15.0,18.0,2.0,23.0,7.0,4.0,2.0,2.0,6.0,3.0,34.0,124.0,0.5161290322580645,0.5714285714285714,0.9,0.2857142857142857,0.125,0.29411764705882354,0.5081967213114754,0.8,0.6,0.4791666666666667,0.5,0.45652173913043476,0.5190476190476191,0.5,0.5666666666666667,0.3645833333333333,,,20.350877192982455,0.07142857142857142,,0.07482993197278912,0.025,0.11650485436893204,0.00980392156862745,0.092,0.018018018018018018,0.046511627906976744,,0.06,0.07462686567164178,0.1,0.10227272727272728,0.2,0.06,0.5,0.3229166666666667,0.6774193548387096,0.7,0.6666666666666666,0.17708333333333334,0.35294117647058826,0.375,0.13541666666666666,0.3076923076923077,0.3076923076923077,0.25,0.13541666666666666,0.3076923076923077,0.3076923076923077,1.0,0.22916666666666666,0.2727272727272727,0.2727272727272727,0.8333333333333334,0.375,1.0,0.08695652173913043,,0.2608695652173913,0.16666666666666666,0.6875,0.2857142857142857,0.5001094736842108,0.5476083333333334,0.4981045454545454,0.09615384615384616,0.1044776119402985,0.07272727272727272,0.3090909090909091,7.29672131147541,26.254285714285714,0.23684210526315788,6.0,8.0,,2.0,,3.0,3.0,2.0,,2.0,4.0,2.0,3.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,,0.03278688524590164,0.03225806451612903,0.058823529411764705,0.36363636363636365,0.02631578947368421,0.04,0.25,,,0.34782608695652173,0.75,0.08108108108108109,,1.0,,,0.16666666666666666,,0.125,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,True,,
202697,1610612739,Iman Shumpert,Iman Shumpert,202697,CLE,1389.0,23.0,19.0,50.0,49.0,26.0,13.0,5.0,99.0,,1.0,,,,,1.0,4.0,1.0,1.0,,,2.0,3.0,1.0,1.0,1.0,5.0,3.0,4.0,6.0,17.0,42.0,,,3.0,,2.0,1.0,1.0,5.0,8.0,,2.0,3.0,,3.0,2.0,,1.0,,1.0,,,,2.0,,,,4.0,1.0,,5.0,,5.0,,,,,1.0,1.0,,3.0,1.0,1.0,1.0,4.0,,8.0,2.0,,,,,,8.0,26.0,,,0.3333333333333333,0.75,1.0,0.75,0.2,,,0.6111111111111112,0.75,0.5,0.6538461538461539,0.75,0.6666666666666666,0.4444444444444444,,,29.09090909090909,,,0.05,,0.25,,0.1388888888888889,,,,,,0.25,0.09090909090909091,0.6,,,0.1111111111111111,,,,,,,0.4444444444444444,0.25,0.25,,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,,,,0.3333333333333333,1.0,0.5555555555555556,0.6666666666666666,0.48124999999999996,0.623925,0.4293833333333333,0.18181818181818182,0.2857142857142857,0.17647058823529413,0.47058823529411764,15.919999999999998,25.6,0.52,,1.0,,1.0,1.0,2.0,6.0,,,1.0,2.0,2.0,,,2.0,,,,,,,,,2.0,,2.0,0.5,,,,0.6666666666666666,,,0.5,,,0.3333333333333333,,,1.0,1.0,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,True,,
203109,1610612739,Jae Crowder,Jae Crowder,203109,CLE,27589.0,460.0,18.0,904.0,904.0,133.0,88.0,66.0,1808.0,24.0,41.0,3.0,6.0,4.0,6.0,6.0,19.0,7.0,18.0,1.0,2.0,20.0,58.0,1.0,10.0,34.0,66.0,27.0,76.0,27.0,176.0,1008.0,4.0,7.0,17.0,4.0,8.0,2.0,12.0,4.0,18.0,60.0,8.0,78.0,2.0,58.0,20.0,1.0,11.0,9.0,20.0,8.0,10.0,,49.0,9.0,4.0,,17.0,19.0,3.0,39.0,13.0,52.0,1.0,18.0,15.0,3.0,1.0,6.0,,14.0,2.0,18.0,36.0,22.0,,29.0,12.0,6.0,3.0,3.0,6.0,5.0,18.0,133.0,0.8823529411764706,0.9090909090909091,0.9629629629629629,0.35526315789473684,0.16666666666666666,0.35526315789473684,0.5151515151515151,0.5714285714285714,0.5,0.5246478873239436,0.5384615384615384,0.35,0.567741935483871,0.6071428571428571,0.4090909090909091,0.5352112676056338,0.013157894736842105,0.017241379310344827,17.280163599182004,0.14285714285714285,,0.07851239669421488,0.019417475728155338,0.1069182389937107,0.04522613065326633,0.08977556109725686,0.03209876543209877,0.05555555555555555,0.05128205128205128,0.10112359550561797,0.024096385542168676,0.11428571428571428,0.12605042016806722,0.05,0.013513513513513514,0.8333333333333334,0.2887323943661972,0.5853658536585366,0.6486486486486487,0.9166666666666666,0.04225352112676056,0.6666666666666666,0.6666666666666666,0.13380281690140844,0.3157894736842105,0.3333333333333333,0.8333333333333334,0.1267605633802817,0.3888888888888889,0.3888888888888889,0.8571428571428571,0.4084507042253521,0.3448275862068966,0.3508771929824561,1.0,0.46153846153846156,0.5,0.1,0.5,0.5,0.1,0.823943661971831,0.3448275862068966,0.5317218309859156,0.5630714285714287,0.5023875,0.09032258064516129,0.15584415584415584,0.09659090909090909,0.10227272727272728,8.043939393939393,25.342105263157894,0.14712389380530974,4.0,6.0,1.0,4.0,2.0,6.0,3.0,5.0,1.0,1.0,8.0,5.0,2.0,3.0,3.0,1.0,1.0,3.0,,2.0,1.0,,2.0,,,,0.3333333333333333,0.07575757575757576,0.0975609756097561,,0.5714285714285714,,0.023255813953488372,0.3076923076923077,0.25,1.0,0.3,0.6666666666666666,0.02564102564102564,1.0,2.0,,,0.75,0.3333333333333333,0.15384615384615385,0.5,,3.0,,1.0,,,,,,0.05263157894736842,,,,,True,,
2594,1610612739,Kyle Korver,Kyle Korver,2594,CLE,8047.0,134.0,38.0,274.0,266.0,114.0,87.0,19.0,540.0,4.0,5.0,,,1.0,1.0,3.0,5.0,5.0,9.0,3.0,4.0,13.0,29.0,3.0,8.0,8.0,11.0,18.0,38.0,3.0,73.0,283.0,,,6.0,4.0,5.0,6.0,12.0,1.0,27.0,14.0,2.0,54.0,,29.0,13.0,2.0,11.0,3.0,14.0,2.0,8.0,1.0,31.0,,,,9.0,7.0,,16.0,,16.0,,3.0,2.0,1.0,,4.0,2.0,9.0,,5.0,7.0,4.0,1.0,3.0,,2.0,1.0,1.0,2.0,1.0,27.0,114.0,0.875,0.875,1.0,0.47368421052631576,0.5,0.47368421052631576,0.7272727272727273,,0.8,0.7142857142857143,0.75,0.7647058823529411,0.7244897959183674,0.75,0.7647058823529411,0.7755102040816326,0.05263157894736842,0.034482758620689655,19.66101694915254,,,0.1,,0.16981132075471697,,0.13008130081300814,,,,0.19047619047619047,,0.14285714285714285,0.1702127659574468,0.16666666666666666,,0.5,0.10204081632653061,0.8,0.8,1.0,0.02040816326530612,1.0,1.0,0.10204081632653061,0.6,0.6,0.6666666666666666,0.1836734693877551,0.5555555555555556,0.625,1.0,0.5918367346938775,0.4482758620689655,0.4642857142857143,1.0,,,0.23529411764705882,0.75,0.47058823529411764,0.375,0.8775510204081632,0.4482758620689655,0.5297336734693878,0.49505,0.5285235294117648,0.02040816326530612,,0.0821917808219178,0.3698630136986301,10.618181818181817,25.231578947368416,0.41605839416058393,2.0,3.0,1.0,3.0,2.0,4.0,,,1.0,2.0,5.0,4.0,2.0,1.0,1.0,,1.0,,,,,2.0,1.0,,,,0.5,,,,0.5555555555555556,,,0.75,0.3333333333333333,1.0,0.17647058823529413,0.6666666666666666,0.02631578947368421,1.0,1.0,,,1.0,,0.25,1.0,1.0,,,,1.0,,,,,,0.1111111111111111,,,,True,,
201565,1610612739,Derrick Rose,Derrick Rose,201565,CLE,720.0,12.0,1.0,26.0,25.0,16.0,16.0,,51.0,2.0,4.0,,,1.0,1.0,,,,,,,,2.0,,2.0,3.0,5.0,,2.0,1.0,7.0,24.0,,,,2.0,2.0,,2.0,,4.0,4.0,2.0,,,2.0,,,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,,2.0,1.0,,,,,,4.0,16.0,0.6666666666666666,0.6666666666666666,,,,,0.6,,1.0,0.42857142857142855,,0.5,0.4375,,0.5,0.2857142857142857,,,34.61538461538461,,,,,,,,,,,,,,,,,,0.5714285714285714,0.5,0.5,0.5,0.14285714285714285,1.0,1.0,,,,,,,,,0.2857142857142857,,,,,,,,0.5,,0.8571428571428571,,0.5488214285714286,,0.5282625,0.125,0.16666666666666666,,0.5714285714285714,3.8800000000000003,25.6,0.6153846153846154,2.0,2.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,0.5,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,True,,
204066,1610612739,John Holland,John Holland,204066,CLE,4362.0,73.0,-10.0,153.0,143.0,42.0,86.0,8.0,296.0,1.0,5.0,,1.0,,1.0,,3.0,,4.0,,1.0,4.0,10.0,2.0,3.0,1.0,9.0,4.0,14.0,3.0,17.0,153.0,,1.0,,,3.0,2.0,4.0,2.0,8.0,2.0,,6.0,,10.0,4.0,,2.0,,2.0,,2.0,,4.0,2.0,,,2.0,3.0,,5.0,2.0,7.0,,4.0,4.0,,,,,1.0,,3.0,4.0,5.0,,4.0,2.0,,,,,,8.0,42.0,1.0,1.0,0.5,0.2857142857142857,0.5,0.2857142857142857,0.1111111111111111,,,0.30434782608695654,,0.42857142857142855,0.34,,0.5,0.6086956521739131,,,15.853658536585368,,,0.08333333333333333,,0.05714285714285714,0.06896551724137931,0.07042253521126761,0.03278688524590164,,0.05,,,0.3,0.0625,,,,0.21739130434782608,0.2,0.25,1.0,0.043478260869565216,,,0.13043478260869565,,,,0.17391304347826086,,,,0.43478260869565216,0.4,0.4,0.5,1.0,,0.14285714285714285,,0.42857142857142855,0.6666666666666666,0.8260869565217391,0.4,0.5298130434782609,,0.5259071428571428,0.08,0.18181818181818182,,0.47058823529411764,7.766666666666666,25.178571428571423,0.27450980392156865,,1.0,,,,,6.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,0.1111111111111111,0.2,,1.0,,0.1111111111111111,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,True,,
