EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,SecondChanceCorner3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsUnassisted3s,Fg3aBlocked,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3FGM,Travels,Offensive Fouls,Transition Take Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedAtRim,AtRimPctBlocked,LongMidRangePctAssisted,PenaltyCorner3Accuracy,LongMidRangeAssists,ThreePtShootingFoulsDrawn,Corner3PctBlocked,OffAtRimReboundPct,ThreePtShootingFoulsDrawnPct,Charge Fouls,BlockedCorner3,SecondChanceAtRimPctAssisted,on,SecondChanceCorner3FGM,Transition Take Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,3SecondViolations,Clear Path Fouls,OffensiveGoaltends
1626168,1610612758,Trey Lyles,Trey Lyles,1626168,SAC,9072.0,151.0,11.0,324.0,312.0,67.0,102.0,32.0,636.0,7.0,7.0,2.0,2.0,2.0,4.0,1.0,3.0,8.0,1.0,7.0,17.0,2.0,2.0,2.0,5.0,9.0,12.0,10.0,25.0,1.0,49.0,373.0,2.0,2.0,2.0,2.0,10.0,2.0,6.0,6.0,10.0,8.0,30.0,2.0,1.0,16.0,7.0,1.0,3.0,5.0,8.0,4.0,1.0,2.0,1.0,21.0,3.0,3.0,1.0,12.0,12.0,2.0,26.0,7.0,33.0,1.0,1.0,1.0,7.0,11.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,67.0,1.0,0.5555555555555556,0.625,1.0,0.4,1.0,0.3333333333333333,0.4166666666666667,0.75,1.0,0.6486486486486487,1.25,0.5,0.6282051282051282,1.25,0.5,0.6756756756756757,0.08333333333333333,0.25,11.1731843575419,0.25,0.09090909090909091,0.13953488372093023,0.04918032786885246,0.2033898305084746,0.043478260869565216,0.16551724137931034,0.046153846153846156,0.05128205128205128,0.14285714285714285,0.05555555555555555,0.07407407407407407,0.10638297872340426,0.4166666666666667,0.1836734693877551,0.3,0.1891891891891892,1.0,1.0,0.5714285714285714,0.10810810810810811,0.5,0.6666666666666666,0.5,0.02702702702702703,0.21621621621621623,0.375,0.375,1.0,0.4594594594594595,0.4117647058823529,0.4117647058823529,1.0,0.5,1.0,0.5,1.0,1.0,0.16666666666666666,0.8333333333333334,0.4,0.8648648648648649,0.4375,0.5453888888888889,0.5677,0.44810999999999995,0.05128205128205128,0.14285714285714285,0.20408163265306123,0.12244897959183673,5.341666666666668,27.328000000000003,0.20679012345679013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1628368,1610612758,De'Aaron Fox,De'Aaron Fox,1628368,SAC,13420.0,224.0,-4.0,486.0,471.0,97.0,172.0,56.0,957.0,15.0,19.0,1.0,2.0,20.0,51.0,11.0,1.0,5.0,,12.0,43.0,2.0,6.0,3.0,9.0,40.0,81.0,13.0,48.0,30.0,149.0,556.0,3.0,8.0,2.0,7.0,13.0,3.0,9.0,42.0,6.0,74.0,24.0,,1.0,42.0,12.0,2.0,26.0,21.0,47.0,17.0,4.0,22.0,4.0,115.0,3.0,2.0,,10.0,12.0,3.0,25.0,5.0,30.0,2.0,5.0,25.0,7.0,14.0,,30.0,,41.0,21.0,2.0,2.0,2.0,,,42.0,97.0,,0.075,0.075,0.6153846153846154,0.2708333333333333,0.2857142857142857,0.3333333333333333,0.2765957446808511,0.49382716049382713,0.375,0.46124031007751937,0.4,0.5,0.5068027210884354,0.40625,0.6,0.37209302325581395,0.024691358024691357,0.0392156862745098,31.444241316270567,0.1875,,0.09448818897637795,0.020833333333333332,0.12658227848101267,0.02586206896551724,0.10679611650485436,0.02358490566037736,0.031746031746031744,,0.022222222222222223,0.11904761904761904,0.09230769230769231,0.05,0.09523809523809523,0.25,0.14728682170542637,0.7894736842105263,0.7894736842105263,0.06666666666666667,0.3953488372093023,0.39215686274509803,0.40816326530612246,0.1,0.08527131782945736,0.03875968992248062,0.2,0.2,1.0,0.3333333333333333,0.27906976744186046,0.2857142857142857,0.5833333333333334,0.13333333333333333,0.5,0.4,0.3333333333333333,0.5,,0.3333333333333333,0.3333333333333333,0.5193798449612403,0.2857142857142857,0.4857371093749999,0.4954136363636362,0.4624407407407408,0.14482758620689656,0.21649484536082475,0.087248322147651,0.28187919463087246,8.101234567901235,26.506249999999994,0.19958847736625515,4.0,5.0,5.0,1.0,1.0,9.0,18.0,15.0,15.0,1.0,2.0,9.0,5.0,4.0,20.0,13.0,1.0,7.0,1.0,3.0,3.0,1.0,5.0,2.0,1.0,3.0,0.5,0.020833333333333332,0.023255813953488372,0.8,0.038461538461538464,0.028985507246376812,0.5,0.45454545454545453,0.45454545454545453,0.06666666666666667,0.18518518518518517,0.8,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1628370,1610612758,Malik Monk,Malik Monk,1628370,SAC,16273.0,271.0,12.0,577.0,559.0,122.0,200.0,64.0,1136.0,17.0,31.0,1.0,1.0,5.0,17.0,4.0,2.0,6.0,2.0,28.0,56.0,3.0,9.0,6.0,9.0,25.0,52.0,30.0,62.0,33.0,173.0,666.0,1.0,2.0,3.0,9.0,11.0,7.0,11.0,45.0,14.0,36.0,66.0,,,56.0,28.0,6.0,44.0,21.0,65.0,14.0,7.0,35.0,9.0,151.0,1.0,1.0,,15.0,8.0,,23.0,2.0,25.0,7.0,11.0,26.0,12.0,23.0,1.0,25.0,,35.0,15.0,6.0,4.0,9.0,,,45.0,122.0,3.0,0.28,0.28,0.7333333333333333,0.4838709677419355,0.3333333333333333,0.6363636363636364,0.4838709677419355,0.4807692307692308,0.5,0.6140350877192983,0.5,0.8333333333333334,0.65234375,0.5,0.82,0.543859649122807,0.11538461538461539,0.17647058823529413,23.64760432766615,,,0.05442176870748299,0.00909090909090909,0.14563106796116504,0.0072992700729927005,0.092,0.008097165991902834,0.015151515151515152,,0.009615384615384616,0.057692307692307696,0.056338028169014086,0.041666666666666664,0.14285714285714285,0.15789473684210525,0.2719298245614035,0.5483870967741935,0.6071428571428571,0.29411764705882354,0.14912280701754385,0.29411764705882354,0.35714285714285715,0.2,0.03508771929824561,0.05263157894736842,0.3333333333333333,0.3333333333333333,1.0,0.49122807017543857,0.5,0.509090909090909,0.7142857142857143,0.09090909090909091,1.0,0.8181818181818182,0.3333333333333333,1.0,0.09523809523809523,0.42857142857142855,0.6666666666666666,0.8157894736842105,0.5,0.530203947368421,0.522025,0.5083928571428571,0.11811023622047244,0.23076923076923078,0.06358381502890173,0.26011560693641617,5.567307692307692,25.977419354838712,0.21143847487001732,4.0,5.0,3.0,,,7.0,10.0,10.0,24.0,1.0,1.0,8.0,5.0,3.0,15.0,12.0,,3.0,,1.0,8.0,4.0,2.0,1.0,4.0,,0.7,0.016129032258064516,0.017857142857142856,0.5769230769230769,,0.0196078431372549,0.4444444444444444,0.75,0.75,,0.23809523809523808,0.8,1.0,2.0,1.0,1.0,6.0,3.0,3.0,2.0,0.0967741935483871,0.3333333333333333,0.5,,,,,,,,,True,,,,,,,,,,,
1628426,1610612758,Sasha Vezenkov,Sasha Vezenkov,1628426,SAC,9785.0,163.0,13.0,349.0,346.0,85.0,144.0,37.0,695.0,13.0,16.0,3.0,5.0,2.0,8.0,1.0,3.0,11.0,3.0,8.0,28.0,,,1.0,7.0,15.0,25.0,11.0,39.0,6.0,69.0,391.0,3.0,5.0,,,6.0,2.0,10.0,12.0,24.0,6.0,33.0,6.0,1.0,27.0,8.0,,3.0,1.0,4.0,1.0,,,2.0,9.0,4.0,5.0,,7.0,10.0,2.0,19.0,9.0,28.0,1.0,1.0,3.0,6.0,12.0,2.0,10.0,1.0,8.0,3.0,1.0,,1.0,,,12.0,85.0,3.0,0.8,1.0,1.0,0.28205128205128205,,0.2,0.2894736842105263,0.6,0.6,0.4921875,0.6,0.375,0.5149253731343284,0.6,0.375,0.609375,,,17.94871794871795,0.18181818181818182,,0.12048192771084337,0.07352941176470588,0.1076923076923077,0.04878048780487805,0.11486486486486487,0.06,0.06818181818181818,,0.04918032786885246,0.20689655172413793,0.07317073170731707,0.07692307692307693,0.12280701754385964,,0.25,0.8125,0.8125,0.7692307692307693,0.125,0.25,0.25,1.0,0.015625,0.171875,0.2727272727272727,0.3,1.0,0.4375,0.2857142857142857,0.2857142857142857,1.0,1.0,0.6,,,,0.1875,0.4375,0.14285714285714285,0.859375,0.2962962962962963,0.5409261904761905,0.5445,0.5128866666666667,0.05970149253731343,0.1111111111111111,0.08695652173913043,0.17391304347826086,4.175999999999999,25.874358974358977,0.24355300859598855,3.0,4.0,,,,3.0,6.0,,,1.0,2.0,7.0,6.0,1.0,2.0,1.0,,1.0,,,1.0,,1.0,,,,0.5,0.02564102564102564,,0.6666666666666666,0.047619047619047616,0.05555555555555555,,,,,0.25,0.75,1.0,,,,,,,1.0,,,0.3333333333333333,1.0,1.0,0.09090909090909091,0.125,0.025,,,,True,,,,,,,,,,,
201580,1610612758,JaVale McGee,JaVale McGee,201580,SAC,20364.0,339.0,7.0,719.0,703.0,188.0,285.0,83.0,1422.0,57.0,75.0,15.0,25.0,21.0,47.0,3.0,,,,1.0,7.0,,1.0,1.0,2.0,78.0,125.0,1.0,7.0,26.0,185.0,809.0,18.0,34.0,,1.0,38.0,1.0,2.0,54.0,120.0,36.0,3.0,26.0,,7.0,1.0,5.0,11.0,6.0,17.0,4.0,2.0,8.0,3.0,40.0,12.0,28.0,2.0,32.0,38.0,13.0,83.0,42.0,125.0,5.0,20.0,34.0,17.0,46.0,5.0,39.0,4.0,45.0,24.0,19.0,8.0,20.0,5.0,5.0,54.0,188.0,4.0,0.7692307692307693,0.9230769230769231,1.0,0.14285714285714285,,0.5,0.14285714285714285,0.624,0.5294117647058824,0.6022727272727273,0.5142857142857142,0.5657894736842105,0.6125827814569537,0.5277777777777778,0.5869565217391305,0.05303030303030303,0.04,0.0425531914893617,22.58852258852259,0.5416666666666666,0.08333333333333333,0.20430107526881722,0.18064516129032257,0.23703703703703705,0.07058823529411765,0.21806853582554517,0.12307692307692308,0.18888888888888888,0.1111111111111111,0.061068702290076333,0.14516129032258066,0.22105263157894736,0.27586206896551724,0.23893805309734514,0.22727272727272727,0.5681818181818182,0.76,0.7916666666666666,0.7719298245614035,0.3560606060606061,0.44680851063829785,0.4666666666666667,0.7619047619047619,0.022727272727272728,,,,,0.05303030303030303,0.14285714285714285,0.14285714285714285,1.0,0.7142857142857143,0.6,0.02857142857142857,,,,0.05263157894736842,0.5,0.6212121212121212,0.14285714285714285,0.5557776515151515,0.5828793103448277,0.5142749999999999,0.1610738255033557,0.16901408450704225,0.20540540540540542,0.2918918918918919,3.6992,26.699999999999996,0.2614742698191933,11.0,21.0,,,2.0,20.0,36.0,11.0,,,8.0,14.0,8.0,6.0,14.0,7.0,,7.0,,3.0,7.0,1.0,7.0,2.0,11.0,2.0,0.5555555555555556,,,0.4117647058823529,0.10256410256410256,0.17777777777777778,0.55,,,,0.5526315789473685,0.5238095238095238,,2.0,10.0,,,1.0,,11.0,0.04,,,,,,0.19148936170212766,,2.0,1.0,0.2,True,,,,,,,,,,,
1628989,1610612758,Kevin Huerter,Kevin Huerter,1628989,SAC,2482.0,41.0,-17.0,84.0,81.0,13.0,14.0,11.0,165.0,,,,,1.0,1.0,,,2.0,,2.0,10.0,,,,2.0,1.0,1.0,2.0,12.0,2.0,10.0,110.0,,,,,1.0,,2.0,,2.0,,3.0,,,10.0,2.0,,1.0,3.0,4.0,2.0,1.0,1.0,,11.0,1.0,,,5.0,2.0,,7.0,1.0,8.0,,1.0,2.0,2.0,3.0,,2.0,,4.0,2.0,2.0,2.0,2.0,,,,13.0,,1.0,1.0,0.5,0.16666666666666666,,,0.16666666666666666,1.0,,0.3076923076923077,,,0.3333333333333333,0.5,,0.9230769230769231,,,17.52577319587629,,,0.07692307692307693,,0.29411764705882354,0.043478260869565216,0.16279069767441862,0.023809523809523808,,,,0.08333333333333333,0.14285714285714285,,0.26666666666666666,0.5,,,,,0.07692307692307693,1.0,1.0,1.0,,0.15384615384615385,,,,0.7692307692307693,0.2,0.2,0.5,,,,,,,1.0,,0.9230769230769231,0.2,0.5150538461538462,,0.391725,0.13333333333333333,0.6666666666666666,0.1,,8.9,25.658333333333335,0.15476190476190477,,,,,1.0,,,,3.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,0.5,0.2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1630537,1610612758,Chris Duarte,Chris Duarte,1630537,SAC,6643.0,111.0,16.0,230.0,227.0,66.0,94.0,25.0,457.0,4.0,6.0,1.0,1.0,1.0,6.0,2.0,5.0,8.0,3.0,6.0,15.0,,2.0,1.0,4.0,6.0,14.0,11.0,23.0,8.0,53.0,248.0,1.0,1.0,,2.0,5.0,3.0,7.0,15.0,8.0,4.0,27.0,,,15.0,6.0,1.0,7.0,1.0,8.0,1.0,,2.0,5.0,17.0,2.0,,,3.0,9.0,1.0,13.0,2.0,15.0,,1.0,6.0,7.0,19.0,1.0,8.0,1.0,12.0,4.0,1.0,,1.0,,,15.0,66.0,5.0,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.4782608695652174,,0.42857142857142855,0.4782608695652174,0.42857142857142855,1.0,0.6081081081081081,0.3333333333333333,0.65,0.6162790697674418,0.5,0.625,0.6216216216216216,0.07142857142857142,0.16666666666666666,18.91891891891892,0.125,,0.16071428571428573,,0.06976744186046512,0.038461538461538464,0.12121212121212122,0.019230769230769232,,,0.045454545454545456,0.06666666666666667,0.15625,0.3333333333333333,0.07894736842105263,,0.16216216216216217,0.6666666666666666,0.6666666666666666,1.0,0.16216216216216217,0.16666666666666666,0.2,,0.05405405405405406,0.21621621621621623,0.625,0.625,0.8,0.40540540540540543,0.4,0.4,0.8333333333333334,0.3333333333333333,1.0,0.6666666666666666,,,0.3,0.4,0.25,0.7837837837837838,0.4,0.5295472972972972,,0.49354,0.0975609756097561,0.2222222222222222,0.09433962264150944,0.2830188679245283,7.257142857142858,25.017391304347825,0.28695652173913044,,,1.0,,3.0,2.0,3.0,2.0,6.0,,,3.0,1.0,2.0,5.0,3.0,,2.0,,,1.0,2.0,,2.0,1.0,2.0,0.6666666666666666,,,0.8333333333333334,,,1.0,0.5,0.5,,,,2.0,1.0,,,,,,1.0,,,0.6666666666666666,,,,,,,,1.0,True,,,,,,,,,,,
1630556,1610612758,Kessler Edwards,Kessler Edwards,1630556,SAC,3305.0,55.0,4.0,115.0,119.0,49.0,67.0,13.0,234.0,4.0,5.0,1.0,2.0,,2.0,3.0,1.0,5.0,,2.0,9.0,1.0,1.0,,2.0,5.0,10.0,3.0,14.0,1.0,20.0,111.0,2.0,3.0,1.0,1.0,7.0,,2.0,4.0,6.0,4.0,9.0,4.0,,9.0,2.0,,1.0,3.0,4.0,2.0,1.0,1.0,,11.0,,3.0,,3.0,4.0,,7.0,3.0,10.0,1.0,1.0,2.0,1.0,4.0,,1.0,,1.0,1.0,,,,,,4.0,49.0,1.0,0.6,1.0,1.0,0.21428571428571427,1.0,,0.21428571428571427,0.5,0.6666666666666666,0.3958333333333333,0.875,0.25,0.4166666666666667,0.875,0.25,0.5833333333333334,,,19.402985074626866,,,0.13793103448275862,0.09375,0.08823529411764706,,0.1111111111111111,0.05,,0.125,,0.18181818181818182,0.15384615384615385,,0.06896551724137931,0.2,0.20833333333333334,0.8,0.8,0.75,0.08333333333333333,,,,0.125,0.20833333333333334,0.2,0.2,1.0,0.375,0.2222222222222222,0.2222222222222222,1.0,0.5,0.5,0.25,1.0,1.0,,0.25,,0.7916666666666666,0.2222222222222222,0.5257520833333333,0.492925,0.45204999999999995,0.041666666666666664,0.1,0.35,0.2,8.059999999999999,25.29285714285714,0.4260869565217391,1.0,2.0,1.0,,,2.0,6.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,0.3333333333333333,,,0.5,,,,0.3333333333333333,0.3333333333333333,,0.25,0.5,,,,,,,,,,,,,,,0.2857142857142857,,,,,True,,,,,,,,,,,
1630558,1610612758,Davion Mitchell,Davion Mitchell,1630558,SAC,3352.0,56.0,-3.0,113.0,110.0,48.0,58.0,17.0,223.0,5.0,7.0,,1.0,2.0,6.0,3.0,,1.0,1.0,1.0,5.0,,1.0,,3.0,8.0,16.0,1.0,6.0,,19.0,121.0,,3.0,,1.0,,,4.0,6.0,6.0,10.0,3.0,,,5.0,1.0,1.0,5.0,4.0,9.0,4.0,,2.0,3.0,22.0,,1.0,,2.0,2.0,,4.0,1.0,5.0,,,,2.0,6.0,,3.0,,2.0,,,,,,,6.0,48.0,2.0,0.375,0.375,1.0,0.16666666666666666,,,0.16666666666666666,0.5,,0.4318181818181818,,0.2727272727272727,0.41304347826086957,,0.25,0.2727272727272727,0.0625,0.16666666666666666,16.312056737588655,,,0.0625,0.027777777777777776,0.1111111111111111,,0.08,0.014705882352941176,,,,0.125,0.05,,0.06666666666666667,0.3333333333333333,0.3181818181818182,0.7142857142857143,0.7142857142857143,0.4,0.2727272727272727,0.3333333333333333,0.4,0.5,0.13636363636363635,0.045454545454545456,,,,0.22727272727272727,0.2,0.2,1.0,0.25,,0.25,,,0.09090909090909091,0.2727272727272727,,0.5909090909090909,0.2,0.5234568181818181,0.41405000000000003,0.5520818181818181,,,,0.3157894736842105,6.95,25.266666666666666,0.4247787610619469,2.0,3.0,1.0,,,3.0,7.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,0.42857142857142855,,,,,0.08333333333333333,,0.3333333333333333,0.3333333333333333,,0.2727272727272727,0.6666666666666666,,,,,,,,,,,,,,,0.07142857142857142,,,,,True,,,,,,,,,,,
1631099,1610612758,Keegan Murray,Keegan Murray,1631099,SAC,4534.0,76.0,-5.0,160.0,154.0,45.0,69.0,19.0,314.0,3.0,5.0,1.0,1.0,2.0,3.0,1.0,,2.0,1.0,1.0,6.0,,1.0,,2.0,5.0,9.0,1.0,8.0,,13.0,186.0,2.0,2.0,,1.0,4.0,,3.0,4.0,8.0,2.0,3.0,2.0,,6.0,1.0,2.0,,5.0,5.0,4.0,1.0,,,15.0,3.0,1.0,1.0,5.0,3.0,,8.0,5.0,13.0,,,1.0,2.0,7.0,,1.0,1.0,,,1.0,1.0,1.0,,,4.0,45.0,3.0,0.8,1.0,1.0,0.125,,,0.125,0.5555555555555556,1.0,0.38235294117647056,0.6666666666666666,0.2857142857142857,0.38235294117647056,0.6666666666666666,0.2857142857142857,0.47058823529411764,0.2222222222222222,,9.836065573770492,,0.2,0.09375,0.02631578947368421,0.18518518518518517,0.09375,0.13559322033898305,0.05714285714285714,0.05,,0.13043478260869565,,0.15,,0.20833333333333334,,0.29411764705882354,0.6,1.0,1.0,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.5,0.058823529411764705,0.11764705882352941,,,,0.35294117647058826,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,,,0.14285714285714285,0.2857142857142857,,0.7647058823529411,0.16666666666666666,0.4864588235294118,0.2583,0.4344285714285715,,,0.3076923076923077,0.3076923076923077,7.655555555555556,26.0875,0.28125,1.0,2.0,,,,2.0,4.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,0.5,,,1.0,,,,,,,0.2857142857142857,0.5,,,,,,,,,0.4,,,,,,,,,,1.0,True,,,,,,,,,,,
