EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGM,HeaveAttempts,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,PenaltyCorner3Accuracy,Transition Take Fouls,OffensiveGoaltends,on,3pt And 1 Free Throw Trips
1627750,1610612743,Jamal Murray,Jamal Murray,1627750,DEN,73921.0,1232.0,333,2459.0,2459,496.0,513,258.0,4918,91.0,148.0,8.0,15.0,17.0,24.0,62.0,143.0,66.0,129.0,7.0,23.0,1.0,3.0,3.0,90.0,201.0,6.0,11.0,22.0,45.0,219.0,420.0,97.0,224.0,116.0,845.0,2819,13.0,26.0,7.0,14.0,7.0,54.0,48.0,83.0,22.0,48.0,37.0,199.0,162.0,276.0,180.0,111.0,10.0,201.0,90.0,30.0,3.0,179.0,64.0,243.0,44.0,20.0,96.0,69.0,14.0,550.0,8.0,22.0,2.0,71.0,55.0,3.0,129.0,32.0,161.0,14.0,39.0,28.0,11.0,50.0,13.0,37.0,18.0,3.0,13.0,1.0,68.0,3.0,16.0,43.0,63.0,1.0,117.0,1.0,1.0,5.0,1.0,135.0,14.0,12.0,43.0,3.0,23.0,23.0,3.0,1.0,9.0,2.0,1.0,13.0,26.0,15.0,191.0,480.0,2.0,12.0,0.3698630136986301,0.37850467289719625,0.6185567010309279,0.4330357142857143,0.5,0.4583333333333333,0.4330357142857143,0.5214285714285715,0.5,0.5783132530120482,0.5659937888198758,0.5875,0.6183206106870229,0.5972818311874106,0.6190476190476191,0.6480263157894737,0.34782608695652173,0.013392857142857142,0.07142857142857142,0.07432432432432433,0.11888111888111888,0.015503875968992248,0.014925373134328358,27.433309300648883,0.7352941176470589,0.05454545454545454,0.04081632653061224,0.08513931888544891,0.03697478991596639,0.13733075435203096,0.01834862385321101,0.10834049871023216,0.029097963142580018,0.037209302325581395,0.04219409282700422,0.027972027972027972,0.025157232704402517,0.06306306306306306,0.07920792079207921,0.14049586776859505,0.14285714285714285,0.12,0.04861111111111111,0.5769230769230769,0.22981366459627328,0.6148648648648649,0.6642335766423357,0.4945054945054945,0.2220496894409938,0.43356643356643354,0.49206349206349204,0.3225806451612903,0.20031055900621117,0.5116279069767442,0.5196850393700787,0.24242424242424243,0.03571428571428571,0.30434782608695654,0.30434782608695654,0.8571428571428571,0.31211180124223603,0.44776119402985076,0.45454545454545453,0.6,0.375,0.5333333333333333,0.25,0.075,0.3333333333333333,1.0,0.275,0.5454545454545454,0.6666666666666666,0.183206106870229,0.7083333333333334,0.022900763358778626,0.3435114503816794,0.4888888888888889,0.577639751552795,0.44776119402985076,0.5102740279937793,0.5398016129032258,0.48286526717557243,0.06804733727810651,0.0957683741648107,0.013215859030837005,0.06390532544378698,0.23550295857988165,9.043095238095239,25.700892857142854,0.20170801138674258,,,,,,,,,,,,,True,
1629008,1610612743,Michael Porter Jr.,Michael Porter Jr.,1629008,DEN,119278.0,1988.0,507,4013.0,3972,774.0,813,450.0,7985,119.0,174.0,26.0,42.0,21.0,30.0,42.0,90.0,69.0,134.0,42.0,94.0,5.0,16.0,14.0,133.0,334.0,10.0,24.0,12.0,48.0,230.0,398.0,175.0,428.0,73.0,1058.0,4490,40.0,69.0,15.0,40.0,13.0,138.0,32.0,60.0,22.0,62.0,17.0,147.0,350.0,110.0,507.0,18.0,58.0,333.0,133.0,34.0,1.0,64.0,30.0,94.0,18.0,12.0,38.0,20.0,6.0,218.0,28.0,48.0,4.0,162.0,165.0,24.0,351.0,80.0,431.0,13.0,37.0,25.0,12.0,43.0,5.0,24.0,29.0,4.0,19.0,8.0,72.0,7.0,12.0,63.0,113.0,5.0,76.0,,6.0,1.0,,90.0,12.0,,38.0,6.0,4.0,43.0,3.0,2.0,20.0,1.0,3.0,20.0,46.0,22.0,145.0,749.0,10.0,3.0,0.7608695652173914,0.8706467661691543,0.9657142857142857,0.4088785046728972,0.375,0.3548387096774194,0.4098360655737705,0.5778894472361809,0.5797101449275363,0.5333333333333333,0.5962469733656174,0.573394495412844,0.5327868852459017,0.6136890951276102,0.5948275862068966,0.5610687022900763,0.5181598062953995,0.002336448598130841,0.08542713567839195,0.12643678160919541,0.13333333333333333,,0.0029940119760479044,20.52296198637662,0.5972222222222222,0.27586206896551724,0.042105263157894736,0.15082266910420475,0.04743083003952569,0.20636942675159237,0.036988110964332896,0.17402873869079297,0.04296212549462974,0.05357142857142857,0.044386422976501305,0.04219409282700422,0.029668411867364748,0.12020460358056266,0.1595959595959596,0.1875,0.20435510887772193,0.2127659574468085,0.03412073490813648,0.4782608695652174,0.2106537530266344,0.6839080459770115,0.7828947368421053,0.7563025210084033,0.1089588377723971,0.4666666666666667,0.5384615384615384,0.7857142857142857,0.162227602905569,0.5149253731343284,0.5149253731343284,0.7536231884057971,0.11380145278450363,0.44680851063829785,0.44680851063829785,0.9761904761904762,0.4043583535108959,0.39820359281437123,0.3993993993993994,0.9624060150375939,0.3853211009174312,0.6190476190476191,0.11538461538461539,0.14678899082568808,0.3125,1.0,0.22018348623853212,0.4166666666666667,1.0,0.2459016393442623,0.7,0.11475409836065574,0.39344262295081966,0.25,0.7288135593220338,0.3993993993993994,0.544653878787879,0.5465243589743591,0.5521590909090909,0.05128205128205128,0.08962264150943396,0.013824884792626729,0.13043478260869565,0.1389413988657845,8.933919597989949,25.392289719626163,0.19287316222277598,10.0,1.0,3.0,2.0,9.0,5.0,1.0,2.0,0.059782608695652176,0.7142857142857143,,,True,
1630192,1610612743,Zeke Nnaji,Zeke Nnaji,1630192,DEN,2661.0,44.0,-18,81.0,97,18.0,23,7.0,178,5.0,9.0,2.0,2.0,,3.0,1.0,1.0,,,,2.0,,,,,,,,,,6.0,10.0,,2.0,,12.0,105,3.0,3.0,,,,6.0,,3.0,,,,,6.0,6.0,,,4.0,,,,,1.0,2.0,3.0,2.0,,,,1.0,8.0,1.0,2.0,,,2.0,,2.0,3.0,5.0,,,,,1.0,,1.0,,,,,1.0,,,3.0,6.0,,3.0,,1.0,,,2.0,,,,,1.0,4.0,1.0,,3.0,1.0,,1.0,5.0,4.0,,18.0,2.0,1.0,0.5,0.75,,,,,,0.6,1.0,,0.5,1.0,,0.46153846153846156,1.0,,0.16666666666666666,,,,,,,15.384615384615383,1.0,,,0.06451612903225806,0.1,,0.058823529411764705,0.0392156862745098,0.08108108108108109,0.1,0.16666666666666666,,0.09090909090909091,0.125,,,,,,0.8,0.75,0.5555555555555556,0.5555555555555556,0.6,0.08333333333333333,1.0,1.0,,,,,,0.16666666666666666,,,,,,,,0.6666666666666666,1.0,,,,,,,,1.0,,,,,0.9166666666666666,,0.5518375,0.58225,0.46313333333333334,,,,0.5,,2.3099999999999996,23.0,0.2222222222222222,,,,,,,,,,,,,True,
203484,1610612743,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,203484,DEN,144105.0,2402.0,572,4833.0,4828,1059.0,1055,527.0,9661,73.0,123.0,4.0,18.0,10.0,20.0,25.0,59.0,47.0,97.0,51.0,121.0,5.0,5.0,18.0,74.0,187.0,4.0,15.0,13.0,38.0,145.0,279.0,125.0,308.0,101.0,766.0,5436,11.0,34.0,9.0,20.0,,49.0,16.0,44.0,21.0,56.0,41.0,136.0,216.0,74.0,354.0,21.0,10.0,187.0,74.0,14.0,,129.0,54.0,183.0,32.0,22.0,72.0,46.0,11.0,420.0,12.0,16.0,3.0,84.0,68.0,,152.0,31.0,183.0,13.0,98.0,80.0,18.0,52.0,10.0,43.0,23.0,5.0,9.0,2.0,75.0,1.0,18.0,87.0,151.0,3.0,98.0,,5.0,19.0,,113.0,7.0,20.0,31.0,3.0,14.0,39.0,3.0,,13.0,3.0,2.0,24.0,42.0,20.0,126.0,1033.0,13.0,8.0,0.7448275862068966,0.7714285714285715,0.944,0.40584415584415584,0.45,0.375,0.40584415584415584,0.5197132616487455,0.3235294117647059,0.36363636363636365,0.5664395229982965,0.4537037037037037,0.475,0.5963375796178344,0.4537037037037037,0.5466101694915254,0.524701873935264,,0.05017921146953405,0.07317073170731707,0.0847457627118644,,,12.864211105002749,0.6933333333333334,,0.024,0.05139833711262283,0.01340033500837521,0.08615384615384615,0.013559322033898305,0.06614447345517842,0.013468013468013467,0.019067796610169493,0.013215859030837005,0.0037313432835820895,0.010736196319018405,0.029535864978902954,0.059900166389351084,0.07258064516129033,0.09090909090909091,0.07048458149779736,0.0436241610738255,0.47619047619047616,0.20954003407155025,0.5934959349593496,0.6403508771929824,0.7123287671232876,0.10051107325383304,0.423728813559322,0.46296296296296297,0.76,0.16524701873935263,0.4845360824742268,0.4845360824742268,0.7872340425531915,0.2061328790459966,0.4214876033057851,0.4214876033057851,0.9803921568627451,0.3185689948892675,0.39572192513368987,0.39572192513368987,0.918918918918919,0.3333333333333333,0.2222222222222222,,0.09259259259259259,1.0,0.8,0.2777777777777778,0.26666666666666666,1.0,0.2,0.5,0.18,0.38,0.34210526315789475,0.7342419080068143,0.39572192513368987,0.5535634812286688,0.5330342105263157,0.549052,0.05537459283387622,0.10231023102310231,0.00964630225080386,0.0639686684073107,0.17754569190600522,8.729032258064514,24.812337662337654,0.2191185599006828,8.0,,1.0,1.0,4.0,,,,0.02145922746781116,0.4444444444444444,2.0,,True,
203999,1610612743,Nikola Jokic,Nikola Jokic,203999,DEN,131229.0,2187.0,580,4412.0,4388,972.0,927,473.0,8800,259.0,364.0,72.0,100.0,51.0,76.0,282.0,464.0,40.0,99.0,1.0,6.0,,1.0,1.0,65.0,172.0,5.0,12.0,16.0,41.0,581.0,927.0,66.0,178.0,280.0,1640.0,4953,96.0,148.0,5.0,13.0,32.0,239.0,123.0,201.0,16.0,42.0,123.0,417.0,662.0,500.0,162.0,36.0,138.0,167.0,65.0,54.0,1.0,370.0,198.0,568.0,145.0,53.0,247.0,57.0,66.0,1334.0,38.0,131.0,1.0,188.0,398.0,26.0,612.0,170.0,782.0,57.0,92.0,68.0,24.0,136.0,28.0,91.0,62.0,9.0,45.0,3.0,198.0,5.0,47.0,81.0,156.0,12.0,339.0,4.0,20.0,1.0,3.0,344.0,51.0,,146.0,1.0,49.0,53.0,,,30.0,,1.0,22.0,53.0,28.0,407.0,950.0,11.0,42.0,0.5697074010327022,0.646484375,0.8181818181818182,0.3707865168539326,0.38461538461538464,0.38095238095238093,0.3815028901734104,0.6267529665587918,0.6486486486486487,0.6119402985074627,0.6153846153846154,0.6428571428571429,0.6049382716049383,0.656,0.6675977653631285,0.6704180064308681,0.16108597285067874,0.0056179775280898875,0.05825242718446602,0.08241758241758242,0.05172413793103448,,0.005813953488372093,29.152405878800078,0.6868686868686869,0.26804123711340205,0.009708737864077669,0.3393009377664109,0.1223155929038282,0.20912124582869857,0.046740467404674045,0.2828185328185328,0.08970276008492568,0.13317191283292978,0.14457831325301204,0.06584362139917696,0.04697986577181208,0.35049019607843135,0.3419593345656192,0.3125,0.19912790697674418,0.24170616113744076,0.14805194805194805,0.5283018867924528,0.32941176470588235,0.7115384615384616,0.7754491017964071,0.525096525096525,0.41990950226244345,0.6077586206896551,0.6409090909090909,0.6205673758865248,0.08959276018099548,0.40404040404040403,0.40404040404040403,0.5,0.005429864253393665,0.16666666666666666,0.16666666666666666,1.0,0.15565610859728507,0.37790697674418605,0.38011695906432746,0.8153846153846154,0.6211180124223602,0.72,0.06944444444444445,0.006211180124223602,,,0.07453416149068323,0.4166666666666667,0.8,0.31275720164609055,0.6710526315789473,0.00411522633744856,0.16872427983539096,0.3902439024390244,0.49049773755656106,0.38922155688622756,0.49587493175614183,0.5368999999999997,0.47625334728033475,0.12239800166527894,0.14285714285714285,0.00558659217877095,0.14573170731707316,0.25426829268292683,6.275836030204964,26.9814606741573,0.22030825022665457,,5.0,,6.0,8.0,,1.0,8.0,0.04608294930875576,,1.0,,True,
1631124,1610612743,Julian Strawther,Julian Strawther,1631124,DEN,4042.0,67.0,6,136.0,138,22.0,31,11.0,274,3.0,5.0,,,,1.0,,2.0,,,2.0,3.0,,,,8.0,13.0,,,1.0,1.0,3.0,7.0,10.0,16.0,2.0,38.0,171,,,,,,,,1.0,1.0,1.0,,3.0,4.0,2.0,30.0,,,13.0,8.0,1.0,,1.0,2.0,3.0,,2.0,,1.0,,8.0,,,,1.0,2.0,,3.0,,3.0,,1.0,1.0,,,,,,,,,,,,4.0,9.0,,3.0,1.0,,,,2.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,2.0,3.0,22.0,1.0,,0.6666666666666666,0.6666666666666666,1.0,0.625,,1.0,0.625,0.42857142857142855,,,0.782608695652174,,0.75,0.7916666666666666,,0.75,0.6956521739130435,,0.14285714285714285,0.2,,,,15.384615384615383,,,,0.05128205128205128,,0.043478260869565216,,0.04838709677419355,,,,,,,0.09090909090909091,,0.0625,,,1.0,0.21739130434782608,0.6,0.75,0.6666666666666666,0.08695652173913043,,,,,,,,0.13043478260869565,0.6666666666666666,0.6666666666666666,1.0,0.5652173913043478,0.6153846153846154,0.6153846153846154,1.0,,,,,,,,,,0.5,,,0.5,1.0,0.9130434782608695,0.6153846153846154,0.5781869565217391,,0.671625,0.041666666666666664,0.125,,,0.07894736842105263,3.5571428571428574,25.94375,0.16176470588235295,,,,,,,,,,,,,True,
1631128,1610612743,Christian Braun,Christian Braun,1631128,DEN,31921.0,532.0,163,1070.0,1095,299.0,259,115.0,2165,40.0,70.0,2.0,7.0,10.0,17.0,5.0,18.0,3.0,6.0,6.0,22.0,,1.0,6.0,13.0,24.0,2.0,2.0,3.0,5.0,48.0,94.0,19.0,46.0,23.0,176.0,1143,3.0,11.0,2.0,3.0,3.0,15.0,12.0,24.0,4.0,11.0,15.0,51.0,74.0,22.0,57.0,,4.0,24.0,13.0,14.0,,28.0,21.0,49.0,16.0,5.0,15.0,8.0,5.0,119.0,10.0,12.0,1.0,19.0,32.0,4.0,55.0,23.0,78.0,3.0,12.0,11.0,1.0,7.0,1.0,6.0,5.0,,1.0,1.0,12.0,1.0,2.0,16.0,35.0,3.0,23.0,2.0,1.0,1.0,,35.0,1.0,,14.0,,4.0,9.0,,,4.0,,,5.0,9.0,5.0,50.0,295.0,4.0,3.0,0.7708333333333334,0.8043478260869565,1.0,0.41304347826086957,0.6666666666666666,0.36363636363636365,0.41304347826086957,0.5106382978723404,0.2727272727272727,0.5,0.5464285714285714,0.42857142857142855,0.5142857142857142,0.5605095541401274,0.46875,0.5425531914893617,0.32857142857142857,,0.14893617021276595,0.15714285714285714,0.16666666666666666,,,14.071606994171525,0.5833333333333334,0.17391304347826086,0.02702702702702703,0.09785932721712538,0.04460966542750929,0.08636363636363636,0.058823529411764705,0.09323583180987204,0.05011389521640091,0.06349206349206349,0.030927835051546393,0.021739130434782608,0.05263157894736842,0.07913669064748201,0.09352517985611511,0.16326530612244897,0.09411764705882353,0.06,0.05357142857142857,0.5555555555555556,0.5,0.5714285714285714,0.6779661016949152,0.775,0.12857142857142856,0.2777777777777778,0.3333333333333333,0.6,0.04285714285714286,0.5,0.5,1.0,0.15714285714285714,0.2727272727272727,0.2727272727272727,1.0,0.17142857142857143,0.5416666666666666,0.5416666666666666,1.0,0.5,0.2857142857142857,,0.07142857142857142,,,0.14285714285714285,1.0,1.0,0.4857142857142857,0.5882352941176471,0.17142857142857143,0.14285714285714285,0.6,0.8285714285714286,0.5416666666666666,0.5764524999999999,0.5759000000000001,0.5533828571428571,0.0915032679738562,0.1308411214953271,,0.08522727272727272,0.2897727272727273,3.927659574468085,24.586956521739125,0.2794392523364486,1.0,,,,3.0,,,,0.07142857142857142,0.16666666666666666,,,True,
203932,1610612743,Aaron Gordon,Aaron Gordon,203932,DEN,111266.0,1854.0,429,3735.0,3722,781.0,780,427.0,7457,267.0,377.0,60.0,99.0,57.0,81.0,19.0,65.0,3.0,18.0,15.0,44.0,2.0,4.0,7.0,11.0,55.0,,4.0,4.0,9.0,289.0,460.0,26.0,99.0,146.0,802.0,4179,62.0,106.0,2.0,8.0,25.0,155.0,61.0,90.0,6.0,16.0,42.0,182.0,370.0,208.0,72.0,6.0,90.0,54.0,11.0,44.0,,118.0,92.0,210.0,72.0,20.0,70.0,32.0,16.0,512.0,40.0,103.0,1.0,113.0,98.0,17.0,228.0,144.0,372.0,33.0,46.0,35.0,11.0,32.0,11.0,18.0,42.0,6.0,14.0,2.0,74.0,1.0,18.0,71.0,118.0,9.0,179.0,1.0,3.0,5.0,2.0,226.0,33.0,,117.0,,13.0,34.0,4.0,4.0,21.0,,1.0,12.0,38.0,25.0,177.0,758.0,4.0,8.0,0.6401384083044983,0.7581967213114754,0.9230769230769231,0.26262626262626265,0.25,0.375,0.2653061224489796,0.6282608695652174,0.5849056603773585,0.6777777777777778,0.5867620751341681,0.5701754385964912,0.660377358490566,0.6112804878048781,0.5961538461538461,0.674074074074074,0.1771019677996422,,0.09565217391304348,0.08488063660477453,0.18461538461538463,,,17.192651907677813,0.43243243243243246,0.20238095238095238,0.010526315789473684,0.09751243781094528,0.10922587486744433,0.14966887417218544,0.056100981767180924,0.11988636363636364,0.08635265700483091,0.18181818181818182,0.07799442896935933,0.04072398190045249,0.04887218045112782,0.11079545454545454,0.0784313725490196,0.11855670103092783,0.1523972602739726,0.14035087719298245,0.1658291457286432,0.6578947368421053,0.6744186046511628,0.7082228116710876,0.7739130434782608,0.6441947565543071,0.11627906976744186,0.2923076923076923,0.3584905660377358,0.5263157894736842,0.03220035778175313,0.16666666666666666,0.16666666666666666,1.0,0.07871198568872988,0.3409090909090909,0.3409090909090909,0.9333333333333333,0.09838998211091235,0.2,0.2,0.9090909090909091,0.868421052631579,0.6060606060606061,0.16666666666666666,0.03508771929824561,0.5,0.5,0.03508771929824561,,,0.7641509433962265,0.7037037037037037,0.0660377358490566,0.08490566037735849,0.4444444444444444,0.851520572450805,0.2037037037037037,0.6111595878136202,0.6094238636363636,0.6306414285714287,0.18195956454121306,0.21507352941176472,,0.19326683291770574,0.22693266832917705,3.010869565217391,24.840404040404035,0.20910307898259706,2.0,1.0,3.0,8.0,3.0,,,,0.07734806629834254,0.2857142857142857,,1.0,True,
1631212,1610612743,Peyton Watson,Peyton Watson,1631212,DEN,25630.0,427.0,30,847.0,878,264.0,267,66.0,1725,41.0,60.0,7.0,11.0,9.0,17.0,9.0,20.0,2.0,5.0,10.0,27.0,,2.0,6.0,5.0,17.0,,2.0,,2.0,52.0,85.0,15.0,44.0,19.0,168.0,973,7.0,12.0,,4.0,1.0,15.0,15.0,26.0,3.0,8.0,6.0,45.0,82.0,22.0,45.0,,12.0,15.0,5.0,5.0,,15.0,8.0,23.0,6.0,2.0,8.0,6.0,1.0,54.0,9.0,8.0,,22.0,20.0,5.0,47.0,17.0,64.0,1.0,11.0,10.0,1.0,4.0,1.0,4.0,7.0,,,,11.0,2.0,4.0,20.0,36.0,2.0,23.0,,4.0,1.0,,30.0,2.0,,16.0,,,14.0,2.0,2.0,8.0,,,6.0,16.0,11.0,45.0,261.0,4.0,,0.7884615384615384,0.8913043478260869,1.0,0.3409090909090909,,0.375,0.35714285714285715,0.611764705882353,0.5833333333333334,0.5769230769230769,0.5775193798449613,0.4375,0.5735294117647058,0.5874125874125874,0.4166666666666667,0.5921052631578947,0.34108527131782945,,0.058823529411764705,0.06666666666666667,0.05,,,16.775599128540307,0.36363636363636365,0.23809523809523808,,0.07722007722007722,0.041884816753926704,0.12154696132596685,0.06666666666666667,0.09545454545454546,0.05214723926380368,0.0641025641025641,0.02702702702702703,0.02564102564102564,0.06666666666666667,0.08421052631578947,0.058823529411764705,0.1111111111111111,0.13286713286713286,0.07894736842105263,0.018867924528301886,0.6875,0.46511627906976744,0.6833333333333333,0.7321428571428571,0.8048780487804879,0.15503875968992248,0.45,0.47368421052631576,0.6666666666666666,0.03875968992248062,0.4,0.4,1.0,0.20930232558139536,0.37037037037037035,0.37037037037037035,1.0,0.13178294573643412,0.29411764705882354,0.29411764705882354,1.0,0.6875,0.6363636363636364,0.14285714285714285,0.125,,,0.125,,,0.5,0.5294117647058824,0.17647058823529413,0.058823529411764705,,0.8062015503875969,0.3333333333333333,0.5963291338582676,0.58675,0.5887640625,0.11188811188811189,0.16161616161616163,,0.08928571428571429,0.26785714285714285,4.017647058823529,25.656818181818178,0.3116883116883117,3.0,2.0,1.0,3.0,1.0,,,,0.06666666666666667,0.5,,,True,
201599,1610612743,DeAndre Jordan,DeAndre Jordan,201599,DEN,4081.0,68.0,-5,132.0,133,15.0,19,20.0,265,10.0,13.0,2.0,3.0,,1.0,2.0,4.0,,,,,,,,,,,,,,12.0,17.0,,,11.0,35.0,158,2.0,3.0,,,4.0,8.0,,1.0,,,3.0,3.0,16.0,8.0,,,4.0,,,2.0,,7.0,3.0,10.0,1.0,2.0,4.0,1.0,2.0,23.0,1.0,6.0,,7.0,8.0,3.0,18.0,7.0,25.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,,,,6.0,1.0,,3.0,9.0,3.0,13.0,,2.0,,,21.0,1.0,,8.0,,3.0,2.0,,,,,,2.0,2.0,2.0,3.0,15.0,2.0,1.0,0.6666666666666666,0.8,,,,,,0.7058823529411765,0.6666666666666666,,0.7058823529411765,0.6666666666666666,,0.6481481481481481,0.5714285714285714,0.375,,,0.11764705882352941,0.15384615384615385,,,,21.019108280254777,0.16666666666666666,1.0,,0.17777777777777778,0.13953488372093023,0.35,0.047619047619047616,0.23076923076923078,0.109375,0.06666666666666667,0.25,0.08333333333333333,0.05555555555555555,,0.16666666666666666,0.5,0.3333333333333333,0.4,0.6666666666666666,1.0,0.7647058823529411,0.7692307692307693,0.9090909090909091,0.7,0.23529411764705882,0.5,0.5,0.5,,,,,,,,,,,,,1.0,0.6666666666666666,,,,,,,,1.0,,,,,0.7647058823529411,,0.5873705882352942,0.60885,0.4983,0.3333333333333333,0.3333333333333333,,0.22857142857142856,0.08571428571428572,2.7941176470588234,,0.11363636363636363,,,,,,,,,,,,1.0,True,
