EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,LostBallSteals,Travels,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyFG2M,PtsPutbacks,FTDefRebounds,LostBallTurnovers,Loose Ball Fouls Drawn,PenaltyFg2Pct,DefFTReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,SecondChanceFtPoints,LongMidRangeAssists,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,OffFTReboundPct,OffCorner3ReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,SecondChanceFg3Pct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,DefensiveGoaltends,Charge Fouls,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,on,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,Transition Take Fouls,Transition Take Fouls Drawn,3SecondViolations,Arc3PctBlocked,Defensive 3 Seconds Violations,LongMidRangePctBlocked
1628379,1610612763,Luke Kennard,Luke Kennard,1628379,MEM,883.0,15,-3.0,32,34,11.0,16,3.0,66,1.0,2.0,3.0,1.0,1.0,2.0,4.0,6,42,1.0,1.0,3.0,6.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,1.0,0.5,1.0,0.5,0.75,1.5,0.75,1.5,1.0,13.513513513513514,1.0,0.16666666666666666,0.07692307692307693,0.16666666666666666,0.25,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.5381625,0.51255,0.5,24.65,0.34375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1628991,1610612763,Jaren Jackson Jr.,Jaren Jackson Jr.,1628991,MEM,2837.0,47,-42.0,95,99,16.0,10,15.0,194,,2.0,8.0,,1.0,2.0,8.0,27,136,,1.0,3.0,6.0,8.0,2.0,1.0,6.0,,17.0,,2.0,3.0,1.0,1.0,,,4.0,2.0,6.0,3.0,16.0,1.0,0.25,,0.25,0.48,,0.5,0.3,0.32,27.433628318584073,,,0.04878048780487805,,,0.32,0.25,0.25,1.0,0.3333333333333333,,0.4,0.25,0.476882,0.4573833333333333,0.1111111111111111,25.950000000000003,0.16842105263157894,2.0,9.0,15.0,9.0,17.0,3.0,1.0,2.0,2.0,2.0,3.0,10.0,8.0,3.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,10.0,3.0,6.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.5294117647058824,0.5,0.5,0.5,0.17647058823529413,0.5,0.13333333333333333,0.07692307692307693,0.037037037037037035,0.017241379310344827,0.058823529411764705,0.07692307692307693,0.25,1.0,0.08,0.6,0.6,0.6923076923076923,0.5555555555555556,0.3549,0.11538461538461539,0.16666666666666666,0.07407407407407407,7.070588235294117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1629723,1610612763,John Konchar,John Konchar,1629723,MEM,2226.0,37,-5.0,72,71,14.0,14,15.0,143,1.0,,3.0,,,,4.0,1,91,,,1.0,,3.0,,1.0,3.0,1.0,8.0,5.0,7.0,9.0,3.0,2.0,1.0,1.0,2.0,,1.0,1.0,14.0,,,,,,,0.07142857142857142,0.5,0.6666666666666666,10.112359550561798,0.5,0.2777777777777778,0.20588235294117646,0.3125,0.16666666666666666,0.5,,,,,,1.0,,0.5558500000000001,,1.0,25.6,0.19444444444444445,2.0,,,,2.0,1.0,,,,,1.0,,,1.0,2.0,2.0,,,1.0,2.0,2.0,,1.0,,1.0,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,0.5,0.5,,0.125,0.04,0.047619047619047616,,,0.5,,0.3333333333333333,,,,,0.4542,0.14285714285714285,0.3333333333333333,,2.1500000000000004,1.0,1.0,1.0,1.0,1.0,0.058823529411764705,0.3333333333333333,0.06666666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1630583,1610612763,Santi Aldama,Santi Aldama,1630583,MEM,3528.0,59,-13.0,121,125,12.0,22,20.0,246,2.0,3.0,7.0,,,3.0,9.0,29,143,,,3.0,9.0,7.0,3.0,2.0,5.0,2.0,13.0,4.0,14.0,19.0,2.0,2.0,1.0,,2.0,1.0,2.0,3.0,12.0,1.0,0.3333333333333333,,0.3333333333333333,0.5208333333333334,0.5,0.5370370370370371,0.5,0.375,20.0,0.5,0.16666666666666666,0.19298245614035087,0.11764705882352941,0.08333333333333333,0.2916666666666667,0.42857142857142855,0.42857142857142855,1.0,,,0.75,0.42857142857142855,0.5492854166666667,0.7845,0.10344827586206896,25.7,0.09917355371900827,9.0,,6.0,8.0,15.0,4.0,4.0,4.0,8.0,2.0,1.0,6.0,10.0,,3.0,1.0,2.0,,3.0,7.0,5.0,,1.0,,,,,3.0,,6.0,,2.0,1.0,3.0,2.0,1.0,3.0,3.0,,1.0,0.375,0.75,0.5333333333333333,1.0,0.8,0.8,,,,0.21212121212121213,0.07692307692307693,0.07352941176470588,0.09523809523809523,,,1.0,0.375,0.25,,,,0.6222666666666666,0.07692307692307693,0.11764705882352941,0.27586206896551724,3.7266666666666666,,1.0,2.0,,1.0,0.06896551724137931,,0.08,,8.0,4.0,4.0,1.0,2.0,1.0,1.0,8.0,3.0,1.0,1.0,0.5,0.75,0.07142857142857142,0.3888888888888889,0.2857142857142857,0.8888888888888888,0.8888888888888888,0.375,0.8,1.0,0.2,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1630610,1610612763,DeJon Jarreau,DeJon Jarreau,1630610,MEM,8973.0,150,-24.0,302,312,90.0,72,52.0,614,2.0,4.0,11.0,1.0,3.0,4.0,13.0,43,343,1.0,4.0,9.0,12.0,11.0,4.0,18.0,26.0,13.0,60.0,20.0,36.0,44.0,6.0,4.0,7.0,7.0,9.0,4.0,14.0,9.0,90.0,1.0,0.3076923076923077,0.25,0.3076923076923077,0.38,0.34615384615384615,0.39090909090909093,0.32142857142857145,0.26,17.679558011049725,0.7777777777777778,0.29850746268656714,0.2536231884057971,0.3137254901960784,0.04,0.22,0.36363636363636365,0.36363636363636365,1.0,0.23076923076923078,0.3333333333333333,0.54,0.36363636363636365,0.5198285714285715,0.5139958333333334,0.20930232558139536,26.138461538461534,0.2980132450331126,14.0,5.0,15.0,13.0,37.0,5.0,4.0,7.0,10.0,9.0,,2.0,24.0,1.0,8.0,8.0,,4.0,4.0,15.0,8.0,,2.0,,2.0,3.0,,8.0,1.0,11.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.07692307692307693,0.1,0.35135135135135137,0.5714285714285714,0.5,0.5555555555555556,0.02702702702702703,0.07142857142857142,,0.2112676056338028,0.043478260869565216,0.04216867469879518,0.041666666666666664,0.18518518518518517,0.23076923076923078,1.0,0.28,0.3,0.3333333333333333,0.3333333333333333,,0.5990583333333334,0.09259259259259259,0.12195121951219512,0.23255813953488372,7.732432432432431,,1.0,3.0,2.0,1.0,0.04054054054054054,,0.034482758620689655,,7.0,4.0,6.0,3.0,3.0,1.0,3.0,6.0,1.0,,,0.3333333333333333,0.2,0.06060606060606061,0.22580645161290322,0.25,0.5,0.5384615384615384,0.14285714285714285,0.75,0.6666666666666666,0.125,0.23076923076923078,1.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.0625,0.03225806451612903,0.16,0.125,0.125,0.25,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1641713,1610612763,GG Jackson,GG Jackson,1641713,MEM,5818.0,97,-4.0,196,199,75.0,57,31.0,395,5.0,10.0,25.0,7.0,15.0,12.0,30.0,83,211,8.0,17.0,42.0,24.0,24.0,10.0,3.0,5.0,1.0,12.0,4.0,10.0,17.0,,,3.0,2.0,5.0,2.0,3.0,42.0,75.0,0.6666666666666666,0.4,0.47058823529411764,0.41379310344827586,0.6296296296296297,0.7391304347826086,0.6693548387096774,0.7777777777777778,0.5555555555555556,29.25764192139738,0.6,0.09523809523809523,0.11235955056179775,0.12903225806451613,0.09259259259259259,0.46296296296296297,0.4,0.4,0.6,0.6521739130434783,0.4666666666666667,0.7962962962962963,0.4166666666666667,0.5294179245283018,0.5326613636363636,0.5060240963855421,26.853333333333335,0.3826530612244898,13.0,4.0,9.0,16.0,24.0,15.0,5.0,7.0,21.0,6.0,8.0,14.0,18.0,3.0,2.0,1.0,1.0,1.0,6.0,6.0,7.0,,2.0,,,1.0,,13.0,1.0,18.0,2.0,7.0,3.0,1.0,1.0,,1.0,1.0,,3.0,0.4375,0.5833333333333334,0.6666666666666666,0.7142857142857143,0.7307692307692307,0.75,0.125,0.15384615384615385,0.1111111111111111,0.1276595744680851,0.1111111111111111,0.07291666666666667,0.08,0.1111111111111111,0.2222222222222222,1.0,0.24074074074074073,0.16666666666666666,0.4444444444444444,0.5,0.25,0.5420849999999999,0.11864406779661017,0.2413793103448276,0.25301204819277107,5.2875,5.0,6.0,1.0,,1.0,0.023809523809523808,,0.029411764705882353,0.38461538461538464,10.0,4.0,5.0,4.0,4.0,1.0,5.0,8.0,,1.0,1.0,0.8333333333333334,,0.2,0.1,,0.7692307692307693,0.9090909090909091,0.5,0.38461538461538464,0.8,0.07692307692307693,0.17391304347826086,1.0,2.0,2.0,2.0,2.0,1.0,,,1.0,,,,,0.037037037037037035,1.0,1.0,0.25,0.08695652173913043,2.0,1.0,1.0,2.0,3.0,12.0,1.0,0.5,0.5,0.4,0.4,1.0,1.0,1.0,0.4,1.0,0.5,,,,,,,,,,,True,,,,,,,,,,,
1641998,1610612763,Trey Jemison,Trey Jemison,1641998,MEM,3910.0,65,14.0,128,130,47.0,39,26.0,258,,,,,,,,14,137,,,4.0,,,,,2.0,,6.0,4.0,7.0,17.0,,,1.0,1.0,2.0,3.0,5.0,4.0,47.0,,,,,0.5,0.3333333333333333,0.5,0.3333333333333333,,9.937888198757763,0.5,0.11428571428571428,0.11475409836065574,0.1,,,,,,,,0.6428571428571429,,0.583442857142857,0.57925,0.2857142857142857,,0.3671875,9.0,,5.0,7.0,14.0,,3.0,6.0,6.0,6.0,,8.0,6.0,1.0,2.0,2.0,,,4.0,3.0,10.0,,1.0,,2.0,2.0,1.0,2.0,,,,,,2.0,1.0,1.0,2.0,1.0,,,0.5714285714285714,1.0,0.5,0.5,0.5,0.5,0.07142857142857142,0.1111111111111111,,0.11538461538461539,0.0975609756097561,0.1232876712328767,0.12,0.1,0.14285714285714285,0.5,0.6428571428571429,0.35714285714285715,,,,0.5259666666666666,,,0.42857142857142855,3.6214285714285714,,,5.0,,,0.15625,,0.13636363636363635,,7.0,3.0,5.0,2.0,3.0,,2.0,6.0,,,,0.3333333333333333,,0.08333333333333333,0.1111111111111111,0.2,0.7777777777777778,0.875,0.5714285714285714,0.8333333333333334,0.6,,0.5,0.6666666666666666,,,,,,1.0,2.0,,,0.125,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,
1631222,1610612763,Jake LaRavia,Jake LaRavia,1631222,MEM,6142.0,102,-24.0,204,213,61.0,54,39.0,417,5.0,2.0,16.0,1.0,5.0,4.0,21.0,28,235,2.0,8.0,11.0,12.0,16.0,2.0,7.0,9.0,4.0,20.0,,6.0,12.0,7.0,4.0,,,1.0,2.0,4.0,11.0,61.0,1.0,0.19047619047619047,0.25,0.19047619047619047,0.2631578947368421,0.38461538461538464,0.3181818181818182,0.39285714285714285,0.5526315789473685,18.072289156626503,,,0.06521739130434782,,0.13157894736842105,0.42105263157894735,0.125,0.125,1.0,0.38461538461538464,0.2,0.868421052631579,0.125,0.5552837837837838,0.542725,0.39285714285714285,25.728571428571428,0.29901960784313725,12.0,,4.0,4.0,17.0,8.0,,3.0,3.0,5.0,1.0,6.0,2.0,6.0,2.0,1.0,1.0,3.0,2.0,6.0,6.0,,1.0,1.0,1.0,1.0,,8.0,,12.0,,5.0,1.0,1.0,,1.0,1.0,1.0,,1.0,0.75,0.75,0.23529411764705882,,0.21428571428571427,0.21428571428571427,0.35294117647058826,0.3333333333333333,0.5,0.1276595744680851,0.03225806451612903,0.04201680672268908,0.029411764705882353,0.3,,1.0,0.3157894736842105,0.10526315789473684,,,,0.5278125,0.11627906976744186,0.22727272727272727,0.10714285714285714,3.811764705882352,2.0,4.0,3.0,3.0,,0.05263157894736842,,0.06666666666666667,0.2857142857142857,4.0,,2.0,2.0,3.0,2.0,2.0,,,,1.0,0.4,,0.047619047619047616,,,0.3333333333333333,0.5,0.75,0.2857142857142857,,0.2857142857142857,0.23076923076923078,0.6666666666666666,,1.0,3.0,,,1.0,1.0,,,0.1111111111111111,,0.045454545454545456,0.02631578947368421,,,,0.23076923076923078,2.0,1.0,1.0,,1.0,,,0.25,,0.4,0.4,1.0,0.5,1.0,,,0.3333333333333333,,,,,,,,,,,True,,,,,,,,,,,
1629117,1610612763,Wenyen Gabriel,Wenyen Gabriel,1629117,MEM,2579.0,43,-7.0,88,89,41.0,12,16.0,177,3.0,,2.0,,,1.0,5.0,13,84,1.0,1.0,7.0,3.0,2.0,,,,,,5.0,9.0,11.0,1.0,,2.0,,4.0,,2.0,7.0,41.0,1.0,0.2,1.0,0.2,0.5,1.1666666666666667,0.4642857142857143,1.1666666666666667,0.38461538461538464,17.647058823529413,0.5,0.2,0.21428571428571427,0.2222222222222222,0.23076923076923078,0.15384615384615385,,,,,,0.8461538461538461,,0.606373076923077,0.5382666666666667,0.5384615384615384,23.84,0.4659090909090909,6.0,1.0,2.0,5.0,8.0,,1.0,1.0,2.0,2.0,,8.0,2.0,,,,,,2.0,4.0,2.0,,2.0,,1.0,2.0,1.0,4.0,,3.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,,0.8,1.0,0.625,1.0,0.5,0.5,,,,0.23529411764705882,0.07142857142857142,0.044444444444444446,,0.2,0.3333333333333333,1.0,0.46153846153846156,0.15384615384615385,0.5,0.5,1.0,0.581075,0.14285714285714285,0.2222222222222222,0.15384615384615385,2.7125000000000004,1.0,1.0,,1.0,,,0.25,,0.5,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,,2.0,,1.0,,0.06666666666666667,0.2222222222222222,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0,,0.3333333333333333,1.0,,,1.0,,,,,,,,,,,,,,0.3333333333333333,1.0,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,1.0,,1.0,,,,,,,,,True,,,,,,,,,,,
1630205,1610612763,Lamar Stevens,Lamar Stevens,1630205,MEM,2696.0,45,1.0,89,92,34.0,14,14.0,181,3.0,,1.0,,,1.0,4.0,31,102,,,8.0,3.0,1.0,,2.0,3.0,1.0,7.0,4.0,5.0,6.0,1.0,1.0,,,,2.0,2.0,8.0,34.0,1.0,0.25,,0.25,0.5227272727272727,0.5,0.625,0.6666666666666666,0.18181818181818182,22.857142857142858,,0.18181818181818182,0.11904761904761904,0.1111111111111111,0.13636363636363635,0.045454545454545456,,,,,,0.5454545454545454,,0.5430636363636364,0.555625,0.25806451612903225,23.35,0.38202247191011235,8.0,4.0,8.0,10.0,18.0,8.0,1.0,2.0,2.0,4.0,4.0,16.0,4.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,6.0,,8.0,3.0,5.0,,,,,,,,,0.8,0.8,0.5555555555555556,0.5,0.5,0.5,,,,0.05,,,,,,,0.36363636363636365,0.36363636363636365,0.5,0.5,0.75,0.37965,0.20833333333333334,0.25,0.06451612903225806,6.794444444444444,,,,,,,,,,5.0,1.0,1.0,,2.0,,2.0,,,,1.0,0.5,,,0.09090909090909091,0.5,0.625,0.625,0.8,0.5,1.0,,0.5,,1.0,2.0,,,,1.0,,,,0.16666666666666666,,,0.09090909090909091,0.5,0.5,1.0,,1.0,,,,,,,,1.0,0.3333333333333333,0.5,1.0,,,,,,,,1.0,1.0,0.25,0.3333333333333333,,,,,True,,,,,,,,,,,
