EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,OffensiveGoaltends,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,AtRimAssists,Steals,BadPassSteals,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFG2A,PenaltyFtPoints,Fg2aBlocked,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,HeaveAttempts,ShortMidRangeAssists,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,Charge Fouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,SelfORebPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGA,BlockedShortMidRange,SecondChanceCorner3Frequency,LostBallTurnovers,SecondChanceTurnovers,Defensive 3 Seconds Violations,OffAtRimReboundPct,PenaltyCorner3FGA,Offensive Fouls,PenaltyCorner3Frequency,PtsUnassisted3s,Charge Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,RecoveredBlocks,BlocksRecoveredPct,on,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,FTDefRebounds,Transition Take Fouls,2pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,SecondChanceFg3Pct,LongMidRangePctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,Transition Take Fouls Drawn
1629028,1610612757,Deandre Ayton,Deandre Ayton,1629028,POR,1624.0,27,-22.0,58,56,7.0,11.0,8.0,114,4.0,4.0,1.0,1.0,3.0,8.0,1.0,2.0,8.0,14.0,2.0,18.0,70,2.0,3.0,2.0,6.0,12.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,5.0,4.0,9.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,7.0,0.75,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6,0.75,25.0,1.0,0.3333333333333333,0.1,0.1,0.0833333333333333,0.2272727272727272,0.09375,0.1538461538461538,0.25,0.5,0.3333333333333333,0.125,0.2857142857142857,1.0,1.0,0.75,0.5714285714285714,0.375,0.375,0.6666666666666666,0.1428571428571428,0.5,0.5,1.0,0.3333333333333333,1.0,0.2857142857142857,0.4812571428571428,0.4893666666666667,0.0666666666666666,0.0666666666666666,0.3333333333333333,7.257142857142857,0.1206896551724138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629680,1610612757,Matisse Thybulle,Matisse Thybulle,1629680,POR,1048.0,17,-17.0,38,40,8.0,7.0,3.0,78,,,,,,,,,,,,3.0,45,,,,,,,,1.0,3.0,1.0,7.0,,,,1.0,,1.0,,1.0,,,,,2.0,2.0,1.0,1.0,,,,8.0,,,,,0.75,,0.75,,4.545454545454546,,,,0.1428571428571428,,0.0666666666666666,,,,,,0.2,,,,,,,,,,,,,,,1.0,0.5109,,,,,,0.2105263157894736,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,0.5,0.5,0.5,0.75,0.75,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5109,1.0,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631101,1610612757,Shaedon Sharpe,Shaedon Sharpe,1631101,POR,1835.0,31,-12.0,65,65,6.0,12.0,7.0,130,1.0,3.0,,,,2.0,,1.0,1.0,6.0,6.0,14.0,74,,,,,2.0,,,2.0,7.0,1.0,16.0,1.0,1.0,,3.0,1.0,4.0,2.0,6.0,1.0,1.0,2.0,,,1.0,5.0,1.0,7.0,3.0,,6.0,1.0,1.0,0.1666666666666666,,0.2857142857142857,,0.3823529411764705,,25.0,,0.0833333333333333,0.0476190476190476,0.2727272727272727,0.0769230769230769,0.1739130434782608,0.0588235294117647,0.0714285714285714,,,0.3333333333333333,0.1111111111111111,0.2142857142857142,0.3333333333333333,0.5,1.0,0.1428571428571428,,,,0.0714285714285714,,,,,,0.7857142857142857,0.5486821428571428,0.546,0.1764705882352941,0.3333333333333333,,7.783333333333334,0.0923076923076923,2.0,7.0,,,2.0,8.0,,,2.0,6.0,7.0,2.0,5.0,4.0,1.0,,2.0,1.0,0.25,,0.25,,0.5,0.5714285714285714,0.5,0.2857142857142857,0.3333333333333333,1.0,,,0.2857142857142857,0.3763,0.1428571428571428,25.7,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.1666666666666666,0.3333333333333333,0.1428571428571428,0.5,0.1111111111111111,1.0,0.0714285714285714,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631123,1610612757,Jamaree Bouyea,Jamaree Bouyea,1631123,POR,3433.0,57,-22.0,119,119,28.0,25.0,14.0,238,3.0,5.0,1.0,1.0,1.0,7.0,1.0,1.0,5.0,13.0,,10.0,120,1.0,2.0,,2.0,4.0,6.0,2.0,5.0,8.0,5.0,21.0,,2.0,,5.0,3.0,8.0,2.0,10.0,1.0,5.0,8.0,1.0,1.0,3.0,1.0,1.0,,,,28.0,0.4,0.5,0.3846153846153846,0.5,0.238095238095238,0.25,0.238095238095238,0.25,20.863309352517987,,0.1363636363636363,0.0512820512820512,0.1923076923076923,,0.1666666666666666,0.0294117647058823,0.0833333333333333,,0.0909090909090909,0.25,0.217391304347826,0.238095238095238,0.6,0.75,0.6666666666666666,0.3333333333333333,0.1428571428571428,0.1666666666666666,,0.0476190476190476,1.0,1.0,,0.25,1.0,0.6190476190476191,0.5189950000000001,0.7579,,,0.2,5.6692307692307695,0.2352941176470588,,8.0,,2.0,,8.0,,2.0,2.0,,7.0,,3.0,1.0,,,2.0,,,,,0.2,0.2,0.3809523809523809,0.3809523809523809,,,,0.4,,,0.5196500000000001,0.2,31.6375,,2.0,2.0,3.0,,2.0,,,,,3.0,3.0,,,,0.1538461538461538,0.2,,0.375,,,,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.1428571428571428,0.1428571428571428,0.2,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631133,1610612757,Jabari Walker,Jabari Walker,1631133,POR,1603.0,27,-1.0,55,56,9.0,20.0,7.0,111,1.0,4.0,,1.0,4.0,6.0,,,5.0,10.0,,16.0,49,1.0,2.0,,2.0,8.0,2.0,,1.0,1.0,,3.0,1.0,,,5.0,1.0,6.0,1.0,7.0,1.0,1.0,2.0,,1.0,2.0,,,,,,9.0,0.8,0.8,0.5,0.5,0.6153846153846154,0.5,0.6153846153846154,0.5,22.388059701492537,,0.1,,0.3846153846153846,0.0909090909090909,0.2608695652173913,0.0303030303030303,,0.5,0.1666666666666666,,0.4166666666666667,0.3076923076923077,0.25,0.3333333333333333,1.0,0.4615384615384615,0.6666666666666666,0.8,0.75,,,,,0.5,,0.5384615384615384,0.4991423076923076,,,,0.125,5.19,0.1636363636363636,1.0,2.0,,,2.0,3.0,,,,6.0,2.0,1.0,,,1.0,,,1.0,0.6666666666666666,,0.6666666666666666,,,0.2307692307692307,0.1538461538461538,0.5,0.5,1.0,,,0.5,,,24.53333333333333,1.0,,,,,2.0,,1.0,,1.0,1.0,1.0,,,,0.2,0.25,,0.5,,,0.0769230769230769,,,,,,,,,,,,,0.1666666666666666,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641739,1610612757,Toumani Camara,Toumani Camara,1641739,POR,1124.0,19,-11.0,42,41,7.0,7.0,8.0,83,,,,,,,,,,,,,46,,,,,,,,,2.0,,4.0,2.0,,,2.0,,2.0,2.0,4.0,,,1.0,,1.0,1.0,,,,,,7.0,,,,,,,,,12.244897959183673,,,,0.1666666666666666,0.1818181818181818,0.1052631578947368,0.0869565217391304,,,,,0.2,,,,,,,,,,,,,,,1.0,0.5676599999999999,0.573,,,,,0.1666666666666666,,1.0,,1.0,,5.0,,1.0,,,1.0,,2.0,,,,,,,,,,,1.0,0.2,,,,1.0,,,0.53475,,23.26,4.0,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,0.3333333333333333,,0.8,,,,,,2.0,,,,,,,,,,,,,,2.0,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203924,1610612757,Jerami Grant,Jerami Grant,203924,POR,983.0,16,-21.0,33,32,5.0,4.0,5.0,65,,,,,,3.0,2.0,3.0,2.0,6.0,,7.0,49,1.0,1.0,,2.0,,4.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,,,,,5.0,,,0.3333333333333333,1.0,0.5,1.0,0.5,1.0,23.684210526315788,,,,,,,,,,,,,,,,,0.4285714285714285,,,,0.4285714285714285,0.6666666666666666,0.6666666666666666,,,,0.1428571428571428,0.4175357142857143,,,,0.2857142857142857,11.733333333333334,0.1515151515151515,1.0,1.0,,,1.0,1.0,,,,3.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,0.1428571428571428,0.1428571428571428,1.0,1.0,1.0,,,1.0,0.38655,,26.4,,,,2.0,,,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631200,1610612757,Kris Murray,Kris Murray,1631200,POR,1609.0,27,,54,54,19.0,11.0,5.0,108,,1.0,,,,,,,,1.0,1.0,7.0,43,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,1.0,,,3.0,1.0,,2.0,1.0,,19.0,,,,,0.4285714285714285,,0.4375,,14.516129032258064,,,,0.1538461538461538,,0.0909090909090909,,,,,,0.1666666666666666,0.1428571428571428,,,,,,,,,,,,,,1.0,0.5359142857142857,,0.125,0.5,,2.6,0.3518518518518518,1.0,4.0,1.0,2.0,2.0,6.0,1.0,2.0,3.0,6.0,4.0,1.0,,,2.0,2.0,3.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.8571428571428571,0.5714285714285714,0.25,0.25,1.0,0.6666666666666666,0.5,0.25,0.5323666666666667,0.4285714285714285,25.33333333333333,2.0,,,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,,,0.2857142857142857,,,1.0,,,,,,,,,,,,,0.3333333333333333,,1.0,1.0,,,,0.5,0.5,1.0,,,,1.0,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629650,1610612757,Moses Brown,Moses Brown,1629650,POR,532.0,9,-1.0,17,16,12.0,3.0,2.0,33,1.0,2.0,,1.0,,,,,1.0,2.0,,2.0,19,,1.0,,,2.0,,,,,,,1.0,1.0,,,,,2.0,2.0,,,,,,,1.0,,,,,12.0,1.0,1.0,0.5,,0.5,,0.5,,9.523809523809524,,,0.2,,0.25,,0.2222222222222222,,0.5,,,,1.0,0.5,0.5,1.0,,,,,,,,,1.0,,1.0,0.6133500000000001,0.4791,,,,2.75,0.7058823529411765,,,,,,,,,2.0,,,,,,1.0,1.0,2.0,,,,,0.5,0.5,,,,,,,,,0.6133500000000001,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,0.5,,,,1.0,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641712,1610612757,Rayan Rupert,Rayan Rupert,1641712,POR,1125.0,19,-6.0,37,36,17.0,7.0,4.0,73,,,,,,4.0,,1.0,,5.0,2.0,5.0,35,,1.0,,,,,,1.0,2.0,1.0,5.0,1.0,,,,,,1.0,1.0,,2.0,2.0,,,1.0,2.0,,4.0,2.0,,17.0,,,,,0.1666666666666666,,0.2272727272727272,,30.232558139534884,,,,,0.0909090909090909,,0.0434782608695652,,,,,,,,,,0.4444444444444444,,,,0.1111111111111111,,,,,,0.4444444444444444,0.4451388888888888,0.3847,0.1818181818181818,0.2857142857142857,,9.7,0.4594594594594595,1.0,3.0,,1.0,1.0,4.0,,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,,0.25,,0.0833333333333333,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.2,,0.3333333333333333,0.44055,0.2,25.0,1.0,,,3.0,1.0,2.0,,,,1.0,,,,,,0.4,,,,0.125,,0.1111111111111111,,,,,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
