EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,Transition Take Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,SecondChanceCorner3FGA,PtsUnassisted3s,Fg3aBlocked,StepOutOfBoundsTurnovers,Charge Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,Transition Take Fouls Drawn,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,3SecondViolations,on,Clear Path Fouls,HeaveMakes
1626204,1610612740,Larry Nance Jr.,Larry Nance Jr.,1626204,NOP,32803.0,547,45,1090,1096,330.0,308.0,105,2186,43.0,61.0,8.0,14.0,12.0,17.0,7.0,19.0,1.0,7.0,14.0,4.0,8.0,3.0,10.0,1.0,1.0,1.0,3.0,50.0,81.0,10.0,24.0,20.0,150.0,1232,9.0,18.0,1.0,1.0,4.0,25.0,15.0,25.0,5.0,11.0,7.0,52.0,82.0,18.0,30.0,12.0,2.0,8.0,3.0,8.0,31.0,16.0,47.0,11.0,5.0,11.0,7.0,13.0,110.0,17.0,23.0,52.0,50.0,8.0,110.0,40.0,150.0,2.0,21.0,14.0,7.0,9.0,4.0,8.0,11.0,2.0,1.0,1.0,20.0,3.0,6.0,20.0,44.0,5.0,2.0,1.0,29.0,2.0,1.0,3.0,28.0,4.0,15.0,1.0,14.0,8.0,6.0,14.0,10.0,2.0,52.0,329.0,2.0,1.0,0.82,0.9318181818181818,1.0,0.4166666666666667,1.0,0.45454545454545453,0.45454545454545453,0.6172839506172839,0.5,0.6,0.6190476190476191,0.5526315789473685,0.625,0.6410256410256411,0.5681818181818182,0.6341463414634146,0.22857142857142856,0.09876543209876543,0.08196721311475409,0.15789473684210525,11.369294605809127,0.45,0.36363636363636365,0.2183406113537118,0.09504132231404959,0.18439716312056736,0.0776255707762557,0.19960861056751467,0.08676789587852494,0.125,0.08,0.07407407407407407,0.09375,0.03389830508474576,0.19791666666666666,0.2608695652173913,0.17073170731707318,0.18396226415094338,0.18571428571428572,0.058823529411764705,0.7142857142857143,0.580952380952381,0.7049180327868853,0.7678571428571429,0.8372093023255814,0.18095238095238095,0.3684210526315789,0.4375,0.7142857142857143,0.009523809523809525,0.13333333333333333,0.5,0.5,1.0,0.09523809523809523,0.3,0.3,1.0,0.7368421052631579,0.5714285714285714,0.25,0.05263157894736842,1.0,1.0,0.4722222222222222,0.7058823529411765,0.2222222222222222,0.5,0.08333333333333333,0.3333333333333333,0.8095238095238095,0.375,0.6059150485436893,0.596378125,0.5639444444444445,0.12931034482758622,0.16304347826086957,0.16666666666666666,0.3466666666666667,3.020987654320988,27.94583333333333,0.30275229357798167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1627742,1610612740,Brandon Ingram,Brandon Ingram,1627742,NOP,126164.0,2103,175,4267,4244,965.0,886.0,472,8511,129.0,179.0,9.0,13.0,21.0,27.0,148.0,305.0,291.0,12.0,33.0,2.0,5.0,74.0,209.0,7.0,22.0,15.0,63.0,414.0,775.0,86.0,242.0,246.0,1332.0,4871,26.0,52.0,7.0,28.0,17.0,90.0,83.0,148.0,17.0,68.0,87.0,304.0,344.0,484.0,201.0,20.0,2.0,207.0,74.0,44.0,215.0,148.0,363.0,79.0,69.0,148.0,52.0,15.0,874.0,21.0,22.0,178.0,91.0,12.0,281.0,43.0,324.0,14.0,50.0,38.0,12.0,99.0,14.0,55.0,64.0,8.0,44.0,13.0,163.0,7.0,35.0,73.0,145.0,5.0,18.0,,241.0,1.0,8.0,4.0,307.0,24.0,122.0,30.0,39.0,19.0,19.0,40.0,25.0,,302.0,959.0,9.0,28.0,0.41545893719806765,0.42574257425742573,0.7790697674418605,0.35537190082644626,0.25,0.25,0.35833333333333334,0.5341935483870968,0.5,0.5608108108108109,0.5339233038348082,0.45625,0.5023148148148148,0.5760208514335361,0.5113636363636364,0.5671641791044776,0.23795476892822026,0.0567741935483871,0.1005586592178771,0.06885245901639345,27.36556898707795,0.6073619631901841,0.12121212121212122,0.09774436090225563,0.020657276995305163,0.16888045540796964,0.026119402985074626,0.1355163727959698,0.023006955591225255,0.02680965147453083,0.014957264957264958,0.022321428571428572,0.023688663282571912,0.03286384976525822,0.08083832335329341,0.08685446009389672,0.15789473684210525,0.1654228855721393,0.18,0.030501089324618737,0.625,0.176007866273353,0.7206703910614525,0.8012422360248447,0.4496124031007752,0.2999016715830875,0.4852459016393443,0.5211267605633803,0.34459459459459457,0.2861356932153392,0.032448377581120944,0.36363636363636365,0.36363636363636365,1.0,0.2055063913470993,0.35406698564593303,0.3592233009708738,0.7432432432432432,0.1625,0.6923076923076923,0.2222222222222222,0.275,0.3181818181818182,0.7142857142857143,0.125,0.7777777777777778,0.023148148148148147,0.4,0.2916666666666667,0.23809523809523808,0.4139626352015733,0.357487922705314,0.48835453648915184,0.46105,0.45954530516431924,0.11507582515611062,0.13974799541809851,0.06756756756756757,0.22822822822822822,10.753935483870961,25.873553719008264,0.22615420670260136,137.0,6.0,57.0,3.0,1.0,9.0,1.0,9.0,7.0,1.0,1.0,1.0,2.0,3.0,0.012396694214876033,0.01718213058419244,0.014354066985645933,0.47079037800687284,0.479020979020979,0.45985401459854014,0.075,0.028225806451612902,,,,,,,,,,True,,
1629627,1610612740,Zion Williamson,Zion Williamson,1629627,NOP,65121.0,1085,52,2224,2217,477.0,435.0,239,4441,231.0,328.0,40.0,52.0,61.0,81.0,60.0,146.0,4.0,1.0,1.0,,,3.0,7.0,,1.0,,1.0,293.0,478.0,4.0,8.0,128.0,726.0,2565,41.0,58.0,,1.0,16.0,98.0,73.0,111.0,,1.0,35.0,181.0,310.0,276.0,12.0,54.0,,7.0,3.0,52.0,68.0,78.0,146.0,52.0,26.0,40.0,18.0,10.0,370.0,24.0,39.0,84.0,51.0,13.0,148.0,64.0,212.0,16.0,29.0,14.0,15.0,45.0,12.0,24.0,39.0,10.0,21.0,1.0,84.0,5.0,19.0,47.0,76.0,,8.0,,146.0,,4.0,1.0,189.0,31.0,103.0,6.0,21.0,9.0,12.0,23.0,13.0,1.0,180.0,475.0,3.0,5.0,0.5290102389078498,0.5827067669172933,1.0,0.5,,,0.5,0.6129707112970711,0.7068965517241379,0.6576576576576577,0.6152263374485597,0.6949152542372882,0.6517857142857143,0.6436170212765957,0.7101449275362319,0.6753731343283582,0.01646090534979424,0.1087866108786611,0.08536585365853659,0.1643835616438356,25.888933280063924,0.5357142857142857,0.22807017543859648,0.10365853658536585,0.06976744186046512,0.15272727272727274,0.0594059405940594,0.1295585412667946,0.06542056074766354,0.0684931506849315,0.07172995780590717,0.06796116504854369,0.043333333333333335,0.10576923076923077,0.11428571428571428,0.09649122807017543,0.10112359550561797,0.14251781472684086,0.18604651162790697,0.11678832116788321,0.5652173913043478,0.6748971193415638,0.7042682926829268,0.77,0.5584415584415584,0.3004115226337449,0.410958904109589,0.4918032786885246,0.4166666666666667,0.00823045267489712,0.00205761316872428,1.0,1.0,1.0,0.01440329218106996,0.42857142857142855,0.42857142857142855,1.0,0.8813559322033898,0.7692307692307693,0.275,0.01694915254237288,,,0.7232142857142857,0.7530864197530864,,,0.008928571428571428,,0.691358024691358,0.42857142857142855,0.5709743827160496,0.5954524999999999,0.5796660714285714,0.18458781362007168,0.18727272727272729,0.1349862258953168,0.2493112947658402,3.432845188284519,25.4,0.21447841726618705,2.0,,,,1.0,5.0,,,,2.0,2.0,,5.0,,,,,0.5,0.5,0.5,,,1.0,0.014705882352941176,,,,,,,,True,,
1630184,1610612740,Kira Lewis Jr.,Kira Lewis Jr.,1630184,NOP,1834.0,31,-1,61,66,18.0,23.0,6,127,2.0,5.0,,1.0,,1.0,,1.0,,,2.0,,,,1.0,,,,,2.0,6.0,,3.0,,4.0,69,,1.0,,,,,,1.0,,,,,2.0,2.0,,,,1.0,,1.0,3.0,2.0,5.0,,2.0,2.0,1.0,,12.0,,1.0,2.0,1.0,,3.0,1.0,4.0,,1.0,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,18.0,1.0,,0.5,0.5,,,,,,0.3333333333333333,,,0.2222222222222222,,,0.2222222222222222,,,0.3333333333333333,0.16666666666666666,0.2,,13.235294117647058,,,0.1,0.05555555555555555,0.1,,0.1,0.03571428571428571,0.14285714285714285,,,,,,0.3333333333333333,,0.13333333333333333,,,,0.5555555555555556,0.4,0.5,0.5,0.1111111111111111,,,,,0.2222222222222222,,,,0.1111111111111111,,,,1.0,,,,,,1.0,,,,,,0.8888888888888888,,0.5785777777777779,0.7845,0.682,,,,,2.8000000000000003,24.099999999999998,0.29508196721311475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1630529,1610612740,Herbert Jones,Herbert Jones,1630529,NOP,85889.0,1431,119,2901,2890,530.0,497.0,303,5791,88.0,132.0,9.0,15.0,13.0,20.0,10.0,37.0,17.0,51.0,106.0,8.0,20.0,32.0,77.0,3.0,7.0,5.0,8.0,106.0,186.0,83.0,183.0,76.0,537.0,3322,11.0,18.0,8.0,15.0,7.0,53.0,14.0,27.0,13.0,28.0,33.0,100.0,142.0,70.0,243.0,12.0,1.0,76.0,32.0,24.0,87.0,41.0,128.0,31.0,10.0,53.0,24.0,10.0,297.0,25.0,20.0,67.0,40.0,6.0,113.0,48.0,161.0,7.0,58.0,36.0,22.0,32.0,6.0,19.0,30.0,3.0,13.0,6.0,62.0,4.0,17.0,62.0,135.0,19.0,9.0,,75.0,5.0,6.0,4.0,87.0,5.0,37.0,10.0,25.0,13.0,10.0,35.0,23.0,,95.0,524.0,6.0,5.0,0.6698113207547169,0.71,0.9759036144578314,0.453551912568306,0.5333333333333333,0.4642857142857143,0.45604395604395603,0.5698924731182796,0.6111111111111112,0.5185185185185185,0.6246612466124661,0.696969696969697,0.6090909090909091,0.6532846715328468,0.7162162162162162,0.684931506849315,0.4959349593495935,0.12903225806451613,0.13636363636363635,0.16216216216216217,14.532551681579761,0.5161290322580645,0.09375,0.06430868167202572,0.027434842249657063,0.09078590785907859,0.04752851711026616,0.07867647058823529,0.035856573705179286,0.0421455938697318,0.024615384615384615,0.006993006993006993,0.05333333333333334,0.033112582781456956,0.051643192488262914,0.07291666666666667,0.06611570247933884,0.09982486865148861,0.059880239520958084,0.046357615894039736,0.6571428571428571,0.35772357723577236,0.6666666666666666,0.7719298245614035,0.6590909090909091,0.1002710027100271,0.2702702702702703,0.3225806451612903,0.5,0.04607046070460705,0.2872628726287263,0.4811320754716981,0.4811320754716981,1.0,0.2086720867208672,0.4155844155844156,0.4155844155844156,0.9375,0.45454545454545453,0.6,0.2222222222222222,0.21212121212121213,0.42857142857142855,1.0,0.36363636363636365,0.65,0.36363636363636365,0.4,0.14545454545454545,0.625,0.8536585365853658,0.42105263157894735,0.5886376358695652,0.5556604166666667,0.5901157407407408,0.09226932668329177,0.16972477064220184,0.09869646182495345,0.186219739292365,4.502150537634408,24.37978142076503,0.18269562219924165,8.0,8.0,6.0,,2.0,4.0,,,,10.0,9.0,2.0,,1.0,,,,0.47058823529411764,0.47058823529411764,1.0,0.24242424242424243,,3.0,0.038461538461538464,5.0,2.0,1.0,0.625,1.0,,,True,,
1630700,1610612740,Dyson Daniels,Dyson Daniels,1630700,NOP,36074.0,601,39,1210,1212,292.0,290.0,146,2422,25.0,40.0,4.0,9.0,4.0,7.0,16.0,36.0,1.0,7.0,22.0,3.0,5.0,8.0,33.0,1.0,2.0,,4.0,41.0,77.0,15.0,55.0,13.0,140.0,1407,5.0,12.0,1.0,2.0,,13.0,9.0,17.0,3.0,9.0,5.0,32.0,42.0,40.0,45.0,6.0,,33.0,8.0,5.0,52.0,26.0,78.0,20.0,6.0,29.0,14.0,9.0,182.0,13.0,10.0,32.0,26.0,4.0,62.0,24.0,86.0,2.0,39.0,19.0,20.0,12.0,4.0,8.0,8.0,1.0,4.0,3.0,20.0,3.0,7.0,23.0,50.0,1.0,,,17.0,,3.0,3.0,21.0,1.0,9.0,2.0,8.0,3.0,4.0,8.0,5.0,,32.0,290.0,4.0,2.0,0.5121951219512195,0.5526315789473685,1.0,0.2727272727272727,0.5,0.3333333333333333,0.2727272727272727,0.5324675324675324,0.4166666666666667,0.5294117647058824,0.4810606060606061,0.4642857142857143,0.5192307692307693,0.49295774647887325,0.4642857142857143,0.5517241379310345,0.4166666666666667,0.06493506493506493,0.125,,11.83345507669832,0.6,0.14814814814814814,0.10743801652892562,0.03278688524590164,0.10596026490066225,0.057777777777777775,0.10661764705882353,0.04339622641509434,0.039603960396039604,0.023255813953488372,0.04,0.07317073170731707,0.01639344262295082,0.04819277108433735,0.1574074074074074,0.09803921568627451,0.12217194570135746,0.06172839506172839,0.02857142857142857,0.625,0.30303030303030304,0.625,0.7142857142857143,0.56,0.2727272727272727,0.4444444444444444,0.4444444444444444,0.4375,0.007575757575757576,0.16666666666666666,0.3181818181818182,0.3181818181818182,1.0,0.25,0.24242424242424243,0.24242424242424243,1.0,0.6428571428571429,0.4444444444444444,0.25,0.14285714285714285,0.5,1.0,0.2692307692307692,0.5714285714285714,0.19230769230769232,0.6,0.15384615384615385,,0.7196969696969697,0.24242424242424243,0.5507297709923664,0.5017812500000001,0.5210903846153845,0.06428571428571428,0.10588235294117647,0.09285714285714286,0.22857142857142856,5.442857142857143,25.187272727272735,0.2413223140495868,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,1.0,0.02702702702702703,,1.0,,,,,,True,,
1630230,1610612740,Naji Marshall,Naji Marshall,1630230,NOP,29148.0,486,62,990,989,381.0,308.0,116,1979,20.0,35.0,6.0,11.0,9.0,15.0,16.0,34.0,5.0,13.0,29.0,6.0,12.0,7.0,26.0,,1.0,4.0,11.0,38.0,74.0,20.0,55.0,35.0,171.0,1106,8.0,14.0,1.0,3.0,2.0,21.0,17.0,31.0,10.0,23.0,15.0,79.0,48.0,28.0,60.0,6.0,2.0,24.0,7.0,6.0,31.0,19.0,50.0,11.0,8.0,16.0,11.0,4.0,119.0,14.0,13.0,42.0,23.0,1.0,66.0,28.0,94.0,7.0,20.0,8.0,12.0,11.0,8.0,7.0,15.0,2.0,4.0,2.0,26.0,3.0,15.0,16.0,30.0,1.0,,,32.0,1.0,1.0,2.0,44.0,2.0,17.0,3.0,5.0,3.0,2.0,6.0,2.0,,77.0,379.0,2.0,2.0,0.631578947368421,0.6857142857142857,1.0,0.36363636363636365,0.3333333333333333,0.43478260869565216,0.37735849056603776,0.5135135135135135,0.5714285714285714,0.5483870967741935,0.5271317829457365,0.5588235294117647,0.5925925925925926,0.5738255033557047,0.5833333333333334,0.6171875,0.4263565891472868,0.08108108108108109,0.08571428571428572,0.08823529411764706,15.625000000000002,0.4230769230769231,0.043478260869565216,0.1,0.05327868852459016,0.17427385892116182,0.07608695652173914,0.13800424628450106,0.0630841121495327,0.08235294117647059,0.02912621359223301,0.05357142857142857,0.06666666666666667,0.10204081632653061,0.07142857142857142,0.09523809523809523,0.17073170731707318,0.15606936416184972,0.22058823529411764,0.11290322580645161,0.3333333333333333,0.2713178294573643,0.5714285714285714,0.625,0.6,0.26356589147286824,0.47058823529411764,0.5161290322580645,0.6875,0.03875968992248062,0.2248062015503876,0.4482758620689655,0.4482758620689655,1.0,0.20155038759689922,0.2692307692307692,0.2692307692307692,1.0,0.6470588235294118,0.5454545454545454,0.3333333333333333,0.058823529411764705,,,0.2777777777777778,0.6,0.2222222222222222,0.5,0.2037037037037037,0.36363636363636365,0.6976744186046512,0.2916666666666667,0.5418299212598428,0.5712076923076922,0.5402245283018867,0.13013698630136986,0.19101123595505617,0.12280701754385964,0.4619883040935672,5.863513513513513,25.50363636363636,0.38484848484848483,2.0,2.0,,,,1.0,,,2.0,1.0,1.0,,,,,,,0.4,0.4,0.5,0.11764705882352941,0.03508771929824561,1.0,0.02857142857142857,1.0,,,0.5,1.0,,,True,,
1630631,1610612740,Jose Alvarado,Jose Alvarado,1630631,NOP,23026.0,384,93,762,765,229.0,216.0,87,1527,17.0,29.0,3.0,4.0,6.0,11.0,12.0,23.0,5.0,11.0,25.0,3.0,9.0,16.0,46.0,,2.0,2.0,9.0,31.0,57.0,27.0,71.0,9.0,152.0,840,3.0,5.0,3.0,7.0,,15.0,9.0,14.0,5.0,18.0,4.0,37.0,38.0,24.0,75.0,4.0,,46.0,16.0,7.0,24.0,12.0,36.0,9.0,3.0,12.0,7.0,5.0,84.0,1.0,7.0,19.0,22.0,,41.0,8.0,49.0,3.0,24.0,7.0,17.0,7.0,3.0,6.0,7.0,1.0,1.0,2.0,14.0,2.0,4.0,9.0,28.0,2.0,,,12.0,,,2.0,17.0,,6.0,1.0,4.0,2.0,2.0,4.0,3.0,,37.0,229.0,5.0,1.0,0.6129032258064516,0.6551724137931034,0.9259259259259259,0.38028169014084506,0.42857142857142855,0.2777777777777778,0.38028169014084506,0.543859649122807,0.6,0.6428571428571429,0.55859375,0.625,0.515625,0.5588235294117647,0.5769230769230769,0.5285714285714286,0.5546875,0.12280701754385964,0.06896551724137931,0.17391304347826086,17.381228273464657,0.5,,0.1111111111111111,0.03783783783783784,0.10857142857142857,0.007142857142857143,0.10991957104557641,0.024615384615384615,0.03508771929824561,0.04597701149425287,0.024390243902439025,0.009708737864077669,,0.06578947368421052,0.16091954022988506,0.08571428571428572,0.1015625,0.1276595744680851,0.04918032786885246,0.75,0.2265625,0.5862068965517241,0.6296296296296297,0.5882352941176471,0.1796875,0.5217391304347826,0.631578947368421,0.75,0.0390625,0.1953125,0.44,0.4782608695652174,1.0,0.359375,0.34782608695652173,0.34782608695652173,0.875,0.3333333333333333,0.75,0.3333333333333333,0.16666666666666666,,,0.34375,0.5454545454545454,0.28125,0.3333333333333333,0.28125,0.2222222222222222,0.78125,0.34782608695652173,0.5401214843749998,0.52873125,0.5504359375,0.05185185185185185,0.09523809523809523,0.09868421052631579,0.24342105263157895,5.866666666666666,24.892957746478874,0.3005249343832021,2.0,5.0,6.0,2.0,1.0,,,,1.0,,,,,1.0,0.028169014084507043,0.2,,0.4,0.5,,0.4166666666666667,0.013888888888888888,,,3.0,,,0.6,1.0,0.08,,True,,
203468,1610612740,CJ McCollum,CJ McCollum,203468,NOP,69586.0,1160,76,2369,2340,434.0,411.0,256,4709,41.0,74.0,6.0,8.0,13.0,20.0,59.0,115.0,39.0,21.0,39.0,2.0,3.0,95.0,245.0,12.0,22.0,14.0,42.0,118.0,228.0,116.0,284.0,42.0,626.0,2709,9.0,15.0,15.0,27.0,4.0,67.0,29.0,51.0,16.0,45.0,10.0,116.0,110.0,126.0,276.0,8.0,,245.0,95.0,17.0,105.0,46.0,151.0,25.0,21.0,58.0,35.0,12.0,348.0,11.0,4.0,69.0,57.0,1.0,127.0,15.0,142.0,7.0,36.0,25.0,11.0,31.0,12.0,24.0,28.0,4.0,7.0,4.0,59.0,2.0,9.0,42.0,74.0,1.0,4.0,1.0,45.0,,,2.0,53.0,6.0,25.0,4.0,24.0,14.0,10.0,26.0,11.0,,116.0,431.0,5.0,3.0,0.4661016949152542,0.4824561403508772,0.7931034482758621,0.4084507042253521,0.5555555555555556,0.35555555555555557,0.4084507042253521,0.5175438596491229,0.6,0.5686274509803921,0.5703125,0.75,0.5520833333333334,0.5850467289719626,0.7444444444444445,0.5686274509803921,0.5546875,0.07456140350877193,0.08108108108108109,0.09565217391304348,22.335216572504706,0.5254237288135594,0.020833333333333332,0.11089494163424124,0.006711409395973154,0.12147887323943662,0.024444444444444446,0.11645101663585952,0.014340344168260038,0.009174311926605505,0.0037593984962406013,0.008928571428571428,0.027190332326283987,0.01680672268907563,0.09944751381215469,0.11646586345381527,0.11904761904761904,0.12691466083150985,0.0990990990990991,0.02766798418972332,0.4230769230769231,0.14453125,0.5540540540540541,0.6029411764705882,0.3902439024390244,0.224609375,0.5130434782608696,0.5673076923076923,0.5084745762711864,0.076171875,0.076171875,0.5384615384615384,0.5384615384615384,1.0,0.478515625,0.3877551020408163,0.3941908713692946,0.7473684210526316,0.19047619047619047,0.75,0.3333333333333333,0.5238095238095238,0.5454545454545454,0.9166666666666666,0.20833333333333334,0.65,0.03125,0.6666666666666666,0.4375,0.3333333333333333,0.69921875,0.3877551020408163,0.5177729492187501,0.538582,0.4986317708333334,0.05084745762711865,0.10121457489878542,0.10702875399361023,0.1853035143769968,7.959649122807018,25.76901408450704,0.18319966230476994,18.0,5.0,72.0,4.0,3.0,,2.0,,2.0,2.0,2.0,,,,0.014084507042253521,,0.0163265306122449,0.46153846153846156,0.46153846153846156,0.5,0.11904761904761904,0.007042253521126761,,,3.0,,,0.6,1.0,,,True,,
1630346,1610612740,Matt Ryan,Matt Ryan,1630346,NOP,6256.0,104,14,219,216,50.0,34.0,27,435,,1.0,,,,,,2.0,,5.0,7.0,,1.0,5.0,15.0,1.0,1.0,1.0,3.0,,3.0,10.0,22.0,1.0,31.0,246,,,1.0,1.0,,3.0,,1.0,1.0,4.0,,3.0,,,30.0,,,15.0,5.0,,1.0,3.0,4.0,3.0,,,,1.0,11.0,,,4.0,4.0,1.0,9.0,,9.0,,2.0,1.0,1.0,4.0,1.0,4.0,1.0,,,,5.0,,2.0,4.0,9.0,,,,6.0,,1.0,,2.0,,,,,,,,,,3.0,50.0,1.0,,,,1.0,0.45454545454545453,1.0,0.25,0.45454545454545453,,,,0.6,1.5,0.3,0.62,1.5,0.3,0.88,,,,12.244897959183673,0.8,0.2,0.1,,0.06896551724137931,,0.08163265306122448,,,,,,,0.058823529411764705,0.16666666666666666,0.09090909090909091,0.044444444444444446,0.15384615384615385,,,0.04,,,,0.08,,,,,0.28,0.7142857142857143,0.7142857142857143,1.0,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,1.0,1.0,1.0,,,0.2,,0.6,0.3333333333333333,0.92,0.3333333333333333,0.542608,0.54,0.50286,0.08,,0.0967741935483871,0.0967741935483871,9.633333333333333,24.904545454545453,0.228310502283105,,,,,,,2.0,,2.0,,,,,,,,,,,,,0.09090909090909091,,,,,,,,,,True,,
