EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PtsAssisted2s,OffTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,AtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,LiveBallTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,TwoPtAssists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,DefTwoPtRebounds,SecondChanceTurnovers,FTA,Technical Free Throw Trips,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,SecondChancePointsPct,FtPoints,TwoPtShootingFoulsDrawn,DefShortMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyFtPoints,Arc3Assists,Charge Fouls,2pt And 1 Free Throw Trips,DefAtRimReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,PenaltyAtRimAccuracy,LongMidRangePctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceShotQualityAvg,PenaltyArc3FGM,LostBallTurnovers,PenaltyArc3Accuracy,SecondChanceFtPoints,SelfOReb,Travels,PenaltyTurnovers,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffCorner3ReboundPct,SelfORebPct,on,Charge Fouls Drawn,FTOffRebounds,BadPassSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,ShortMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,HeaveAttempts,LongMidRangePctBlocked,Corner3PctBlocked,Transition Take Fouls,BlockedCorner3,Transition Take Fouls Drawn,3SecondViolations,HeaveMakes,BlockedLongMidRange
1627853,1610612752,Ryan Arcidiacono,Ryan Arcidiacono,1627853,NYK,381.0,6,-1.0,12,15,4.0,9,27,11.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.25,0.125,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628392,1610612752,Isaiah Hartenstein,Isaiah Hartenstein,1628392,NYK,285.0,5,-10.0,8,9,1.0,2,17,17.0,,,,,,,,1.0,,,,,1.0,,,,,0.125,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.181818181818183,0.3333333333333333,0.16666666666666666,0.5,1.0,1.0,1.0,1.0,0.4499,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629718,1610612752,Charlie Brown Jr.,Charlie Brown Jr.,1629718,NYK,2237.0,37,-6.0,73,76,20.0,35,149,82.0,,,,,1.0,,1.0,2.0,,,3.0,5.0,20.0,,0.05555555555555555,0.029411764705882353,0.07692307692307693,0.273972602739726,9.0,,2.0,,3.0,6.0,,1.0,1.0,,1.0,2.0,,,,0.3,0.3,14.457831325301205,0.05555555555555555,0.02631578947368421,,0.2,,,,0.548395,5.7,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,3.0,3.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.375,0.375,0.7,0.3333333333333333,1.0,0.5,0.14285714285714285,1.0,0.1,0.2,0.5,0.5,1.0,0.5,0.2,0.2,1.0,1.0,0.25,1.0,0.5,0.8,0.2,0.48306250000000006,0.5,24.74285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630540,1610612752,Miles McBride,Miles McBride,1630540,NYK,2068.0,34,-3.0,69,71,20.0,35,140,72.0,,2.0,,4.0,1.0,,2.0,5.0,,,,,20.0,,0.05555555555555555,0.0625,0.07692307692307693,0.2898550724637681,8.0,2.0,3.0,6.0,12.0,21.0,,,3.0,,,2.0,,,0.5,0.4772727272727273,0.4772727272727273,30.769230769230766,,0.08108108108108109,,0.13636363636363635,0.6666666666666666,0.6666666666666666,,0.49840227272727283,9.466666666666667,5.0,2.0,4.0,,,1.0,6.0,,2.0,3.0,10.0,,2.0,,2.0,2.0,6.0,6.0,1.0,,2.0,2.0,,1.0,,,,,,,2.0,,0.6666666666666666,0.3,,0.3,0.25,0.25,0.45454545454545453,,,1.0,,,0.22727272727272727,0.18181818181818182,0.5,0.5,1.0,0.2727272727272727,0.16666666666666666,0.16666666666666666,,,,,0.5,0.6818181818181818,0.16666666666666666,0.46075,0.09523809523809523,24.48,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,12.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.07142857142857142,0.15,0.21428571428571427,0.5,0.4,0.4,0.18181818181818182,0.5,0.5,1.0,1.0,0.25,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631376,1610612752,Dmytro Skapintsev,Dmytro Skapintsev,1631376,NYK,128.0,2,,4,5,4.0,5,9,3.0,,,,,,,,,,,,,4.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,25.0,,,,1.0,,,,0.4591,4.3,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630201,1610612752,Malachi Flynn,Malachi Flynn,1630201,NYK,104.0,2,3.0,3,4,,4,7,1.0,,,,,,,1.0,1.0,,,,,,,,0.3333333333333333,,,,,,,,2.0,,,,,,,,,,,1.0,33.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630579,1610612752,Jericho Sims,Jericho Sims,1630579,NYK,778.0,13,5.0,25,27,11.0,21,52,21.0,1.0,1.0,,3.0,3.0,,4.0,4.0,,,,1.0,11.0,,0.42857142857142855,0.2857142857142857,0.2,0.44,1.0,,,2.0,2.0,5.0,4.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.25,15.384615384615383,,,,,,,,0.6477,1.75,2.0,,,,,,,,,,,,2.0,,,5.0,,,,,1.0,1.0,,3.0,1.0,1.0,1.0,,1.0,,5.0,,,,,,1.0,1.25,,,,0.5,,,1.0,,,,,,,,,,,,,1.0,,0.6477,1.0,,2.0,,,2.0,,,,,,2.0,,,,,,,,1.0,,1.0,,,1.0,,,0.14285714285714285,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631210,1610612752,Jacob Toppin,Jacob Toppin,1631210,NYK,836.0,14,7.0,27,29,14.0,23,56,21.0,1.0,2.0,1.0,5.0,,,2.0,2.0,,,,,14.0,,,0.15384615384615385,,0.5185185185185185,1.0,,,2.0,2.0,7.0,4.0,,,,,,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,10.714285714285714,,,,,,,,0.5779166666666666,8.6,1.0,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,2.0,3.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,0.3333333333333333,,,,,,0.3333333333333333,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,0.6666666666666666,1.0,0.402,0.2857142857142857,25.2,1.0,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,2.0,,,,,1.0,,,0.25,,,,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,0.4,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628404,1610612752,Josh Hart,Josh Hart,1628404,NYK,782.0,13,-9.0,25,25,1.0,1,50,40.0,3.0,6.0,1.0,15.0,3.0,,3.0,3.0,,,1.0,2.0,1.0,,0.42857142857142855,0.3,0.5,0.04,6.0,1.0,1.0,2.0,3.0,9.0,4.0,,,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5625,29.032258064516128,,,,0.14285714285714285,1.0,1.0,1.0,0.5311714285714285,9.533333333333333,1.0,,,,,1.0,4.0,1.0,,1.0,4.0,1.0,,,,,,4.0,1.0,,,,,1.0,,,,,,,,,,0.25,,0.25,,,0.5714285714285714,,,,,,0.14285714285714285,,,,,0.5714285714285714,0.25,0.25,,0.5,,,,0.7142857142857143,0.25,,,24.950000000000003,1.0,1.0,1.0,,,1.0,1.0,1.0,5.0,,,3.0,,3.0,1.0,,,,,2.0,,1.0,,1.25,1.25,,,,,1.0,1.0,0.14285714285714285,,,0.5,1.0,,0.5555555555555556,2.0,1.0,,0.125,0.25,,,2.0,,,,0.3333333333333333,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,0.7852,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628978,1610612752,Donte DiVincenzo,Donte DiVincenzo,1628978,NYK,1044.0,17,-16.0,34,34,5.0,6,68,52.0,,,,,,,,,,,,,5.0,,,,,0.14705882352941177,6.0,1.0,3.0,3.0,6.0,15.0,4.0,,,,,1.0,0.6666666666666666,0.6666666666666666,0.5,0.6818181818181818,0.6818181818181818,29.26829268292683,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.5470545454545456,5.6000000000000005,2.0,,,,,3.0,5.0,,1.0,3.0,5.0,,,1.0,1.0,3.0,3.0,5.0,3.0,,1.0,,,2.0,1.0,,,,,,3.0,,0.3333333333333333,0.6,1.0,0.6,1.5,1.5,0.45454545454545453,,,1.0,,,0.18181818181818182,,,,,0.45454545454545453,0.6,0.6,0.3333333333333333,,,,1.0,0.6363636363636364,0.6,0.5265,0.2,26.060000000000002,1.0,,1.0,,1.0,1.0,,1.0,,,2.0,6.0,,,,,,,,1.0,,,,,,,,,,0.5,0.5,0.09090909090909091,1.0,1.0,1.0,,,,,1.0,,0.09090909090909091,0.16666666666666666,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
