EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LostBallOutOfBoundsTurnovers,Corner3PctBlocked,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,Defensive 3 Seconds Violations,HeaveAttempts,on,HeaveMakes,Clear Path Fouls
1626157,1610612750,Karl-Anthony Towns,Karl-Anthony Towns,1626157,MIN,42729.0,712,-17.0,1515,1501,441,274,187.0,3016,88.0,131.0,29.0,47.0,17.0,22.0,19.0,52.0,4.0,19.0,8.0,18.0,2.0,4.0,4.0,7.0,56.0,150.0,5.0,11.0,12.0,44.0,111.0,202.0,64.0,168.0,103.0,517.0,1774,30.0,51.0,7.0,15.0,20.0,101.0,20.0,35.0,16.0,51.0,40.0,128.0,112.0,110.0,159.0,33.0,50.0,150.0,56.0,23.0,2.0,67.0,18.0,85.0,14.0,4.0,56.0,8.0,3.0,188.0,20.0,38.0,2.0,69.0,91.0,14.0,174.0,60.0,234.0,6.0,12.0,9.0,3.0,37.0,8.0,23.0,27.0,14.0,1.0,7.0,64.0,6.0,18.0,31.0,72.0,4.0,5.0,5.0,111.0,2.0,12.0,2.0,129.0,20.0,1.0,9.0,54.0,2.0,14.0,26.0,17.0,9.0,26.0,13.0,3.0,1.0,1.0,128.0,437,8.0,14.0,0.5045045045045045,0.6511627906976745,0.828125,0.3809523809523809,0.4666666666666667,0.3137254901960784,0.3809523809523809,0.5495049504950495,0.5882352941176471,0.5714285714285714,0.5594594594594594,0.6136363636363636,0.5116279069767442,0.6097852028639618,0.6558441558441559,0.589622641509434,0.4540540540540541,0.0119047619047619,0.1138613861386138,0.099236641221374,0.1538461538461538,0.1052631578947368,0.0133333333333333,27.870744373918065,0.578125,0.3783783783783784,0.05,0.2345360824742268,0.1151515151515151,0.2387543252595155,0.0510204081632653,0.2363367799113737,0.0803324099722991,0.1172839506172839,0.1147540983606557,0.108695652173913,0.0462962962962962,0.0735294117647058,0.2244897959183673,0.2483660130718954,0.2272727272727272,0.2307692307692307,0.2647058823529412,0.0359281437125748,0.5,0.354054054054054,0.6717557251908397,0.7457627118644068,0.5454545454545454,0.1405405405405405,0.3653846153846153,0.4318181818181818,0.3157894736842105,0.0513513513513513,0.2105263157894736,0.2352941176470588,0.5,0.0486486486486486,0.4444444444444444,0.4444444444444444,1.0,0.4054054054054054,0.3733333333333333,0.3783783783783784,0.8035714285714286,0.7121212121212122,0.6170212765957447,0.1379310344827586,0.0606060606060606,0.5,1.0,0.1666666666666666,0.4545454545454545,1.0,0.2558139534883721,0.7727272727272727,0.0813953488372093,0.5714285714285714,0.5116279069767442,0.2727272727272727,0.8081081081081081,0.3733333333333333,0.5428136486486487,0.5567593023255815,0.5327412790697674,0.1382716049382716,0.2288135593220339,0.0118343195266272,0.195357833655706,0.2475822050290135,4.645544554455445,25.54166666666667,0.291089108910891,,,,,,,,,True,,
1626203,1610612750,Treveon Graham,Treveon Graham,1626203,MIN,22326.0,372,-43.0,783,790,169,132,89.0,1573,12.0,32.0,1.0,7.0,2.0,3.0,12.0,19.0,,,5.0,14.0,,1.0,2.0,2.0,7.0,29.0,,1.0,2.0,6.0,24.0,51.0,12.0,43.0,11.0,95.0,882,2.0,10.0,,2.0,4.0,8.0,3.0,4.0,4.0,8.0,7.0,25.0,32.0,16.0,33.0,3.0,4.0,29.0,7.0,10.0,1.0,11.0,6.0,17.0,5.0,1.0,7.0,2.0,2.0,40.0,10.0,8.0,,15.0,15.0,4.0,34.0,18.0,52.0,4.0,9.0,5.0,4.0,2.0,1.0,1.0,8.0,1.0,2.0,5.0,10.0,2.0,2.0,16.0,35.0,,4.0,,21.0,3.0,1.0,4.0,16.0,2.0,,,9.0,,,2.0,1.0,1.0,2.0,,,,,25.0,169,3.0,,0.6666666666666666,0.7272727272727273,0.9166666666666666,0.2790697674418604,,0.5,0.2790697674418604,0.4705882352941176,0.2,0.75,0.4468085106382978,0.1666666666666666,0.75,0.4702970297029702,0.2857142857142857,0.78125,0.4574468085106383,0.0232558139534883,0.196078431372549,0.28125,0.0526315789473684,,0.0344827586206896,12.514092446448704,0.2,0.1739130434782608,,0.0607287449392712,0.0402010050251256,0.1034482758620689,0.0507614213197969,0.0765306122448979,0.0454545454545454,0.0348837209302325,0.036144578313253,0.0666666666666666,0.0426829268292682,0.0909090909090909,0.0505050505050505,0.0659340659340659,0.0701754385964912,0.109090909090909,0.0857142857142857,0.0851063829787234,,0.3404255319148936,0.375,0.5217391304347826,0.75,0.202127659574468,0.631578947368421,0.6666666666666666,0.5833333333333334,,,,,0.1489361702127659,0.3571428571428571,0.3571428571428571,1.0,0.3085106382978723,0.2413793103448276,0.25,0.8571428571428571,0.5833333333333334,0.1428571428571428,,0.0833333333333333,,,0.0833333333333333,,,0.25,0.6666666666666666,0.1666666666666666,1.0,0.5,0.3333333333333333,0.7978723404255319,0.2413793103448276,0.536706914893617,0.5129750000000001,0.5212416666666666,0.0891089108910891,0.1551724137931034,,0.0842105263157894,0.2631578947368421,4.198039215686274,25.030232558139527,0.2158365261813537,,,,,,,,,True,,
1627774,1610612750,Jake Layman,Jake Layman,1627774,MIN,9991.0,167,24.0,363,359,138,115,48.0,722,13.0,18.0,2.0,3.0,6.0,6.0,3.0,7.0,1.0,2.0,3.0,8.0,1.0,1.0,1.0,3.0,6.0,16.0,2.0,4.0,1.0,5.0,17.0,27.0,9.0,24.0,6.0,67.0,384,2.0,3.0,3.0,5.0,2.0,15.0,9.0,11.0,2.0,8.0,3.0,27.0,24.0,10.0,24.0,3.0,2.0,16.0,6.0,1.0,,2.0,3.0,5.0,3.0,,,2.0,,13.0,4.0,5.0,,6.0,9.0,1.0,16.0,9.0,25.0,,8.0,5.0,3.0,5.0,2.0,3.0,4.0,2.0,,1.0,9.0,2.0,1.0,9.0,18.0,,3.0,1.0,7.0,,,,8.0,2.0,,,5.0,,,4.0,3.0,1.0,4.0,1.0,,,,27.0,135,1.0,,0.7058823529411765,0.75,0.8888888888888888,0.375,0.6,0.25,0.375,0.6296296296296297,0.6666666666666666,0.8181818181818182,0.5980392156862745,0.8125,0.631578947368421,0.6203703703703703,0.8333333333333334,0.675,0.4705882352941176,,0.037037037037037,0.0555555555555555,,,,14.928909952606636,0.5555555555555556,0.1111111111111111,,0.0918367346938775,0.0595238095238095,0.0833333333333333,0.0465116279069767,0.088235294117647,0.0529411764705882,0.024390243902439,0.1,0.0769230769230769,0.0428571428571428,0.0625,0.073170731707317,0.0857142857142857,0.1363636363636363,0.1071428571428571,,,0.25,0.3529411764705882,0.7222222222222222,0.7647058823529411,0.6923076923076923,0.1372549019607843,0.4285714285714285,0.4285714285714285,0.6666666666666666,0.0392156862745098,0.5,0.5,1.0,0.1568627450980392,0.375,0.375,1.0,0.3137254901960784,0.375,0.375,0.8333333333333334,0.375,0.6666666666666666,,0.125,1.0,1.0,0.5,0.5,0.5,0.3157894736842105,1.0,0.1578947368421052,0.3333333333333333,0.2631578947368421,0.2,0.8235294117647058,0.375,0.5390627450980393,0.51355,0.5440657894736841,0.0925925925925925,0.1666666666666666,,0.2238805970149253,0.4029850746268656,4.5925925925925934,25.05416666666667,0.3801652892561983,,,,,,,,,True,,
1629006,1610612750,Josh Okogie,Josh Okogie,1629006,MIN,38627.0,644,-50.0,1364,1364,434,359,162.0,2728,45.0,74.0,8.0,14.0,17.0,29.0,7.0,20.0,,1.0,7.0,25.0,,,2.0,9.0,7.0,43.0,,3.0,3.0,10.0,52.0,95.0,14.0,68.0,65.0,211.0,1568,9.0,17.0,,3.0,10.0,28.0,18.0,34.0,5.0,19.0,28.0,79.0,58.0,46.0,39.0,3.0,10.0,43.0,7.0,16.0,1.0,20.0,19.0,39.0,15.0,4.0,16.0,4.0,,97.0,20.0,17.0,1.0,37.0,39.0,2.0,78.0,38.0,116.0,9.0,19.0,10.0,9.0,20.0,2.0,16.0,13.0,4.0,,3.0,33.0,3.0,8.0,23.0,52.0,2.0,,3.0,60.0,1.0,2.0,7.0,81.0,8.0,,,36.0,1.0,7.0,11.0,8.0,3.0,11.0,6.0,,,,79.0,434,5.0,6.0,0.5576923076923077,0.6170212765957447,0.9285714285714286,0.2058823529411764,,0.2631578947368421,0.2058823529411764,0.5473684210526316,0.5294117647058824,0.5294117647058824,0.4478527607361963,0.45,0.4811320754716981,0.5301507537688442,0.5384615384615384,0.5642857142857143,0.4171779141104294,0.0147058823529411,0.1684210526315789,0.1351351351351351,0.3,,,14.996767937944409,0.6060606060606061,0.0833333333333333,0.0204081632653061,0.1130434782608695,0.0574324324324324,0.1412213740458015,0.0578034682080924,0.1252059308072487,0.057632398753894,0.072463768115942,0.0427350427350427,0.048780487804878,0.0533807829181494,0.0769230769230769,0.0746268656716417,0.1343283582089552,0.1428571428571428,0.1492537313432835,0.1147540983606557,0.1168831168831168,0.5454545454545454,0.4539877300613497,0.6081081081081081,0.703125,0.5777777777777777,0.1226993865030674,0.35,0.5,0.4285714285714285,0.0061349693251533,,,,0.1533742331288343,0.28,0.2916666666666667,1.0,0.263803680981595,0.1627906976744186,0.1627906976744186,0.8571428571428571,0.7,0.5714285714285714,0.25,,,,0.15,,,0.5471698113207547,0.5862068965517241,0.1698113207547169,0.2222222222222222,0.1886792452830188,0.3,0.8711656441717791,0.1627906976744186,0.5515530674846626,0.5550538461538461,0.5528490566037735,0.1927083333333333,0.2926829268292683,0.0144927536231884,0.1327014218009478,0.3744075829383886,2.9684210526315784,24.82058823529412,0.3181818181818182,3.0,0.04,,,,,,,True,,
203952,1610612750,Andrew Wiggins,Andrew Wiggins,203952,MIN,87328.0,1455,-117.0,3084,3081,827,656,361.0,6165,163.0,241.0,19.0,32.0,42.0,60.0,68.0,185.0,29.0,89.0,10.0,37.0,2.0,6.0,4.0,11.0,81.0,238.0,2.0,14.0,30.0,76.0,260.0,515.0,91.0,275.0,149.0,942.0,3514,25.0,48.0,4.0,20.0,12.0,74.0,59.0,127.0,34.0,87.0,36.0,256.0,190.0,330.0,201.0,72.0,20.0,238.0,81.0,45.0,,77.0,78.0,155.0,56.0,22.0,62.0,14.0,1.0,388.0,19.0,28.0,1.0,90.0,76.0,5.0,171.0,48.0,219.0,16.0,29.0,19.0,10.0,60.0,11.0,25.0,47.0,35.0,2.0,8.0,107.0,4.0,29.0,68.0,101.0,5.0,1.0,9.0,160.0,,3.0,1.0,207.0,21.0,3.0,1.0,97.0,7.0,9.0,27.0,12.0,10.0,36.0,21.0,1.0,,1.0,256.0,823,4.0,10.0,0.3653846153846153,0.38,0.7362637362637363,0.3309090909090909,0.2,0.3908045977011494,0.3309090909090909,0.5048543689320388,0.5208333333333334,0.4645669291338583,0.5018987341772152,0.4558823529411764,0.514018691588785,0.5352673492605233,0.4805194805194805,0.5446808510638298,0.3481012658227848,,0.087378640776699,0.1037344398340249,0.1081081081081081,,,28.21173104434907,0.5607476635514018,0.0714285714285714,0.0123456790123456,0.0942928039702233,0.038781163434903,0.1525423728813559,0.0248691099476439,0.1189111747851002,0.031628532974428,0.0457317073170731,0.0462633451957295,,0.027027027027027,0.0148148148148148,0.0700636942675159,0.0741935483870967,0.1703296703296703,0.142548596112311,0.1889763779527559,0.0414507772020725,0.5833333333333334,0.3050632911392405,0.6763485477178424,0.7546296296296297,0.4294478527607362,0.2341772151898734,0.3675675675675676,0.4121212121212121,0.3088235294117647,0.1126582278481012,0.3258426966292135,0.3258426966292135,0.1379310344827586,0.0468354430379746,0.2702702702702703,0.2702702702702703,0.8,0.3012658227848101,0.3403361344537815,0.3403361344537815,0.7283950617283951,0.4705882352941176,0.59375,0.1578947368421052,0.088235294117647,0.3333333333333333,1.0,0.2058823529411764,0.1428571428571428,0.5,0.2803738317757009,0.7,0.0514018691588785,0.3636363636363636,0.3551401869158878,0.3947368421052631,0.6531645569620254,0.3403361344537815,0.5075217363751585,0.5374204545454544,0.4874100467289721,0.1195402298850574,0.1641285956006768,0.025089605734767,0.078556263269639,0.2717622080679405,6.99495145631068,25.748,0.2681582360570687,9.0,,9.0,6.0,3.0,5.0,,,True,,
1629162,1610612750,Jordan McLaughlin,Jordan McLaughlin,1629162,MIN,8053.0,134,-7.0,283,281,107,93,25.0,564,10.0,16.0,,,3.0,5.0,3.0,5.0,,,1.0,3.0,,,,,5.0,15.0,1.0,1.0,4.0,9.0,13.0,21.0,6.0,18.0,6.0,50.0,326,,,1.0,1.0,,3.0,3.0,6.0,4.0,9.0,2.0,20.0,10.0,16.0,12.0,6.0,,15.0,5.0,2.0,,14.0,7.0,21.0,7.0,,11.0,3.0,,49.0,1.0,,,6.0,2.0,,8.0,1.0,9.0,,8.0,5.0,3.0,4.0,,3.0,2.0,1.0,,,6.0,1.0,4.0,5.0,11.0,1.0,,,9.0,,,1.0,9.0,4.0,,1.0,6.0,,,,,,,,,,,20.0,106,3.0,,0.3846153846153846,0.3846153846153846,0.6666666666666666,0.3333333333333333,1.0,0.4444444444444444,0.3333333333333333,0.6190476190476191,,0.5,0.5641025641025641,1.5,0.6,0.6097560975609756,1.5,0.6666666666666666,0.4615384615384615,,0.0952380952380952,0.125,,,,15.064102564102564,0.6666666666666666,,,0.0277777777777777,,0.1578947368421052,0.015625,0.0727272727272727,0.0083333333333333,,,,0.0192307692307692,,0.0344827586206896,0.0344827586206896,,0.1153846153846153,0.25,,,0.4102564102564102,0.625,0.7142857142857143,0.4,0.1282051282051282,0.6,0.6,0.3333333333333333,,,,,0.0769230769230769,0.3333333333333333,0.3333333333333333,1.0,0.3846153846153846,0.3333333333333333,0.3333333333333333,0.6,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.6,,,0.6,0.4444444444444444,0.8717948717948718,0.3333333333333333,0.5383038461538461,0.57735,0.5311600000000001,0.1463414634146341,0.2608695652173913,,0.06,0.4,2.9095238095238094,25.361111111111114,0.3780918727915194,1.0,,,,,,,,True,,
1629633,1610612750,Jarrett Culver,Jarrett Culver,1629633,MIN,34897.0,582,-2.0,1226,1229,177,155,153.0,2455,52.0,92.0,11.0,15.0,6.0,8.0,8.0,31.0,,5.0,2.0,14.0,,2.0,,,20.0,54.0,2.0,4.0,2.0,6.0,60.0,128.0,22.0,68.0,22.0,208.0,1419,12.0,19.0,2.0,6.0,5.0,35.0,9.0,13.0,2.0,6.0,5.0,29.0,46.0,74.0,51.0,15.0,16.0,54.0,20.0,17.0,,26.0,25.0,51.0,23.0,2.0,19.0,5.0,2.0,127.0,13.0,15.0,,26.0,28.0,2.0,56.0,28.0,84.0,10.0,18.0,11.0,7.0,7.0,1.0,5.0,12.0,2.0,2.0,2.0,19.0,6.0,2.0,25.0,46.0,3.0,1.0,3.0,30.0,,1.0,,42.0,6.0,,,22.0,,2.0,10.0,5.0,4.0,11.0,9.0,,,,29.0,177,3.0,2.0,0.3833333333333333,0.4423076923076923,0.7727272727272727,0.3235294117647059,0.3333333333333333,0.3333333333333333,0.3235294117647059,0.46875,0.631578947368421,0.6923076923076923,0.4744897959183674,0.6,0.631578947368421,0.4859813084112149,0.603448275862069,0.6590909090909091,0.3469387755102041,,0.1328125,0.1195652173913043,0.1290322580645161,0.4,,16.642857142857142,0.3684210526315789,0.0833333333333333,,0.0861538461538461,0.0490196078431372,0.1101694915254237,0.0445205479452054,0.0962566844919786,0.0468227424749163,0.037037037037037,0.0661157024793388,0.04,0.0462184873949579,0.037037037037037,0.0615384615384615,0.0909090909090909,0.1216216216216216,0.0978260869565217,0.1538461538461538,0.1030927835051546,0.8181818181818182,0.4693877551020408,0.5652173913043478,0.6419753086419753,0.3846153846153846,0.1581632653061224,0.2580645161290322,0.2962962962962963,0.375,0.0255102040816326,,,,0.0714285714285714,0.1428571428571428,0.1428571428571428,1.0,0.2755102040816326,0.3703703703703703,0.3703703703703703,0.75,0.6,0.7333333333333333,0.2727272727272727,0.08,,,0.16,0.5,0.5,0.4210526315789473,0.75,,,0.3157894736842105,0.3333333333333333,0.8163265306122449,0.3703703703703703,0.5540219387755102,0.548403125,0.5354447368421053,0.1037735849056603,0.1527777777777778,,0.1682692307692307,0.1394230769230769,3.659375,25.214705882352945,0.1443719412724306,,,1.0,1.0,,1.0,1.0,,True,,
201952,1610612750,Jeff Teague,Jeff Teague,201952,MIN,28016.0,467,-26.0,998,990,348,241,98.0,1988,21.0,42.0,1.0,3.0,8.0,20.0,18.0,48.0,1.0,2.0,2.0,6.0,,,1.0,4.0,12.0,39.0,1.0,4.0,3.0,9.0,40.0,92.0,14.0,45.0,67.0,189.0,1121,3.0,6.0,1.0,4.0,,9.0,12.0,34.0,4.0,13.0,34.0,70.0,10.0,70.0,24.0,18.0,,39.0,12.0,7.0,1.0,46.0,47.0,93.0,37.0,10.0,30.0,13.0,3.0,233.0,3.0,2.0,,19.0,20.0,1.0,40.0,5.0,45.0,,15.0,5.0,10.0,21.0,5.0,13.0,18.0,8.0,,2.0,39.0,2.0,15.0,22.0,44.0,2.0,1.0,2.0,50.0,2.0,1.0,2.0,78.0,1.0,,5.0,27.0,2.0,7.0,6.0,2.0,2.0,7.0,5.0,,,,66.0,345,5.0,5.0,0.125,0.125,0.5714285714285714,0.3111111111111111,0.25,0.3076923076923077,0.3111111111111111,0.4347826086956521,0.5,0.3529411764705882,0.4452554744525547,0.45,0.3829787234042553,0.5377906976744186,0.45,0.5303030303030303,0.3284671532846715,0.0222222222222222,0.0760869565217391,0.0714285714285714,0.0833333333333333,,0.0256410256410256,19.00900900900901,0.5384615384615384,0.032258064516129,,0.081967213114754,0.0087336244541484,0.0900473933649289,0.0128205128205128,0.0857142857142857,0.0107991360691144,0.009090909090909,0.0112359550561797,,0.0155440414507772,,0.0898876404494382,0.0576923076923076,0.1176470588235294,0.0898203592814371,0.0909090909090909,,0.7142857142857143,0.3065693430656934,0.5,0.5384615384615384,0.1428571428571428,0.3503649635036496,0.375,0.4090909090909091,0.1111111111111111,0.0145985401459854,0.5,0.5,,0.0437956204379562,0.3333333333333333,0.3333333333333333,1.0,0.2846715328467153,0.3076923076923077,0.3157894736842105,0.5,0.3,0.3333333333333333,,,,,0.4,0.25,1.0,0.425531914893617,0.4,0.0851063829787234,0.25,0.1914893617021276,0.3333333333333333,0.635036496350365,0.3076923076923077,0.5034014705882354,0.5501312500000001,0.5123936170212766,0.1757575757575757,0.2288135593220339,0.0425531914893617,0.0476190476190476,0.3703703703703703,5.338043478260869,25.91555555555556,0.3486973947895792,5.0,,1.0,,1.0,2.0,,,True,,
203496,1610612750,Robert Covington,Robert Covington,203496,MIN,59927.0,999,-46.0,2120,2106,490,376,253.0,4226,57.0,91.0,9.0,18.0,16.0,20.0,16.0,27.0,4.0,11.0,7.0,23.0,1.0,4.0,2.0,5.0,74.0,197.0,6.0,20.0,13.0,52.0,77.0,129.0,81.0,220.0,47.0,444.0,2434,10.0,20.0,7.0,24.0,2.0,43.0,22.0,28.0,15.0,57.0,11.0,100.0,122.0,32.0,222.0,21.0,10.0,196.0,74.0,7.0,3.0,20.0,15.0,35.0,10.0,5.0,19.0,,1.0,85.0,10.0,16.0,,57.0,108.0,15.0,180.0,26.0,206.0,4.0,62.0,32.0,30.0,24.0,10.0,12.0,29.0,12.0,,12.0,53.0,2.0,10.0,51.0,101.0,,1.0,3.0,61.0,4.0,5.0,5.0,57.0,6.0,1.0,,24.0,3.0,4.0,30.0,14.0,15.0,35.0,21.0,1.0,,,98.0,487,7.0,3.0,0.7922077922077922,0.8472222222222222,0.9135802469135802,0.3681818181818181,0.2916666666666667,0.2631578947368421,0.3698630136986301,0.5968992248062015,0.5,0.7857142857142857,0.5687679083094556,0.4659090909090909,0.5235294117647059,0.5951742627345844,0.4777777777777778,0.5494505494505495,0.6303724928366762,0.0136363636363636,0.0542635658914728,0.0659340659340659,0.037037037037037,,0.0101522842639593,17.742607246980423,0.4528301886792453,0.2777777777777778,,0.2033898305084746,0.0332640332640332,0.1457800511508951,0.0188679245283018,0.1789587852494577,0.0257171117705242,0.0495495495495495,0.011049723756906,0.0384615384615384,0.0181818181818181,0.0222222222222222,0.182741116751269,0.2019704433497537,0.2366412213740458,0.1480263157894736,0.1379310344827586,0.0225988700564971,0.6,0.2607449856733524,0.6263736263736264,0.6705882352941176,0.7719298245614035,0.0773638968481375,0.5925925925925926,0.6153846153846154,0.875,0.0315186246418338,0.3636363636363636,0.3636363636363636,0.75,0.0659025787965616,0.3043478260869565,0.3181818181818182,1.0,0.5644699140401146,0.3756345177664975,0.3794871794871794,0.9054054054054054,0.4090909090909091,0.5,0.3333333333333333,0.0909090909090909,0.25,1.0,0.4545454545454545,0.3,0.6666666666666666,0.2352941176470588,0.8,0.0588235294117647,0.4,0.611764705882353,0.25,0.8911174785100286,0.3775510204081632,0.5493580459770113,0.549975,0.5272541666666667,0.073170731707317,0.1632653061224489,0.0135135135135135,0.0968468468468468,0.2252252252252252,4.207751937984495,26.081818181818186,0.2311320754716981,3.0,0.0434782608695652,5.0,4.0,1.0,1.0,,1.0,True,,
