EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,ShortMidRangeAssists,FTDefRebounds,LostBallSteals,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsPutbacks,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Travels,SecondChanceCorner3FGM,HeaveAttempts,Charge Fouls,Loose Ball Fouls,BlockedCorner3,BlockedShortMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,on,LongMidRangePctBlocked,FTOffRebounds,3pt And 1 Free Throw Trips,OffFTReboundPct,BlockedLongMidRange,Corner3PctBlocked,3SecondViolations
1626179,1610612766,Terry Rozier,Terry Rozier,1626179,CHA,8025.0,134,7.0,264,253,59,48.0,35.0,517,7.0,16.0,2.0,4.0,1.0,4.0,11.0,5.0,8.0,1.0,2.0,1.0,14.0,26.0,2.0,3.0,3.0,6.0,16.0,35,15.0,28.0,7.0,84.0,294,4.0,7.0,2.0,4.0,3.0,17.0,2.0,5.0,3.0,6.0,2.0,15.0,16.0,16.0,24.0,21.0,26.0,14.0,2.0,8.0,8.0,16.0,7.0,1.0,7.0,1.0,40.0,2.0,2.0,7.0,2.0,9.0,4.0,13.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,6.0,1.0,3.0,8.0,9.0,1.0,7.0,1.0,2.0,1.0,15.0,59,1.0,1.0,0.5,0.5,0.5333333333333333,0.5357142857142857,0.5,0.5,0.5357142857142857,0.45714285714285713,0.5714285714285714,0.4,0.6111111111111112,0.6363636363636364,0.5909090909090909,0.6287878787878788,0.6666666666666666,0.625,0.4444444444444444,0.05714285714285714,0.125,23.52941176470588,0.5,0.03389830508474576,0.0273972602739726,0.1111111111111111,0.03389830508474576,0.07377049180327869,0.030303030303030304,0.06451612903225806,0.04878048780487805,0.08333333333333333,0.08333333333333333,0.2,0.034482758620689655,0.25396825396825395,0.4375,0.5,0.42857142857142855,0.1746031746031746,0.36363636363636365,0.36363636363636365,0.75,0.12698412698412698,0.625,0.625,0.4,0.031746031746031744,0.5,0.5,1.0,0.4126984126984127,0.5384615384615384,0.5384615384615384,0.5,0.36363636363636365,0.5,0.5,0.09090909090909091,0.2727272727272727,0.6666666666666666,0.5,0.09090909090909091,0.5454545454545454,0.5,0.6984126984126984,0.5384615384615384,0.5132153225806452,0.5236916666666667,0.45714,0.03076923076923077,0.05405405405405406,0.20238095238095238,0.17857142857142858,8.411428571428571,25.857142857142854,0.22348484848484848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1626195,1610612766,Willy Hernangomez,Willy Hernangomez,1626195,CHA,4663.0,78,9.0,153,157,60,47.0,19.0,310,6.0,11.0,1.0,3.0,4.0,5.0,8.0,,,,,,,1.0,,,,,11.0,19,,1.0,3.0,25.0,157,1.0,3.0,,,2.0,4.0,3.0,6.0,,,,6.0,16.0,6.0,,,1.0,,3.0,6.0,3.0,9.0,2.0,1.0,3.0,1.0,21.0,4.0,3.0,9.0,11.0,22.0,7.0,29.0,1.0,3.0,2.0,3.0,,2.0,,1.0,3.0,,2.0,2.0,6.0,,7.0,,3.0,1.0,6.0,60,,1.0,0.7272727272727273,0.7272727272727273,,,,,,0.5789473684210527,0.3333333333333333,0.5,0.55,0.3333333333333333,0.5,0.5434782608695652,0.5,0.42857142857142855,0.05,0.15789473684210525,0.09090909090909091,14.772727272727273,1.0,0.3235294117647059,0.06521739130434782,0.20930232558139536,0.14285714285714285,0.2597402597402597,0.0945945945945946,0.08333333333333333,0.15,0.375,0.2222222222222222,0.14285714285714285,0.16666666666666666,0.55,0.5454545454545454,0.6,1.0,0.4,0.625,0.8333333333333334,0.4,,,,,,,,,0.05,,,,1.0,0.3333333333333333,1.0,,,,,0.6666666666666666,,,0.6,,0.5064624999999999,0.59815,0.49956666666666666,0.13636363636363635,0.14285714285714285,0.16,0.24,3.8526315789473684,25.8,0.39215686274509803,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.05263157894736842,0.125,0.22727272727272727,0.75,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1628970,1610612766,Miles Bridges,Miles Bridges,1628970,CHA,9201.0,153,12.0,299,299,58,40.0,38.0,598,11.0,24.0,2.0,3.0,5.0,5.0,16.0,,1.0,3.0,12.0,1.0,2.0,18.0,,3.0,,5.0,16.0,41,5.0,30.0,12.0,59.0,338,2.0,3.0,,4.0,,4.0,6.0,8.0,1.0,7.0,6.0,21.0,14.0,18.0,15.0,,18.0,2.0,5.0,7.0,5.0,12.0,4.0,1.0,6.0,,29.0,2.0,3.0,13.0,4.0,19.0,5.0,24.0,1.0,5.0,5.0,5.0,,3.0,5.0,2.0,10.0,2.0,2.0,7.0,13.0,2.0,13.0,,6.0,,21.0,58,,,0.4375,0.4666666666666667,1.0,0.16666666666666666,,0.14285714285714285,0.16666666666666666,0.3902439024390244,0.6666666666666666,0.75,0.33098591549295775,0.2857142857142857,0.5,0.3881578947368421,0.2857142857142857,0.6176470588235294,0.4225352112676056,0.12195121951219512,0.20833333333333334,25.36873156342183,0.5,0.0784313725490196,0.0410958904109589,0.15294117647058825,0.03389830508474576,0.125,0.03787878787878788,0.030303030303030304,,,0.14516129032258066,0.17391304347826086,0.022727272727272728,0.3380281690140845,0.4583333333333333,0.5789473684210527,0.5454545454545454,0.22535211267605634,0.3125,0.3125,0.2,0.014084507042253521,,,,0.16901408450704225,0.25,0.25,1.0,0.2535211267605634,0.1111111111111111,0.1111111111111111,1.0,0.42857142857142855,0.6666666666666666,0.5,0.14285714285714285,0.42857142857142855,,,0.3333333333333333,0.3333333333333333,,0.7605633802816901,0.1111111111111111,0.5275971830985915,0.58476,0.51864,0.09210526315789473,0.13333333333333333,0.06779661016949153,0.3559322033898305,4.282926829268292,25.266666666666666,0.1939799331103679,4.0,1.0,2.0,,1.0,2.0,,,2.0,1.0,,0.2222222222222222,0.05555555555555555,0.09523809523809523,0.1,0.16666666666666666,0.5,0.8,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.13333333333333333,0.5,0.03225806451612903,,,,,,,,,,,,,,,,True,,,,,,,
1628997,1610612766,Caleb Martin,Caleb Martin,1628997,CHA,7300.0,122,-7.0,232,238,45,45.0,22.0,470,6.0,13.0,2.0,2.0,4.0,1.0,2.0,,3.0,2.0,3.0,,7.0,11.0,,,,1.0,7.0,18,9.0,14.0,10.0,51.0,251,2.0,3.0,,,,4.0,4.0,7.0,1.0,3.0,4.0,15.0,8.0,6.0,27.0,,11.0,7.0,1.0,4.0,5.0,9.0,3.0,2.0,4.0,,23.0,2.0,1.0,7.0,3.0,10.0,3.0,13.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0,1.0,7.0,,6.0,11.0,13.0,2.0,11.0,,6.0,,15.0,45,1.0,,0.5714285714285714,0.6666666666666666,1.0,0.6428571428571429,,0.3333333333333333,0.6428571428571429,0.3888888888888889,0.6666666666666666,0.5714285714285714,0.640625,0.6666666666666666,0.55,0.6891891891891891,0.6666666666666666,0.625,0.4375,0.05555555555555555,0.07692307692307693,16.923076923076923,0.42857142857142855,0.05357142857142857,0.01694915254237288,0.109375,0.037037037037037035,0.08333333333333333,0.02654867256637168,,0.02564102564102564,0.05,0.11904761904761904,0.09090909090909091,0.07142857142857142,0.40625,0.46153846153846156,0.5,0.6666666666666666,0.0625,0.5,0.5,,0.09375,,,,0.09375,0.6666666666666666,0.6666666666666666,1.0,0.34375,0.6363636363636364,0.6363636363636364,1.0,0.6666666666666666,1.0,0.5,,,,,0.4,0.1,,0.84375,0.6363636363636364,0.5159250000000001,0.56725,0.48603499999999994,0.16216216216216217,0.2608695652173913,0.0784313725490196,0.29411764705882354,5.3,26.13571428571429,0.1939655172413793,3.0,,,1.0,,1.0,,,,,,,0.038461538461538464,0.06666666666666667,0.08333333333333333,,,0.75,1.0,2.0,2.0,,,,,2.0,,,,,,0.2,0.5,,2.0,,,,,,,,,,,,,,,True,,,,,,,
1629667,1610612766,Jalen McDaniels,Jalen McDaniels,1629667,CHA,17598.0,293,-23.0,574,574,137,117.0,71.0,1148,16.0,28.0,9.0,10.0,9.0,7.0,17.0,1.0,1.0,6.0,14.0,2.0,3.0,10.0,,1.0,1.0,3.0,24.0,46,9.0,24.0,14.0,89.0,640,9.0,10.0,1.0,3.0,1.0,22.0,9.0,18.0,3.0,6.0,4.0,31.0,24.0,24.0,27.0,,9.0,3.0,3.0,7.0,6.0,13.0,5.0,1.0,5.0,1.0,32.0,4.0,11.0,28.0,19.0,50.0,15.0,65.0,4.0,8.0,3.0,6.0,3.0,6.0,5.0,,11.0,2.0,20.0,36.0,18.0,5.0,17.0,,9.0,1.0,31.0,137,1.0,,0.5,0.6666666666666666,1.0,0.375,0.3333333333333333,0.5,0.391304347826087,0.5217391304347826,0.9,0.5,0.5357142857142857,0.8076923076923077,0.5625,0.577922077922078,0.8461538461538461,0.5961538461538461,0.34285714285714286,0.06521739130434782,0.07142857142857142,13.373860182370821,0.5454545454545454,0.15079365079365079,0.07236842105263158,0.1891891891891892,0.031746031746031744,0.17153284671532848,0.0539568345323741,0.1323529411764706,0.011235955056179775,0.09523809523809523,0.16666666666666666,0.25,0.12121212121212122,0.4,0.5714285714285714,0.6153846153846154,0.5,0.24285714285714285,0.4117647058823529,0.4375,0.42857142857142855,0.014285714285714285,1.0,1.0,1.0,0.2,0.42857142857142855,0.42857142857142855,1.0,0.14285714285714285,0.3,0.3,1.0,0.7692307692307693,0.9,0.2222222222222222,0.15384615384615385,0.07692307692307693,,,0.375,0.125,0.3333333333333333,0.7428571428571429,0.3333333333333333,0.5286884057971014,0.5960055555555556,0.4980195652173914,0.11842105263157894,0.17307692307692307,0.24719101123595505,0.34831460674157305,4.47608695652174,25.400000000000002,0.23867595818815332,4.0,1.0,3.0,5.0,1.0,3.0,2.0,1.0,3.0,2.0,0.058823529411764705,0.25,0.028169014084507043,0.08108108108108109,0.16923076923076924,0.21052631578947367,0.6666666666666666,0.4444444444444444,2.0,3.0,12.0,1.0,,,,1.0,,1.0,,,,0.125,0.6666666666666666,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,,,,,,True,,,,,,,
1628998,1610612766,Cody Martin,Cody Martin,1628998,CHA,7697.0,128,-13.0,252,253,91,59.0,29.0,505,5.0,8.0,,,1.0,,3.0,2.0,3.0,1.0,6.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,7.0,14,3.0,10.0,12.0,35.0,264,,2.0,2.0,2.0,,6.0,1.0,1.0,1.0,4.0,8.0,13.0,10.0,4.0,9.0,,4.0,2.0,3.0,12.0,7.0,19.0,2.0,5.0,8.0,1.0,45.0,1.0,1.0,13.0,8.0,21.0,2.0,23.0,1.0,8.0,6.0,7.0,,6.0,3.0,1.0,10.0,3.0,8.0,14.0,11.0,1.0,14.0,,5.0,2.0,13.0,91,,2.0,0.7142857142857143,0.7142857142857143,1.0,0.3,1.0,0.25,0.3,0.5,,1.0,0.4791666666666667,0.75,0.5,0.5645161290322581,0.75,0.65,0.4166666666666667,0.21428571428571427,0.25,14.236111111111112,0.7,0.16,0.013888888888888888,0.19117647058823528,0.0196078431372549,0.17796610169491525,0.016260162601626018,0.030303030303030304,0.02857142857142857,0.17647058823529413,0.18181818181818182,0.23076923076923078,0.1,0.3333333333333333,0.625,0.8333333333333334,0.8,0.125,,,,0.125,0.6666666666666666,0.6666666666666666,0.5,0.25,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.5,0.5,1.0,,,,0.25,0.25,1.0,1.0,0.2,0.6,0.3333333333333333,0.75,0.5,0.5133562500000001,0.460175,0.51026,0.1724137931034483,0.2631578947368421,0.17142857142857143,0.37142857142857144,7.200000000000001,24.25,0.3611111111111111,1.0,3.0,,2.0,,,2.0,1.0,2.0,1.0,0.3333333333333333,,,,0.19230769230769232,,0.5,1.0,,1.0,,1.0,1.0,,,,,,,,,0.2,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,True,,,,,,,
1629023,1610612766,P.J. Washington,P.J. Washington,1629023,CHA,9778.0,163,-30.0,312,316,64,68.0,36.0,628,13.0,20.0,3.0,4.0,5.0,5.0,19.0,1.0,1.0,4.0,10.0,2.0,9.0,26.0,1.0,3.0,1.0,2.0,19.0,40,13.0,36.0,6.0,83.0,350,5.0,8.0,1.0,5.0,,13.0,4.0,7.0,3.0,6.0,,17.0,22.0,16.0,36.0,3.0,26.0,9.0,8.0,6.0,2.0,8.0,2.0,,6.0,,18.0,7.0,4.0,6.0,6.0,12.0,11.0,23.0,2.0,4.0,2.0,6.0,,5.0,4.0,1.0,10.0,2.0,5.0,12.0,13.0,,14.0,,8.0,,17.0,64,,,0.5789473684210527,0.6875,0.9230769230769231,0.3611111111111111,0.2,0.5,0.3611111111111111,0.475,0.625,0.5714285714285714,0.506578947368421,0.5,0.6538461538461539,0.5060975609756098,0.5,0.6538461538461539,0.47368421052631576,0.2,0.25,25.7703081232493,0.6,0.075,0.05194805194805195,0.07692307692307693,0.08974358974358974,0.0759493670886076,0.07096774193548387,0.09090909090909091,0.06557377049180328,0.06896551724137931,0.07272727272727272,0.08695652173913043,0.05714285714285714,0.2631578947368421,0.65,0.8666666666666667,0.7692307692307693,0.25,0.2631578947368421,0.3125,0.2,0.013157894736842105,1.0,1.0,,0.13157894736842105,0.4,0.4,0.75,0.34210526315789475,0.34615384615384615,0.36,1.0,0.3076923076923077,0.75,0.3333333333333333,0.15384615384615385,0.23076923076923078,0.3333333333333333,1.0,0.38461538461538464,0.15384615384615385,0.5,0.7368421052631579,0.34615384615384615,0.514029605263158,0.5288642857142857,0.5544730769230768,0.0975609756097561,0.17391304347826086,0.1566265060240964,0.20481927710843373,4.7225,25.291666666666668,0.20512820512820512,4.0,,,2.0,1.0,2.0,4.0,2.0,4.0,2.0,0.15789473684210525,,0.027777777777777776,0.17647058823529413,0.075,0.09090909090909091,0.5,0.8,2.0,4.0,6.0,,,,1.0,,,,,,,0.3076923076923077,0.5,,3.0,,,,,,2.0,,,,1.0,1.0,0.027777777777777776,0.038461538461538464,,True,,,,,,,
1628370,1610612766,Malik Monk,Malik Monk,1628370,CHA,3951.0,66,-37.0,133,136,37,34.0,20.0,269,9.0,13.0,,1.0,3.0,1.0,5.0,,,1.0,6.0,1.0,5.0,11.0,1.0,1.0,3.0,4.0,10.0,18,6.0,17.0,4.0,42.0,167,,1.0,1.0,2.0,2.0,5.0,3.0,6.0,3.0,6.0,,15.0,8.0,12.0,18.0,,11.0,5.0,3.0,5.0,4.0,9.0,3.0,1.0,3.0,,22.0,,1.0,4.0,3.0,7.0,1.0,8.0,1.0,1.0,,3.0,,1.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,,6.0,,3.0,,15.0,37,1.0,,0.4,0.4,1.0,0.35294117647058826,0.5,0.5,0.35294117647058826,0.5555555555555556,,0.5,0.5428571428571428,0.5,0.625,0.5526315789473685,0.625,0.625,0.4857142857142857,0.16666666666666666,0.15384615384615385,28.104575163398692,0.6,0.08333333333333333,0.02857142857142857,0.13333333333333333,,0.10606060606060606,0.014925373134328358,,,0.125,0.13636363636363635,0.125,0.06666666666666667,0.37142857142857144,0.6923076923076923,0.8181818181818182,0.4444444444444444,0.14285714285714285,0.2,0.25,,,,,,0.17142857142857143,0.16666666666666666,0.16666666666666666,1.0,0.3142857142857143,0.45454545454545453,0.45454545454545453,1.0,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,1.0,1.0,0.25,0.3333333333333333,0.75,0.8571428571428571,0.45454545454545453,0.5294914285714285,0.620325,0.47427500000000006,0.07894736842105263,0.14285714285714285,0.11904761904761904,0.35714285714285715,3.511111111111111,25.16470588235294,0.2781954887218045,2.0,2.0,,1.0,,,,,,,0.2,,0.06666666666666667,,0.08695652173913043,,,0.6666666666666666,,2.0,,1.0,,,,,,,,,,0.16666666666666666,,,1.0,,,,,,,,,,,,,,,True,,,,,,,
1628984,1610612766,Devonte' Graham,Devonte' Graham,1628984,CHA,8407.0,140,-9.0,271,271,56,46.0,37.0,542,9.0,11.0,,1.0,1.0,5.0,11.0,1.0,5.0,3.0,4.0,1.0,12.0,33.0,1.0,3.0,1.0,5.0,15.0,27,15.0,37.0,11.0,86.0,317,,1.0,2.0,4.0,,6.0,3.0,5.0,1.0,5.0,2.0,11.0,12.0,18.0,21.0,24.0,33.0,12.0,,19.0,14.0,33.0,9.0,5.0,14.0,,80.0,1.0,,8.0,2.0,10.0,1.0,11.0,,6.0,4.0,13.0,4.0,7.0,6.0,6.0,19.0,6.0,,9.0,15.0,,13.0,1.0,8.0,,11.0,56,,,0.4,0.4,0.4666666666666667,0.40540540540540543,0.5,0.2,0.40540540540540543,0.5555555555555556,,0.6,0.5859375,0.6,0.45,0.6323529411764706,0.6,0.5,0.578125,,,27.70700636942675,0.6842105263157895,0.04,,0.11267605633802817,0.017241379310344827,0.08264462809917356,0.008,,,,0.10416666666666667,0.13043478260869565,,0.171875,0.8181818181818182,0.8181818181818182,0.5555555555555556,0.171875,0.45454545454545453,0.45454545454545453,0.2,0.078125,0.2,0.2,,0.0625,0.75,0.75,1.0,0.515625,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.2,,,0.2,0.6,0.3333333333333333,1.0,0.1,0.5,0.2,0.75,0.36363636363636365,0.5268734375,0.5731333333333333,0.49433499999999997,0.11764705882352941,0.25806451612903225,0.06976744186046512,0.12790697674418605,8.1,26.197297297297304,0.2066420664206642,1.0,5.0,,2.0,,4.0,1.0,1.0,1.0,,,,,0.058823529411764705,0.03333333333333333,0.16666666666666666,,1.0,,,,1.0,1.0,4.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,True,,,,,,,
202687,1610612766,Bismack Biyombo,Bismack Biyombo,202687,CHA,5125.0,85,-23.0,170,171,38,38.0,20.0,341,9.0,9.0,1.0,1.0,1.0,3.0,10.0,,1.0,,,,,,,,,,12.0,20,,,7.0,31.0,218,2.0,3.0,,,2.0,6.0,1.0,1.0,,,4.0,6.0,20.0,4.0,,,,,2.0,2.0,3.0,5.0,2.0,1.0,2.0,,13.0,3.0,6.0,6.0,4.0,12.0,9.0,21.0,1.0,,,2.0,,2.0,2.0,,4.0,,5.0,11.0,12.0,,15.0,,5.0,3.0,6.0,38,2.0,3.0,0.8333333333333334,1.0,,,,,,0.6,0.6666666666666666,1.0,0.6,0.6666666666666666,1.0,0.5740740740740741,0.5,0.75,,0.1,,16.06217616580311,0.5,0.09523809523809523,0.14285714285714285,0.17647058823529413,0.1,0.13157894736842105,0.125,0.08333333333333333,0.1,0.2,0.21739130434782608,0.09090909090909091,0.16666666666666666,0.45,1.0,1.0,0.8888888888888888,0.5,0.3,0.375,0.6666666666666666,0.05,,,,,,,,,,,,0.3333333333333333,1.0,,,,,,1.0,,,0.45,,0.5170049999999999,0.4171,0.6873,0.20833333333333334,0.20833333333333334,0.1935483870967742,0.1935483870967742,4.545,,0.2235294117647059,1.0,,2.0,,5.0,1.0,2.0,2.0,2.0,2.0,0.2,0.4,0.2,0.1,,0.1111111111111111,1.0,1.0,,,4.0,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,
