EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ShootingFouls,Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Usage,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyArc3FGA,FG2M,FG2A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,ShortMidRangeAssists,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyFg3Pct,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,LongMidRangeAssists,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,BlockedShortMidRange,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,Technical Free Throw Trips,FTOffRebounds,OffFTReboundPct,on,PenaltyCorner3FGM,HeaveAttempts,Fg3aBlocked,Transition Take Fouls,Charge Fouls Drawn,Transition Take Fouls Drawn,Blocked3s,BlockedArc3,BlockedLongMidRange,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,Corner3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,BlockedCorner3,Clear Path Fouls
1626220,1610612751,Royce O'Neale,Royce O'Neale,1626220,BKN,390.0,6.0,-4.0,13.0,12.0,10.0,25.0,1.0,1.0,1.0,1.0,3.0,12.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,7.692307692307692,1.0,1.0,1.0,1.0,1.0,1.0,0.52995,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1628410,1610612751,Edmond Sumner,Edmond Sumner,1628410,BKN,3135.0,52.0,,114.0,113.0,43.0,227.0,1.0,4.0,2.0,5.0,51.0,149.0,3.0,4.0,1.0,,5.0,0.5,0.4,0.4,0.6785714285714286,0.796875,0.1785714285714285,23.571428571428573,0.1428571428571428,0.25,0.25,,0.75,0.25,0.5711803571428572,24.98,42.0,21.0,11.0,16.0,1.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,2.0,16.0,23.0,13.0,1.0,3.0,1.0,3.0,6.0,6.0,2.0,4.0,16.0,14.0,18.0,3.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,12.0,1.0,4.0,2.0,2.0,4.0,5.0,9.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,13.0,5.0,8.0,1.0,16.0,42.0,1.0,0.4375,0.4666666666666667,0.6956521739130435,0.3333333333333333,1.0,0.3333333333333333,0.75,0.5,0.8888888888888888,0.0434782608695652,0.0625,0.1,0.1025641025641025,0.1,0.0666666666666666,0.1,0.0925925925925925,0.0625,0.1333333333333333,0.125,0.2,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.5714285714285714,0.6875,0.7333333333333333,0.4545454545454545,0.1785714285714285,0.6,0.6,0.6666666666666666,0.0714285714285714,1.0,1.0,0.0357142857142857,1.0,1.0,1.0,1.0,0.3333333333333333,0.375,1.0,0.25,0.59395,0.506725,0.2580645161290322,0.3076923076923077,0.0588235294117647,0.3137254901960784,4.778260869565217,0.3684210526315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1629651,1610612751,Nic Claxton,Nic Claxton,1629651,BKN,238.0,4.0,-4.0,8.0,9.0,9.0,17.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1630556,1610612751,Kessler Edwards,Kessler Edwards,1630556,BKN,4769.0,79.0,3.0,171.0,170.0,70.0,341.0,2.0,7.0,2.0,12.0,15.0,199.0,6.0,7.0,2.0,2.0,3.0,1.0,0.1666666666666666,0.1666666666666666,0.2916666666666667,0.3,0.5,14.146341463414636,0.2916666666666667,0.2857142857142857,0.2857142857142857,1.0,0.7083333333333334,0.2857142857142857,0.5260458333333333,24.291666666666668,56.0,29.0,4.0,5.0,1.0,2.0,,1.0,,3.0,,4.0,,5.0,3.0,4.0,12.0,1.0,1.0,5.0,1.0,3.0,,3.0,4.0,,6.0,4.0,4.0,,2.0,1.0,2.0,,2.0,,,,4.0,1.0,5.0,4.0,3.0,8.0,6.0,14.0,,3.0,1.0,2.0,,,4.0,2.0,,,2.0,,1.0,,6.0,56.0,,0.5,0.6666666666666666,0.3333333333333333,0.2,,0.1666666666666666,0.4285714285714285,0.2142857142857142,0.4285714285714285,0.0833333333333333,,0.0769230769230769,0.0961538461538461,0.1379310344827586,0.0357142857142857,0.1029411764705882,0.075,,0.1818181818181818,0.0909090909090909,,0.1333333333333333,0.1111111111111111,,0.2083333333333333,0.8,0.8,0.5,0.125,,,,0.1666666666666666,,,0.2083333333333333,,,,0.3333333333333333,0.5,0.1428571428571428,,0.4285714285714285,0.460675,0.4801142857142856,0.04,0.0769230769230769,0.2,0.4,8.8,0.327485380116959,,0.15,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.2,0.05,0.0625,1.0,0.1666666666666666,0.1428571428571428,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1630560,1610612751,Cam Thomas,Cam Thomas,1630560,BKN,3486.0,58.0,-8.0,126.0,127.0,64.0,253.0,2.0,3.0,3.0,4.0,42.0,149.0,3.0,3.0,2.0,2.0,2.0,0.3333333333333333,0.75,0.75,0.6346153846153846,0.65625,0.1538461538461538,25.34246575342466,0.1153846153846153,0.6666666666666666,0.6666666666666666,,0.3461538461538461,0.6666666666666666,0.4815,24.65,54.0,18.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,11.0,4.0,6.0,1.0,1.0,,12.0,22.0,9.0,2.0,2.0,2.0,9.0,6.0,11.0,,8.0,20.0,4.0,20.0,6.0,,,2.0,3.0,5.0,3.0,,2.0,13.0,,1.0,,4.0,4.0,1.0,5.0,1.0,3.0,2.0,1.0,2.0,,5.0,11.0,,1.0,13.0,1.0,6.0,1.0,20.0,54.0,,0.1666666666666666,0.1666666666666666,0.5454545454545454,1.0,0.5454545454545454,1.1666666666666667,0.5454545454545454,1.125,0.625,,,0.1176470588235294,0.0294117647058823,,,0.0784313725490196,0.0185185185185185,,0.0666666666666666,,,0.1428571428571428,,0.0909090909090909,0.1923076923076923,1.0,1.0,0.2,0.4230769230769231,0.2727272727272727,0.2727272727272727,,0.2307692307692307,0.6666666666666666,0.6666666666666666,0.0384615384615384,1.0,1.0,1.0,0.3333333333333333,1.0,0.4545454545454545,1.0,,0.4426,0.5326272727272727,0.1935483870967742,0.2222222222222222,0.2142857142857142,0.4761904761904761,9.104545454545455,0.4285714285714285,,,,1.0,,1.0,,,,3.0,1.0,,,,,,,0.6,,,0.1538461538461538,,0.3333333333333333,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1630696,1610612751,Dru Smith,Dru Smith,1630696,BKN,207.0,3.0,-1.0,7.0,7.0,5.0,14.0,,1.0,,1.0,,6.0,,1.0,,,,,,,,,1.0,14.285714285714285,1.0,,,,1.0,,0.53535,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1630549,1610612751,Day'Ron Sharpe,Day'Ron Sharpe,1630549,BKN,4072.0,68.0,-5.0,146.0,147.0,55.0,293.0,3.0,4.0,3.0,4.0,41.0,182.0,9.0,4.0,3.0,6.0,9.0,1.0,0.75,0.75,0.62,0.6612903225806451,0.16,19.88636363636364,0.16,0.75,0.75,1.0,0.8,0.75,0.586078,25.3,51.0,25.0,11.0,16.0,4.0,8.0,4.0,6.0,,5.0,,,,,2.0,11.0,21.0,10.0,4.0,8.0,4.0,12.0,4.0,7.0,2.0,4.0,18.0,14.0,8.0,,6.0,,6.0,2.0,8.0,2.0,,5.0,18.0,2.0,11.0,6.0,8.0,16.0,13.0,29.0,2.0,,,,2.0,,5.0,7.0,1.0,,11.0,,5.0,1.0,18.0,51.0,,0.6363636363636364,0.875,0.5238095238095238,0.5,0.5714285714285714,0.5,0.7777777777777778,0.6,0.8181818181818182,,,0.25,0.2391304347826087,0.24,0.0909090909090909,0.2456140350877192,0.1911764705882352,0.3125,0.1904761904761904,0.2222222222222222,,0.0666666666666666,0.125,0.1818181818181818,0.64,0.6875,0.6875,0.6363636363636364,0.2,,,,,,,,,,,1.0,0.5,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.5894714285714286,0.6445722222222222,0.1666666666666666,0.1923076923076923,0.2926829268292683,0.4390243902439024,2.595238095238096,0.3493150684931507,0.4,0.2941176470588235,,,2.0,,2.0,,2.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,,0.6,0.4,0.125,0.4166666666666667,0.5,,,1.0,,,1.0,1.0,,3.0,,,,0.25,,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201988,1610612751,Patty Mills,Patty Mills,201988,BKN,1643.0,27.0,3.0,59.0,58.0,11.0,117.0,1.0,6.0,2.0,8.0,16.0,72.0,6.0,6.0,1.0,,,1.0,0.25,0.25,0.4210526315789473,0.4210526315789473,0.4210526315789473,25.31645569620253,0.3157894736842105,0.1666666666666666,0.1666666666666666,1.0,0.631578947368421,0.1666666666666666,0.5110605263157894,24.8375,13.0,16.0,2.0,4.0,,1.0,,1.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,5.0,11.0,,,1.0,,3.0,,3.0,1.0,,,2.0,8.0,,,2.0,6.0,,6.0,,,4.0,12.0,,,2.0,1.0,3.0,,3.0,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,13.0,,0.2,0.2,0.4545454545454545,,,0.75,,0.75,,0.1818181818181818,,0.1,,0.1333333333333333,,0.12,,,,,,0.25,,,0.2105263157894736,0.5,0.5,,0.0526315789473684,1.0,1.0,1.0,0.3157894736842105,0.3333333333333333,0.5,0.1052631578947368,0.5,0.5,1.0,0.5,,0.25,,0.25,0.6085,0.4835875,,,0.1875,,10.872727272727271,0.2203389830508474,,0.1666666666666666,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,2.0,,,,,,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1630561,1610612751,David Duke Jr.,David Duke Jr.,1630561,BKN,2831.0,47.0,8.0,100.0,98.0,38.0,198.0,,,,1.0,14.0,106.0,,,,3.0,6.0,,,,0.4117647058823529,0.4117647058823529,0.0588235294117647,18.803418803418804,,,,,0.7058823529411765,,0.4889382352941177,23.2,33.0,16.0,6.0,11.0,,1.0,1.0,2.0,1.0,4.0,,1.0,,1.0,,7.0,16.0,,,1.0,,,2.0,4.0,,,4.0,8.0,6.0,,,3.0,4.0,4.0,8.0,1.0,3.0,4.0,20.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,,1.0,1.0,,2.0,,5.0,2.0,,1.0,1.0,1.0,1.0,,4.0,33.0,1.0,0.5714285714285714,0.5714285714285714,0.4375,,0.5,,0.5,,0.5,0.1875,0.2727272727272727,0.0476190476190476,0.037037037037037,0.1538461538461538,0.0909090909090909,0.088235294117647,0.0526315789473684,,,0.2,,,0.25,,0.6470588235294118,0.5454545454545454,0.75,0.6666666666666666,0.2352941176470588,0.25,0.25,,0.0588235294117647,,,0.0588235294117647,,,,1.0,,0.5,0.5,,0.6058,0.4967749999999999,0.0588235294117647,0.0625,,0.2857142857142857,3.95,0.33,0.2,0.1111111111111111,,,,,,,,3.0,3.0,,,,,,,0.6,,0.125,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,
202681,1610612751,Kyrie Irving,Kyrie Irving,202681,BKN,58.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,
