EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Corner3Assists,ShortMidRangeAssists,SelfOReb,BadPassSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,ShootingFouls,Fouls,BlockedAtRim,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,FTOffRebounds,Travels,ThreePtShootingFoulsDrawn,OffFTReboundPct,DefAtRimReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Corner3PctAssisted,LongMidRangeAssists,FTDefRebounds,SecondChanceTurnovers,Charge Fouls Drawn,BlockedShortMidRange,DefFTReboundPct,LongMidRangeFGM,SecondChanceCorner3FGA,SecondChanceFG3A,Fg2aBlocked,Charge Fouls,NonShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Technical Free Throw Trips,OffCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Offensive Fouls,Transition Take Fouls,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,PenaltyFtPoints,PenaltyTurnovers,NonShootingPenaltyNonTakeFoulsDrawn,on,HeaveAttempts,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,Blocked3s,BlockedArc3,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,PenaltyCorner3FGM,SecondChanceArc3FGM,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,LongMidRangePctBlocked
1628389,1610612748,Bam Adebayo,Bam Adebayo,1628389,MIA,1843.0,31.0,-16.0,63.0,64,4.0,8.0,9.0,127,7.0,8.0,1.0,2.0,6.0,12.0,1.0,13.0,21.0,5.0,31.0,83.0,1.0,2.0,2.0,1.0,2.0,2.0,20.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,2.0,2.0,4.0,4.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,0.7692307692307693,0.8333333333333334,0.6190476190476191,0.5,0.5,0.6190476190476191,0.5,0.5,0.6739130434782609,0.5,0.5,34.24657534246575,1.0,0.1538461538461538,0.1428571428571428,0.1538461538461538,0.0833333333333333,0.1538461538461538,0.1212121212121212,0.3333333333333333,0.3333333333333333,0.1428571428571428,0.3333333333333333,0.2222222222222222,1.0,0.3809523809523809,0.875,0.875,0.7142857142857143,0.5714285714285714,0.5,0.5,0.8333333333333334,0.0476190476190476,1.0,0.5,0.3809523809523809,0.5004857142857142,0.6124,0.42395,0.1304347826086956,0.1304347826086956,0.064516129032258,0.064516129032258,6.666666666666667,0.0634920634920634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1628997,1610612748,Caleb Martin,Caleb Martin,1628997,MIA,2625.0,44.0,4.0,85.0,87,6.0,6.0,13.0,172,4.0,5.0,,,,,2.0,4.0,7.0,1.0,24.0,98.0,,,,,,3.0,2.0,6.0,,3.0,1.0,4.0,,2.0,9.0,,1.0,3.0,2.0,5.0,1.0,6.0,3.0,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,3.0,6.0,0.25,0.25,0.5714285714285714,,,0.71875,,1.5,0.7058823529411765,,1.5,18.181818181818183,,0.0869565217391304,0.0384615384615384,0.1666666666666666,,0.1219512195121951,0.0227272727272727,,0.2,,,0.1538461538461538,1.0,0.3125,0.8,0.8,0.25,,,,,0.125,,,0.875,0.538684375,,0.43605,0.0588235294117647,0.125,,0.125,6.228571428571429,0.0705882352941176,1.0,3.0,4.0,6.0,1.0,1.0,5.0,9.0,1.0,1.0,6.0,9.0,6.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.4,0.5555555555555556,1.0,0.5555555555555556,0.5625,0.2,0.2,0.1428571428571428,0.1875,0.3333333333333333,0.3333333333333333,0.375,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,25.288888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1629312,1610612748,Haywood Highsmith,Haywood Highsmith,1629312,MIA,2583.0,43.0,-9.0,86.0,88,18.0,18.0,12.0,174,2.0,3.0,,1.0,,1.0,,2.0,4.0,1.0,5.0,96.0,,1.0,,1.0,1.0,2.0,4.0,,,2.0,2.0,4.0,1.0,2.0,10.0,1.0,1.0,2.0,3.0,5.0,3.0,8.0,2.0,,1.0,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0,1.0,1.0,0.5,,1.0,0.2857142857142857,,0.5,0.3125,,0.5,10.309278350515465,0.5,0.1428571428571428,0.0526315789473684,0.0833333333333333,0.0416666666666666,0.1111111111111111,0.0465116279069767,0.1111111111111111,,0.0588235294117647,0.25,0.1,1.0,0.4285714285714285,0.6666666666666666,0.6666666666666666,1.0,0.1428571428571428,,,,,1.0,,0.8571428571428571,0.5469071428571428,0.6335,0.593425,0.25,0.25,,0.4,3.3,0.2093023255813953,,2.0,,1.0,,,,3.0,,1.0,,,1.0,,1.0,,,2.0,1.0,,1.0,2.0,,,,,,0.4285714285714285,0.0909090909090909,,,0.2857142857142857,,,0.1428571428571428,,,,,,,23.53333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.1666666666666666,0.5,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1629622,1610612748,Max Strus,Max Strus,1629622,MIA,1027.0,17.0,-8.0,34.0,35,,8.0,2.0,69,2.0,2.0,,,,1.0,,2.0,3.0,,7.0,41.0,,,,,,,2.0,2.0,,,,,,,,,,1.0,2.0,3.0,,3.0,,,,,,1.0,1.0,,,,,,,,,,0.5,0.5,0.6666666666666666,,,0.4375,,,0.4375,,,25.0,,0.25,,0.125,,0.1875,,,,,0.4,0.1428571428571428,,0.25,1.0,1.0,0.5,0.125,,,,,,,0.875,0.5533875,,,,,,,4.6000000000000005,,1.0,2.0,,3.0,,,1.0,5.0,,,3.0,,3.0,,,,,,1.0,,,1.0,,1.0,0.2,,0.2,0.625,,,,0.25,0.5,0.5,0.375,,,,,,,24.96,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1630696,1610612748,Dru Smith,Dru Smith,1630696,MIA,4015.0,67.0,-17.0,132.0,136,20.0,18.0,18.0,268,2.0,2.0,,,2.0,5.0,1.0,4.0,8.0,,11.0,156.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,,4.0,1.0,5.0,1.0,2.0,11.0,1.0,,3.0,4.0,8.0,1.0,9.0,4.0,,,,,1.0,1.0,,,,3.0,1.0,3.0,1.0,2.0,20.0,0.5,0.5,0.5,1.0,1.0,0.3928571428571428,1.0,0.3333333333333333,0.3928571428571428,1.0,0.3333333333333333,10.06711409395973,,0.1290322580645161,,0.0967741935483871,0.03125,0.1129032258064516,0.0151515151515151,,,0.0476190476190476,0.1,0.08,0.3333333333333333,0.1428571428571428,1.0,1.0,0.5,0.3571428571428571,0.4,0.4,0.5,0.0714285714285714,,,0.5714285714285714,0.4910678571428571,0.462,0.4999666666666666,,,0.1818181818181818,0.1818181818181818,9.275,0.1515151515151515,,2.0,1.0,4.0,,1.0,1.0,6.0,,2.0,3.0,,4.0,1.0,,1.0,,4.0,1.0,1.0,7.0,10.0,1.0,1.0,0.1666666666666666,,0.1666666666666666,0.4285714285714285,0.1333333333333333,0.1666666666666666,,0.1428571428571428,,,0.2857142857142857,0.25,0.25,1.0,0.3333333333333333,,0.25,25.2,1.0,1.0,1.0,,,,,0.1666666666666666,0.3333333333333333,1.0,0.3333333333333333,,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1629639,1610612748,Tyler Herro,Tyler Herro,1629639,MIA,2280.0,38.0,-3.0,75.0,77,6.0,6.0,10.0,152,,1.0,,,2.0,4.0,3.0,3.0,8.0,3.0,9.0,83.0,2.0,3.0,4.0,,,,4.0,2.0,,6.0,2.0,8.0,2.0,3.0,18.0,,1.0,4.0,2.0,6.0,1.0,7.0,,,3.0,3.0,,5.0,3.0,3.0,,1.0,,,,,,6.0,0.6666666666666666,0.6666666666666666,0.375,0.6666666666666666,,0.1875,0.4,,0.25,0.4,,26.19047619047619,0.6,0.1111111111111111,0.0454545454545454,0.2222222222222222,,0.1666666666666666,0.0263157894736842,,,,0.2,0.2142857142857142,,0.0625,,,,0.25,0.5,1.0,0.5,0.1875,,,0.5625,0.49299375,0.4782499999999999,0.5262,0.0588235294117647,0.1111111111111111,0.4444444444444444,,12.15,0.08,,2.0,,6.0,,2.0,,8.0,,2.0,,,6.0,,,3.0,,,2.0,,,2.0,,,,,,0.5,0.1428571428571428,0.25,,0.125,,,0.375,,,,1.0,,,25.125,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,3.0,1.0,1.0,0.375,1.0,0.5,0.0833333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
200768,1610612748,Kyle Lowry,Kyle Lowry,200768,MIA,774.0,13.0,-2.0,25.0,26,2.0,8.0,5.0,51,1.0,3.0,1.0,1.0,,,,1.0,3.0,2.0,4.0,33.0,1.0,1.0,4.0,,,,,2.0,2.0,5.0,,5.0,,3.0,10.0,,1.0,3.0,1.0,4.0,1.0,5.0,,,1.0,1.0,,1.0,1.0,2.0,,1.0,,,,,,2.0,,,0.3333333333333333,1.0,,0.1666666666666666,1.0,,0.2857142857142857,1.0,,25.806451612903228,1.0,0.1666666666666666,0.25,0.5,,0.3333333333333333,0.0909090909090909,0.25,,,1.0,0.5,,0.5,0.3333333333333333,1.0,,,,,,,1.0,1.0,1.0,0.5497,0.5804,,0.1428571428571428,0.25,1.0,,2.6,0.08,,1.0,,2.0,,,,3.0,,,,,2.0,,,2.0,,,,,,,,,,,,0.5,,0.5,,0.1666666666666666,,,0.3333333333333333,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.6666666666666666,0.6666666666666666,,,,,,,2.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
202710,1610612748,Jimmy Butler,Jimmy Butler,202710,MIA,1327.0,22.0,-7.0,43.0,45,2.0,,6.0,88,3.0,3.0,,,2.0,4.0,,5.0,7.0,2.0,15.0,57.0,,,,,,,2.0,8.0,,5.0,,5.0,,2.0,10.0,,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,,,,,2.0,3.0,,1.0,,,,,,2.0,0.2,0.2,0.7142857142857143,,,0.8125,,,0.8333333333333334,,,18.367346938775512,,0.1,0.0714285714285714,,,0.0588235294117647,0.0454545454545454,,0.25,,,,,0.375,1.0,1.0,0.3333333333333333,0.5,0.5,0.5,,,,,0.5,0.51899375,,,0.1111111111111111,0.125,,,5.4,0.0465116279069767,,,1.0,1.0,,,1.0,1.0,,,3.0,,1.0,1.0,,3.0,,1.0,,,,,,1.0,1.0,,1.0,0.125,0.25,,,,,,0.125,1.0,1.0,1.0,,,1.0,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1631288,1610612748,Jamal Cain,Jamal Cain,1631288,MIA,490.0,8.0,-11.0,16.0,18,2.0,4.0,3.0,34,,1.0,,,1.0,1.0,,1.0,2.0,,2.0,23.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,,,,,,,,1.0,,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,2.0,2.0,,,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,11.11111111111111,,,,0.4,0.3333333333333333,0.2857142857142857,0.1428571428571428,,,,,0.4,,0.5,,,,0.5,1.0,1.0,,,,,0.5,0.5327,,0.4234,,,1.0,1.0,3.65,0.125,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1629130,1610612748,Duncan Robinson,Duncan Robinson,1629130,MIA,458.0,8.0,-6.0,16.0,15,12.0,2.0,2.0,31,,,,,,,,,,,3.0,18.0,,,,,,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,0.75,,,0.75,,,11.76470588235294,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.52395,,0.54735,,,,,,0.75,,,1.0,2.0,,1.0,1.0,2.0,,1.0,3.0,,2.0,1.0,,,,,,,,,,1.0,0.5,,0.5,1.0,,,,,,,1.0,0.5,0.5,1.0,1.0,,0.5,26.700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
