EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,FTDefRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Charge Fouls,Loose Ball Fouls,Technical Free Throw Trips,Blocked3s,BlockedArc3,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffAtRimReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Avg3ptShotDistance,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,BlockedCorner3,Defensive 3 Seconds Violations,OffensiveGoaltends,DefensiveGoaltends,on,Transition Take Fouls,Transition Take Fouls Drawn,BlockedLongMidRange,3SecondViolations
1627751,1610612761,Jakob Poeltl,Jakob Poeltl,1627751,TOR,2138.0,36,7,71,71,32.0,17,13.0,142,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,6.0,3.0,13.0,77,1.0,1.0,1.0,3.0,2.0,2.0,2.0,6.0,10.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,8.0,5.0,13.0,3.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,6.0,2.0,3.0,1.0,5.0,4.0,1.0,5.0,2.0,6.0,32.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.8125,0.5,0.75,10.714285714285715,0.23809523809523808,0.1875,0.23076923076923078,0.11764705882352941,0.23529411764705882,0.15151515151515152,0.14285714285714285,0.4,0.09090909090909091,0.16666666666666666,0.2222222222222222,0.25,0.25,0.1111111111111111,0.5,0.4,0.6666666666666666,0.75,0.75,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.4995166666666668,0.5065999999999999,0.42857142857142855,0.42857142857142855,0.23076923076923078,0.46153846153846156,3.516666666666666,0.4507042253521127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1627783,1610612761,Pascal Siakam,Pascal Siakam,1627783,TOR,17493.0,292,3,585,580,183.0,164,81.0,1165,31.0,41.0,9.0,10.0,12.0,15.0,31.0,59.0,74.0,132.0,77.0,240.0,696,11.0,16.0,10.0,38.0,27.0,42.0,33.0,87.0,34.0,17.0,46.0,10.0,121.0,6.0,11.0,20.0,20.0,44.0,17.0,61.0,9.0,4.0,7.0,16.0,23.0,2.0,71.0,4.0,96.0,9.0,46.0,6.0,4.0,3.0,1.0,5.0,3.0,85.0,178.0,1.0,5.0,0.22972972972972974,0.25757575757575757,0.5606060606060606,0.6875,0.6428571428571429,0.5361842105263158,0.7368421052631579,0.5625,0.6153846153846154,0.76,0.6590909090909091,31.352154531946507,0.15384615384615385,0.06790123456790123,0.1724137931034483,0.04878048780487805,0.16260162601626016,0.05964912280701754,0.0821917808219178,,0.03296703296703297,0.09375,0.16363636363636364,0.125,0.21052631578947367,0.2125,0.08333333333333333,0.6,0.26973684210526316,0.7560975609756098,0.775,0.22580645161290322,0.3881578947368421,0.5254237288135594,0.5535714285714286,0.25806451612903225,0.5263157894736842,0.9,0.1111111111111111,0.3125,0.8,0.40131578947368424,0.5034216666666667,0.5168106382978724,0.24338624338624337,0.27218934911242604,0.15833333333333333,0.3625,8.48181818181818,0.3128205128205128,12.0,32.0,2.0,2.0,1.0,1.0,3.0,18.0,1.0,2.0,6.0,5.0,20.0,2.0,3.0,6.0,114.0,12.0,3.0,16.0,2.0,16.0,3.0,5.0,29.0,17.0,12.0,7.0,4.0,7.0,5.0,9.0,3.0,1.0,6.0,2.0,1.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,0.8,0.25,0.6666666666666666,0.2777777777777778,0.13157894736842105,0.03787878787878788,0.024390243902439025,0.05084745762711865,0.03125,0.5625,0.26666666666666666,0.10204081632653061,0.10606060606060606,0.21052631578947367,0.375,0.3870967741935484,0.16666666666666666,0.013157894736842105,1.0,1.0,1.0,0.11842105263157894,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.05263157894736842,1.0,1.0,0.10526315789473684,0.5,1.0,0.125,0.1875,0.590226923076923,29.71,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1627832,1610612761,Fred VanVleet,Fred VanVleet,1627832,TOR,12177.0,203,-6,404,400,167.0,139,59.0,804,10.0,19.0,,,3.0,6.0,5.0,16.0,19.0,52.0,45.0,140.0,455,,2.0,6.0,12.0,6.0,22.0,28.0,70.0,6.0,25.0,33.0,18.0,74.0,1.0,1.0,13.0,9.0,22.0,2.0,24.0,7.0,6.0,7.0,9.0,14.0,,37.0,,47.0,5.0,17.0,6.0,1.0,1.0,,1.0,1.0,67.0,162.0,2.0,4.0,0.15789473684210525,0.15789473684210525,0.36538461538461536,,0.2727272727272727,0.42035398230088494,0.2727272727272727,0.42,0.5114503816793893,0.42857142857142855,0.5409836065573771,29.28870292887029,0.10344827586206896,0.009009009009009009,0.14444444444444443,0.008928571428571428,0.12429378531073447,0.008968609865470852,,,,0.03571428571428571,0.1388888888888889,0.03333333333333333,0.14285714285714285,0.11940298507462686,0.21739130434782608,1.0,0.168141592920354,0.5263157894736842,0.5555555555555556,0.2,0.1415929203539823,0.3125,0.3125,,,,,0.12,0.5,0.7079646017699115,0.4925390909090908,0.4739489583333334,0.136,0.265625,0.08571428571428572,0.5,9.057692307692307,0.41336633663366334,4.0,17.0,4.0,6.0,2.0,4.0,15.0,55.0,,5.0,26.0,19.0,61.0,2.0,9.0,28.0,32.0,36.0,21.0,,,55.0,15.0,3.0,8.0,3.0,5.0,6.0,,,1.0,2.0,2.0,1.0,,2.0,1.0,5.0,4.0,1.0,1.0,6.0,,,0.631578947368421,0.3114754098360656,0.2222222222222222,0.3114754098360656,0.5398230088495575,0.057692307692307696,0.05263157894736842,,0.11764705882352941,0.2222222222222222,,0.022727272727272728,,0.1504424778761062,0.23529411764705882,0.26666666666666666,0.25,0.05309734513274336,0.6666666666666666,0.8,1.0,0.48672566371681414,0.2727272727272727,0.2830188679245283,0.5333333333333333,0.36363636363636365,0.5,1.0,0.45454545454545453,,,0.52,0.2727272727272727,0.4716833333333333,26.855737704918038,1.0,2.0,9.0,10.0,3.0,1.0,2.0,1.0,3.0,0.35714285714285715,0.04918032786885246,0.16666666666666666,0.03636363636363636,0.04,0.5,0.34615384615384615,,,,,,,,,,,True,,,,
1628384,1610612761,O.G. Anunoby,O.G. Anunoby,1628384,TOR,13308.0,222,-75,444,448,124.0,140,68.0,892,18.0,32.0,3.0,5.0,4.0,6.0,8.0,23.0,29.0,60.0,12.0,103.0,566,4.0,6.0,,11.0,7.0,12.0,4.0,24.0,30.0,9.0,14.0,3.0,33.0,4.0,5.0,11.0,8.0,23.0,10.0,33.0,7.0,6.0,11.0,19.0,18.0,1.0,13.0,1.0,16.0,6.0,10.0,1.0,4.0,3.0,1.0,4.0,3.0,24.0,122.0,3.0,1.0,0.5172413793103449,0.5357142857142857,0.48333333333333334,0.6666666666666666,0.5833333333333334,0.4595959595959596,0.5,0.45454545454545453,0.4951923076923077,0.5,0.5217391304347826,23.428571428571427,0.09195402298850575,0.038461538461538464,0.12790697674418605,0.038461538461538464,0.10982658959537572,0.038461538461538464,0.03389830508474576,0.05,0.024691358024691357,0.08695652173913043,0.0851063829787234,0.0967741935483871,0.1111111111111111,0.140625,0.09090909090909091,0.75,0.32323232323232326,0.5625,0.6428571428571429,0.5555555555555556,0.23232323232323232,0.34782608695652173,0.42105263157894735,0.5,0.45454545454545453,0.6,0.3333333333333333,0.2727272727272727,0.6666666666666666,0.7171717171717171,0.5591611111111111,0.5642931818181819,0.0970873786407767,0.15625,0.10679611650485436,0.23300970873786409,5.4350000000000005,0.27927927927927926,3.0,5.0,7.0,16.0,,1.0,4.0,23.0,1.0,4.0,6.0,11.0,39.0,1.0,5.0,10.0,28.0,30.0,3.0,2.0,,23.0,4.0,8.0,5.0,3.0,2.0,6.0,4.0,1.0,1.0,8.0,4.0,3.0,4.0,1.0,2.0,1.0,3.0,2.0,5.0,,,,0.9090909090909091,0.28205128205128205,0.2,0.28205128205128205,0.3939393939393939,0.13333333333333333,0.125,0.17391304347826086,,0.42105263157894735,0.23529411764705882,0.0392156862745098,0.0196078431372549,0.050505050505050504,0.6,0.6,0.3333333333333333,0.16161616161616163,0.4375,0.4375,1.0,0.23232323232323232,0.17391304347826086,0.17391304347826086,0.75,0.09090909090909091,,,0.36363636363636365,0.25,1.0,0.2727272727272727,0.17391304347826086,0.5489625,25.282051282051277,1.0,4.0,1.0,2.0,,,2.0,2.0,,0.2,,,,0.18181818181818182,0.25,0.16666666666666666,1.0,0.0625,,,,,,,,,True,,,,
1630201,1610612761,Malachi Flynn,Malachi Flynn,1630201,TOR,39287.0,655,-52,1313,1309,426.0,400,187.0,2622,19.0,37.0,1.0,2.0,5.0,10.0,11.0,35.0,35.0,99.0,21.0,226.0,1535,2.0,6.0,2.0,27.0,10.0,33.0,10.0,75.0,28.0,45.0,66.0,31.0,153.0,6.0,9.0,33.0,22.0,57.0,15.0,72.0,20.0,14.0,10.0,23.0,61.0,1.0,30.0,,29.0,3.0,10.0,6.0,3.0,2.0,1.0,4.0,2.0,75.0,421.0,8.0,6.0,0.4,0.4,0.35353535353535354,0.3333333333333333,0.30303030303030304,0.44956140350877194,0.5434782608695652,0.43333333333333335,0.46887966804979253,0.5625,0.4573170731707317,17.209908735332466,0.07829181494661921,0.023195876288659795,0.12452830188679245,0.020833333333333332,0.10073260073260074,0.022189349112426034,0.031055900621118012,0.02247191011235955,0.02727272727272727,,0.0782608695652174,0.07563025210084033,0.0851063829787234,0.11458333333333333,0.1506849315068493,0.5,0.16228070175438597,0.5135135135135135,0.6129032258064516,0.3684210526315789,0.15350877192982457,0.3142857142857143,0.3333333333333333,0.45454545454545453,0.08695652173913043,0.5,1.0,0.13333333333333333,0.5,0.7280701754385965,0.5060726872246696,0.4921939189189187,0.04680851063829787,0.09433962264150944,0.11946902654867257,0.33185840707964603,9.171717171717173,0.32444782939832445,5.0,27.0,11.0,23.0,1.0,1.0,34.0,106.0,6.0,16.0,37.0,45.0,129.0,7.0,17.0,42.0,42.0,120.0,15.0,,1.0,105.0,34.0,8.0,21.0,10.0,11.0,10.0,2.0,3.0,6.0,13.0,8.0,2.0,5.0,,2.0,14.0,31.0,2.0,3.0,,1.0,1.0,0.8888888888888888,0.3488372093023256,0.4117647058823529,0.3515625,0.5657894736842105,0.08080808080808081,0.16216216216216217,0.05714285714285714,,0.5652173913043478,0.05555555555555555,0.014492753623188406,0.021739130434782608,0.11842105263157894,0.18518518518518517,0.18518518518518517,0.4,0.10087719298245613,0.4782608695652174,0.4782608695652174,1.0,0.4649122807017544,0.32075471698113206,0.32075471698113206,0.8529411764705882,0.043478260869565216,1.0,1.0,0.6956521739130435,0.375,0.6666666666666666,0.49333333333333335,0.3238095238095238,0.5178909090909092,25.995348837209303,1.0,5.0,14.0,15.0,,4.0,4.0,,4.0,0.35714285714285715,,,,0.06666666666666667,0.2,0.3783783783783784,,,1.0,1.0,0.007751937984496124,,,,,,True,,,,
1628449,1610612761,Chris Boucher,Chris Boucher,1628449,TOR,22316.0,372,-38,737,737,225.0,208,102.0,1474,42.0,66.0,23.0,36.0,10.0,23.0,6.0,18.0,53.0,90.0,35.0,189.0,861,24.0,41.0,15.0,66.0,12.0,29.0,17.0,53.0,52.0,5.0,5.0,4.0,10.0,13.0,34.0,30.0,25.0,63.0,48.0,111.0,10.0,9.0,5.0,9.0,40.0,2.0,36.0,8.0,40.0,4.0,16.0,5.0,12.0,3.0,9.0,16.0,9.0,53.0,225.0,2.0,5.0,0.49056603773584906,0.8387096774193549,0.5888888888888889,0.5853658536585366,0.41379310344827586,0.5620437956204379,0.5666666666666667,0.391304347826087,0.6096774193548387,0.6346153846153846,0.4818181818181818,18.931475029036005,0.15625,0.1619047619047619,0.20689655172413793,0.07878787878787878,0.18032786885245902,0.12533333333333332,0.15730337078651685,0.09433962264150944,0.09836065573770492,0.023255813953488372,0.1,0.2112676056338028,0.13793103448275862,0.21153846153846154,0.1951219512195122,0.5625,0.48175182481751827,0.6363636363636364,0.711864406779661,0.35714285714285715,0.13138686131386862,0.3333333333333333,0.35294117647058826,1.0,0.8,0.6388888888888888,,0.5,0.43478260869565216,0.8248175182481752,0.579902205882353,0.5728239130434783,0.11333333333333333,0.1568627450980392,0.3492063492063492,0.2804232804232804,3.131111111111111,0.30529172320217096,5.0,6.0,6.0,20.0,1.0,3.0,10.0,27.0,,1.0,9.0,16.0,47.0,1.0,4.0,17.0,54.0,48.0,,44.0,1.0,26.0,10.0,8.0,,,,1.0,8.0,5.0,1.0,4.0,,2.0,4.0,,,3.0,28.0,,4.0,,4.0,2.0,1.0,0.3404255319148936,0.25,0.34782608695652173,0.34306569343065696,0.08888888888888889,0.10606060606060606,0.05555555555555555,,0.4444444444444444,0.38095238095238093,0.22058823529411764,0.08771929824561403,0.043795620437956206,0.8333333333333334,0.8333333333333334,1.0,0.145985401459854,0.3,0.3,1.0,0.19708029197080293,0.37037037037037035,0.37037037037037035,1.0,0.06666666666666667,0.3333333333333333,1.0,0.022222222222222223,,,0.1956521739130435,0.38461538461538464,0.5995499999999999,25.59787234042553,2.0,8.0,2.0,4.0,,,,,,0.23529411764705882,,,,0.17391304347826086,0.25,0.2222222222222222,1.0,0.05,,1.0,0.020833333333333332,6.0,2.0,,,,True,,,,
1630567,1610612761,Scottie Barnes,Scottie Barnes,1630567,TOR,18086.0,301,-54,602,606,135.0,156,88.0,1208,28.0,52.0,7.0,13.0,5.0,8.0,11.0,35.0,41.0,99.0,18.0,121.0,731,7.0,15.0,2.0,19.0,5.0,15.0,7.0,23.0,36.0,25.0,38.0,16.0,89.0,9.0,10.0,19.0,18.0,40.0,19.0,59.0,9.0,6.0,3.0,12.0,18.0,1.0,22.0,2.0,22.0,2.0,11.0,1.0,3.0,3.0,,3.0,2.0,23.0,132.0,2.0,1.0,0.43902439024390244,0.5,0.41414141414141414,0.4666666666666667,0.3333333333333333,0.4087301587301587,0.4722222222222222,0.3076923076923077,0.44485294117647056,0.5,0.39655172413793105,21.022727272727273,0.14285714285714285,0.05154639175257732,0.17117117117117117,0.07377049180327869,0.15611814345991562,0.060126582278481014,0.0375,,0.0625,0.11538461538461539,0.1206896551724138,0.16666666666666666,0.15,0.1686746987951807,0.17857142857142858,0.6666666666666666,0.4126984126984127,0.5384615384615384,0.56,0.5,0.2777777777777778,0.3142857142857143,0.3333333333333333,0.36363636363636365,0.7222222222222222,0.5384615384615384,0.2857142857142857,0.3076923076923077,0.625,0.626984126984127,0.5130924,0.47896600000000006,0.08148148148148149,0.10185185185185185,0.15702479338842976,0.19008264462809918,5.946464646464646,0.22425249169435216,2.0,12.0,3.0,9.0,,,4.0,18.0,1.0,3.0,7.0,7.0,27.0,1.0,3.0,11.0,46.0,18.0,3.0,10.0,1.0,17.0,4.0,4.0,13.0,9.0,4.0,6.0,3.0,4.0,3.0,9.0,9.0,,,,1.0,3.0,10.0,,3.0,,,,0.8571428571428571,0.25925925925925924,0.3333333333333333,0.2692307692307692,0.21428571428571427,0.04040404040404041,0.038461538461538464,0.05714285714285714,,0.75,0.15789473684210525,0.09333333333333334,0.05714285714285714,0.09523809523809523,0.16666666666666666,0.16666666666666666,,0.07142857142857142,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.2222222222222222,0.23529411764705882,0.75,,,,0.16666666666666666,0.3333333333333333,1.0,0.2692307692307692,0.23529411764705882,0.5323041666666667,26.60740740740741,1.0,4.0,1.0,2.0,1.0,3.0,1.0,,5.0,0.18181818181818182,0.037037037037037035,,0.05555555555555555,0.15384615384615385,0.25,0.14285714285714285,,,,,,1.0,,1.0,,,True,,,,
1630173,1610612761,Precious Achiuwa,Precious Achiuwa,1630173,TOR,8558.0,143,-59,279,281,83.0,68,38.0,560,17.0,25.0,1.0,2.0,3.0,5.0,8.0,15.0,25.0,41.0,12.0,74.0,355,1.0,2.0,2.0,4.0,5.0,9.0,4.0,17.0,28.0,2.0,4.0,2.0,10.0,2.0,5.0,9.0,11.0,21.0,7.0,28.0,11.0,8.0,6.0,10.0,16.0,2.0,17.0,,16.0,4.0,10.0,,4.0,4.0,,4.0,2.0,17.0,83.0,1.0,,0.56,0.5833333333333334,0.6097560975609756,0.5,0.5555555555555556,0.5081967213114754,0.25,0.40625,0.5522388059701493,0.4,0.4473684210526316,23.913043478260867,0.171875,0.06944444444444445,0.17307692307692307,0.02702702702702703,0.1724137931034483,0.04794520547945205,,,0.01639344262295082,0.07692307692307693,0.2,0.15789473684210525,0.16666666666666666,0.21621621621621623,0.06666666666666667,0.5,0.4098360655737705,0.68,0.7727272727272727,0.7058823529411765,0.2459016393442623,0.5333333333333333,0.5714285714285714,0.25,0.5,0.5,,0.3125,0.6,0.7377049180327869,0.5497459016393444,0.540378125,0.14925373134328357,0.2127659574468085,0.05405405405405406,0.22972972972972974,4.741463414634146,0.2974910394265233,,1.0,2.0,8.0,,,2.0,12.0,,2.0,4.0,4.0,20.0,,2.0,7.0,22.0,12.0,,2.0,,12.0,2.0,4.0,2.0,2.0,,,1.0,2.0,3.0,4.0,1.0,1.0,3.0,,2.0,1.0,8.0,2.0,1.0,,,,1.0,0.2,,0.2,0.32786885245901637,0.0975609756097561,0.12,0.06666666666666667,,0.4,0.2,0.1724137931034483,0.07142857142857142,0.01639344262295082,,,,0.13114754098360656,0.25,0.25,1.0,0.19672131147540983,0.16666666666666666,0.16666666666666666,1.0,,,,0.5,,,0.25,0.16666666666666666,0.55725,25.09,,3.0,1.0,1.0,,,1.0,,1.0,0.14285714285714285,,,,0.1875,,0.25,,,,,,,,,,,True,,,,
1630288,1610612761,Jeff Dowtin Jr.,Jeff Dowtin Jr.,1630288,TOR,4245.0,71,13,141,140,54.0,45,20.0,281,4.0,5.0,,,2.0,2.0,2.0,6.0,7.0,14.0,4.0,18.0,150,,,,,4.0,9.0,,8.0,6.0,5.0,6.0,3.0,13.0,,,2.0,3.0,6.0,,6.0,2.0,1.0,,,1.0,,3.0,,5.0,,1.0,,,,,,,8.0,54.0,,,0.42857142857142855,0.42857142857142855,0.5,,0.4444444444444444,0.4117647058823529,,0.4,0.47368421052631576,,0.4,11.44578313253012,0.08571428571428572,,0.06451612903225806,,0.07575757575757576,,,,,,0.125,0.0625,,0.10526315789473684,,,0.29411764705882354,0.8,0.8,,0.35294117647058826,0.3333333333333333,0.3333333333333333,1.0,,,,0.2,1.0,0.47058823529411764,0.5178029411764706,0.4894750000000001,0.10526315789473684,0.06666666666666667,,0.4444444444444444,8.685714285714287,0.3829787234042553,1.0,3.0,,2.0,,,,1.0,,,1.0,,3.0,,,1.0,8.0,,,,,1.0,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,0.17647058823529413,,,,,,0.25,,,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.11764705882352941,,,,0.058823529411764705,,,,,,,,,,0.1,,,24.53333333333333,,,,,,,,,1.0,,,,,,,,,,,1.0,0.25,,,,,,True,,,,
1630625,1610612761,Dalano Banton,Dalano Banton,1630625,TOR,4865.0,81,3,168,162,69.0,82,26.0,330,8.0,12.0,2.0,3.0,2.0,4.0,3.0,9.0,11.0,26.0,2.0,39.0,183,2.0,3.0,,4.0,5.0,10.0,1.0,17.0,14.0,5.0,9.0,2.0,22.0,,2.0,6.0,7.0,13.0,2.0,15.0,4.0,3.0,1.0,1.0,5.0,,6.0,,6.0,2.0,4.0,,,,,,,17.0,69.0,,,0.6363636363636364,0.7,0.4230769230769231,0.6666666666666666,0.5,0.45121951219512196,0.6666666666666666,0.5333333333333333,0.45348837209302323,0.6666666666666666,0.53125,22.22222222222222,0.2413793103448276,0.04,0.16666666666666666,,0.2,0.023255813953488372,0.06666666666666667,,,,0.3076923076923077,0.18181818181818182,0.2,0.1935483870967742,,,0.2926829268292683,0.6666666666666666,0.6666666666666666,0.75,0.21951219512195122,0.3333333333333333,0.375,0.3333333333333333,1.0,0.6666666666666666,0.5,0.26666666666666666,0.5,0.6585365853658537,0.516068292682927,0.48383,0.09302325581395349,0.14285714285714285,0.10256410256410256,0.4358974358974359,6.9692307692307685,0.4107142857142857,,5.0,1.0,3.0,,,4.0,12.0,,,3.0,5.0,15.0,,,5.0,8.0,15.0,,2.0,,12.0,4.0,1.0,4.0,2.0,2.0,3.0,,1.0,1.0,,,,,,1.0,1.0,3.0,,1.0,,,,1.0,0.3333333333333333,,0.3333333333333333,0.36585365853658536,0.038461538461538464,,0.1111111111111111,,,,0.05263157894736842,0.043478260869565216,0.12195121951219512,,,,0.07317073170731707,0.3333333333333333,0.3333333333333333,1.0,0.2926829268292683,0.3333333333333333,0.36363636363636365,1.0,,,,,,,0.2,0.3333333333333333,0.6612666666666667,26.259999999999998,1.0,2.0,1.0,2.0,1.0,,1.0,,,0.4,0.06666666666666667,,0.08333333333333333,0.13333333333333333,0.5,0.3333333333333333,,,,,,,,,,,True,,,,
