EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,OpponentPoints,Fouls,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTOffRebounds,OffensiveGoaltends,Defensive 3 Seconds Violations,OffFTReboundPct,Transition Take Fouls,StepOutOfBoundsTurnovers,Charge Fouls,Clear Path Fouls,3pt And 1 Free Throw Trips,BlockedCorner3,BlockedLongMidRange,3SecondViolations,LongMidRangePctBlocked,Charge Fouls Drawn,Transition Take Fouls Drawn,Corner3PctBlocked,DefensiveGoaltends,on
1627853,1610612752,Ryan Arcidiacono,Ryan Arcidiacono,1627853,NYK,35.0,1,-3,1,1,2,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1630193,1610612752,Immanuel Quickley,Immanuel Quickley,1630193,NYK,81067.0,1351,219,2693,2666,5359,2979,93.0,844.0,860.0,372.0,45.0,63.0,3.0,3.0,13.0,19.0,61.0,127.0,11.0,27.0,32.0,85.0,6.0,14.0,8.0,25.0,59.0,155.0,8.0,22.0,12.0,34.0,117.0,217.0,91.0,240.0,74.0,581.0,11.0,20.0,14.0,36.0,5.0,69.0,31.0,60.0,20.0,59.0,28.0,150.0,62.0,172.0,222.0,51.0,8.0,2.0,153.0,59.0,9.0,1.0,79.0,63.0,142.0,45.0,18.0,68.0,8.0,3.0,347.0,19.0,19.0,74.0,57.0,4.0,135.0,38.0,173.0,8.0,43.0,32.0,11.0,15.0,2.0,10.0,18.0,4.0,5.0,5.0,33.0,6.0,11.0,42.0,7.0,2.0,74.0,1.0,6.0,95.0,12.0,5.0,42.0,1.0,8.0,7.0,1.0,1.0,4.0,3.0,8.0,5.0,149.0,825.0,14.0,5.0,0.26495726495726496,0.2743362831858407,0.8131868131868132,0.37916666666666665,0.3888888888888889,0.3389830508474576,0.38235294117647056,0.5391705069124424,0.55,0.5166666666666667,0.5547045951859956,0.5714285714285714,0.5126050420168067,0.5806451612903226,0.5655737704918032,0.5444444444444444,0.5251641137855579,0.004166666666666667,0.041474654377880185,0.06349206349206349,0.03937007874015748,0.0064516129032258064,16.972034715525556,0.45454545454545453,0.05,0.08571428571428572,0.0304,0.11367127496159754,0.03054662379421222,0.09954407294832827,0.030473135525260625,0.01639344262295082,0.046263345195729534,0.02,0.03655913978494624,0.012738853503184714,0.07746478873239436,0.09090909090909091,0.09352517985611511,0.11416490486257928,0.11235955056179775,0.034334763948497854,0.625,0.13785557986870897,0.7142857142857143,0.7627118644067796,0.24444444444444444,0.2778993435448578,0.48031496062992124,0.5,0.29508196721311475,0.05908096280087528,0.4074074074074074,0.4074074074074074,0.18181818181818182,0.18599562363238512,0.3764705882352941,0.3764705882352941,1.0,0.33916849015317285,0.38064516129032255,0.38311688311688313,0.711864406779661,0.05357142857142857,1.0,0.6666666666666666,0.25,0.42857142857142855,1.0,0.39285714285714285,0.36363636363636365,0.625,0.15966386554621848,0.6842105263157895,0.21008403361344538,0.32,0.2857142857142857,0.35294117647058826,0.6630196936542669,0.38562091503267976,0.5201538461538461,0.5291403846153846,0.5103982905982907,0.08811475409836066,0.1700404858299595,0.004149377593360996,0.11876075731497418,0.25817555938037867,7.964976958525345,25.147499999999994,0.31340512439658375,,,,,,,,,,,,,,,,,,True
1630579,1610612752,Jericho Sims,Jericho Sims,1630579,NYK,28586.0,476,-71,932,938,1870,1149,58.0,201.0,278.0,119.0,38.0,50.0,17.0,23.0,10.0,14.0,3.0,5.0,,,,,,,,,,1.0,,,,1.0,41.0,55.0,,1.0,8.0,90.0,17.0,23.0,,,3.0,37.0,11.0,16.0,,1.0,6.0,28.0,50.0,32.0,,,32.0,1.0,,,4.0,,11.0,4.0,15.0,3.0,1.0,7.0,3.0,1.0,34.0,24.0,37.0,39.0,32.0,4.0,75.0,62.0,137.0,1.0,10.0,4.0,6.0,5.0,2.0,3.0,8.0,,2.0,,13.0,6.0,1.0,41.0,5.0,5.0,15.0,5.0,,11.0,3.0,,5.0,,2.0,12.0,,,6.0,6.0,12.0,7.0,28.0,198.0,2.0,2.0,0.6097560975609756,1.0,,,,,,0.7454545454545455,0.7391304347826086,0.6875,0.7321428571428571,0.7391304347826086,0.6470588235294118,0.75,0.7708333333333334,0.7,0.017857142857142856,,0.07272727272727272,0.08,,,6.835205992509364,0.38461538461538464,0.11764705882352941,0.14222222222222222,0.15416666666666667,0.203125,0.11009174311926606,0.17026378896882494,0.1331877729257642,0.17857142857142858,0.13709677419354838,0.15625,0.1069182389937107,0.11864406779661017,0.14473684210526316,0.1509433962264151,0.11627906976744186,0.2012987012987013,0.21052631578947367,0.1111111111111111,0.5833333333333334,0.8928571428571429,0.76,0.8260869565217391,0.5789473684210527,0.08928571428571429,0.6,0.6,1.0,,,,,,,,,0.017857142857142856,,,,1.0,0.7391304347826086,0.058823529411764705,,,,,,,0.8235294117647058,0.7142857142857143,,,0.058823529411764705,,0.9107142857142857,,0.6823818181818183,0.670125,0.664025,0.08620689655172414,0.08771929824561403,,0.4111111111111111,0.3111111111111111,1.378181818181818,59.3,0.21566523605150215,1.0,1.0,1.0,0.041666666666666664,,,,,,,,,,,,,,True
203095,1610612752,Evan Fournier,Evan Fournier,203095,NYK,15679.0,261,6,532,530,1062,627,28.0,121.0,144.0,78.0,6.0,11.0,1.0,2.0,5.0,5.0,6.0,18.0,3.0,6.0,7.0,18.0,,2.0,1.0,3.0,18.0,51.0,3.0,7.0,1.0,11.0,15.0,35.0,25.0,69.0,9.0,114.0,2.0,4.0,3.0,9.0,,13.0,7.0,9.0,2.0,14.0,6.0,26.0,18.0,12.0,66.0,9.0,4.0,1.0,50.0,18.0,2.0,,10.0,11.0,21.0,5.0,6.0,8.0,2.0,,53.0,3.0,,14.0,10.0,,24.0,3.0,27.0,,10.0,5.0,5.0,8.0,1.0,4.0,3.0,1.0,4.0,,11.0,1.0,2.0,11.0,1.0,1.0,12.0,,3.0,11.0,,,1.0,1.0,3.0,1.0,,,,1.0,1.0,1.0,25.0,120.0,3.0,2.0,0.6,0.6923076923076923,0.88,0.36231884057971014,0.3333333333333333,0.14285714285714285,0.36764705882352944,0.42857142857142855,0.5,0.7777777777777778,0.5048076923076923,0.5,0.43478260869565216,0.5229357798165137,0.5,0.48148148148148145,0.6634615384615384,,0.05714285714285714,0.09090909090909091,0.05555555555555555,,19.32367149758454,0.7272727272727273,,0.08695652173913043,,0.10687022900763359,0.023255813953488372,0.0975609756097561,0.011450381679389313,,,,0.020833333333333332,0.030303030303030304,0.09375,0.06896551724137931,0.12,0.09900990099009901,0.13333333333333333,,1.0,0.10576923076923077,0.5454545454545454,0.6,0.5,0.17307692307692307,0.3333333333333333,0.35294117647058826,0.6666666666666666,0.057692307692307696,0.5,0.5,0.6666666666666666,0.17307692307692307,0.3888888888888889,0.3888888888888889,0.8571428571428571,0.49038461538461536,0.35294117647058826,0.35294117647058826,0.8888888888888888,0.15384615384615385,0.5,,0.15384615384615385,,,0.5384615384615384,0.42857142857142855,1.0,0.21739130434782608,1.0,0.13043478260869565,0.3333333333333333,0.4782608695652174,0.09090909090909091,0.7692307692307693,0.36,0.5211407766990291,0.5113833333333333,0.5374363636363636,0.018867924528301886,0.027777777777777776,0.014285714285714285,0.11403508771929824,0.22807017543859648,8.825714285714287,25.550724637681157,0.2274436090225564,,,,,1.0,,,,,,,,,,,,,True
203944,1610612752,Julius Randle,Julius Randle,203944,NYK,164323.0,2739,167,5508,5487,10995,6433,233.0,1491.0,1533.0,729.0,242.0,357.0,70.0,91.0,84.0,127.0,141.0,296.0,57.0,143.0,32.0,97.0,1.0,8.0,6.0,22.0,186.0,539.0,19.0,56.0,47.0,123.0,440.0,796.0,218.0,636.0,404.0,1938.0,88.0,123.0,20.0,64.0,52.0,288.0,136.0,229.0,53.0,145.0,173.0,604.0,336.0,544.0,492.0,162.0,98.0,2.0,537.0,186.0,55.0,2.0,136.0,180.0,316.0,115.0,65.0,90.0,42.0,4.0,812.0,52.0,86.0,269.0,282.0,76.0,627.0,141.0,768.0,24.0,49.0,26.0,23.0,101.0,26.0,46.0,115.0,20.0,55.0,20.0,216.0,14.0,70.0,87.0,30.0,28.0,379.0,21.0,9.0,533.0,80.0,17.0,243.0,4.0,50.0,19.0,2.0,,16.0,2.0,21.0,10.0,594.0,1469.0,35.0,45.0,0.38181818181818183,0.4296675191815857,0.7522935779816514,0.34276729559748426,0.3125,0.36551724137931035,0.3438485804416404,0.5527638190954773,0.7154471544715447,0.5938864628820961,0.5356145251396648,0.6310160427807486,0.5762032085561497,0.5846480582524272,0.6682242990654206,0.635306553911205,0.4441340782122905,0.0031446540880503146,0.06909547738693467,0.10364145658263306,0.05067567567567568,0.0037105751391465678,29.37746256895193,0.4675925925925926,0.5066666666666667,0.22292490118577074,0.0642270351008215,0.20788253477588872,0.04234527687296417,0.21531848378272764,0.053759252045188936,0.08481262327416174,0.06132075471698113,0.02040816326530612,0.03687150837988827,0.057057057057057055,0.19,0.2198019801980198,0.2923076923076923,0.21480709071949947,0.1880597014925373,0.034482758620689655,0.47619047619047616,0.24930167597765363,0.6778711484593838,0.75625,0.5041322314049587,0.20670391061452514,0.47635135135135137,0.501779359430605,0.19148936170212766,0.09986033519553073,0.3986013986013986,0.40714285714285714,0.3333333333333333,0.06773743016759777,0.32989690721649484,0.32989690721649484,0.78125,0.37639664804469275,0.3450834879406308,0.3463687150837989,0.7473118279569892,0.48663101604278075,0.7692307692307693,0.1,0.0427807486631016,0.125,1.0,0.2994652406417112,0.3392857142857143,0.8947368421052632,0.339572192513369,0.6614173228346457,0.058823529411764705,0.2727272727272727,0.32887700534759357,0.3821138211382114,0.6934357541899442,0.3463687150837989,0.5290508041958043,0.555124031007752,0.5214010752688172,0.15456821026282855,0.2533889468196038,0.006259780907668232,0.14860681114551083,0.31166150670794635,7.2335427135678385,25.473742138364777,0.2706971677559913,3.0,,1.0,0.015625,2.0,1.0,15.0,1.0,1.0,2.0,1.0,3.0,0.02097902097902098,,,,,True
1628392,1610612752,Isaiah Hartenstein,Isaiah Hartenstein,1628392,NYK,49260.0,821,50,1690,1677,3367,1963,104.0,627.0,649.0,232.0,60.0,96.0,32.0,56.0,28.0,42.0,24.0,49.0,1.0,3.0,3.0,10.0,1.0,1.0,1.0,3.0,,3.0,,,,2.0,85.0,148.0,3.0,13.0,20.0,199.0,33.0,59.0,1.0,1.0,11.0,80.0,39.0,61.0,1.0,5.0,15.0,96.0,110.0,60.0,9.0,,52.0,,3.0,,9.0,,17.0,10.0,27.0,9.0,1.0,14.0,2.0,1.0,64.0,32.0,69.0,67.0,67.0,14.0,148.0,105.0,253.0,9.0,29.0,17.0,12.0,14.0,6.0,11.0,18.0,1.0,3.0,4.0,32.0,8.0,6.0,60.0,21.0,6.0,29.0,7.0,1.0,32.0,5.0,,13.0,,6.0,30.0,1.0,1.0,21.0,9.0,31.0,22.0,96.0,623.0,16.0,5.0,0.6470588235294118,0.9322033898305084,1.0,0.23076923076923078,1.0,0.2,0.23076923076923078,0.5743243243243243,0.559322033898305,0.639344262295082,0.5559006211180124,0.575,0.6136363636363636,0.5685714285714286,0.5970149253731343,0.631578947368421,0.08074534161490683,,0.060810810810810814,0.0625,0.061224489795918366,,10.537084398976981,0.4375,0.30434782608695654,0.16791979949874686,0.17164179104477612,0.17357512953367876,0.0855614973262032,0.17070063694267515,0.13015463917525774,0.2111801242236025,0.14893617021276595,0.1320754716981132,0.09285714285714286,0.06382978723404255,0.2064516129032258,0.1858974358974359,0.06818181818181818,0.1702127659574468,0.18269230769230768,0.14516129032258066,0.7096774193548387,0.5962732919254659,0.625,0.6666666666666666,0.5,0.30434782608695654,0.4897959183673469,0.5217391304347826,1.0,0.018633540372670808,0.3333333333333333,0.3333333333333333,1.0,0.062111801242236024,0.3,0.3,1.0,0.018633540372670808,,,,0.9333333333333333,0.5714285714285714,0.125,0.016666666666666666,1.0,1.0,,,,0.6363636363636364,0.6666666666666666,0.045454545454545456,0.3333333333333333,0.030303030303030304,,0.6770186335403726,,0.5650590062111802,0.608163,0.5730287878787877,0.07692307692307693,0.08333333333333333,,0.4020100502512563,0.4824120603015075,3.903378378378377,23.638461538461538,0.37100591715976333,4.0,1.0,1.0,0.06779661016949153,1.0,,,,,,,,,2.0,,,,True
1628404,1610612752,Josh Hart,Josh Hart,1628404,NYK,20716.0,345,90,700,694,1394,793,31.0,313.0,319.0,92.0,18.0,26.0,3.0,4.0,7.0,9.0,1.0,8.0,,1.0,4.0,10.0,,2.0,2.0,6.0,10.0,12.0,,,4.0,4.0,19.0,35.0,14.0,22.0,21.0,101.0,3.0,6.0,,2.0,5.0,11.0,7.0,12.0,6.0,10.0,13.0,45.0,20.0,18.0,42.0,,4.0,,12.0,10.0,4.0,,16.0,16.0,32.0,10.0,6.0,11.0,5.0,,80.0,16.0,5.0,24.0,19.0,1.0,44.0,24.0,68.0,,11.0,7.0,4.0,6.0,3.0,4.0,7.0,2.0,2.0,1.0,13.0,2.0,7.0,12.0,2.0,,21.0,3.0,2.0,29.0,3.0,,10.0,,6.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,42.0,308.0,8.0,4.0,0.5263157894736842,0.5882352941176471,1.0,0.6363636363636364,,0.6,0.6363636363636364,0.5428571428571428,0.5,0.5833333333333334,0.7017543859649122,0.375,0.7272727272727273,0.7214285714285714,0.5,0.75,0.38596491228070173,,0.11428571428571428,0.07692307692307693,0.25,,10.259579728059332,0.46153846153846156,0.041666666666666664,0.12337662337662338,0.03496503496503497,0.16326530612244897,0.10666666666666667,0.14285714285714285,0.07167235494880546,0.01818181818181818,0.057971014492753624,,0.14705882352941177,0.020833333333333332,0.14035087719298245,0.10526315789473684,0.14285714285714285,0.18691588785046728,0.1,,0.5,0.45614035087719296,0.6923076923076923,0.75,0.5,0.14035087719298245,0.125,0.16666666666666666,1.0,0.017543859649122806,,,,0.17543859649122806,0.4,0.4,1.0,0.21052631578947367,0.8333333333333334,0.8333333333333334,1.0,0.5,0.75,,0.25,,,,,,0.4090909090909091,0.7777777777777778,0.2727272727272727,0.3333333333333333,0.18181818181818182,1.0,0.8421052631578947,0.8333333333333334,0.5778473684210527,0.5129400000000001,0.5777886363636364,0.15625,0.23809523809523808,,0.10891089108910891,0.44554455445544555,3.5542857142857143,24.877272727272725,0.4471428571428571,3.0,1.0,,0.1,3.0,,,,,,,,,,,,,True
1628973,1610612752,Jalen Brunson,Jalen Brunson,1628973,NYK,121491.0,2025,57,4079,4044,8123,4848,133.0,1045.0,1072.0,528.0,110.0,189.0,5.0,12.0,31.0,52.0,200.0,407.0,62.0,123.0,32.0,64.0,4.0,5.0,8.0,18.0,81.0,214.0,7.0,12.0,14.0,54.0,372.0,719.0,113.0,278.0,264.0,1347.0,17.0,29.0,11.0,17.0,8.0,75.0,95.0,186.0,22.0,72.0,111.0,367.0,120.0,624.0,198.0,141.0,8.0,,214.0,81.0,39.0,1.0,194.0,157.0,351.0,107.0,50.0,144.0,39.0,11.0,859.0,13.0,18.0,92.0,80.0,1.0,173.0,31.0,204.0,13.0,53.0,41.0,12.0,71.0,16.0,47.0,43.0,4.0,24.0,5.0,114.0,5.0,25.0,60.0,3.0,9.0,327.0,7.0,42.0,320.0,40.0,13.0,130.0,5.0,39.0,11.0,1.0,1.0,7.0,4.0,12.0,3.0,357.0,1028.0,10.0,28.0,0.16129032258064516,0.16304347826086957,0.584070796460177,0.4064748201438849,0.6470588235294118,0.3055555555555556,0.4064748201438849,0.5173852573018081,0.5862068965517241,0.510752688172043,0.5431293881644935,0.7282608695652174,0.49612403100775193,0.5911504424778761,0.7254901960784313,0.5669781931464174,0.27883650952858574,0.0035971223021582736,0.054242002781641166,0.1111111111111111,0.04176904176904177,0.004672897196261682,26.439232409381663,0.6228070175438597,0.009615384615384616,0.0866738894907909,0.01794616151545364,0.09881847475832438,0.014722536806342015,0.09277238403451996,0.016436903499469777,0.016,0.014583333333333334,0.033783783783783786,0.01751592356687898,0.00784313725490196,0.0676056338028169,0.08355795148247978,0.12690355329949238,0.0912981455064194,0.12173913043478261,0.02813852813852814,0.25,0.18956870611835505,0.582010582010582,0.6547619047619048,0.23636363636363636,0.4082246740220662,0.4914004914004914,0.5128205128205128,0.16,0.12337011033099297,0.5040650406504065,0.5081967213114754,0.03225806451612903,0.0641925777331996,0.5,0.5,0.90625,0.21464393179538616,0.37850467289719625,0.38028169014084506,0.4567901234567901,0.2608695652173913,0.4166666666666667,0.2,0.10869565217391304,0.8,1.0,0.2608695652173913,0.5833333333333334,0.8571428571428571,0.20155038759689922,0.5961538461538461,0.06976744186046512,0.4444444444444444,0.20930232558139536,0.25925925925925924,0.4684052156469408,0.37850467289719625,0.49031064257028123,0.5169107142857142,0.4831700389105058,0.12373968835930339,0.16069221260815822,0.01773049645390071,0.0556792873051225,0.27245731254639943,8.378998609179414,25.23597122302158,0.2561902427065457,,,,,1.0,2.0,5.0,,1.0,,,,0.008130081300813009,22.0,2.0,,,True
1629628,1610612752,RJ Barrett,RJ Barrett,1629628,NYK,106892.0,1782,-68,3616,3604,7220,4361,125.0,817.0,891.0,450.0,182.0,288.0,14.0,27.0,36.0,58.0,85.0,214.0,8.0,28.0,30.0,92.0,4.0,10.0,8.0,22.0,58.0,189.0,2.0,21.0,10.0,34.0,275.0,530.0,88.0,281.0,202.0,1016.0,25.0,47.0,6.0,31.0,29.0,97.0,51.0,98.0,18.0,56.0,46.0,202.0,244.0,306.0,246.0,18.0,12.0,,189.0,58.0,55.0,4.0,79.0,60.0,139.0,31.0,29.0,55.0,17.0,7.0,338.0,19.0,23.0,121.0,69.0,24.0,214.0,42.0,256.0,15.0,26.0,19.0,7.0,58.0,17.0,35.0,51.0,6.0,23.0,7.0,109.0,4.0,22.0,57.0,9.0,5.0,183.0,,2.0,265.0,34.0,,137.0,1.0,11.0,11.0,,,8.0,3.0,11.0,6.0,196.0,804.0,11.0,8.0,0.44363636363636366,0.45353159851301117,0.9318181818181818,0.31316725978647686,0.1935483870967742,0.32142857142857145,0.31316725978647686,0.5188679245283019,0.5319148936170213,0.5204081632653061,0.5018495684340321,0.4358974358974359,0.5064935064935064,0.5485961123110151,0.5159574468085106,0.5489130434782609,0.34648581997533906,0.014234875444839857,0.10377358490566038,0.09027777777777778,0.12149532710280374,0.015873015873015872,24.97586872586873,0.5321100917431193,0.25263157894736843,0.08373786407766991,0.02541436464088398,0.142018779342723,0.023989898989898988,0.11336515513126491,0.024749558043606363,0.03508771929824561,0.025,,0.017482517482517484,0.04090909090909091,0.06461538461538462,0.07878787878787878,0.1301775147928994,0.1557632398753894,0.1,0.03937007874015748,0.5454545454545454,0.35511713933415534,0.6319444444444444,0.6946564885496184,0.5054945054945055,0.2638717632552404,0.397196261682243,0.4521276595744681,0.3176470588235294,0.0345252774352651,0.2857142857142857,0.32,0.375,0.11344019728729964,0.32608695652173914,0.32967032967032966,1.0,0.23304562268803947,0.30687830687830686,0.3118279569892473,0.896551724137931,0.34615384615384615,0.5185185185185185,0.35714285714285715,0.1282051282051282,0.4,1.0,0.2692307692307692,0.09523809523809523,1.0,0.37662337662337664,0.6206896551724138,0.14285714285714285,0.36363636363636365,0.22077922077922077,0.29411764705882354,0.7016029593094945,0.30687830687830686,0.5448467324291002,0.5588170212765958,0.5481805194805194,0.15081967213114755,0.21642969984202212,0.0035460992907801418,0.09547244094488189,0.19881889763779528,4.918867924528302,24.773309608540924,0.22594026548672566,,,,,,4.0,9.0,,,,,,0.10714285714285714,,,0.010869565217391304,,True
1629656,1610612752,Quentin Grimes,Quentin Grimes,1629656,NYK,106209.0,1770,135,3539,3542,7081,4138,152.0,891.0,898.0,460.0,87.0,122.0,19.0,24.0,24.0,38.0,5.0,19.0,3.0,6.0,52.0,122.0,5.0,13.0,11.0,26.0,68.0,200.0,11.0,27.0,16.0,52.0,95.0,147.0,120.0,322.0,58.0,608.0,21.0,26.0,16.0,40.0,3.0,93.0,25.0,44.0,27.0,78.0,22.0,153.0,152.0,38.0,357.0,3.0,16.0,,200.0,68.0,16.0,,83.0,37.0,120.0,27.0,10.0,59.0,17.0,7.0,277.0,20.0,17.0,78.0,74.0,1.0,153.0,38.0,191.0,8.0,38.0,17.0,21.0,30.0,1.0,23.0,29.0,4.0,7.0,11.0,59.0,7.0,18.0,79.0,3.0,2.0,60.0,7.0,10.0,73.0,7.0,,30.0,3.0,7.0,21.0,5.0,5.0,13.0,7.0,26.0,14.0,153.0,876.0,15.0,6.0,0.8,0.8735632183908046,0.9916666666666667,0.37267080745341613,0.4,0.34615384615384615,0.37267080745341613,0.6462585034013606,0.8076923076923077,0.5681818181818182,0.5863539445628998,0.6818181818181818,0.5368852459016393,0.6067864271457086,0.6940298507462687,0.5708955223880597,0.6865671641791045,,0.10884353741496598,0.10655737704918032,0.10526315789473684,,13.741396263520157,0.5084745762711864,0.010416666666666666,0.0889423076923077,0.0194954128440367,0.09477521263669501,0.025094102885821833,0.09184290030211481,0.022168963451168363,0.01238390092879257,0.024390243902439025,0.02158273381294964,0.02058319039451115,0.037383177570093455,0.09064327485380116,0.07523510971786834,0.1111111111111111,0.08940397350993377,0.1095890410958904,0.03418803418803419,0.5384615384615384,0.2601279317697228,0.7131147540983607,0.7981651376146789,0.8160919540229885,0.04051172707889126,0.2631578947368421,0.29411764705882354,0.6,0.01279317697228145,0.5,0.6,0.6666666666666666,0.2601279317697228,0.4262295081967213,0.4262295081967213,1.0,0.42643923240938164,0.34,0.34,0.9852941176470589,0.36363636363636365,0.7916666666666666,0.5263157894736842,0.19696969696969696,0.38461538461538464,1.0,0.4090909090909091,0.4074074074074074,1.0,0.3114754098360656,0.631578947368421,0.21311475409836064,0.4230769230769231,0.4262295081967213,0.3076923076923077,0.9466950959488273,0.34,0.5837708333333333,0.5764728571428572,0.5727735537190082,0.06490872210953347,0.17647058823529413,0.006191950464396285,0.15296052631578946,0.25164473684210525,3.0455782312925166,24.785093167701863,0.25176603560327776,1.0,,,0.008849557522123894,,6.0,5.0,,1.0,,1.0,,0.16666666666666666,1.0,1.0,,,True
