EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Fg3aBlocked,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,HeaveAttempts,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,SecondChanceCorner3PctAssisted,FTOffRebounds,Transition Take Fouls,BlockedArc3,BlockedLongMidRange,OffFTReboundPct,Charge Fouls Drawn,Corner3PctBlocked,3SecondViolations,Clear Path Fouls,Transition Take Fouls Drawn,DefensiveGoaltends,on,3pt And 1 Free Throw Trips,OffensiveGoaltends
1626163,1610612737,Frank Kaminsky,Frank Kaminsky,1626163,ATL,6171.0,103,-8.0,208,208,72,66,7.0,416,3.0,4.0,1.0,2.0,4.0,6.0,1.0,7.0,15.0,1.0,4.0,7.0,10.0,7.0,16.0,6.0,41.0,246,2.0,4.0,1.0,4.0,4.0,11.0,14.0,21.0,15.0,7.0,8.0,4.0,12.0,3.0,1.0,4.0,4.0,28.0,10.0,10.0,3.0,23.0,23,2.0,2.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,9.0,12.0,2.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,72,1.0,1.0,1.0,1.0,0.4375,0.25,0.4375,0.7,0.5,0.6730769230769231,0.4375,0.7068965517241379,0.55,0.6153846153846154,15.74074074074074,0.4,0.375,0.2222222222222222,0.21739130434782608,0.21978021978021978,0.29411764705882354,0.10526315789473684,0.3333333333333333,0.20588235294117646,0.25,1.0,0.15384615384615385,0.75,0.75,1.0,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,0.038461538461538464,0.5769230769230769,0.4666666666666667,0.4666666666666667,1.0,0.25,0.5,0.5,0.25,0.7692307692307693,0.4666666666666667,0.5001711538461537,0.48406249999999995,0.07142857142857142,0.16666666666666666,0.2682926829268293,5.1,25.4875,0.34615384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1627749,1610612737,Dejounte Murray,Dejounte Murray,1627749,ATL,43899.0,732,-5.0,1499,1505,189,177,168.0,3004,38.0,63.0,5.0,10.0,51.0,106.0,16.0,29.0,87.0,5.0,11.0,131.0,256.0,37.0,103.0,50.0,423.0,1726,11.0,27.0,7.0,14.0,12.0,55.0,30.0,72.0,87.0,29.0,97.0,56.0,153.0,41.0,15.0,49.0,28.0,362.0,51.0,37.0,3.0,91.0,107,24.0,19.0,37.0,20.0,14.0,17.0,,51.0,2.0,8.0,15.0,32.0,2.0,42.0,59.0,25.0,3.0,5.0,2.0,5.0,2.0,50.0,182,,0.11450381679389313,0.11538461538461539,0.6486486486486487,0.3592233009708738,0.5,0.3592233009708738,0.51171875,0.4074074074074074,0.5194986072423399,0.524390243902439,0.5483028720626631,0.5729166666666666,0.28690807799442897,25.454545454545453,0.7254901960784313,0.09090909090909091,0.10422535211267606,0.16139240506329114,0.13114754098360656,0.08333333333333333,0.09701492537313433,0.16923076923076924,0.1518987341772152,0.189873417721519,0.4,0.17548746518105848,0.6031746031746031,0.7169811320754716,0.23684210526315788,0.29526462395543174,0.4811320754716981,0.504950495049505,0.0784313725490196,0.04456824512534819,0.24233983286908078,0.3333333333333333,0.3372093023255814,0.6206896551724138,0.24390243902439024,0.5,0.2682926829268293,0.45454545454545453,0.4623955431754875,0.3333333333333333,0.49841406685236783,0.5097121951219512,0.06842105263157895,0.09057971014492754,0.13002364066193853,10.25,25.435922330097085,0.12608405603735823,2.0,7.0,42.0,87.0,8.0,1.0,1.0,2.0,3.0,1.0,7.0,8.0,17.0,2.0,8.0,4.0,26.0,232.0,39.0,2.0,16.0,1.0,20.0,9.0,7.0,16.0,2.0,5.0,5.0,3.0,2.0,1.0,5.0,3.0,1.0,3.0,2.0,0.25,0.47058823529411764,0.44,0.5,0.009708737864077669,0.0625,0.15873015873015872,0.04716981132075472,0.011494252873563218,0.011494252873563218,0.01627906976744186,0.03237410071942446,0.022598870056497175,0.01639344262295082,0.015306122448979591,0.017857142857142856,0.028169014084507043,0.046153846153846156,0.011904761904761904,0.24233983286908078,0.4827586206896552,0.4883720930232558,0.047619047619047616,0.5,0.5,0.75,0.28,0.2857142857142857,0.5,0.04,1.0,0.28,0.14285714285714285,1.0,0.07317073170731707,0.6666666666666666,0.5302766666666667,0.009615384615384616,0.061465721040189124,,,,,,,,,,,,,,,,,,,,True,,
1628988,1610612737,Aaron Holiday,Aaron Holiday,1628988,ATL,19892.0,332,45.0,689,700,164,160,71.0,1389,13.0,21.0,2.0,3.0,8.0,28.0,7.0,13.0,24.0,2.0,2.0,25.0,57.0,15.0,31.0,13.0,108.0,774,7.0,10.0,2.0,3.0,4.0,24.0,10.0,42.0,24.0,13.0,24.0,21.0,45.0,17.0,4.0,10.0,12.0,111.0,12.0,12.0,,24.0,35,14.0,7.0,8.0,7.0,4.0,1.0,2.0,12.0,,2.0,17.0,32.0,,20.0,16.0,6.0,2.0,6.0,3.0,6.0,4.0,24.0,164,2.0,0.2,0.21739130434782608,0.9333333333333333,0.4838709677419355,0.6666666666666666,0.4838709677419355,0.43859649122807015,0.7,0.5397727272727273,0.7692307692307693,0.5631578947368421,0.8,0.3522727272727273,13.95045632333768,0.6666666666666666,,0.06818181818181818,0.0821917808219178,0.07453416149068323,0.07792207792207792,0.05333333333333334,0.08333333333333333,0.09734513274336283,0.030303030303030304,0.6666666666666666,0.23863636363636365,0.6190476190476191,0.7222222222222222,0.3076923076923077,0.3181818181818182,0.2857142857142857,0.32,0.125,0.07954545454545454,0.2727272727272727,0.5416666666666666,0.5416666666666666,0.9230769230769231,0.23076923076923078,0.6666666666666666,0.15384615384615385,1.0,0.5909090909090909,0.5416666666666666,0.5095465909090909,0.47066538461538465,0.06451612903225806,0.0967741935483871,0.2222222222222222,7.70701754385965,25.645161290322584,0.23802612481857766,5.0,7.0,4.0,8.0,2.0,,,,1.0,1.0,2.0,5.0,10.0,1.0,2.0,,13.0,40.0,3.0,4.0,6.0,,2.0,6.0,5.0,11.0,3.0,7.0,1.0,,,1.0,1.0,1.0,,3.0,3.0,0.5,0.5,0.5416666666666666,0.5416666666666666,,0.10526315789473684,0.14285714285714285,0.10714285714285714,,,0.02824858757062147,0.047619047619047616,0.036303630363036306,0.03773584905660377,0.03571428571428571,,0.02247191011235955,0.10810810810810811,0.07317073170731707,0.09090909090909091,0.5,0.5,,0.2857142857142857,0.2857142857142857,1.0,0.5833333333333334,0.7142857142857143,0.4,,,0.16666666666666666,0.5,1.0,0.07692307692307693,,0.48456,,0.12037037037037036,1.0,1.0,4.0,,,,,,,,,,,,,,,,,True,,
1630552,1610612737,Jalen Johnson,Jalen Johnson,1630552,ATL,34752.0,579,-24.0,1192,1204,206,204,142.0,2396,51.0,77.0,9.0,13.0,14.0,29.0,23.0,9.0,29.0,,3.0,68.0,116.0,17.0,52.0,26.0,213.0,1397,12.0,18.0,2.0,8.0,1.0,31.0,88.0,51.0,27.0,9.0,35.0,14.0,49.0,9.0,5.0,24.0,7.0,112.0,57.0,64.0,14.0,135.0,166,17.0,13.0,9.0,5.0,17.0,4.0,2.0,26.0,3.0,3.0,35.0,59.0,2.0,30.0,42.0,23.0,1.0,19.0,10.0,20.0,11.0,31.0,204,,0.6470588235294118,0.7586206896551724,1.0,0.3269230769230769,0.25,0.34,0.5862068965517241,0.6666666666666666,0.5565476190476191,0.5769230769230769,0.5725806451612904,0.5740740740740741,0.30952380952380953,15.599705665930832,0.34615384615384615,0.4666666666666667,0.2206896551724138,0.2159090909090909,0.2184115523465704,0.15748031496062992,0.24793388429752067,0.3333333333333333,0.22439024390243903,0.1864406779661017,0.55,0.4583333333333333,0.6623376623376623,0.75,0.6274509803921569,0.17261904761904762,0.4827586206896552,0.5833333333333334,0.7142857142857143,0.13690476190476192,0.17261904761904762,0.3103448275862069,0.3103448275862069,1.0,0.5,0.6923076923076923,0.11538461538461539,,0.7678571428571429,0.3333333333333333,0.5749551204819277,0.5871750000000001,0.12432432432432433,0.17293233082706766,0.14553990610328638,4.6241379310344835,25.459615384615386,0.17281879194630873,11.0,20.0,3.0,10.0,8.0,3.0,3.0,2.0,5.0,,,15.0,28.0,3.0,3.0,,39.0,48.0,,20.0,14.0,,4.0,17.0,14.0,31.0,2.0,4.0,6.0,3.0,2.0,1.0,6.0,,,9.0,4.0,1.0,0.5357142857142857,0.6290322580645161,0.6290322580645161,,0.1206896551724138,0.11688311688311688,0.1724137931034483,,,0.04472843450479233,0.0735930735930736,0.05698529411764706,0.02727272727272727,0.056338028169014086,0.04918032786885246,0.08670520231213873,0.034482758620689655,0.029850746268656716,0.05952380952380952,0.3,0.3,0.6666666666666666,0.34782608695652173,0.34782608695652173,1.0,0.6451612903225806,0.55,0.18181818181818182,0.0967741935483871,1.0,,,,0.19230769230769232,0.4,0.5148088235294117,,0.18309859154929578,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,
1631100,1610612737,AJ Griffin,AJ Griffin,1631100,ATL,82317.0,1372,66.0,2857,2860,657,607,322.0,5717,44.0,67.0,6.0,12.0,78.0,148.0,77.0,69.0,177.0,15.0,39.0,143.0,266.0,100.0,254.0,40.0,626.0,3279,31.0,49.0,23.0,53.0,17.0,148.0,162.0,267.0,176.0,69.0,44.0,27.0,71.0,23.0,4.0,21.0,19.0,169.0,44.0,64.0,6.0,114.0,150,40.0,25.0,25.0,11.0,17.0,14.0,5.0,42.0,4.0,8.0,48.0,87.0,1.0,39.0,44.0,22.0,2.0,11.0,7.0,12.0,6.0,148.0,650,2.0,0.5664335664335665,0.6044776119402985,0.89,0.3937007874015748,0.4339622641509434,0.3952569169960474,0.5375939849624061,0.6326530612244898,0.5634615384615385,0.6421568627450981,0.5796296296296296,0.6727272727272727,0.48846153846153845,17.96850879901204,0.5952380952380952,0.10344827586206896,0.09155937052932761,0.07142857142857142,0.08212927756653993,0.07766990291262135,0.10545454545454545,0.09565217391304348,0.05793991416309013,0.11333333333333333,0.5,0.12884615384615383,0.6567164179104478,0.7586206896551724,0.5,0.2846153846153846,0.527027027027027,0.5652173913043478,0.5512820512820513,0.14807692307692308,0.3403846153846154,0.3898305084745763,0.39204545454545453,0.8405797101449275,0.11764705882352941,0.5,0.38235294117647056,0.38461538461538464,0.6173076923076923,0.39204545454545453,0.5133623314065512,0.5066227722772276,0.040892193308550186,0.07746478873239436,0.2364217252396166,8.990225563909773,25.02440944881889,0.22996149807490374,10.0,16.0,21.0,51.0,31.0,2.0,6.0,8.0,14.0,6.0,18.0,21.0,36.0,8.0,24.0,4.0,70.0,124.0,33.0,18.0,21.0,1.0,4.0,13.0,22.0,36.0,14.0,15.0,6.0,1.0,3.0,,4.0,,,3.0,5.0,0.3333333333333333,0.5833333333333334,0.55,0.5645161290322581,0.003937007874015748,0.07894736842105263,0.13432835820895522,0.06756756756756757,0.0392156862745098,0.005649717514124294,0.029177718832891247,0.023809523809523808,0.026923076923076925,0.029411764705882353,0.030120481927710843,0.02717391304347826,0.022004889975550123,0.029197080291970802,0.055776892430278883,0.09807692307692308,0.4117647058823529,0.42857142857142855,0.7619047619047619,0.4025974025974026,0.4025974025974026,1.0,0.26666666666666666,0.625,0.2,0.1,0.3333333333333333,0.3,0.3333333333333333,0.5,0.13725490196078433,0.5714285714285714,0.5103675675675677,,0.11182108626198083,,1.0,5.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.01694915254237288,,,,,,,True,,
203200,1610612737,Justin Holiday,Justin Holiday,203200,ATL,6561.0,109,-21.0,234,235,71,52,29.0,469,7.0,8.0,5.0,5.0,,1.0,12.0,8.0,18.0,3.0,4.0,8.0,13.0,13.0,30.0,,55.0,262,5.0,5.0,4.0,8.0,,22.0,16.0,33.0,18.0,8.0,2.0,,2.0,,,1.0,,4.0,3.0,2.0,,5.0,6,1.0,1.0,6.0,4.0,2.0,2.0,2.0,8.0,1.0,2.0,2.0,8.0,,1.0,,,,2.0,1.0,2.0,1.0,22.0,71,,1.0,1.0,0.8461538461538461,0.43333333333333335,0.5,0.43333333333333335,0.6153846153846154,1.0,0.6395348837209303,0.8461538461538461,0.6395348837209303,0.8461538461538461,0.6976744186046512,18.88888888888889,0.75,,0.031746031746031744,0.06,0.04424778761061947,0.045454545454545456,,0.0625,0.07317073170731707,,0.5,0.18604651162790697,0.875,1.0,1.0,0.023255813953488372,,,,0.27906976744186046,0.4186046511627907,0.4444444444444444,0.4444444444444444,0.75,0.38461538461538464,1.0,0.3076923076923077,0.75,0.8837209302325582,0.4444444444444444,0.5795069767441862,0.6266730769230768,,,0.4,7.1230769230769235,24.81,0.3034188034188034,1.0,1.0,1.0,4.0,5.0,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,5.0,,6.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,0.5,1.0,0.8333333333333334,0.8333333333333334,,0.07692307692307693,0.125,,,,,0.018867924528301886,0.008695652173913044,,,,0.029411764705882353,,,0.09302325581395349,0.25,0.25,1.0,0.4166666666666667,0.4166666666666667,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,0.3333333333333333,1.0,1.0,0.3076923076923077,0.25,0.6553999999999999,,0.09090909090909091,,2.0,1.0,,,,,,,,,,,,,,,,,True,,
1629631,1610612737,De'Andre Hunter,De'Andre Hunter,1629631,ATL,22566.0,376,-20.0,781,786,196,195,79.0,1567,15.0,28.0,3.0,7.0,17.0,36.0,27.0,13.0,25.0,1.0,3.0,43.0,88.0,17.0,52.0,27.0,164.0,911,7.0,15.0,3.0,13.0,16.0,39.0,38.0,45.0,25.0,13.0,10.0,13.0,23.0,10.0,3.0,6.0,3.0,59.0,27.0,18.0,4.0,49.0,61,5.0,4.0,11.0,4.0,8.0,7.0,3.0,19.0,2.0,5.0,20.0,42.0,4.0,39.0,35.0,12.0,4.0,1.0,1.0,1.0,1.0,39.0,193,4.0,0.4418604651162791,0.4523809523809524,0.8823529411764706,0.3269230769230769,0.23076923076923078,0.3269230769230769,0.48863636363636365,0.4666666666666667,0.48928571428571427,0.4107142857142857,0.5256410256410257,0.527027027027027,0.37142857142857144,20.06880733944954,0.5789473684210527,0.19047619047619047,0.08866995073891626,0.16363636363636364,0.12228260869565218,0.06741573033707865,0.09333333333333334,0.1282051282051282,0.1640625,0.16216216216216217,1.0,0.2,0.5357142857142857,0.7142857142857143,0.5333333333333333,0.2571428571428571,0.4722222222222222,0.53125,0.23529411764705882,0.19285714285714287,0.17857142857142858,0.52,0.52,0.8461538461538461,0.25,0.42857142857142855,0.10714285714285714,0.3333333333333333,0.5714285714285714,0.52,0.5184682142857142,0.5424375,0.08552631578947369,0.12121212121212122,0.23780487804878048,8.8375,24.45384615384615,0.25096030729833546,1.0,5.0,11.0,24.0,4.0,,4.0,2.0,10.0,,1.0,3.0,9.0,,5.0,3.0,9.0,48.0,6.0,2.0,11.0,1.0,1.0,3.0,8.0,12.0,2.0,1.0,,1.0,,3.0,1.0,1.0,1.0,,3.0,,0.3333333333333333,0.21428571428571427,0.28125,0.019230769230769232,0.125,0.25,0.1111111111111111,,,0.038461538461538464,0.02054794520547945,0.031073446327683617,0.017241379310344827,0.07368421052631578,,0.029411764705882353,,0.029850746268656716,0.17142857142857143,0.4583333333333333,0.4583333333333333,0.6363636363636364,0.14814814814814814,0.15384615384615385,1.0,0.35714285714285715,0.2,,0.2857142857142857,,0.07142857142857142,,,0.35714285714285715,0.2,0.5369166666666667,0.018867924528301886,0.054878048780487805,,,8.0,,,,,,1.0,,,,0.058823529411764705,1.0,0.037037037037037035,,,,,True,,
1630168,1610612737,Onyeka Okongwu,Onyeka Okongwu,1630168,ATL,49153.0,819,59.0,1688,1698,316,312,216.0,3386,127.0,173.0,23.0,32.0,24.0,52.0,5.0,,,,,162.0,250.0,2.0,5.0,72.0,402.0,1938,28.0,45.0,1.0,1.0,18.0,77.0,238.0,6.0,,,25.0,24.0,49.0,19.0,5.0,13.0,6.0,122.0,76.0,77.0,6.0,159.0,269,24.0,19.0,13.0,7.0,27.0,6.0,3.0,40.0,4.0,7.0,80.0,117.0,16.0,76.0,88.0,44.0,7.0,53.0,39.0,53.0,34.0,77.0,316,7.0,0.7345679012345679,0.9444444444444444,1.0,0.4,1.0,0.4,0.648,0.6222222222222222,0.6470588235294118,0.6413043478260869,0.6883561643835616,0.6875,0.0196078431372549,17.025641025641026,0.325,0.17142857142857143,0.19592875318066158,0.19487179487179487,0.19540229885057472,0.17553191489361702,0.2413793103448276,0.15,0.18088737201365188,0.23711340206185566,0.6415094339622641,0.6784313725490196,0.7341040462427746,0.8141025641025641,0.6929133858267716,0.20392156862745098,0.46153846153846156,0.4897959183673469,0.875,0.0196078431372549,,,,,0.6956521739130435,0.71875,,,0.6980392156862745,,0.5812572549019609,0.5823673913043477,0.1543859649122807,0.15714285714285714,0.19154228855721392,4.0044,23.3,0.1872037914691943,40.0,61.0,11.0,25.0,2.0,,,1.0,1.0,,,45.0,73.0,,,19.0,109.0,86.0,,72.0,20.0,,6.0,46.0,64.0,110.0,4.0,5.0,2.0,2.0,,10.0,14.0,,,14.0,2.0,,0.6164383561643836,0.6164383561643836,0.6488095238095238,,0.08,0.09826589595375723,0.057692307692307696,,,0.13445378151260504,0.14511041009463724,0.13871374527112232,0.14743589743589744,0.13875598086124402,0.10810810810810811,0.12195121951219512,0.22535211267605634,0.057971014492753624,0.09803921568627451,0.44,0.44,0.9090909090909091,0.4,0.4,1.0,0.8356164383561644,0.6557377049180327,0.075,,,,,,0.021739130434782608,1.0,0.573673076923077,,0.27114427860696516,1.0,10.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,True,,
1630235,1610612737,Trent Forrest,Trent Forrest,1630235,ATL,8997.0,150,-35.0,307,314,81,79,35.0,621,5.0,13.0,2.0,2.0,9.0,17.0,,,,,,14.0,30.0,,,2.0,30.0,382,2.0,5.0,,,,4.0,8.0,,,,10.0,10.0,20.0,8.0,2.0,5.0,2.0,50.0,6.0,9.0,,15.0,19,2.0,2.0,7.0,6.0,2.0,1.0,,9.0,1.0,,8.0,9.0,,5.0,3.0,2.0,,2.0,2.0,2.0,1.0,4.0,81,,0.2857142857142857,0.3076923076923077,,,,,0.4666666666666667,0.4,0.4666666666666667,0.4,0.4838709677419355,0.4,,11.494252873563218,0.7777777777777778,,0.1323529411764706,0.09230769230769231,0.11278195488721804,0.2,0.037037037037037035,0.1875,0.05555555555555555,0.2727272727272727,0.5,0.43333333333333335,0.38461538461538464,0.45454545454545453,0.4,0.5666666666666667,0.5294117647058824,0.6428571428571429,0.2222222222222222,,,,,,0.4,1.0,,,0.43333333333333335,,0.5102233333333334,0.43474,0.06451612903225806,0.06451612903225806,0.13333333333333333,5.196666666666666,,0.26384364820846906,1.0,2.0,,,,,,,,,,2.0,4.0,,,,4.0,20.0,,2.0,5.0,,3.0,3.0,1.0,4.0,1.0,,2.0,,,,1.0,,,,,,0.5,0.5,0.5,,0.16666666666666666,0.15384615384615385,0.17647058823529413,,,0.013157894736842105,0.05084745762711865,0.02962962962962963,0.034482758620689655,,,0.020833333333333332,0.18181818181818182,0.09090909090909091,,,,,,,,0.5,0.5,,,,,,,,,0.5134333333333334,,0.13333333333333333,,,,,,,,,,,,,,1.0,,,,,,True,,
203992,1610612737,Bogdan Bogdanovic,Bogdan Bogdanovic,203992,ATL,36293.0,605,85.0,1247,1238,243,224,153.0,2485,17.0,34.0,2.0,8.0,23.0,48.0,26.0,52.0,123.0,7.0,23.0,52.0,116.0,63.0,149.0,28.0,321.0,1422,9.0,22.0,9.0,29.0,2.0,47.0,48.0,150.0,123.0,52.0,46.0,19.0,65.0,8.0,11.0,29.0,14.0,149.0,28.0,29.0,4.0,61.0,72,22.0,13.0,14.0,8.0,8.0,6.0,2.0,22.0,1.0,1.0,19.0,35.0,1.0,27.0,33.0,12.0,1.0,4.0,2.0,7.0,4.0,47.0,241,1.0,0.46153846153846156,0.48,0.7936507936507936,0.4228187919463087,0.3103448275862069,0.4228187919463087,0.4482758620689655,0.4090909090909091,0.5528301886792453,0.4411764705882353,0.568100358422939,0.4519230769230769,0.5622641509433962,21.06368089573128,0.6363636363636364,0.16666666666666666,0.09477124183006536,0.1,0.09726962457337884,0.10067114093959731,0.09433962264150944,0.0784313725490196,0.125,0.0375,0.5714285714285714,0.12830188679245283,0.5,0.53125,0.5294117647058824,0.1811320754716981,0.4791666666666667,0.5,0.2608695652173913,0.09811320754716982,0.4641509433962264,0.42276422764227645,0.4262295081967213,0.8076923076923077,0.1568627450980392,0.25,0.45098039215686275,0.30434782608695654,0.690566037735849,0.42276422764227645,0.5071815094339622,0.4988049019607844,0.046762589928057555,0.09375,0.14641744548286603,10.00689655172414,25.42953020134228,0.19486768243785085,3.0,5.0,12.0,34.0,11.0,2.0,3.0,2.0,6.0,2.0,14.0,5.0,10.0,4.0,17.0,4.0,26.0,56.0,39.0,4.0,4.0,1.0,3.0,3.0,8.0,11.0,3.0,9.0,2.0,2.0,1.0,,,4.0,1.0,2.0,3.0,0.23529411764705882,0.5,0.4074074074074074,0.4482758620689655,0.006711409395973154,0.034482758620689655,0.058823529411764705,0.041666666666666664,,0.008130081300813009,0.02373887240356083,0.012658227848101266,0.01916376306620209,0.02702702702702703,0.020833333333333332,0.024390243902439025,0.017045454545454544,,0.02112676056338028,0.12830188679245283,0.35294117647058826,0.35294117647058826,0.75,0.4230769230769231,0.4230769230769231,0.7272727272727273,0.18518518518518517,0.6,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.5185185185185185,0.14285714285714285,1.0,0.11764705882352941,0.3333333333333333,0.5021684210526317,0.006666666666666667,0.08099688473520249,,1.0,,,3.0,3.0,1.0,0.5,,2.0,,,,1.0,,,,,,True,,
