EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,PenaltyFtPoints,ThreePtAssists,Corner3Assists,DefThreePtRebounds,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFouls,Blocked2s,BlockedCorner3,BlockedShortMidRange,Arc3PctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,OffRebounds,SelfOReb,Travels,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,BadPassTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangeAssists,Offensive Fouls Drawn,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,HeaveAttempts,Fg2aBlocked,Fg3aBlocked,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,Charge Fouls Drawn,BlockedLongMidRange,DefensiveGoaltends,LongMidRangePctBlocked,OffLongMidRangeReboundPct,OffensiveGoaltends,HeaveMakes,Defensive 3 Seconds Violations,Transition Take Fouls Drawn
1627759,1610612738,Jaylen Brown,Jaylen Brown,1627759,BOS,844.0,14,17,28,28,14.0,7.0,56,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,4.0,3.0,6.0,5.0,20.0,26,1.0,2.0,2.0,3.0,8.0,4.0,2.0,3.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,8.0,14.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.5,0.75,0.5,0.75,0.8,0.7692307692307693,0.8,0.6,49.99999999999999,0.2222222222222222,0.125,0.3333333333333333,0.5,1.0,0.3,1.0,1.0,0.6666666666666666,0.1,0.1,1.0,1.0,1.0,0.5,0.4,0.4,0.2,1.0,0.2,1.0,0.4,0.5,0.9,0.4,0.54284,0.5170899999999999,0.3076923076923077,0.5714285714285714,0.4,6.7250000000000005,25.433333333333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628369,1610612738,Jayson Tatum,Jayson Tatum,1628369,BOS,890.0,15,5,30,28,18.0,16.0,58,1.0,1.0,,,3.0,,,,,,2.0,,1.0,7.0,8.0,,2.0,2.0,16.0,34,5.0,6.0,,1.0,11.0,2.0,12.0,,,2.0,,,1.0,,3.0,1.0,5.0,5.0,,,,1.0,2.0,,4.0,4.0,2.0,3.0,,,,,11.0,18.0,0.14285714285714285,0.14285714285714285,,,,,0.875,0.8333333333333334,0.7,0.7142857142857143,0.7272727272727273,0.6875,0.2,40.0,0.125,0.2857142857142857,,,,0.1,1.0,1.0,,0.3,,,,,0.2,,,,,,,0.14285714285714285,,0.3,,0.47975499999999993,0.43408571428571424,0.2727272727272727,0.3333333333333333,0.6875,11.0875,27.9,0.6,3.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.5,0.4,0.75,0.75,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628401,1610612738,Derrick White,Derrick White,1628401,BOS,720.0,12,16,23,24,9.0,3.0,47,,,,,,,1.0,,,1.0,1.0,,,,,1.0,2.0,1.0,4.0,23,,,,,,,,3.0,,1.0,1.0,1.0,2.0,1.0,5.0,,,,,,,,1.0,,1.0,2.0,,1.0,1.0,,2.0,2.0,,9.0,,,1.0,0.5,,0.5,,,0.75,,0.6666666666666666,,1.0,13.043478260869565,,,,,1.0,,,,,,0.5,,,,0.5,1.0,1.0,,,,,,,1.0,1.0,0.5553,,0.3333333333333333,1.0,,,25.15,0.391304347826087,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629052,1610612738,Oshae Brissett,Oshae Brissett,1629052,BOS,3306.0,55,10,107,107,45.0,37.0,214,3.0,5.0,1.0,1.0,,,,,,2.0,2.0,2.0,2.0,4.0,9.0,2.0,2.0,2.0,16.0,104,1.0,2.0,2.0,2.0,8.0,4.0,4.0,6.0,,2.0,2.0,,,,,5.0,11.0,14.0,3.0,3.0,1.0,1.0,2.0,,3.0,4.0,,2.0,,,2.0,1.0,8.0,45.0,0.5,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.5,0.6363636363636364,1.0,0.6153846153846154,1.0,0.18181818181818182,12.173913043478262,0.17857142857142858,0.2037037037037037,0.14285714285714285,,0.5,0.45454545454545453,0.6,0.6,0.6666666666666666,,,,,,0.18181818181818182,1.0,1.0,0.25,1.0,,,0.5,1.0,0.6363636363636364,1.0,0.5278318181818182,0.5333875,0.15384615384615385,0.18181818181818182,0.5,3.1555555555555554,25.9,0.4205607476635514,1.0,4.0,,,,,6.0,,,,,,,,0.23076923076923078,0.25,0.25,0.16666666666666666,0.36363636363636365,0.25,0.25,,,,2.0,2.0,,1.0,1.0,6.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.15789473684210525,0.06818181818181818,0.25,0.14285714285714285,0.4,0.6666666666666666,0.5,0.5609666666666667,0.25,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630202,1610612738,Payton Pritchard,Payton Pritchard,1630202,BOS,2484.0,41,-2,80,79,35.0,34.0,159,5.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,,1.0,7.0,12.0,3.0,8.0,2.0,25.0,84,3.0,3.0,1.0,2.0,11.0,,14.0,3.0,6.0,7.0,2.0,4.0,7.0,2.0,17.0,1.0,3.0,3.0,,,1.0,2.0,1.0,,1.0,2.0,,,,,,,11.0,35.0,,,0.3333333333333333,0.375,0.5,0.375,0.5833333333333334,1.0,0.575,0.9,0.5952380952380952,0.9166666666666666,0.4,26.136363636363637,0.05263157894736842,0.07894736842105263,,,,0.25,1.0,1.0,,0.05,0.05,1.0,1.0,1.0,0.35,0.2857142857142857,0.2857142857142857,0.6,1.0,0.2,1.0,0.2,,0.65,0.2857142857142857,0.50929,0.65663,,,0.44,7.95,26.075,0.4375,2.0,6.0,,2.0,3.0,1.0,2.0,,1.0,,1.0,,0.5,,0.10526315789473684,0.09090909090909091,0.06666666666666667,0.25,0.3,0.3333333333333333,0.3333333333333333,,,,,,,,,6.0,1.0,1.0,1.0,2.0,2.0,,,,,,,0.5,0.5,0.5,,,,,,0.5,1.0,0.6204,0.08,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630214,1610612738,Xavier Tillman,Xavier Tillman,1630214,BOS,693.0,12,5,20,20,8.0,6.0,40,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,8.0,,,,,,,,,,,,,,,0.25,0.1111111111111111,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,0.5,,,,,,,,,1.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201143,1610612738,Al Horford,Al Horford,201143,BOS,252.0,4,9,9,9,,,18,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201950,1610612738,Jrue Holiday,Jrue Holiday,201950,BOS,671.0,11,-2,24,23,9.0,13.0,47,,,,,,,,,,,,,,,1.0,,,2.0,2.0,23,,,,,,,,,,,,1.0,2.0,1.0,5.0,1.0,2.0,2.0,,,,,1.0,,1.0,2.0,,1.0,,,,,,9.0,,,,,,,,,,,0.5,,,8.333333333333334,0.125,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,0.4275,,0.5,0.5,,7.4,,0.375,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,0.2,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630573,1610612738,Sam Hauser,Sam Hauser,1630573,BOS,1520.0,25,-3,48,49,18.0,28.0,97,,,,,1.0,,1.0,,1.0,3.0,8.0,,2.0,1.0,2.0,3.0,9.0,,11.0,51,1.0,2.0,,3.0,2.0,2.0,,6.0,3.0,8.0,3.0,1.0,1.0,,2.0,2.0,3.0,4.0,,,,,2.0,,1.0,,,,,,,,2.0,18.0,1.0,1.0,0.6666666666666666,0.3333333333333333,,0.3333333333333333,0.5,0.5,0.5,0.2,0.5,0.2,0.8181818181818182,21.153846153846153,0.14285714285714285,0.13043478260869565,0.3333333333333333,0.5,,,,,,0.09090909090909091,0.09090909090909091,,,,0.7272727272727273,0.375,0.375,,,0.2,,0.4,,0.8181818181818182,0.375,0.4929227272727273,0.46819999999999995,,,0.18181818181818182,14.15,26.066666666666666,0.375,,1.0,1.0,,,,1.0,,,,,,,,0.1111111111111111,,0.125,,0.09090909090909091,,,1.0,1.0,1.0,,,,,0.6666666666666666,3.0,,,,,,,1.0,1.0,,,,,,,0.125,0.045454545454545456,,0.16666666666666666,,,,,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629004,1610612738,Svi Mykhailiuk,Svi Mykhailiuk,1629004,BOS,1639.0,27,-11,51,52,20.0,21.0,103,,1.0,,,,1.0,1.0,1.0,1.0,1.0,8.0,,1.0,1.0,3.0,2.0,9.0,,8.0,55,1.0,1.0,1.0,2.0,5.0,2.0,,6.0,,8.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,5.0,20.0,1.0,1.0,1.0,0.2222222222222222,0.5,0.2222222222222222,0.3333333333333333,1.0,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.75,24.56140350877193,0.09090909090909091,0.16666666666666666,0.25,,,0.08333333333333333,,,,,0.08333333333333333,1.0,1.0,1.0,0.6666666666666666,0.125,0.125,,,0.3333333333333333,1.0,0.3333333333333333,,0.8333333333333334,0.125,0.5229750000000001,0.5014500000000001,,,0.625,5.3999999999999995,25.866666666666667,0.39215686274509803,1.0,2.0,,,,,3.0,,,,1.0,,,,0.23076923076923078,,0.2727272727272727,,0.16666666666666666,0.5,0.5,,,,1.0,,,,1.0,4.0,,,,,,,,1.0,1.0,,,,,,,0.04,,,0.1111111111111111,,,,,,,1.0,,,,,,,1.0,0.07142857142857142,0.07142857142857142,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
