EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,Offensive Fouls Drawn,PenaltyOffPossExcludingTakeFouls,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGA,Corner3FGA,FG2A,FG3A,SecondChanceFG2A,DefTwoPtRebounds,ShootingFouls,Fouls,FG3APct,Usage,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG3M,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffThreePtRebounds,OffRebounds,Steals,BadPassSteals,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PtsAssisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,OffTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Loose Ball Fouls,Offensive Fouls,LiveBallTurnoverPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,Travels,PenaltyTurnovers,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,NonShootingPenaltyNonTakeFouls,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShortMidRangeAssists,FTDefRebounds,DefFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,SecondChanceFtPoints,PtsPutbacks,HeaveAttempts,Fg3aBlocked,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,Transition Take Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SelfORebPct,BlocksRecoveredPct,SecondChanceArc3FGM,FTOffRebounds,Charge Fouls Drawn,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangeAssists,StepOutOfBoundsTurnovers,Charge Fouls,Transition Take Fouls,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Technical Free Throw Trips,LongMidRangePctAssisted,LongMidRangePctBlocked
1627884,1610612742,Derrick Jones Jr.,Derrick Jones Jr.,1627884,DAL,386.0,6,3.0,14,15,11.0,3.0,29,12,1.0,1.0,1.0,1.0,1.0,11.0,0.25,0.14285714285714285,0.5,0.7857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629023,1610612742,P.J. Washington,P.J. Washington,1629023,DAL,582.0,10,-7.0,19,21,9.0,7.0,40,20,1.0,2.0,2.0,,,9.0,0.2,0.25,,0.47368421052631576,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,14.285714285714286,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5594666666666667,11.4,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629029,1610612742,Luka Doncic,Luka Doncic,1629029,DAL,674.0,11,-4.0,23,24,12.0,7.0,47,22,1.0,2.0,3.0,2.0,,12.0,0.16666666666666666,0.2222222222222222,0.25,0.5217391304347826,2.0,2.0,,3.0,3.0,,1.0,,1.0,0.5,32.0,0.3333333333333333,0.5,,0.3333333333333333,,0.5,0.4866916666666667,12.833333333333334,26.933333333333337,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4166666666666667,0.5,0.5,0.625,0.16666666666666666,0.08333333333333333,0.5,0.5,0.5,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.4841,0.14285714285714285,0.25,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630702,1610612742,Jaden Hardy,Jaden Hardy,1630702,DAL,2202.0,37,3.0,69,73,42.0,30.0,142,73,2.0,4.0,4.0,6.0,,42.0,0.09090909090909091,0.10256410256410256,0.1,0.6086956521739131,6.0,5.0,,16.0,9.0,1.0,2.0,1.0,2.0,0.36,40.0,0.11764705882352941,,,0.2,,0.68,0.5275900000000001,7.0625,25.58888888888889,3.0,3.0,3.0,9.0,6.0,8.0,3.0,7.0,32.0,3.0,10.0,6.0,4.0,13.0,12.0,,9.0,3.0,,,1.0,1.0,10.0,4.0,1.0,13.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3,0.5,0.28125,0.5333333333333333,0.34210526315789475,,,,0.6,0.75,0.12,0.36,0.3333333333333333,0.3333333333333333,0.375,0.3333333333333333,0.532809375,0.13793103448275862,0.2,0.40625,4.0,8.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,9.0,2.0,1.0,5.0,6.0,3.0,2.0,1.0,17.0,0.25,0.25,1.0,0.16666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.125,0.125,0.2,0.4,0.32,0.5,0.5714285714285714,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.25,0.25,0.16666666666666666,0.47595,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203939,1610612742,Dwight Powell,Dwight Powell,203939,DAL,2666.0,44,,84,90,47.0,34.0,174,87,3.0,9.0,12.0,3.0,,47.0,0.12,0.20454545454545456,0.08695652173913043,0.5595238095238095,8.0,,,3.0,,1.0,6.0,5.0,9.0,,9.782608695652174,0.3157894736842105,0.2,0.5,,,1.0,0.6609666666666666,2.1333333333333333,,,,,,,1.0,,4.0,6.0,,1.0,,4.0,4.0,,,,,,3.0,1.0,1.0,6.0,2.0,1.0,4.0,1.0,,,0.3333333333333333,,0.3333333333333333,,0.5,0.6666666666666666,,0.07894736842105263,,,,,,,,,,0.7495,0.4,0.4,0.6666666666666666,1.0,3.0,,1.0,,1.0,,,,,,,,2.0,,,1.0,2.0,3.0,2.0,,1.0,8.0,1.0,1.0,,,,,,,,,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,1.0,,,,1.0,,,,,3.0,1.0,1.0,2.0,3.0,1.0,2.0,0.3333333333333333,0.15789473684210525,0.125,0.2,0.16666666666666666,0.75,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202681,1610612742,Kyrie Irving,Kyrie Irving,202681,DAL,466.0,8,-5.0,15,18,5.0,5.0,33,16,1.0,1.0,1.0,,,5.0,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,2.0,3.0,,3.0,1.0,,,,,0.25,29.41176470588235,,,,0.75,,0.25,0.493975,10.066666666666668,26.5,2.0,,,1.0,,2.0,,,4.0,1.0,1.0,,,2.0,4.0,,1.0,,,,1.0,1.0,,,,2.0,,,,0.6666666666666666,1.0,0.5,1.0,0.5,1.0,,,,0.6666666666666666,0.6666666666666666,,0.25,,,,,0.4533,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630182,1610612742,Josh Green,Josh Green,1630182,DAL,1792.0,30,-15.0,56,59,36.0,26.0,115,65,1.0,2.0,4.0,,,36.0,0.08333333333333333,0.09523809523809523,0.08333333333333333,0.6428571428571429,8.0,,1.0,1.0,1.0,,1.0,,1.0,0.5,3.125,0.1111111111111111,,,,0.5,1.0,0.57895,3.1,24.1,,,,,,,1.0,,3.0,,1.0,1.0,,3.0,,,,,1.0,2.0,,,,,,3.0,,1.0,1.0,,,0.75,0.75,0.75,0.75,0.07142857142857142,0.06896551724137931,,,,,,,,,,0.57895,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,3.0,,,2.0,2.0,1.0,1.0,,6.0,,,1.0,1.0,,,,,,,0.25,0.5,,,,,,,,,,,,0.5,,,,,1.0,,,,,,,,0.06666666666666667,,,0.2,,,,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628467,1610612742,Maxi Kleber,Maxi Kleber,1628467,DAL,89.0,1,-3.0,2,3,2.0,,5,3,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203957,1610612742,Dante Exum,Dante Exum,203957,DAL,1809.0,30,1.0,58,60,35.0,25.0,118,60,4.0,5.0,5.0,,,35.0,0.23529411764705882,0.125,0.23529411764705882,0.603448275862069,6.0,2.0,,5.0,4.0,,,,1.0,0.4444444444444444,15.625,,,,0.2222222222222222,,0.5555555555555556,0.5050666666666667,11.04,25.55,2.0,2.0,2.0,4.0,2.0,2.0,2.0,,10.0,1.0,4.0,2.0,,5.0,4.0,,4.0,2.0,,,,,,,,5.0,,0.5,0.5,0.4,0.25,0.5555555555555556,0.4166666666666667,0.5555555555555556,0.4166666666666667,,,,1.0,1.0,0.2222222222222222,0.4444444444444444,0.5,0.5,0.3333333333333333,0.5,0.5247833333333333,,,0.5,,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,6.0,1.0,2.0,2.0,4.0,2.0,,1.0,10.0,,,1.0,0.5,,,,0.2,1.0,,,0.1111111111111111,,,,,,,1.0,,,,1.0,0.16666666666666666,,0.5,0.51735,,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,0.5,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630639,1610612742,A.J. Lawson,A.J. Lawson,1630639,DAL,1366.0,23,-7.0,41,45,27.0,20.0,86,48,2.0,2.0,3.0,1.0,,27.0,0.15384615384615385,0.09523809523809523,0.15384615384615385,0.6585365853658537,5.0,,4.0,1.0,6.0,,,,1.0,0.8571428571428571,17.391304347826086,,,,,0.5714285714285714,1.0,0.594057142857143,,24.583333333333332,,,,2.0,2.0,1.0,2.0,1.0,9.0,1.0,1.0,5.0,,8.0,,,2.0,,1.0,1.0,,,2.0,1.0,,8.0,,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5714285714285714,0.6666666666666666,0.5625,0.6666666666666666,0.1,0.05263157894736842,,,,,0.2857142857142857,,,0.3333333333333333,,0.5915666666666667,0.125,0.5,0.8888888888888888,1.0,1.0,,,1.0,1.0,,1.0,,,2.0,3.0,2.0,2.0,6.0,,,,,,,,,1.0,1.0,1.0,0.4,,0.75,0.75,,,,,0.14285714285714285,1.0,1.0,1.0,,,,,,,,0.5,0.16666666666666666,1.0,,0.5076,0.3333333333333333,,,,,,,,,,,,,,,,2.0,2.0,3.0,,0.125,0.5,0.5,1.0,0.5,0.6666666666666666,,,,1.0,1.0,1.0,0.5,0.5,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
