EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGM,FTOffRebounds,Offensive Fouls,Charge Fouls Drawn,Defensive 3 Seconds Violations,OffFTReboundPct,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,LongMidRangeAssists,StepOutOfBoundsTurnovers,Charge Fouls,Transition Take Fouls,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,3pt And 1 Free Throw Trips,Technical Free Throw Trips,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,on,LongMidRangePctBlocked
1627884,1610612742,Derrick Jones Jr.,Derrick Jones Jr.,1627884,DAL,38799.0,647,43.0,1229,1239,276.0,255,154.0,2468,45.0,68.0,7.0,15.0,9.0,14.0,8.0,26.0,1.0,18.0,41.0,1.0,4.0,6.0,6.0,24.0,2.0,2.0,53.0,95,24.0,65.0,22.0,200.0,1374,9.0,19.0,3.0,2.0,20.0,11.0,18.0,4.0,8.0,8.0,42.0,86.0,20.0,72.0,10.0,1.0,23.0,6.0,13.0,2.0,13.0,14.0,27.0,11.0,3.0,9.0,4.0,68.0,17.0,16.0,19.0,23.0,1.0,43.0,33.0,76,8.0,11.0,7.0,4.0,12.0,3.0,7.0,6.0,2.0,5.0,1.0,18.0,4.0,4.0,28.0,54.0,3.0,30.0,1.0,6.0,1.0,30.0,4.0,14.0,3.0,16.0,5.0,4.0,7.0,1.0,1.0,8.0,21.0,10.0,42.0,272.0,4.0,3.0,0.8113207547169812,0.8958333333333334,1.0,0.36923076923076925,0.5,0.375,0.5578947368421052,0.47368421052631576,0.6111111111111112,0.55625,0.4090909090909091,0.6538461538461539,0.5780346820809249,0.43478260869565216,0.6774193548387096,0.40625,0.03076923076923077,0.1368421052631579,0.1323529411764706,0.15384615384615385,0.024390243902439025,0.041666666666666664,13.555713271823988,0.6666666666666666,0.043478260869565216,0.0701219512195122,0.053691275167785234,0.06229508196721312,0.06296296296296296,0.06635071090047394,0.058098591549295774,0.08045977011494253,0.04790419161676647,0.022727272727272728,0.04040404040404041,0.125,0.08,0.06666666666666667,0.06349206349206349,0.05970149253731343,0.0673076923076923,0.11764705882352941,0.47619047619047616,0.425,0.6617647058823529,0.7627118644067796,0.8,0.1625,0.3076923076923077,0.36363636363636365,0.875,0.00625,0.25625,0.43902439024390244,0.45,1.0,0.15,0.25,0.2608695652173913,1.0,0.6818181818181818,0.4666666666666667,0.2857142857142857,0.045454545454545456,0.09090909090909091,0.5384615384615384,0.6428571428571429,0.23076923076923078,0.6666666666666666,0.07692307692307693,0.83125,0.2608695652173913,0.5929594339622641,0.5644552631578947,0.632016,0.08235294117647059,0.13333333333333333,0.1,0.21,3.3147368421052628,24.61230769230769,0.22457282343368593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1628467,1610612742,Maxi Kleber,Maxi Kleber,1628467,DAL,5948.0,99,26.0,181,191,78.0,68,25.0,372,2.0,3.0,,,,,,,1.0,2.0,3.0,,2.0,3.0,3.0,5.0,,2.0,2.0,4,5.0,8.0,,19.0,201,,,,,,,,4.0,5.0,,12.0,4.0,,15.0,,,5.0,3.0,1.0,,3.0,2.0,5.0,,2.0,2.0,1.0,12.0,,,5.0,5.0,,10.0,1.0,11,,1.0,1.0,,1.0,,,2.0,,1.0,,3.0,,1.0,5.0,10.0,,4.0,,,,,,,,3.0,,,1.0,,,2.0,3.0,2.0,12.0,76.0,,,1.0,1.0,1.0,0.625,0.8,0.625,0.5,,,0.7916666666666666,,1.2,0.7916666666666666,,1.2,0.6666666666666666,,0.25,0.3333333333333333,,,,7.211538461538462,0.3333333333333333,,0.09090909090909091,,0.125,,0.10526315789473684,,,,,,,0.14285714285714285,0.038461538461538464,0.125,0.15625,,,0.6666666666666666,0.25,0.6666666666666666,1.0,1.0,,,,,0.08333333333333333,0.25,0.6666666666666666,0.6666666666666666,1.0,0.4166666666666667,0.6,0.6,1.0,,,,,,,,0.6,0.6666666666666666,0.4,0.9166666666666666,0.6,0.54765,,0.5487299999999999,,,,0.631578947368421,7.6499999999999995,25.287499999999998,0.430939226519337,2.0,1.0,2.0,2.0,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,True,
1629023,1610612742,P.J. Washington,P.J. Washington,1629023,DAL,29453.0,491,24.0,933,942,185.0,138,120.0,1875,21.0,34.0,6.0,10.0,2.0,4.0,10.0,26.0,,18.0,42.0,3.0,3.0,7.0,12.0,38.0,2.0,7.0,31.0,60,30.0,80.0,27.0,179.0,1055,7.0,13.0,5.0,2.0,25.0,3.0,7.0,5.0,14.0,8.0,29.0,42.0,20.0,87.0,8.0,1.0,37.0,12.0,6.0,3.0,15.0,6.0,21.0,3.0,3.0,10.0,4.0,48.0,6.0,11.0,30.0,38.0,3.0,71.0,18.0,89,4.0,10.0,6.0,4.0,9.0,1.0,6.0,7.0,1.0,3.0,2.0,16.0,,4.0,25.0,47.0,1.0,26.0,3.0,,,36.0,3.0,15.0,3.0,8.0,1.0,1.0,4.0,,,4.0,9.0,7.0,28.0,181.0,,2.0,0.6774193548387096,0.7777777777777778,0.9666666666666667,0.375,0.35714285714285715,0.379746835443038,0.5166666666666667,0.5384615384615384,0.42857142857142855,0.5428571428571428,0.6388888888888888,0.5,0.5737179487179487,0.625,0.58,0.5714285714285714,0.0375,0.1,0.08823529411764706,0.11538461538461539,0.047619047619047616,0.02631578947368421,16.0,0.5625,0.1875,0.1557377049180328,0.04680851063829787,0.12605042016806722,0.0297029702970297,0.14107883817427386,0.038901601830663615,0.08571428571428572,0.03759398496240601,,0.02,0.057692307692307696,0.1232876712328767,0.18253968253968253,0.13333333333333333,0.125,0.12790697674418605,0.058823529411764705,0.7777777777777778,0.24285714285714285,0.6176470588235294,0.6774193548387096,0.6190476190476191,0.18571428571428572,0.38461538461538464,0.43478260869565216,0.8,,0.3,0.42857142857142855,0.45,1.0,0.2714285714285714,0.3157894736842105,0.32432432432432434,0.9166666666666666,0.5555555555555556,0.6,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.19047619047619047,0.5,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.8142857142857143,0.32432432432432434,0.5603748201438848,0.5550153846153847,0.526335,0.10457516339869281,0.20833333333333334,0.13966480446927373,0.16201117318435754,4.4399999999999995,24.8675,0.1982851018220793,2.0,1.0,,,,0.029411764705882353,0.2857142857142857,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6666666666666666,1.0,0.5,1.0,0.012345679012345678,,,,,,,True,
1629029,1610612742,Luka Doncic,Luka Doncic,1629029,DAL,36295.0,605,58.0,1156,1147,250.0,207,147.0,2303,31.0,32.0,1.0,1.0,7.0,8.0,43.0,101.0,54.0,,5.0,2.0,,1.0,40.0,136.0,13.0,37.0,99.0,187,40.0,141.0,78.0,396.0,1262,6.0,15.0,15.0,3.0,27.0,15.0,34.0,8.0,38.0,21.0,75.0,28.0,170.0,27.0,2.0,,136.0,40.0,4.0,4.0,94.0,34.0,128.0,12.0,22.0,77.0,15.0,290.0,4.0,8.0,75.0,68.0,2.0,145.0,13.0,158,5.0,25.0,16.0,9.0,43.0,6.0,23.0,16.0,1.0,20.0,5.0,59.0,2.0,11.0,14.0,39.0,,94.0,4.0,3.0,1.0,106.0,9.0,43.0,9.0,4.0,2.0,,4.0,2.0,,,6.0,3.0,75.0,246.0,2.0,9.0,0.1414141414141414,0.14285714285714285,0.225,0.28368794326241137,0.21052631578947367,0.28368794326241137,0.5294117647058824,0.4,0.4411764705882353,0.4847560975609756,0.4,0.375,0.5294117647058824,0.4090909090909091,0.4411764705882353,0.4298780487804878,0.028368794326241134,0.0213903743315508,,0.039603960396039604,,0.029411764705882353,32.629992464204975,0.7288135593220338,0.09523809523809523,0.2251655629139073,0.02888086642599278,0.25510204081632654,0.015209125475285171,0.23993288590604026,0.022222222222222223,0.012658227848101266,0.038461538461538464,0.023809523809523808,0.015706806282722512,0.013888888888888888,0.1276595744680851,0.24836601307189543,0.32727272727272727,0.25,0.2647058823529412,0.028409090909090908,0.5,0.0975609756097561,0.96875,0.96875,0.22580645161290322,0.3079268292682927,0.42574257425742573,0.44329896907216493,0.11627906976744186,0.16463414634146342,0.01524390243902439,,,,0.4146341463414634,0.29411764705882354,0.30303030303030304,0.225,0.03333333333333333,1.0,,0.06666666666666667,0.43333333333333335,0.1111111111111111,0.875,0.013888888888888888,,0.5138888888888888,0.5274390243902439,0.29411764705882354,0.4946721538461539,0.453946875,0.4907828571428572,0.12876712328767123,0.19457013574660634,0.06818181818181818,0.1893939393939394,9.986631016042782,26.888652482269496,0.21626297577854672,8.0,1.0,2.0,1.0,,0.024390243902439025,0.21621621621621623,,4.0,4.0,93.0,2.0,,1.0,,4.0,,0.26666666666666666,,,0.3076923076923077,0.75,0.027777777777777776,25.0,1.0,1.0,0.46296296296296297,0.46296296296296297,0.08,True,
1629655,1610612742,Daniel Gafford,Daniel Gafford,1629655,DAL,19800.0,330,-32.0,612,618,88.0,92,73.0,1230,58.0,76.0,16.0,22.0,8.0,12.0,6.0,16.0,1.0,,,,,,,,,,64.0,93,,,30.0,158.0,721,16.0,25.0,,10.0,42.0,8.0,13.0,,,6.0,22.0,102.0,26.0,,22.0,,,,6.0,,5.0,6.0,11.0,5.0,1.0,2.0,2.0,28.0,16.0,16.0,23.0,26.0,5.0,54.0,32.0,86,3.0,6.0,3.0,3.0,4.0,1.0,2.0,9.0,2.0,2.0,,13.0,1.0,3.0,13.0,29.0,1.0,36.0,7.0,,,42.0,4.0,23.0,,19.0,4.0,3.0,8.0,1.0,,11.0,23.0,13.0,22.0,88.0,1.0,,0.796875,0.9622641509433962,,,,,0.6881720430107527,0.64,0.6153846153846154,0.6881720430107527,0.64,0.6153846153846154,0.7053571428571429,0.7,0.6875,,,0.06451612903225806,0.06578947368421052,0.0625,,,17.8826895565093,0.3076923076923077,0.45454545454545453,0.16049382716049382,0.10738255033557047,0.1503267973856209,0.11428571428571428,0.15555555555555556,0.11072664359861592,0.1282051282051282,0.10843373493975904,0.07407407407407407,0.0967741935483871,0.14893617021276595,0.15384615384615385,0.1375,0.23333333333333334,0.14736842105263157,0.15517241379310345,0.13043478260869565,0.5652173913043478,0.8172043010752689,0.7631578947368421,0.8169014084507042,0.7758620689655172,0.17204301075268819,0.375,0.4,1.0,0.010752688172043012,,,,,,,,,0.88,0.7272727272727273,0.25,,,0.9230769230769231,0.6666666666666666,,,,0.8172043010752689,,0.6201322580645162,0.6295647058823529,0.6498,0.20535714285714285,0.20535714285714285,0.26582278481012656,0.13924050632911392,2.5516129032258066,,0.1437908496732026,,,5.0,,1.0,,,,,,,1.0,,1.0,,,4.0,,,,,,,,,,,,,True,
1630182,1610612742,Josh Green,Josh Green,1630182,DAL,7177.0,120,-8.0,223,239,78.0,115,16.0,462,7.0,8.0,4.0,4.0,4.0,4.0,1.0,3.0,,4.0,11.0,,1.0,3.0,3.0,5.0,1.0,2.0,8.0,11,7.0,16.0,3.0,40.0,268,4.0,5.0,1.0,,11.0,4.0,5.0,2.0,5.0,2.0,16.0,8.0,8.0,21.0,6.0,,5.0,3.0,1.0,,3.0,5.0,8.0,3.0,2.0,2.0,,21.0,5.0,,4.0,9.0,,13.0,5.0,18,,2.0,2.0,,,1.0,,3.0,1.0,,,3.0,,1.0,6.0,13.0,1.0,4.0,,1.0,,4.0,,2.0,,1.0,,,,,1.0,,1.0,,16.0,78.0,3.0,,0.5,0.8,1.0,0.4375,0.4,0.4375,0.7272727272727273,0.8,0.8,0.6851851851851852,0.9166666666666666,0.7,0.6896551724137931,0.9166666666666666,0.7272727272727273,0.5925925925925926,,0.09090909090909091,0.125,,,,13.223140495867769,,,0.140625,,0.07547169811320754,0.1,0.1111111111111111,0.05555555555555555,,,,0.13513513513513514,,0.2,0.12121212121212122,0.125,0.04878048780487805,0.16666666666666666,,,0.2962962962962963,0.875,1.0,0.5714285714285714,0.1111111111111111,0.3333333333333333,0.3333333333333333,,,0.4074074074074074,0.36363636363636365,0.36363636363636365,1.0,0.18518518518518517,0.6,0.6,1.0,0.6666666666666666,1.0,0.25,,0.16666666666666666,0.4,1.0,0.3,0.3333333333333333,0.2,0.8888888888888888,0.6,0.5703,,0.545215,0.06896551724137931,0.15384615384615385,0.275,0.4,3.5000000000000004,23.80625,0.34977578475336324,1.0,,,,,,0.5,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,True,
1641726,1610612742,Dereck Lively II,Dereck Lively II,1641726,DAL,14802.0,247,66.0,483,484,112.0,108,67.0,967,33.0,45.0,6.0,10.0,9.0,11.0,1.0,6.0,,1.0,1.0,,,,,,,,34.0,51,1.0,1.0,23.0,94.0,495,6.0,11.0,,3.0,15.0,10.0,12.0,,,18.0,38.0,62.0,6.0,3.0,6.0,,,,8.0,,11.0,7.0,18.0,6.0,1.0,6.0,3.0,43.0,13.0,25.0,20.0,33.0,2.0,55.0,39.0,94,,4.0,3.0,1.0,4.0,,3.0,8.0,1.0,1.0,2.0,12.0,4.0,4.0,14.0,30.0,5.0,32.0,2.0,,,37.0,5.0,9.0,11.0,9.0,1.0,,6.0,1.0,,3.0,10.0,7.0,38.0,111.0,1.0,5.0,0.9117647058823529,1.0,1.0,1.0,,1.0,0.6666666666666666,0.5454545454545454,0.8333333333333334,0.6826923076923077,0.5454545454545454,0.8333333333333334,0.7014925373134329,0.5357142857142857,0.7916666666666666,0.019230769230769232,,0.1568627450980392,0.15555555555555556,0.16666666666666666,,,14.05693950177936,0.3333333333333333,0.2222222222222222,0.24087591240875914,0.20161290322580644,0.16666666666666666,0.12745098039215685,0.20622568093385213,0.168141592920354,0.23684210526315788,0.16901408450704225,0.26666666666666666,0.13580246913580246,0.09523809523809523,0.1951219512195122,0.27941176470588236,0.21428571428571427,0.13580246913580246,0.23076923076923078,,0.7,0.8653846153846154,0.7333333333333333,0.868421052631579,0.9090909090909091,0.11538461538461539,0.16666666666666666,0.2,1.0,,0.019230769230769232,1.0,1.0,1.0,,,,,0.9090909090909091,0.6,0.5,,,0.9166666666666666,0.8181818181818182,,,,0.8846153846153846,,0.6625125000000001,0.5701571428571429,0.7273666666666666,0.16071428571428573,0.16363636363636364,0.1595744680851064,0.40425531914893614,2.2098039215686276,22.7,0.2318840579710145,,1.0,4.0,,1.0,0.04,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,True,
202681,1610612742,Kyrie Irving,Kyrie Irving,202681,DAL,34313.0,572,79.0,1083,1086,229.0,198,142.0,2169,25.0,39.0,2.0,4.0,4.0,6.0,50.0,107.0,20.0,4.0,9.0,2.0,2.0,3.0,23.0,78.0,13.0,23.0,87.0,166,27.0,87.0,39.0,294.0,1200,12.0,17.0,15.0,5.0,47.0,15.0,26.0,10.0,26.0,21.0,81.0,48.0,126.0,48.0,6.0,,78.0,23.0,21.0,3.0,45.0,23.0,68.0,11.0,12.0,37.0,8.0,159.0,4.0,5.0,24.0,14.0,,38.0,9.0,47,3.0,12.0,8.0,4.0,23.0,3.0,15.0,16.0,6.0,8.0,1.0,39.0,3.0,11.0,16.0,40.0,3.0,35.0,1.0,2.0,,48.0,3.0,15.0,9.0,3.0,1.0,1.0,2.0,,,1.0,4.0,2.0,76.0,225.0,2.0,4.0,0.27586206896551724,0.2857142857142857,0.5925925925925926,0.3103448275862069,0.38461538461538464,0.3103448275862069,0.5240963855421686,0.7058823529411765,0.5769230769230769,0.5039525691699605,0.65625,0.5769230769230769,0.531021897810219,0.6714285714285714,0.6428571428571429,0.3438735177865613,0.034482758620689655,0.12650602409638553,0.1282051282051282,0.14953271028037382,0.1111111111111111,0.02564102564102564,24.860111910471623,0.5897435897435898,,0.04794520547945205,0.01838235294117647,0.08856088560885608,0.017391304347826087,0.0674955595026643,0.017928286852589643,0.012658227848101266,0.0196078431372549,0.025,0.023529411764705882,,0.010752688172043012,0.03496503496503497,0.14285714285714285,0.0893854748603352,0.08695652173913043,0.02631578947368421,0.5,0.1541501976284585,0.6410256410256411,0.7352941176470589,0.4,0.42292490118577075,0.4672897196261682,0.5494505494505495,0.18,0.07905138339920949,0.03557312252964427,0.4444444444444444,0.5,0.5,0.308300395256917,0.2948717948717949,0.3026315789473684,0.6086956521739131,0.125,0.5,,0.0625,0.40625,0.11538461538461539,0.6666666666666666,0.057692307692307696,0.6666666666666666,0.4423076923076923,0.4980237154150198,0.2948717948717949,0.5052713438735177,0.4847386363636364,0.4925096153846154,0.06037735849056604,0.08426966292134831,0.1598639455782313,0.2755102040816326,8.510240963855425,25.920689655172414,0.21144967682363805,8.0,,1.0,,,,0.34782608695652173,1.0,5.0,6.0,33.0,,3.0,1.0,,1.0,,0.4,0.5,,0.38461538461538464,1.0,0.011494252873563218,12.0,1.0,4.0,0.6,0.6,0.4166666666666667,True,
203501,1610612742,Tim Hardaway Jr.,Tim Hardaway Jr.,203501,DAL,2803.0,47,-24.0,93,93,27.0,27,18.0,186,1.0,1.0,,,,,1.0,1.0,5.0,,3.0,1.0,,2.0,1.0,6.0,2.0,,2.0,7,1.0,9.0,,7.0,115,,,3.0,,,,1.0,,2.0,,,4.0,,3.0,,,6.0,1.0,,,1.0,,1.0,,,1.0,,2.0,,,3.0,1.0,2.0,6.0,,6,,2.0,1.0,1.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,26.0,,,1.0,1.0,1.0,0.1111111111111111,,0.1111111111111111,0.2857142857142857,,,0.21875,,,0.21875,,,0.5625,,,,,,,14.545454545454545,,0.3333333333333333,0.037037037037037035,,0.17647058823529413,,0.09090909090909091,,,,,,,0.16666666666666666,,,0.25,,,1.0,0.0625,1.0,1.0,1.0,0.0625,1.0,1.0,1.0,0.3125,0.1875,,,,0.375,0.16666666666666666,0.16666666666666666,1.0,,,,0.3333333333333333,0.6666666666666666,,,0.6666666666666666,,,0.625,0.16666666666666666,0.48067187499999997,0.60735,0.4817333333333333,,,,,12.757142857142858,25.2,0.2903225806451613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
203957,1610612742,Dante Exum,Dante Exum,203957,DAL,1958.0,33,-14.0,56,64,12.0,20,5.0,120,2.0,4.0,,,,1.0,,3.0,,,1.0,,,,1.0,3.0,,1.0,2.0,7,1.0,4.0,2.0,9.0,76,,,,,,,1.0,,1.0,,,2.0,2.0,3.0,,,3.0,1.0,2.0,,,,,,,,,,,1.0,,,,,1.0,1,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,1.0,2.0,,2.0,,,,2.0,,1.0,,1.0,,,,,,1.0,1.0,,,12.0,,,0.5,0.5,1.0,0.25,,0.25,0.2857142857142857,,,0.3181818181818182,,,0.375,,,0.36363636363636365,,0.2857142857142857,0.25,0.3333333333333333,,,20.634920634920636,,,,0.07142857142857142,,,,0.034482758620689655,,0.125,,,,,,,,,,,0.36363636363636365,0.5,0.6666666666666666,0.5,0.2727272727272727,,,,,0.09090909090909091,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.5,,,,0.5,0.7272727272727273,0.3333333333333333,0.5138954545454545,,0.50785,0.08333333333333333,0.125,,,4.885714285714286,25.15,0.21428571428571427,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,
