EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,PenaltyOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,SecondChanceFG3A,PenaltyFG2A,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,ShortMidRangeAssists,Charge Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefLongMidRangeReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChancePointsPct,PenaltyPointsPct,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,LostBallSteals,BadPassTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,AtRimPctBlocked,OffShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceAtRimFGM,PtsPutbacks,FTOffRebounds,Travels,OffFTReboundPct,SecondChanceAtRimAccuracy,Fg3aBlocked,Corner3Assists,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,BlockedAtRim,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,Charge Fouls,OffCorner3ReboundPct,on,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,Technical Free Throw Trips,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations
1627745,1610612739,Damian Jones,Damian Jones,1627745,CLE,130.0,2,-3.0,5,5,5.0,1,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1627777,1610612739,Georges Niang,Georges Niang,1627777,CLE,1116.0,19,-16.0,32,33,9.0,5,65,42,3.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,4.0,6.0,4.0,8.0,2.0,1.0,4.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,0.5,0.2,0.3333333333333333,0.6,38.88888888888889,0.5,1.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.5,0.16666666666666666,0.25,0.125,0.2,0.5,0.5,0.2,0.5,0.5,0.6,1.0,0.8,0.504115,0.5243249999999999,0.4184,0.16666666666666666,0.3333333333333333,8.125,26.61666666666667,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1630241,1610612739,Sam Merrill,Sam Merrill,1630241,CLE,3455.0,58,2.0,104,105,48.0,6,209,102,32.0,,,,1.0,8.0,,,1.0,9.0,,6.0,,1.0,,8.0,3.0,3.0,1.0,6.0,,2.0,2.0,,4.0,,4.0,,,,,,,,4.0,,1.0,,,32.0,,0.3,0.3,0.9,9.009009009009008,,,0.09090909090909091,,0.07142857142857142,0.08,,,0.08333333333333333,0.08695652173913043,,,,,0.1,,,0.8,,0.9,0.5190199999999999,,0.50585,,,13.3,26.511111111111113,0.3076923076923077,1.0,1.0,2.0,2.0,2.0,3.0,6.0,2.0,2.0,1.0,1.0,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.1,0.25,0.25,1.0,0.25,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
202684,1610612739,Tristan Thompson,Tristan Thompson,202684,CLE,2950.0,49,-12.0,95,97,51.0,9,192,101,30.0,,3.0,3.0,7.0,,,3.0,10.0,,1.0,7.0,,3.0,2.0,,3.0,4.0,1.0,9.0,4.0,1.0,3.0,,4.0,5.0,9.0,1.0,,1.0,,,1.0,,4.0,1.0,3.0,2.0,,30.0,0.3,0.3,0.3181818181818182,,11.320754716981131,,,0.15,0.15384615384615385,0.038461538461538464,0.08695652173913043,0.09615384615384616,0.2857142857142857,0.18181818181818182,0.05263157894736842,0.25,0.3,,,0.7,0.42857142857142855,0.6,,,0.3,0.45619,0.6002000000000001,0.5214,,,5.88,,0.3157894736842105,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.375,0.2,0.2857142857142857,0.038461538461538464,0.2222222222222222,0.041666666666666664,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.14285714285714285,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
202694,1610612739,Marcus Morris Sr.,Marcus Morris Sr.,202694,CLE,8262.0,138,-39.0,260,260,89.0,25,520,305,51.0,2.0,6.0,5.0,8.0,17.0,2.0,13.0,25.0,23.0,2.0,55.0,2.0,6.0,10.0,15.0,3.0,3.0,,6.0,2.0,12.0,9.0,2.0,23.0,2.0,25.0,,1.0,2.0,,,3.0,,8.0,,4.0,3.0,2.0,51.0,0.52,0.5520833333333334,0.5612244897959183,0.4791666666666667,17.869415807560138,0.3333333333333333,0.2857142857142857,0.16071428571428573,0.02666666666666667,0.20689655172413793,0.18421052631578946,0.015151515151515152,,0.1724137931034483,0.1956521739130435,,0.125,0.3333333333333333,0.5,0.16666666666666666,0.625,0.625,0.3541666666666667,0.4,0.6041666666666666,0.5037032608695652,0.5162625,0.5283049999999999,0.04081632653061224,0.07692307692307693,11.456,28.865217391304352,0.19615384615384615,6.0,2.0,7.0,3.0,9.0,5.0,24.0,7.0,1.0,,0.8888888888888888,0.391304347826087,0.42857142857142855,0.14285714285714285,0.125,0.4117647058823529,0.4117647058823529,0.8571428571428571,0.18181818181818182,0.2727272727272727,0.4666666666666667,2.0,2.0,3.0,2.0,7.0,3.0,,15.0,16.0,2.0,,,2.0,,4.0,1.0,,1.0,5.0,,,,,,,,15.0,,0.6153846153846154,0.6153846153846154,0.5,0.6818181818181818,0.5833333333333334,0.6818181818181818,0.08,,,,,0.15384615384615385,,0.6,0.4,0.18181818181818182,0.12727272727272726,0.2727272727272727,1.0,6.0,11.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.5,0.6,0.3333333333333333,0.5,0.3333333333333333,0.05714285714285714,0.25,0.5,0.22916666666666666,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1627747,1610612739,Caris LeVert,Caris LeVert,1627747,CLE,3639.0,61,-11.0,114,114,51.0,16,228,128,27.0,6.0,7.0,2.0,7.0,5.0,,8.0,16.0,5.0,3.0,22.0,,5.0,16.0,5.0,2.0,2.0,,4.0,1.0,4.0,5.0,,9.0,3.0,12.0,1.0,2.0,3.0,1.0,,5.0,2.0,2.0,,4.0,7.0,4.0,27.0,0.5,0.4523809523809524,0.4583333333333333,0.23809523809523808,21.804511278195488,0.4,,0.22727272727272727,0.02631578947368421,0.14814814814814814,0.1836734693877551,0.03125,0.08333333333333333,0.09090909090909091,0.2,0.09090909090909091,0.3333333333333333,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.23809523809523808,,0.5714285714285714,0.5212476190476191,0.52965,0.5197142857142858,0.16666666666666666,0.21052631578947367,6.775,26.439999999999998,0.23684210526315788,,,1.0,2.0,1.0,2.0,,1.0,2.0,,,0.2,0.2,0.375,,0.2,0.2,,,0.2857142857142857,0.2,3.0,3.0,4.0,,6.0,4.0,1.0,12.0,,1.0,,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,12.0,,,,0.8,0.7857142857142857,0.75,0.8571428571428571,0.0625,0.14285714285714285,0.038461538461538464,,0.041666666666666664,0.3333333333333333,,,0.75,0.42857142857142855,0.2727272727272727,0.5454545454545454,3.0,,2.0,,,,1.0,3.0,,1.0,3.0,,,2.0,,1.0,,1.0,,0.5,0.75,0.75,,,,,0.09523809523809523,,,,,,,,,1.0,,0.5,3.0,2.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,True,,,,,,,,,,
1629622,1610612739,Max Strus,Max Strus,1629622,CLE,5533.0,92,-29.0,175,176,48.0,15,351,220,21.0,3.0,3.0,2.0,3.0,11.0,,5.0,8.0,13.0,,25.0,,,,11.0,7.0,11.0,,26.0,2.0,6.0,9.0,1.0,16.0,2.0,18.0,,1.0,,,,1.0,,7.0,,7.0,,,21.0,0.625,0.5952380952380952,0.5952380952380952,0.6190476190476191,11.282051282051283,1.0,0.2,0.23684210526315788,0.044444444444444446,0.17647058823529413,0.20833333333333334,0.024691358024691357,,0.21052631578947367,0.07407407407407407,,0.14285714285714285,1.0,1.0,0.14285714285714285,0.6666666666666666,1.0,0.5238095238095238,,0.7619047619047619,0.5190142857142858,,0.52815,,,7.375,25.861538461538466,0.12,2.0,,4.0,1.0,5.0,1.0,15.0,4.0,2.0,2.0,1.0,0.38461538461538464,0.38461538461538464,0.2222222222222222,0.09523809523809523,0.36363636363636365,0.4,1.0,,1.0,0.36363636363636365,,,,,,,,3.0,10.0,1.0,4.0,3.0,5.0,,1.0,1.0,,,5.0,,,,,,,,3.0,,1.0,1.0,,1.5,,1.5,0.125,0.3333333333333333,,0.2,,0.3,,1.0,,,,0.12,,,2.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,0.5714285714285714,1.0,0.09523809523809523,,,,0.5,0.5,1.0,,,,,1.0,,,,,,,1.0,1.0,2.0,0.07692307692307693,0.09090909090909091,,,,,,,True,,,,,,,,,,
1629636,1610612739,Darius Garland,Darius Garland,1629636,CLE,6018.0,100,-30.0,191,189,52.0,17,380,236,39.0,5.0,8.0,6.0,12.0,12.0,,12.0,23.0,14.0,3.0,39.0,,1.0,16.0,12.0,10.0,18.0,1.0,44.0,,10.0,,,10.0,1.0,11.0,,3.0,2.0,1.0,1.0,5.0,,5.0,,10.0,4.0,2.0,39.0,0.5217391304347826,0.4864864864864865,0.5,0.3783783783783784,20.85308056872038,0.6,,,,0.23809523809523808,0.12195121951219512,0.010526315789473684,,,0.15151515151515152,,0.21621621621621623,0.625,0.7142857142857143,0.32432432432432434,0.5,0.6,0.32432432432432434,,0.5945945945945946,0.5054716216216216,,0.47713,0.05128205128205128,0.08,7.247826086956521,26.42142857142857,0.20418848167539266,2.0,,4.0,4.0,4.0,4.0,6.0,4.0,3.0,,0.5,0.2857142857142857,0.2857142857142857,,0.05405405405405406,0.3333333333333333,0.3333333333333333,0.5,,0.8,0.3333333333333333,1.0,,1.0,,2.0,,,6.0,8.0,3.0,8.0,6.0,6.0,1.0,3.0,3.0,,,1.0,,,,,,,,6.0,,0.3333333333333333,0.3333333333333333,,0.6,1.0,0.6,0.13043478260869565,0.16666666666666666,0.02631578947368421,,0.03333333333333333,,,0.3333333333333333,1.0,,0.05128205128205128,0.15384615384615385,,1.0,3.0,,,,2.0,1.0,,2.0,6.0,,,2.0,,1.0,2.0,,,0.5,1.0,1.0,0.125,,0.5555555555555556,0.4,0.08108108108108109,0.3333333333333333,0.3333333333333333,,,,,,,,,0.5,1.0,,,,,1.0,,2.0,1.0,,,,,,,,,True,,,,,,,,,,
1630171,1610612739,Isaac Okoro,Isaac Okoro,1630171,CLE,851.0,14,-4.0,25,29,16.0,1,54,29,9.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,9.0,,,,,3.571428571428571,,,,,,,,,,,,1.0,,,,,,,,1.0,0.4076,,,,,3.8,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1628378,1610612739,Donovan Mitchell,Donovan Mitchell,1628378,CLE,3793.0,63,-14.0,127,120,38.0,15,247,139,25.0,8.0,13.0,6.0,15.0,13.0,1.0,15.0,35.0,13.0,14.0,59.0,1.0,8.0,18.0,12.0,4.0,7.0,,17.0,1.0,3.0,3.0,1.0,7.0,1.0,8.0,,4.0,2.0,,3.0,6.0,2.0,6.0,1.0,12.0,19.0,5.0,25.0,0.42857142857142855,0.46875,0.5175438596491229,0.2708333333333333,42.85714285714286,0.6666666666666666,0.5,0.10714285714285714,0.02631578947368421,0.1111111111111111,0.10909090909090909,0.015151515151515152,0.06666666666666667,0.16666666666666666,0.13043478260869565,,0.2708333333333333,0.6153846153846154,0.6666666666666666,0.3125,0.4,0.46153846153846156,0.2708333333333333,0.3333333333333333,0.5416666666666666,0.49302872340425535,0.6945749999999999,0.52684,0.1111111111111111,0.125,7.86,28.176923076923075,0.1968503937007874,,,5.0,3.0,5.0,3.0,,5.0,1.0,,,0.38461538461538464,0.4166666666666667,0.125,,0.38461538461538464,0.38461538461538464,,,0.2727272727272727,0.4166666666666667,1.0,5.0,2.0,,2.0,3.0,6.0,15.0,12.0,3.0,3.0,3.0,3.0,,1.0,,2.0,,2.0,,3.0,2.0,1.0,2.0,2.0,,15.0,3.0,0.4,0.4,0.375,0.4090909090909091,0.3333333333333333,0.5,0.08571428571428572,0.13333333333333333,,,,,1.0,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.03389830508474576,0.2542372881355932,3.0,1.0,7.0,,,,1.0,1.0,,1.0,15.0,1.0,1.0,1.0,,,,,,0.3333333333333333,0.5,0.3333333333333333,0.07692307692307693,,,0.375,0.14583333333333334,0.14285714285714285,0.14285714285714285,1.0,,,,,,0.6,,0.3333333333333333,1.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,0.07142857142857142,,,True,,,,,,,,,,
