EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Corner3FGA,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,NonShootingPenaltyNonTakeFouls,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,ThreePtAssists,Arc3Assists,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Steals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsAssisted2s,FTDefRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,AtRimPctAssisted,PenaltyAtRimFGM,BadPassSteals,BadPassOutOfBoundsTurnovers,Blocked2s,BlockedShortMidRange,Blocks,PenaltyAtRimAccuracy,ShortMidRangePctAssisted,FTOffRebounds,BlockedAtRim,RecoveredBlocks,OffFTReboundPct,BlocksRecoveredPct,Corner3Assists,Offensive Fouls,on,LongMidRangeFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,HeaveAttempts,LongMidRangeAssists,SelfOReb,Travels,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Charge Fouls Drawn,2pt And 1 Free Throw Trips,DefensiveGoaltends,3SecondViolations,SecondChanceArc3FGM,BlockingFouls,Clear Path Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3PctBlocked,OffensiveGoaltends,BlockedCorner3
1740,1610612748,Rashard Lewis,Rashard Lewis,1740,MIA,582.0,10,-5.0,16,16,5.0,3.0,32,1.0,1.0,2.0,22.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.789473684210526,1.0,0.3333333333333333,0.125,1.0,0.5,0.5,1.0,0.5637000000000001,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,718.0,12,8.0,23,22,18.0,4.0,45,,,,15.0,,,1.0,,3.0,2.0,3.0,4.0,,,,,,,7.4074074074074066,,0.1818181818181818,0.1875,0.2,,,,0.3951,,11.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,0.5,1.0,0.5,1.0,0.5,1.0,0.2,0.5,0.1666666666666666,1.0,0.5,0.25,1.0,0.5,0.5,0.3924,1.0,11.55,0.4782608695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202227,1610612748,Terrel Harris,Terrel Harris,202227,MIA,1739.0,29,2.0,54,52,35.0,9.0,106,1.0,,1.0,53.0,,2.0,2.0,,4.0,3.0,5.0,9.0,4.0,2.0,4.0,3.0,1.0,0.125,25.396825396825395,1.0,0.1428571428571428,0.1612903225806451,0.125,0.125,,0.75,0.51138125,23.6,23.0,,1.0,2.0,7.0,10.0,,3.0,3.0,4.0,,,2.0,2.0,4.0,3.0,23.0,0.2857142857142857,,0.25,,0.4166666666666667,0.3,0.2,0.2857142857142857,0.2105263157894736,0.2,,0.125,0.125,,,0.4875,0.3,4.828571428571428,0.4259259259259259,2.0,5.0,2.0,2.0,3.0,1.0,6.0,2.0,2.0,3.0,7.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,8.0,4.0,1.0,1.0,0.875,0.2857142857142857,0.2,1.0,0.1666666666666666,0.1428571428571428,0.5,0.5,0.2857142857142857,0.5,0.625,0.4,0.5,0.125,1.0,1.0,1.0,0.6128,0.3333333333333333,0.3636363636363636,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202708,1610612748,Norris Cole,Norris Cole,202708,MIA,1021.0,17,3.0,33,31,26.0,6.0,64,,,,29.0,,1.0,1.0,,2.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,,,15.384615384615383,0.5,0.1538461538461538,0.1666666666666666,0.2,,,1.0,0.7154499999999999,,18.0,,,1.0,2.0,2.0,,1.0,,2.0,,,,1.0,,,18.0,0.5,,0.5,,0.5,,0.2,,,,,0.25,,,,0.7927,,1.25,0.5454545454545454,1.0,2.0,,,1.0,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,0.1666666666666666,,1.0,0.5,0.5,,,,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,1610612748,James Jones,James Jones,2592,MIA,889.0,15,4.0,30,27,23.0,5.0,57,1.0,5.0,6.0,22.0,5.0,,1.0,,3.0,,,,,,,,,1.0,17.142857142857142,,,,,0.1666666666666666,0.8333333333333334,1.0,0.501425,25.183333333333334,18.0,,,,,9.0,,,3.0,,1.0,1.0,,,,3.0,18.0,,,0.75,0.5,0.75,0.5,,,,,,,,,,0.4568,0.3333333333333333,,0.6,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,6.0,3.0,2.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.4,0.4,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.4,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,635.0,11,7.0,18,19,16.0,4.0,37,,,,18.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,13.636363636363637,1.0,,,,,,1.0,0.6851,,9.0,,,2.0,2.0,4.0,,,,,,,,,,,9.0,1.0,,1.0,,1.0,,,,,,,,,,,,,1.15,0.5,2.0,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,1610612748,Ray Allen,Ray Allen,951,MIA,547.0,9,,16,16,13.0,3.0,32,,3.0,3.0,18.0,3.0,1.0,1.0,,2.0,,,,,,,1.0,,0.75,21.05263157894737,,,,,,0.75,1.0,0.5697666666666666,29.1,7.0,,,,1.0,3.0,,,,,,,,,,,7.0,,,0.375,,0.375,,,,,,,,,,,0.5472,,1.3,0.4375,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,3.0,,1.0,1.0,0.3333333333333333,,,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,1.0,,,,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,1610612748,LeBron James,LeBron James,2544,MIA,718.0,12,-1.0,21,21,9.0,3.0,42,,,,24.0,,1.0,3.0,,8.0,2.0,3.0,4.0,1.0,1.0,2.0,,,,25.0,0.5,0.25,0.2307692307692307,,,,0.25,0.45495,,5.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.1111111111111111,1.0,0.25,0.25,0.5,0.5,0.5,0.51385,0.5,9.55,0.238095238095238,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,,2.0,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,0.25,1.0,1.0,0.25,1.0,1.0,0.5,,,,0.5,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,1610612748,Chris Bosh,Chris Bosh,2547,MIA,363.0,6,-2.0,10,10,,1.0,20,,,,13.0,,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,0.1666666666666666,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,363.0,6,-2.0,10,10,,1.0,20,,,,13.0,,,,,,,,,,,,1.0,,,63.63636363636363,,,,,,,0.8333333333333334,0.5816333333333333,,,1.0,1.0,4.0,6.0,10.0,,,,,,,,,,,,0.6666666666666666,,0.6666666666666666,,0.7142857142857143,,,,,,,,0.1666666666666666,1.0,1.0,,,2.716666666666667,,3.0,5.0,,,,,2.0,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,0.8333333333333334,0.6,0.6,,,,,,0.1428571428571428,0.1428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
