EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,Corner3Assists,OffTwoPtRebounds,OffRebounds,Charge Fouls Drawn,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,ShortMidRangeFGM,AtRimAssists,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,BlockingFouls,BlockedAtRim,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,DefensiveGoaltends,Defensive 3 Seconds Violations,OffAtRimReboundPct,OffShortMidRangeReboundPct,Corner3FGM,Offensive Fouls Drawn,BlockingFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Loose Ball Fouls Drawn,OffCorner3ReboundPct,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockedLongMidRange,PtsUnassisted3s,ShortMidRangePctBlocked,on,FTOffRebounds,Charge Fouls,OffensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3FGM,HeaveAttempts,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,Corner3PctBlocked
1536,1610612759,Stephen Jackson,Stephen Jackson,1536,SAS,1976.0,33,-8,67,67,18.0,31.0,8,134,2.0,3.0,2.0,1.0,2.0,3.0,1.0,3,7,4.0,6,62,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,5,3.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,1,2.0,1.0,18.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.2727272727272727,0.25,0.36363636363636365,18.666666666666668,1.0,0.047619047619047616,0.2,0.0967741935483871,0.25,0.5,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.18181818181818182,0.5,0.5,1.0,0.2727272727272727,0.09090909090909091,0.6363636363636364,0.46446363636363636,8.87142857142857,23.924999999999997,0.26865671641791045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,794.0,13,-3,28,28,5.0,9.0,4,56,1.0,1.0,,,,,1.0,1,1,1.0,4,27,,2.0,1.0,,1.0,1.0,,,3.0,,,,,1,1.0,,1.0,,,,1.0,1.0,3,3.0,1.0,5.0,,,1.0,0.5,0.5,0.5,9.375,,,,,,,0.5,1.0,1.0,,,,,,,0.5,1.0,0.5333,2.4,25.6,0.17857142857142858,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.09090909090909091,0.06666666666666667,0.3333333333333333,1.0,1.0,1.0,1.0,0.5092,0.5092,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201971,1610612759,DeJuan Blair,DeJuan Blair,201971,SAS,3706.0,62,-20,130,131,24.0,33.0,9,261,5.0,5.0,11.0,3.0,9.0,,,14,25,,31,143,18.0,10.0,,2.0,1.0,3.0,,,7.0,5.0,4.0,4.0,13.0,13,2.0,1.0,1.0,1.0,3.0,3.0,3.0,8.0,3,3.0,,24.0,0.6428571428571429,0.6428571428571429,0.56,0.56,0.5961538461538461,,21.01449275362319,1.0,0.10526315789473684,0.25,0.15517241379310345,0.15384615384615385,0.23076923076923078,0.2,1.0,1.0,0.44,0.36,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,0.2,0.44471200000000005,9.992,,0.18461538461538463,,,3.0,3.0,3.0,,,,3.0,5.0,,6.0,,1.0,,,,,6.0,,,0.6,,0.6,,0.6,,,,,,0.6,1.0,,0.5883200000000001,,0.1935483870967742,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.2,0.2857142857142857,1.0,0.6,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.07692307692307693,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201986,1610612759,Nando De Colo,Nando De Colo,201986,SAS,5437.0,91,7,186,192,45.0,64.0,16,378,4.0,5.0,2.0,3.0,10.0,,9.0,7,17,9.0,30,185,8.0,6.0,9.0,11.0,7.0,18.0,3.0,2.0,43.0,3.0,6.0,1.0,10.0,13,6.0,2.0,4.0,1.0,1.0,5.0,2.0,7.0,6,8.0,1.0,44.0,0.5714285714285714,0.6666666666666666,0.4117647058823529,0.4423076923076923,0.5,0.34615384615384615,16.990291262135923,0.14285714285714285,0.1016949152542373,0.10344827586206896,0.10227272727272728,0.1111111111111111,0.10526315789473684,0.19230769230769232,0.8,1.0,0.07692307692307693,0.38461538461538464,0.3,0.3,0.6666666666666666,,0.34615384615384615,0.5384615384615384,0.474804,12.33529411764706,27.366666666666664,0.24193548387096775,2.0,2.0,2.0,2.0,7.0,2.0,3.0,9.0,2.0,5.0,2.0,9.0,2.0,4.0,2.0,3.0,1.0,,9.0,1.0,0.6666666666666666,0.4,0.875,0.3888888888888889,0.9,0.45,0.03389830508474576,0.036585365853658534,0.07407407407407407,0.5,1.0,0.2222222222222222,1.0,0.48301666666666665,0.5072,0.3,0.3,,6.0,,,1.0,,,3.0,1.0,,1.0,,,0.041666666666666664,0.1,,0.5,,,,0.10344827586206896,0.15,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,9.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.25,0.3333333333333333,0.058823529411764705,0.2,0.8,0.043478260869565216,0.05555555555555555,0.17647058823529413,0.07142857142857142,0.3333333333333333,0.3333333333333333,1.0,0.5,0.25,1.0,1.0,0.4444444444444444,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
203382,1610612759,Aron Baynes,Aron Baynes,203382,SAS,8480.0,141,-2,296,298,90.0,85.0,25,594,13.0,17.0,17.0,,1.0,,1.0,18,35,1.0,43,297,20.0,16.0,1.0,4.0,1.0,5.0,1.0,1.0,11.0,5.0,15.0,,20.0,32,1.0,,1.0,,8.0,11.0,12.0,23.0,9,12.0,,89.0,0.5555555555555556,0.7142857142857143,0.5142857142857142,0.5,0.524390243902439,0.027777777777777776,16.049382716049383,,0.1595744680851064,0.12195121951219512,0.14814814814814814,0.12903225806451613,0.1111111111111111,0.4722222222222222,0.7647058823529411,0.7647058823529411,0.4722222222222222,0.027777777777777776,,,,,0.027777777777777776,0.5,0.4894142857142858,5.539999999999999,36.2,0.30405405405405406,4.0,8.0,5.0,6.0,7.0,4.0,10.0,9.0,5.0,8.0,,10.0,8.0,,9.0,12.0,1.0,,10.0,,0.4,0.625,0.4,0.5555555555555556,0.4090909090909091,0.5555555555555556,0.09782608695652174,0.09090909090909091,0.08333333333333333,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5102571428571429,0.5393749999999999,0.20930232558139536,0.23255813953488372,5.0,2.0,,1.0,6.0,2.0,2.0,7.0,6.0,,6.0,5.0,,0.1388888888888889,0.14285714285714285,0.8333333333333334,0.6153846153846154,0.29411764705882354,0.29411764705882354,0.4,0.17073170731707318,0.175,,,,,1.0,,,,1.0,,1.0,,,,1.0,3.0,1.0,3.0,2.0,2.0,6.0,,,,,,,,0.2727272727272727,0.075,0.09090909090909091,0.2222222222222222,0.058823529411764705,,,,,,,,0.1111111111111111,,,1.0,1.0,1.0,6.0,1.0,1.0,0.16666666666666666,0.0625,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201980,1610612759,Danny Green,Danny Green,201980,SAS,2177.0,36,13,78,77,27.0,8.0,3,155,,,,1.0,2.0,1.0,6.0,1,2,7.0,17,66,2.0,,6.0,4.0,,4.0,,2.0,8.0,,2.0,,2.0,2,3.0,3.0,,1.0,1.0,2.0,,,5,6.0,1.0,27.0,1.0,1.0,0.5,0.6111111111111112,0.7083333333333334,0.7777777777777778,17.073170731707318,,0.07692307692307693,,0.05263157894736842,0.125,,,,,,0.2222222222222222,0.5,0.5,1.0,0.1111111111111111,0.6666666666666666,0.7777777777777778,0.556,16.75,25.0,0.34615384615384615,,,,,6.0,,,,1.0,2.0,4.0,6.0,,,,,,,6.0,1.0,,0.5,,0.25,,0.5,,,,,,,,,0.5162249999999999,,0.35294117647058826,,2.0,,,1.0,,,2.0,1.0,,1.0,,,0.09090909090909091,,,,,,,0.18181818181818182,0.5,2.0,,,,2.0,3.0,,,,,2.0,9.0,2.0,,,,,1.0,1.0,,1.0,1.0,0.42857142857142855,,,0.42857142857142855,,,0.5,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,0.5,,0.3333333333333333,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,1539.0,26,-4,55,54,23.0,12.0,3,109,4.0,7.0,5.0,1.0,2.0,,,8,14,,24,52,2.0,14.0,,2.0,1.0,3.0,,,7.0,,3.0,,3.0,4,5.0,1.0,4.0,,1.0,3.0,,,6,9.0,4.0,22.0,0.125,0.125,0.5714285714285714,0.5714285714285714,0.6666666666666666,,36.20689655172414,,0.16666666666666666,,0.11538461538461539,0.25,,0.5,0.5714285714285714,0.8,0.35714285714285715,0.14285714285714285,0.5,0.5,,,,0.5,0.5387571428571428,5.821428571428571,,0.41818181818181815,,,1.0,2.0,8.0,,,,2.0,6.0,6.0,10.0,,1.0,,1.0,,,8.0,2.0,,0.3333333333333333,,0.3333333333333333,,0.5555555555555556,,0.04,,,,0.3333333333333333,0.5,,0.4783,,0.4166666666666667,3.0,2.0,,,1.0,,1.0,1.0,,,,,,0.18181818181818182,,,,0.6,0.6,0.3333333333333333,0.07142857142857142,0.07142857142857142,,,,,,,,,,,,,,2.0,,1.0,,2.0,2.0,,,,,,,,0.14285714285714285,0.2857142857142857,0.6666666666666666,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
202390,1610612759,Gary Neal,Gary Neal,202390,SAS,4442.0,74,-7,150,154,47.0,52.0,20,304,2.0,3.0,8.0,6.0,16.0,,10.0,15,27,10.0,40,156,10.0,20.0,10.0,6.0,3.0,9.0,3.0,1.0,21.0,4.0,11.0,1.0,16.0,16,2.0,1.0,1.0,,3.0,5.0,2.0,3.0,9,5.0,,47.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.4864864864864865,0.5128205128205128,0.2702702702702703,25.58139534883721,0.2,0.21153846153846154,0.21052631578947367,0.2112676056338028,0.25,0.36363636363636365,0.08108108108108109,0.6666666666666666,0.6666666666666666,0.21621621621621623,0.43243243243243246,0.375,0.375,0.6666666666666666,,0.2702702702702703,0.35135135135135137,0.44823378378378376,13.31111111111111,25.359999999999996,0.31333333333333335,,,1.0,1.0,4.0,,,2.0,2.0,5.0,,4.0,,,,,1.0,,4.0,,,0.4,,0.2857142857142857,1.0,0.2857142857142857,,,,,,0.14285714285714285,1.0,,0.46245714285714284,0.05,0.1,7.0,3.0,,,1.0,,1.0,3.0,,,,,,0.17647058823529413,,,,0.875,0.875,0.14285714285714285,0.07692307692307693,0.10344827586206896,2.0,,,,2.0,2.0,,,2.0,,2.0,6.0,2.0,,2.0,,,2.0,2.0,,,1.0,0.2,,,0.2,,,0.4,,,0.2,,0.2,0.2,1.0,,,,,0.2857142857142857,,0.2,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2564,1610612759,Boris Diaw,Boris Diaw,2564,SAS,1692.0,28,3,59,59,32.0,17.0,4,118,1.0,5.0,1.0,,3.0,,3.0,2,9,3.0,4,63,2.0,2.0,3.0,2.0,,2.0,,1.0,4.0,,1.0,1.0,2.0,4,2.0,,2.0,,,1.0,2.0,3.0,1,,,31.0,0.5,0.5,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.25,20.3125,0.5,0.0625,,0.041666666666666664,0.3333333333333333,,0.4166666666666667,0.2,0.25,0.08333333333333333,0.25,,,,,0.25,0.6666666666666666,0.4676249999999999,8.344444444444443,25.133333333333336,0.5423728813559322,,,1.0,2.0,,,1.0,,2.0,4.0,,4.0,,,1.0,2.0,,,4.0,,,0.5,,0.3333333333333333,,0.3333333333333333,0.05555555555555555,0.08,0.2,,,0.3333333333333333,0.5,,0.4804583333333334,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,0.1111111111111111,0.2,1.0,0.14285714285714285,,,0.125,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,4833.0,81,3,169,169,57.0,60.0,11,338,3.0,6.0,1.0,3.0,6.0,8.0,13.0,6,13,21.0,42,179,8.0,4.0,13.0,8.0,1.0,9.0,1.0,,19.0,3.0,3.0,,6.0,6,5.0,4.0,1.0,,2.0,7.0,3.0,4.0,4,4.0,,56.0,0.6666666666666666,0.6666666666666666,0.46153846153846156,0.5735294117647058,0.5857142857142857,0.6176470588235294,23.076923076923077,,0.06521739130434782,0.17647058823529413,0.09523809523809523,,0.25,0.17647058823529413,0.5,0.75,0.029411764705882353,0.17647058823529413,0.5,0.5,0.6666666666666666,0.23529411764705882,0.38235294117647056,0.7941176470588235,0.5233691176470587,9.915384615384616,24.67142857142857,0.33727810650887574,,,,1.0,3.0,,,,,4.0,,9.0,,,,,,1.0,9.0,,,,,0.5,,0.5,,,,,,0.1111111111111111,,0.57405,0.48267777777777776,,0.21428571428571427,,5.0,,,3.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.125,,1.0,0.6666666666666666,,,,0.05714285714285714,0.14285714285714285,5.0,,,2.0,3.0,9.0,,1.0,,3.0,5.0,27.0,5.0,2.0,3.0,,,5.0,1.0,1.0,,1.0,0.42857142857142855,,0.6,0.42857142857142855,0.15384615384615385,0.3333333333333333,0.7142857142857143,,,0.07692307692307693,,0.38461538461538464,0.38461538461538464,1.0,,,,,0.3333333333333333,0.6666666666666666,0.38461538461538464,1.0,4.0,,,,,,,4.0,1.0,,0.5,0.5,1.0,,,1.0,1.0,2.0,1.0,0.2222222222222222,0.5,,,,True,,,,,,,,,,,,,,,,,,,,
