EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,SecondChanceFtPoints,PenaltyFtPoints,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,Travels,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,PenaltyFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffCorner3ReboundPct,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,BlockingFouls,Defensive 3 Seconds Violations,OffensiveGoaltends,3SecondViolations,Fg3aBlocked,Clear Path Fouls,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,on,BlockedLongMidRange,Corner3PctBlocked
101179,1610612757,Ronnie Price,Ronnie Price,101179,POR,9996.0,167,-35,305,313,60,70,36,618,1,7,1.0,2.0,3.0,5.0,3,14,1.0,5.0,1.0,2.0,9.0,1.0,1.0,2.0,7,26,3.0,14.0,3.0,26,346,2.0,3,1.0,1.0,7,1,4,3.0,2,4,10,6.0,3.0,2.0,1.0,8.0,2.0,4,23,9.0,32,5.0,4.0,12,11.0,73,4.0,3,5,8,4,12,1.0,12,6.0,6.0,10,1.0,8.0,3,1.0,2.0,13,1.0,3.0,13,29,1.0,1.0,6,1.0,4,2.0,1.0,1.0,1.0,1.0,2,60,3.0,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.21428571428571427,1.0,0.23076923076923078,0.2692307692307692,0.6666666666666666,0.25,0.2875,0.875,0.14285714285714285,0.30952380952380953,0.875,0.14285714285714285,0.35,0.15384615384615385,0.5714285714285714,15.942028985507246,0.7692307692307693,0.06329113924050633,0.043010752688172046,0.06666666666666667,0.06451612903225806,0.02962962962962963,0.03225806451612903,0.043478260869565216,0.05128205128205128,0.03333333333333333,0.13043478260869565,0.038461538461538464,0.08108108108108109,0.041666666666666664,1.0,0.175,0.14285714285714285,0.3333333333333333,0.125,0.6,0.6,0.3333333333333333,0.35,0.21428571428571427,0.21428571428571427,0.3333333333333333,0.125,0.2,0.2,0.225,0.2222222222222222,0.2222222222222222,1.0,0.5,0.5,0.25,1.0,1.0,0.14285714285714285,0.2857142857142857,0.525,0.25,0.4816282051282052,0.5166875,0.42460000000000003,0.047619047619047616,0.07142857142857142,0.2692307692307692,0.07692307692307693,12.961538461538462,25.785714285714285,0.19672131147540983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
200746,1610612757,LaMarcus Aldridge,LaMarcus Aldridge,200746,POR,30993.0,517,-3,982,975,243,247,91,1957,37,54,13.0,17.0,34.0,70.0,51,116,,2.0,1.0,,2.0,,1.0,,122,240,,4.0,53.0,297,1083,17.0,26,,2.0,44,33,62,1.0,84,110,134,,,20.0,,2.0,,5,12,17.0,29,13.0,4.0,7,3.0,75,18.0,23,67,101,25,126,5.0,10,1.0,9.0,12,3.0,3.0,14,1.0,9.0,26,1.0,5.0,21,36,4.0,1.0,61,1.0,65,33.0,17.0,11.0,17.0,10.0,84,243,,0.45081967213114754,0.49107142857142855,,,,,0.5083333333333333,0.6538461538461539,0.532258064516129,0.5,0.6071428571428571,0.5238095238095238,0.5462962962962963,0.6666666666666666,0.5915492957746479,0.01639344262295082,0.020833333333333332,0.09259259259259259,27.155963302752294,0.46153846153846156,0.2126984126984127,0.05732484076433121,0.19008264462809918,0.20642201834862386,0.05581395348837209,0.0891089108910891,0.04938271604938271,0.03787878787878788,0.1391304347826087,0.2692307692307692,0.2459016393442623,0.19101123595505617,0.043859649122807015,0.5882352941176471,0.22131147540983606,0.6851851851851852,0.7551020408163265,0.28688524590163933,0.4857142857142857,0.4857142857142857,0.23529411764705882,0.47540983606557374,0.4396551724137931,0.4396551724137931,0.6078431372549019,0.00819672131147541,,,0.00819672131147541,,,,0.6071428571428571,0.7647058823529411,0.03571428571428571,,,0.015873015873015872,,0.23770491803278687,,0.4492997950819674,0.5254704545454545,0.4279380952380953,0.12359550561797752,0.12547528517110265,0.14814814814814814,0.2828282828282828,11.631666666666668,26.150000000000002,0.24745417515274948,8.0,10.0,1.0,10.0,18.0,2.0,6.0,1.0,11.0,1.0,5.0,2.0,3.0,1.0,10.0,3.0,3.0,6.0,1.0,3.0,0.3793103448275862,0.034482758620689655,0.05172413793103448,0.07058823529411765,0.1875,0.43243243243243246,0.07692307692307693,0.03571428571428571,0.15873015873015872,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
201587,1610612757,Nicolas Batum,Nicolas Batum,201587,POR,40045.0,667,-9,1287,1272,341,347,128,2559,28,44,8.0,11.0,1.0,7.0,20,51,17.0,29.0,11.0,32.0,82.0,2.0,6.0,23.0,49,102,49.0,111.0,54.0,299,1363,11.0,16,4.0,9.0,40,10,18,34.0,90,50,48,138.0,9.0,10.0,,82.0,32.0,5,60,17.0,77,11.0,6.0,31,13.0,171,14.0,18,48,79,20,99,1.0,22,16.0,6.0,35,6.0,25.0,19,5.0,10.0,54,2.0,10.0,10,33,3.0,2.0,46,1.0,61,21.0,20.0,19.0,21.0,13.0,90,341,5.0,0.5102040816326531,0.5681818181818182,0.9387755102040817,0.44144144144144143,0.4444444444444444,0.44144144144144143,0.4803921568627451,0.6875,0.5555555555555556,0.5751173708920188,0.68,0.6538461538461539,0.6150627615062761,0.7142857142857143,0.703125,0.5211267605633803,0.049019607843137254,0.06818181818181818,20.48951048951049,0.6481481481481481,0.11241217798594848,0.03723404255319149,0.0989010989010989,0.10837438423645321,0.03423423423423423,0.015873015873015872,0.0449438202247191,0.049689440993788817,0.09937888198757763,0.14563106796116504,0.10429447852760736,0.10077519379844961,0.009345794392523364,0.6190476190476191,0.20657276995305165,0.6363636363636364,0.6829268292682927,0.03286384976525822,0.14285714285714285,0.16666666666666666,,0.23943661971830985,0.39215686274509803,0.4,0.6,0.13615023474178403,0.5862068965517241,0.5862068965517241,0.38497652582159625,0.3902439024390244,0.3902439024390244,0.90625,0.44,0.7272727272727273,0.24,0.3333333333333333,1.0,0.21153846153846154,0.4423076923076923,0.7276995305164319,0.3902439024390244,0.535918544600939,0.5541850000000001,0.5447961538461538,0.09871244635193133,0.17355371900826447,0.13377926421404682,0.3010033444816054,10.598039215686274,24.740540540540536,0.26495726495726496,5.0,8.0,3.0,6.0,22.0,16.0,5.0,1.0,13.0,1.0,3.0,,1.0,1.0,2.0,5.0,6.0,1.0,2.0,6.0,0.2549019607843137,0.027777777777777776,0.027932960893854747,0.015037593984962405,0.09433962264150944,0.4642857142857143,0.125,0.12,0.15384615384615385,0.625,2.0,8.0,8.0,16.0,1.0,1.0,2.0,1.0,1.0,0.47058823529411764,0.14285714285714285,0.0196078431372549,0.06521739130434782,1.0,0.6666666666666666,1.0,0.7272727272727273,0.34782608695652173,0.017857142857142856,,,,,,,,,,True,,
201964,1610612757,Victor Claver,Victor Claver,201964,POR,18874.0,315,-54,598,602,141,118,58,1200,15,25,4.0,6.0,2.0,5.0,5,10,2.0,15.0,4.0,7.0,21.0,2.0,3.0,1.0,22,40,9.0,36.0,5.0,76,672,5.0,7,2.0,3.0,16,3,5,5.0,9,26,18,27.0,,6.0,,21.0,7.0,5,16,2.0,18,,2.0,9,4.0,38,8.0,8,31,40,10,50,1.0,4,4.0,,12,1.0,9.0,7,3.0,3.0,19,1.0,5.0,16,31,,1.0,10,,11,5.0,5.0,4.0,5.0,1.0,9,141,1.0,0.5909090909090909,0.6842105263157895,1.0,0.25,0.6666666666666666,0.25,0.55,0.7142857142857143,0.6,0.46710526315789475,0.8,0.45,0.4691358024691358,0.8,0.4090909090909091,0.47368421052631576,0.125,0.2,15.037593984962406,0.631578947368421,0.1657754010695187,0.04519774011299435,0.10666666666666667,0.14885496183206107,0.03816793893129771,0.058823529411764705,0.06818181818181818,0.024390243902439025,0.18867924528301888,0.19298245614035087,0.12987012987012986,0.1016949152542373,0.025,0.2,0.32894736842105265,0.6,0.75,0.06578947368421052,0.4,0.4,0.5,0.13157894736842105,0.5,0.5,0.6,0.19736842105263158,0.13333333333333333,0.13333333333333333,0.27631578947368424,0.3333333333333333,0.3333333333333333,1.0,0.6,0.6666666666666666,0.3,0.6666666666666666,1.0,0.4,0.1,0.8026315789473685,0.3333333333333333,0.571641447368421,0.5742999999999999,0.653635,0.0625,0.11363636363636363,0.21052631578947367,0.11842105263157894,6.1325,24.450000000000003,0.23578595317725753,3.0,5.0,,,,3.0,2.0,,1.0,3.0,,,1.0,,1.0,,1.0,1.0,,1.0,0.05263157894736842,,0.023529411764705882,0.03278688524590164,0.125,0.6,0.25,,0.5,0.6,,1.0,,1.0,,,,,,0.2,,,,1.0,,,0.25,,,1.0,1.0,,,,,,,,True,,
203086,1610612757,Meyers Leonard,Meyers Leonard,203086,POR,72376.0,1206,-152,2302,2295,575,589,234,4597,97,141,14.0,34.0,23.0,53.0,28,76,1.0,2.0,1.0,2.0,5.0,1.0,1.0,4.0,148,270,3.0,7.0,72.0,377,2525,17.0,43,1.0,1.0,49,25,52,5.0,92,258,38,9.0,,26.0,1.0,4.0,2.0,19,18,15.0,33,11.0,4.0,8,6.0,81,57.0,54,96,175,80,255,5.0,11,9.0,2.0,22,3.0,17.0,27,2.0,5.0,49,8.0,14.0,87,168,1.0,13.0,89,4.0,89,33.0,38.0,25.0,38.0,23.0,92,575,8.0,0.8716216216216216,0.9555555555555556,1.0,0.42857142857142855,1.0,0.5,0.5481481481481482,0.3953488372093023,0.4807692307692308,0.5505415162454874,0.42045454545454547,0.4649122807017544,0.5930599369085173,0.46226415094339623,0.575,0.02527075812274368,0.07037037037037037,0.12056737588652482,14.224640497473766,0.4489795918367347,0.13426573426573427,0.07818930041152264,0.17363344051446947,0.14619883040935672,0.07407407407407407,0.09322033898305085,0.0962566844919786,0.05555555555555555,0.116,0.1276595744680851,0.1552346570397112,0.15418502202643172,0.05,0.6052631578947368,0.5090252707581228,0.6879432624113475,0.782258064516129,0.19133574007220217,0.4339622641509434,0.45098039215686275,0.9565217391304348,0.2743682310469314,0.3684210526315789,0.3684210526315789,0.8928571428571429,0.007220216606498195,0.5,0.5,0.018050541516245487,0.4,0.4,1.0,0.7727272727272727,0.4117647058823529,0.022727272727272728,1.0,1.0,0.017543859649122806,0.07017543859649122,0.5342960288808665,0.5,0.5321254545454546,0.5648152777777778,0.5317599999999999,0.10963455149501661,0.11224489795918367,0.129973474801061,0.2440318302387268,7.449629629629629,35.21428571428571,0.24978279756733276,19.0,29.0,,12.0,39.0,4.0,21.0,2.0,25.0,1.0,13.0,18.0,11.0,2.0,9.0,1.0,16.0,13.0,1.0,15.0,0.2976190476190476,0.03636363636363636,0.06481481481481481,0.058333333333333334,0.2261904761904762,0.845360824742268,0.07142857142857142,,0.5087719298245614,0.6551724137931034,,,1.0,1.0,1.0,,,,,0.2,0.03773584905660377,,0.08333333333333333,1.0,,,,0.25,,3.0,2.0,1.0,5.0,,,,,,True,,
202083,1610612757,Wesley Matthews,Wesley Matthews,202083,POR,33253.0,554,-59,1038,1024,229,232,109,2062,27,48,4.0,7.0,6.0,17.0,11,24,9.0,27.0,3.0,24.0,68.0,2.0,7.0,15.0,44,89,33.0,95.0,41.0,228,1186,4.0,8,2.0,10.0,17,11,19,18.0,47,30,58,90.0,9.0,2.0,1.0,67.0,24.0,11,25,11.0,36,6.0,5.0,11,12.0,83,1.0,13,22,38,4,42,,24,12.0,12.0,10,5.0,6.0,9,3.0,4.0,19,2.0,3.0,11,27,,2.0,49,2.0,50,16.0,1.0,1.0,1.0,,47,229,2.0,0.3409090909090909,0.3488372093023256,0.9090909090909091,0.3473684210526316,0.2,0.35106382978723405,0.4943820224719101,0.5,0.5789473684210527,0.5081521739130435,0.3888888888888889,0.5,0.5487804878048781,0.40476190476190477,0.5465116279069767,0.5163043478260869,0.12359550561797752,0.14583333333333334,19.327006039689387,0.5263157894736842,0.06606606606606606,0.003115264797507788,0.10236220472440945,0.07608695652173914,0.008583690987124463,,,0.007751937984496124,0.06611570247933884,0.022727272727272728,0.0967741935483871,0.09782608695652174,,,0.2608695652173913,0.5625,0.6585365853658537,0.09239130434782608,0.35294117647058826,0.42857142857142855,0.16666666666666666,0.13043478260869565,0.4583333333333333,0.4782608695652174,0.2727272727272727,0.14673913043478262,0.3333333333333333,0.3333333333333333,0.3695652173913043,0.35294117647058826,0.35294117647058826,0.875,0.3888888888888889,0.5714285714285714,0.3888888888888889,0.2857142857142857,1.0,0.08108108108108109,0.40540540540540543,0.7771739130434783,0.3582089552238806,0.5400486111111114,0.5426392857142857,0.5499842857142857,0.0945273631840796,0.1553398058252427,0.07456140350877193,0.20614035087719298,7.600000000000001,25.268421052631577,0.220616570327553,7.0,10.0,3.0,3.0,10.0,2.0,3.0,,3.0,,1.0,,4.0,2.0,2.0,3.0,4.0,,,4.0,0.08571428571428572,,0.020689655172413793,0.01904761904761905,0.11428571428571428,0.4074074074074074,0.5,0.16666666666666666,0.2702702702702703,0.7,,1.0,4.0,5.0,,,3.0,,,0.2777777777777778,0.17647058823529413,0.041666666666666664,0.025,1.0,,,0.3333333333333333,0.26666666666666666,0.030612244897959183,,,,,,,,,,True,,
203081,1610612757,Damian Lillard,Damian Lillard,203081,POR,47200.0,787,-118,1507,1497,369,398,144,3004,50,97,1.0,4.0,10.0,37.0,38,80,3.0,9.0,4.0,52.0,130.0,6.0,11.0,29.0,98,214,55.0,139.0,91.0,452,1700,3.0,10,6.0,13.0,28,31,65,33.0,118,44,152,84.0,81.0,,2.0,128.0,52.0,24,86,48.0,134,34.0,14.0,50,29.0,316,8.0,25,34,60,13,73,4.0,15,10.0,5.0,51,14.0,37.0,29,3.0,14.0,80,8.0,20.0,17,39,5.0,,78,3.0,102,40.0,4.0,2.0,5.0,4.0,118,369,3.0,0.22448979591836735,0.22448979591836735,0.509090909090909,0.39568345323741005,0.46153846153846156,0.40145985401459855,0.45794392523364486,0.3,0.47692307692307695,0.5113314447592068,0.5217391304347826,0.4387755102040816,0.5620253164556962,0.54,0.5175438596491229,0.3937677053824363,0.11214953271028037,0.16494845360824742,28.29850746268657,0.6375,0.0709812108559499,0.01762114537444934,0.12315270935960591,0.08651026392961877,0.01772525849335303,0.033112582781456956,0.017857142857142856,0.005235602094240838,0.09090909090909091,0.047244094488188976,0.06951871657754011,0.13194444444444445,0.023529411764705882,0.8,0.2747875354107649,0.5154639175257731,0.6172839506172839,0.1048158640226629,0.2702702702702703,0.3333333333333333,0.3,0.22662889518413598,0.475,0.4810126582278481,0.15789473684210525,0.025495750708215296,0.3333333333333333,0.3333333333333333,0.36827195467422097,0.4,0.40625,0.5,0.17391304347826086,0.25,0.4782608695652174,0.5454545454545454,0.8333333333333334,0.04081632653061224,0.29591836734693877,0.6685552407932012,0.40625,0.5159854700854702,0.4835264705882352,0.5035942708333332,0.10824742268041238,0.16194331983805668,0.061946902654867256,0.2610619469026549,9.540654205607478,25.763309352517993,0.24485733244857333,20.0,34.0,2.0,4.0,32.0,7.0,4.0,1.0,1.0,1.0,1.0,,2.0,3.0,7.0,9.0,7.0,2.0,,6.0,0.01639344262295082,0.03225806451612903,0.017937219730941704,0.022988505747126436,0.1016949152542373,0.26,,0.08695652173913043,0.3469387755102041,0.5882352941176471,,1.0,7.0,8.0,3.0,,2.0,1.0,,0.24242424242424243,0.1891891891891892,0.0125,,0.6666666666666666,,,0.25,0.2413793103448276,0.014184397163120567,,,,,2.0,2.0,1.0,0.014388489208633094,0.015384615384615385,True,,
203115,1610612757,Will Barton,Will Barton,203115,POR,27442.0,457,-103,877,880,235,197,92,1757,34,65,5.0,8.0,10.0,34.0,11,28,6.0,14.0,2.0,,22.0,,2.0,10.0,55,127,6.0,36.0,28.0,156,948,6.0,12,,3.0,18,9,26,12.0,26,70,40,18.0,,8.0,5.0,17.0,,15,23,9.0,32,7.0,2.0,14,6.0,73,10.0,19,43,62,15,77,2.0,23,14.0,9.0,22,9.0,11.0,17,1.0,11.0,39,4.0,11.0,9,27,1.0,,26,,37,18.0,4.0,4.0,4.0,3.0,26,235,7.0,0.6363636363636364,0.6862745098039216,1.0,0.16666666666666666,,0.1935483870967742,0.4330708661417323,0.5,0.34615384615384615,0.39263803680981596,0.4,0.23684210526315788,0.43333333333333335,0.5,0.3023255813953488,0.22085889570552147,0.11811023622047244,0.15384615384615385,22.143579373104146,0.5641025641025641,0.16862745098039217,0.033003300330033,0.15833333333333333,0.16533333333333333,0.03537735849056604,0.05263157894736842,0.022222222222222223,0.025423728813559324,0.13253012048192772,0.1506849315068493,0.21212121212121213,0.1797752808988764,0.025974025974025976,0.75,0.3987730061349693,0.5230769230769231,0.6181818181818182,0.2085889570552147,0.29411764705882354,0.3225806451612903,0.5,0.17177914110429449,0.39285714285714285,0.4230769230769231,0.8181818181818182,0.08588957055214724,0.42857142857142855,0.42857142857142855,0.13496932515337423,,,,0.5333333333333333,0.625,0.13333333333333333,,,0.05263157894736842,0.2631578947368421,0.6196319018404908,,0.5170756329113925,0.5162333333333334,0.486525,0.10112359550561797,0.1267605633802817,0.11538461538461539,0.16666666666666666,7.229133858267715,28.238888888888887,0.26795895096921324,5.0,16.0,1.0,6.0,8.0,3.0,5.0,,,3.0,1.0,1.0,,1.0,3.0,,2.0,,1.0,1.0,,,0.04132231404958678,0.053763440860215055,0.0967741935483871,0.6176470588235294,,0.06666666666666667,0.42105263157894735,0.3125,,,,,1.0,,,,,,0.08823529411764706,0.07142857142857142,,1.0,,,,,,,,,,,,,,,True,,
2562,1610612757,Sasha Pavlovic,Sasha Pavlovic,2562,POR,11174.0,186,-62,346,356,95,114,39,702,7,11,2.0,2.0,1.0,6.0,3,10,7.0,11.0,4.0,5.0,12.0,1.0,2.0,2.0,11,27,12.0,23.0,1.0,59,420,2.0,2,2.0,3.0,10,2,8,6.0,13,8,14,33.0,3.0,4.0,,12.0,5.0,2,5,4.0,9,3.0,1.0,3,1.0,22,1.0,3,6,12,3,15,1.0,9,4.0,5.0,3,1.0,2.0,1,,1.0,4,,,9,17,,,5,,3,3.0,1.0,1.0,1.0,1.0,13,95,1.0,0.36363636363636365,0.4444444444444444,0.9166666666666666,0.5217391304347826,0.6666666666666666,0.5217391304347826,0.4074074074074074,1.0,0.25,0.58,1.0,0.4642857142857143,0.59,1.0,0.4642857142857143,0.46,0.07407407407407407,0.09090909090909091,13.775510204081632,0.75,0.06818181818181818,0.008264462809917356,0.057692307692307696,0.06428571428571428,0.011494252873563218,0.02564102564102564,,,0.0967741935483871,0.08695652173913043,0.029411764705882353,0.07894736842105263,0.041666666666666664,1.0,0.22,0.6363636363636364,0.7,0.12,0.16666666666666666,0.2,,0.2,0.3,0.3,1.0,0.22,0.6363636363636364,0.6363636363636364,0.24,0.4166666666666667,0.45454545454545453,0.8,0.4,1.0,0.4,0.5,1.0,0.2857142857142857,0.14285714285714285,0.68,0.4166666666666667,0.491306,0.54617,0.43873928571428567,0.06,0.1111111111111111,0.1694915254237288,0.22033898305084745,9.796296296296296,24.491304347826084,0.2745664739884393,1.0,2.0,1.0,,,1.0,1.0,1.0,3.0,,,,1.0,,3.0,,,,,,0.25,0.1111111111111111,0.018867924528301886,0.02702702702702703,,0.14285714285714285,,0.2,0.14285714285714285,0.5,1.0,2.0,1.0,3.0,,,,,,0.5,0.16666666666666666,,,1.0,1.0,1.0,0.5,0.5,,,,,,1.0,,,0.043478260869565216,0.08333333333333333,True,,
202337,1610612757,Luke Babbitt,Luke Babbitt,202337,POR,12860.0,214,-35,420,415,119,117,44,835,2,3,,,,1.0,9,19,6.0,19.0,4.0,9.0,23.0,,,8.0,11,23,15.0,42.0,7.0,74,421,3.0,5,,,8,2,5,12.0,23,12,10,45.0,,,,23.0,9.0,2,5,6.0,11,4.0,2.0,2,1.0,28,4.0,15,20,37,8,45,,4,1.0,3.0,1,3.0,,3,,1.0,4,,1.0,10,21,,1.0,6,,8,2.0,,,,,23,119,2.0,0.5454545454545454,0.5454545454545454,1.0,0.35714285714285715,,0.35714285714285715,0.4782608695652174,0.6,0.4,0.5153846153846153,0.6,0.5588235294117647,0.5362318840579711,0.6666666666666666,0.6052631578947368,0.6461538461538462,0.08695652173913043,0.3333333333333333,15.565031982942429,0.25,0.16,0.028985507246376812,0.24193548387096775,0.18716577540106952,0.037209302325581395,,,0.06666666666666667,0.13333333333333333,0.24242424242424243,0.1276595744680851,0.26666666666666666,,,0.046153846153846156,0.6666666666666666,1.0,0.015384615384615385,,,,0.2923076923076923,0.47368421052631576,0.47368421052631576,0.5555555555555556,0.2923076923076923,0.3157894736842105,0.3157894736842105,0.35384615384615387,0.391304347826087,0.391304347826087,1.0,,,,,,0.23529411764705882,0.47058823529411764,0.6923076923076923,0.391304347826087,0.5096469230769232,0.40663333333333335,0.519464705882353,0.029850746268656716,0.08,0.10810810810810811,0.3108108108108108,16.178260869565214,24.435714285714283,0.2833333333333333,1.0,1.0,,2.0,4.0,2.0,4.0,,2.0,,,1.0,2.0,,,,2.0,,,2.0,0.11764705882352941,,0.05194805194805195,0.061224489795918366,0.17647058823529413,0.5,,,0.058823529411764705,1.0,,1.0,4.0,5.0,,,,,,0.4166666666666667,1.0,,0.03571428571428571,1.0,,,0.25,0.5,,,,,,,,,,,True,,
