EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SelfOReb,OffAtRimReboundPct,SelfORebPct,PenaltyAtRimFGM,LostBallOutOfBoundsTurnovers,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,AtRimPctAssisted,PenaltyAtRimAccuracy,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,Travels,PenaltyCorner3FGM,FTDefRebounds,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,StepOutOfBoundsTurnovers,BlockedLongMidRange,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,3SecondViolations,Clear Path Fouls,Arc3PctBlocked
1713,1610612742,Vince Carter,Vince Carter,1713,DAL,10368.0,173,4.0,334,327,112.0,134,37,661,4.0,11.0,2.0,3.0,2.0,6.0,17.0,9.0,19.0,2.0,9.0,1.0,4.0,16.0,32.0,2.0,5.0,3.0,6.0,19.0,47,18.0,41.0,13.0,105.0,339,3.0,5.0,2.0,6.0,12.0,3.0,11.0,3.0,10.0,6.0,21.0,4.0,34.0,51.0,3.0,2.0,1.0,31.0,16.0,3.0,9.0,3.0,12.0,2.0,1.0,6.0,1.0,2.0,27.0,2.0,1.0,1.0,7.0,11.0,18.0,4.0,22.0,6.0,3.0,3.0,8.0,1.0,5.0,3.0,3.0,11.0,1.0,4.0,16.0,2.0,21.0,1.0,1.0,16.0,1.0,18.0,1.0,1.0,7.0,2.0,4.0,1.0,1.0,2.0,2.0,5.0,3.0,1.0,21.0,112.0,2.0,0.10526315789473684,0.1111111111111111,0.9444444444444444,0.43902439024390244,0.3333333333333333,0.3,0.45,0.40425531914893614,0.6,0.2727272727272727,0.5227272727272727,0.5454545454545454,0.35714285714285715,0.5416666666666666,0.5454545454545454,0.4375,0.4659090909090909,0.06382978723404255,0.09090909090909091,0.11764705882352941,28.68632707774799,0.7272727272727273,0.07692307692307693,0.09821428571428571,0.010309278350515464,0.1590909090909091,0.03278688524590164,0.11538461538461539,0.0189873417721519,0.02857142857142857,0.04878048780487805,0.08108108108108109,0.08571428571428572,0.125,0.13157894736842105,0.3333333333333333,0.6,0.125,0.36363636363636365,0.4,0.19318181818181818,0.35294117647058826,0.4,0.2159090909090909,0.47368421052631576,0.47368421052631576,0.2222222222222222,0.10227272727272728,0.2222222222222222,0.2222222222222222,1.0,0.36363636363636365,0.5,0.5,0.9375,0.2727272727272727,0.6666666666666666,0.09090909090909091,0.45454545454545453,0.4,1.0,0.09523809523809523,0.19047619047619047,0.2857142857142857,0.5,0.5909090909090909,0.5161290322580645,0.4915442528735631,0.5391071428571429,0.4819714285714286,0.07446808510638298,0.1320754716981132,0.11428571428571428,0.2,11.57872340425532,26.463414634146343,0.33532934131736525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1882,1610612742,Elton Brand,Elton Brand,1882,DAL,2048.0,34,4.0,64,66,13.0,11,8,130,1.0,3.0,1.0,3.0,,1.0,3.0,1.0,3.0,,,,,,,,,,,3.0,9,,,7.0,13.0,65,1.0,3.0,,,2.0,,1.0,,,2.0,2.0,2.0,4.0,,,2.0,,,,,3.0,1.0,4.0,1.0,,3.0,,,9.0,1.0,5.0,,1.0,8.0,9.0,6.0,15.0,3.0,2.0,1.0,1.0,,,,1.0,1.0,,,2.0,,2.0,,,5.0,,9.0,1.0,,4.0,1.0,3.0,,,2.0,1.0,3.0,3.0,,2.0,13.0,1.0,0.3333333333333333,0.5,,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.5,0.3333333333333333,0.3333333333333333,,,,,18.666666666666668,1.0,,0.2857142857142857,0.2,0.2,0.09090909090909091,0.2727272727272727,0.16666666666666666,,0.1,0.5555555555555556,0.2857142857142857,0.08333333333333333,0.3333333333333333,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,0.3333333333333333,,0.4429222222222222,0.5295333333333333,0.3794,0.3333333333333333,0.3333333333333333,0.15384615384615385,0.15384615384615385,9.38888888888889,,0.203125,2.0,0.45454545454545453,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
201564,1610612742,O.J. Mayo,O.J. Mayo,201564,DAL,7948.0,132,-29.0,249,242,64.0,65,20,491,5.0,9.0,,1.0,3.0,5.0,8.0,5.0,16.0,,4.0,,1.0,8.0,20.0,,1.0,2.0,8.0,15.0,33,8.0,24.0,13.0,67.0,270,1.0,2.0,,1.0,2.0,4.0,7.0,2.0,9.0,2.0,16.0,8.0,22.0,24.0,,,,20.0,8.0,2.0,3.0,2.0,5.0,2.0,,3.0,,,12.0,,2.0,,4.0,8.0,12.0,2.0,14.0,2.0,1.0,1.0,5.0,,4.0,2.0,1.0,7.0,1.0,2.0,6.0,1.0,11.0,,,13.0,,14.0,3.0,,6.0,1.0,3.0,,,2.0,1.0,3.0,2.0,,16.0,64.0,1.0,0.26666666666666666,0.26666666666666666,1.0,0.3333333333333333,,0.2222222222222222,0.3333333333333333,0.45454545454545453,0.5,0.5714285714285714,0.47368421052631576,0.3333333333333333,0.4375,0.5403225806451613,0.3333333333333333,0.47058823529411764,0.42105263157894735,0.06060606060606061,0.1111111111111111,,25.746268656716417,0.7142857142857143,,0.0851063829787234,0.02857142857142857,0.1,,0.08955223880597014,0.01834862385321101,0.03225806451612903,,0.08571428571428572,0.14814814814814814,0.03125,0.13793103448275862,,0.6666666666666666,0.15789473684210525,0.5555555555555556,0.625,0.14035087719298245,0.625,0.625,0.2807017543859649,0.3125,0.3333333333333333,0.6,0.07017543859649122,,,,0.3508771929824561,0.4,0.4,1.0,0.3333333333333333,,,0.3333333333333333,,,0.1875,0.0625,0.5,0.25,0.5789473684210527,0.4,0.518711403508772,0.44632499999999997,0.532015625,0.11475409836065574,0.16666666666666666,0.029850746268656716,0.23880597014925373,11.793939393939391,24.466666666666665,0.2570281124497992,,0.05,,2.0,1.0,1.0,1.0,1.0,1.0,0.0625,0.2,0.6666666666666666,0.04,,,,,,,,,,,,,,,,,,,,True,,,,,,,
201954,1610612742,Darren Collison,Darren Collison,201954,DAL,6545.0,109,-9.0,209,201,49.0,62,20,410,9.0,14.0,,,6.0,2.0,9.0,3.0,11.0,,,,,2.0,5.0,,,1.0,3.0,14.0,34,2.0,5.0,15.0,49.0,226,,1.0,,,2.0,5.0,13.0,1.0,3.0,8.0,21.0,6.0,22.0,3.0,3.0,,,5.0,2.0,4.0,8.0,11.0,19.0,10.0,1.0,4.0,,4.0,49.0,,,,1.0,4.0,5.0,,5.0,7.0,5.0,2.0,6.0,3.0,6.0,7.0,,13.0,1.0,1.0,3.0,,6.0,1.0,1.0,15.0,,17.0,2.0,1.0,7.0,2.0,,,,,,,,,21.0,49.0,2.0,0.21428571428571427,0.21428571428571427,0.5,0.4,,0.3333333333333333,0.4,0.4117647058823529,,0.38461538461538464,0.4358974358974359,,0.40625,0.5217391304347826,0.5,0.525,0.1282051282051282,0.11764705882352941,0.14285714285714285,0.2222222222222222,25.991189427312776,0.46153846153846156,,0.05555555555555555,,0.03225806451612903,,0.04854368932038835,,,,0.03225806451612903,0.05263157894736842,0.09090909090909091,,0.14285714285714285,,0.358974358974359,0.6428571428571429,0.75,0.23076923076923078,0.2222222222222222,0.2857142857142857,0.28205128205128205,0.2727272727272727,0.2727272727272727,0.3333333333333333,,,,,0.1282051282051282,0.4,0.4,0.5,,,,,,,0.375,,0.1875,0.3333333333333333,0.48717948717948717,0.4,0.4872205128205128,0.3915,0.451078125,0.1590909090909091,0.1794871794871795,0.04081632653061224,0.42857142857142855,8.658823529411766,28.580000000000002,0.23444976076555024,,,,3.0,,,1.0,,,,0.2222222222222222,0.5,,2.0,3.0,,,,,,,,,,,,,,,,,,True,,,,,,,
2211,1610612742,Troy Murphy,Troy Murphy,2211,DAL,15360.0,256,-20.0,489,483,134.0,176,51,972,5.0,9.0,2.0,3.0,2.0,1.0,2.0,5.0,15.0,3.0,10.0,,6.0,8.0,25.0,1.0,4.0,1.0,6.0,11.0,26,11.0,35.0,10.0,65.0,512,2.0,5.0,1.0,4.0,7.0,1.0,6.0,3.0,12.0,1.0,12.0,16.0,6.0,33.0,,4.0,,25.0,8.0,1.0,3.0,4.0,7.0,4.0,,1.0,2.0,,18.0,3.0,2.0,2.0,15.0,22.0,42.0,7.0,49.0,10.0,7.0,3.0,5.0,2.0,3.0,2.0,2.0,7.0,1.0,3.0,18.0,,29.0,2.0,,10.0,,11.0,1.0,,5.0,1.0,6.0,,,5.0,1.0,6.0,3.0,,12.0,134.0,1.0,0.7272727272727273,0.8888888888888888,1.0,0.3142857142857143,0.25,0.25,0.3142857142857143,0.4230769230769231,0.4,0.16666666666666666,0.45081967213114754,0.3888888888888889,0.3055555555555556,0.49242424242424243,0.3888888888888889,0.3157894736842105,0.5737704918032787,0.038461538461538464,0.1111111111111111,,13.419117647058822,0.7142857142857143,0.125,0.13580246913580246,0.013513513513513514,0.21428571428571427,0.03614457831325301,0.15948275862068967,0.021645021645021644,0.017241379310344827,0.017543859649122806,0.10344827586206896,0.10204081632653061,0.2,0.21052631578947367,0.23076923076923078,0.5,0.14754098360655737,0.5555555555555556,0.625,0.03278688524590164,0.5,0.5,0.2459016393442623,0.3333333333333333,0.3333333333333333,1.0,0.16393442622950818,0.3,0.3,1.0,0.4098360655737705,0.32,0.32,1.0,0.3333333333333333,0.6666666666666666,,0.4444444444444444,0.25,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.7213114754098361,0.32,0.5185680327868853,0.5564899999999999,0.5246,0.07692307692307693,0.16666666666666666,0.1076923076923077,0.18461538461538463,12.46153846153846,24.55142857142857,0.2740286298568507,1.0,,0.02631578947368421,,,,,,,,0.4,,,,,2.0,5.0,1.0,2.0,0.21739130434782608,0.02040816326530612,0.07692307692307693,1.0,0.3333333333333333,,,,,,,,,True,,,,,,,
202346,1610612742,Dominique Jones,Dominique Jones,202346,DAL,4347.0,72,5.0,131,135,43.0,46,18,266,6.0,13.0,1.0,1.0,4.0,5.0,10.0,,2.0,,2.0,,1.0,,2.0,,,,1.0,11.0,25,,4.0,5.0,27.0,138,2.0,2.0,,,4.0,4.0,8.0,,2.0,3.0,11.0,8.0,14.0,,,,1.0,1.0,,2.0,8.0,15.0,23.0,10.0,5.0,4.0,,4.0,61.0,,7.0,,1.0,4.0,6.0,7.0,13.0,4.0,3.0,1.0,5.0,1.0,5.0,4.0,,9.0,1.0,2.0,2.0,,8.0,1.0,,9.0,,12.0,,,5.0,1.0,1.0,,,1.0,,1.0,1.0,,11.0,43.0,1.0,0.36363636363636365,0.36363636363636365,,,,,,0.44,1.0,0.5,0.3793103448275862,1.0,0.4,0.38571428571428573,0.6666666666666666,0.4230769230769231,0.13793103448275862,0.08,0.15384615384615385,,28.57142857142857,0.5555555555555556,,0.07407407407407407,0.2,0.05263157894736842,,0.0684931506849315,0.1076923076923077,,,0.05263157894736842,0.1111111111111111,0.058823529411764705,0.06666666666666667,,1.0,0.4482758620689655,0.46153846153846156,0.5454545454545454,0.3448275862068966,0.5,0.5,0.06896551724137931,,,,0.06896551724137931,,,,0.06896551724137931,,,,0.5,1.0,,,,,0.4,0.1,0.1,,0.5862068965517241,,0.517030357142857,0.5672,0.5384222222222221,0.14705882352941177,0.16666666666666666,0.14814814814814814,0.4074074074074074,5.604000000000001,34.025,0.3282442748091603,1.0,0.23076923076923078,0.07142857142857142,2.0,1.0,1.0,,,,,0.6666666666666666,0.5,,,1.0,,1.0,1.0,,0.125,0.3076923076923077,,,,1.0,0.25,0.5,1.0,,,,,True,,,,,,,
203109,1610612742,Jae Crowder,Jae Crowder,203109,DAL,3664.0,61,-9.0,121,120,26.0,55,14,241,3.0,3.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,2.0,7.0,1.0,1.0,,,6.0,7,3.0,8.0,3.0,24.0,131,1.0,1.0,1.0,1.0,5.0,,,1.0,1.0,1.0,4.0,10.0,2.0,6.0,3.0,,,7.0,2.0,,3.0,,3.0,,,1.0,1.0,1.0,6.0,,,,1.0,4.0,5.0,,5.0,2.0,1.0,1.0,4.0,,2.0,,2.0,4.0,,2.0,6.0,,6.0,,,5.0,,4.0,,,1.0,1.0,,,,,,,,,4.0,26.0,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.375,1.0,1.0,0.375,0.8571428571428571,1.0,,0.7,1.25,1.5,0.7058823529411765,1.25,1.0,0.5333333333333333,,,,15.671641791044776,1.0,,0.10526315789473684,,0.05263157894736842,,0.08771929824561403,,,,0.15384615384615385,0.07692307692307693,0.08333333333333333,,0.25,,0.2,1.0,1.0,0.13333333333333333,0.5,0.5,0.13333333333333333,1.0,1.0,0.5,0.06666666666666667,1.0,1.0,1.0,0.4666666666666667,0.2857142857142857,0.2857142857142857,0.5,,,,0.5,1.0,1.0,,1.0,,,0.7333333333333333,0.2857142857142857,0.5668366666666667,0.512725,0.60435,0.0625,0.125,0.20833333333333334,0.16666666666666666,9.057142857142859,25.025,0.21487603305785125,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,True,,,,,,,
2563,1610612742,Dahntay Jones,Dahntay Jones,2563,DAL,4742.0,79,,150,153,50.0,70,19,303,3.0,4.0,,1.0,1.0,,1.0,2.0,2.0,,3.0,,1.0,1.0,1.0,,,,,5.0,7,1.0,4.0,10.0,23.0,156,,1.0,,,3.0,1.0,1.0,,1.0,4.0,6.0,8.0,2.0,3.0,,,,1.0,1.0,,3.0,2.0,5.0,1.0,1.0,2.0,,1.0,12.0,1.0,3.0,,4.0,7.0,11.0,4.0,15.0,2.0,1.0,1.0,1.0,,,3.0,1.0,4.0,,3.0,4.0,,13.0,,2.0,13.0,,14.0,,,4.0,3.0,,,,,,,,,6.0,50.0,2.0,0.8,0.8,1.0,0.25,,,0.25,0.7142857142857143,,1.0,0.5909090909090909,,0.5,0.6388888888888888,0.5,0.6,0.36363636363636365,,,,12.64367816091954,0.25,,0.175,0.06,0.2222222222222222,0.03571428571428571,0.1896551724137931,0.05128205128205128,0.10526315789473684,0.05263157894736842,0.06666666666666667,0.36363636363636365,0.14285714285714285,0.25,,,0.36363636363636365,0.75,0.75,0.09090909090909091,,,0.18181818181818182,1.0,1.0,0.5,0.2727272727272727,,,,0.09090909090909091,1.0,1.0,1.0,1.0,,,,,,0.5,0.5,,,0.7272727272727273,1.0,0.5581,0.6413,0.6378,0.26666666666666666,0.36363636363636365,0.13043478260869565,0.2608695652173913,7.314285714285715,24.175,0.3333333333333333,,,,1.0,,1.0,1.0,4.0,,,1.0,1.0,,3.0,,,,2.0,3.0,,0.0625,,,,,,,,1.0,,,,True,,,,,,,
201958,1610612742,Rodrigue Beaubois,Rodrigue Beaubois,201958,DAL,5576.0,93,-13.0,184,183,50.0,79,18,367,3.0,8.0,,,2.0,2.0,7.0,,5.0,,,,,,6.0,,,,1.0,5.0,20,,6.0,5.0,15.0,174,,,,,,3.0,8.0,,1.0,1.0,7.0,,10.0,,,,1.0,5.0,,4.0,7.0,3.0,10.0,3.0,,3.0,,4.0,23.0,,,,3.0,6.0,10.0,,10.0,2.0,1.0,1.0,5.0,,1.0,,4.0,5.0,,,3.0,,9.0,1.0,,7.0,,7.0,1.0,,3.0,1.0,,,,,,,,,7.0,50.0,1.0,,,,,,,,0.25,,0.375,0.19230769230769232,,0.3333333333333333,0.25862068965517243,,0.35,0.23076923076923078,0.2,0.375,,16.666666666666668,1.0,,0.125,,0.1111111111111111,,0.12,,,,0.09090909090909091,0.058823529411764705,0.2,0.13043478260869565,,,0.3076923076923077,0.375,0.6,0.2692307692307692,0.2857142857142857,0.2857142857142857,0.19230769230769232,,,,,,,,0.23076923076923078,,,,,,,,,,0.2222222222222222,,0.1111111111111111,,0.5384615384615384,,0.487866,,0.4487444444444444,0.10714285714285714,0.13636363636363635,,0.4666666666666667,7.779999999999999,34.31666666666667,0.2717391304347826,,,,2.0,,,,,,0.2,,1.0,,,,,1.0,,3.0,0.1,,,,,,,,,,,,,True,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,2848.0,47,-9.0,90,88,7.0,15,6,178,3.0,4.0,1.0,1.0,,2.0,5.0,,,2.0,4.0,1.0,,,,,,,,5.0,9,2.0,4.0,2.0,18.0,102,1.0,1.0,1.0,1.0,5.0,,,,,,,8.0,2.0,6.0,,2.0,,,,,3.0,1.0,4.0,1.0,,,1.0,2.0,9.0,2.0,,,2.0,3.0,7.0,2.0,9.0,1.0,1.0,,5.0,1.0,3.0,1.0,2.0,6.0,,,2.0,,2.0,,,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,7.0,,0.8,1.0,1.0,0.5,1.0,,0.5,0.5555555555555556,1.0,,0.6153846153846154,1.25,,0.6538461538461539,1.25,,0.3076923076923077,,,,19.587628865979383,0.8333333333333334,,0.1,,0.16666666666666666,0.15384615384615385,0.11904761904761904,0.058823529411764705,,0.1111111111111111,0.15384615384615385,,0.1111111111111111,0.18181818181818182,,,0.3076923076923077,0.75,0.75,0.38461538461538464,0.4,0.4,,,,,0.3076923076923077,0.5,0.5,1.0,,,,,0.5,1.0,0.5,,,,,,,,0.6153846153846154,,0.5497384615384615,0.59565,,0.07692307692307693,0.1111111111111111,0.2777777777777778,,5.211111111111112,23.45,0.07777777777777778,,,,,,,,,,,0.6666666666666666,,,,,,2.0,,,1.0,,0.25,1.0,,,,,,,1.0,1.0,1.0,True,,,,,,,
