EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,OffPoss,PenaltyOffPoss,TotalPoss,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,SecondChanceFG3A,PenaltyFG2M,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,Arc3Assists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,BadPassSteals,BlockingFouls,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,PtsPutbacks,TwoPtAssists,AtRimAssists,OffAtRimReboundPct,DefCorner3ReboundPct,LongMidRangeAssists,OffThreePtRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffCorner3ReboundPct,LostBallTurnovers,BlockedLongMidRange,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceFtPoints,ShortMidRangeAssists,OffLongMidRangeReboundPct,on,HeaveAttempts,Fg2aBlocked,FTOffRebounds,Travels,SecondChanceTurnovers,Charge Fouls,Clear Path Fouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffArc3ReboundPct,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Fg3aBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3PctAssisted,HeaveMakes
101138,1610612738,Brandon Bass,Brandon Bass,101138,BOS,9.0,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201145,1610612738,Jeff Green,Jeff Green,201145,BOS,693.0,25,16.0,48,16.0,0.64,12.0,1.0,23.0,15.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,19.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,0.375,0.75,0.5,0.8333333333333334,0.25,19.23076923076923,0.375,0.14285714285714285,0.26666666666666666,0.42857142857142855,0.25,0.25,0.5,0.25,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.4212125,0.386075,0.2,0.25,1.0,14.633333333333333,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201584,1610612738,Courtney Lee,Courtney Lee,201584,BOS,2077.0,68,21.0,134,21.0,0.3088235294117647,35.0,-5.0,66.0,32.0,7.0,1.0,6.0,1.0,2.0,,1.0,10.0,4.0,6.0,,20.0,69.0,3.0,2.0,3.0,,8.0,9.0,2.0,1.0,1.0,1.0,,3.0,5.0,1.0,7.0,8.0,1.0,,2.0,1.0,8.0,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.6666666666666666,0.5882352941176471,0.6666666666666666,0.375,26.31578947368421,0.047619047619047616,0.38461538461538464,0.17647058823529413,0.08333333333333333,0.5,0.0625,0.375,0.125,0.5,0.5,,0.16666666666666666,,0.4375,0.5,0.4606375,0.46468333333333334,0.058823529411764705,0.09090909090909091,0.4,12.780000000000001,24.71666666666667,1.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,0.25,0.25,0.4,0.3333333333333333,0.3333333333333333,0.25,0.047619047619047616,0.037037037037037035,0.3333333333333333,0.14285714285714285,1.0,1.0,0.1875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.75,0.75,1.0,1.0,0.3333333333333333,1.0,0.60075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203097,1610612738,Fab Melo,Fab Melo,203097,BOS,2159.0,71,21.0,140,21.0,0.29577464788732394,36.0,-7.0,69.0,32.0,8.0,5.0,,,,,,6.0,,,1.0,7.0,71.0,1.0,,,,2.0,,,,,,,,,2.0,3.0,3.0,2.0,,4.0,2.0,2.0,,,,,0.5,1.0,0.4375,0.5,,11.25,0.08695652173913043,,0.05405405405405406,0.07142857142857142,,0.8333333333333334,,,,,,,,0.8333333333333334,,0.5679500000000001,0.4837,0.25,0.25,0.2857142857142857,2.9166666666666665,,3.0,,1.0,,,,,,,3.0,,1.0,6.0,,,,,1.0,,,2.0,1.0,,,,1.0,,1.0,,4.0,7.0,1.0,1.0,0.5,1.0,,0.25,,,,,0.6,0.6,0.16666666666666666,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,1610612738,Chris Wilcox,Chris Wilcox,2404,BOS,616.0,22,8.0,43,8.0,0.36363636363636365,10.0,-1.0,21.0,17.0,4.0,3.0,,,,,,3.0,,,,6.0,22.0,,,,,,,,,,1.0,,2.0,1.0,,2.0,5.0,,,,,,,,,,1.0,,1.0,,,11.538461538461538,,0.2,0.09090909090909091,,,1.0,,,,,,,,1.0,,0.6779666666666667,,,,,0.5,,3.0,,,,,,,,,3.0,,,,6.0,,,3.0,1.0,3.0,,,,,,,,,,,1.0,1.0,,,1.0,,,0.5,0.5,0.42857142857142855,1.0,,1.0,1.0,,,,,,,,,,,,,,0.6779666666666667,3.0,3.0,,,3.0,3.0,6.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,6.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612738,Jason Terry,Jason Terry,1891,BOS,240.0,9,,17,,,4.0,-3.0,8.0,,1.0,,,,1.0,,,,,1.0,,,8.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,,,,,,,,1.0,,,,,,1.0,,0.47565,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,1610612738,Leandro Barbosa,Leandro Barbosa,2571,BOS,456.0,16,,31,,,8.0,-7.0,15.0,7.0,3.0,2.0,,,,,,2.0,,,,,21.0,,,,,,,,,,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,10.526315789473685,,0.3333333333333333,0.1,,0.5,1.0,,,,,,,,1.0,,0.50545,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202340,1610612738,Avery Bradley,Avery Bradley,202340,BOS,537.0,19,9.0,37,9.0,0.47368421052631576,9.0,-2.0,18.0,15.0,3.0,1.0,1.0,,,,,2.0,,1.0,1.0,1.0,19.0,1.0,,,1.0,1.0,,,,1.0,2.0,1.0,5.0,1.0,,1.0,3.0,1.0,,2.0,,1.0,,,,,,,0.125,0.25,0.3333333333333333,22.727272727272727,,0.2,0.08333333333333333,,0.25,0.3333333333333333,0.3333333333333333,,,,,,,0.6666666666666666,,0.4755833333333333,0.3775,,,1.0,12.15,22.8,,,,,,1.0,,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,0.1111111111111111,0.2,,0.3333333333333333,,,,,,,,,0.3333333333333333,,,,,,,0.504,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,0.2,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201944,1610612738,Terrence Williams,Terrence Williams,201944,BOS,1694.0,54,20.0,108,20.0,0.37037037037037035,28.0,,54.0,25.0,5.0,3.0,5.0,,2.0,,1.0,9.0,,2.0,,8.0,50.0,3.0,,1.0,,6.0,,2.0,,2.0,4.0,1.0,10.0,2.0,2.0,4.0,4.0,1.0,,2.0,1.0,6.0,,,,,0.36363636363636365,0.75,0.3333333333333333,0.75,0.18181818181818182,26.666666666666668,0.125,0.18181818181818182,0.14814814814814814,0.125,0.1111111111111111,0.2727272727272727,0.45454545454545453,0.18181818181818182,,,,0.25,,0.45454545454545453,,0.49182500000000007,0.3487,0.08333333333333333,0.1,0.75,11.366666666666667,31.35,1.0,1.0,1.0,2.0,,,,,,4.0,,3.0,4.0,4.0,,1.0,,,,,1.0,,2.0,1.0,1.0,2.0,,4.0,2.0,2.0,2.0,0.5,0.5,0.4444444444444444,1.0,0.5,,,,,,0.3333333333333333,0.3333333333333333,0.09090909090909091,1.0,1.0,0.4,0.4,0.5,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,2.0,1.0,,0.5,1.0,,,,,,1.0,1.0,0.16666666666666666,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201591,1610612738,DJ White,DJ White,201591,BOS,1046.0,31,4.0,63,4.0,0.12903225806451613,17.0,-5.0,32.0,7.0,3.0,1.0,3.0,,,,,4.0,,,4.0,8.0,35.0,,,,,,,,,,1.0,,2.0,,1.0,1.0,3.0,2.0,,4.0,2.0,,,,,,0.5,,0.6666666666666666,,,17.142857142857142,0.1,,0.07142857142857142,,,0.25,0.75,,,,,,,0.25,,0.478975,,0.3333333333333333,0.3333333333333333,,15.025,,1.0,,,1.0,,,,,,2.0,,,2.0,2.0,,,1.0,,2.0,,,,,,,,,,,2.0,2.0,0.5,0.5,0.5,,,,0.09090909090909091,0.13333333333333333,,,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,0.7324,1.0,1.0,,,1.0,1.0,4.0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,0.5,,1.0,,,,,1.0,,,0.25,1.0,,,0.2,,2.0,1.0,0.125,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
