EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,AtRimFGM,Steals,BadPassSteals,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyPoints,PtsPutbacks,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PtsAssisted3s,Arc3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,PenaltyFg3Pct,OffAtRimReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyFtPoints,ShortMidRangeAssists,LostBallSteals,BlockingFouls,Offensive Fouls Drawn,BlockedShortMidRange,HeaveAttempts,Arc3PctAssisted,NonShootingPenaltyNonTakeFouls,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,OffThreePtRebounds,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,3SecondViolations,Fg3aBlocked,Clear Path Fouls,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked
1713,1610612742,Vince Carter,Vince Carter,1713,DAL,809.0,13,8,27,25,10.0,5.0,2.0,52,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,5.0,1.0,8.0,24,1.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,0.25,0.25,0.8,0.6666666666666666,0.6666666666666666,0.16666666666666666,24.13793103448276,1.0,0.2,0.125,0.2,0.15384615384615385,0.5,0.25,0.16666666666666666,0.16666666666666666,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.16666666666666666,0.5,0.5,0.3333333333333333,0.40882500000000005,0.465625,14.0,25.4,0.37037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,1610612742,Elton Brand,Elton Brand,1882,DAL,296.0,5,5,8,9,,,2.0,17,,,1.0,1.0,,,,,1.0,1.0,,2.0,8,,,,2.0,,,,,,,,1.0,1.0,,2.0,2.0,,,,,,,,,,1.0,1.0,1.0,,10.0,,,0.5,0.5,0.5,,,,1.0,1.0,1.0,,,,,,,,,0.4443,,5.6,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201564,1610612742,O.J. Mayo,O.J. Mayo,201564,DAL,519.0,9,2,17,17,1.0,1.0,2.0,34,,,,1.0,1.0,3.0,1.0,,1.0,4.0,1.0,5.0,20,,,,2.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,,,0.25,0.5,0.5,0.2,26.31578947368421,,,,,,,,,0.2,,,0.6,0.3333333333333333,0.3333333333333333,,0.2,,,0.2,0.44939,,14.95,26.6,0.058823529411764705,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201954,1610612742,Darren Collison,Darren Collison,201954,DAL,519.0,9,2,17,17,1.0,1.0,2.0,34,1.0,,,,,,,,1.0,1.0,,2.0,20,,,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,10.526315789473685,1.0,0.5,,,,,,1.0,,,,,,,,,,,1.0,0.7452,,2.8,,0.058823529411764705,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,1610612742,Eddy Curry,Eddy Curry,2201,DAL,1485.0,25,6,52,51,21.0,16.0,3.0,103,6.0,1.0,,2.0,,,,,4.0,8.0,,9.0,48,1.0,,6.0,2.0,,,,,,,,,2.0,,2.0,4.0,1.0,,3.0,3.0,7.0,2.0,21.0,0.75,1.0,0.5,0.5,0.45,,23.21428571428571,0.3333333333333333,,0.13333333333333333,,0.1,0.16666666666666666,,0.75,0.25,,,,,,,,1.0,,0.75,0.4718375,0.6813,3.8375,,0.40384615384615385,,,,,,,2.0,,,0.25,0.5,,,,4.0,,,0.6666666666666666,0.8,2.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5,0.16666666666666666,0.125,0.1,0.2857142857142857,0.3333333333333333,0.75,1.0,0.6666666666666666,0.5,1.0,0.48200000000000004,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,861.0,14,1,30,29,9.0,5.0,1.0,59,3.0,,2.0,3.0,,,,,3.0,6.0,1.0,10.0,30,,1.0,6.0,,,3.0,1.0,4.0,,,9.0,1.0,3.0,1.0,5.0,6.0,1.0,1.0,2.0,3.0,3.0,1.0,9.0,1.0,1.0,0.5,0.6428571428571429,0.7142857142857143,0.14285714285714285,28.125,0.5,0.25,0.3,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,,,,,,,,0.5714285714285714,0.48220714285714283,0.61875,4.066666666666666,22.6,0.3,0.25,,,1.0,,,,1.0,1.0,,,,,,1.0,,,0.3333333333333333,0.3333333333333333,,1.0,,1.0,,1.0,,,3.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,3.0,,,,,1.5,,1.5,,0.1111111111111111,0.09090909090909091,,0.3333333333333333,1.0,1.0,,,,0.542,0.14285714285714285,0.16666666666666666,,0.3,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201958,1610612742,Rodrigue Beaubois,Rodrigue Beaubois,201958,DAL,966.0,16,4,35,34,20.0,15.0,1.0,69,1.0,1.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,3.0,28,1.0,1.0,,2.0,1.0,3.0,,3.0,,1.0,6.0,,1.0,,1.0,1.0,,,,2.0,3.0,3.0,20.0,,,0.5,0.3333333333333333,0.5,0.3333333333333333,8.108108108108109,,,0.09090909090909091,,0.07142857142857142,,,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5141666666666667,0.5745,6.15,24.8,0.5714285714285714,0.25,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,3.0,,,,,,,,,1.0,1.0,,3.0,,,1.0,,0.5,,0.75,,,,,,,,,,1.0,,0.3333333333333333,0.5,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203109,1610612742,Jae Crowder,Jae Crowder,203109,DAL,1114.0,19,-1,41,39,21.0,15.0,1.0,80,1.0,1.0,,,2.0,4.0,3.0,1.0,2.0,5.0,4.0,7.0,38,3.0,2.0,4.0,,2.0,2.0,,2.0,,2.0,4.0,,2.0,1.0,3.0,3.0,,,,1.0,1.0,,21.0,1.0,1.0,0.4,0.3888888888888889,0.3888888888888889,0.4444444444444444,20.930232558139537,,0.14285714285714285,0.18181818181818182,,0.14285714285714285,0.2,,0.1111111111111111,,,,0.4444444444444444,0.5,0.5,1.0,0.3333333333333333,0.2,0.2,0.5555555555555556,0.46504375,0.45325000000000004,14.4,30.799999999999997,0.5121951219512195,0.25,,1.0,1.0,,1.0,,0.25,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,2.0,,,0.3333333333333333,,0.2,,0.2,,,,,,,,,,,,,,,0.2857142857142857,,1.0,,1.0,,3.0,,,,,,,,,1.0,,,,,0.1111111111111111,,,,0.2,,,,,,,,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201148,1610612742,Brandan Wright,Brandan Wright,201148,DAL,81.0,1,2,3,4,,,,7,1.0,,,,,,,,1.0,1.0,,4.0,4,,,2.0,,,,,,,,,,,2.0,2.0,2.0,,,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,,66.66666666666667,,0.6666666666666666,,,,,,1.0,,,,,,,,,,,1.0,0.577,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,1610612742,Dahntay Jones,Dahntay Jones,2563,DAL,261.0,4,3,8,8,,,1.0,16,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
