EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,LostBallTurnovers,SecondChanceTurnovers,BlockedShortMidRange,DefensiveGoaltends,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PtsUnassisted3s,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Fg3aBlocked,LongMidRangeAssists,FTOffRebounds,LostBallSteals,BlockingFouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,LongMidRangePctAssisted,BlockingFoulsDrawn,Technical Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,3SecondViolations,LongMidRangePctBlocked,Charge Fouls,Corner3PctBlocked,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,on,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Charge Fouls Drawn,Clear Path Fouls,OffensiveGoaltends
1740,1610612748,Rashard Lewis,Rashard Lewis,1740,MIA,7956.0,133,-39,256,254,122,142,30,510,4.0,7.0,1.0,3.0,3.0,8.0,1.0,10.0,7.0,17.0,1.0,2.0,3.0,8.0,2.0,10.0,1.0,2.0,4.0,8.0,25,9.0,27.0,12.0,55.0,268,1.0,3.0,1.0,3.0,5.0,1.0,12,5.0,12.0,8.0,25.0,8.0,8.0,27.0,1.0,9.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,4.0,2.0,7.0,12.0,2.0,21,6.0,27,1.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,7.0,1.0,1.0,15.0,1.0,1.0,19.0,3.0,1.0,5.0,4.0,4.0,4.0,1.0,25.0,121,1.0,5.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.34615384615384615,0.32,0.3333333333333333,0.08333333333333333,0.41346153846153844,0.4166666666666667,0.3541666666666667,0.45081967213114754,0.4166666666666667,0.4032258064516129,0.5192307692307693,0.04,0.14285714285714285,22.648083623693378,0.25,0.25,0.125,0.03389830508474576,0.22580645161290322,0.06557377049180328,0.14960629921259844,0.05,0.05555555555555555,0.0625,0.06060606060606061,0.07142857142857142,0.15384615384615385,0.125,0.10526315789473684,0.35,0.03125,0.25,0.1346153846153846,0.5714285714285714,0.6666666666666666,0.75,0.15384615384615385,0.375,0.375,0.3333333333333333,0.19230769230769232,0.1,0.1,0.3269230769230769,0.4117647058823529,0.4117647058823529,1.0,0.19230769230769232,0.2,0.2,1.0,0.3333333333333333,0.5,1.0,0.16666666666666666,0.125,0.3333333333333333,0.3333333333333333,0.375,0.16666666666666666,0.5,0.6538461538461539,0.2222222222222222,0.4950990196078432,0.5288499999999999,0.4981804347826087,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.09090909090909091,0.45454545454545453,10.36,24.874074074074073,0.4765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,4696.0,78,-2,151,151,103,103,13,302,5.0,5.0,4.0,4.0,6.0,10.0,,,,,,,,,,,,,,11.0,15,,,2.0,24.0,140,3.0,4.0,,,6.0,7.0,9,,,,14.0,14.0,8.0,,,,,,,2.0,2.0,1.0,1.0,,6.0,2.0,4.0,3.0,11.0,1.0,15,6.0,21,,,,1.0,1.0,,1.0,,2.0,1.0,5.0,6.0,1.0,,2.0,,,2.0,1.0,,,10.0,6.0,10.0,6.0,14.0,102,,,0.6363636363636364,0.875,,,,,,0.7333333333333333,0.75,0.7777777777777778,0.7333333333333333,0.75,0.7777777777777778,0.75,0.75,0.7777777777777778,,,,10.90909090909091,0.5,0.2,0.15942028985507245,0.11428571428571428,0.17647058823529413,0.06896551724137931,0.16279069767441862,0.09375,,0.3333333333333333,0.1,,0.08695652173913043,0.25,0.15384615384615385,0.18181818181818182,,0.6,0.3333333333333333,1.0,1.0,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,,,,,,,,,,,,,,,,0.4444444444444444,1.0,,,,,0.3333333333333333,,0.4732466666666667,0.551725,0.49934444444444437,0.0625,0.0625,,0.25,0.5833333333333334,6.640000000000001,,0.6821192052980133,2.0,2.0,6.0,1.0,1.0,4.0,1.0,0.06666666666666667,0.16666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
201596,1610612748,Mario Chalmers,Mario Chalmers,201596,MIA,2042.0,34,-3,68,70,33,39,6,138,1.0,3.0,,1.0,,,,,,,,,,,2.0,2.0,,,,1.0,3,2.0,2.0,2.0,10.0,64,,,,,,,1,,,,,,2.0,,,2.0,2.0,1.0,4.0,2.0,6.0,,2.0,2.0,14.0,,,2.0,4.0,,6,,6,,3.0,3.0,,,,3.0,,3.0,1.0,3.0,3.0,,,4.0,,,2.0,1.0,,,,,,,,33,,,,,,1.0,,,1.0,0.3333333333333333,,,0.8,,,0.8333333333333334,,,0.4,0.3333333333333333,0.3333333333333333,12.0,,,0.14285714285714285,,0.2857142857142857,,0.17142857142857143,,,,,,,0.375,0.1111111111111111,0.25,,,0.6,0.3333333333333333,0.5,,,,,,,,,,,,,0.4,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,0.5724199999999999,,0.4707,0.16666666666666666,0.25,,,,1.0333333333333334,25.45,0.4852941176470588,,,,,,,,,0.3333333333333333,,,6.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
202708,1610612748,Norris Cole,Norris Cole,202708,MIA,11783.0,196,-34,374,369,171,190,41,743,16.0,28.0,4.0,14.0,1.0,9.0,6.0,17.0,2.0,5.0,,,2.0,2.0,6.0,12.0,,2.0,5.0,23.0,54,8.0,17.0,13.0,83.0,376,,,,,,7.0,24,4.0,7.0,6.0,32.0,10.0,36.0,18.0,,12.0,6.0,4.0,14.0,10.0,24.0,6.0,4.0,6.0,58.0,1.0,1.0,2.0,20.0,,22,3.0,25,,6.0,3.0,17.0,2.0,13.0,8.0,2.0,25.0,10.0,7.0,17.0,,,15.0,,,19.0,8.0,,2.0,1.0,,1.0,1.0,32.0,170,3.0,,0.21739130434782608,0.21739130434782608,0.75,0.47058823529411764,,0.5714285714285714,0.47058823529411764,0.42592592592592593,,0.2916666666666667,0.49295774647887325,,0.41935483870967744,0.51875,,0.4444444444444444,0.23943661971830985,0.07407407407407407,0.10714285714285714,25.240384615384613,0.68,,0.12903225806451613,0.011494252873563218,0.044444444444444446,0.013888888888888888,0.11,0.012578616352201259,,,0.022222222222222223,,0.0851063829787234,0.11538461538461539,0.17857142857142858,0.06451612903225806,,1.0,0.39436619718309857,0.5714285714285714,0.64,0.1875,0.1267605633802817,0.1111111111111111,0.125,,0.23943661971830985,0.35294117647058826,0.35294117647058826,0.07042253521126761,0.4,0.4,1.0,0.16901408450704225,0.5,0.5454545454545454,0.6666666666666666,,,,,0.45161290322580644,0.2857142857142857,0.06451612903225806,1.0,0.16129032258064516,0.4,0.6338028169014085,0.5,0.5094021126760563,,0.5007193548387098,0.10256410256410256,0.13114754098360656,,,0.3855421686746988,7.9148148148148145,25.564705882352943,0.4572192513368984,,,,4.0,2.0,,,0.029411764705882353,,,,6.0,6.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,0.058823529411764705,0.1111111111111111,0.08333333333333333,0.07692307692307693,0.3333333333333333,,,,,,,,,,,,,True,,,,,,
2592,1610612748,James Jones,James Jones,2592,MIA,13234.0,221,-16,421,416,193,212,45,837,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,9.0,24.0,3.0,3.0,3.0,7.0,7.0,29.0,,4.0,18.0,5.0,8,16.0,53.0,2.0,60.0,413,,,3.0,3.0,9.0,3.0,4,7.0,25.0,2.0,29.0,10.0,,45.0,,29.0,7.0,,4.0,9.0,13.0,6.0,3.0,3.0,35.0,,,3.0,16.0,3.0,22,,22,,2.0,1.0,3.0,,2.0,,,3.0,1.0,10.0,16.0,,,4.0,,1.0,4.0,1.0,,1.0,6.0,3.0,6.0,3.0,29.0,192,1.0,1.0,1.0,1.0,0.9375,0.3018867924528302,1.0,0.28,0.3018867924528302,0.625,,0.75,0.47540983606557374,1.5,0.46551724137931033,0.4838709677419355,1.5,0.48333333333333334,0.8688524590163934,,,13.9186295503212,1.0,0.16666666666666666,0.0903954802259887,,0.061224489795918366,,0.084070796460177,,,,,,0.10526315789473684,0.10526315789473684,0.06349206349206349,0.03225806451612903,,0.5,0.01639344262295082,1.0,1.0,1.0,0.03278688524590164,1.0,1.0,1.0,0.08196721311475409,0.4,0.4,0.39344262295081966,0.375,0.375,1.0,0.47540983606557374,0.2413793103448276,0.2413793103448276,0.8571428571428571,1.0,1.0,1.0,,0.034482758620689655,1.0,0.2413793103448276,0.42857142857142855,0.6206896551724138,0.2222222222222222,0.8852459016393442,0.2413793103448276,0.5264811475409836,0.5976,0.5177896551724138,0.01639344262295082,0.125,,0.15,0.48333333333333334,15.212500000000002,24.773584905660375,0.4584323040380047,,,,1.0,,3.0,,,0.1111111111111111,,,3.0,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,True,,,,,,
2034,1610612748,Mike Miller,Mike Miller,2034,MIA,4137.0,69,-2,137,132,80,75,16,269,1.0,1.0,,,,,,2.0,,2.0,,,,1.0,5.0,9.0,1.0,3.0,6.0,1.0,3,5.0,11.0,,17.0,122,,,1.0,1.0,3.0,,1,3.0,7.0,,9.0,,2.0,15.0,,9.0,5.0,,7.0,6.0,13.0,3.0,3.0,4.0,32.0,,1.0,4.0,11.0,,15,1.0,16,,2.0,2.0,1.0,1.0,,1.0,,2.0,2.0,5.0,10.0,,,,,,,,,,,,,,9.0,80,2.0,,,,1.0,0.45454545454545453,1.0,0.42857142857142855,0.45454545454545453,0.3333333333333333,,,0.6071428571428571,1.5,0.5625,0.6071428571428571,1.5,0.5625,0.7857142857142857,,,10.526315789473685,0.5,,0.1746031746031746,0.02857142857142857,0.25,,0.189873417721519,0.015151515151515152,,,,,0.11538461538461539,0.25,0.17647058823529413,0.42857142857142855,,,0.07142857142857142,1.0,1.0,,,,,,0.14285714285714285,,,0.14285714285714285,,,,0.6428571428571429,0.5555555555555556,0.5555555555555556,1.0,,,,1.0,,,0.125,,0.75,0.5,0.8571428571428571,0.5555555555555556,0.5091642857142857,0.4617,0.49640624999999994,,,,0.17647058823529413,0.5294117647058824,13.066666666666668,25.072727272727274,0.583941605839416,,,,1.0,,,,0.08333333333333333,0.1111111111111111,,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,True,,,,,,
202227,1610612748,Terrel Harris,Terrel Harris,202227,MIA,889.0,15,4,30,27,18,23,5,57,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,3,,,5.0,5.0,22,,,,,2.0,,2,,,3.0,3.0,,,,,,,1.0,1.0,,1.0,,,1.0,2.0,1.0,,1.0,3.0,,4,1.0,5,,,,4.0,,2.0,,,4.0,1.0,1.0,2.0,,,3.0,,,6.0,3.0,,,,,,,3.0,18,1.0,,,,,,,,,,,,,,,0.4166666666666667,1.0,0.375,,0.3333333333333333,0.5,28.571428571428573,1.0,,0.23076923076923078,,0.2,0.25,0.2222222222222222,0.1111111111111111,,,,1.0,0.2,,0.3333333333333333,,,,0.6666666666666666,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,1.0,,,,,,0.6666666666666666,,0.4729666666666667,,0.55425,0.5,0.5,,0.4,0.6,8.033333333333333,,0.6,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,True,,,,,,
202363,1610612748,Jarvis Varnado,Jarvis Varnado,202363,MIA,2408.0,40,-22,72,73,33,37,4,145,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,3,,,,2.0,83,,,,,,,1,,,,,2.0,,,,,,1.0,,2.0,2.0,2.0,,,6.0,,1.0,1.0,2.0,2.0,5,1.0,6,,,,1.0,,,4.0,1.0,5.0,3.0,4.0,9.0,1.0,2.0,2.0,1.0,,,,,,2.0,,2.0,2.0,,33,1.0,,1.0,1.0,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,0.3333333333333333,0.5,10.526315789473685,0.2,0.3333333333333333,0.06060606060606061,0.08333333333333333,0.125,,0.07317073170731707,0.034482758620689655,0.25,,,,,0.18181818181818182,,,,1.0,0.6666666666666666,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,0.6666666666666666,,0.4373666666666667,,0.6731,,,,,,4.1000000000000005,,0.4583333333333333,,,,1.0,1.0,2.0,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,
436,1610612748,Juwan Howard,Juwan Howard,436,MIA,772.0,13,-10,26,28,22,17,1,54,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,2,,,,2.0,35,,,,,,1.0,2,,,,2.0,2.0,,,,,,1.0,1.0,3.0,4.0,1.0,2.0,,11.0,,,,2.0,1.0,3,,3,,,,2.0,,2.0,,,2.0,1.0,,2.0,,,,,,,,,,,,,,2.0,22,1.0,,1.0,1.0,,,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,0.5,,14.814814814814813,1.0,1.0,0.2857142857142857,,,,0.2,,,,,,,,0.6666666666666666,,,,0.5,1.0,1.0,1.0,,,,,0.5,,,,,,,,,,,,,,,0.5,1.0,,,,,0.5,,0.52205,,0.52205,,,,,1.0,10.1,,0.8461538461538461,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,
951,1610612748,Ray Allen,Ray Allen,951,MIA,5292.0,88,7,162,160,51,57,16,322,8.0,8.0,1.0,1.0,1.0,5.0,2.0,6.0,1.0,7.0,,3.0,,3.0,4.0,11.0,2.0,,1.0,11.0,19,5.0,18.0,10.0,47.0,169,3.0,4.0,1.0,5.0,9.0,2.0,5,,4.0,6.0,10.0,10.0,12.0,15.0,,11.0,4.0,1.0,8.0,4.0,12.0,2.0,2.0,6.0,28.0,,1.0,2.0,3.0,,5,1.0,6,,4.0,3.0,6.0,1.0,5.0,3.0,1.0,9.0,3.0,1.0,4.0,,,5.0,,,11.0,,1.0,3.0,1.0,1.0,1.0,,10.0,50,1.0,3.0,0.45454545454545453,0.5,1.0,0.2777777777777778,0.2,,0.2777777777777778,0.5789473684210527,0.75,0.4,0.5,0.5,0.2222222222222222,0.5487804878048781,0.5,0.375,0.4864864864864865,0.05263157894736842,,27.77777777777778,0.6666666666666666,,0.05357142857142857,0.03333333333333333,0.1,,0.06578947368421052,0.015384615384615385,,,,,0.14285714285714285,0.047619047619047616,,0.15384615384615385,,,0.21621621621621623,1.0,1.0,0.5,0.13513513513513514,0.2,0.25,,0.16216216216216217,0.3333333333333333,0.3333333333333333,0.1891891891891892,0.14285714285714285,0.16666666666666666,1.0,0.2972972972972973,0.36363636363636365,0.36363636363636365,1.0,0.3333333333333333,,,0.2222222222222222,0.1111111111111111,1.0,0.3333333333333333,,0.1111111111111111,,0.7027027027027027,0.36363636363636365,0.5329458333333333,0.5141600000000001,0.4923388888888889,0.02631578947368421,,0.05263157894736842,0.19148936170212766,0.2127659574468085,8.357894736842104,24.66111111111111,0.3148148148148148,3.0,3.0,2.0,1.0,,,,0.07142857142857142,,0.3333333333333333,1.0,,1.0,,,1.0,1.0,,1.0,,,,0.05555555555555555,0.2,,,0.5,,2.0,1.0,0.5,1.0,,,,1.0,0.14285714285714285,0.6666666666666666,,True,,,,,,
