EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffArc3ReboundPct,HeaveAttempts,Blocked3s,BlockedArc3,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,HeaveMakes,3pt And 1 Free Throw Trips,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on
101126,1610612741,Nate Robinson,Nate Robinson,101126,CHI,67998.0,1133,7.0,2118,2089,483.0,446,315,4207,61.0,106.0,9.0,14.0,20.0,33.0,24.0,62.0,47.0,117.0,5.0,15.0,2.0,1.0,1.0,61.0,156.0,3.0,10.0,9.0,39.0,132.0,285.0,66.0,171.0,75.0,537.0,2174,16.0,31.0,3.0,12.0,4.0,45.0,36.0,76.0,10.0,40.0,40.0,142.0,84.0,180.0,150.0,48.0,6.0,156.0,61.0,21.0,1.0,179.0,24.0,203.0,14.0,10.0,65.0,25.0,89.0,430.0,2.0,14.0,2.0,29.0,61.0,2.0,92.0,18.0,110,4.0,51.0,29.0,22.0,39.0,19.0,28.0,45.0,8.0,11.0,2.0,5.0,84.0,8.0,18.0,42.0,2.0,116.0,4.0,1.0,2.0,3.0,108.0,2.0,1.0,7.0,5.0,97.0,4.0,4.0,30.0,1.0,17.0,5.0,1.0,1.0,3.0,5.0,2.0,139.0,473.0,10.0,14.0,0.3181818181818182,0.32558139534883723,0.7575757575757576,0.38596491228070173,0.25,0.25,0.38596491228070173,0.4631578947368421,0.5161290322580645,0.47368421052631576,0.506578947368421,0.47674418604651164,0.4396551724137931,0.536,0.5,0.5071428571428571,0.375,0.005847953216374269,0.07368421052631578,0.14150943396226415,0.08064516129032258,0.008547008547008548,0.00641025641025641,23.595959595959595,0.4642857142857143,0.03571428571428571,0.05555555555555555,0.07672955974842767,0.01694915254237288,0.11507936507936507,0.008733624454148471,0.08595988538681948,0.015165876777251185,0.018726591760299626,0.03255813953488372,0.005813953488372093,0.037037037037037035,0.0411522633744856,0.08444444444444445,0.09785932721712538,0.10638297872340426,0.140625,0.017316017316017316,0.4,0.2324561403508772,0.5754716981132075,0.6703296703296703,0.39344262295081966,0.13596491228070176,0.3870967741935484,0.42105263157894735,0.20833333333333334,0.2565789473684211,0.4017094017094017,0.4051724137931034,0.2765957446808511,0.03289473684210526,0.3333333333333333,0.3333333333333333,1.0,0.34210526315789475,0.391025641025641,0.3935483870967742,0.7377049180327869,0.32558139534883723,0.6428571428571429,0.4444444444444444,0.046511627906976744,0.23255813953488372,0.3,1.0,0.28448275862068967,0.6060606060606061,0.008620689655172414,1.0,0.33620689655172414,0.23076923076923078,0.6074561403508771,0.391025641025641,0.5025050438596491,0.4975699999999999,0.4776099137931034,0.06418219461697723,0.09646302250803858,0.005813953488372093,0.08379888268156424,0.2644320297951583,10.119298245614038,25.327485380116958,0.22804532577903683,,,,,,,,,,,,,,,,True
1737,1610612741,Nazr Mohammed,Nazr Mohammed,1737,CHI,518.0,9,6.0,16,16,2.0,7,4,32,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,1.0,3.0,,,2.0,4.0,15,,1.0,,,,,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,2.0,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,1.0,1.0,,,1.0,1.0,2.0,2.0,,,1.0,1.0,,,,,,0.3333333333333333,,1.0,0.3333333333333333,,1.0,0.5,,1.0,,,,,,,,20.0,,,,0.25,,,0.25,0.25,0.1,,,,,,1.0,,,,,1.0,0.3333333333333333,,,,,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,1.0,,,,,,,,,,,,,0.3333333333333333,,0.43406666666666666,,0.4143,0.25,0.25,,,0.5,11.333333333333334,,0.125,0.3333333333333333,,,,,,,,,,,,,,,True
201149,1610612741,Joakim Noah,Joakim Noah,201149,CHI,145580.0,2426,62.0,4543,4534,1071.0,958,650,9077,217.0,379.0,81.0,158.0,45.0,82.0,33.0,113.0,53.0,133.0,,,,,,,5.0,,2.0,,3.0,303.0,625.0,,5.0,178.0,784.0,4598,85.0,174.0,,2.0,29.0,199.0,64.0,136.0,,3.0,59.0,187.0,388.0,218.0,,,134.0,3.0,,60.0,,213.0,49.0,262.0,37.0,12.0,130.0,26.0,57.0,573.0,37.0,217.0,6.0,97.0,347.0,29.0,473.0,260.0,733,15.0,78.0,39.0,39.0,97.0,32.0,67.0,79.0,10.0,30.0,,15.0,176.0,20.0,31.0,86.0,1.0,185.0,3.0,1.0,16.0,11.0,223.0,5.0,36.0,10.0,1.0,237.0,15.0,,100.0,,26.0,138.0,89.0,3.0,46.0,141.0,90.0,180.0,1052.0,14.0,20.0,0.6402640264026402,0.8220338983050848,,,,,,0.4848,0.4885057471264368,0.47058823529411764,0.48095238095238096,0.48295454545454547,0.460431654676259,0.5290148448043185,0.5128865979381443,0.5252808988764045,0.007936507936507936,,0.096,0.11345646437994723,0.1415929203539823,0.007518796992481203,,17.30260672459388,0.5511363636363636,0.24786324786324787,0.06451612903225806,0.19516310461192352,0.12022160664819945,0.1936127744510978,0.08726415094339622,0.19482229047827995,0.11395244504262,0.14564831261101244,0.12240663900414937,0.1,0.09900990099009901,0.17325800376647835,0.2135523613963039,0.1986842105263158,0.2,0.17355371900826447,0.05747126436781609,0.6382978723404256,0.6015873015873016,0.5725593667546174,0.6458333333333334,0.5944700460829493,0.17936507936507937,0.2920353982300885,0.3402061855670103,0.6060606060606061,0.2111111111111111,0.39849624060150374,0.4015151515151515,0.8490566037735849,,,,,0.007936507936507936,,,,0.8977272727272727,0.5126582278481012,0.13580246913580246,,0.011363636363636364,,,0.5899280575539568,0.5487804878048781,,,0.02158273381294964,,0.6095238095238096,,0.5226328821656051,0.5625762345679012,0.5228532608695652,0.13986013986013987,0.14084507042253522,,0.2538265306122449,0.2385204081632653,6.06768,32.44,0.2357473035439137,0.08359133126934984,2.0,3.0,2.0,1.0,8.0,3.0,1.0,6.0,,,,,,,True
201158,1610612741,Marco Belinelli,Marco Belinelli,201158,CHI,69591.0,1160,25.0,2165,2147,529.0,508,295,4312,54.0,101.0,4.0,7.0,8.0,20.0,11.0,39.0,30.0,100.0,12.0,37.0,3.0,6.0,12.0,36.0,102.0,5.0,10.0,4.0,24.0,95.0,240.0,48.0,139.0,92.0,426.0,2207,7.0,14.0,7.0,13.0,11.0,46.0,18.0,50.0,10.0,36.0,55.0,121.0,124.0,66.0,123.0,21.0,,97.0,35.0,18.0,4.0,70.0,14.0,84.0,10.0,4.0,25.0,19.0,26.0,182.0,,6.0,1.0,19.0,58.0,4.0,81.0,7.0,88,1.0,26.0,14.0,12.0,34.0,7.0,21.0,21.0,2.0,13.0,3.0,1.0,55.0,6.0,9.0,29.0,,88.0,4.0,,1.0,2.0,99.0,1.0,2.0,11.0,3.0,108.0,5.0,10.0,31.0,3.0,17.0,3.0,2.0,,1.0,4.0,2.0,121.0,526.0,14.0,16.0,0.6526315789473685,0.6526315789473685,0.8541666666666666,0.34532374100719426,0.5384615384615384,0.2777777777777778,0.34814814814814815,0.3958333333333333,0.5,0.36,0.44063324538258575,0.6481481481481481,0.38372093023255816,0.49056603773584906,0.6875,0.5087719298245614,0.36675461741424803,0.02877697841726619,0.075,0.10891089108910891,0.07692307692307693,0.04,0.029411764705882353,19.104716227018386,0.6181818181818182,0.07272727272727272,0.02564102564102564,0.06697459584295612,0.007352941176470588,0.08597285067873303,,0.07083716651333946,0.005698005698005698,0.0149812734082397,,0.005865102639296188,,0.041666666666666664,0.07048458149779736,0.08547008547008547,0.0872093023255814,0.08163265306122448,0.004761904761904762,0.5,0.26649076517150394,0.5346534653465347,0.6,0.5925925925925926,0.10290237467018469,0.28205128205128205,0.3055555555555556,0.6363636363636364,0.2638522427440633,0.3,0.3125,0.7666666666666667,0.09762532981530343,0.32432432432432434,0.3333333333333333,0.9166666666666666,0.2691292875989446,0.35294117647058826,0.36363636363636365,0.8333333333333334,0.25925925925925924,0.5714285714285714,0.25,0.1111111111111111,0.37037037037037035,0.5,0.8,0.23255813953488372,0.4,0.13953488372093023,0.5,0.27906976744186046,0.16666666666666666,0.633245382585752,0.36082474226804123,0.5151717333333333,0.5091739130434783,0.4840198795180723,0.08353808353808354,0.11654135338345864,0.02127659574468085,0.107981220657277,0.284037558685446,9.894583333333335,25.613669064748198,0.2443418013856813,,4.0,1.0,,1.0,,,,,2.0,1.0,1.0,0.02702702702702703,0.6666666666666666,0.5,True
202710,1610612741,Jimmy Butler,Jimmy Butler,202710,CHI,57124.0,952,104.0,1753,1791,523.0,532,271,3544,62.0,92.0,26.0,31.0,19.0,24.0,1.0,17.0,28.0,67.0,8.0,26.0,5.0,2.0,4.0,7.0,18.0,,1.0,1.0,6.0,91.0,176.0,15.0,44.0,78.0,305.0,1767,29.0,41.0,,6.0,14.0,72.0,28.0,47.0,3.0,10.0,24.0,89.0,120.0,62.0,45.0,,40.0,17.0,7.0,25.0,,36.0,8.0,44.0,7.0,1.0,23.0,7.0,6.0,96.0,10.0,49.0,1.0,17.0,66.0,2.0,85.0,60.0,145,5.0,23.0,22.0,1.0,10.0,3.0,8.0,15.0,2.0,2.0,1.0,3.0,25.0,1.0,6.0,21.0,2.0,50.0,1.0,,1.0,4.0,76.0,4.0,3.0,4.0,1.0,94.0,8.0,1.0,39.0,1.0,10.0,11.0,7.0,,4.0,11.0,8.0,86.0,509.0,5.0,7.0,0.6593406593406593,0.8450704225352113,1.0,0.3409090909090909,,0.3,0.3488372093023256,0.5170454545454546,0.7073170731707317,0.5957446808510638,0.5159090909090909,0.6170212765957447,0.5701754385964912,0.5820610687022901,0.6792452830188679,0.6180555555555556,0.2,,0.14204545454545456,0.16304347826086957,0.35294117647058826,0.05970149253731343,,13.884857281083695,0.4,0.03571428571428571,0.02,0.0944206008583691,0.07401812688821752,0.08173076923076923,0.05714285714285714,0.09151047409040794,0.07048984468339307,0.06770833333333333,0.0625,0.08503401360544217,0.06976744186046512,0.06635071090047394,0.11274509803921569,0.10211267605633803,0.0949367088607595,0.04,0.05813953488372093,0.7272727272727273,0.41818181818181815,0.6739130434782609,0.8051948051948052,0.5483870967741935,0.07727272727272727,0.058823529411764705,0.09090909090909091,1.0,0.30454545454545456,0.417910447761194,0.4444444444444444,0.8928571428571429,0.11818181818181818,0.3076923076923077,0.3076923076923077,1.0,0.08181818181818182,0.3888888888888889,0.3888888888888889,1.0,0.6595744680851063,0.8387096774193549,0.19230769230769232,0.10638297872340426,0.02127659574468085,,,0.42105263157894735,0.7916666666666666,0.07017543859649122,0.5,0.10526315789473684,0.16666666666666666,0.6181818181818182,0.4117647058823529,0.5216940639269406,0.5362719512195123,0.5107607142857142,0.15873015873015872,0.18840579710144928,0.022222222222222223,0.2360655737704918,0.29180327868852457,8.635227272727274,24.990909090909085,0.29834569309754705,0.05303030303030303,1.0,,,,,,1.0,,,,,,,,True
2736,1610612741,Luol Deng,Luol Deng,2736,CHI,113370.0,1890,-19.0,3572,3567,838.0,740,505,7139,140.0,237.0,44.0,72.0,26.0,42.0,37.0,111.0,82.0,221.0,11.0,32.0,5.0,3.0,10.0,23.0,98.0,2.0,9.0,6.0,26.0,259.0,569.0,34.0,130.0,149.0,769.0,3661,52.0,96.0,3.0,14.0,23.0,136.0,52.0,109.0,9.0,36.0,64.0,195.0,342.0,176.0,93.0,9.0,64.0,96.0,23.0,40.0,,117.0,26.0,143.0,19.0,7.0,77.0,11.0,29.0,312.0,15.0,85.0,3.0,52.0,147.0,16.0,215.0,103.0,318,17.0,53.0,43.0,10.0,71.0,9.0,43.0,35.0,9.0,28.0,1.0,4.0,106.0,19.0,20.0,26.0,,63.0,3.0,,2.0,6.0,179.0,4.0,4.0,17.0,1.0,179.0,19.0,2.0,79.0,,19.0,20.0,12.0,4.0,4.0,20.0,11.0,191.0,820.0,2.0,14.0,0.6602316602316602,0.7533039647577092,0.9117647058823529,0.26153846153846155,0.21428571428571427,0.25,0.265625,0.45518453427065025,0.5416666666666666,0.47706422018348627,0.4434907010014306,0.5136363636363637,0.4517241379310345,0.493573264781491,0.5619834710743802,0.5327868852459017,0.1859799713876967,,0.070298769771529,0.10970464135021098,0.11711711711711711,0.004524886877828055,,21.181556195965417,0.6698113207547169,0.17582417582417584,0.043478260869565216,0.10761346998535871,0.058905058905058906,0.12967581047381546,0.04559270516717325,0.11262026032823995,0.056433408577878104,0.057692307692307696,0.06578947368421052,0.05546218487394958,0.05263157894736842,0.0924170616113744,0.08767123287671233,0.13126079447322972,0.13071895424836602,0.12631578947368421,0.047752808988764044,0.55,0.33905579399141633,0.5907172995780591,0.6635071090047393,0.6142857142857143,0.15879828326180256,0.3333333333333333,0.37755102040816324,0.4864864864864865,0.31616595135908443,0.37104072398190047,0.37272727272727274,0.8170731707317073,0.045779685264663805,0.34375,0.34375,1.0,0.1402002861230329,0.23469387755102042,0.23469387755102042,0.8695652173913043,0.6545454545454545,0.6111111111111112,0.25,0.045454545454545456,0.08181818181818182,0.2222222222222222,1.0,0.2896551724137931,0.6190476190476191,0.06896551724137931,0.3,0.1793103448275862,0.23076923076923078,0.525035765379113,0.23958333333333334,0.4930266140602582,0.5450173469387752,0.4681650349650349,0.10408432147562582,0.12559618441971382,,0.17685305591677503,0.2535760728218466,9.702460456942001,25.172307692307694,0.23460246360582307,0.043478260869565216,2.0,,,,,,1.0,,1.0,,,,0.2,1.0,True
1888,1610612741,Richard Hamilton,Richard Hamilton,1888,CHI,54433.0,907,-21.0,1705,1695,309.0,222,245,3400,29.0,47.0,2.0,3.0,3.0,6.0,46.0,111.0,86.0,205.0,6.0,21.0,1.0,,4.0,7.0,22.0,,2.0,2.0,6.0,161.0,363.0,13.0,43.0,60.0,421.0,1719,14.0,31.0,,3.0,6.0,34.0,35.0,67.0,2.0,10.0,27.0,103.0,256.0,66.0,39.0,,4.0,22.0,7.0,21.0,,74.0,18.0,92.0,14.0,4.0,52.0,6.0,16.0,202.0,2.0,9.0,1.0,17.0,37.0,,54.0,12.0,66,2.0,20.0,13.0,7.0,33.0,16.0,27.0,39.0,6.0,6.0,2.0,2.0,72.0,3.0,10.0,17.0,1.0,78.0,,,6.0,14.0,58.0,2.0,,1.0,,69.0,3.0,10.0,22.0,,9.0,5.0,,1.0,4.0,5.0,4.0,97.0,303.0,7.0,4.0,0.7950310559006211,0.8050314465408805,1.0,0.3023255813953488,,0.2,0.3023255813953488,0.44352617079889806,0.45161290322580644,0.5223880597014925,0.4445812807881773,0.4117647058823529,0.4935064935064935,0.4735023041474654,0.44594594594594594,0.5444444444444444,0.10591133004926108,,0.05785123966942149,0.14893617021276595,0.06306306306306306,0.03414634146341464,,25.415198792148967,0.4583333333333333,,0.030303030303030304,0.05597579425113464,0.012396694214876033,0.0913978494623656,0.016260162601626018,0.06375442739079103,0.012956419316843345,0.01818181818181818,0.0049504950495049506,0.013157894736842105,,0.048484848484848485,0.052083333333333336,0.0625,0.08823529411764706,0.1,0.009615384615384616,0.8,0.11576354679802955,0.6170212765957447,0.725,0.7586206896551724,0.2733990147783251,0.4144144144144144,0.4423076923076923,0.717391304347826,0.5049261083743842,0.4195121951219512,0.43434343434343436,0.8488372093023255,0.05172413793103448,0.2857142857142857,0.2857142857142857,1.0,0.054187192118226604,0.3181818181818182,0.3181818181818182,1.0,0.08823529411764706,0.6666666666666666,1.0,0.029411764705882353,0.058823529411764705,,,0.07792207792207792,0.5,0.05194805194805195,,0.07792207792207792,0.3333333333333333,0.22167487684729065,0.3181818181818182,0.4502326354679803,0.4351103448275862,0.4274688311688312,0.05176470588235294,0.05759162303664921,,0.08076009501187649,0.24465558194774348,13.234986225895318,24.074418604651164,0.1812316715542522,0.022222222222222223,,,,,,,,,,,,,,,True
2430,1610612741,Carlos Boozer,Carlos Boozer,2430,CHI,98493.0,1642,-30.0,3080,3041,622.0,510,429,6121,184.0,287.0,43.0,70.0,41.0,58.0,79.0,213.0,94.0,242.0,,,,,,,1.0,,,,,357.0,742.0,,1.0,120.0,834.0,3129,49.0,105.0,,,15.0,113.0,67.0,132.0,,,35.0,169.0,506.0,208.0,,,72.0,1.0,,59.0,,96.0,19.0,115.0,14.0,5.0,56.0,17.0,23.0,249.0,18.0,90.0,3.0,63.0,284.0,21.0,368.0,111.0,479,15.0,44.0,38.0,6.0,45.0,9.0,26.0,47.0,4.0,19.0,2.0,5.0,92.0,8.0,18.0,76.0,,144.0,3.0,,11.0,16.0,131.0,,9.0,5.0,2.0,159.0,23.0,,83.0,,8.0,18.0,10.0,2.0,6.0,18.0,12.0,169.0,621.0,13.0,8.0,0.7086834733893558,0.7881619937694704,,,,,,0.4811320754716981,0.4666666666666667,0.5075757575757576,0.48048452220726784,0.4666666666666667,0.5075757575757576,0.5141800246609125,0.4956140350877193,0.5487012987012987,0.0013458950201884253,,0.07951482479784366,0.1254355400696864,0.09859154929577464,0.008264462809917356,,25.251677852348994,0.4891304347826087,0.28378378378378377,0.05555555555555555,0.23646960865945046,0.07009345794392523,0.18694362017804153,0.0703125,0.22561768530559168,0.07012987012987013,0.10416666666666667,0.06232294617563739,0.051188299817184646,0.046153846153846156,0.2334293948126801,0.2755417956656347,0.21468926553672316,0.17338709677419356,0.2247191011235955,0.046012269938650305,0.6666666666666666,0.38627187079407804,0.6411149825783972,0.7330677290836654,0.6956521739130435,0.28667563930013457,0.37089201877934275,0.4114583333333333,0.5949367088607594,0.32570659488559894,0.3884297520661157,0.39166666666666666,0.8297872340425532,,,,,0.0013458950201884253,,,,0.6666666666666666,0.6142857142857143,0.13953488372093023,,,,,0.4393939393939394,0.7068965517241379,,,,,0.3876177658142665,,0.48101137281292056,0.533292391304348,0.49017196969696974,0.10336239103362391,0.10349127182044887,,0.1354916067146283,0.2026378896882494,8.748113207547169,25.3,0.20194805194805196,0.07853403141361257,,,,,2.0,1.0,3.0,5.0,,,,,,,True
201959,1610612741,Taj Gibson,Taj Gibson,201959,CHI,37214.0,620,87.0,1140,1158,337.0,311,179,2298,49.0,83.0,11.0,25.0,9.0,16.0,23.0,51.0,25.0,68.0,,1.0,,,,,2.0,,1.0,,1.0,97.0,202.0,,3.0,42.0,236.0,1109,16.0,37.0,,1.0,14.0,46.0,24.0,51.0,,1.0,8.0,56.0,168.0,26.0,,,12.0,2.0,,16.0,,20.0,5.0,25.0,5.0,,9.0,2.0,9.0,55.0,10.0,34.0,3.0,13.0,71.0,12.0,96.0,47.0,143,3.0,14.0,9.0,5.0,16.0,3.0,6.0,25.0,4.0,10.0,,4.0,41.0,3.0,12.0,32.0,,74.0,4.0,,11.0,6.0,49.0,,3.0,3.0,,58.0,6.0,,27.0,,5.0,31.0,20.0,5.0,6.0,31.0,17.0,54.0,329.0,11.0,4.0,0.865979381443299,0.9230769230769231,,,,,,0.4801980198019802,0.43243243243243246,0.47058823529411764,0.47317073170731705,0.42105263157894735,0.46153846153846156,0.5108225108225108,0.5111111111111111,0.4745762711864407,0.014634146341463415,,0.07920792079207921,0.10843373493975904,0.11764705882352941,0.014705882352941176,,20.223048327137548,0.3902439024390244,0.3870967741935484,0.0967741935483871,0.1540130151843818,0.08232445520581114,0.104,0.08130081300813008,0.14334470989761092,0.08208955223880597,0.1037037037037037,0.11009174311926606,0.047337278106508875,0.047619047619047616,0.18439716312056736,0.13709677419354838,0.14285714285714285,0.09090909090909091,0.15384615384615385,0.03296703296703297,0.5483870967741935,0.40487804878048783,0.5903614457831325,0.6621621621621622,0.8775510204081632,0.24878048780487805,0.45098039215686275,0.5111111111111111,0.6956521739130435,0.33170731707317075,0.36764705882352944,0.373134328358209,1.0,0.004878048780487805,,,,0.00975609756097561,,,,0.6578947368421053,0.44,0.5454545454545454,,0.02631578947368421,,,0.3076923076923077,0.5625,,,0.019230769230769232,,0.4195121951219512,,0.4765473170731707,0.48795,0.4387000000000001,0.11946902654867257,0.1210762331838565,,0.19491525423728814,0.23728813559322035,8.795049504950493,25.133333333333336,0.2956140350877193,0.08823529411764706,,,,,,,4.0,2.0,,,,,,,True
2550,1610612741,Kirk Hinrich,Kirk Hinrich,2550,CHI,70503.0,1175,87.0,2229,2222,545.0,442,303,4451,23.0,45.0,1.0,1.0,3.0,8.0,7.0,26.0,29.0,79.0,8.0,19.0,4.0,1.0,4.0,37.0,99.0,4.0,12.0,8.0,19.0,59.0,150.0,45.0,118.0,43.0,296.0,2218,1.0,5.0,6.0,16.0,6.0,26.0,13.0,37.0,9.0,23.0,28.0,81.0,36.0,82.0,120.0,15.0,,98.0,37.0,15.0,2.0,191.0,26.0,217.0,20.0,6.0,66.0,34.0,91.0,460.0,,10.0,,22.0,64.0,2.0,88.0,10.0,98,,39.0,23.0,16.0,43.0,4.0,33.0,25.0,3.0,10.0,3.0,6.0,68.0,5.0,17.0,76.0,2.0,140.0,3.0,1.0,3.0,4.0,87.0,6.0,3.0,17.0,1.0,61.0,2.0,1.0,17.0,,14.0,20.0,7.0,4.0,9.0,21.0,11.0,79.0,529.0,11.0,11.0,0.3050847457627119,0.3050847457627119,0.8888888888888888,0.3813559322033898,0.375,0.391304347826087,0.38461538461538464,0.3933333333333333,0.2,0.35135135135135137,0.47201492537313433,0.47619047619047616,0.44166666666666665,0.4983164983164983,0.5416666666666666,0.50625,0.44029850746268656,0.01694915254237288,0.1,0.2,0.15384615384615385,0.02531645569620253,0.010101010101010102,14.119922630560927,0.6323529411764706,0.03636363636363636,,0.07126948775055679,0.01122334455667789,0.09166666666666666,,0.07557117750439367,0.009337068160597572,0.0149812734082397,0.012195121951219513,0.007936507936507936,,0.06463878326996197,0.05106382978723404,0.0875,0.09523809523809523,0.0784313725490196,,0.5238095238095238,0.16791044776119404,0.5111111111111111,0.6388888888888888,0.391304347826087,0.09701492537313433,0.2692307692307692,0.3181818181818182,0.14285714285714285,0.2947761194029851,0.3670886075949367,0.37662337662337664,0.27586206896551724,0.0708955223880597,0.42105263157894735,0.4444444444444444,1.0,0.3694029850746269,0.37373737373737376,0.37755102040816324,0.8648648648648649,0.047619047619047616,1.0,1.0,0.19047619047619047,0.5714285714285714,0.3333333333333333,1.0,0.13333333333333333,0.375,0.06666666666666667,0.25,0.31666666666666665,0.42105263157894735,0.6082089552238806,0.37755102040816324,0.501518352059925,0.5102764705882352,0.45565666666666665,0.06007067137809187,0.10303030303030303,,0.08783783783783784,0.27364864864864863,12.36,25.095762711864406,0.24450426200089725,,1.0,1.0,1.0,,,,,,2.0,,,0.05263157894736842,0.5,1.0,True
