EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefFTReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,BadPassTurnovers,Charge Fouls,Technical Free Throw Trips,Blocked3s,BlockedArc3,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGA,LostBallOutOfBoundsTurnovers,Travels,PenaltyTurnovers,LongMidRangePctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,Charge Fouls Drawn,PenaltyCorner3Accuracy,FTOffRebounds,3SecondViolations,OffFTReboundPct,SecondChanceAtRimPctAssisted,Loose Ball Fouls Drawn,OffensiveGoaltends,BlockingFoulsDrawn,BlockedLongMidRange,on,SecondChanceCorner3FGA,Clear Path Fouls,SecondChanceCorner3Frequency,HeaveAttempts,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedCorner3
101132,1610612761,Linas Kleiza,Linas Kleiza,101132,TOR,483.0,8,-1.0,13,14,1.0,10,1,27,1.0,1.0,1.0,1.0,1.0,1.0,2,2,1.0,4,17,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,21.428571428571427,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.40735000000000005,0.42195,10.7,25.6,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
101161,1610612761,Amir Johnson,Amir Johnson,101161,TOR,8938.0,149,-13.0,279,291,66.0,90,30,570,4.0,12.0,8.0,17.0,,,24,44,,55,320,,14.0,,2.0,16.0,29.0,10.0,20.0,66.0,0.5454545454545454,0.5454545454545454,0.5729166666666666,,16.666666666666668,0.2222222222222222,0.2727272727272727,0.3333333333333333,0.4444444444444444,0.38636363636363635,0.47058823529411764,0.47058823529411764,,,0.3409090909090909,0.48007727272727263,0.5026714285714285,9.875,,0.23655913978494625,12.0,15.0,4.0,6.0,2.0,2.0,7.0,5.0,8.0,2.0,12.0,4.0,7.0,1.0,9.0,34.0,8.0,4.0,7.0,1.0,8.0,1.0,3.0,4.0,17.0,1.0,12.0,3.0,11.0,13.0,2.0,7.0,3.0,4.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,8.0,1.0,9.0,1.0,4.0,1.0,5.0,4.0,1.0,5.0,5.0,1.0,9.0,2.0,1.0,0.7083333333333334,0.85,0.625,0.5714285714285714,0.625,0.5714285714285714,0.6,0.5625,0.09090909090909091,0.06666666666666667,0.25,0.25,0.12941176470588237,0.12903225806451613,0.075,0.022727272727272728,0.112,0.0948905109489051,0.17391304347826086,0.21212121212121213,0.02702702702702703,0.03125,0.1,0.23076923076923078,0.06896551724137931,0.06451612903225806,0.1111111111111111,0.125,1.0,0.3409090909090909,0.8,0.8571428571428571,0.6666666666666666,0.5,0.875,0.75,0.6666666666666666,0.2857142857142857,1.0,0.53515,0.0851063829787234,0.0851063829787234,0.21818181818181817,0.16363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
101181,1610612761,Jose Calderon,Jose Calderon,101181,TOR,16172.0,270,-24.0,483,492,49.0,108,50,975,1.0,4.0,20.0,33.0,32.0,2.0,25,42,38.0,101,526,2.0,42.0,32.0,1.0,24.0,25.0,4.0,9.0,49.0,0.5952380952380952,0.59375,0.5975609756097561,0.475,18.484288354898336,0.08333333333333333,0.05,0.25,0.25,0.4125,0.6060606060606061,0.6060606060606061,0.4,0.3333333333333333,0.5375,0.47765812499999993,0.3971833333333333,15.966666666666667,25.19473684210526,0.10144927536231885,4.0,5.0,,,,,6.0,,2.0,,3.0,2.0,4.0,2.0,9.0,8.0,,,77.0,17.0,94.0,12.0,37.0,23.0,205.0,,1.0,6.0,17.0,1.0,,4.0,3.0,1.0,14.0,3.0,4.0,3.0,18.0,1.0,1.0,1.0,,13.0,,7.0,,2.0,,2.0,1.0,1.0,3.0,1.0,,9.0,,,0.16,0.16,,0.5,0.3,0.5833333333333334,0.3,0.6428571428571429,,,,0.7777777777777778,0.10967741935483871,0.00625,0.1016949152542373,,0.10747663551401869,0.004347826086956522,,,0.013888888888888888,,0.1111111111111111,0.10638297872340426,0.1111111111111111,0.0425531914893617,0.3333333333333333,,0.3333333333333333,0.0625,0.8,0.8,,,0.2,,,,,0.471425,0.024390243902439025,0.045454545454545456,0.0297029702970297,0.0891089108910891,1.0,6.0,14.0,1.0,3.0,1.0,15.0,1.0,3.0,1.0,39.0,6.0,14.0,1.0,5.0,17.0,11.0,1.0,3.0,1.0,1.0,0.8666666666666667,0.39473684210526316,0.3333333333333333,0.5,0.39473684210526316,0.02631578947368421,0.03125,0.075,0.16666666666666666,0.16666666666666666,1.0,0.4375,0.45161290322580644,0.8571428571428571,0.6,0.3333333333333333,1.0,0.5,0.4375,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201942,1610612761,DeMar DeRozan,DeMar DeRozan,201942,TOR,20061.0,334,-18.0,618,626,89.0,130,64,1244,12.0,31.0,29.0,66.0,12.0,1.0,62,134,15.0,166,670,2.0,56.0,12.0,4.0,34.0,43.0,7.0,16.0,89.0,0.4626865671641791,0.47651006711409394,0.5123456790123457,0.10067114093959731,25.759768451519538,0.21052631578947367,0.2080536912751678,0.3870967741935484,0.4444444444444444,0.4429530201342282,0.4393939393939394,0.4461538461538462,0.08053691275167785,0.047619047619047616,0.348993288590604,0.46260369127516776,0.4069571428571428,11.649253731343284,25.56666666666667,0.14401294498381878,21.0,37.0,3.0,3.0,2.0,6.0,24.0,6.0,9.0,3.0,18.0,7.0,19.0,4.0,18.0,68.0,6.0,10.0,9.0,7.0,16.0,4.0,3.0,4.0,39.0,3.0,6.0,11.0,19.0,9.0,4.0,16.0,12.0,4.0,10.0,1.0,6.0,4.0,16.0,4.0,,,1.0,23.0,1.0,30.0,4.0,16.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,18.0,,1.0,0.5483870967741935,0.576271186440678,0.6666666666666666,0.3684210526315789,0.75,0.3333333333333333,0.9,0.391304347826087,0.07462686567164178,0.13513513513513514,0.12903225806451613,0.625,0.08962264150943396,0.0297029702970297,0.16176470588235295,0.034482758620689655,0.10714285714285714,0.031141868512110725,0.07547169811320754,0.030303030303030304,,0.029411764705882353,0.05970149253731343,0.08823529411764706,0.11688311688311688,0.15384615384615385,0.1875,0.057971014492753624,0.3333333333333333,0.2483221476510067,0.5675675675675675,0.65625,0.5714285714285714,0.4166666666666667,0.5862068965517241,0.3,1.0,0.2857142857142857,0.3333333333333333,0.4626642857142857,0.09937888198757763,0.1095890410958904,0.10843373493975904,0.10843373493975904,1.0,3.0,5.0,1.0,1.0,,6.0,1.0,1.0,,15.0,3.0,5.0,1.0,3.0,2.0,6.0,,,,,0.8333333333333334,0.4,1.0,,0.4,0.06666666666666667,,0.020134228187919462,0.3333333333333333,0.5,1.0,0.4166666666666667,0.4166666666666667,0.8,0.1,1.0,1.0,,0.4166666666666667,1.0,1.0,3.0,1.0,0.015151515151515152,0.3333333333333333,0.05263157894736842,0.047619047619047616,,,,,,,,,,,,,True,,,,,,,,,,,,
2554,1610612761,Mickael Pietrus,Mickael Pietrus,2554,TOR,23178.0,386,-36.0,712,723,89.0,152,79,1435,2.0,5.0,1.0,10.0,43.0,5.0,14,34,64.0,100,788,7.0,4.0,43.0,3.0,31.0,36.0,15.0,33.0,89.0,0.4117647058823529,0.4489795918367347,0.4716981132075472,0.6530612244897959,15.25,0.14285714285714285,0.05102040816326531,0.4,0.5,0.10204081632653061,0.1,0.1,0.4387755102040816,0.35714285714285715,0.8469387755102041,0.5380051020408163,0.4977714285714285,7.676470588235294,24.943749999999998,0.125,11.0,19.0,,1.0,1.0,2.0,12.0,,2.0,,9.0,2.0,7.0,5.0,18.0,24.0,,5.0,5.0,4.0,9.0,4.0,3.0,1.0,22.0,4.0,1.0,3.0,25.0,5.0,1.0,12.0,10.0,2.0,9.0,4.0,7.0,2.0,16.0,1.0,,3.0,,18.0,1.0,18.0,2.0,9.0,1.0,6.0,5.0,1.0,6.0,3.0,,18.0,3.0,1.0,0.8571428571428571,0.8571428571428571,,0.2857142857142857,0.75,0.4642857142857143,0.75,0.5294117647058824,0.14705882352941177,0.21052631578947367,0.2,0.5625,0.10330578512396695,0.004329004329004329,0.04,0.037383177570093455,0.08832807570977919,0.014792899408284023,,0.013333333333333334,,0.047058823529411764,0.10975609756097561,0.06756756756756757,0.12790697674418605,0.05263157894736842,,0.017241379310344827,0.5,0.19387755102040816,0.5789473684210527,0.7333333333333333,0.8181818181818182,1.0,1.0,0.16666666666666666,,0.14285714285714285,0.5,0.5419875000000001,0.08571428571428572,0.21951219512195122,0.09,0.18,8.0,21.0,12.0,3.0,4.0,2.0,20.0,3.0,4.0,3.0,51.0,9.0,12.0,,,1.0,7.0,,,,,0.85,0.3125,0.75,0.42857142857142855,0.3125,,,0.21428571428571427,0.38095238095238093,0.38095238095238093,0.875,0.27906976744186046,0.27906976744186046,0.8333333333333334,0.6666666666666666,0.75,0.6666666666666666,0.4,0.27906976744186046,2.0,,,1.0,,,,0.14285714285714285,1.0,2.0,1.0,0.5,,,,,,,,,True,,,,,,,,,,,,
101249,1610612761,John Lucas III,John Lucas III,101249,TOR,1118.0,19,-22.0,36,34,4.0,6,5,70,1.0,3.0,1.0,1.0,2.0,1.0,4,6,3.0,8,45,1.0,6.0,2.0,,,1.0,,,4.0,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.3333333333333333,26.82926829268293,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,1.0,1.0,0.2222222222222222,0.5,0.5555555555555556,0.47271111111111114,0.59345,8.7,24.433333333333334,0.1111111111111111,2.0,2.0,,,1.0,1.0,,,1.0,,,1.0,1.0,,2.0,2.0,,,2.0,,2.0,,,2.0,4.0,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,2.0,1.0,,,,,,,,,,,2.0,,,0.25,0.25,,1.0,,0.5,,0.5,,,,0.5,,0.07142857142857142,,,,0.043478260869565216,,,0.16666666666666666,,,,,,,,,0.2222222222222222,1.0,1.0,0.5,,,,,0.5,1.0,0.3606,,,,0.25,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
203082,1610612761,Terrence Ross,Terrence Ross,203082,TOR,3080.0,51,-2.0,89,95,3.0,31,8,184,1.0,2.0,2.0,7.0,4.0,,6,14,5.0,18,104,,4.0,4.0,,3.0,6.0,2.0,3.0,3.0,0.42857142857142855,0.47368421052631576,0.47368421052631576,0.2631578947368421,19.587628865979383,,0.10526315789473684,0.5,0.5,0.3684210526315789,0.2857142857142857,0.2857142857142857,0.21052631578947367,,0.5263157894736842,0.5154315789473684,,9.864285714285714,24.82,0.033707865168539325,3.0,5.0,,1.0,,,,,1.0,,,,,,,8.0,,,1.0,,1.0,,,,2.0,2.0,1.0,,3.0,3.0,,3.0,2.0,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,0.09375,0.037037037037037035,,0.14285714285714285,0.06976744186046512,0.07317073170731707,,0.125,,0.18181818181818182,,0.125,0.2,,,,,0.2631578947368421,0.6,0.6,0.3333333333333333,1.0,1.0,0.5,,,,0.55255,,,,,1.0,1.0,1.0,,1.0,,2.0,,1.0,,6.0,,1.0,,,1.0,,,,,,1.0,0.4,,,0.4,,,0.05263157894736842,1.0,1.0,1.0,0.25,0.25,1.0,0.5,,,,0.25,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
202334,1610612761,Ed Davis,Ed Davis,202334,TOR,15639.0,261,9.0,469,475,41.0,83,52,944,18.0,40.0,9.0,16.0,,,51,86,,115,496,,14.0,,2.0,45.0,60.0,9.0,19.0,41.0,0.5930232558139535,0.5930232558139535,0.6182795698924731,,19.84877126654064,0.2222222222222222,0.46511627906976744,0.45,0.4864864864864865,0.18604651162790697,0.5625,0.5625,,,0.3488372093023256,0.4708186046511628,0.4525666666666666,7.736046511627906,,0.08742004264392324,24.0,30.0,7.0,11.0,3.0,4.0,13.0,10.0,17.0,1.0,21.0,5.0,6.0,,10.0,88.0,10.0,4.0,10.0,6.0,16.0,6.0,6.0,3.0,38.0,4.0,10.0,8.0,35.0,15.0,,9.0,6.0,3.0,5.0,1.0,7.0,4.0,12.0,3.0,,2.0,3.0,16.0,2.0,18.0,4.0,11.0,,8.0,7.0,1.0,8.0,4.0,,10.0,1.0,,0.8627450980392157,0.9565217391304348,0.5882352941176471,0.8333333333333334,0.5882352941176471,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.046511627906976744,0.03333333333333333,0.075,0.4166666666666667,0.22151898734177214,0.06896551724137931,0.16,0.06153846153846154,0.20673076923076922,0.06666666666666667,0.08823529411764706,0.06521739130434782,0.06153846153846154,0.06,0.2037037037037037,0.3125,0.16071428571428573,0.16666666666666666,0.14285714285714285,,0.5,0.3488372093023256,0.8,0.8275862068965517,0.75,0.9444444444444444,1.0,0.6470588235294118,0.6363636363636364,0.6666666666666666,0.75,0.47536666666666666,0.11827956989247312,0.11827956989247312,0.1826086956521739,0.08695652173913043,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0.06666666666666667,,,,,,1.0,1.0,0.1111111111111111,0.2857142857142857,,,,,True,,,,,,,,,,,,
202685,1610612761,Jonas Valanciunas,Jonas Valanciunas,202685,TOR,9713.0,162,-38.0,291,300,15.0,39,33,591,3.0,11.0,1.0,2.0,,,22,36,,50,325,,14.0,,1.0,25.0,35.0,15.0,19.0,15.0,0.6111111111111112,0.6111111111111112,0.625,,15.24390243902439,0.1,0.3055555555555556,0.2727272727272727,0.3,0.05555555555555555,0.5,1.0,,,0.6388888888888888,0.5172083333333333,0.5657333333333333,4.244444444444444,,0.05154639175257732,18.0,23.0,4.0,6.0,1.0,2.0,6.0,4.0,6.0,2.0,10.0,1.0,3.0,1.0,3.0,30.0,4.0,3.0,7.0,,7.0,,3.0,3.0,14.0,3.0,7.0,3.0,21.0,10.0,1.0,5.0,5.0,,7.0,,3.0,6.0,10.0,1.0,1.0,2.0,,15.0,,9.0,1.0,4.0,1.0,10.0,3.0,7.0,10.0,6.0,1.0,3.0,,1.0,0.6818181818181818,0.75,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.375,0.08333333333333333,0.043478260869565216,0.09090909090909091,0.7,0.1810344827586207,0.07608695652173914,0.125,0.07317073170731707,0.17142857142857143,0.07518796992481203,0.15789473684210525,0.029411764705882353,0.07692307692307693,0.07894736842105263,0.15384615384615385,0.16216216216216217,0.225,0.10526315789473684,0.2,0.09090909090909091,0.6,0.6388888888888888,0.782608695652174,0.8181818181818182,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.57884,0.10256410256410256,0.10256410256410256,0.2,0.06,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,1.0,,0.25,5.0,1.0,,,True,,,,,,,,,,,,
101187,1610612761,Alan Anderson,Alan Anderson,101187,TOR,1400.0,23,-11.0,43,46,2.0,10,9,89,,,,3.0,4.0,,2,8,5.0,14,58,,,4.0,,,,1.0,4.0,2.0,0.25,0.38461538461538464,0.4666666666666667,0.38461538461538464,28.846153846153847,,,,,0.23076923076923078,,,0.3076923076923077,,0.7692307692307693,0.5030692307692308,,8.9375,25.12,0.046511627906976744,2.0,5.0,1.0,1.0,,,4.0,1.0,1.0,,2.0,,,2.0,2.0,4.0,,1.0,1.0,,1.0,,1.0,,2.0,,,,,,,2.0,,2.0,,,,,,,,,,4.0,,4.0,,1.0,1.0,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,0.125,0.2,,,,,,,,,,,,,,,,,,,,0.38461538461538464,0.4,0.5,1.0,,,1.0,1.0,,,,0.07142857142857142,0.1111111111111111,0.14285714285714285,0.14285714285714285,,1.0,2.0,,,,2.0,,,,6.0,,2.0,,,,,,,,,1.0,0.4,,,0.4,,,0.07692307692307693,,,,0.5,0.5,1.0,,,,,0.5,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,
