EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,SecondChanceFtPoints,PenaltyFG2M,PtsAssisted2s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DeadBallTurnovers,ShootingFouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFGM,LongMidRangeFGA,PenaltyFtPoints,PtsUnassisted3s,TwoPtAssists,Arc3Assists,AtRimAssists,Steals,BadPassSteals,BadPassTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,SecondChanceFg3Pct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeAssists,Travels,Loose Ball Fouls Drawn,LongMidRangePctBlocked,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LostBallSteals,3SecondViolations,FTOffRebounds,SecondChanceTurnovers,RecoveredBlocks,OffFTReboundPct,BlocksRecoveredPct,on,HeaveAttempts,SelfOReb,LostBallOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,OffAtRimReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,SecondChanceArc3FGM,BlockingFouls,Clear Path Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,OffensiveGoaltends
1740,1610612748,Rashard Lewis,Rashard Lewis,1740,MIA,1877.0,31,-10,59,60,23.0,20.0,5.0,119,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,1.0,5.0,4.0,8.0,1.0,15.0,67,1.0,1.0,1.0,2.0,1.0,2.0,3.0,6.0,2.0,12.0,2.0,6.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,6.0,23.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.2,1.0,0.5384615384615384,0.5,0.75,0.5,0.5,0.6,0.6153846153846154,0.4,0.5,25.0,1.0,0.08695652173913043,0.08333333333333333,0.16666666666666666,0.10344827586206896,0.045454545454545456,0.14285714285714285,0.3333333333333333,0.16666666666666666,0.2,0.07692307692307693,1.0,1.0,0.3076923076923077,0.15384615384615385,0.5,0.5,1.0,0.46153846153846156,0.5,0.5,1.0,0.5,1.0,0.5,0.25,1.0,0.5,0.5,0.6923076923076923,0.5,0.49175769230769223,0.625025,0.4447375,0.13333333333333333,0.2857142857142857,0.13333333333333333,0.4,7.06,24.9125,0.3898305084745763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,1808.0,30,-8,55,57,22.0,16.0,6.0,112,1.0,1.0,,,1.0,,,,,,,,,,2.0,2.0,,,1.0,5.0,68,1.0,1.0,,3.0,1.0,,,2.0,2.0,,2.0,,,,3.0,1.0,3.0,4.0,3.0,7.0,,,2.0,3.0,2.0,3.0,2.0,2.0,22.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.75,1.0,,,,8.19672131147541,,0.13043478260869565,0.2727272727272727,0.14285714285714285,0.13333333333333333,0.16666666666666666,0.16666666666666666,,,,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,0.5,,0.615,0.5257,0.5257,0.6666666666666666,0.6666666666666666,0.6,0.4,2.8,,0.4,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,4.0,0.5,1.0,1.0,0.5,0.2,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202708,1610612748,Norris Cole,Norris Cole,202708,MIA,2964.0,49,-9,92,94,34.0,22.0,9.0,186,,1.0,,,2.0,2.0,3.0,2.0,2.0,2.0,5.0,,1.0,3.0,4.0,7.0,4.0,8.0,2.0,22.0,109,,,,,3.0,3.0,5.0,15.0,6.0,9.0,,5.0,2.0,1.0,,1.0,4.0,5.0,,5.0,3.0,2.0,4.0,1.0,3.0,2.0,,15.0,34.0,,0.75,0.5,0.6,0.5,0.5714285714285714,,0.6666666666666666,,0.8125,0.6875,,0.8333333333333334,0.5333333333333333,0.14285714285714285,,19.801980198019802,0.75,0.13333333333333333,,0.08333333333333333,0.11904761904761904,,,,,0.1111111111111111,0.06666666666666667,,,0.13333333333333333,0.2,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.4,0.4,0.5,,,,0.25,1.0,0.375,0.3333333333333333,0.6,0.4,0.46928000000000003,,0.44646250000000004,,,,0.6818181818181818,14.528571428571428,24.75,0.3695652173913043,1.0,,2.0,2.0,4.0,8.0,1.0,20.0,1.0,,,,,,,,0.25,0.25,0.6666666666666666,,0.2222222222222222,,,0.5,0.5,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.75,0.75,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,1610612748,Mike Miller,Mike Miller,2034,MIA,2192.0,37,1,66,66,12.0,5.0,8.0,132,1.0,1.0,,,1.0,2.0,3.0,1.0,1.0,3.0,4.0,,,,1.0,2.0,5.0,7.0,,17.0,74,,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,15.0,,4.0,3.0,,,3.0,3.0,7.0,1.0,8.0,,,2.0,4.0,1.0,,,3.0,12.0,,1.0,0.7142857142857143,1.0,0.7142857142857143,0.5,,0.9444444444444444,0.75,0.75,0.9444444444444444,0.75,0.75,0.7777777777777778,,,14.864864864864865,,0.13043478260869565,,0.3333333333333333,0.1875,0.043478260869565216,,,0.25,0.375,0.1111111111111111,1.0,1.0,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.4444444444444444,0.75,0.75,1.0,,,,0.5,1.0,,,0.8888888888888888,0.75,0.5584111111111111,0.6018,0.44,,,0.17647058823529413,0.17647058823529413,6.35,24.82857142857143,0.18181818181818182,,,,,2.0,5.0,1.0,12.0,2.0,4.0,,,,,,,,,,,0.13333333333333333,,,,,,,,,3.0,1.0,2.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.14285714285714285,0.2,0.5,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1610612748,Juwan Howard,Juwan Howard,436,MIA,3040.0,51,-13,95,97,34.0,22.0,9.0,192,3.0,6.0,,,9.0,,,,,,,,,,10.0,19.0,,,1.0,21.0,113,,,,,7.0,,,8.0,6.0,,,,,2.0,,,5.0,8.0,,8.0,3.0,,4.0,9.0,2.0,1.0,1.0,8.0,34.0,1.0,,,,,0.5263157894736842,,0.5263157894736842,,0.5714285714285714,0.5526315789473685,,0.5714285714285714,,0.10526315789473684,,22.115384615384613,0.75,0.16666666666666666,,,0.11904761904761904,,,0.4,0.42857142857142855,,0.3157894736842105,0.5,0.6,0.47368421052631576,,,,,,,,,,,,,,,,0.3157894736842105,,0.4381263157894737,,0.46781428571428574,0.05263157894736842,0.05263157894736842,,0.38095238095238093,8.678947368421053,,0.35789473684210527,7.0,,4.0,14.0,4.0,6.0,2.0,16.0,1.0,5.0,,1.0,,,,,0.7,0.7,0.5714285714285714,,,,1.0,0.7777777777777778,0.7777777777777778,,4.0,,,2.0,2.0,1.0,,,3.0,,1.0,,,0.16666666666666666,0.21052631578947367,,,,,,,,,3.0,,,,0.5,,,,,,1.0,2.0,1.0,1.0,1.0,0.25,0.5714285714285714,0.2857142857142857,0.5,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,1610612748,James Jones,James Jones,2592,MIA,772.0,13,-10,26,28,22.0,17.0,1.0,54,,,,,,1.0,1.0,1.0,1.0,,3.0,,,2.0,,,1.0,4.0,,3.0,35,,,,,,1.0,3.0,3.0,,3.0,,3.0,,,,1.0,1.0,2.0,,2.0,,,,,,,,3.0,22.0,,1.0,0.25,0.3333333333333333,0.25,,,0.375,,0.5,0.375,,0.5,1.0,,,14.814814814814813,,0.14285714285714285,,0.3333333333333333,0.2,,,,0.3333333333333333,,,,,,0.25,1.0,1.0,1.0,0.75,,,,,,,0.3333333333333333,1.0,0.6666666666666666,,1.0,,0.5158125,,0.5419999999999999,,,,1.0,,24.775,0.8461538461538461,,,,,2.0,2.0,1.0,6.0,,,,,,,,,,,,,,0.5,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201596,1610612748,Mario Chalmers,Mario Chalmers,201596,MIA,207.0,3,-10,7,8,4.0,,1.0,15,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,1610612748,Shane Battier,Shane Battier,2203,MIA,76.0,1,-4,3,3,,,,6,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,1610612748,Ray Allen,Ray Allen,951,MIA,240.0,4,-2,8,8,,,,16,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,3.0,10,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,1.5,,,1.5,,,1.0,,,12.5,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,0.5118,,,,,,,,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202363,1610612748,Jarvis Varnado,Jarvis Varnado,202363,MIA,124.0,2,-4,5,5,5.0,4.0,,10,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
