EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,FG3M,FtPoints,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,BlockingFouls,Offensive Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,FTDefRebounds,SelfOReb,SecondChanceTurnovers,Charge Fouls,DefFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,SecondChanceCorner3FGM,Loose Ball Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,FTOffRebounds,BlockedShortMidRange,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedLongMidRange,on,DefensiveGoaltends,SecondChanceAtRimPctAssisted,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,Arc3PctBlocked,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls
101130,1610612737,Johan Petro,Johan Petro,101130,ATL,978.0,16,-13.0,32,30,23.0,4.0,3.0,62,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,31,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,23.0,0.2,1.0,0.2,0.1666666666666666,0.5,0.1666666666666666,0.1666666666666666,0.5,0.1666666666666666,0.1666666666666666,20.0,0.1666666666666666,0.0833333333333333,0.5,0.1666666666666666,0.2142857142857142,0.1111111111111111,0.25,0.1666666666666666,0.5,0.125,0.5,0.3333333333333333,0.5,0.5,0.5,0.1666666666666666,0.5,0.1666666666666666,0.1666666666666666,0.4012666666666666,0.4818,0.4012666666666666,1.0,1.0,13.76,26.3,0.71875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
101150,1610612737,Lou Williams,Lou Williams,101150,ATL,14221.0,237,-24.0,442,438,111.0,90.0,53.0,880,5.0,14.0,28.0,30.0,3.0,11.0,35.0,61.0,35.0,130.0,489,4.0,10.0,4.0,13.0,8.0,13.0,12.0,27.0,58.0,,30.0,,1.0,4.0,9.0,13.0,1.0,14.0,8.0,17.0,3.0,12.0,31.0,1.0,,27.0,110.0,0.5737704918032787,0.4,0.6153846153846154,0.5208333333333334,0.3928571428571428,0.38,0.5803571428571429,0.4333333333333333,0.4655172413793103,0.3645833333333333,25.64612326043737,0.0703125,0.0067567567567567,0.0833333333333333,,0.0738636363636363,0.0046948356807511,,,0.1379310344827586,0.0526315789473684,0.1142857142857142,0.1458333333333333,0.3571428571428571,0.3846153846153846,0.2916666666666667,0.3125,0.2142857142857142,0.44,0.5625,0.4972036458333332,0.4609083333333333,0.499762,0.1,0.2076923076923077,11.450819672131148,25.222857142857137,0.251131221719457,14.0,19.0,2.0,3.0,5.0,7.0,16.0,2.0,5.0,1.0,1.0,8.0,1.0,1.0,10.0,30.0,1.0,2.0,1.0,8.0,12.0,15.0,15.0,8.0,6.0,27.0,7.0,34.0,5.0,2.0,8.0,4.0,15.0,75.0,11.0,8.0,3.0,9.0,6.0,7.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,33.0,1.0,15.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1714285714285714,0.1714285714285714,0.5,0.2857142857142857,0.25,0.0833333333333333,0.2857142857142857,0.0983606557377049,0.1052631578947368,0.0714285714285714,0.1071428571428571,0.5294117647058824,0.0147058823529411,0.0476190476190476,1.0,0.1979166666666666,0.7368421052631579,0.8235294117647058,0.2142857142857142,0.5714285714285714,0.64,0.1875,0.0520833333333333,0.4,0.4,0.5,0.2666666666666666,0.2666666666666666,0.5,0.2142857142857142,0.6666666666666666,0.0714285714285714,0.3333333333333333,1.0,0.28,0.7142857142857143,0.04,0.0909090909090909,0.2666666666666666,0.1363636363636363,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201229,1610612737,Anthony Tolliver,Anthony Tolliver,201229,ATL,4038.0,67,-13.0,127,124,37.0,27.0,16.0,251,2.0,3.0,3.0,4.0,,1.0,6.0,8.0,8.0,20.0,127,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,9.0,3.0,12.0,2.0,6.0,3.0,5.0,4.0,,,4.0,37.0,0.75,1.0,1.0,0.46875,0.5,0.5,0.5263157894736842,0.5,0.6666666666666666,0.5,17.006802721088437,0.081081081081081,0.0238095238095238,0.3076923076923077,0.08,0.14,0.044776119402985,,,0.1,0.1176470588235294,0.3333333333333333,0.1875,0.6666666666666666,0.6666666666666666,0.1875,0.25,,0.5,0.625,0.50203125,0.6028,0.452775,0.1,0.2,10.2375,24.675,0.2913385826771653,1.0,2.0,1.0,1.0,,,3.0,1.0,4.0,1.0,,,,,1.0,5.0,,,,2.0,8.0,3.0,,,,1.0,,1.0,,,,,1.0,2.0,1.0,,1.0,4.0,1.0,3.0,1.0,,1.0,,,,,6.0,,2.0,1.0,,,,,,1.0,0.6666666666666666,0.8,1.0,0.125,,,0.125,,,,,0.6666666666666666,,,,0.125,0.5,0.5,,1.0,1.0,1.0,0.25,0.25,0.25,1.0,,,,0.5,1.0,0.5,,,,,,,,0.1111111111111111,0.2,2.0,1.0,1.0,1.0,0.3333333333333333,0.1111111111111111,0.4,0.25,0.1111111111111111,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201274,1610612737,Ivan Johnson,Ivan Johnson,201274,ATL,6985.0,116,-10.0,218,221,42.0,39.0,24.0,439,4.0,6.0,19.0,1.0,,,20.0,39.0,1.0,44.0,213,2.0,4.0,,5.0,5.0,8.0,,11.0,8.0,2.0,1.0,,3.0,8.0,18.0,28.0,3.0,31.0,4.0,9.0,9.0,14.0,17.0,5.0,,11.0,42.0,0.5128205128205128,0.5,0.625,0.5,0.5,0.625,0.5116279069767442,0.625,0.6111111111111112,0.025,21.22448979591837,0.2571428571428571,0.0379746835443038,0.2758620689655172,,0.2626262626262626,0.0267857142857142,0.0526315789473684,,0.0714285714285714,0.3076923076923077,0.3125,0.15,0.6666666666666666,0.8,0.475,0.025,,,0.375,0.4788699999999999,0.6962666666666667,0.5290375,0.1136363636363636,0.25,11.26923076923077,24.3,0.1926605504587156,8.0,14.0,2.0,3.0,2.0,3.0,8.0,,,,,,,,,4.0,,1.0,,1.0,32.0,,,,3.0,1.0,1.0,2.0,1.0,,,,1.0,5.0,5.0,3.0,2.0,5.0,2.0,4.0,1.0,,1.0,3.0,,,,8.0,2.0,4.0,1.0,,,,,,,0.8,0.8421052631578947,,,,,,0.0769230769230769,0.1428571428571428,0.1666666666666666,,0.5555555555555556,0.0263157894736842,0.2941176470588235,,0.35,0.5714285714285714,0.6666666666666666,0.625,0.4210526315789473,0.4210526315789473,1.0,,,,,,,,0.75,0.6666666666666666,,,,0.375,0.6666666666666666,,,,0.0952380952380952,0.0975609756097561,2.0,,,1.0,0.4,0.0454545454545454,,0.2307692307692307,,0.75,1.0,4.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201627,1610612737,Anthony Morrow,Anthony Morrow,201627,ATL,18053.0,301,-36.0,562,560,144.0,100.0,63.0,1122,10.0,27.0,34.0,25.0,5.0,6.0,32.0,73.0,38.0,125.0,604,5.0,10.0,7.0,18.0,10.0,18.0,7.0,33.0,24.0,4.0,25.0,4.0,6.0,7.0,7.0,16.0,10.0,26.0,,4.0,19.0,33.0,13.0,,,32.0,143.0,0.4383561643835616,0.5,0.5555555555555556,0.4909909909909909,0.4705882352941176,0.52,0.521551724137931,0.5,0.5892857142857143,0.3423423423423423,18.808777429467085,0.0404624277456647,0.0309278350515463,0.1111111111111111,0.050632911392405,0.059322033898305,0.0366300366300366,0.0344827586206896,0.0172413793103448,0.075,0.0379746835443038,0.1363636363636363,0.2432432432432432,0.3703703703703703,0.3846153846153846,0.3063063063063063,0.2252252252252252,0.2941176470588235,0.24,0.4504504504504504,0.4778639639639638,0.5005166666666667,0.479142,0.144,0.264,12.441095890410956,24.57368421052632,0.2562277580071174,8.0,12.0,2.0,2.0,3.0,4.0,14.0,6.0,13.0,2.0,1.0,9.0,1.0,2.0,15.0,16.0,2.0,2.0,2.0,7.0,40.0,45.0,,9.0,7.0,5.0,4.0,9.0,3.0,1.0,2.0,,3.0,22.0,12.0,8.0,4.0,4.0,,3.0,1.0,,1.0,1.0,,1.0,,18.0,2.0,4.0,1.0,1.0,1.0,1.0,,,,0.625,0.6666666666666666,1.0,0.3947368421052631,0.2857142857142857,0.2857142857142857,0.3947368421052631,0.0958904109589041,0.25,0.037037037037037,0.088235294117647,1.0,0.0326086956521739,0.0185185185185185,,0.1081081081081081,0.6666666666666666,0.8888888888888888,0.5,0.4117647058823529,0.4516129032258064,0.6428571428571429,0.1171171171171171,0.4615384615384615,0.4615384615384615,1.0,0.36,0.36,1.0,0.1176470588235294,1.0,0.1176470588235294,0.2,1.0,0.16,0.75,0.04,0.3333333333333333,0.36,0.0521739130434782,0.0533333333333333,2.0,2.0,,,0.125,0.0227272727272727,0.1428571428571428,0.0526315789473684,0.0350877192982456,0.7,,,1.0,2.0,4.0,2.0,5.0,0.5,1.0,0.05,,,,,,,,,True,,,,,,,,,,,,
203098,1610612737,John Jenkins,John Jenkins,203098,ATL,1848.0,31,-26.0,58,58,29.0,10.0,10.0,116,1.0,2.0,1.0,4.0,,2.0,1.0,3.0,5.0,2.0,61,,,,,1.0,2.0,2.0,2.0,2.0,,4.0,,,,4.0,4.0,,4.0,,1.0,,,,,,2.0,29.0,0.3333333333333333,,0.5,0.125,,0.25,0.125,,0.25,0.625,12.857142857142858,0.1666666666666666,,,,0.1333333333333333,,,,,0.3,,0.25,0.5,0.5,0.125,0.5,,0.5,0.625,0.4844125,,0.413875,,1.0,13.333333333333334,25.14,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,2.0,5.0,1.0,1.0,1.0,,2.0,12.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.125,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
203118,1610612737,Mike Scott,Mike Scott,203118,ATL,1972.0,33,-24.0,65,62,23.0,9.0,6.0,127,,2.0,6.0,,,,1.0,9.0,,2.0,68,,1.0,,,,3.0,,,,,,1.0,1.0,1.0,4.0,5.0,2.0,7.0,2.0,8.0,1.0,3.0,,,,,23.0,0.1111111111111111,,,0.1111111111111111,,,0.1111111111111111,,,,23.61111111111111,0.2352941176470588,0.04,0.1111111111111111,0.1,0.1923076923076923,0.0571428571428571,0.1111111111111111,0.125,0.6666666666666666,0.2222222222222222,0.125,0.2222222222222222,,,0.6666666666666666,,,,0.1111111111111111,0.4030444444444444,0.5175,0.4268333333333333,,,14.744444444444444,,0.3538461538461538,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,2.0,2.0,,6.0,,5.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,0.1111111111111111,,0.5,,0.75,,,,0.1111111111111111,,,,0.1666666666666666,0.1666666666666666,1.0,,,,,,,,1.0,,,,,0.3333333333333333,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201952,1610612737,Jeff Teague,Jeff Teague,201952,ATL,6106.0,102,13.0,195,193,54.0,27.0,18.0,388,4.0,8.0,8.0,8.0,1.0,2.0,13.0,28.0,8.0,41.0,193,,2.0,1.0,3.0,3.0,8.0,2.0,11.0,22.0,,8.0,,2.0,3.0,4.0,7.0,2.0,9.0,5.0,11.0,1.0,4.0,8.0,,,11.0,53.0,0.4642857142857143,,0.375,0.4861111111111111,0.5,0.45,0.5256410256410257,0.5,0.5,0.2222222222222222,22.93577981651376,0.0666666666666666,0.0307692307692307,0.1666666666666666,,0.0897435897435897,0.0232558139534883,,,,0.12,0.0833333333333333,0.2222222222222222,0.5,0.5714285714285714,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2,0.5555555555555556,0.528,0.493425,0.605155,0.073170731707317,0.2682926829268293,8.15,25.000000000000004,0.2769230769230769,8.0,12.0,,1.0,3.0,7.0,1.0,,,,,3.0,1.0,1.0,3.0,6.0,1.0,,1.0,2.0,4.0,9.0,,3.0,3.0,15.0,4.0,19.0,2.0,2.0,6.0,4.0,5.0,42.0,5.0,3.0,2.0,6.0,2.0,5.0,1.0,2.0,,,,2.0,,6.0,,2.0,1.0,,,1.0,1.0,,1.0,0.1538461538461538,0.1538461538461538,1.0,0.375,1.0,0.5,0.375,0.1071428571428571,0.1666666666666666,0.125,,0.5454545454545454,0.054054054054054,0.0625,1.0,0.3333333333333333,0.6666666666666666,0.8,,0.125,0.125,1.0,,,,,0.375,0.375,1.0,0.3333333333333333,,,1.0,1.0,0.7,0.4285714285714285,,0.5,0.375,0.0526315789473684,0.0666666666666666,,,2.0,,,,,0.3333333333333333,,0.25,,,,1.0,,,,,,,1.0,1.0,,,,,,,True,,,,,,,,,,,,
201143,1610612737,Al Horford,Al Horford,201143,ATL,8311.0,139,-30.0,248,252,36.0,29.0,30.0,500,1.0,10.0,23.0,,,,25.0,54.0,1.0,57.0,288,5.0,8.0,,12.0,3.0,5.0,,6.0,14.0,8.0,,1.0,14.0,2.0,16.0,20.0,16.0,36.0,1.0,6.0,4.0,5.0,10.0,,1.0,6.0,35.0,0.4629629629629629,0.625,0.6,0.4545454545454545,0.625,0.6,0.4830508474576271,0.6666666666666666,0.6,0.0181818181818181,22.41379310344828,0.2077922077922078,0.1414141414141414,0.0769230769230769,0.0303030303030303,0.174757281553398,0.1136363636363636,0.1290322580645161,,0.2857142857142857,0.1818181818181818,0.0526315789473684,0.1818181818181818,0.1,0.1,0.4181818181818181,,,,0.4,0.4830218181818182,0.5616,0.5574600000000001,0.2105263157894736,0.1052631578947368,10.088888888888889,24.6,0.1451612903225806,15.0,21.0,4.0,6.0,3.0,3.0,9.0,,1.0,,,,,,,7.0,,2.0,,,36.0,,,,1.0,8.0,6.0,14.0,4.0,2.0,6.0,1.0,1.0,34.0,5.0,3.0,2.0,5.0,,4.0,1.0,,2.0,,,,,9.0,1.0,5.0,,2.0,,2.0,,,,0.72,0.8571428571428571,,,,,,0.0185185185185185,0.0476190476190476,,,0.8333333333333334,0.1333333333333333,0.1739130434782608,,0.3818181818181818,0.7142857142857143,0.75,0.6666666666666666,0.391304347826087,0.391304347826087,0.7777777777777778,0.0181818181818181,,,,,,,0.75,0.6666666666666666,,,,0.6,1.0,,,,0.0847457627118644,0.0862068965517241,2.0,6.0,,,0.2857142857142857,0.1739130434782608,0.0909090909090909,0.1428571428571428,0.2068965517241379,1.0,,,,1.0,,,,,,,,,1.0,2.0,0.25,,,,True,,,,,,,,,,,,
2585,1610612737,Zaza Pachulia,Zaza Pachulia,2585,ATL,12499.0,208,10.0,389,387,88.0,65.0,46.0,776,,5.0,9.0,,,,19.0,42.0,,47.0,420,6.0,14.0,,13.0,2.0,5.0,,5.0,16.0,12.0,,5.0,16.0,7.0,26.0,37.0,21.0,58.0,5.0,12.0,8.0,18.0,20.0,,1.0,5.0,88.0,0.4523809523809524,0.4285714285714285,0.4,0.4523809523809524,0.4285714285714285,0.4,0.5108695652173914,0.4642857142857143,0.4166666666666667,,13.09255079006772,0.2113821138211382,0.1259842519685039,0.1666666666666666,0.1020408163265306,0.2,0.1193181818181818,0.1714285714285714,0.1176470588235294,0.1428571428571428,0.25,0.2258064516129032,0.119047619047619,,,0.2142857142857142,,,,0.6666666666666666,0.5245214285714286,0.5791666666666667,0.4162,0.2765957446808511,0.1063829787234042,5.121428571428571,,0.2262210796915167,16.0,28.0,6.0,14.0,2.0,4.0,3.0,,,,,,,,,9.0,,1.0,,1.0,22.0,,,,5.0,9.0,3.0,12.0,3.0,,3.0,3.0,3.0,27.0,5.0,3.0,2.0,7.0,2.0,,7.0,1.0,3.0,,,,1.0,12.0,4.0,7.0,1.0,4.0,3.0,4.0,2.0,,1.0,0.5789473684210527,0.8461538461538461,,,,,,0.119047619047619,0.1071428571428571,0.4,,0.5833333333333334,0.0847457627118644,0.1904761904761904,0.5,0.6666666666666666,0.5714285714285714,0.64,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,1.0,0.4285714285714285,,,,0.8,0.5,,,,0.1555555555555555,0.1555555555555555,4.0,2.0,1.0,1.0,0.4444444444444444,0.1515151515151515,0.0666666666666666,,0.125,,,4.0,,3.0,,,2.0,,,,,,,1.0,,,,,True,,,,,,,,,,,,
