EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,PtsUnassisted3s,Fg3aBlocked,BadPassSteals,LostBallTurnovers,Loose Ball Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,Corner3Frequency,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,Corner3FGM,SecondChanceCorner3FGA,SelfOReb,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,BlockedLongMidRange,LongMidRangePctBlocked,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,SecondChanceArc3FGM,FTOffRebounds,BlockingFouls,3pt And 1 Free Throw Trips,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,3SecondViolations,HeaveAttempts,Charge Fouls,Defensive 3 Seconds Violations,Arc3PctBlocked,Clear Path Fouls,on,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends
101130,1610612737,Johan Petro,Johan Petro,101130,ATL,8998.0,150,-51,297,295,122.0,85.0,33.0,592,10.0,14.0,3.0,4.0,3.0,3.0,7.0,15.0,3.0,15.0,1.0,4.0,1.0,1.0,3.0,20.0,44.0,1.0,4.0,3.0,46.0,337,5.0,7.0,1.0,1.0,11.0,7.0,19.0,1.0,3.0,2.0,19.0,32.0,8.0,3.0,8.0,4.0,1.0,3.0,6.0,3.0,9.0,2.0,1.0,3.0,2.0,1.0,21.0,5.0,6.0,6,18,3.0,27,11.0,38,1.0,1.0,4.0,1.0,4.0,7.0,1.0,2.0,11.0,1.0,3.0,17.0,25.0,3.0,8.0,1.0,2.0,3.0,3.0,3.0,5.0,4.0,1.0,5.0,3.0,1.0,19.0,122.0,1.0,0.8,1.0,1.0,0.25,0.3333333333333333,0.25,0.45454545454545453,0.7142857142857143,0.3684210526315789,0.4479166666666667,0.625,0.38636363636363635,0.4791666666666667,0.6875,0.4318181818181818,0.08333333333333333,0.06818181818181818,0.14285714285714285,0.06666666666666667,17.82477341389728,0.36363636363636365,0.2727272727272727,0.16363636363636364,0.06593406593406594,0.23076923076923078,0.12195121951219512,0.17647058823529413,0.08333333333333333,0.1,0.08,0.043478260869565216,0.06666666666666667,0.2727272727272727,0.16216216216216217,0.22580645161290322,0.11904761904761904,0.23809523809523808,0.2,0.6,0.2916666666666667,0.7142857142857143,0.8333333333333334,0.7,0.3125,0.4666666666666667,0.5,0.8571428571428571,0.3125,0.2,0.2,1.0,0.08333333333333333,0.25,0.25,1.0,0.5,0.75,0.125,0.13636363636363635,1.0,0.13636363636363635,0.3333333333333333,0.375,0.25,0.47573297872340414,0.6174,0.43598863636363633,0.0625,0.06818181818181818,0.2391304347826087,0.41304347826086957,9.147727272727273,28.325,0.4107744107744108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
101150,1610612737,Lou Williams,Lou Williams,101150,ATL,8425.0,140,-26,268,270,62.0,79.0,37.0,538,5.0,7.0,,1.0,2.0,2.0,6.0,19.0,4.0,14.0,5.0,15.0,,1.0,4.0,15.0,40.0,5.0,20.0,12.0,57.0,283,2.0,4.0,,,4.0,2.0,8.0,1.0,7.0,4.0,11.0,4.0,26.0,6.0,,15.0,5.0,4.0,18.0,5.0,23.0,3.0,2.0,7.0,4.0,7.0,51.0,,,4,3,,7,,7,4.0,1.0,11.0,3.0,8.0,3.0,,,14.0,,2.0,5.0,10.0,,15.0,,,15.0,2.0,5.0,,,,,,,11.0,62.0,2.0,0.13333333333333333,0.13333333333333333,0.4,0.25,0.14285714285714285,0.25,0.375,0.5,0.25,0.375,0.5,0.23333333333333334,0.4230769230769231,0.5,0.3235294117647059,0.3333333333333333,0.1,0.14285714285714285,0.15789473684210525,25.732899022801305,0.7857142857142857,,0.02857142857142857,,0.14814814814814814,,0.05303030303030303,,,,,,,,0.03125,0.05555555555555555,0.16,,,0.11666666666666667,0.7142857142857143,0.8333333333333334,0.4,0.31666666666666665,0.3157894736842105,0.375,,0.23333333333333334,0.2857142857142857,0.2857142857142857,,0.25,0.3333333333333333,0.3333333333333333,0.4,0.25,,,0.13333333333333333,1.0,0.26666666666666666,0.25,0.45,0.3333333333333333,0.46388916666666663,0.4243666666666666,0.45965,0.09375,0.11627906976744186,0.07017543859649122,0.19298245614035087,10.9375,25.24,0.23134328358208955,5.0,3.0,9.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.05,0.2,0.08333333333333333,0.2,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
201229,1610612737,Anthony Tolliver,Anthony Tolliver,201229,ATL,19061.0,318,-31,613,613,200.0,191.0,78.0,1226,4.0,9.0,1.0,2.0,1.0,2.0,2.0,6.0,5.0,17.0,5.0,17.0,,2.0,6.0,11.0,32.0,13.0,36.0,16.0,77.0,598,2.0,3.0,1.0,1.0,5.0,4.0,9.0,2.0,10.0,7.0,21.0,18.0,4.0,39.0,2.0,17.0,5.0,1.0,9.0,1.0,10.0,1.0,,4.0,1.0,4.0,21.0,6.0,5.0,13,19,8.0,40,11.0,51,6.0,2.0,7.0,1.0,7.0,4.0,,1.0,11.0,2.0,3.0,17.0,25.0,,16.0,3.0,1.0,17.0,1.0,7.0,8.0,6.0,1.0,8.0,5.0,1.0,21.0,200.0,1.0,0.8181818181818182,0.9,1.0,0.3611111111111111,0.2,0.3611111111111111,0.34375,0.6666666666666666,0.4444444444444444,0.4485294117647059,0.5,0.3684210526315789,0.506578947368421,0.625,0.4772727272727273,0.5294117647058824,0.03125,,,12.464183381088825,0.6363636363636364,0.3333333333333333,0.08050847457627118,0.024509803921568627,0.1625,0.05714285714285714,0.10126582278481013,0.03559870550161812,,0.07692307692307693,0.00980392156862745,0.04,0.1,0.07865168539325842,0.05263157894736842,0.1,0.15,0.2,0.625,0.1323529411764706,0.4444444444444444,0.4444444444444444,0.75,0.08823529411764706,0.3333333333333333,0.3333333333333333,0.5,0.25,0.29411764705882354,0.3125,1.0,0.25,0.29411764705882354,0.29411764705882354,1.0,0.5,0.5,,0.10526315789473684,0.5,0.3157894736842105,0.3333333333333333,0.6617647058823529,0.29411764705882354,0.5056191176470587,0.4995833333333333,0.4776157894736842,0.0945945945945946,0.18421052631578946,0.06493506493506493,0.2727272727272727,12.443750000000001,24.463888888888896,0.3262642740619902,19.0,4.0,,2.0,4.0,,1.0,1.0,,,2.0,2.0,0.05555555555555555,0.10526315789473684,0.27941176470588236,0.21052631578947367,,8.0,1.0,1.0,2.0,1.0,1.0,0.058823529411764705,0.024390243902439025,0.42105263157894735,0.47058823529411764,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,True,,,,
201627,1610612737,Anthony Morrow,Anthony Morrow,201627,ATL,1848.0,31,-26,58,58,29.0,10.0,10.0,116,1.0,1.0,,,1.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,9.0,2.0,4.0,,12.0,61,,,2.0,,3.0,3.0,5.0,1.0,1.0,,9.0,4.0,2.0,6.0,,3.0,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,2,2,1.0,5,1.0,6,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,9.0,29.0,,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.5,0.3333333333333333,,0.6,0.46153846153846156,0.75,0.75,0.46153846153846156,0.75,0.75,0.3076923076923077,0.1111111111111111,,0.25,18.571428571428573,,0.3333333333333333,0.08333333333333333,0.038461538461538464,0.3333333333333333,,0.13333333333333333,0.02631578947368421,,,0.08333333333333333,,,,0.16666666666666666,0.1,0.4,,,0.07692307692307693,1.0,1.0,1.0,0.3076923076923077,0.25,0.3333333333333333,1.0,0.3076923076923077,0.25,0.25,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,,,0.5,0.16666666666666666,1.0,0.16666666666666666,1.0,0.38461538461538464,0.3333333333333333,0.4626230769230769,0.546525,0.47482500000000005,,,0.25,0.75,11.58888888888889,24.599999999999998,0.5,1.0,,,,,,,,,,,,,,0.07692307692307693,,,1.0,1.0,,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,
203098,1610612737,John Jenkins,John Jenkins,203098,ATL,54106.0,902,-124,1755,1754,445.0,468.0,211.0,3509,34.0,53.0,3.0,7.0,11.0,20.0,12.0,29.0,32.0,74.0,38.0,96.0,11.0,12.0,27.0,78.0,156.0,53.0,138.0,59.0,374.0,1886,11.0,20.0,14.0,5.0,45.0,22.0,45.0,14.0,37.0,28.0,114.0,108.0,48.0,132.0,4.0,96.0,38.0,11.0,42.0,14.0,56.0,10.0,4.0,24.0,7.0,11.0,126.0,4.0,12.0,24,51,2.0,77,17.0,94,12.0,4.0,28.0,5.0,16.0,12.0,1.0,2.0,40.0,6.0,11.0,16.0,37.0,,45.0,1.0,1.0,70.0,4.0,21.0,10.0,2.0,6.0,10.0,6.0,,113.0,444.0,3.0,0.6923076923076923,0.7105263157894737,0.8301886792452831,0.38405797101449274,0.3783783783783784,0.38405797101449274,0.5,0.55,0.4888888888888889,0.5357142857142857,0.5882352941176471,0.524390243902439,0.573208722741433,0.6142857142857143,0.5885416666666666,0.46938775510204084,0.07051282051282051,0.07547169811320754,0.1724137931034483,18.131592164741335,0.7,0.03773584905660377,0.08443708609271523,0.020869565217391306,0.11320754716981132,0.015748031496062992,0.09191176470588236,0.019300361881785282,0.026737967914438502,0.01948051948051948,0.017094017094017096,0.020512820512820513,,0.0430622009569378,0.06547619047619048,0.13656387665198239,0.13664596273291926,0.0392156862745098,0.6,0.18027210884353742,0.6415094339622641,0.6938775510204082,0.7647058823529411,0.09863945578231292,0.41379310344827586,0.5,0.5,0.25170068027210885,0.43243243243243246,0.4444444444444444,0.6875,0.32653061224489793,0.3958333333333333,0.3958333333333333,0.7894736842105263,0.20588235294117646,0.42857142857142855,0.3235294117647059,0.24390243902439024,0.55,0.32926829268292684,0.4444444444444444,0.6496598639455783,0.3958333333333333,0.5141605442176873,0.4815461538461538,0.5075579268292683,0.08280254777070063,0.12138728323699421,0.12032085561497326,0.3048128342245989,11.380769230769232,24.930434782608693,0.2535612535612536,42.0,10.0,27.0,,8.0,12.0,2.0,1.0,7.0,5.0,7.0,6.0,,,0.14285714285714285,0.12195121951219512,0.03546099290780142,15.0,3.0,3.0,1.0,2.0,2.0,0.02702702702702703,0.02,0.35714285714285715,0.35714285714285715,0.9333333333333333,0.08823529411764706,1.0,6.0,0.42857142857142855,0.3333333333333333,1.0,2.0,5.0,1.0,1.0,2.0,0.017857142857142856,0.3333333333333333,0.45454545454545453,0.8,0.2,,,,,,,True,,,,
203118,1610612737,Mike Scott,Mike Scott,203118,ATL,16911.0,282,-39,561,565,209.0,193.0,75.0,1126,35.0,60.0,10.0,23.0,9.0,16.0,6.0,22.0,10.0,31.0,,1.0,,,1.0,51.0,113.0,,1.0,27.0,129.0,560,11.0,28.0,,11.0,33.0,15.0,35.0,,1.0,5.0,35.0,76.0,26.0,,18.0,1.0,,10.0,5.0,5.0,10.0,4.0,1.0,2.0,,3.0,25.0,12.0,23.0,20,35,3.0,58,35.0,93,1.0,,12.0,,10.0,5.0,,2.0,17.0,3.0,6.0,12.0,22.0,2.0,25.0,,3.0,36.0,2.0,18.0,2.0,2.0,,2.0,1.0,,35.0,209.0,,0.7450980392156863,0.9047619047619048,,,,,0.45132743362831856,0.39285714285714285,0.42857142857142855,0.4473684210526316,0.39285714285714285,0.4166666666666667,0.49236641221374045,0.4714285714285714,0.4605263157894737,0.008771929824561403,0.08849557522123894,0.15,0.045454545454545456,23.052959501557634,0.7058823529411765,0.125,0.18134715025906736,0.11274509803921569,0.23809523809523808,0.14285714285714285,0.19855595667870035,0.12152777777777778,0.125,0.15789473684210525,0.07228915662650602,0.13636363636363635,0.16666666666666666,0.13333333333333333,0.22916666666666666,0.2,0.2153846153846154,0.3157894736842105,0.5,0.5263157894736842,0.5833333333333334,0.6862745098039216,0.7142857142857143,0.19298245614035087,0.2727272727272727,0.2857142857142857,0.8333333333333334,0.2719298245614035,0.3225806451612903,0.3225806451612903,0.8,0.008771929824561403,,,,0.8214285714285714,0.43478260869565216,,0.4444444444444444,0.5625,0.027777777777777776,,0.5350877192982456,,0.5065824561403509,0.5458368421052631,0.4982833333333334,0.13846153846153847,0.13953488372093023,0.2558139534883721,0.2713178294573643,7.55575221238938,25.3,0.37254901960784315,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,4.0,,1.0,,,0.07547169811320754,,,,,,,,,,,,,,,,0.1,,,,1.0,,,,,,True,,,,
201274,1610612737,Ivan Johnson,Ivan Johnson,201274,ATL,22376.0,373,-23,726,732,134.0,157.0,87.0,1458,45.0,77.0,11.0,17.0,12.0,14.0,6.0,19.0,12.0,35.0,,5.0,,,4.0,63.0,131.0,,5.0,30.0,156.0,739,12.0,23.0,,6.0,30.0,13.0,23.0,,4.0,5.0,31.0,68.0,58.0,,16.0,3.0,,27.0,12.0,4.0,16.0,3.0,1.0,9.0,,3.0,36.0,6.0,24.0,14,49,8.0,71,30.0,101,24.0,10.0,15.0,6.0,10.0,17.0,2.0,2.0,32.0,4.0,3.0,27.0,59.0,2.0,52.0,8.0,3.0,48.0,6.0,26.0,6.0,6.0,,6.0,4.0,,31.0,133.0,3.0,0.5396825396825397,0.6181818181818182,,,,,0.48091603053435117,0.5217391304347826,0.5652173913043478,0.4632352941176471,0.5217391304347826,0.48148148148148145,0.4968152866242038,0.5769230769230769,0.484375,0.03676470588235294,0.20610687022900764,0.2727272727272727,0.2631578947368421,22.90909090909091,0.46875,0.4,0.1991869918699187,0.09056603773584905,0.1414141414141414,0.075,0.1826086956521739,0.08695652173913043,0.09782608695652174,0.11594202898550725,0.0673076923076923,0.07575757575757576,0.07142857142857142,0.14634146341463414,0.24324324324324326,0.2111111111111111,0.14864864864864866,0.12,0.6666666666666666,0.5661764705882353,0.5844155844155844,0.8035714285714286,0.4888888888888889,0.13970588235294118,0.3157894736842105,0.42857142857142855,0.16666666666666666,0.25735294117647056,0.34285714285714286,0.35294117647058826,0.9166666666666666,0.03676470588235294,,,,0.7391304347826086,0.6470588235294118,,0.5185185185185185,0.8571428571428571,0.14814814814814814,,0.6029411764705882,,0.523063909774436,0.5538350000000001,0.49980399999999997,0.16666666666666666,0.17218543046357615,0.19230769230769232,0.1987179487179487,6.988549618320609,38.559999999999995,0.18457300275482094,,,,1.0,14.0,5.0,3.0,2.0,,,1.0,1.0,0.2,,,,,,,4.0,1.0,2.0,,0.02857142857142857,0.09523809523809523,,,,,,,,,,,,,2.0,,,0.18181818181818182,,,,1.0,2.0,2.0,1.0,0.2,,True,,,,
201952,1610612737,Jeff Teague,Jeff Teague,201952,ATL,20003.0,333,-96,666,654,174.0,174.0,67.0,1320,27.0,57.0,1.0,4.0,9.0,19.0,18.0,34.0,5.0,14.0,9.0,33.0,2.0,2.0,8.0,50.0,105.0,10.0,34.0,30.0,160.0,762,3.0,7.0,2.0,,6.0,14.0,30.0,2.0,8.0,15.0,49.0,14.0,86.0,21.0,2.0,33.0,9.0,12.0,65.0,20.0,85.0,17.0,3.0,28.0,12.0,25.0,190.0,1.0,1.0,6,12,,18,2.0,20,14.0,8.0,23.0,3.0,17.0,14.0,1.0,2.0,37.0,3.0,5.0,12.0,26.0,2.0,32.0,,,36.0,3.0,12.0,5.0,3.0,2.0,5.0,4.0,,49.0,174.0,4.0,0.14,0.14285714285714285,0.7,0.29411764705882354,0.25,0.29411764705882354,0.47619047619047616,0.42857142857142855,0.4666666666666667,0.4676258992805755,0.3333333333333333,0.4473684210526316,0.5129032258064516,0.3333333333333333,0.532608695652174,0.2446043165467626,0.11428571428571428,0.15789473684210525,0.08823529411764706,26.08695652173913,0.6216216216216216,,0.05825242718446602,0.004784688995215311,0.08,0.0125,0.06405693950177936,0.006920415224913495,0.014705882352941176,,,0.016129032258064516,,0.06060606060606061,0.038461538461538464,0.06818181818181818,0.08928571428571429,0.05263157894736842,0.8,0.41007194244604317,0.47368421052631576,0.5625,0.1111111111111111,0.2446043165467626,0.5294117647058824,0.5806451612903226,0.16666666666666666,0.10071942446043165,0.35714285714285715,0.35714285714285715,0.2,0.23741007194244604,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.4444444444444444,0.25,0.2222222222222222,0.5,0.47368421052631576,0.21052631578947367,0.25,0.6546762589928058,0.2727272727272727,0.5392891304347827,0.42284285714285713,0.5261842105263158,0.08108108108108109,0.10526315789473684,0.0375,0.30625,5.74,25.785294117647062,0.26126126126126126,1.0,,9.0,,6.0,6.0,,2.0,1.0,,7.0,6.0,,,0.007194244604316547,,,1.0,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,True,,,,
2052,1610612737,DeShawn Stevenson,DeShawn Stevenson,2052,ATL,8962.0,149,-19,295,297,52.0,59.0,27.0,592,1.0,1.0,,,,,2.0,3.0,3.0,13.0,3.0,22.0,,1.0,8.0,6.0,17.0,5.0,28.0,1.0,28.0,339,,1.0,1.0,,,,,1.0,9.0,,3.0,2.0,10.0,15.0,,22.0,3.0,,4.0,,4.0,,,3.0,,1.0,8.0,,2.0,5,9,1.0,15,2.0,17,4.0,1.0,4.0,,2.0,,,,4.0,,,5.0,10.0,,4.0,,,2.0,,1.0,,,,,,,3.0,52.0,,0.16666666666666666,0.16666666666666666,1.0,0.17857142857142858,0.1111111111111111,0.17857142857142858,0.35294117647058826,,,0.3,,0.16666666666666666,0.30434782608695654,,0.16666666666666666,0.6222222222222222,,,,15.337423312883436,1.0,0.16666666666666666,0.0967741935483871,0.024096385542168676,0.15625,,0.112,0.016129032258064516,,0.037037037037037035,0.03333333333333333,,,0.027777777777777776,0.14285714285714285,0.13793103448275862,0.14285714285714285,0.25,,0.022222222222222223,1.0,1.0,,0.06666666666666667,0.6666666666666666,0.6666666666666666,,0.28888888888888886,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.4888888888888889,0.13636363636363635,0.13636363636363635,1.0,,,,,,0.8888888888888888,0.125,0.6444444444444445,0.13636363636363635,0.4924329545454546,0.455225,0.46228125,0.021739130434782608,0.05555555555555555,,0.10714285714285714,16.41176470588235,25.90357142857142,0.17627118644067796,6.0,1.0,,,3.0,2.0,,,,,,,,,0.13333333333333333,0.1111111111111111,,2.0,1.0,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,True,,,,
2746,1610612737,Josh Smith,Josh Smith,2746,ATL,19298.0,322,-83,645,639,196.0,234.0,76.0,1284,33.0,47.0,5.0,7.0,10.0,14.0,11.0,28.0,12.0,29.0,10.0,28.0,2.0,3.0,11.0,56.0,104.0,11.0,32.0,24.0,169.0,746,6.0,11.0,2.0,3.0,15.0,18.0,29.0,3.0,11.0,7.0,52.0,58.0,54.0,33.0,10.0,28.0,10.0,3.0,14.0,22.0,36.0,15.0,7.0,9.0,1.0,4.0,94.0,4.0,10.0,13,46,10.0,69,15.0,84,14.0,1.0,10.0,9.0,7.0,13.0,1.0,2.0,23.0,1.0,6.0,11.0,23.0,1.0,35.0,,2.0,44.0,6.0,23.0,18.0,13.0,4.0,18.0,9.0,,52.0,196.0,5.0,0.5178571428571429,0.5686274509803921,1.0,0.34375,0.2727272727272727,0.34375,0.5384615384615384,0.5454545454545454,0.6206896551724138,0.5330882352941176,0.46153846153846156,0.5625,0.5451612903225806,0.5,0.5909090909090909,0.23529411764705882,0.028846153846153848,0.0425531914893617,0.03571428571428571,24.484181568088033,0.43478260869565216,0.43478260869565216,0.21395348837209302,0.053475935828877004,0.23636363636363636,0.0380952380952381,0.21851851851851853,0.04794520547945205,0.07575757575757576,0.0392156862745098,0.04285714285714286,0.036585365853658534,0.043478260869565216,0.23076923076923078,0.23809523809523808,0.1839080459770115,0.19047619047619047,0.38461538461538464,0.5,0.34558823529411764,0.7021276595744681,0.7333333333333333,0.5151515151515151,0.20588235294117646,0.39285714285714285,0.4074074074074074,0.09090909090909091,0.21323529411764705,0.41379310344827586,0.41379310344827586,0.9166666666666666,0.20588235294117646,0.35714285714285715,0.35714285714285715,1.0,0.5384615384615384,0.7142857142857143,0.15384615384615385,0.35,0.7142857142857143,0.275,0.2727272727272727,0.5808823529411765,0.35714285714285715,0.5137533088235293,0.5452227272727272,0.51366,0.1503267973856209,0.19008264462809918,0.08875739644970414,0.3076923076923077,7.921153846153846,25.006249999999994,0.30387596899224806,4.0,,,,13.0,3.0,1.0,1.0,,,2.0,2.0,,,0.029411764705882353,,,1.0,,2.0,,3.0,1.0,,0.03125,0.25,0.25,1.0,,,,,,,,,1.0,1.0,,0.038461538461538464,,,,,,,,,,,True,,,,
