EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,LostBallSteals,BadPassTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,PtsUnassisted3s,Blocked3s,BlockedArc3,HeaveAttempts,Travels,PenaltyTurnovers,Technical Free Throw Trips,SelfOReb,SelfORebPct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,SecondChanceArc3FGM,SecondChanceArc3FGA,LongMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedCorner3,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,OffensiveGoaltends,OffCorner3ReboundPct
1563,1610612760,Kevin Ollie,Kevin Ollie,1563,OKC,192.0,3,-3.0,6,6,6,5,12,9,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201586,1610612760,Serge Ibaka,Serge Ibaka,201586,OKC,5864.0,98,18.0,181,181,60,61,362,193,60,0.3314917127071823,23.0,9.0,13.0,4.0,7.0,3.0,4.0,6.0,7.0,2.0,9.0,17.0,29.0,2.0,36.0,5.0,8.0,2.0,12.0,4.0,9.0,8.0,22.0,12.0,10.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,5.0,7.0,4.0,16.0,10.0,26.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,6.0,14.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,3.0,1.0,2.0,6.0,2.0,1.0,8.0,1.0,0.6470588235294118,0.9166666666666666,0.5862068965517241,0.625,0.4444444444444444,0.5862068965517241,0.625,0.4444444444444444,0.6,0.6666666666666666,0.4444444444444444,0.034482758620689655,0.07692307692307693,16.504854368932037,0.25,0.5,0.11475409836065574,0.09523809523809523,0.17857142857142858,0.21052631578947367,0.1348314606741573,0.12195121951219512,0.11764705882352941,0.10526315789473684,0.25,0.1,0.2,0.07692307692307693,0.13043478260869565,0.4,0.3333333333333333,0.4482758620689655,0.6923076923076923,0.75,0.5555555555555556,0.2413793103448276,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.3103448275862069,0.2222222222222222,0.2222222222222222,1.0,0.875,0.5714285714285714,0.4444444444444444,0.75,0.4482758620689655,0.45707931034482757,0.55754,0.4119555555555555,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.2222222222222222,7.348275862068966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201935,1610612760,James Harden,James Harden,201935,OKC,7202.0,120,4.0,223,222,87,79,445,247,87,0.3901345291479821,30.0,4.0,12.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,15.0,16.0,46.0,,1.0,,,2.0,2.0,24.0,6.0,6.0,,2.0,2.0,11.0,1.0,24.0,,1.0,6.0,6.0,2.0,14.0,1.0,15.0,6.0,3.0,3.0,,,1.0,,3.0,1.0,6.0,14.0,,,16.0,,19.0,6.0,1.0,1.0,,,1.0,,,24.0,1.0,0.5,0.5,0.4,,1.0,0.4838709677419355,,0.8888888888888888,0.5897435897435898,,0.9230769230769231,0.13333333333333333,0.16666666666666666,16.34241245136187,1.0,0.18181818181818182,0.08571428571428572,0.012658227848101266,0.15789473684210525,,0.1111111111111111,0.009433962264150943,0.023809523809523808,,,0.043478260869565216,0.1,0.1111111111111111,0.14285714285714285,0.2,,0.3870967741935484,0.3333333333333333,0.4,0.5,0.06451612903225806,0.5,0.5,1.0,0.03225806451612903,1.0,1.0,,1.0,,0.1111111111111111,1.0,0.9032258064516129,0.5624790322580646,0.5415,0.5653166666666667,0.2,0.3157894736842105,,0.5217391304347826,2.64,3.0,8.0,2.0,3.0,3.0,8.0,2.0,4.0,6.0,16.0,4.0,7.0,8.0,18.0,8.0,3.0,9.0,1.0,6.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,0.375,0.5714285714285714,0.375,0.5161290322580645,0.25806451612903225,0.375,0.375,1.0,0.25806451612903225,0.375,0.375,1.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5,0.375,0.0625,24.20625,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201953,1610612760,Eric Maynor,Eric Maynor,201953,OKC,3620.0,60,2.0,113,112,33,38,225,115,33,0.2920353982300885,13.0,,4.0,,,,1.0,4.0,6.0,,1.0,4.0,11.0,9.0,20.0,,,1.0,1.0,,1.0,10.0,,8.0,,,1.0,6.0,,13.0,,1.0,3.0,3.0,,6.0,1.0,7.0,,,3.0,,,,,3.0,,3.0,5.0,,,8.0,1.0,11.0,3.0,,,,,1.0,1.0,,10.0,1.0,,,0.36363636363636365,,,0.34375,,0.5,0.47619047619047616,0.5,0.7142857142857143,,,18.6046511627907,1.0,,0.08108108108108109,0.02564102564102564,0.15,,0.10526315789473684,0.017857142857142856,0.043478260869565216,,,0.15384615384615385,,0.08333333333333333,0.13333333333333333,0.2,1.0,0.25,,,,0.375,0.6666666666666666,0.6666666666666666,,0.0625,,,,,,0.3333333333333333,,0.5625,0.466490625,,0.5148833333333332,0.16666666666666666,0.23076923076923078,0.05,0.5,6.8,,,,,1.0,5.0,1.0,2.0,1.0,5.0,1.0,2.0,7.0,,5.0,1.0,5.0,1.0,3.0,2.0,,,3.0,,1.0,,,3.0,3.0,,0.2,0.5,0.2,0.3125,,,,,0.3125,0.2,0.2,,,,0.6666666666666666,0.5,0.2,,25.24,3.0,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2041,1610612760,Etan Thomas,Etan Thomas,2041,OKC,912.0,15,1.0,28,29,9,19,57,32,9,0.32142857142857145,2.0,3.0,4.0,,,,,2.0,2.0,,,5.0,6.0,2.0,12.0,,,2.0,2.0,1.0,1.0,2.0,8.0,2.0,,1.0,,,,,,1.0,,3.0,,3.0,1.0,4.0,,,,,,,,,,1.0,1.0,,,1.0,,2.0,1.0,,,,,,,,2.0,,0.8,0.8,0.8333333333333334,,1.0,0.8333333333333334,,1.0,0.8571428571428571,1.0,1.0,0.16666666666666666,0.25,23.333333333333336,,,0.23076923076923078,0.14285714285714285,,,0.17647058823529413,0.08333333333333333,0.25,,,0.3333333333333333,0.16666666666666666,0.25,,,,0.6666666666666666,0.75,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,,,,,,,,,0.6666666666666666,0.5413666666666667,,0.4013,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,1.7333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201957,1610612760,Byron Mullens,Byron Mullens,201957,OKC,119.0,2,,4,4,4,4,8,3,4,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,0.25,,0.25,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.3976,,0.3976,,,,1.0,14.1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
200757,1610612760,Thabo Sefolosha,Thabo Sefolosha,200757,OKC,318.0,5,-3.0,8,8,8,3,16,11,8,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.3972,,0.3972,,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201142,1610612760,Kevin Durant,Kevin Durant,201142,OKC,3951.0,66,8.0,129,126,69,57,255,144,69,0.5348837209302325,20.0,2.0,7.0,,,1.0,5.0,3.0,7.0,4.0,9.0,9.0,23.0,19.0,49.0,,,1.0,1.0,2.0,8.0,28.0,12.0,6.0,,2.0,2.0,6.0,1.0,14.0,,,7.0,8.0,1.0,16.0,,16.0,,,,1.0,6.0,,2.0,6.0,,,4.0,,2.0,12.0,,21.0,5.0,2.0,,1.0,1.0,2.0,1.0,1.0,28.0,1.0,0.6666666666666666,0.6666666666666666,0.391304347826087,,0.25,0.4166666666666667,,0.40625,0.5217391304347826,0.5,0.5625,0.08695652173913043,0.2857142857142857,34.666666666666664,,0.16666666666666666,0.21621621621621623,,0.35,,0.2631578947368421,,,,,0.18181818181818182,0.3,0.1875,0.4,0.2,0.5,0.19444444444444445,0.2857142857142857,0.4,1.0,0.19444444444444445,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.25,0.4444444444444444,0.4444444444444444,0.5,,,0.3125,0.2,0.5555555555555556,0.4720942857142857,,0.4876833333333333,0.12195121951219512,0.17857142857142858,0.02040816326530612,0.5714285714285714,9.88695652173913,,,,,4.0,13.0,3.0,8.0,4.0,13.0,3.0,8.0,15.0,3.0,12.0,4.0,4.0,1.0,3.0,,1.0,,,,,,,5.0,5.0,0.25,0.3076923076923077,0.375,0.3333333333333333,0.3611111111111111,,,,,0.3611111111111111,0.3076923076923077,0.3076923076923077,0.25,,,0.5,0.375,0.3333333333333333,,27.807692307692307,9.0,,,1.0,1.0,5.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,
201145,1610612760,Jeff Green,Jeff Green,201145,OKC,3767.0,63,-19.0,115,115,40,21,230,136,40,0.34782608695652173,17.0,1.0,6.0,,1.0,,1.0,1.0,2.0,,1.0,2.0,9.0,8.0,15.0,,1.0,,,,1.0,2.0,,4.0,,3.0,1.0,3.0,1.0,7.0,,3.0,3.0,3.0,1.0,7.0,3.0,10.0,,,,,1.0,,,1.0,,1.0,2.0,,,9.0,,8.0,3.0,1.0,,,1.0,1.0,1.0,,2.0,1.0,,,0.2222222222222222,,,0.2692307692307692,,,0.40625,,0.25,0.3333333333333333,0.5,12.499999999999998,,0.16666666666666666,0.09090909090909091,0.06382978723404255,0.15,,0.11320754716981132,0.04918032786885246,0.08695652173913043,0.07142857142857142,,0.13333333333333333,,0.09090909090909091,0.2727272727272727,,1.0,0.46153846153846156,0.16666666666666666,0.3333333333333333,,0.15384615384615385,0.5,0.5,,0.07692307692307693,,,,1.0,,0.3333333333333333,,0.7692307692307693,0.5034461538461538,0.666,0.4915,0.1875,0.25,,0.13333333333333333,4.322222222222222,1.0,1.0,,,,3.0,,2.0,1.0,4.0,,2.0,2.0,3.0,3.0,,2.0,,1.0,1.0,,,,1.0,,,,,,1.0,0.25,,0.25,0.3076923076923077,0.07692307692307693,1.0,1.0,1.0,0.23076923076923078,,,,,,0.6666666666666666,,,,24.725,,,,,1.0,1.0,2.0,1.0,0.16666666666666666,,,True,,,,,,,,,,,,,,,,,,,,
201566,1610612760,Russell Westbrook,Russell Westbrook,201566,OKC,3612.0,60,,111,111,55,42,222,134,55,0.4954954954954955,17.0,11.0,15.0,,,6.0,8.0,4.0,5.0,4.0,9.0,19.0,29.0,8.0,49.0,2.0,3.0,4.0,8.0,9.0,16.0,21.0,6.0,32.0,,,,7.0,,14.0,,1.0,2.0,6.0,,8.0,1.0,9.0,2.0,2.0,3.0,,1.0,2.0,,4.0,,,5.0,1.0,,7.0,,8.0,5.0,,,,,,,,21.0,3.0,0.15789473684210525,0.15789473684210525,0.6551724137931034,0.6666666666666666,0.5625,0.6612903225806451,0.6666666666666666,0.5294117647058824,0.7205882352941176,0.8,0.5833333333333334,,,29.45736434108527,0.75,,0.18181818181818182,0.024390243902439025,0.1111111111111111,,0.1568627450980392,0.0196078431372549,0.05,,,0.3,,0.2,0.15384615384615385,,,0.4838709677419355,0.7333333333333333,0.7333333333333333,0.18181818181818182,0.16129032258064516,0.8,0.8,,0.2903225806451613,0.4444444444444444,0.4444444444444444,0.25,,,0.47058823529411764,0.75,0.5483870967741935,0.5050290322580645,0.38586666666666664,0.5035323529411765,0.14705882352941177,0.15625,0.16326530612244897,0.42857142857142855,6.710344827586207,,,,,1.0,2.0,,1.0,1.0,2.0,,1.0,3.0,,2.0,1.0,7.0,,2.0,2.0,3.0,,1.0,,2.0,,,,,,0.5,,0.5,0.06451612903225806,,,,,0.06451612903225806,0.5,0.5,,,,0.058823529411764705,,0.5,,24.45,3.0,,,,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,
