EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,PtsAssisted2s,Fg2aBlocked,ShortMidRangeAssists,ShootingFouls,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,OffArc3ReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,HeaveAttempts,OffTwoPtRebounds,Steals,BadPassSteals,DeadBallTurnovers,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceArc3FGA,SecondChanceFG3A,DefThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,NonHeaveArc3FGA,FTOffRebounds,Loose Ball Fouls,Offensive Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangePctBlocked,on,PenaltyArc3FGM,PenaltyFG3M,Arc3Assists,AtRimAssists,BadPassOutOfBoundsTurnovers,Travels,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,PenaltyFg3Pct,AtRimPctAssisted,Arc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,PenaltyCorner3FGA,Blocked3s,BlockedArc3,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Defensive 3 Seconds Violations,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,3SecondViolations
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,787.0,13.0,-8,25,26,8.0,5,5.0,51,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,28,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,8.0,0.25,0.25,0.25,0.25,0.25,0.25,16.666666666666668,1.0,0.14285714285714285,0.3333333333333333,0.09090909090909091,0.07692307692307693,0.5,0.3333333333333333,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.50665,0.50665,1.0,7.800000000000001,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,766.0,13.0,-4,21,23,11.0,17,4.0,44,,2.0,,1.0,4.0,,2.0,6.0,4.0,24,1.0,3.0,2.0,2.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,3.0,,,,,,,2.0,11.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,23.076923076923077,,0.16666666666666666,0.2,0.15384615384615385,0.06666666666666667,,0.25,0.3333333333333333,,,0.6666666666666666,,0.3333333333333333,,0.3333333333333333,0.4697,0.4666666666666666,0.5,4.866666666666666,0.5238095238095238,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,0.5,0.3333333333333333,0.2,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,1647.0,27.0,-7,53,53,19.0,26,9.0,106,,2.0,,1.0,1.0,3.0,3.0,6.0,15.0,56,,1.0,2.0,2.0,1.0,1.0,,2.0,,,,1.0,1.0,,,1.0,,5.0,,2.0,19.0,0.5,,0.5,,0.5769230769230769,0.3333333333333333,21.875,,,,,0.034482758620689655,,,0.2222222222222222,,,0.1111111111111111,0.3333333333333333,0.5,,0.5555555555555556,0.51225,0.7116,0.13333333333333333,10.533333333333333,0.3584905660377358,1.0,4.0,1.0,1.0,2.0,3.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,4.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.05,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.5,0.2222222222222222,0.5,0.5,1.0,0.1111111111111111,0.5,0.3076923076923077,0.4,0.06666666666666667,29.833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,1388.0,23.0,-2,47,47,13.0,27,7.0,94,1.0,3.0,,1.0,,3.0,1.0,6.0,2.0,40,,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,6.0,3.0,2.0,5.0,1.0,,,,13.0,0.16666666666666666,,0.1111111111111111,,0.1111111111111111,,25.925925925925924,0.6,0.06666666666666667,0.16666666666666666,0.13043478260869565,0.07692307692307693,0.2,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,,0.6666666666666666,0.461625,0.3935,,9.549999999999999,0.2765957446808511,,,,,1.0,5.0,,,,,0.14285714285714285,,,,,,,2.0,1.0,1.0,,3.0,,,,1.0,,,1.0,,1.0,,2.0,1.0,,,,,,,0.3333333333333333,,,,,,0.2222222222222222,,,,0.1111111111111111,0.5,,,,29.733333333333334,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.14285714285714285,0.25,0.25,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,2165.0,36.0,-11,69,68,21.0,41,13.0,137,2.0,3.0,,,,,2.0,3.0,4.0,68,,,,4.0,,,,,1.0,2.0,4.0,5.0,9.0,,,1.0,,3.0,1.0,,21.0,0.6666666666666666,,0.25,,0.25,,10.714285714285715,,0.08333333333333333,0.058823529411764705,0.12121212121212122,0.09090909090909091,0.16666666666666666,0.14285714285714285,0.375,0.6666666666666666,0.6666666666666666,,,,,1.0,0.59501875,0.5304,,0.5333333333333333,0.30434782608695654,,,,,1.0,8.0,,,,,,0.14285714285714285,,,,,,1.0,4.0,1.0,,5.0,,,4.0,1.0,,,,3.0,2.0,1.0,1.0,1.0,,,,,,0.5,0.625,0.1111111111111111,0.08333333333333333,,,,0.125,,,,0.5,1.0,,,1.0,24.02,1.0,1.0,2.0,,,1.0,,,,1.0,,0.2222222222222222,,0.4,,,0.25,2.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.75,0.6666666666666666,0.6219666666666667,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,1610612742,Caron Butler,Caron Butler,2406,DAL,1521.0,25.0,-6,48,49,16.0,24,10.0,97,1.0,3.0,1.0,2.0,1.0,6.0,3.0,10.0,16.0,51,2.0,3.0,6.0,4.0,,1.0,,3.0,1.0,7.0,8.0,2.0,10.0,,,,,3.0,,6.0,16.0,0.3,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.5,0.75,27.118644067796613,,0.3888888888888889,0.16666666666666666,0.32,0.07407407407407407,0.5,0.5,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.07142857142857142,0.42857142857142855,0.6666666666666666,0.5,0.5,0.4792178571428572,0.5099,0.375,10.63,0.3333333333333333,,2.0,,,1.0,1.0,0.3333333333333333,0.5,,,,0.5,,,,2.0,,1.0,3.0,,2.0,4.0,4.0,,2.0,,2.0,,,1.0,2.0,1.0,,,4.0,1.0,,0.5,0.5,0.25,0.2857142857142857,0.047619047619047616,0.125,0.3333333333333333,0.3333333333333333,0.5,0.07142857142857142,,,,0.21428571428571427,,0.06666666666666667,0.09090909090909091,0.125,24.2,,,1.0,,,1.0,,,,,,0.14285714285714285,0.16666666666666666,,0.5,,,1.0,1.0,1.0,4.0,2.0,3.0,,,,0.25,0.25,,,,0.25,1.0,0.44903333333333334,2.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,954.0,16.0,-14,27,27,11.0,18,7.0,54,,,,,3.0,,1.0,3.0,5.0,35,1.0,1.0,5.0,2.0,,,,,,1.0,1.0,,1.0,,,,,2.0,,5.0,11.0,0.3333333333333333,1.0,0.2,1.0,0.35714285714285715,0.8333333333333334,19.444444444444446,,0.1,,0.07692307692307693,,,0.25,,,,0.6,,,,0.4,0.46517,0.4165,1.0,7.966666666666666,0.4074074074074074,1.0,,1.0,,,1.0,,,0.3333333333333333,,,,0.3333333333333333,0.5,,,,,2.0,,,2.0,3.0,,,,3.0,,,,1.0,,,,4.0,,,,,,0.4,,,,,,,,,,0.4,,,,,24.75,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,1610612742,Erick Dampier,Erick Dampier,956,DAL,298.0,5.0,-2,8,7,,7,3.0,15,,1.0,,,,,,1.0,,9,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,7.692307692307692,,,,,0.1,,,1.0,,,,,,,1.0,0.6059,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.5,1.0,,0.6059,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201958,1610612742,Rodrigue Beaubois,Rodrigue Beaubois,201958,DAL,317.0,5.0,1,12,10,3.0,10,3.0,22,1.0,2.0,1.0,1.0,,,1.0,2.0,5.0,8,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,2.0,3.0,0.5,1.0,0.4166666666666667,0.5,0.4166666666666667,0.5,40.0,,,,,,,,0.3333333333333333,0.5,0.5,,,0.5,1.0,1.0,0.554675,0.541875,0.4,0.8,0.25,,,,,,1.0,,,,,,,,,,,,,4.0,1.0,1.0,4.0,,,,1.0,,,,,,,,,,,,0.25,0.25,,0.6666666666666666,,,,,,,,,,0.6666666666666666,0.5,,,,24.775,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,0.25,0.25,0.25,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,1610612742,Brendan Haywood,Brendan Haywood,2217,DAL,330.0,6.0,2,14,10,3.0,10,2.0,24,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,7,1.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,,,,,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.25,,,,,0.125,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0.5173,0.5173,1.0,0.6,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,1.0,,0.3333333333333333,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,,,1.0,1.0,0.5173,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
