EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,ThreePtAssists,Arc3Assists,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ShortMidRangeAssists,Steals,BadPassSteals,StepOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Corner3FGA,PtsUnassisted3s,Corner3Assists,Corner3Frequency,Corner3FGM,PenaltyArc3FGM,PenaltyFG3M,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Accuracy,2pt And 1 Free Throw Trips,BlockedShortMidRange,SecondChanceFtPoints,OffThreePtRebounds,Blocked3s,BlockedCorner3,OffThreePtReboundPct,OffArc3ReboundPct,OffensiveGoaltends,on,OffCorner3ReboundPct,FTOffRebounds,LostBallSteals,3SecondViolations,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
101124,1610612741,Hakim Warrick,Hakim Warrick,101124,CHI,662.0,11,-5.0,21,20,2.0,8.0,41,1.0,2.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,2.0,6.0,25,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.5,0.5,0.4,0.3333333333333333,0.42857142857142855,0.16666666666666666,33.333333333333336,0.16666666666666666,0.1111111111111111,0.5,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,0.16666666666666666,0.4043833333333333,0.4809,0.14285714285714285,0.16666666666666666,15.279999999999998,25.9,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1802,1610612741,Brad Miller,Brad Miller,1802,CHI,5559.0,93,-29.0,174,175,26.0,47.0,349,2.0,6.0,4.0,7.0,4.0,2.0,10.0,23.0,4.0,7.0,27.0,212,2.0,16.0,4.0,4.0,8.0,15.0,18.0,13.0,3.0,7.0,1.0,26.0,0.8,1.0,0.43478260869565216,0.37037037037037035,0.43333333333333335,0.14814814814814814,19.072164948453608,0.1702127659574468,0.17105263157894737,0.21428571428571427,0.2222222222222222,0.3333333333333333,0.5,0.25925925925925924,0.5714285714285714,0.6666666666666666,1.0,0.14814814814814814,0.5,0.5185185185185185,0.49242592592592593,0.5139625,0.03571428571428571,0.041666666666666664,7.665217391304348,25.299999999999997,0.14942528735632185,17.0,4.0,10.0,2.0,4.0,1.0,2.0,3.0,5.0,6.0,1.0,2.0,5.0,7.0,4.0,4.0,4.0,4.0,2.0,2.0,8.0,3.0,5.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,7.0,1.0,9.0,16.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,2.0,0.6,0.5,0.6,0.25,0.6,0.5,0.17391304347826086,0.1,0.3333333333333333,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.043478260869565216,0.1724137931034483,0.03409090909090909,0.09523809523809523,0.0625,0.23529411764705882,0.0625,0.043478260869565216,0.6666666666666666,0.07692307692307693,0.37037037037037035,0.4,0.4444444444444444,0.5,1.0,0.8,0.5,0.5,0.5,0.5166000000000001,0.2222222222222222,0.25925925925925924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201149,1610612741,Joakim Noah,Joakim Noah,201149,CHI,2996.0,50,-15.0,97,99,16.0,27.0,196,1.0,1.0,,2.0,,,9.0,15.0,,2.0,20.0,122,,10.0,8.0,,6.0,9.0,14.0,2.0,,2.0,1.0,16.0,0.5555555555555556,0.8333333333333334,0.6,0.6,0.625,,18.34862385321101,0.25,0.23684210526315788,0.2,0.06666666666666667,1.0,1.0,0.13333333333333333,,,,,,0.8,0.5864466666666668,0.5690999999999999,0.0625,0.0625,3.18,,0.16494845360824742,10.0,8.0,12.0,4.0,6.0,,2.0,4.0,6.0,8.0,,2.0,,,6.0,,4.0,5.0,,4.0,11.0,5.0,3.0,,5.0,,2.0,,2.0,2.0,,,4.0,,2.0,6.0,1.0,1.0,,,2.0,2.0,2.0,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,0.5,,0.1388888888888889,0.21428571428571427,0.10204081632653061,0.2857142857142857,,0.3333333333333333,0.2,0.25,,,0.8,0.6666666666666666,0.6666666666666666,0.625,,1.0,0.6666666666666666,1.0,,0.6064999999999999,0.4,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.07142857142857142,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201565,1610612741,Derrick Rose,Derrick Rose,201565,CHI,4648.0,77,-39.0,148,150,26.0,47.0,298,6.0,11.0,6.0,16.0,2.0,,18.0,37.0,2.0,5.0,44.0,192,,12.0,24.0,2.0,1.0,6.0,7.0,8.0,2.0,6.0,2.0,26.0,0.3333333333333333,0.35294117647058826,0.4864864864864865,0.5,0.5238095238095238,0.05128205128205128,28.1437125748503,0.027777777777777776,0.1,,0.28205128205128205,0.5454545454545454,0.6,0.41025641025641024,0.375,0.375,0.5,0.05128205128205128,,0.3076923076923077,0.47514871794871794,0.4070777777777778,0.04878048780487805,0.05128205128205128,10.443243243243243,26.05,0.17567567567567569,16.0,6.0,10.0,,,,,1.0,2.0,2.0,3.0,9.0,1.0,7.0,2.0,2.0,13.0,16.0,4.0,7.0,35.0,1.0,5.0,,1.0,,2.0,1.0,,3.0,2.0,,5.0,,3.0,4.0,,,,1.0,,,,7.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.35,0.05405405405405406,0.1,0.09090909090909091,,0.4,,0.016666666666666666,0.20833333333333334,0.012987012987012988,,,0.07692307692307693,,0.2631578947368421,,,0.2564102564102564,0.6,0.6666666666666666,0.5,,,,,,0.36515,0.045454545454545456,0.1590909090909091,3.0,3.0,1.0,1.0,,,,,0.03571428571428571,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2436,1610612741,Flip Murray,Flip Murray,2436,CHI,2817.0,47,13.0,84,84,7.0,13.0,168,,2.0,2.0,3.0,5.0,,6.0,13.0,6.0,4.0,22.0,87,,4.0,8.0,5.0,1.0,5.0,6.0,4.0,1.0,4.0,2.0,7.0,0.3333333333333333,0.3333333333333333,0.46153846153846156,0.47368421052631576,0.5238095238095238,0.3157894736842105,21.42857142857143,0.03571428571428571,0.12195121951219512,0.14285714285714285,0.10526315789473684,,,0.15789473684210525,0.6666666666666666,0.6666666666666666,0.5,0.2631578947368421,,0.7368421052631579,0.5450868421052631,0.50105,0.09523809523809523,0.13333333333333333,6.746153846153845,24.45,0.08333333333333333,10.0,4.0,8.0,,,1.0,1.0,,,,1.0,2.0,,2.0,,,5.0,6.0,2.0,3.0,13.0,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,0.5,,0.5,,0.5,,,,,,,0.02702702702702703,0.3076923076923077,0.023255813953488372,0.07692307692307693,,,,0.3333333333333333,,,0.42105263157894735,0.5,0.5,0.25,,,,0.5,1.0,,,0.09090909090909091,1.0,,,,,,,,,,,2.0,2.0,3.0,2.0,,,,,0.5,0.3333333333333333,0.3333333333333333,0.4,0.4,0.5,0.4,1.0,3.0,1.0,0.05263157894736842,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2550,1610612741,Kirk Hinrich,Kirk Hinrich,2550,CHI,4307.0,72,-34.0,134,137,18.0,36.0,271,,1.0,6.0,11.0,7.0,3.0,6.0,12.0,8.0,2.0,26.0,169,3.0,8.0,4.0,7.0,8.0,9.0,9.0,1.0,,2.0,,18.0,0.6666666666666666,0.6666666666666666,0.5,0.6,0.6190476190476191,0.4,15.277777777777779,0.1951219512195122,0.14285714285714285,0.08333333333333333,0.05,,,0.55,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.35,0.6,0.4,0.4634625,0.48792,,,18.61666666666667,24.9875,0.13432835820895522,10.0,,,,,,,,,,,2.0,2.0,5.0,,,5.0,5.0,3.0,2.0,10.0,,1.0,,,,1.0,,,,1.0,,1.0,,2.0,3.0,,,,1.0,,,,5.0,1.0,,,,0.3,,0.4166666666666667,,,,,1.0,,,0.045454545454545456,,,,0.2,0.2857142857142857,0.0625,,,,,,,,,,,,,,0.19230769230769232,,,,,,,,,,,,3.0,4.0,12.0,3.0,,1.0,1.0,,1.0,0.5,0.5,0.42857142857142855,0.42857142857142855,1.0,0.42857142857142855,1.0,,,0.05,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2736,1610612741,Luol Deng,Luol Deng,2736,CHI,4069.0,68,-25.0,128,128,17.0,33.0,256,1.0,2.0,6.0,12.0,2.0,,10.0,18.0,6.0,6.0,29.0,165,,10.0,10.0,2.0,,5.0,5.0,8.0,1.0,10.0,5.0,17.0,0.5,0.5,0.5555555555555556,0.4791666666666667,0.5178571428571429,0.25,19.71830985915493,,0.09433962264150944,,0.08333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.08333333333333333,,0.4166666666666667,0.5043937500000001,0.43795,0.18518518518518517,0.23809523809523808,13.472222222222221,24.083333333333332,0.1328125,14.0,3.0,4.0,,,,,,,,2.0,2.0,1.0,5.0,,1.0,2.0,3.0,2.0,,7.0,,5.0,,,,,,,,,,,,2.0,2.0,,,,1.0,2.0,1.0,2.0,5.0,1.0,,1.0,,1.0,,0.8333333333333334,0.05555555555555555,0.25,,,,,,0.23809523809523808,,,,,,0.25,0.2,,0.16666666666666666,0.75,1.0,0.6666666666666666,,,,,,,,0.1724137931034483,1.0,1.0,,,,2.0,,,,1.0,,1.0,1.0,3.0,1.0,,,,,1.0,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,0.5,4.0,,,0.16666666666666666,,,,,,,,,,2.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201959,1610612741,Taj Gibson,Taj Gibson,201959,CHI,2115.0,35,-14.0,64,65,10.0,13.0,129,,2.0,2.0,5.0,,,4.0,11.0,,1.0,9.0,74,,4.0,4.0,,5.0,8.0,12.0,3.0,,2.0,1.0,10.0,0.5,1.0,0.36363636363636365,0.36363636363636365,0.375,,18.30985915492958,0.2777777777777778,0.21875,0.16666666666666666,0.18181818181818182,,,0.45454545454545453,0.4,0.4,1.0,,,0.36363636363636365,0.48338181818181813,0.51355,0.08333333333333333,0.08333333333333333,9.072727272727272,,0.15625,6.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,5.0,1.0,2.0,1.0,3.0,4.0,3.0,,1.0,,,3.0,2.0,2.0,1.0,4.0,,,,,1.0,,,1.0,,2.0,4.0,1.0,,,,1.0,1.0,2.0,3.0,,0.5,0.5,0.5,0.5,0.5,0.5,0.2727272727272727,0.25,1.0,,,0.25,0.07407407407407407,0.14285714285714285,0.12121212121212122,0.16666666666666666,,0.16666666666666666,0.5,0.18181818181818182,,,0.36363636363636365,0.5,0.6666666666666666,,,0.75,0.6666666666666666,0.5,1.0,0.5516,0.5555555555555556,0.3333333333333333,1.0,1.0,,,,2.0,,1.0,0.06666666666666667,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,0.3333333333333333,0.4,,True,,,,,,,,,,,,,,,,,,,
201949,1610612741,James Johnson,James Johnson,201949,CHI,509.0,8,2.0,17,14,8.0,11.0,31,,,,,,,,1.0,,,,12,,,,,,,1.0,,,,,8.0,,,,,,,9.523809523809524,,,,,,,,,,,,,1.0,0.5075,,,,2.0,,0.47058823529411764,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.1,,0.08333333333333333,0.16666666666666666,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,
2457,1610612741,Jannero Pargo,Jannero Pargo,2457,CHI,113.0,2,1.0,3,3,,,6,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
