EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,Arc3FGM,FG3M,SecondChanceFtPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,BlockedLongMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,PenaltyFG3M,FTDefRebounds,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,PenaltyFg3Pct,DefFTReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,HeaveAttempts,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,PtsUnassisted3s,DefensiveGoaltends,on,FTOffRebounds,OffFTReboundPct
101110,1610612757,Martell Webster,Martell Webster,101110,POR,3915.0,65,-31,119,121,47,61,17.0,240,7.0,9.0,2.0,3.0,3.0,3.0,2.0,1.0,8.0,3.0,1.0,2.0,2.0,1.0,8.0,19.0,5.0,3.0,19.0,154,3.0,5.0,1.0,6.0,3.0,6.0,3.0,2.0,8.0,8.0,8.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,6.0,3.0,9.0,4.0,13.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,6.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,47,3.0,0.5,0.6666666666666666,0.42105263157894735,0.6,0.5,0.3333333333333333,0.5,0.3333333333333333,0.38,0.5,0.4444444444444444,0.20833333333333334,18.43971631205674,1.0,0.10344827586206896,0.07272727272727272,0.2608695652173913,0.17307692307692307,0.06153846153846154,0.13333333333333333,0.0625,0.041666666666666664,0.1,0.16666666666666666,0.2,0.375,0.0625,0.375,0.7777777777777778,0.7777777777777778,0.42857142857142855,0.08333333333333333,0.3333333333333333,0.125,0.125,1.0,0.125,0.08333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111,0.5833333333333334,0.48836250000000003,0.48810000000000003,0.5077000000000002,0.12,0.10526315789473684,0.16666666666666666,0.3157894736842105,0.42105263157894735,9.278947368421052,23.7,0.3949579831932773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1889,1610612757,Andre Miller,Andre Miller,1889,POR,9652.0,161,-21,289,285,79,77,37.0,574,9.0,21.0,,2.0,1.0,3.0,11.0,7.0,23.0,,,,6.0,1.0,21.0,55.0,6.0,21.0,72.0,345,2.0,5.0,,6.0,3.0,11.0,1.0,9.0,15.0,18.0,24.0,,6.0,21.0,6.0,27.0,4.0,16.0,60.0,2.0,3.0,8.0,11.0,4.0,15.0,,6.0,3.0,3.0,8.0,4.0,15.0,1.0,10.0,,19.0,,24.0,,8.0,,1.0,,1.0,15.0,79,2.0,0.42857142857142855,0.42857142857142855,0.38181818181818183,0.4,0.2727272727272727,0.4180327868852459,0.4,0.25,0.4931506849315068,0.5,0.4166666666666667,0.09836065573770492,26.58610271903323,0.5333333333333333,0.0975609756097561,0.017094017094017096,0.06382978723404255,0.08527131782945736,0.02857142857142857,0.03225806451612903,0.047619047619047616,,0.05263157894736842,0.08108108108108109,0.06451612903225806,0.0625,,0.3442622950819672,0.42857142857142855,0.6,0.4444444444444444,0.18032786885245902,0.3770491803278688,0.30434782608695654,0.30434782608695654,0.7142857142857143,,0.09836065573770492,0.4,,,0.25,0.3333333333333333,,0.08333333333333333,0.4426229508196721,0.47811147540983606,0.47115,0.44110000000000005,0.11594202898550725,0.12698412698412698,,0.08333333333333333,0.20833333333333334,9.263636363636362,25.649999999999995,0.27335640138408307,5.0,3.0,3.0,2.0,9.0,3.0,8.0,2.0,3.0,2.0,2.0,1.0,7.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0,0.5,0.5,0.14545454545454545,0.2857142857142857,0.18181818181818182,0.08695652173913043,0.06666666666666667,0.125,0.15384615384615385,1.0,0.45454545454545453,0.5555555555555556,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
200746,1610612757,LaMarcus Aldridge,LaMarcus Aldridge,200746,POR,8652.0,144,-13,253,253,66,45,32.0,506,13.0,15.0,4.0,4.0,4.0,4.0,17.0,7.0,34.0,1.0,1.0,1.0,,,31.0,66.0,1.0,22.0,87.0,287,4.0,7.0,1.0,13.0,9.0,17.0,1.0,12.0,33.0,40.0,22.0,4.0,,5.0,3.0,8.0,2.0,3.0,19.0,4.0,2.0,5.0,9.0,6.0,15.0,,6.0,3.0,3.0,,,6.0,4.0,9.0,1.0,30.0,2.0,28.0,,9.0,,3.0,2.0,3.0,33.0,66,,0.6451612903225806,0.6896551724137931,0.4696969696969697,0.5714285714285714,0.5294117647058824,0.48507462686567165,0.6875,0.5833333333333334,0.5370370370370371,0.65,0.6346153846153846,0.014925373134328358,29.794520547945208,,0.0641025641025641,0.03773584905660377,0.045454545454545456,0.05737704918032787,0.046875,0.03571428571428571,0.06666666666666667,0.031746031746031744,0.0625,0.1111111111111111,0.03571428571428571,0.0625,,0.22388059701492538,0.8666666666666667,0.9285714285714286,0.8461538461538461,0.2537313432835821,0.5074626865671642,0.20588235294117646,0.20588235294117646,0.7142857142857143,0.014925373134328358,,0.5,1.0,0.125,0.2222222222222222,1.0,0.05555555555555555,,0.23880597014925373,0.44634999999999997,0.5140642857142858,0.4337527777777778,0.11842105263157894,0.12,,0.14942528735632185,0.3793103448275862,12.215151515151517,23.5,0.2608695652173913,11.0,,1.0,2.0,3.0,,1.0,1.0,,2.0,2.0,1.0,6.0,,,,,1.0,3.0,,5.0,,,5.0,1.0,1.0,1.0,0.015151515151515152,0.06666666666666667,,0.09090909090909091,0.13333333333333333,,,,0.6470588235294118,0.6470588235294118,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.25,0.36363636363636365,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,True,,
200750,1610612757,Brandon Roy,Brandon Roy,200750,POR,2436.0,41,-18,71,73,21,16,5.0,144,4.0,5.0,,,1.0,1.0,2.0,1.0,4.0,,,,3.0,1.0,5.0,11.0,3.0,,16.0,84,,,2.0,3.0,2.0,3.0,1.0,,7.0,4.0,6.0,,3.0,3.0,1.0,4.0,1.0,2.0,9.0,,,3.0,3.0,,3.0,,,,,1.0,,1.0,,2.0,,3.0,,,,,,,,,7.0,21,,0.4,0.4,0.45454545454545453,,0.6666666666666666,0.5714285714285714,0.75,0.875,0.5714285714285714,0.75,0.875,0.21428571428571427,18.75,1.0,0.16666666666666666,,,0.1,,,,,,0.42857142857142855,,,,0.35714285714285715,0.8,0.8,0.5,0.14285714285714285,0.2857142857142857,0.25,0.25,,,0.21428571428571427,,,,0.25,1.0,,0.25,0.5714285714285714,0.4815642857142857,0.4992,0.4800875,,,,0.1875,0.4375,7.827272727272728,24.566666666666666,0.29577464788732394,,2.0,2.0,,6.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,,,,1.0,1.0,,,,,0.5,1.0,,,,,,,,,,1.0,2.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,True,,
948,1610612757,Marcus Camby,Marcus Camby,948,POR,10652.0,178,-37,318,320,88,98,39.0,638,9.0,18.0,6.0,11.0,3.0,8.0,4.0,6.0,15.0,,,,1.0,1.0,16.0,37.0,1.0,3.0,35.0,382,6.0,11.0,,14.0,3.0,9.0,1.0,2.0,8.0,18.0,14.0,12.0,,11.0,3.0,14.0,2.0,7.0,31.0,11.0,13.0,28.0,44.0,16.0,60.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,10.0,18.0,4.0,6.0,1.0,6.0,,2.0,,7.0,3.0,7.0,8.0,88,2.0,0.5625,0.9,0.43243243243243246,0.5454545454545454,0.3333333333333333,0.42105263157894735,0.5454545454545454,0.3,0.4268292682926829,0.5833333333333334,0.3333333333333333,0.02631578947368421,12.054794520547945,0.3333333333333333,0.3010752688172043,0.08270676691729323,0.23214285714285715,0.2751677852348993,0.10062893081761007,0.11764705882352941,0.19230769230769232,0.0273972602739726,0.12,0.375,0.2777777777777778,0.15,0.09523809523809523,0.47368421052631576,0.5,0.5,0.3333333333333333,0.10526315789473684,0.39473684210526316,0.4,0.4,1.0,,0.02631578947368421,1.0,0.5454545454545454,,0.8,0.375,,0.1,0.5,0.4855405405405405,0.5536454545454546,0.5320111111111112,0.05,0.05128205128205128,,0.4,0.22857142857142856,8.367567567567567,69.7,0.27672955974842767,1.0,,,2.0,,,,1.0,2.0,2.0,5.0,1.0,2.0,,,1.0,,,,1.0,1.0,,3.0,1.0,,,,,,,0.19230769230769232,0.23529411764705882,0.1111111111111111,0.35714285714285715,0.42857142857142855,0.25,0.25,,,,,,,,,,3.0,4.0,,,,,0.3,,,,,,,,,,,,,,,,1.0,,,,,,,True,,
201164,1610612757,Rudy Fernandez,Rudy Fernandez,201164,POR,3988.0,66,-19,122,119,26,33,13.0,241,,,,,,,,,2.0,1.0,,,6.0,1.0,,2.0,7.0,4.0,7.0,148,,,2.0,,,,1.0,3.0,3.0,,,,6.0,4.0,1.0,5.0,1.0,,11.0,1.0,1.0,2.0,3.0,2.0,5.0,,,,,1.0,1.0,2.0,3.0,5.0,,5.0,1.0,6.0,,2.0,,,,,3.0,26,1.0,,,,,,0.16666666666666666,,,0.2916666666666667,,0.5,0.7777777777777778,10.144927536231885,0.5,0.05,0.018867924528301886,0.05,0.05,0.03278688524590164,,0.09090909090909091,,,0.05555555555555555,0.06666666666666667,,,,,,,,0.2222222222222222,,,,0.1111111111111111,0.6666666666666666,,,,,,,1.0,0.7777777777777778,0.5152,0.56115,0.5505,0.18181818181818182,0.5,,,0.42857142857142855,17.5,25.02857142857143,0.21311475409836064,,1.0,1.0,,3.0,1.0,,,,4.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,0.14285714285714285,0.14285714285714285,,,,0.125,,0.5,0.09090909090909091,,,,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,True,,
201573,1610612757,Jerryd Bayless,Jerryd Bayless,201573,POR,5751.0,96,-17,170,176,55,76,22.0,346,6.0,10.0,1.0,1.0,2.0,5.0,9.0,2.0,9.0,2.0,,1.0,8.0,,12.0,28.0,10.0,9.0,48.0,201,1.0,2.0,,3.0,2.0,11.0,1.0,4.0,11.0,12.0,12.0,2.0,8.0,9.0,3.0,12.0,1.0,1.0,27.0,2.0,3.0,4.0,7.0,2.0,9.0,,,,,2.0,1.0,4.0,3.0,14.0,1.0,8.0,,11.0,2.0,4.0,,,,,11.0,55,3.0,0.5,0.5454545454545454,0.42857142857142855,0.5,0.18181818181818182,0.5131578947368421,0.5,0.2916666666666667,0.5595238095238095,0.75,0.39285714285714285,0.2631578947368421,23.46938775510204,0.5,0.08163265306122448,0.029850746268656716,0.08333333333333333,0.08235294117647059,0.023809523809523808,0.0625,0.05555555555555555,,0.13333333333333333,0.05263157894736842,0.09090909090909091,0.07142857142857142,,0.2631578947368421,0.6,0.8571428571428571,0.6666666666666666,0.23684210526315788,0.23684210526315788,0.2222222222222222,0.2222222222222222,,0.05263157894736842,0.21052631578947367,0.5,1.0,,0.4166666666666667,0.4,0.08333333333333333,,0.5263157894736842,0.5038635135135134,0.53495,0.51695,0.1,0.13333333333333333,,0.0625,0.22916666666666666,8.692857142857143,25.910000000000004,0.3235294117647059,4.0,3.0,5.0,1.0,15.0,3.0,4.0,2.0,1.0,7.0,,1.0,2.0,,1.0,,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,0.5,0.5,0.14285714285714285,0.3,0.1111111111111111,,,,0.06666666666666667,,0.4444444444444444,0.5,0.375,0.42857142857142855,1.0,0.375,2.0,,1.0,,1.0,,,,,,1.0,,0.5,1.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,1.0,0.1,0.125,,,True,,
201587,1610612757,Nicolas Batum,Nicolas Batum,201587,POR,7002.0,117,-7,208,211,46,55,26.0,419,6.0,10.0,1.0,2.0,1.0,1.0,,1.0,4.0,8.0,1.0,3.0,10.0,2.0,7.0,14.0,18.0,6.0,47.0,245,1.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,11.0,8.0,6.0,2.0,9.0,2.0,2.0,4.0,2.0,2.0,10.0,2.0,2.0,7.0,10.0,3.0,13.0,,2.0,2.0,,2.0,1.0,3.0,,10.0,1.0,5.0,,8.0,,3.0,,,,,11.0,46,2.0,0.5714285714285714,0.6666666666666666,0.5,0.5,0.5,0.640625,0.3333333333333333,0.5714285714285714,0.6527777777777778,0.3333333333333333,0.6111111111111112,0.5625,16.38655462184874,0.6666666666666666,0.1044776119402985,0.023809523809523808,0.05555555555555555,0.08737864077669903,0.03,,,0.0392156862745098,0.11764705882352941,0.10344827586206896,0.041666666666666664,0.08333333333333333,,0.3125,0.6,0.8571428571428571,0.6666666666666666,,0.125,0.25,0.25,,0.25,0.3125,0.6666666666666666,0.5,0.3333333333333333,0.14285714285714285,1.0,0.42857142857142855,0.2857142857142857,0.875,0.5803290322580645,0.5922,0.53655,0.08571428571428572,0.17647058823529413,,0.0425531914893617,0.23404255319148937,5.778571428571429,25.93888888888889,0.22115384615384615,,6.0,9.0,,24.0,6.0,3.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,0.8888888888888888,0.5,0.5294117647058824,0.21428571428571427,0.3,,0.0625,0.1,,0.09523809523809523,,,,0.6,0.6,0.8333333333333334,0.6666666666666666,3.0,,2.0,,2.0,1.0,,,,,0.4,0.125,,0.375,0.375,1.0,,,,0.6666666666666666,,,,,,,,1.0,,,,,3.0,,True,,
201967,1610612757,Dante Cunningham,Dante Cunningham,201967,POR,300.0,5,-8,10,10,5,9,,20,1.0,1.0,,,,,1.0,2.0,2.0,,,,,,4.0,4.0,,,8.0,18,,,,,2.0,2.0,,,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,1.0,,,,,,,,,4.0,5,,0.75,0.75,1.0,,1.0,1.0,,1.0,1.0,,1.0,,50.0,,,,,,,,,,,,,,,0.25,1.0,1.0,1.0,0.25,0.5,1.0,1.0,0.5,,,,,,,,,,0.25,0.43305,,0.38639999999999997,,,,,0.5,11.275,,0.5,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,True,,
436,1610612757,Juwan Howard,Juwan Howard,436,POR,912.0,15,-14,30,32,7,20,4.0,62,,,,,,,2.0,3.0,3.0,,,,,,3.0,5.0,,,6.0,46,,,,,1.0,1.0,,,2.0,2.0,4.0,,,2.0,,2.0,,,4.0,,,1.0,2.0,,2.0,,1.0,,1.0,,,,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,2.0,7,,0.3333333333333333,0.3333333333333333,0.6,,1.0,0.6,,1.0,0.6,,1.0,,14.705882352941176,,0.1111111111111111,,,0.07692307692307693,,,,,0.16666666666666666,,,,,,,,,0.4,0.6,1.0,1.0,0.3333333333333333,,,,,,,,,,,0.38814,,0.3967,,,,,0.3333333333333333,13.8,,0.23333333333333334,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,
