EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Arc3FGA,PenaltyArc3FGA,FtPoints,PenaltyFtPoints,NonHeaveArc3FGA,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Arc3Frequency,PenaltyArc3Frequency,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Fg2aBlocked,OffThreePtRebounds,OffRebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefThreePtRebounds,Travels,DefThreePtReboundPct,DefCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,AtRimAssists,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,DefAtRimReboundPct,DefArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceFG2A,SecondChanceShotQualityAvg,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PtsUnassisted3s,FTOffRebounds,Loose Ball Fouls Drawn,OffFTReboundPct,SecondChanceTurnovers,Loose Ball Fouls,DefensiveGoaltends,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,PtsPutbacks,SelfOReb,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffAtRimReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGM,Fg3aBlocked,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
1515,1610612739,Anthony Parker,Anthony Parker,1515,CLE,170.0,3,-7,5,6,5,6,11,10,1.0,1.0,1.0,2.0,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200081,1610612739,Jamario Moon,Jamario Moon,200081,CLE,522.0,9,-10,18,17,18,17,35,22,,,,,18,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,10.0,0.25,0.16666666666666666,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.381925,0.381925,1.0,15.0,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200789,1610612739,Daniel Gibson,Daniel Gibson,200789,CLE,473.0,8,-9,16,16,16,16,32,20,,,,,16,1.0,1.0,,1.0,,,,1.0,1.0,2.0,,1.0,1.0,2.0,,,,,2.0,,,,,,,0.3333333333333333,0.3333333333333333,0.5,17.64705882352941,,,,0.5,,,,,,0.5,0.42217499999999997,0.42217499999999997,1.0,19.6,24.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200796,1610612739,Leon Powe,Leon Powe,200796,CLE,522.0,9,-10,18,17,18,17,35,22,,,,,18,1.0,2.0,,1.0,,,1.0,4.0,,5.0,1.0,4.0,,5.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,0.25,0.25,0.25,0.25,0.4166666666666667,0.4166666666666667,,35.0,0.25,0.16666666666666666,0.3333333333333333,0.25,,,,,,0.5,0.512425,0.512425,1.0,7.45,,,,3.0,3.0,,1.0,3.0,2.0,4.0,1.0,1.0,1.0,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.1111111111111111,0.5,0.5,0.5,1.0,1.0,0.25,0.5,0.5,0.2,0.2,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201581,1610612739,JJ Hickson,JJ Hickson,201581,CLE,473.0,8,-9,16,16,16,16,32,20,,,,,16,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,5.88235294117647,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,1610612739,Delonte West,Delonte West,2753,CLE,352.0,6,-3,13,11,13,11,24,12,1.0,1.0,,2.0,13,1.0,2.0,,,,,,1.0,1.0,2.0,,1.0,1.0,2.0,,1.0,2.0,2.0,2.0,,,,,,,0.3333333333333333,0.3333333333333333,0.5,26.666666666666668,0.25,0.3333333333333333,,,,,,,,1.0,0.577375,0.577375,1.0,0.7,24.7,1.0,1.0,2.0,2.0,1.0,,,1.0,2.0,,,,0.5,0.5,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,0.5,,,,,0.5,,0.3333333333333333,0.5,1.0,,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,49.0,1,-1,2,1,2,1,3,2,,,,,2,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,0.25,0.25,,66.66666666666667,,,,1.0,,,,,,,0.245,0.245,1.0,22.6,,,,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,1.0,0.245,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,1610612739,Anderson Varejao,Anderson Varejao,2760,CLE,49.0,1,-1,2,1,2,1,3,2,,,,,2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101214,1610612739,Jawad Williams,Jawad Williams,101214,CLE,248.0,4,-3,9,8,3,4,17,5,,,,,3,0.3333333333333333,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,20.0,,,,,,,,,,1.0,0.44242499999999996,0.3471,,,26.45,2.0,1.0,,,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,1610612739,Anthony Parker,Anthony Parker,1515,CLE,19682.0,328,4,645,649,190,173,1294,689,9.0,13.0,3.0,30.0,190,0.29457364341085274,56.0,3.0,5.0,21.0,4.0,10.0,20.0,44.0,91.0,2.0,5.0,12.0,13.0,14.0,13.0,25.0,26.0,13.0,0.7,0.7,0.5,0.4,0.625,0.29411764705882354,0.6521739130434783,0.3333333333333333,0.6875,11.235955056179774,0.05508474576271186,0.07357859531772576,0.1016949152542373,0.078125,0.6,0.6,0.3333333333333333,0.328125,0.23529411764705882,0.8125,0.5507873015873015,0.52260625,0.14285714285714285,7.875,24.65454545454546,23.0,8.0,11.0,3.0,22.0,4.0,16.0,14.0,15.0,,3.0,,0.359375,0.47058823529411764,4.0,8.0,,1.0,7.0,2.0,,1.0,5.0,11.0,2.0,1.0,5.0,0.1,0.25,,,0.003703703703703704,,0.125,0.5,0.6666666666666666,1.0,0.109375,0.058823529411764705,,0.10144927536231885,0.21739130434782608,9.0,,0.14285714285714285,0.11764705882352941,1.0,2.0,5.0,6.0,5.0,0.5454545454545454,0.02857142857142857,0.15217391304347827,0.3333333333333333,1.0,0.679175,False,1.0,1.0,3.0,11.0,1.0,1.0,9.0,1.0,20.0,1.0,1.0,3.0,2.0,6.0,60.0,1.0,9.0,4.0,3.0,1.0,1.0,1.0,3.0,9.0,5.0,4.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,0.45454545454545453,0.16666666666666666,0.46511627906976744,1.0,0.3333333333333333,0.5,0.15,0.005555555555555556,0.018518518518518517,0.04672897196261682,1.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5238095238095238,0.5238095238095238,1.0,0.391304347826087,0.391304347826087,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.25,0.125,0.4090909090909091,0.043478260869565216,0.03296703296703297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
